, LIBBY DAM, KOOTENAI RIV AT LEONIA, NF FLATHEAD R NR COLUMBIA FALL, MF FLATHEAD NR WEST GLACIER, DAM AT HUNGRY HORSE, FLATHEAD R AT COLUMBIA FALLS, CLARK FORK AT DEER LODGE, ROCK CREEK NR CLINTON, BLACKFOOT R NR BONNER, CLARK FORK AB MISSOULA, BITTERROOT R NR MISSOULA, CLARK FORK BELOW MISSOULA, ST. REGIS R. NR ST. REGIS, CLARK FORK AT ST REGIS    TB20, KERR DAM, NOXON RAPIDS DAM, CABINET GORGE DAM, PRIEST R NR PRIEST RIVER, ALBENI FALLS DAM, COEUR D'ALENE LAKE, SPOKANE RIVER AT SPOKANE, SPOKANE RIV AT LONGLAKE, ST MARIES R NR SANTA, COLUMBIAR @INTERNATL BOUNDAR, KETTLE RIVER AT LAURIER, GRAND COULEE DAM, CHIEF JOSEPH DAM, OKANOGAN RIVER NEAR TONASKET, METHOW R NEAR PATEROS, WELLS DAM, LAKE CHELAN DAM, ROCKY REACH DAM, ENTIAT R NR ARDENVOIR, WENATCHEE R AT PESHASTIN  TB20, WANAPUM DAM, PRIEST RAPIDS DAM, KEECHELUS LAKE, KACHESS DAM NEAR EASTON, YAKIMA RIVER AT EASTON, CLE ELUM LAKE NEAR ROSLYN, YAKIMA RIVER AT CLE ELUM, TEANAWAY RIVER BLW FORKS, YAKIMA RIVER AT UMTANUM, BUMPING LK DM NR GOOSE PRAIRIE, NACHES RIVER NEAR CLIFFDEL, RIMROCK LAKE NEAR RIMROCK, NACHES RIVER NEAR NACHES, YAKIMA RIVER NEAR PARKER, YAKIMA RIVER AT KIONA, ISLAND PARK 1SWIS.PARKDM&RES, FALL RIVER NR CHESTER, HENRYS FORK AT ST. ANTHONY, TETON RIVER NEAR ST. ANTHONY, HENRYS FORK NEAR REXBURG, SNKE R ON JACKSN LK AT DM TB20, SNAKE RIVER NR JACKSON, SNAKE RIVER NR ALPINE, PALISADES DAM, SNAKE RIVER NR HEISE, RIRIE DAM AND LAKE ON WILLOW C, SNAKE AB EAGLE ROCK NR ID FALL, SNAKE RIVER NR SHELLEY, SNAKE RIVER AT BLACKFOOT, SNAKE RIVER NEAR BLACKFOOT, PORTNEUF RIVER AT POCATELLO, AMERICAN FALLS RESERVOIR  TB12, SNAKE RIV AT MILNER, BRUNEAU RIVER NR HOT SPRINGS, SNAKE RIVER BELOW SWAN FALLS, BIG LOST R@HOW'L RNCH NR CHILL, BIG LOST R AT MACKAY, BIG WOOD RIVER AT HAILEY, MAGIC DAM OUTFLOW, LITL.WOODDM&RESNRCAREY, OWYHEE BELOW OWYHEE DAM, ANDERSON RANCH DAM, BOISE LUCKY PEAK DAM, BOISE RIVER AT GLENWOOD BRIDGE, BOISE RIVER NR PARMA, WARM SPRINGS DAM & RESERVOIR, AGENCY VLY DAM & BEULAH RSVR, BULLY CREEK DAM & RES     TB12, MALHEUR RIVER NR VALE, CASCADE DAM               TB12, DEADWOOD RESERVOIR NR LOWMAN, PAYETTE RIVER NEAR EMMETT, WEISER RIVER NR WEISER, SNAKE RIVER AT WEISER, BROWNLEE DAM, SALMON R AT WHITEBIRD, GRANDE RONDE RIVER AT TROY, SNAKE RIVER NR ANATONE, CLEARWATER R AT OROFINO, DWORSHAK DAM, CLEARWATER R AT SPALDING, LOWER GRANITE DAM, LITTLE GOOSE DAM, LOWER MONUMENTAL DAM, ICE HARBOR DAM, WALLA WALLA RIV NEAR TOUCHET, MCNARY DAM NEAR MCNARY, UMATILLA R NR GIBBON, UMATILLA R AT PENDLETON, MCKAY CR NR PILOTROCK, UMATILLA RIVER NEAR UMATILLA, NF JOHN DAY RIV AT MONUMENT, JOHN DAY RIVER AT SERVICE CK, JOHN DAY DAM, DESCHUTES R AT MOODY NR BIGGS, THE DALLES, KLICKITAT R NR PITT, HOOD R NR TUCKER BRIDGE   TB20, WHITE SALMON R NEAR UNDERWOOD, BONNEVILLE DAM
2010-05-17,15561.0,12621.0,7232.0,8773.0,12010.0,19073.0,154.0,932.0,2233.0,3596.0,3326.0,6661.0,1006.0,9159.0,18440.0,20267.0,22315.0,2531.0,27192.0,10892.0,9771.78,10012.0,321.0,70579.0,10872.0,91625.0,99794.0,6931.0,7952.0,112705.0,7618.0,114818.0,1681.0,10075.0,129408.0,128049.0,920.0,897.0,297.0,3682.0,850.0,1384.0,2959.0,1001.0,2302.0,1311.0,4321.0,3579.0,3048.0,430.0,1488.0,2539.0,1035.0,1935.0,2644.0,2136.0,3138.0,6294.0,17289.0,157.0,13515.0,12705.0,10629.0,9824.0,226.0,13154.0,3175.0,1108.0,9511.0,360.0,230.0,643.0,355.0,147.0,760.0,1963.0,5782.0,1363.0,1295.0,168.0,214.0,2.0,84.0,1706.0,702.0,3362.0,1990.0,15827.0,18261.0,19782.0,6941.0,41715.0,24826.0,12790.0,24742.0,66458.0,66458.0,66763.0,66763.0,631.0,184183.0,553.0,976.0,179.0,507.0,3390.0,4091.0,186765.0,5702.0,186717.0,2981.0,1287.0,1512.0,194988.0
2010-05-18,17898.0,13026.0,9484.0,10162.0,14425.0,22854.0,262.0,1329.0,2676.0,4408.0,4693.0,8897.0,1030.0,11235.0,23435.0,22350.0,24751.0,2542.0,30887.0,11497.0,10425.16,11239.0,333.0,75166.0,14445.0,99795.0,100000.0,8279.0,8157.0,115086.0,6883.0,119290.0,1680.0,11309.0,137050.0,136928.0,804.0,898.0,428.0,3744.0,1017.0,1351.0,3302.0,1027.0,2351.0,1300.0,4234.0,4513.0,4337.0,527.0,2210.0,3333.0,1201.0,2358.0,2918.0,2645.0,3711.0,6993.0,16844.0,174.0,13258.0,12234.0,9954.0,9784.0,234.0,13071.0,3175.0,1136.0,9662.0,418.0,270.0,738.0,518.0,181.0,839.0,2385.0,5855.0,1363.0,1442.0,168.0,210.0,3.0,160.0,2512.0,819.0,3651.0,2259.0,16501.0,19175.0,22538.0,10662.0,48883.0,29648.0,14263.0,32270.0,81153.0,81153.0,81447.0,81447.0,797.0,210624.0,884.0,1698.0,289.0,615.0,4380.0,4866.0,212248.0,5747.0,211507.0,3285.0,1503.0,1527.0,215026.0
2010-05-19,19704.0,13498.0,11125.0,10823.0,16849.0,24801.0,449.0,1781.0,3142.0,5524.0,6615.0,11994.0,981.0,14307.0,27427.0,25078.0,27745.0,2527.0,32854.0,11362.0,10438.58,11254.0,314.0,79737.0,16954.0,107427.0,100000.0,9897.0,7799.0,116375.0,5764.0,120388.0,1410.0,11249.0,138100.0,138092.0,605.0,693.0,301.0,3136.0,947.0,1102.0,3094.0,908.0,2092.0,1214.0,3641.0,4047.0,5328.0,590.0,2491.0,3642.0,1345.0,3201.0,3690.0,3262.0,4478.0,8098.0,16098.0,189.0,13213.0,12056.0,9653.0,9461.0,240.0,12359.0,3174.0,1190.0,9780.0,411.0,269.0,749.0,560.0,178.0,873.0,2373.0,5839.0,1363.0,1362.0,162.0,206.0,2.0,125.0,2070.0,754.0,3778.0,2332.0,16923.0,20518.0,25603.0,11223.0,55506.0,33198.0,14697.0,43168.0,98674.0,98674.0,98960.0,98960.0,850.0,235744.0,715.0,1630.0,271.0,1290.0,4781.0,5877.0,240085.0,5585.0,239458.0,3230.0,1319.0,1532.0,243656.0
2010-05-20,18971.0,13484.0,9988.0,10435.0,14518.0,23444.0,329.0,1912.0,3430.0,6474.0,7592.0,13979.0,975.0,17124.0,28258.0,28101.0,31065.0,2548.0,36793.0,10515.0,10419.48,11257.0,333.0,85744.0,16683.0,112074.0,100000.0,10444.0,7091.0,117180.0,5153.0,121080.0,1287.0,10447.0,137778.0,137800.0,627.0,690.0,359.0,2976.0,977.0,999.0,2941.0,863.0,1886.0,1131.0,3150.0,3370.0,5376.0,558.0,2319.0,3167.0,1270.0,3531.0,3689.0,3305.0,4425.0,8206.0,15306.0,186.0,13215.0,12048.0,9592.0,9368.0,253.0,11708.0,3173.0,1204.0,9847.0,394.0,261.0,675.0,499.0,168.0,765.0,2374.0,5842.0,1360.0,1417.0,161.0,203.0,2.0,170.0,2550.0,761.0,3549.0,2257.0,16901.0,21078.0,26227.0,12673.0,57836.0,33762.0,14394.0,43864.0,101700.0,101700.0,101979.0,101979.0,899.0,244955.0,831.0,1507.0,489.0,1139.0,4753.0,5875.0,253429.0,5574.0,253583.0,3361.0,1319.0,1611.0,259268.0
2010-05-21,16313.0,15173.0,8111.0,9618.0,12164.0,20762.0,289.0,1879.0,3523.0,6611.0,7562.0,14144.0,899.0,17881.0,25981.0,30078.0,33238.0,2546.0,38461.0,9616.0,9734.43,10795.0,309.0,89533.0,16359.0,116533.0,97500.0,9858.0,6330.0,114765.0,4333.0,119080.0,1025.0,9280.0,135138.0,135374.0,532.0,562.0,319.0,2546.0,1104.0,802.0,2833.0,724.0,1603.0,929.0,2529.0,2763.0,4899.0,586.0,2448.0,3330.0,1328.0,3438.0,3627.0,3344.0,4415.0,8145.0,14521.0,177.0,12539.0,11442.0,9294.0,9148.0,251.0,11632.0,3172.0,1208.0,9898.0,380.0,255.0,673.0,519.0,160.0,716.0,2271.0,5810.0,1357.0,1494.0,160.0,199.0,1.0,206.0,2092.0,713.0,3556.0,2221.0,17136.0,21349.0,27696.0,12397.0,60075.0,34411.0,13749.0,42641.0,102716.0,102716.0,102990.0,102990.0,883.0,247280.0,671.0,1392.0,383.0,1119.0,4418.0,5678.0,255892.0,5567.0,256192.0,3109.0,1173.0,1617.0,262270.0
2010-05-22,13832.0,19196.0,6883.0,8812.0,10648.0,18534.0,298.0,1816.0,3518.0,6498.0,7249.0,13747.0,838.0,17434.0,23150.0,29998.0,33130.0,2542.0,38726.0,8744.0,8654.03,9738.0,298.0,89575.0,15309.0,114934.0,90000.0,9052.0,5471.0,105504.0,3535.0,109452.0,827.0,7597.0,123826.0,124269.0,429.0,418.0,267.0,1897.0,1166.0,625.0,2676.0,639.0,1390.0,820.0,2061.0,2043.0,4249.0,560.0,2283.0,3210.0,1333.0,3558.0,3744.0,3688.0,4870.0,8645.0,13761.0,167.0,11700.0,10570.0,8466.0,8367.0,239.0,11153.0,3171.0,1205.0,9942.0,357.0,243.0,663.0,522.0,150.0,705.0,1927.0,5754.0,1355.0,1458.0,154.0,195.0,1.0,170.0,1607.0,575.0,3203.0,1908.0,16886.0,21018.0,26527.0,9780.0,57470.0,31923.0,12171.0,33931.0,91400.0,91400.0,91666.0,91666.0,808.0,233235.0,510.0,1104.0,319.0,936.0,3860.0,5146.0,245501.0,5469.0,246522.0,2627.0,1018.0,1474.0,253707.0
2010-05-23,14058.0,19830.0,6923.0,8319.0,9960.0,17936.0,288.0,1810.0,3429.0,6439.0,6716.0,13155.0,772.0,16675.0,21484.0,29416.0,32461.0,2533.0,37560.0,7782.0,7569.55,8652.0,280.0,89213.0,14443.0,112588.0,95000.0,8101.0,4706.0,107605.0,3140.0,110095.0,703.0,6068.0,120841.0,120734.0,378.0,344.0,265.0,1544.0,1282.0,525.0,2608.0,589.0,1232.0,754.0,1807.0,1605.0,3507.0,514.0,2027.0,2787.0,1270.0,3337.0,3849.0,3838.0,5067.0,8910.0,12972.0,160.0,10963.0,9843.0,7714.0,7593.0,221.0,10317.0,3170.0,1185.0,9964.0,341.0,235.0,658.0,496.0,144.0,679.0,1700.0,5718.0,1353.0,1388.0,148.0,191.0,0.0,136.0,1319.0,515.0,2771.0,1646.0,16150.0,19874.0,24795.0,7856.0,53497.0,28270.0,10737.0,30349.0,83845.0,83845.0,84104.0,84104.0,716.0,214149.0,398.0,872.0,247.0,664.0,3304.0,4510.0,224444.0,5399.0,225368.0,2339.0,884.0,1372.0,231745.0
2010-05-24,13852.0,19244.0,6704.0,7803.0,8659.0,17233.0,270.0,1817.0,3296.0,6332.0,6237.0,12569.0,710.0,15844.0,20802.0,28578.0,31511.0,2531.0,36113.0,7075.0,6505.36,7572.0,272.0,90839.0,13445.0,111488.0,110000.0,7766.0,4168.0,121923.0,3003.0,124628.0,621.0,5119.0,133624.0,133147.0,351.0,313.0,291.0,1381.0,1455.0,443.0,2625.0,539.0,1122.0,702.0,1694.0,1387.0,2960.0,490.0,2041.0,2746.0,1245.0,2954.0,3889.0,3997.0,5222.0,9056.0,12412.0,155.0,9854.0,8768.0,6808.0,6736.0,203.0,9508.0,3169.0,1160.0,9973.0,330.0,231.0,668.0,501.0,138.0,673.0,1610.0,5671.0,1351.0,1366.0,143.0,188.0,0.0,119.0,1293.0,487.0,2517.0,1460.0,15541.0,18749.0,23200.0,6677.0,50207.0,24955.0,9473.0,26911.0,77117.0,77117.0,77368.0,77368.0,642.0,209517.0,338.0,738.0,202.0,430.0,2842.0,3910.0,216336.0,5357.0,216702.0,2167.0,789.0,1323.0,221373.0
2010-05-25,13303.0,18376.0,6516.0,7689.0,8505.0,16829.0,269.0,1763.0,3147.0,6142.0,5786.0,11928.0,682.0,15119.0,19967.0,27838.0,30666.0,2550.0,35445.0,6371.0,6070.82,6909.0,272.0,91567.0,12378.0,111124.0,110000.0,7128.0,3855.0,121541.0,2970.0,124821.0,588.0,4688.0,134401.0,134455.0,341.0,308.0,333.0,1369.0,1659.0,385.0,2722.0,507.0,1047.0,673.0,1645.0,1368.0,2653.0,477.0,2109.0,2840.0,1309.0,2799.0,4166.0,4364.0,5593.0,9526.0,12404.0,149.0,9058.0,7880.0,5765.0,5680.0,194.0,8540.0,3168.0,1138.0,9984.0,320.0,226.0,651.0,470.0,129.0,693.0,1547.0,5630.0,1349.0,1306.0,136.0,184.0,0.0,77.0,1364.0,479.0,2401.0,1314.0,15162.0,17947.0,21916.0,5985.0,47744.0,23096.0,9012.0,24704.0,72448.0,72448.0,72691.0,72691.0,585.0,212514.0,304.0,660.0,168.0,284.0,2504.0,3435.0,219483.0,5327.0,219825.0,2058.0,720.0,1304.0,224000.0
2010-05-26,13653.0,18353.0,6320.0,7567.0,8293.0,16527.0,261.0,1664.0,3029.0,5907.0,5358.0,11265.0,640.0,14376.0,19513.0,27119.0,29848.0,2566.0,34460.0,5796.0,6073.54,6876.0,260.0,91040.0,11822.0,110092.0,110000.0,6512.0,3683.0,120711.0,3034.0,123979.0,560.0,4631.0,133196.0,133244.0,347.0,323.0,390.0,1516.0,1886.0,348.0,2877.0,504.0,1009.0,720.0,1686.0,1504.0,2556.0,469.0,2067.0,2846.0,1323.0,2879.0,4369.0,4810.0,6020.0,9974.0,12457.0,141.0,8970.0,7714.0,5275.0,5078.0,190.0,7702.0,3167.0,1107.0,9988.0,310.0,222.0,637.0,447.0,123.0,642.0,1561.0,5605.0,1347.0,1304.0,132.0,181.0,0.0,63.0,1632.0,523.0,2317.0,1205.0,14896.0,17353.0,21180.0,5588.0,43694.0,22318.0,8683.0,23841.0,67535.0,67535.0,67771.0,67771.0,542.0,207595.0,281.0,611.0,151.0,205.0,2221.0,3074.0,214998.0,5325.0,215617.0,2039.0,694.0,1305.0,220121.0
2010-05-27,14259.0,18573.0,6042.0,7447.0,8324.0,16094.0,241.0,1633.0,2903.0,5629.0,4884.0,10513.0,626.0,13543.0,18971.0,26366.0,28994.0,2634.0,33658.0,5384.0,5864.75,6749.0,258.0,90247.0,11479.0,108891.0,110000.0,6211.0,3601.0,120047.0,3174.0,123274.0,561.0,4869.0,132359.0,132383.0,355.0,345.0,421.0,1711.0,2046.0,345.0,3000.0,536.0,1061.0,794.0,1864.0,1721.0,2629.0,459.0,1937.0,2512.0,1344.0,2691.0,4050.0,5087.0,6285.0,10253.0,12535.0,137.0,9028.0,7778.0,5270.0,5021.0,189.0,7289.0,3166.0,1083.0,9988.0,306.0,222.0,639.0,401.0,118.0,606.0,1652.0,5606.0,1337.0,1216.0,123.0,177.0,0.0,2.0,1741.0,585.0,2331.0,1148.0,14745.0,16971.0,21000.0,5585.0,41253.0,22080.0,8503.0,23430.0,64684.0,64684.0,64912.0,64912.0,507.0,201590.0,264.0,567.0,135.0,153.0,2046.0,2819.0,208585.0,5315.0,209243.0,2111.0,748.0,1339.0,213764.0
2010-05-28,15848.0,18650.0,6092.0,7686.0,8980.0,16246.0,241.0,1762.0,2791.0,5560.0,4888.0,10448.0,640.0,13028.0,18625.0,25690.0,28225.0,2778.0,33037.0,5064.0,5531.02,6409.0,254.0,89723.0,11115.0,107535.0,110000.0,6138.0,3940.0,120018.0,3508.0,123311.0,744.0,5604.0,132644.0,132605.0,368.0,388.0,439.0,1977.0,2134.0,398.0,3074.0,618.0,1325.0,897.0,2253.0,2025.0,2804.0,461.0,2024.0,2633.0,1553.0,2523.0,4066.0,5344.0,6565.0,10740.0,12721.0,132.0,8868.0,7626.0,5214.0,4994.0,182.0,7297.0,3166.0,1121.0,10041.0,343.0,251.0,688.0,433.0,118.0,610.0,1870.0,5626.0,1320.0,1198.0,118.0,173.0,0.0,0.0,1792.0,654.0,2360.0,1129.0,14654.0,16690.0,21225.0,5638.0,40956.0,22337.0,8731.0,23645.0,64601.0,64601.0,64824.0,64824.0,479.0,200323.0,249.0,517.0,121.0,104.0,1835.0,2606.0,206593.0,5238.0,207055.0,2223.0,825.0,1371.0,211357.0
2010-05-29,17725.0,21242.0,6276.0,7858.0,9641.0,16625.0,241.0,1763.0,2738.0,5542.0,5513.0,11054.0,640.0,13359.0,18955.0,25661.0,28162.0,2926.0,32923.0,4801.0,5256.76,6120.0,250.0,89764.0,10812.0,106828.0,109696.0,6075.0,4255.0,120106.0,3794.0,123685.0,938.0,6839.0,133986.0,133940.0,380.0,429.0,452.0,2160.0,2215.0,442.0,3176.0,686.0,1560.0,1007.0,2669.0,2537.0,3095.0,460.0,2044.0,2708.0,1684.0,2698.0,4326.0,5699.0,7014.0,11292.0,12883.0,126.0,8937.0,7649.0,5121.0,4879.0,172.0,7232.0,3165.0,1137.0,10095.0,426.0,316.0,734.0,481.0,119.0,624.0,2121.0,5648.0,1303.0,1184.0,113.0,170.0,0.0,1.0,1844.0,703.0,2439.0,1125.0,14718.0,16605.0,21728.0,5632.0,41174.0,22751.0,9070.0,24027.0,65200.0,65200.0,65416.0,65416.0,456.0,201602.0,236.0,473.0,111.0,47.0,1666.0,2415.0,207474.0,5191.0,207862.0,2339.0,855.0,1406.0,212174.0
2010-05-30,18947.0,23944.0,6554.0,8031.0,10269.0,17062.0,243.0,1702.0,2733.0,5532.0,6069.0,11600.0,643.0,13981.0,19391.0,26297.0,28831.0,3079.0,33859.0,4576.0,5019.63,5869.0,248.0,90763.0,10493.0,106947.0,102222.0,6103.0,4263.0,113339.0,3961.0,117892.0,1071.0,8048.0,130302.0,130618.0,395.0,465.0,466.0,2223.0,2293.0,470.0,3281.0,737.0,1765.0,1109.0,2982.0,2975.0,3526.0,460.0,2007.0,2695.0,1697.0,2902.0,4151.0,5904.0,7273.0,11635.0,13040.0,121.0,9279.0,7968.0,5307.0,5012.0,166.0,7273.0,3164.0,1170.0,10136.0,502.0,377.0,763.0,522.0,128.0,624.0,2219.0,5672.0,1285.0,1173.0,109.0,167.0,0.0,1.0,1906.0,722.0,2536.0,1129.0,14892.0,16677.0,22433.0,5650.0,41816.0,23246.0,9504.0,24497.0,66313.0,66313.0,66523.0,66523.0,436.0,203134.0,225.0,437.0,104.0,6.0,1545.0,2276.0,209304.0,5154.0,209739.0,2456.0,899.0,1456.0,214291.0
2010-05-31,20198.0,24035.0,6896.0,7729.0,10642.0,17221.0,245.0,1678.0,2735.0,5571.0,6333.0,11905.0,636.0,14478.0,19929.0,27001.0,29577.0,3225.0,34683.0,4379.0,4761.49,5646.0,238.0,92933.0,10221.0,108383.0,90556.0,6253.0,4186.0,101680.0,4016.0,106409.0,1146.0,8974.0,119764.0,120224.0,393.0,468.0,469.0,2249.0,2350.0,476.0,3347.0,755.0,1877.0,1126.0,3093.0,3224.0,3956.0,459.0,1973.0,2645.0,1732.0,2963.0,3925.0,5957.0,7335.0,11605.0,13180.0,117.0,9566.0,8275.0,5641.0,5340.0,160.0,7544.0,3163.0,1154.0,10091.0,520.0,395.0,758.0,528.0,131.0,602.0,2209.0,5696.0,1268.0,1160.0,104.0,164.0,0.0,1.0,1902.0,717.0,2604.0,1123.0,15058.0,16799.0,23006.0,5603.0,42822.0,23641.0,9800.0,24978.0,67801.0,67801.0,68004.0,68004.0,419.0,198091.0,215.0,406.0,97.0,-1.0,1446.0,2150.0,205570.0,5113.0,206302.0,2460.0,912.0,1467.0,211624.0
