, KOOTENAI - LIBBY DAM, KOOTENAI - AT LEONIA, NF FLATHEAD - NEAR COLUMBIA FALLS, MF FLATHEAD - NEAR WEST GLACIER, SF FLATHEAD - HUNGRY HORSE DAM, FLATHEAD - AT COLUMBIA FALLS, CLARK FORK - AT DEER LODGE, CLARK FORK - NR DRUMMOND, ROCK CREEK - NEAR CLINTON, BLACKFOOT - NEAR BONNER, CLARK FORK - ABOVE MISSOULA, BITTERROOT - NEAR MISSOULA, CLARK FORK - BELOW MISSOULA, ST. REGIS - NEAR ST. REGIS, CLARK FORK - AT ST REGIS, FLATHEAD - KERR DAM, CLARK FORK - NOXON RAPIDS DAM, CLARK FORK - CABINET GORGE DAM, PRIEST - NEAR PRIEST RIVER, PEND OREILLE - ALBENI FALLS DAM, COEUR D ALENE - COEUR D ALENE LAKE, SPOKANE - AT SPOKANE, SPOKANE - AT LONGLAKE, ST MARIES - NEAR SANTA, KETTLE - AT LAURIER, COLUMBIA - GRAND COULEE DAM, COLUMBIA - CHIEF JOSEPH DAM, OKANOGAN - NEAR TONASKET, METHOW - NEAR PATEROS, COLUMBIA - WELLS DAM, CHELAN - LAKE CHELAN DAM, COLUMBIA - ROCKY REACH DAM, ENTIAT - NEAR ARDENVOIR, WENATCHEE - AT PESHASTIN, COLUMBIA - WANAPUM DAM, COLUMBIA - PRIEST RAPIDS DAM, YAKIMA - KEECHELUS LAKE, KACHESS - KACHESS DAM, YAKIMA - AT EASTON, CLE ELUM - CLE ELUM LAKE, TEANAWAY - BELOW FORKS, YAKIMA - AT UMTANUM, BUMPING - BUMPING LAKE DAM, NACHES - NEAR CLIFFDEL, TIETON - RIMROCK LAKE NEAR RIMROCK, NACHES - NEAR NACHES, YAKIMA - NEAR PARKER, YAKIMA - AT KIONA, HENRYS FORK - ISLAND PARK DAM, FALLS - NEAR CHESTER, HENRYS FORK - AT ST. ANTHONY, TETON - NEAR ST. ANTHONY, HENRYS FORK - AT REXBURG, SNAKE - JACKSON LAKE AT DAM, SNAKE - NEAR JACKSON, SNAKE - NEAR ALPINE, SF SNAKE - PALISADES DAM, SNAKE - NEAR HEISE, WILLOW CREEK - RIRIE DAM, SNAKE - AB EAGLE ROCK NR IDAHO FALLS, SNAKE - NEAR SHELLEY, SNAKE - AT BLACKFOOT, SNAKE - NEAR BLACKFOOT, PORTNEUF - AT POCATELLO, SNAKE - AMERICAN FALLS RESERVOIR, SNAKE - AT MILNER, BRUNEAU - NEAR HOT SPRINGS, SNAKE - BELOW SWAN FALLS, BIG LOST - AT HOWELL RANCH NEAR CHILLY, BIG LOST - MACKAY RESERVOIR NEAR MACKAY, BIG WOOD - AT HAILEY, BIG WOOD - MAGIC DAM, LITTLE WOOD - LITTLE WOOD DAM, OWYHEE - BELOW OWYHEE DAM, SF BOISE - ANDERSON RANCH DAM, BOISE - LUCKY PEAK DAM, BOISE - AT GLENWOOD BRIDGE, BOISE - NEAR PARMA, MALHEUR - WARM SPRINGS DAM, MALHEUR - AGENCY VALLEY DAM, BULLY CREEK - BULLY CREEK DAM, MALHEUR - NEAR VALE, NF PAYETTE - CASCADE DAM, DEADWOOD - NEAR LOWMAN, PAYETTE - NEAR EMMETT, WEISER - NEAR WEISER, SNAKE - AT WEISER, SNAKE - BROWNLEE DAM, SALMON - AT WHITEBIRD, GRANDE RONDE - TROY, SNAKE - NEAR ANATONE, CLEARWATER - AT OROFINO, CLEARWATER - DWORSHAK DAM, CLEARWATER - AT SPALDING, SNAKE - LOWER GRANITE DAM, SNAKE - LITTLE GOOSE DAM, SNAKE - LOWER MONUMENTAL DAM, SNAKE - ICE HARBOR DAM, WALLA WALLA - NEAR TOUCHET, COLUMBIA - MCNARY DAM, UMATILLA - NEAR GIBBON, UMATILLA - AT PENDLETON, MCKAY CREEK - NEAR PILOT ROCK, UMATILLA - NEAR UMATILLA, NF JOHN DAY - AT MONUMENT, JOHN DAY - AT SERVICE CK, COLUMBIA - JOHN DAY DAM, DESCHUTES - AT MOODY NR BIGGS, COLUMBIA - THE DALLES DAM, KLICKITAT - NEAR PITT, HOOD - NEAR TUCKER BRIDGE, WHITE SALMON - NEAR UNDERWOOD, COLUMBIA - BONNEVILLE DAM
2012-06-11, 49636, 39182, 11030, 9373, 13210, 31884, 571, 1577, 1573, 4715, 8485, 6247, 14996, 1229, 19894, 42198, 60105, 62247, 7826, 80016, 28112, 21911, 22450, 1584, 18737, 262812, 204283, 9943, 5038, 215932, 3817, 222178, 1033, 6311, 238916, 234653, 766, 573, 599, 2137, 611, 4187, 590, 1672, 918, 4078, 4806, 6606, 932, 1935, 2826, 1822, 3740, 4029, 9454, 11304, 12954, 11416, 98, 7679, 6730, 3473, 3087, 79, 5225, 1494, 196, 5682, 564, 502, 973, 780, 201, 203, 1681, 5182, 1833, 1908, 145, 201, 0, 127, 2063, 848, 5001, 935, 14696, 17011, 30865, 4273, 51022, 25714, 16747, 38126, 89148, 88292, 85514, 90300, 860, 348691, 465, 719, 195, 783, 1363, 2081, 340219, 6219, 317098, 2405, 1148, 1397, 354130
2012-06-12, 46621, 41971, 10205, 9784, 13000, 29742, 534, 1470, 1518, 4654, 8290, 6114, 14651, 1234, 19556, 39780, 58542, 63481, 7670, 74674, 23816, 22440, 23228, 1217, 17655, 258265, 205266, 9819, 5174, 220060, 4075, 223668, 1094, 6711, 243482, 243750, 720, 556, 635, 2280, 694, 4284, 590, 1842, 1038, 4448, 5034, 6280, 861, 1864, 2548, 1695, 3428, 3617, 9042, 10822, 12282, 11364, 96, 7664, 6750, 3823, 3512, 74, 5648, 1493, 186, 6134, 564, 488, 932, 713, 187, 201, 1599, 5174, 1840, 1830, 133, 198, 0, 121, 1974, 816, 4858, 898, 14538, 16650, 29434, 4167, 49359, 24195, 15175, 36081, 85440, 85080, 85763, 85763, 754, 337460, 412, 638, 146, 731, 1242, 1912, 341295, 6188, 324999, 2564, 1096, 1386, 331204
2012-06-13, 46548, 42800, 10299, 11720, 13006, 28050, 506, 1300, 1384, 4466, 7731, 5981, 13798, 1281, 19072, 35612, 56802, 61532, 7516, 72160, 19882, 22579, 23628, 844, 16713, 249636, 204998, 9720, 5858, 220548, 5789, 225022, 1398, 8104, 246067, 246125, 804, 593, 730, 2452, 875, 4570, 588, 2241, 1356, 5195, 5920, 6285, 787, 1767, 2194, 1545, 2702, 3203, 8415, 10111, 11496, 11297, 92, 7136, 6267, 3740, 3566, 68, 6072, 1493, 176, 6652, 551, 480, 879, 622, 169, 198, 1463, 5160, 1836, 1776, 121, 195, 0, 122, 1968, 831, 4656, 836, 14618, 16504, 27676, 3975, 47094, 23436, 13809, 34478, 81572, 81572, 82006, 82006, 604, 336329, 340, 539, 90, 596, 1125, 1744, 342266, 6087, 327476, 2982, 1146, 1352, 332421
2012-06-14, 49836, 43023, 12894, 14578, 16522, 33098, 525, 1271, 1330, 4438, 7464, 5721, 13226, 1369, 18780, 37250, 56632, 61284, 7498, 72286, 18291, 22282, 23466, 700, 18040, 249227, 204998, 10175, 6647, 221340, 7120, 226131, 1630, 9162, 247721, 247661, 810, 584, 793, 2370, 835, 4771, 562, 2379, 1386, 5460, 6606, 6917, 749, 1715, 2046, 1454, 2138, 3084, 7919, 9517, 10804, 11235, 88, 6388, 5474, 3082, 2973, 62, 5853, 1493, 170, 6714, 530, 466, 841, 574, 161, 194, 1364, 5146, 1832, 1808, 116, 192, 0, 116, 1950, 840, 4406, 780, 14929, 16614, 26877, 4175, 45968, 25530, 14485, 35662, 81629, 80859, 81239, 81239, 497, 335345, 280, 454, 62, 491, 1060, 1660, 341152, 5888, 327520, 3152, 1145, 1317, 332883
2012-06-15, 53426, 43076, 14702, 14648, 16027, 37787, 510, 1238, 1252, 4450, 7331, 5415, 12749, 1324, 18654, 43531, 56475, 61067, 7282, 70906, 16804, 21861, 23202, 601, 18164, 249866, 204998, 11308, 7039, 222559, 6814, 227436, 1626, 9482, 248854, 248819, 696, 521, 757, 2262, 664, 4679, 538, 2348, 1345, 5294, 6586, 7512, 731, 1656, 2034, 1399, 1883, 3082, 7785, 9270, 10426, 11175, 84, 5863, 4863, 2395, 2262, 56, 5262, 1493, 163, 6656, 512, 456, 808, 541, 154, 191, 1297, 5132, 1828, 1811, 111, 190, 0, 107, 1822, 800, 4238, 727, 14936, 16577, 26086, 3985, 45161, 25704, 13908, 36137, 81298, 79968, 80326, 80326, 419, 336673, 236, 390, 49, 400, 1011, 1592, 342860, 5708, 330370, 3088, 1072, 1261, 335725
2012-06-16, 51372, 42357, 13128, 13595, 13754, 36471, 482, 1164, 1176, 4264, 6946, 4826, 11771, 1268, 17617, 45268, 55156, 59588, 6961, 68829, 14906, 21190, 22703, 546, 16600, 248224, 203123, 11918, 6283, 221495, 5600, 226755, 1453, 9037, 247794, 247937, 615, 459, 678, 1978, 508, 4396, 502, 2264, 1241, 4893, 5978, 7565, 712, 1583, 2045, 1312, 1797, 3051, 7825, 9228, 10370, 11118, 81, 5618, 4541, 1954, 1763, 49, 4683, 1493, 158, 6632, 498, 447, 780, 516, 149, 190, 1246, 5118, 1823, 1800, 103, 186, 0, 98, 1709, 719, 4105, 677, 14657, 16188, 24520, 4168, 43297, 23735, 12537, 33468, 76765, 76765, 77106, 77106, 362, 335978, 202, 338, 41, 319, 972, 1543, 343121, 5541, 331882, 2909, 972, 1200, 337200
2012-06-17, 47541, 37245, 11778, 13296, 12755, 34468, 469, 1112, 1114, 4119, 6653, 4308, 10960, 1242, 16487, 42501, 60058, 64862, 6564, 72254, 12958, 19180, 20802, 528, 15097, 245478, 199998, 11674, 6502, 218347, 5069, 223221, 1392, 8892, 243204, 243314, 669, 454, 594, 2035, 526, 4113, 495, 2290, 1364, 4807, 5338, 7107, 708, 1559, 2118, 1274, 1785, 2987, 7735, 9076, 10287, 11062, 79, 5546, 4416, 1745, 1509, 45, 4258, 1490, 154, 6606, 481, 437, 750, 493, 145, 190, 1190, 4855, 1819, 1777, 98, 182, 0, 92, 1638, 641, 3949, 634, 14362, 15837, 23024, 3372, 40958, 22299, 11547, 30417, 71374, 71374, 71705, 71705, 317, 326937, 178, 298, 36, 236, 939, 1494, 335834, 5380, 326018, 2798, 949, 1151, 331706
2012-06-18, 45323, 34924, 11250, 13118, 12253, 33650, 446, 1050, 1067, 4054, 6471, 4006, 10478, 1232, 15937, 41037, 62808, 67942, 6168, 75185, 11727, 18342, 20163, 501, 14191, 250236, 201873, 11168, 7078, 220065, 5670, 224653, 1409, 9265, 243852, 243756, 667, 455, 580, 2213, 568, 4111, 494, 2443, 1367, 5079, 5534, 6622, 706, 1664, 2306, 1308, 1850, 3000, 7675, 8964, 10208, 11018, 81, 5535, 4379, 1692, 1430, 46, 4032, 1487, 150, 6542, 467, 428, 726, 448, 142, 190, 1160, 4094, 1767, 1729, 89, 180, 0, 88, 1686, 589, 3804, 596, 14073, 15524, 21774, 3182, 39180, 22024, 11428, 29042, 68223, 68223, 68544, 68544, 286, 320174, 159, 267, 32, 205, 912, 1451, 328098, 5245, 319258, 2871, 910, 1132, 324462
2012-06-19, 43944, 34082, 11453, 13848, 12942, 33810, 431, 1017, 1006, 3909, 6211, 3832, 10043, 1205, 15557, 40458, 63888, 69167, 5803, 75710, 10753, 16235, 17557, 496, 13211, 244654, 204998, 10933, 7274, 223376, 5487, 228258, 1289, 9084, 247022, 246964, 597, 417, 562, 1967, 460, 4110, 472, 2377, 1206, 4846, 5520, 6596, 698, 1583, 2327, 1379, 2055, 3133, 7594, 8814, 10163, 10990, 77, 5650, 4445, 1712, 1428, 53, 3950, 1484, 146, 6476, 461, 428, 705, 424, 142, 190, 1123, 4082, 1688, 1640, 84, 178, 0, 82, 1712, 557, 3726, 559, 13774, 15210, 20862, 3059, 38005, 22051, 11117, 28584, 66589, 66589, 66900, 66900, 256, 319626, 143, 241, 28, 195, 880, 1407, 326622, 5189, 318841, 2775, 795, 1087, 323551
2012-06-20, 45426, 33735, 12011, 13668, 12517, 33963, 413, 973, 948, 3791, 5990, 3593, 9584, 1162, 14958, 40804, 61892, 67100, 5438, 73728, 9896, 15252, 17153, 472, 12293, 241406, 199373, 10764, 7035, 218446, 4642, 224368, 1119, 8262, 243238, 243617, 534, 370, 537, 1648, 350, 3958, 444, 2226, 1095, 4435, 4996, 6539, 670, 1532, 2246, 1310, 2101, 2972, 7373, 8510, 9902, 10963, 70, 5860, 4637, 1872, 1556, 58, 3949, 1480, 142, 6438, 449, 421, 680, 398, 137, 190, 1083, 4068, 1610, 1547, 80, 174, 0, 74, 1498, 524, 3652, 522, 13462, 14878, 20014, 2950, 38343, 21297, 10719, 28048, 66392, 66392, 66694, 66694, 229, 320112, 132, 219, 26, 176, 849, 1362, 327405, 5148, 320904, 2591, 695, 1032, 325415
