, LIBBY DAM, KOOTENAI R AT BONNERS FERRY, HUNGRY HORSE DAM, FLATHEAD R AT COLUMBIA FALLS, CLARK FORK AT DEER LODGE, CLARK FORK NR DRUMMOND, ROCK CREEK NR CLINTON, BLACKFOOT R NR BONNER, CLARK FORK AB MISSOULA, BITTERROOT R NR MISSOULA, CLARK FORK BELOW MISSOULA, CLARK FORK AT ST REGIS, KERR DAM, CLARK FORK AT ST REGIS, NOXON RAPIDS DAM, ALBENI FALLS DAM, COEUR D'ALENE LAKE, COLUMBIAR @INTERNATL BOUNDAR, KETTLE RIVER AT LAURIER, GRAND COULEE DAM, GRAND COULEE DAM, CHIEF JOSEPH DAM, OKANOGAN RIVER NR TONASKET, METHOW R NR PATEROS, WELLS DAM, LAKE CHELAN DAM, ROCKY REACH DAM, WENATCHEE R AT PESHASTIN, WANAPUM DAM, PRIEST RAPIDS DAM, KEECHELUS LAKE, KACHESS DAM, YAKIMA RIVER AT EASTON, CLE ELUM LAKE, YAKIMA RIVER AT CLE ELUM, TEANAWAY RIVER BLW FORKS, YAKIMA RIVER AT UMTANUM, BUMPING LAKE, NACHES RIVER NR CLIFFDEL, RIMROCK LAKE, NACHES RIVER NR NACHES, YAKIMA RIVER AT UMTANUM, NACHES RIVER NR NACHES, YAKIMA RIVER NR PARKER, YAKIMA RIVER AT KIONA, ISLAND PARK 1SWIS.PARKDM&RES, FALL RIVER NR CHESTER, HENRYS FORK AT ST. ANTHONY, TETON RIVER NEAR ST. ANTHONY, HENRYS FORK NEAR REXBURG, SNAKE R ON JACKSON LAKE AT DAM, SNAKE RIVER NR JACKSON, PALISADES DAM, SNAKE RIVER NR HEISE, RIRIE DAM, RIRIE DAM, HENRYS FORK NEAR REXBURG, SNAKE RIVER NR HEISE, SNAKE AB EAGLE ROCK NR ID FALL, SNAKE RIVER NR SHELLEY, SNAKE RIVER AT BLACKFOOT, SNAKE RIVER NEAR BLACKFOOT, AMERICAN FALLS RESERVOIR, SNAKE RIV AT MILNER, BRUNEAU RIVER NR HOT SPRINGS, SNAKE RIVER BELOW SWAN FALLS, OWYHEE DAM, BOISE RIVER AT GLENWOOD BRIDGE, WARM SPRINGS RESERVOIR, AGENCY VLY DAM & BEULAH RSVR, BULLY CREEK DAM & RESERVOIR, MALHEUR RIVER NR VALE, CASCADE DAM, DEADWOOD DAM, PAYETTE RIVER NEAR EMMETT, SNAKE RIVER BELOW SWAN FALLS, OWYHEE DAM, BOISE RIVER AT GLENWOOD BRIDGE, PAYETTE RIVER NEAR EMMETT, WEISER RIVER NEAR WEISER, SNAKE RIVER AT WEISER, BROWNLEE DAM, SALMON R AT WHITEBIRD, GRANDE RONDE RIVER AT TROY, SNAKE RIVER NR ANATONE, DWORSHAK DAM, CLEARWATER R AT OROFINO, CLEARWATER R AT SPALDING, SNAKE RIVER NR ANATONE, CLEARWATER R AT SPALDING, LOWER GRANITE DAM, LITTLE GOOSE DAM, LOWER MONUMENTAL DAM, ICE HARBOR DAM, YAKIMA RIVER AT KIONA, WALLA WALLA RIV NR TOUCHET, MCNARY DAM, UMATILLA R AT PENDLETON, MCKAY CR NR PENDLETON, UMATILLA RIVER NEAR UMATILLA, JOHN DAY RIVER AT SERVICE CK, JOHN DAY DAM, DESCHUTES R AT MOODY NR BIGGS, THE DALLES, KLICKITAT R NR PITT, HOOD R AT TUCKER BRIDGE, WHITE SALMON R NR UNDERWOOD, BONNEVILLE DAM
2003-01-06,2696.0,5764.0,524.0,3683.0,184.0,418.0,145.0,429.0,1051.0,673.0,1898.0,2446.0,4460.0,2446.0,8053.0,9667.0,4024.0,75165.0,337.0,79326.0,90000.0,83221.0,743.0,316.0,81249.0,914.0,78962.0,769.0,80635.0,80030.0,310.0,197.0,216.0,333.0,538.0,202.0,1191.0,160.0,399.0,309.0,585.0,1191.0,585.0,2397.0,3848.0,342.0,441.0,1165.0,378.0,1410.0,383.0,1242.0,1975.0,1459.0,0.0,0.0,1410.0,1459.0,2219.0,1560.0,1823.0,1620.0,4325.0,610.0,91.0,7181.0,262.0,224.0,86.0,58.0,24.0,65.0,760.0,95.0,1102.0,7181.0,10.0,224.0,1102.0,1087.0,11234.0,12412.0,3955.0,1058.0,14521.0,4467.0,3341.0,5440.0,14521.0,5440.0,19961.0,19961.0,20318.0,20318.0,3848.0,748.0,97032.0,496.0,12.0,759.0,866.0,101035.0,5747.0,101147.0,1790.0,1048.0,1524.0,111900.0
2003-01-07,2634.0,5649.0,470.0,3634.0,175.0,392.0,145.0,415.0,1013.0,614.0,1795.0,2411.0,4404.0,2411.0,8007.0,9701.0,3720.0,75499.0,326.0,81306.0,90000.0,90000.0,760.0,315.0,91076.0,872.0,91769.0,687.0,97097.0,96943.0,275.0,178.0,214.0,290.0,525.0,132.0,1034.0,150.0,352.0,288.0,480.0,1034.0,480.0,2087.0,3535.0,341.0,440.0,1161.0,375.0,1418.0,382.0,1235.0,1958.0,1461.0,0.0,0.0,1418.0,1461.0,2223.0,1572.0,1797.0,1529.0,4166.0,608.0,88.0,7198.0,262.0,231.0,86.0,58.0,25.0,65.0,711.0,93.0,1028.0,7198.0,10.0,231.0,1028.0,697.0,10914.0,12163.0,3861.0,984.0,14799.0,3343.0,2945.0,5108.0,14799.0,5108.0,19906.0,19906.0,20217.0,20217.0,3535.0,533.0,112962.0,304.0,12.0,604.0,831.0,115789.0,5391.0,113765.0,1449.0,760.0,1256.0,116357.0
2003-01-08,2601.0,5583.0,438.0,3583.0,174.0,383.0,144.0,405.0,986.0,583.0,1730.0,2313.0,4341.0,2313.0,7878.0,9573.0,3056.0,75030.0,313.0,80592.0,91562.0,91016.0,777.0,314.0,91880.0,855.0,92363.0,653.0,97412.0,97370.0,260.0,172.0,213.0,282.0,522.0,112.0,916.0,141.0,329.0,271.0,448.0,916.0,448.0,1839.0,3165.0,341.0,439.0,1155.0,372.0,1421.0,382.0,1230.0,1954.0,1460.0,0.0,0.0,1421.0,1460.0,2229.0,1592.0,1797.0,1505.0,4108.0,606.0,84.0,7211.0,261.0,231.0,87.0,58.0,25.0,66.0,677.0,91.0,988.0,7211.0,10.0,231.0,988.0,502.0,10693.0,11748.0,3790.0,927.0,14577.0,2679.0,2709.0,4794.0,14577.0,4794.0,19371.0,19371.0,19646.0,19646.0,3165.0,444.0,120752.0,238.0,12.0,430.0,789.0,126294.0,5293.0,124842.0,1254.0,640.0,1090.0,127965.0
2003-01-09,2576.0,5543.0,430.0,3555.0,174.0,382.0,144.0,400.0,973.0,579.0,1707.0,2241.0,4285.0,2241.0,7694.0,9394.0,2562.0,74927.0,303.0,80406.0,95000.0,94922.0,790.0,313.0,95882.0,842.0,96366.0,644.0,101008.0,100860.0,241.0,163.0,213.0,273.0,519.0,105.0,871.0,131.0,308.0,251.0,420.0,871.0,420.0,1689.0,2881.0,340.0,437.0,1150.0,370.0,1421.0,381.0,1225.0,1952.0,1459.0,0.0,0.0,1421.0,1459.0,2227.0,1602.0,1799.0,1506.0,4099.0,604.0,80.0,7223.0,261.0,230.0,89.0,57.0,25.0,66.0,650.0,88.0,970.0,7223.0,10.0,230.0,970.0,411.0,10515.0,11412.0,3734.0,897.0,14446.0,2273.0,2537.0,4591.0,14446.0,4591.0,19037.0,19037.0,19276.0,19276.0,2881.0,419.0,121371.0,207.0,12.0,353.0,754.0,126577.0,5248.0,125076.0,1133.0,602.0,943.0,127925.0
2003-01-10,2554.0,5506.0,425.0,3540.0,174.0,381.0,144.0,399.0,969.0,576.0,1693.0,2209.0,4252.0,2209.0,7547.0,9244.0,2343.0,74834.0,295.0,80282.0,91875.0,92969.0,797.0,311.0,94510.0,829.0,95620.0,631.0,100885.0,100995.0,218.0,149.0,211.0,251.0,514.0,95.0,853.0,122.0,288.0,232.0,394.0,853.0,394.0,1604.0,2696.0,339.0,436.0,1144.0,369.0,1421.0,381.0,1221.0,1950.0,1458.0,0.0,0.0,1421.0,1458.0,2222.0,1608.0,1795.0,1507.0,4100.0,602.0,78.0,7270.0,261.0,229.0,89.0,57.0,26.0,68.0,627.0,86.0,955.0,7270.0,10.0,229.0,955.0,362.0,10395.0,11178.0,3686.0,879.0,14370.0,1992.0,2395.0,4424.0,14370.0,4424.0,18794.0,18794.0,19018.0,19018.0,2696.0,430.0,123714.0,188.0,12.0,320.0,718.0,128998.0,5252.0,127430.0,1082.0,618.0,820.0,129924.0
2003-01-11,2534.0,5471.0,422.0,3529.0,173.0,380.0,143.0,398.0,967.0,572.0,1681.0,2190.0,4231.0,2190.0,7449.0,9152.0,2227.0,75228.0,288.0,80317.0,78750.0,81094.0,797.0,310.0,83349.0,817.0,85293.0,615.0,91587.0,92112.0,201.0,139.0,209.0,237.0,509.0,88.0,836.0,114.0,269.0,217.0,370.0,836.0,370.0,1537.0,2584.0,339.0,435.0,1139.0,368.0,1420.0,380.0,1217.0,1949.0,1458.0,0.0,0.0,1420.0,1458.0,2217.0,1613.0,1788.0,1504.0,4098.0,600.0,76.0,7317.0,261.0,229.0,89.0,57.0,26.0,69.0,606.0,84.0,942.0,7317.0,10.0,229.0,942.0,334.0,10343.0,11050.0,3641.0,866.0,14316.0,1786.0,2277.0,4283.0,14316.0,4283.0,18600.0,18600.0,18818.0,18818.0,2584.0,458.0,120487.0,175.0,12.0,300.0,696.0,126897.0,5274.0,125580.0,1042.0,691.0,825.0,128508.0
2003-01-12,2514.0,5437.0,418.0,3518.0,173.0,379.0,143.0,397.0,965.0,569.0,1669.0,2173.0,4215.0,2173.0,7378.0,9093.0,2123.0,80686.0,281.0,84626.0,74375.0,71407.0,793.0,309.0,71715.0,805.0,71987.0,602.0,76714.0,77042.0,186.0,136.0,208.0,225.0,505.0,82.0,823.0,107.0,255.0,205.0,349.0,823.0,349.0,1480.0,2536.0,338.0,433.0,1134.0,366.0,1420.0,379.0,1212.0,1949.0,1457.0,0.0,0.0,1420.0,1457.0,2211.0,1619.0,1780.0,1498.0,4093.0,598.0,75.0,7309.0,260.0,228.0,89.0,57.0,26.0,70.0,587.0,82.0,931.0,7309.0,10.0,228.0,931.0,315.0,10365.0,11035.0,3597.0,854.0,14286.0,1669.0,2183.0,4180.0,14286.0,4180.0,18466.0,18466.0,18718.0,18718.0,2536.0,590.0,108223.0,194.0,12.0,286.0,707.0,115947.0,5341.0,115022.0,1023.0,774.0,905.0,118845.0
2003-01-13,2496.0,5405.0,415.0,3666.0,173.0,378.0,142.0,396.0,963.0,566.0,1657.0,2156.0,4231.0,2156.0,7318.0,9050.0,2051.0,81463.0,275.0,86889.0,93438.0,93515.0,788.0,307.0,94042.0,794.0,93697.0,591.0,95646.0,94775.0,174.0,132.0,206.0,215.0,501.0,78.0,811.0,101.0,249.0,194.0,338.0,811.0,338.0,1440.0,2463.0,337.0,432.0,1129.0,365.0,1421.0,379.0,1208.0,1948.0,1456.0,1.0,0.0,1421.0,1456.0,2206.0,1624.0,1773.0,1492.0,4087.0,596.0,74.0,7284.0,260.0,228.0,89.0,57.0,26.0,71.0,570.0,80.0,921.0,7284.0,10.0,228.0,921.0,301.0,10363.0,11031.0,3554.0,843.0,14715.0,1550.0,2106.0,4087.0,14715.0,4087.0,18802.0,18802.0,19100.0,19100.0,2463.0,613.0,103448.0,192.0,12.0,296.0,720.0,107562.0,5342.0,105883.0,1001.0,762.0,868.0,108448.0
2003-01-14,2479.0,5372.0,411.0,3699.0,172.0,378.0,142.0,395.0,961.0,563.0,1644.0,2139.0,4349.0,2139.0,7286.0,9031.0,2031.0,81350.0,269.0,86794.0,90000.0,90078.0,782.0,306.0,91307.0,784.0,92208.0,580.0,96577.0,96735.0,163.0,131.0,206.0,206.0,498.0,75.0,802.0,96.0,244.0,185.0,330.0,802.0,330.0,1412.0,2429.0,337.0,430.0,1125.0,364.0,1422.0,378.0,1204.0,1947.0,1455.0,1.0,0.0,1422.0,1455.0,2201.0,1630.0,1766.0,1487.0,4081.0,594.0,74.0,7279.0,260.0,227.0,89.0,57.0,26.0,71.0,554.0,78.0,912.0,7279.0,10.0,227.0,912.0,291.0,10332.0,10998.0,3511.0,834.0,15826.0,1467.0,2043.0,4014.0,15826.0,4014.0,19841.0,19841.0,20203.0,20203.0,2429.0,650.0,119886.0,188.0,12.0,301.0,692.0,123964.0,5367.0,121811.0,1020.0,901.0,994.0,123315.0
2003-01-15,2463.0,5339.0,408.0,3689.0,172.0,377.0,142.0,394.0,958.0,560.0,1632.0,2122.0,4373.0,2122.0,7330.0,9087.0,2008.0,81267.0,264.0,86696.0,90000.0,90000.0,776.0,305.0,91089.0,773.0,91782.0,583.0,95541.0,95550.0,162.0,136.0,206.0,198.0,497.0,82.0,797.0,91.0,240.0,177.0,323.0,797.0,323.0,1397.0,2420.0,336.0,429.0,1120.0,362.0,1423.0,378.0,1200.0,1947.0,1454.0,1.0,0.0,1423.0,1454.0,2197.0,1636.0,1759.0,1481.0,4076.0,592.0,73.0,7276.0,260.0,226.0,89.0,57.0,26.0,72.0,540.0,77.0,904.0,7276.0,10.0,226.0,904.0,308.0,10312.0,10966.0,3468.0,832.0,15882.0,1434.0,1989.0,3945.0,15882.0,3945.0,19827.0,19827.0,20238.0,20238.0,2420.0,645.0,119379.0,192.0,12.0,296.0,705.0,125203.0,5469.0,123748.0,1190.0,1031.0,1067.0,126946.0
