, LIBBY DAM, KOOTENAI RIV AT LEONIA, NF FLATHEAD R NR COLUMBIA FALL, MF FLATHEAD NR WEST GLACIER, DAM AT HUNGRY HORSE, FLATHEAD R AT COLUMBIA FALLS, CLARK FORK AT DEER LODGE, CLARK FORK AT DRUMMOND, ROCK CREEK NR CLINTON, BLACKFOOT R NR BONNER, CLARK FORK AB MISSOULA, BITTERROOT R NR MISSOULA, CLARK FORK BELOW MISSOULA, ST. REGIS R. NR ST. REGIS, CLARK FORK AT ST REGIS    TB20, KERR DAM, NOXON RAPIDS DAM, CABINET GORGE DAM, PRIEST R NR PRIEST RIVER, ALBENI FALLS DAM, COEUR D'ALENE LAKE, SPOKANE RIV AT LONGLAKE, ST MARIES R NR SANTA, COLUMBIAR @INTERNATL BOUNDAR, KETTLE RIVER AT LAURIER, GRAND COULEE DAM, CHIEF JOSEPH DAM, OKANOGAN RIVER NEAR TONASKET, METHOW R NEAR PATEROS, WELLS DAM, LAKE CHELAN DAM, ROCKY REACH DAM, ENTIAT R NR ARDENVOIR, WENATCHEE R AT PESHASTIN  TB20, WANAPUM DAM, PRIEST RAPIDS DAM, KEECHELUS LAKE, KACHESS DAM NEAR EASTON, YAKIMA RIVER AT EASTON, CLE ELUM LAKE NEAR ROSLYN, YAKIMA RIVER AT CLE ELUM, TEANAWAY RIVER BLW FORKS, YAKIMA RIVER AT UMTANUM, BUMPING LK DM NR GOOSE PRAIRIE, NACHES RIVER NEAR CLIFFDEL, RIMROCK LAKE NEAR RIMROCK, NACHES RIVER NEAR NACHES, YAKIMA RIVER NEAR PARKER, YAKIMA RIVER AT KIONA, ISLAND PARK 1SWIS.PARKDM&RES, FALL RIVER NR CHESTER, HENRYS FORK AT ST. ANTHONY, TETON RIVER NEAR ST. ANTHONY, HENRYS FORK NEAR REXBURG, SNKE R ON JACKSN LK AT DM TB20, SNAKE RIVER NR JACKSON, SNAKE RIVER NR ALPINE, PALISADES DAM, SNAKE RIVER NR HEISE, RIRIE DAM AND LAKE ON WILLOW C, SNAKE AB EAGLE ROCK NR ID FALL, SNAKE RIVER NR SHELLEY, SNAKE RIVER AT BLACKFOOT, SNAKE RIVER NEAR BLACKFOOT, PORTNEUF RIVER AT POCATELLO, AMERICAN FALLS RESERVOIR  TB12, SNAKE RIV AT MILNER, BRUNEAU RIVER NR HOT SPRINGS, SNAKE RIVER BELOW SWAN FALLS, BIG LOST R@HOW'L RNCH NR CHILL, BIG LOST R AT MACKAY, BIG WOOD RIVER AT HAILEY, MAGIC DAM OUTFLOW, LITL.WOODDM&RESNRCAREY, OWYHEE BELOW OWYHEE DAM, ANDERSON RANCH DAM, BOISE LUCKY PEAK DAM, BOISE RIVER AT GLENWOOD BRIDGE, BOISE RIVER NR PARMA, WARM SPRINGS DAM & RESERVOIR, AGENCY VLY DAM & BEULAH RSVR, BULLY CREEK DAM & RES     TB12, MALHEUR RIVER NR VALE, CASCADE DAM               TB12, DEADWOOD RESERVOIR NR LOWMAN, PAYETTE RIVER NEAR EMMETT, WEISER RIVER NR WEISER, SNAKE RIVER AT WEISER, BROWNLEE DAM, SALMON R AT WHITEBIRD, GRANDE RONDE RIVER AT TROY, SNAKE RIVER NR ANATONE, CLEARWATER R AT OROFINO, DWORSHAK DAM, CLEARWATER R AT SPALDING, LOWER GRANITE DAM, LITTLE GOOSE DAM, LOWER MONUMENTAL DAM, ICE HARBOR DAM, WALLA WALLA RIV NEAR TOUCHET, MCNARY DAM NEAR MCNARY, UMATILLA R NR GIBBON, UMATILLA R AT PENDLETON, MCKAY CR NR PILOTROCK, UMATILLA RIVER NEAR UMATILLA, NF JOHN DAY RIV AT MONUMENT, JOHN DAY RIVER AT SERVICE CK, JOHN DAY DAM, DESCHUTES R AT MOODY NR BIGGS, THE DALLES, KLICKITAT R NR PITT, HOOD R NR TUCKER BRIDGE   TB20, WHITE SALMON R NEAR UNDERWOOD, BONNEVILLE DAM
2008-02-19,2424.0,11486.0,495.0,474.0,744.0,3732.0,185.0,386.0,123.0,562.0,1062.0,736.0,1799.0,121.0,2608.0,4564.0,11456.0,12335.0,417.0,15261.0,2704.0,4345.0,283.0,61556.0,320.0,68559.0,96010.0,801.0,353.0,98855.0,842.0,103014.0,73.0,755.0,105884.0,106727.0,151.0,129.0,226.0,263.0,619.0,357.0,1183.0,85.0,341.0,163.0,634.0,1996.0,2917.0,383.0,469.0,1280.0,350.0,1765.0,490.0,1117.0,1301.0,1998.0,1110.0,22.0,2236.0,2032.0,1729.0,1488.0,187.0,4021.0,673.0,95.0,6889.0,88.0,88.0,128.0,84.0,39.0,600.0,315.0,257.0,245.0,800.0,62.0,65.0,33.0,88.0,290.0,70.0,1104.0,469.0,9816.0,11593.0,3940.0,1787.0,20801.0,2653.0,2069.0,6883.0,27684.0,27684.0,28909.0,28909.0,1028.0,142665.0,272.0,633.0,261.0,583.0,794.0,1337.0,146958.0,5492.0,147715.0,1737.0,1013.0,1093.0,154323.0
2008-02-20,2408.0,13369.0,496.0,467.0,743.0,3697.0,184.0,384.0,123.0,558.0,1066.0,731.0,1797.0,119.0,2520.0,4527.0,11344.0,12140.0,412.0,14689.0,2623.0,4103.0,266.0,61169.0,319.0,67560.0,90000.0,713.0,350.0,91351.0,823.0,93937.0,72.0,769.0,95356.0,95623.0,152.0,129.0,225.0,258.0,610.0,342.0,1185.0,88.0,347.0,176.0,621.0,1983.0,2875.0,382.0,468.0,1274.0,346.0,1632.0,489.0,1101.0,1283.0,2009.0,1115.0,22.0,2196.0,2013.0,1740.0,1519.0,186.0,4079.0,687.0,95.0,6914.0,88.0,88.0,128.0,83.0,39.0,668.0,307.0,255.0,248.0,786.0,62.0,63.0,33.0,87.0,287.0,70.0,1067.0,460.0,9899.0,11537.0,3909.0,1732.0,22363.0,2581.0,1994.0,7136.0,29498.0,29498.0,30624.0,30624.0,896.0,135919.0,225.0,564.0,211.0,545.0,747.0,1425.0,144861.0,5643.0,146959.0,1808.0,1328.0,1157.0,151512.0
2008-02-21,2393.0,13350.0,497.0,460.0,738.0,3688.0,183.0,382.0,122.0,556.0,1071.0,725.0,1797.0,117.0,2484.0,4492.0,11248.0,12004.0,406.0,14506.0,2526.0,4021.0,255.0,61026.0,317.0,67004.0,88750.0,698.0,348.0,90108.0,807.0,92640.0,72.0,815.0,93726.0,93792.0,144.0,123.0,225.0,254.0,596.0,288.0,1152.0,86.0,354.0,176.0,618.0,1971.0,2921.0,381.0,466.0,1268.0,345.0,1548.0,488.0,1092.0,1268.0,1989.0,1115.0,22.0,2080.0,1900.0,1680.0,1512.0,185.0,4094.0,702.0,93.0,6977.0,88.0,88.0,128.0,83.0,39.0,724.0,295.0,252.0,248.0,778.0,61.0,61.0,33.0,87.0,284.0,70.0,1042.0,603.0,9960.0,11403.0,3867.0,1505.0,22519.0,2511.0,1927.0,7037.0,29556.0,29556.0,30714.0,30714.0,916.0,129222.0,186.0,450.0,176.0,474.0,683.0,1429.0,137171.0,5788.0,139283.0,1839.0,1466.0,1172.0,144056.0
2008-02-22,2378.0,12910.0,494.0,452.0,732.0,3677.0,182.0,380.0,122.0,554.0,1077.0,721.0,1798.0,117.0,2480.0,4471.0,11221.0,11939.0,400.0,14399.0,2611.0,4010.0,246.0,60895.0,316.0,66649.0,81250.0,697.0,345.0,83187.0,792.0,86384.0,72.0,814.0,88362.0,88699.0,145.0,126.0,227.0,323.0,599.0,275.0,1120.0,84.0,349.0,181.0,605.0,1932.0,3083.0,381.0,464.0,1260.0,344.0,1517.0,487.0,1095.0,1266.0,1978.0,1115.0,22.0,2000.0,1801.0,1572.0,1435.0,184.0,4048.0,716.0,92.0,7009.0,88.0,88.0,127.0,82.0,38.0,832.0,293.0,250.0,249.0,772.0,61.0,64.0,33.0,86.0,281.0,70.0,1042.0,823.0,10172.0,11493.0,3837.0,1339.0,22282.0,2478.0,1896.0,6494.0,28776.0,28776.0,29997.0,29997.0,884.0,126888.0,167.0,387.0,177.0,382.0,650.0,1401.0,134798.0,5978.0,137050.0,1885.0,1834.0,1263.0,141925.0
2008-02-23,2363.0,9665.0,490.0,445.0,725.0,3665.0,180.0,379.0,122.0,552.0,1083.0,716.0,1799.0,114.0,2472.0,4453.0,11221.0,11918.0,394.0,14374.0,2745.0,4100.0,237.0,60376.0,315.0,65906.0,70000.0,705.0,343.0,71307.0,778.0,74068.0,71.0,823.0,75965.0,76398.0,139.0,127.0,229.0,373.0,605.0,294.0,1126.0,81.0,353.0,185.0,605.0,1942.0,3109.0,380.0,463.0,1251.0,343.0,1502.0,487.0,1095.0,1267.0,1979.0,1114.0,22.0,1967.0,1754.0,1495.0,1343.0,184.0,3958.0,731.0,96.0,7132.0,87.0,87.0,127.0,86.0,38.0,875.0,291.0,253.0,249.0,766.0,60.0,113.0,52.0,86.0,278.0,69.0,1065.0,1183.0,10522.0,12190.0,3812.0,1339.0,21972.0,2481.0,1874.0,4616.0,26588.0,26588.0,28141.0,28141.0,1342.0,117581.0,158.0,357.0,247.0,368.0,847.0,1509.0,126868.0,5976.0,129471.0,1855.0,1609.0,1219.0,135323.0
2008-02-24,2350.0,6171.0,486.0,438.0,719.0,3658.0,179.0,377.0,121.0,550.0,1090.0,712.0,1801.0,111.0,2465.0,4444.0,11239.0,11942.0,390.0,14462.0,2748.0,4182.0,229.0,61478.0,314.0,66401.0,76250.0,710.0,341.0,75966.0,765.0,76969.0,71.0,813.0,76450.0,76133.0,136.0,123.0,232.0,340.0,607.0,287.0,1125.0,79.0,360.0,188.0,608.0,1976.0,3220.0,379.0,461.0,1243.0,342.0,1490.0,486.0,1092.0,1264.0,1975.0,1114.0,22.0,1951.0,1731.0,1457.0,1285.0,184.0,3882.0,746.0,99.0,7174.0,87.0,87.0,126.0,86.0,38.0,888.0,289.0,255.0,249.0,763.0,60.0,118.0,112.0,86.0,275.0,69.0,1078.0,1229.0,10826.0,13265.0,3789.0,1379.0,20985.0,2512.0,1858.0,4712.0,25697.0,25697.0,27818.0,27818.0,1476.0,107896.0,161.0,340.0,208.0,358.0,883.0,1683.0,116173.0,6150.0,118771.0,1894.0,1568.0,1170.0,123953.0
2008-02-25,2336.0,8879.0,482.0,432.0,712.0,3654.0,178.0,375.0,121.0,548.0,1096.0,708.0,1803.0,109.0,2461.0,4440.0,11258.0,11937.0,393.0,14389.0,2722.0,4062.0,225.0,63111.0,313.0,67577.0,93750.0,720.0,339.0,94620.0,761.0,96328.0,70.0,865.0,95654.0,94992.0,163.0,161.0,244.0,495.0,666.0,351.0,1197.0,78.0,371.0,196.0,617.0,2048.0,3383.0,378.0,459.0,1235.0,341.0,1479.0,485.0,1089.0,1260.0,1969.0,1114.0,22.0,1938.0,1714.0,1435.0,1255.0,184.0,3839.0,771.0,102.0,7432.0,87.0,87.0,126.0,95.0,38.0,881.0,287.0,255.0,249.0,774.0,60.0,133.0,211.0,86.0,272.0,69.0,1261.0,1225.0,10986.0,13746.0,3763.0,1426.0,24319.0,2583.0,1931.0,5181.0,29500.0,29500.0,31405.0,31405.0,1357.0,116308.0,167.0,322.0,245.0,379.0,886.0,1813.0,121117.0,6555.0,123238.0,1893.0,1453.0,1172.0,126712.0
2008-02-26,2323.0,10883.0,479.0,426.0,705.0,3650.0,176.0,374.0,121.0,547.0,1101.0,705.0,1806.0,108.0,2458.0,4448.0,11274.0,11940.0,392.0,14435.0,2758.0,4142.0,217.0,64025.0,312.0,68616.0,87680.0,736.0,337.0,89315.0,765.0,92218.0,70.0,906.0,93973.0,94233.0,147.0,135.0,243.0,430.0,636.0,350.0,1248.0,78.0,391.0,203.0,634.0,2175.0,3394.0,377.0,458.0,1229.0,340.0,1469.0,484.0,1086.0,1256.0,1964.0,1113.0,22.0,1927.0,1698.0,1419.0,1238.0,184.0,3817.0,802.0,111.0,7585.0,87.0,87.0,125.0,104.0,37.0,987.0,291.0,264.0,249.0,770.0,59.0,160.0,327.0,86.0,269.0,69.0,1187.0,1315.0,11315.0,14355.0,3740.0,1488.0,26297.0,2746.0,2039.0,5734.0,32031.0,32031.0,34096.0,34096.0,1165.0,133567.0,173.0,313.0,256.0,357.0,1143.0,2223.0,140375.0,6749.0,142794.0,1851.0,1457.0,1102.0,146071.0
2008-02-27,2311.0,10979.0,475.0,420.0,698.0,3651.0,175.0,372.0,120.0,545.0,1098.0,702.0,1800.0,108.0,2461.0,4546.0,11309.0,12013.0,440.0,14926.0,2961.0,4130.0,220.0,64432.0,323.0,69045.0,80970.0,831.0,335.0,82167.0,900.0,84701.0,70.0,977.0,86277.0,86528.0,173.0,153.0,249.0,616.0,689.0,410.0,1318.0,95.0,419.0,226.0,670.0,2261.0,3571.0,377.0,456.0,1226.0,339.0,1460.0,483.0,1083.0,1253.0,1958.0,1113.0,22.0,1916.0,1683.0,1403.0,1225.0,184.0,3802.0,833.0,115.0,7555.0,87.0,87.0,125.0,105.0,37.0,1052.0,288.0,265.0,249.0,768.0,59.0,182.0,393.0,86.0,267.0,68.0,1084.0,1471.0,11480.0,14788.0,3718.0,1532.0,27194.0,2934.0,2104.0,6207.0,33401.0,33401.0,36298.0,36298.0,1028.0,130851.0,210.0,334.0,271.0,334.0,1194.0,2647.0,140052.0,7068.0,143479.0,2351.0,2084.0,1265.0,148514.0
2008-02-28,2298.0,10608.0,472.0,415.0,691.0,3656.0,174.0,370.0,120.0,543.0,1094.0,707.0,1801.0,108.0,2473.0,4566.0,11346.0,12046.0,507.0,14906.0,3091.0,4239.0,268.0,64927.0,343.0,69711.0,81639.0,934.0,337.0,82730.0,930.0,84939.0,69.0,1060.0,85897.0,85864.0,160.0,148.0,257.0,662.0,668.0,406.0,1379.0,104.0,459.0,242.0,727.0,2419.0,3708.0,376.0,454.0,1225.0,338.0,1454.0,483.0,1080.0,1249.0,1953.0,1113.0,22.0,1907.0,1669.0,1388.0,1213.0,184.0,3794.0,865.0,136.0,7776.0,86.0,86.0,124.0,112.0,37.0,1106.0,315.0,272.0,249.0,773.0,59.0,212.0,457.0,86.0,264.0,68.0,1093.0,1702.0,11649.0,15186.0,3705.0,1631.0,28096.0,3135.0,2531.0,7160.0,35255.0,35255.0,38723.0,38723.0,1045.0,128316.0,239.0,384.0,308.0,367.0,1291.0,2968.0,137042.0,7209.0,140460.0,2388.0,2175.0,1411.0,146403.0
