, LIBBY DAM, KOOTENAI RIV AT LEONIA, NF FLATHEAD R NR COLUMBIA FALL, MF FLATHEAD NR WEST GLACIER, HUNGRY HORSE DAM, FLATHEAD R AT COLUMBIA FALLS, CLARK FORK AT DEER LODGE, CLARK FORK AT DRUMMOND, ROCK CREEK NR CLINTON, BLACKFOOT R NR BONNER, CLARK FORK AB MISSOULA, BITTERROOT R NR MISSOULA, CLARK FORK BELOW MISSOULA, ST. REGIS R. NR ST. REGIS, CLARK FORK AT ST REGIS    TB20, KERR DAM, NOXON RAPIDS DAM, CABINET GORGE DAM, PRIEST R NR PRIEST RIVER, ALBENI FALLS DAM, COEUR D'ALENE LAKE, SPOKANE RIV AT LONGLAKE, ST MARIES R NR SANTA, COLUMBIAR @INTERNATL BOUNDAR, KETTLE RIVER AT LAURIER, GRAND COULEE DAM, CHIEF JOSEPH DAM, OKANOGAN RIVER NR TONASKET, METHOW R NR PATEROS, WELLS DAM, LAKE CHELAN DAM, ROCKY REACH DAM, ENTIAT R NR ARDENVOIR, WENATCHEE R AT PESHASTIN  TB20, WANAPUM DAM, PRIEST RAPIDS DAM, KEECHELUS LAKE, KACHESS DAM, YAKIMA RIVER AT EASTON, CLE ELUM LAKE, YAKIMA RIVER AT CLE ELUM, TEANAWAY RIVER BLW FORKS, YAKIMA RIVER AT UMTANUM, BUMPING LAKE, NACHES RIVER NR CLIFFDEL, RIMROCK LAKE, NACHES RIVER NR NACHES, YAKIMA RIVER NR PARKER, YAKIMA RIVER AT KIONA, ISLAND PARK 1SWIS.PARKDM&RES, FALL RIVER NR CHESTER, HENRYS FORK AT ST. ANTHONY, TETON RIVER NEAR ST. ANTHONY, HENRYS FORK NEAR REXBURG, SNKE R ON JACKSN LK AT DM TB20, SNAKE RIVER NR JACKSON, SNAKE RIVER NR ALPINE, PALISADES DAM, SNAKE RIVER NR HEISE, RIRIE DAM, SNAKE AB EAGLE ROCK NR ID FALL, SNAKE RIVER NR SHELLEY, SNAKE RIVER AT BLACKFOOT, SNAKE RIVER NEAR BLACKFOOT, PORTNEUF RIVER AT POCATELLO, AMERICAN FALLS RESERVOIR  TB12, SNAKE RIV AT MILNER, BRUNEAU RIVER NR HOT SPRINGS, SNAKE RIVER BELOW SWAN FALLS, BIG LOST R@HOW'L RNCH NR CHILL, BIG LOST R AT MACKAY, BIG WOOD RIVER AT HAILEY, MAGIC DM&RES-BIG WOOD RICHFLD, LITL.WOODDM&RESNRCAREY, OWYHEE BELOW OWYHEE DAM, ANDERSON RANCH DAM        TB12, LUCKY PEAK RESERVOIR, BOISE RIVER AT GLENWOOD BRIDGE, BOISE RIVER NR PARMA, WARM SPRINGS RESERVOIR, AGENCY VLY DAM & BEULAH RSVR, BULLY CREEK DAM & RES     TB12, MALHEUR RIVER NR VALE, CASCADE DAM               TB12, DEADWOOD DAM, PAYETTE RIVER NEAR EMMETT, WEISER 10 ENE, SNAKE RIVER AT WEISER, BROWNLEE DAM, SALMON R AT WHITEBIRD, GRANDE RONDE RIVER AT TROY, SNAKE RIVER NR ANATONE, CLEARWATER R AT OROFINO, DWORSHAK DAM, CLEARWATER R AT SPALDING, LOWER GRANITE DAM, LITTLE GOOSE DAM, LOWER MONUMENTAL DAM, ICE HARBOR DAM, WALLA WALLA RIV NR TOUCHET, MCNARY DAM, UMATILLA R NR GIBBON, UMATILLA R AT PENDLETON, MCKAY CR NR PILOTROCK, UMATILLA RIVER NEAR UMATILLA, NF JOHN DAY RIV AT MONUMENT, JOHN DAY RIVER AT SERVICE CK, JOHN DAY DAM, DESCHUTES R AT MOODY NR BIGGS, THE DALLES, KLICKITAT R NR PITT, HOOD R AT TUCKER BRIDGE   TB20, WHITE SALMON R NR UNDERWOOD, BONNEVILLE DAM
2004-01-26,2986.0,4466.0,808.0,397.0,538.0,3637.0,157.0,366.0,176.0,589.0,1213.0,569.0,1860.0,84.0,2441.0,4700.0,8952.0,9372.0,566.0,11817.0,1576.0,3226.0,81.0,83543.0,346.0,88069.0,114041.0,1084.0,381.0,111222.0,537.0,108856.0,87.0,951.0,105013.0,102911.0,176.0,164.0,220.0,320.0,603.0,163.0,887.0,136.0,325.0,186.0,497.0,1540.0,1516.0,323.0,383.0,1062.0,327.0,1385.0,464.0,940.0,1171.0,1874.0,1292.0,20.0,1887.0,1764.0,1463.0,1258.0,183.0,1994.0,560.0,83.0,6594.0,53.0,16.0,136.0,90.0,46.0,342.0,239.0,827.0,284.0,772.0,35.0,59.0,44.0,40.0,238.0,45.0,1065.0,466.0,9724.0,10327.0,3168.0,922.0,17025.0,1508.0,1668.0,8289.0,25313.0,25313.0,25636.0,25636.0,1305.0,107139.0,205.0,750.0,378.0,998.0,1146.0,1826.0,111390.0,6220.0,108927.0,1055.0,1099.0,670.0,122743.0
2004-01-27,2955.0,4459.0,805.0,393.0,502.0,3652.0,157.0,364.0,176.0,578.0,1200.0,568.0,1840.0,84.0,2418.0,4676.0,8921.0,9329.0,564.0,11700.0,1530.0,3367.0,71.0,84554.0,342.0,88602.0,124844.0,1126.0,380.0,126102.0,530.0,128130.0,87.0,920.0,129854.0,129504.0,196.0,205.0,226.0,428.0,604.0,188.0,879.0,129.0,317.0,183.0,480.0,1508.0,1536.0,322.0,382.0,1059.0,326.0,1379.0,463.0,938.0,1167.0,1869.0,1287.0,20.0,1879.0,1754.0,1454.0,1249.0,183.0,2002.0,560.0,78.0,6609.0,53.0,16.0,134.0,84.0,46.0,341.0,239.0,801.0,277.0,757.0,35.0,59.0,44.0,40.0,238.0,45.0,1045.0,433.0,9870.0,10598.0,3201.0,921.0,22597.0,1498.0,1625.0,10855.0,33452.0,33452.0,33862.0,33862.0,1336.0,151229.0,189.0,758.0,285.0,830.0,918.0,1547.0,151457.0,5887.0,148267.0,1039.0,1246.0,668.0,147138.0
2004-01-28,2935.0,4465.0,802.0,390.0,490.0,3698.0,156.0,363.0,175.0,567.0,1187.0,567.0,1819.0,84.0,2401.0,4693.0,8900.0,9295.0,562.0,11673.0,1472.0,3481.0,95.0,85353.0,339.0,89790.0,123437.0,1118.0,378.0,125284.0,547.0,127897.0,87.0,955.0,130568.0,130641.0,301.0,325.0,290.0,678.0,682.0,304.0,955.0,127.0,349.0,218.0,501.0,1537.0,1654.0,322.0,381.0,1057.0,325.0,1373.0,462.0,935.0,1164.0,1861.0,1286.0,20.0,1869.0,1740.0,1442.0,1240.0,183.0,2008.0,560.0,80.0,6721.0,53.0,17.0,133.0,84.0,46.0,341.0,238.0,785.0,277.0,757.0,34.0,59.0,43.0,40.0,238.0,45.0,1039.0,372.0,9825.0,10561.0,3191.0,957.0,23216.0,1473.0,1634.0,10999.0,34215.0,34215.0,35804.0,35804.0,2212.0,170933.0,243.0,1216.0,301.0,912.0,966.0,1461.0,176944.0,6380.0,175796.0,1738.0,1971.0,940.0,177951.0
2004-01-29,2916.0,4473.0,799.0,388.0,487.0,3743.0,155.0,362.0,175.0,564.0,1182.0,566.0,1807.0,84.0,2383.0,4729.0,8875.0,9348.0,583.0,11734.0,1419.0,3824.0,203.0,85429.0,336.0,90310.0,114531.0,1133.0,376.0,116559.0,637.0,119515.0,87.0,1194.0,123087.0,123452.0,614.0,612.0,453.0,1374.0,1054.0,645.0,1380.0,247.0,829.0,409.0,1078.0,2081.0,1943.0,321.0,380.0,1056.0,325.0,1367.0,462.0,932.0,1160.0,1854.0,1286.0,20.0,1862.0,1730.0,1429.0,1229.0,184.0,2012.0,560.0,86.0,6819.0,52.0,17.0,133.0,84.0,46.0,340.0,238.0,769.0,276.0,758.0,34.0,58.0,43.0,40.0,237.0,44.0,1057.0,646.0,9939.0,10611.0,3181.0,1158.0,23719.0,1535.0,2096.0,12192.0,35911.0,35911.0,40204.0,40204.0,3196.0,172081.0,490.0,1527.0,541.0,1313.0,1088.0,1667.0,179767.0,9691.0,182313.0,3744.0,4013.0,1582.0,187871.0
2004-01-30,2899.0,4481.0,796.0,388.0,485.0,3736.0,155.0,361.0,174.0,563.0,1178.0,565.0,1795.0,84.0,2368.0,4757.0,8858.0,9408.0,693.0,11932.0,1562.0,5397.0,343.0,85487.0,333.0,91936.0,107031.0,1131.0,375.0,109420.0,612.0,112615.0,87.0,1255.0,116281.0,116610.0,518.0,513.0,397.0,1209.0,1022.0,689.0,1840.0,274.0,956.0,371.0,1274.0,3350.0,2615.0,321.0,379.0,1054.0,324.0,1362.0,461.0,929.0,1157.0,1847.0,1285.0,20.0,1856.0,1720.0,1419.0,1219.0,184.0,2016.0,560.0,94.0,6885.0,52.0,17.0,132.0,85.0,46.0,340.0,238.0,761.0,276.0,758.0,34.0,58.0,43.0,40.0,237.0,44.0,1233.0,1908.0,11268.0,11792.0,3170.0,1623.0,24519.0,1865.0,2986.0,13057.0,37576.0,37576.0,48483.0,48483.0,3967.0,174284.0,772.0,2500.0,732.0,1877.0,1343.0,2140.0,181913.0,11179.0,185779.0,4084.0,3848.0,1567.0,195128.0
2004-01-31,2883.0,4490.0,793.0,387.0,484.0,3719.0,154.0,360.0,174.0,561.0,1174.0,564.0,1784.0,83.0,2354.0,4741.0,8842.0,9344.0,750.0,11945.0,2111.0,4803.0,168.0,84620.0,330.0,91044.0,87500.0,1118.0,373.0,90422.0,589.0,94376.0,87.0,1100.0,99218.0,100055.0,353.0,342.0,361.0,830.0,835.0,557.0,1699.0,218.0,796.0,301.0,1014.0,3388.0,3413.0,320.0,378.0,1053.0,323.0,1357.0,460.0,926.0,1153.0,1840.0,1284.0,20.0,1850.0,1711.0,1410.0,1211.0,185.0,2021.0,560.0,99.0,6867.0,52.0,17.0,132.0,85.0,46.0,340.0,237.0,756.0,275.0,759.0,33.0,58.0,43.0,40.0,236.0,43.0,1263.0,1590.0,11706.0,13003.0,3160.0,1646.0,21050.0,2153.0,2660.0,5637.0,26687.0,26687.0,35775.0,35775.0,3302.0,161438.0,539.0,1959.0,500.0,2529.0,1166.0,2240.0,174946.0,9258.0,177810.0,2468.0,2668.0,1073.0,187800.0
2004-02-01,2867.0,4498.0,790.0,387.0,482.0,3713.0,153.0,359.0,173.0,559.0,1171.0,563.0,1773.0,83.0,2342.0,4724.0,8828.0,9290.0,757.0,11906.0,2352.0,3955.0,106.0,73005.0,328.0,83127.0,77925.0,1086.0,372.0,79778.0,574.0,82840.0,86.0,969.0,86578.0,87180.0,285.0,256.0,351.0,626.0,783.0,439.0,1487.0,199.0,719.0,279.0,916.0,3062.0,3626.0,320.0,377.0,1051.0,323.0,1352.0,460.0,924.0,1150.0,1833.0,1284.0,20.0,1845.0,1703.0,1403.0,1205.0,185.0,2029.0,560.0,100.0,6807.0,52.0,17.0,131.0,85.0,46.0,339.0,237.0,751.0,274.0,760.0,33.0,57.0,43.0,40.0,236.0,43.0,1196.0,935.0,11138.0,12708.0,3149.0,1370.0,19718.0,2210.0,2329.0,5102.0,24819.0,24819.0,30597.0,30597.0,2617.0,137810.0,356.0,1382.0,373.0,1983.0,999.0,1919.0,151727.0,7808.0,153557.0,1977.0,2006.0,962.0,162257.0
2004-02-02,2852.0,4506.0,787.0,386.0,481.0,3707.0,153.0,357.0,173.0,557.0,1167.0,562.0,1761.0,82.0,2329.0,4712.0,8822.0,9261.0,750.0,11874.0,2023.0,3860.0,103.0,57877.0,325.0,65317.0,101719.0,1053.0,371.0,102194.0,565.0,102987.0,86.0,912.0,102234.0,101246.0,250.0,216.0,341.0,526.0,760.0,355.0,1333.0,184.0,653.0,262.0,830.0,2768.0,3398.0,319.0,376.0,1050.0,322.0,1348.0,459.0,921.0,1146.0,1826.0,1283.0,20.0,1840.0,1694.0,1394.0,1197.0,185.0,2036.0,560.0,98.0,6799.0,52.0,17.0,131.0,85.0,46.0,339.0,236.0,747.0,274.0,761.0,32.0,57.0,42.0,40.0,235.0,43.0,1153.0,609.0,10571.0,11930.0,3138.0,1218.0,19480.0,2158.0,2250.0,5025.0,24504.0,24504.0,28680.0,28680.0,2001.0,126033.0,289.0,1122.0,296.0,1506.0,924.0,1671.0,134731.0,7040.0,134937.0,1837.0,1520.0,877.0,140558.0
2004-02-03,2837.0,4514.0,784.0,385.0,479.0,3701.0,153.0,356.0,172.0,555.0,1163.0,561.0,1750.0,82.0,2315.0,4701.0,8812.0,9228.0,734.0,11835.0,1698.0,3522.0,97.0,56825.0,323.0,61460.0,98833.0,1028.0,369.0,100548.0,557.0,103170.0,86.0,883.0,105585.0,105741.0,227.0,194.0,331.0,473.0,741.0,298.0,1229.0,171.0,595.0,248.0,759.0,2545.0,3127.0,318.0,375.0,1048.0,321.0,1343.0,458.0,918.0,1143.0,1820.0,1282.0,20.0,1834.0,1685.0,1385.0,1190.0,186.0,2043.0,560.0,97.0,6804.0,52.0,18.0,130.0,86.0,46.0,338.0,236.0,743.0,273.0,762.0,32.0,57.0,42.0,40.0,235.0,42.0,1134.0,489.0,10328.0,11429.0,3127.0,1148.0,19134.0,2078.0,2146.0,4796.0,23929.0,23929.0,26966.0,26966.0,1558.0,138483.0,251.0,1001.0,261.0,1248.0,925.0,1592.0,145156.0,6644.0,144169.0,1770.0,1355.0,899.0,147358.0
2004-02-04,2823.0,4521.0,781.0,385.0,478.0,3695.0,152.0,356.0,172.0,553.0,1160.0,560.0,1739.0,81.0,2301.0,4691.0,8799.0,9196.0,718.0,11797.0,1545.0,3069.0,93.0,56781.0,320.0,60399.0,94833.0,1009.0,368.0,96520.0,549.0,99141.0,86.0,862.0,101476.0,101648.0,211.0,181.0,322.0,442.0,720.0,262.0,1158.0,159.0,547.0,235.0,698.0,2376.0,2899.0,318.0,374.0,1047.0,320.0,1338.0,458.0,916.0,1139.0,1814.0,1281.0,20.0,1828.0,1677.0,1376.0,1182.0,186.0,2050.0,560.0,96.0,6810.0,52.0,18.0,130.0,86.0,46.0,338.0,235.0,739.0,272.0,763.0,31.0,57.0,42.0,40.0,234.0,42.0,1121.0,441.0,10244.0,11162.0,3116.0,1100.0,18841.0,1988.0,2043.0,4661.0,23501.0,23501.0,26033.0,26033.0,1318.0,135787.0,225.0,925.0,222.0,1137.0,868.0,1582.0,144402.0,6410.0,143841.0,1715.0,1305.0,903.0,148282.0
2004-02-05,2809.0,4528.0,778.0,384.0,476.0,3689.0,152.0,355.0,171.0,551.0,1156.0,559.0,1728.0,81.0,2288.0,4681.0,8789.0,9169.0,703.0,11764.0,1448.0,2928.0,91.0,57603.0,318.0,60486.0,90833.0,992.0,367.0,92498.0,542.0,95119.0,86.0,843.0,97371.0,97542.0,195.0,168.0,313.0,412.0,701.0,235.0,1104.0,148.0,505.0,225.0,644.0,2239.0,2702.0,317.0,373.0,1045.0,320.0,1333.0,457.0,913.0,1136.0,1809.0,1281.0,20.0,1823.0,1668.0,1367.0,1175.0,187.0,2057.0,560.0,94.0,6790.0,52.0,18.0,129.0,86.0,46.0,337.0,235.0,735.0,272.0,764.0,31.0,56.0,42.0,40.0,234.0,42.0,1110.0,418.0,10213.0,11039.0,3105.0,1069.0,18643.0,1901.0,1964.0,4537.0,23180.0,23180.0,25507.0,25507.0,1093.0,130452.0,209.0,838.0,196.0,1057.0,799.0,1498.0,138932.0,6181.0,138151.0,1628.0,1127.0,857.0,142448.0
2004-02-06,2797.0,4535.0,776.0,384.0,475.0,3683.0,152.0,354.0,171.0,549.0,1153.0,557.0,1717.0,81.0,2275.0,4671.0,8781.0,9146.0,689.0,11735.0,1387.0,2865.0,90.0,61384.0,316.0,63889.0,86869.0,977.0,366.0,88505.0,535.0,91117.0,86.0,825.0,93281.0,93450.0,187.0,162.0,306.0,388.0,687.0,216.0,1064.0,139.0,470.0,218.0,598.0,2121.0,2541.0,317.0,372.0,1044.0,319.0,1328.0,457.0,910.0,1133.0,1803.0,1280.0,20.0,1817.0,1659.0,1359.0,1168.0,187.0,2064.0,560.0,93.0,6786.0,52.0,18.0,129.0,86.0,46.0,337.0,234.0,731.0,271.0,765.0,31.0,56.0,42.0,40.0,233.0,41.0,1100.0,404.0,10186.0,10978.0,3094.0,1049.0,18518.0,1836.0,1923.0,4452.0,22971.0,22971.0,25151.0,25151.0,884.0,125372.0,197.0,769.0,179.0,964.0,758.0,1362.0,133626.0,6034.0,132685.0,1576.0,1138.0,843.0,136692.0
2004-02-07,2785.0,4543.0,773.0,383.0,474.0,3678.0,152.0,354.0,170.0,548.0,1150.0,556.0,1707.0,80.0,2262.0,4661.0,8774.0,9125.0,676.0,11710.0,1350.0,2856.0,89.0,61680.0,314.0,65011.0,84708.0,964.0,365.0,86126.0,528.0,88513.0,85.0,838.0,90319.0,90399.0,196.0,178.0,304.0,421.0,687.0,224.0,1045.0,131.0,441.0,224.0,559.0,2024.0,2429.0,316.0,372.0,1042.0,318.0,1323.0,456.0,908.0,1129.0,1798.0,1279.0,20.0,1812.0,1650.0,1350.0,1160.0,188.0,2071.0,560.0,93.0,6798.0,52.0,18.0,128.0,86.0,46.0,337.0,234.0,728.0,271.0,766.0,31.0,56.0,41.0,40.0,232.0,41.0,1090.0,394.0,10154.0,10959.0,3082.0,1046.0,18456.0,1803.0,2028.0,4457.0,22913.0,22913.0,25137.0,25137.0,903.0,121046.0,187.0,744.0,169.0,904.0,735.0,1278.0,128948.0,6020.0,127950.0,1773.0,1402.0,986.0,132026.0
2004-02-08,2774.0,4551.0,770.0,382.0,473.0,3672.0,151.0,353.0,170.0,546.0,1146.0,555.0,1702.0,80.0,2251.0,4652.0,8771.0,9109.0,665.0,11692.0,1330.0,2861.0,88.0,61337.0,312.0,64897.0,84119.0,951.0,364.0,85491.0,522.0,87825.0,85.0,859.0,89473.0,89499.0,195.0,182.0,305.0,440.0,689.0,228.0,1050.0,124.0,421.0,231.0,529.0,1969.0,2340.0,316.0,371.0,1041.0,317.0,1318.0,455.0,905.0,1126.0,1793.0,1279.0,20.0,1806.0,1642.0,1341.0,1153.0,188.0,2078.0,560.0,93.0,6835.0,52.0,18.0,128.0,87.0,46.0,336.0,234.0,725.0,270.0,767.0,30.0,56.0,41.0,39.0,232.0,41.0,1081.0,391.0,10146.0,10998.0,3071.0,1067.0,18481.0,1800.0,2078.0,4480.0,22961.0,22961.0,25275.0,25275.0,914.0,118742.0,185.0,709.0,161.0,881.0,722.0,1292.0,126224.0,6023.0,125121.0,1739.0,1575.0,1035.0,129526.0
2004-02-09,2764.0,4559.0,767.0,381.0,471.0,3666.0,151.0,352.0,169.0,544.0,1143.0,554.0,1697.0,81.0,2244.0,4642.0,8769.0,9098.0,657.0,11682.0,1341.0,2896.0,88.0,57367.0,310.0,61878.0,83548.0,938.0,363.0,84905.0,516.0,87239.0,85.0,857.0,88825.0,88852.0,196.0,183.0,305.0,449.0,688.0,222.0,1054.0,117.0,402.0,230.0,503.0,1937.0,2284.0,315.0,370.0,1040.0,317.0,1314.0,455.0,902.0,1123.0,1787.0,1278.0,20.0,1801.0,1633.0,1333.0,1146.0,189.0,2085.0,560.0,96.0,6880.0,51.0,19.0,127.0,87.0,46.0,336.0,233.0,723.0,269.0,768.0,30.0,56.0,41.0,39.0,231.0,40.0,1075.0,428.0,10175.0,11097.0,3060.0,1097.0,18559.0,1815.0,2177.0,4537.0,23096.0,23096.0,25496.0,25496.0,1032.0,118091.0,200.0,693.0,154.0,847.0,727.0,1334.0,125486.0,6033.0,124341.0,1750.0,1679.0,1018.0,128755.0
