, KOOTENAI - LIBBY DAM, KOOTENAI - AT LEONIA, NF FLATHEAD - NEAR COLUMBIA FALLS, MF FLATHEAD - NEAR WEST GLACIER, SF FLATHEAD - HUNGRY HORSE DAM, FLATHEAD - AT COLUMBIA FALLS, CLARK FORK - AT DEER LODGE, CLARK FORK - NR DRUMMOND, ROCK CREEK - NEAR CLINTON, BLACKFOOT - NEAR BONNER, CLARK FORK - ABOVE MISSOULA, BITTERROOT - NEAR MISSOULA, CLARK FORK - BELOW MISSOULA, ST. REGIS - NEAR ST. REGIS, CLARK FORK - AT ST REGIS, FLATHEAD - KERR DAM, CLARK FORK - NOXON RAPIDS DAM, CLARK FORK - CABINET GORGE DAM, PRIEST - NEAR PRIEST RIVER, PEND OREILLE - ALBENI FALLS DAM, COEUR D ALENE - COEUR D ALENE LAKE, SPOKANE - AT SPOKANE, SPOKANE - AT LONGLAKE, ST MARIES - NEAR SANTA, COLUMBIA - AT INTL BOUNDARY, KETTLE - AT LAURIER, COLUMBIA - GRAND COULEE DAM, COLUMBIA - CHIEF JOSEPH DAM, OKANOGAN - NEAR TONASKET, METHOW - NEAR PATEROS, COLUMBIA - WELLS DAM, CHELAN - LAKE CHELAN DAM, COLUMBIA - ROCKY REACH DAM, ENTIAT - NEAR ARDENVOIR, WENATCHEE - AT PESHASTIN, COLUMBIA - WANAPUM DAM, COLUMBIA - PRIEST RAPIDS DAM, YAKIMA - KEECHELUS LAKE, KACHESS - KACHESS DAM, YAKIMA - AT EASTON, CLE ELUM - CLE ELUM LAKE, TEANAWAY - BELOW FORKS, YAKIMA - AT UMTANUM, BUMPING - BUMPING LAKE DAM, NACHES - NEAR CLIFFDEL, TIETON - RIMROCK LAKE NEAR RIMROCK, NACHES - NEAR NACHES, YAKIMA - NEAR PARKER, YAKIMA - AT KIONA, HENRYS FORK - ISLAND PARK DAM, FALLS - NEAR CHESTER, HENRYS FORK - AT ST. ANTHONY, TETON - NEAR ST. ANTHONY, HENRYS FORK - AT REXBURG, SNAKE - JACKSON LAKE AT DAM, SNAKE - NEAR JACKSON, SNAKE - NEAR ALPINE, SF SNAKE - PALISADES DAM, SNAKE - NEAR HEISE, WILLOW CREEK - RIRIE DAM, SNAKE - AB EAGLE ROCK NR IDAHO FALLS, SNAKE - NEAR SHELLEY, SNAKE - AT BLACKFOOT, SNAKE - NEAR BLACKFOOT, PORTNEUF - AT POCATELLO, SNAKE - AMERICAN FALLS RESERVOIR, SNAKE - AT MILNER, BRUNEAU - NEAR HOT SPRINGS, SNAKE - BELOW SWAN FALLS, BIG LOST - AT HOWELL RANCH NEAR CHILLY, BIG LOST - MACKAY RESERVOIR NEAR MACKAY, BIG WOOD - AT HAILEY, BIG WOOD - MAGIC DAM, LITTLE WOOD - LITTLE WOOD DAM, OWYHEE - BELOW OWYHEE DAM, SF BOISE - ANDERSON RANCH DAM, BOISE - LUCKY PEAK DAM, BOISE - AT GLENWOOD BRIDGE, BOISE - NEAR PARMA, MALHEUR - WARM SPRINGS DAM, MALHEUR - AGENCY VALLEY DAM, BULLY CREEK - BULLY CREEK DAM, MALHEUR - NEAR VALE, NF PAYETTE - CASCADE DAM, DEADWOOD - NEAR LOWMAN, PAYETTE - NEAR EMMETT, WEISER - NEAR WEISER, SNAKE - AT WEISER, SNAKE - BROWNLEE DAM, SALMON - AT WHITEBIRD, GRANDE RONDE - TROY, SNAKE - NEAR ANATONE, CLEARWATER - AT OROFINO, CLEARWATER - DWORSHAK DAM, CLEARWATER - AT SPALDING, SNAKE - LOWER GRANITE DAM, SNAKE - LITTLE GOOSE DAM, SNAKE - LOWER MONUMENTAL DAM, SNAKE - ICE HARBOR DAM, WALLA WALLA - NEAR TOUCHET, COLUMBIA - MCNARY DAM, UMATILLA - NEAR GIBBON, UMATILLA - AT PENDLETON, MCKAY CREEK - NEAR PILOT ROCK, UMATILLA - NEAR UMATILLA, NF JOHN DAY - AT MONUMENT, JOHN DAY - AT SERVICE CK, COLUMBIA - JOHN DAY DAM, DESCHUTES - AT MOODY NR BIGGS, COLUMBIA - THE DALLES DAM, KLICKITAT - NEAR PITT, HOOD - NEAR TUCKER BRIDGE, WHITE SALMON - NEAR UNDERWOOD, COLUMBIA - BONNEVILLE DAM
2011-06-06, 54800, 38650, 16390, 16260, 20390, 40660, 850, 3080, 4010, 10720, 18180, 10470, 27560, 2740, 35420, 44690, 86140, 93680, 7400, 100770, 22950, 27350, 28280, 1330, 212590, 19830, 276870, 253380, 16560, 12850, 278200, 10280, 305760, 1970, 10720, 337850, 341790, 1100, 860, 1350, 3560, 1150, 6060, 980, 3340, 1430, 6260, 8510, 8660, 1590, 3420, 6010, 3320, 5910, 7570, 13130, 16370, 25420, 24960, 840, 26490, 24110, 22850, 22320, 890, 22470, 20330, 2160, 29180, 990, 810, 1480, 1130, 490, 3230, 3770, 9250, 6410, 6410, 660, 440, 110, 1260, 3190, 1680, 10100, 2890, 53750, 57210, 47330, 11360, 111100, 47860, 24350, 52340, 166510, 139700, 136120, 140300, 2180, 484040, 850, 1550, 550, 3150, 7420, 10590, 499760, 7440, 484360, 3270, 1840, 1850, 516450
2011-06-07, 53090, 36095, 18602, 18200, 24005, 43778, 1038, 3290, 4308, 11500, 19792, 12592, 31830, 2965, 38732, 49328, 90845, 97938, 7388, 107778, 24852, 27390, 28088, 1385, 215005, 21395, 279772, 234408, 17498, 13588, 261330, 10620, 283840, 2040, 11290, 319188, 325522, 988, 840, 1242, 3552, 1188, 6098, 1015, 3435, 1435, 6518, 9072, 9295, 1880, 3848, 6272, 3912, 6485, 9270, 13442, 18090, 29070, 25018, 825, 26372, 24110, 21145, 21382, 892, 23048, 20392, 2425, 29042, 1112, 910, 1592, 1320, 542, 3098, 4660, 9258, 6318, 6380, 668, 435, 110, 1165, 5932, 1315, 11002, 3252, 54758, 58248, 55070, 12445, 118685, 56865, 32258, 64082, 181762, 173930, 173330, 173168, 2080, 474172, 932, 1570, 618, 3002, 8252, 11000, 496040, 7575, 483532, 3470, 2065, 1935, 491425
2011-06-08, 64428, 39300, 23020, 24052, 33695, 49260, 1692, 4528, 4770, 13352, 23130, 16828, 39582, 3212, 47705, 58648, 101598, 110472, 7402, 118085, 30258, 27615, 28275, 1472, 217190, 23298, 286760, 218750, 19348, 14305, 253508, 10790, 274675, 2098, 11375, 306672, 312332, 842, 732, 1058, 3052, 1102, 5918, 945, 3360, 1310, 6360, 9160, 10060, 2450, 5020, 8365, 5025, 8448, 11798, 16282, 20622, 32875, 25178, 778, 27712, 25065, 21602, 21892, 885, 25390, 20482, 2800, 29512, 1315, 1090, 1840, 1650, 582, 3735, 5558, 9262, 6215, 6332, 688, 422, 110, 972, 7240, 1808, 14730, 4532, 57920, 61838, 72058, 15435, 139412, 80135, 42965, 87988, 219335, 213892, 214968, 214968, 2130, 495285, 925, 1628, 700, 3058, 9542, 12888, 510728, 7428, 490688, 3600, 1858, 1928, 498015
2011-06-09, 72018, 37338, 22910, 24778, 30778, 50980, 1622, 4955, 5020, 14945, 25812, 18628, 44102, 3190, 54750, 65990, 110588, 120172, 7345, 127130, 31268, 28025, 28648, 1618, 218985, 27508, 297048, 200000, 21238, 13998, 235298, 10398, 253375, 1958, 10608, 281772, 287390, 705, 608, 812, 2342, 920, 5402, 852, 2892, 1085, 5255, 7848, 9945, 2490, 4630, 8025, 4472, 10475, 11578, 16672, 20670, 32922, 25148, 742, 29528, 26742, 23075, 23725, 888, 26932, 20538, 2768, 29720, 1130, 945, 1705, 1588, 505, 4522, 5290, 9100, 6115, 6242, 662, 412, 110, 920, 6095, 1700, 15892, 4538, 61268, 66362, 78928, 13665, 147938, 78105, 29698, 87595, 230300, 227418, 228460, 228460, 1910, 504980, 798, 1345, 585, 2815, 8718, 12132, 528770, 7178, 491250, 3380, 1635, 1825, 498408
2011-06-10, 66110, 37772, 19525, 23180, 25468, 48340, 1268, 4170, 4832, 14778, 25018, 17305, 42015, 2972, 54168, 62995, 113185, 122930, 7210, 129910, 28828, 28378, 29060, 1438, 220400, 28652, 304268, 207500, 22535, 13372, 242475, 9222, 257070, 1790, 9818, 279415, 283775, 690, 560, 640, 2225, 918, 4852, 888, 2702, 1132, 4568, 6128, 8438, 2245, 4688, 7762, 4255, 10955, 10868, 16082, 19910, 31710, 25185, 705, 31028, 28318, 24778, 25000, 882, 28522, 20275, 2612, 29658, 1015, 860, 1632, 1485, 460, 4140, 4925, 8898, 6008, 6122, 635, 402, 102, 815, 5232, 1505, 14425, 4040, 60810, 66948, 73588, 11238, 147568, 69718, 25805, 79600, 223075, 222595, 223610, 223610, 1638, 488880, 672, 1132, 500, 2440, 7288, 10320, 510922, 7015, 491908, 3228, 1560, 1725, 498588
2011-06-11, 61818, 36022, 18412, 22835, 23282, 47928, 1228, 3792, 4612, 14300, 23690, 16130, 39555, 2815, 50655, 61452, 110420, 119830, 7088, 127035, 25825, 28392, 29172, 1320, 221332, 27748, 307838, 227500, 22348, 13285, 262955, 8680, 275800, 1780, 9945, 295078, 298775, 698, 565, 538, 2482, 1002, 4648, 942, 2812, 1320, 4762, 5615, 6968, 1965, 4178, 6872, 3908, 10630, 10068, 15388, 18935, 30310, 25140, 665, 31360, 28792, 25752, 25390, 858, 29198, 19895, 2405, 29338, 1005, 860, 1635, 1460, 435, 3458, 4582, 8532, 5760, 5902, 605, 390, 100, 692, 4820, 1400, 13012, 3580, 58268, 64390, 67392, 9470, 141078, 62608, 23668, 70128, 208138, 208138, 209125, 209125, 1420, 485342, 610, 985, 438, 2160, 6128, 8578, 503075, 6910, 490740, 3352, 1655, 1675, 497378
2011-06-12, 60560, 36148, 18765, 22762, 22758, 48692, 1330, 3742, 4520, 13830, 22900, 15600, 38262, 2680, 48300, 60985, 108188, 117295, 6975, 124260, 23822, 28108, 28975, 1238, 222210, 26840, 309458, 240000, 21715, 13578, 276582, 8760, 289400, 1832, 10345, 308455, 312352, 670, 552, 430, 2530, 950, 4582, 952, 2785, 1432, 4852, 5638, 6372, 1842, 3900, 6305, 3670, 9762, 8875, 14472, 17822, 28435, 25168, 638, 30850, 28355, 25608, 25422, 830, 29298, 19148, 2148, 28750, 1110, 960, 1648, 1452, 430, 2998, 4520, 8168, 5450, 5588, 585, 382, 100, 622, 4635, 1405, 12032, 3332, 55952, 61530, 65340, 8800, 135808, 57528, 22340, 61708, 195308, 195308, 196265, 196265, 1260, 485920, 590, 908, 398, 1962, 5858, 7822, 501680, 6865, 490068, 3518, 1685, 1640, 496720
2011-06-13, 61015, 35885, 19088, 22352, 22802, 48522, 1550, 4010, 4585, 13540, 22772, 15642, 38210, 2595, 47362, 61130, 107445, 116378, 6898, 123368, 22642, 27620, 28542, 1188, 222535, 26242, 310055, 234375, 21342, 13890, 271730, 9092, 284365, 1902, 10775, 303642, 308045, 638, 528, 320, 2498, 908, 4438, 922, 2700, 1438, 4765, 5425, 6205, 1895, 4060, 6442, 3752, 9102, 8828, 14308, 17678, 27912, 25192, 610, 29840, 27405, 24865, 25155, 812, 29158, 18365, 2035, 28058, 1182, 1032, 1750, 1535, 422, 2735, 4632, 7838, 5135, 5282, 572, 375, 98, 552, 4695, 1425, 11752, 3182, 54055, 59008, 65852, 8700, 134730, 54620, 21585, 60322, 193308, 193308, 194238, 194238, 1128, 485705, 570, 865, 365, 1825, 5875, 7698, 502240, 6845, 491485, 3535, 1655, 1600, 498408
2011-06-14, 63282, 35962, 20282, 22365, 24070, 48872, 1702, 4388, 4638, 13402, 23138, 16188, 39152, 2498, 47770, 60922, 108285, 117180, 6838, 123605, 22008, 27075, 28020, 1135, 221618, 25810, 310535, 221250, 21128, 14198, 258198, 9442, 269160, 1958, 11142, 286778, 291185, 620, 502, 205, 2408, 842, 4242, 892, 2632, 1428, 4515, 4920, 5948, 2060, 4055, 6590, 3818, 9082, 9768, 14922, 18300, 28522, 25248, 578, 28858, 26408, 23822, 24445, 800, 28598, 17578, 1958, 27262, 1252, 1105, 1765, 1582, 402, 2518, 4450, 7485, 4820, 4962, 555, 368, 90, 462, 4312, 1412, 11748, 2995, 52635, 57065, 66778, 8505, 135370, 52772, 21110, 61528, 195495, 195495, 196395, 196395, 1025, 477500, 530, 818, 330, 1700, 5605, 7445, 495470, 6780, 485642, 3405, 1582, 1538, 492970
2011-06-15, 63130, 35922, 21122, 22142, 24362, 49290, 1545, 4258, 4612, 13285, 23085, 16008, 38958, 2395, 47655, 61665, 108718, 117545, 6742, 123725, 21328, 26590, 27528, 1082, 220062, 24605, 310018, 215000, 21022, 14335, 251172, 9405, 259835, 1940, 11288, 274345, 278248, 615, 482, 90, 2338, 780, 4030, 858, 2610, 1418, 4335, 4382, 5478, 1928, 3718, 6028, 3678, 8982, 9400, 14968, 18330, 28722, 25255, 552, 28582, 26102, 23268, 22995, 790, 27315, 16792, 1840, 26448, 1340, 1195, 1755, 1520, 395, 2335, 4258, 7138, 4508, 4595, 535, 358, 90, 328, 4065, 1448, 11432, 2785, 51030, 55140, 66030, 8272, 133642, 50615, 20280, 59345, 191850, 191850, 192720, 192720, 942, 461238, 490, 762, 308, 1558, 5128, 6950, 479248, 6700, 470298, 3245, 1480, 1468, 477775
