, KOOTENAI - LIBBY DAM, KOOTENAI - AT LEONIA, NF FLATHEAD - NEAR COLUMBIA FALLS, MF FLATHEAD - NEAR WEST GLACIER, SF FLATHEAD - HUNGRY HORSE DAM, FLATHEAD - AT COLUMBIA FALLS, CLARK FORK - AT DEER LODGE, CLARK FORK - NEAR DRUMMOND, ROCK CREEK - NEAR CLINTON, BLACKFOOT - NEAR BONNER, CLARK FORK - ABOVE MISSOULA, BITTERROOT - NEAR MISSOULA, CLARK FORK - BELOW MISSOULA, ST. REGIS - NEAR ST. REGIS, CLARK FORK - AT ST REGIS, FLATHEAD - KERR DAM, CLARK FORK - NOXON RAPIDS DAM, CLARK FORK - CABINET GORGE DAM, PRIEST - NEAR PRIEST RIVER, PEND OREILLE - ALBENI FALLS DAM, COEUR D ALENE - COEUR D'ALENE LAKE, SPOKANE - AT SPOKANE, SPOKANE - AT LONGLAKE, ST MARIES - NEAR SANTA, COLUMBIA - AT INTERNATIONAL BOUNDRY, KETTLE - AT LAURIER, COLUMBIA - GRAND COULEE DAM, COLUMBIA - CHIEF JOSEPH DAM, OKANOGAN - NEAR TONASKET, METHOW - NEAR PATEROS, COLUMBIA - WELLS DAM, CHELAN - LAKE CHELAN DAM, COLUMBIA - ROCKY REACH DAM, ENTIAT - NEAR ARDENVOIR, WENATCHEE - AT PESHASTIN, COLUMBIA - WANAPUM DAM, COLUMBIA - PRIEST RAPIDS DAM, YAKIMA - KEECHELUS DAM, KACHESS - KACHESS DAM NEAR EASTON, YAKIMA - AT EASTON, CLE ELUM - CLE ELUM LAKE, TEANAWAY - BELOW FORKS, YAKIMA - AT UMTANUM, BUMPING - BUMPING LAKE DAM NEAR GOOSE PRAIRIE, NACHES - NEAR CLIFFDEL, TIETON - RIMROCK DAM, NACHES - NEAR NACHES, YAKIMA - NEAR PARKER, YAKIMA - AT KIONA, HENRYS FORK - ISLAND PARK DAM, FALLS - NR CHESTER, HENRY'S FORK - AT ST. ANTHONY, TETON - NEAR ST. ANTHONY, HENRYS FORK - AT REXBURG, SNAKE - JACKSON LAKE AT DAM, SNAKE - NEAR JACKSON, SNAKE - NEAR ALPINE, SF SNAKE - PALISADES DAM, SNAKE - NEAR HEISE, WILLOW CREEK - RIRIE DAM, SNAKE - ABOVE EAGLE ROCK NEAR IDAHO FALLS, SNAKE - NEAR SHELLEY, SNAKE - AT BLACKFOOT, SNAKE - NEAR BLACKFOOT, PORTNEUF - AT POCATELLO, SNAKE - AMERICAN FALLS RESERVOIR, SNAKE - AT MILNER, BRUNEAU - NEAR HOT SPRINGS, SNAKE - BELOW SWAN FALLS, BIG LOST - AT HOWELL RANCH NEAR CHILLY, BIG LOST - AT MACKAY, BIG WOOD - AT HAILEY, BIG WOOD - MAGIC DAM, LITTLE WOOD - LITTLE WOOD DAM, OWYHEE - OWYHEE DAM, SF BOISE - ANDERSON RANCH DAM, BOISE - LUCKY PEAK DAM, BOISE - AT GLENWOOD BRIDGE, BOISE - NEAR PARMA, MALHEUR - WARM SPRINGS DAM, MALHEUR - AGENCY VALLEY DAM, BULLY CREEK - BULLY CR DAM, MALHEUR - NEAR VALE, NF PAYETTE - CASCADE DAM, DEADWOOD - DEADWOOD RESERVOIR, PAYETTE - NEAR EMMETT, WEISER - NR WEISER, SNAKE - AT WEISER, SNAKE - BROWNLEE DAM, SALMON - AT WHITEBIRD, GRANDE RONDE - AT TROY, SNAKE -  NEAR ANATONE, CLEARWATER - AT OROFINO, CLEARWATER - DWORSHAK DAM, CLEARWATER - AT SPALDING, SNAKE - LOWER GRANITE DAM, SNAKE - LITTLE GOOSE DAM, SNAKE - LOWER MONUMENTAL DAM, SNAKE - ICE HARBOR DAM, WALLA WALLA - NEAR TOUCHET, COLUMBIA - MCNARY DAM, UMATILLA - NEAR GIBBON, UMATILLA - AT PENDLETON, MCKAY CREEK - NEAR PILOTROCK, UMATILLA - NEAR UMATILLA, NF JOHN DAY - AT MONUMENT, JOHN DAY - AT SERVICE CK, COLUMBIA - JOHN DAY DAM, DESCHUTES - AT MOODY NR BIGGS, COLUMBIA - THE DALLES DAM, KLICKITAT - NEAR PITT, HOOD - AT TUCKER BRIDGE, WHITE SALMON - NEAR UNDERWOOD, COLUMBIA - BONNEVILLE DAM
2010-12-21,3772.0,22740.0,1020.0,1100.0,1695.0,3538.0,280.0,542.0,132.0,805.0,1202.0,1088.0,2185.0,260.0,2775.0,5115.0,11935.0,13038.0,1275.0,15642.0,7240.0,7600.0,8350.0,285.0,82128.0,518.0,91525.0,96980.0,1032.0,525.0,97968.0,1242.0,99618.0,190.0,2195.0,98335.0,97320.0,248.0,250.0,360.0,702.0,215.0,1250.0,280.0,585.0,345.0,930.0,2388.0,3362.0,330.0,380.0,1132.0,450.0,1775.0,350.0,1380.0,1688.0,2765.0,1510.0,50.0,2930.0,2935.0,2770.0,2515.0,80.0,5025.0,860.0,320.0,8458.0,110.0,200.0,140.0,128.0,70.0,2048.0,340.0,282.0,262.0,925.0,105.0,80.0,30.0,130.0,438.0,60.0,1368.0,380.0,10675.0,11895.0,4130.0,1840.0,23825.0,4282.0,3135.0,6390.0,29305.0,29305.0,29642.0,29642.0,932.0,112222.0,165.0,468.0,182.0,462.0,1235.0,1928.0,114758.0,7655.0,119288.0,1868.0,1438.0,1375.0,125588.0
2010-12-22,3748.0,22538.0,995.0,1078.0,1702.0,3555.0,280.0,580.0,145.0,785.0,1235.0,1042.0,2205.0,240.0,2845.0,5035.0,12235.0,13342.0,1232.0,15018.0,6010.0,7615.0,8475.0,250.0,80782.0,532.0,90378.0,85170.0,1018.0,520.0,87110.0,1180.0,90355.0,182.0,2135.0,93722.0,94195.0,258.0,225.0,360.0,585.0,202.0,1205.0,260.0,552.0,308.0,855.0,2258.0,3160.0,330.0,378.0,1118.0,450.0,1805.0,350.0,1365.0,1665.0,2718.0,1502.0,50.0,2920.0,2912.0,2718.0,2468.0,80.0,4988.0,860.0,318.0,8775.0,110.0,200.0,140.0,122.0,70.0,1868.0,330.0,280.0,260.0,910.0,92.0,80.0,30.0,130.0,425.0,60.0,1322.0,385.0,11638.0,12555.0,4165.0,1652.0,24522.0,4165.0,2902.0,6292.0,30812.0,30812.0,31140.0,31140.0,840.0,133065.0,145.0,455.0,165.0,405.0,1150.0,1695.0,137985.0,7650.0,142200.0,1728.0,1235.0,1302.0,145565.0
2010-12-23,3715.0,22390.0,975.0,1055.0,1702.0,3572.0,275.0,612.0,158.0,765.0,1280.0,1020.0,2262.0,225.0,2858.0,5000.0,13320.0,14545.0,1180.0,15398.0,5038.0,7635.0,8622.0,218.0,80160.0,545.0,89665.0,85000.0,1010.0,510.0,86530.0,1100.0,89150.0,175.0,2075.0,91240.0,91245.0,235.0,205.0,350.0,520.0,188.0,1165.0,242.0,520.0,280.0,792.0,2155.0,2992.0,330.0,370.0,1072.0,450.0,1780.0,350.0,1360.0,1660.0,2698.0,1498.0,50.0,2922.0,2918.0,2710.0,2458.0,80.0,4952.0,860.0,310.0,8848.0,110.0,195.0,140.0,158.0,70.0,1462.0,330.0,278.0,260.0,902.0,80.0,80.0,30.0,130.0,412.0,58.0,1302.0,385.0,12018.0,13065.0,4265.0,1542.0,24355.0,3870.0,2638.0,5950.0,30302.0,30302.0,30622.0,30622.0,762.0,126822.0,132.0,442.0,155.0,392.0,1070.0,1595.0,133670.0,7640.0,138708.0,1595.0,1060.0,1248.0,143498.0
2010-12-24,3690.0,22270.0,955.0,1040.0,1652.0,3545.0,270.0,638.0,172.0,745.0,1332.0,995.0,2322.0,212.0,2898.0,4962.0,13370.0,14605.0,1130.0,15418.0,4608.0,7738.0,8662.0,185.0,79820.0,550.0,89360.0,85000.0,1000.0,505.0,86515.0,1022.0,89128.0,168.0,2020.0,91160.0,91160.0,215.0,190.0,350.0,468.0,178.0,1128.0,228.0,490.0,258.0,738.0,2070.0,2850.0,330.0,378.0,1112.0,440.0,1750.0,350.0,1370.0,1660.0,2688.0,1490.0,50.0,2872.0,2872.0,2695.0,2452.0,80.0,4945.0,860.0,302.0,8825.0,110.0,190.0,130.0,165.0,70.0,1372.0,330.0,270.0,258.0,892.0,80.0,72.0,30.0,130.0,398.0,50.0,1290.0,350.0,12195.0,13238.0,4370.0,1460.0,21848.0,3612.0,2432.0,5655.0,27505.0,27505.0,27818.0,27818.0,728.0,124092.0,120.0,420.0,150.0,378.0,998.0,1510.0,130412.0,7635.0,135242.0,1478.0,965.0,1215.0,139318.0
2010-12-25,3662.0,15125.0,930.0,1022.0,1600.0,3500.0,270.0,635.0,182.0,730.0,1370.0,975.0,2340.0,195.0,2938.0,4890.0,13372.0,14615.0,1085.0,15358.0,4345.0,7825.0,8808.0,152.0,78195.0,540.0,88660.0,82645.0,998.0,500.0,84815.0,990.0,87980.0,160.0,1970.0,90462.0,90570.0,195.0,175.0,350.0,418.0,170.0,1095.0,215.0,475.0,240.0,695.0,2000.0,2732.0,330.0,378.0,1118.0,440.0,1770.0,350.0,1370.0,1660.0,2680.0,1480.0,50.0,2840.0,2832.0,2640.0,2408.0,80.0,4915.0,860.0,300.0,8790.0,110.0,190.0,130.0,152.0,70.0,1385.0,330.0,270.0,250.0,882.0,75.0,70.0,30.0,130.0,388.0,50.0,1282.0,348.0,12160.0,13202.0,4478.0,1385.0,20305.0,3412.0,2288.0,5442.0,25750.0,25750.0,26050.0,26050.0,702.0,121622.0,120.0,402.0,145.0,358.0,962.0,1455.0,127795.0,7630.0,132588.0,1400.0,920.0,1178.0,136398.0
2010-12-26,3638.0,14785.0,910.0,1008.0,1552.0,3488.0,270.0,630.0,190.0,715.0,1385.0,955.0,2340.0,185.0,2930.0,4810.0,13198.0,14428.0,1045.0,15155.0,4165.0,7630.0,8668.0,175.0,73732.0,532.0,83815.0,68952.0,990.0,492.0,70768.0,970.0,73998.0,150.0,1925.0,77300.0,77842.0,182.0,162.0,350.0,378.0,160.0,1068.0,208.0,458.0,225.0,668.0,1945.0,2640.0,330.0,370.0,1090.0,440.0,1765.0,350.0,1372.0,1660.0,2675.0,1472.0,50.0,2840.0,2830.0,2615.0,2380.0,80.0,4875.0,860.0,290.0,8758.0,108.0,190.0,130.0,140.0,68.0,1330.0,330.0,270.0,250.0,872.0,70.0,70.0,30.0,130.0,378.0,50.0,1268.0,342.0,12072.0,13092.0,4585.0,1338.0,20272.0,3260.0,2375.0,5322.0,25590.0,25590.0,25935.0,25935.0,738.0,116078.0,120.0,422.0,142.0,338.0,972.0,1440.0,123385.0,7620.0,128385.0,1348.0,1142.0,1200.0,132570.0
2010-12-27,3612.0,15458.0,892.0,995.0,1505.0,3575.0,270.0,630.0,190.0,702.0,1390.0,935.0,2328.0,172.0,2910.0,4790.0,12862.0,14070.0,1005.0,14775.0,4158.0,7088.0,8498.0,238.0,73272.0,522.0,82535.0,83388.0,990.0,490.0,82815.0,945.0,83262.0,142.0,1875.0,82562.0,81862.0,168.0,150.0,342.0,345.0,152.0,1048.0,195.0,445.0,212.0,640.0,1908.0,2565.0,330.0,370.0,1092.0,440.0,1745.0,350.0,1380.0,1660.0,2670.0,1468.0,50.0,2810.0,2802.0,2602.0,2375.0,80.0,4855.0,860.0,290.0,8728.0,100.0,190.0,130.0,128.0,60.0,1282.0,330.0,260.0,250.0,862.0,72.0,70.0,30.0,130.0,368.0,50.0,1255.0,320.0,11990.0,13000.0,4702.0,1400.0,20475.0,3242.0,3045.0,5522.0,26000.0,26000.0,26455.0,26455.0,870.0,106742.0,125.0,522.0,158.0,362.0,1145.0,1520.0,113078.0,7615.0,118005.0,1315.0,1175.0,1178.0,122320.0
2010-12-28,3588.0,19808.0,875.0,985.0,1465.0,3540.0,270.0,622.0,190.0,688.0,1400.0,918.0,2315.0,158.0,2880.0,4800.0,12738.0,13935.0,965.0,14558.0,4122.0,6968.0,8040.0,158.0,72952.0,515.0,81740.0,100000.0,980.0,482.0,101470.0,925.0,103758.0,138.0,1835.0,104445.0,103880.0,155.0,140.0,335.0,312.0,150.0,1035.0,178.0,432.0,202.0,620.0,1880.0,2515.0,330.0,370.0,1095.0,438.0,1735.0,350.0,1380.0,1660.0,2662.0,1460.0,48.0,2778.0,2765.0,2565.0,2345.0,80.0,4838.0,860.0,280.0,8695.0,100.0,185.0,130.0,120.0,60.0,1300.0,330.0,260.0,250.0,860.0,80.0,70.0,30.0,130.0,358.0,50.0,1248.0,308.0,11948.0,12968.0,4782.0,1355.0,20970.0,3340.0,2675.0,5595.0,26562.0,26562.0,26945.0,26945.0,860.0,120570.0,118.0,485.0,165.0,465.0,1215.0,1750.0,123415.0,7610.0,127245.0,1270.0,1062.0,1142.0,129290.0
2010-12-29,3560.0,19900.0,858.0,975.0,1425.0,3510.0,260.0,620.0,190.0,678.0,1405.0,902.0,2308.0,145.0,2858.0,4745.0,12695.0,13890.0,925.0,14460.0,3932.0,6820.0,7802.0,135.0,72640.0,508.0,81172.0,100000.0,980.0,480.0,101462.0,905.0,104042.0,130.0,1795.0,105848.0,105850.0,145.0,130.0,330.0,290.0,142.0,1018.0,168.0,422.0,198.0,605.0,1860.0,2478.0,330.0,370.0,1115.0,430.0,1730.0,350.0,1385.0,1670.0,2660.0,1450.0,40.0,2748.0,2735.0,2528.0,2315.0,80.0,4805.0,860.0,280.0,8665.0,100.0,180.0,130.0,110.0,60.0,1278.0,322.0,260.0,250.0,855.0,78.0,70.0,30.0,120.0,348.0,50.0,1235.0,298.0,11862.0,12918.0,4742.0,1155.0,23185.0,3265.0,2202.0,5428.0,28610.0,28610.0,28970.0,28970.0,805.0,136298.0,110.0,422.0,145.0,440.0,938.0,1492.0,141400.0,7600.0,145605.0,1248.0,1152.0,1155.0,148108.0
2010-12-30,3540.0,18785.0,845.0,968.0,1385.0,3482.0,260.0,620.0,190.0,665.0,1412.0,885.0,2300.0,135.0,2835.0,4680.0,12655.0,13852.0,895.0,14375.0,3740.0,6395.0,7470.0,130.0,72322.0,500.0,80518.0,100000.0,975.0,478.0,101455.0,885.0,104028.0,120.0,1760.0,105795.0,105798.0,138.0,120.0,330.0,265.0,140.0,1005.0,155.0,415.0,190.0,588.0,1845.0,2460.0,330.0,380.0,1155.0,430.0,1748.0,350.0,1390.0,1668.0,2655.0,1445.0,40.0,2732.0,2712.0,2500.0,2290.0,80.0,4772.0,860.0,270.0,8638.0,100.0,180.0,130.0,105.0,60.0,1198.0,320.0,260.0,250.0,850.0,70.0,70.0,28.0,120.0,340.0,50.0,1222.0,290.0,11790.0,12830.0,4695.0,1060.0,23050.0,3085.0,1928.0,5172.0,28218.0,28218.0,28588.0,28588.0,778.0,137822.0,110.0,410.0,135.0,388.0,820.0,1300.0,143825.0,7445.0,148282.0,1328.0,1578.0,1262.0,152105.0
