, LIBBY DAM, KOOTENAI RIV AT LEONIA, NF FLATHEAD R NR COLUMBIA FALL, MF FLATHEAD NR WEST GLACIER, DAM AT HUNGRY HORSE, FLATHEAD R AT COLUMBIA FALLS, CLARK FORK AT DEER LODGE, CLARK FORK AT DRUMMOND, ROCK CREEK NR CLINTON, BLACKFOOT R NR BONNER, CLARK FORK AB MISSOULA, BITTERROOT R NR MISSOULA, CLARK FORK BELOW MISSOULA, ST. REGIS R. NR ST. REGIS, CLARK FORK AT ST REGIS    TB20, KERR DAM, NOXON RAPIDS DAM, CABINET GORGE DAM, PRIEST R NR PRIEST RIVER, ALBENI FALLS DAM, COEUR D'ALENE LAKE, SPOKANE RIV AT LONGLAKE, ST MARIES R NR SANTA, COLUMBIAR @INTERNATL BOUNDAR, KETTLE RIVER AT LAURIER, GRAND COULEE DAM, CHIEF JOSEPH DAM, OKANOGAN RIVER NEAR TONASKET, METHOW R NEAR PATEROS, WELLS DAM, LAKE CHELAN DAM, ROCKY REACH DAM, ENTIAT R NR ARDENVOIR, WENATCHEE R AT PESHASTIN  TB20, WANAPUM DAM, PRIEST RAPIDS DAM, KEECHELUS LAKE, KACHESS DAM NEAR EASTON, YAKIMA RIVER AT EASTON, CLE ELUM LAKE NEAR ROSLYN, YAKIMA RIVER AT CLE ELUM, TEANAWAY RIVER BLW FORKS, YAKIMA RIVER AT UMTANUM, BUMPING LK DM NR GOOSE PRAIRIE, NACHES RIVER NEAR CLIFFDEL, RIMROCK LAKE NEAR RIMROCK, NACHES RIVER NEAR NACHES, YAKIMA RIVER NEAR PARKER, YAKIMA RIVER AT KIONA, ISLAND PARK 1SWIS.PARKDM&RES, FALL RIVER NR CHESTER, HENRYS FORK AT ST. ANTHONY, TETON RIVER NEAR ST. ANTHONY, HENRYS FORK NEAR REXBURG, SNKE R ON JACKSN LK AT DM TB20, SNAKE RIVER NR JACKSON, SNAKE RIVER NR ALPINE, PALISADES DAM, SNAKE RIVER NR HEISE, RIRIE DAM AND LAKE ON WILLOW C, SNAKE AB EAGLE ROCK NR ID FALL, SNAKE RIVER NR SHELLEY, SNAKE RIVER AT BLACKFOOT, SNAKE RIVER NEAR BLACKFOOT, PORTNEUF RIVER AT POCATELLO, AMERICAN FALLS RESERVOIR  TB12, SNAKE RIV AT MILNER, BRUNEAU RIVER NR HOT SPRINGS, SNAKE RIVER BELOW SWAN FALLS, BIG LOST R@HOW'L RNCH NR CHILL, BIG LOST R AT MACKAY, BIG WOOD RIVER AT HAILEY, MAGIC DM&RES-BIG WOOD RICHFLD, LITL.WOODDM&RESNRCAREY, OWYHEE BELOW OWYHEE DAM, ANDERSON RANCH DAM        TB12, BOISE LUCKY PEAK DAM, BOISE RIVER AT GLENWOOD BRIDGE, BOISE RIVER NR PARMA, WARM SPRINGS DAM & RESERVOIR, AGENCY VLY DAM & BEULAH RSVR, BULLY CREEK DAM & RES     TB12, MALHEUR RIVER NR VALE, CASCADE DAM               TB12, DEADWOOD RESERVOIR NR LOWMAN, PAYETTE RIVER NEAR EMMETT, WEISER RIVER NR WEISER, SNAKE RIVER AT WEISER, BROWNLEE DAM, SALMON R AT WHITEBIRD, GRANDE RONDE RIVER AT TROY, SNAKE RIVER NR ANATONE, CLEARWATER R AT OROFINO, DWORSHAK DAM, CLEARWATER R AT SPALDING, LOWER GRANITE DAM, LITTLE GOOSE DAM, LOWER MONUMENTAL DAM, ICE HARBOR DAM, WALLA WALLA RIV NEAR TOUCHET, MCNARY DAM NEAR MCNARY, UMATILLA R NR GIBBON, UMATILLA R AT PENDLETON, MCKAY CR NR PILOTROCK, UMATILLA RIVER NEAR UMATILLA, NF JOHN DAY RIV AT MONUMENT, JOHN DAY RIVER AT SERVICE CK, JOHN DAY DAM, DESCHUTES R AT MOODY NR BIGGS, THE DALLES, KLICKITAT R NR PITT, HOOD R AT TUCKER BRIDGE   TB20, WHITE SALMON R NEAR UNDERWOOD, BONNEVILLE DAM
2005-01-24,9274.0,8897.0,4584.0,3653.0,5442.0,10853.0,172.0,405.0,219.0,984.0,1724.0,1259.0,3398.0,578.0,5098.0,12425.0,14689.0,16327.0,1325.0,20510.0,12124.0,11142.0,840.0,88322.0,2297.0,100707.0,91484.0,4889.0,1299.0,95369.0,4356.0,93242.0,621.0,8587.0,95164.0,93710.0,619.0,510.0,566.0,2335.0,1154.0,935.0,2248.0,671.0,1732.0,907.0,2127.0,4942.0,4950.0,315.0,467.0,1385.0,362.0,1574.0,413.0,1123.0,1344.0,2169.0,1345.0,27.0,2217.0,2659.0,3872.0,1717.0,159.0,4583.0,679.0,121.0,6840.0,58.0,86.0,107.0,46.0,45.0,432.0,266.0,274.0,262.0,741.0,87.0,61.0,54.0,68.0,342.0,53.0,1049.0,314.0,9824.0,11848.0,4223.0,1863.0,18494.0,7852.0,5842.0,10652.0,29146.0,29146.0,29806.0,29806.0,792.0,113345.0,243.0,558.0,47.0,383.0,584.0,997.0,118640.0,5073.0,116668.0,1517.0,860.0,1163.0,126943.0
2005-01-25,8798.0,8565.0,4133.0,3526.0,5340.0,10439.0,171.0,398.0,218.0,989.0,1748.0,1170.0,3218.0,520.0,4985.0,12910.0,14926.0,16477.0,1323.0,20730.0,11268.0,11609.0,733.0,89596.0,2247.0,101840.0,90000.0,5148.0,1224.0,98060.0,3540.0,101003.0,536.0,7028.0,109068.0,109332.0,492.0,423.0,547.0,1781.0,1096.0,810.0,2123.0,681.0,1598.0,865.0,1992.0,4561.0,4624.0,315.0,466.0,1384.0,355.0,1584.0,413.0,1120.0,1336.0,2153.0,1346.0,27.0,2170.0,2580.0,3720.0,1598.0,161.0,4359.0,677.0,124.0,6872.0,57.0,86.0,106.0,46.0,45.0,463.0,274.0,271.0,260.0,739.0,86.0,61.0,54.0,68.0,341.0,52.0,1025.0,266.0,9800.0,12123.0,4238.0,1770.0,21595.0,7487.0,5358.0,13122.0,34717.0,34717.0,35313.0,35313.0,664.0,142931.0,254.0,560.0,41.0,340.0,598.0,975.0,144230.0,5000.0,140733.0,1448.0,816.0,1100.0,141427.0
2005-01-26,8137.0,8061.0,3633.0,2978.0,4666.0,9339.0,169.0,392.0,218.0,963.0,1718.0,1084.0,2982.0,461.0,4729.0,12107.0,15316.0,16769.0,1289.0,20849.0,10077.0,11694.0,644.0,91287.0,2101.0,103240.0,90000.0,5260.0,1029.0,97733.0,3108.0,100126.0,472.0,5461.0,105775.0,105842.0,440.0,376.0,528.0,1456.0,1040.0,690.0,1931.0,621.0,1315.0,807.0,1716.0,4162.0,4240.0,315.0,465.0,1370.0,339.0,1585.0,412.0,1117.0,1332.0,2113.0,1350.0,27.0,2165.0,2550.0,3608.0,1519.0,162.0,4253.0,676.0,121.0,6882.0,57.0,86.0,106.0,46.0,45.0,443.0,265.0,267.0,259.0,739.0,90.0,61.0,54.0,68.0,340.0,52.0,1017.0,284.0,9729.0,11710.0,4205.0,1627.0,21100.0,7064.0,4862.0,12718.0,33818.0,33818.0,34324.0,34324.0,543.0,147291.0,219.0,507.0,38.0,335.0,574.0,946.0,154179.0,4947.0,152148.0,1351.0,766.0,1033.0,155686.0
2005-01-27,7614.0,7559.0,3339.0,2499.0,4116.0,8442.0,168.0,388.0,217.0,918.0,1662.0,989.0,2711.0,435.0,4455.0,10932.0,15858.0,17246.0,1249.0,21244.0,8802.0,11653.0,591.0,95280.0,1908.0,106913.0,90000.0,5195.0,921.0,97570.0,3003.0,99930.0,437.0,4557.0,104604.0,104645.0,474.0,401.0,543.0,1385.0,1046.0,670.0,1831.0,612.0,1058.0,747.0,1380.0,3676.0,3857.0,314.0,463.0,1359.0,333.0,1568.0,411.0,1113.0,1327.0,2086.0,1353.0,27.0,2167.0,2540.0,3540.0,1492.0,162.0,4201.0,674.0,117.0,6866.0,57.0,85.0,106.0,46.0,44.0,411.0,257.0,263.0,257.0,738.0,93.0,68.0,54.0,69.0,339.0,51.0,1009.0,364.0,9798.0,11544.0,4148.0,1488.0,20624.0,6584.0,4494.0,12186.0,32810.0,32810.0,33381.0,33381.0,517.0,143742.0,246.0,497.0,39.0,301.0,583.0,943.0,150255.0,4967.0,148214.0,1290.0,851.0,1093.0,151642.0
2005-01-28,7168.0,7152.0,3157.0,2240.0,3749.0,7931.0,167.0,386.0,217.0,873.0,1606.0,919.0,2525.0,418.0,4174.0,10127.0,16084.0,17456.0,1309.0,21672.0,7874.0,11488.0,617.0,94891.0,1809.0,107075.0,83750.0,5060.0,884.0,92411.0,2900.0,96017.0,410.0,4053.0,101497.0,101844.0,453.0,392.0,526.0,1302.0,1024.0,636.0,1812.0,560.0,1019.0,682.0,1299.0,3461.0,3474.0,314.0,462.0,1349.0,331.0,1549.0,411.0,1107.0,1321.0,2071.0,1357.0,27.0,2157.0,2518.0,3475.0,1490.0,163.0,4189.0,672.0,117.0,6895.0,57.0,85.0,105.0,48.0,44.0,391.0,256.0,260.0,255.0,740.0,98.0,85.0,54.0,69.0,339.0,51.0,1007.0,481.0,9893.0,11554.0,4088.0,1379.0,20292.0,6187.0,4337.0,11544.0,31836.0,31836.0,32953.0,32953.0,662.0,141728.0,375.0,616.0,65.0,306.0,637.0,1114.0,148155.0,5012.0,146098.0,1231.0,891.0,1088.0,149514.0
2005-01-29,6749.0,6797.0,3006.0,2100.0,3471.0,7602.0,166.0,383.0,216.0,834.0,1558.0,855.0,2413.0,401.0,3973.0,9620.0,15796.0,17156.0,1483.0,21550.0,7581.0,11367.0,715.0,94414.0,1770.0,106459.0,60000.0,4900.0,862.0,68565.0,2780.0,72707.0,382.0,3682.0,79334.0,80339.0,413.0,356.0,508.0,1204.0,982.0,592.0,1739.0,509.0,967.0,613.0,1231.0,3348.0,3243.0,314.0,460.0,1336.0,331.0,1534.0,410.0,1102.0,1315.0,2060.0,1361.0,27.0,2144.0,2491.0,3402.0,1485.0,165.0,4186.0,671.0,119.0,6908.0,57.0,85.0,105.0,51.0,44.0,397.0,255.0,257.0,254.0,745.0,99.0,89.0,54.0,70.0,338.0,51.0,1015.0,515.0,9967.0,11637.0,4030.0,1312.0,19971.0,5920.0,4364.0,9097.0,29069.0,29069.0,31123.0,31123.0,1086.0,131259.0,418.0,843.0,77.0,450.0,710.0,1298.0,140553.0,5009.0,139029.0,1156.0,865.0,1058.0,143398.0
2005-01-30,6299.0,6571.0,2865.0,2001.0,3239.0,7339.0,165.0,381.0,215.0,799.0,1515.0,809.0,2324.0,385.0,3827.0,9227.0,15518.0,16821.0,1580.0,21199.0,7408.0,11012.0,690.0,93560.0,1734.0,106131.0,56250.0,4731.0,836.0,60975.0,2669.0,61634.0,356.0,3378.0,64125.0,64159.0,368.0,319.0,489.0,1089.0,940.0,529.0,1651.0,458.0,901.0,549.0,1138.0,3190.0,3109.0,314.0,459.0,1325.0,331.0,1521.0,410.0,1096.0,1309.0,2051.0,1365.0,27.0,2132.0,2465.0,3326.0,1474.0,166.0,4177.0,669.0,122.0,6881.0,57.0,85.0,105.0,51.0,44.0,410.0,255.0,254.0,252.0,746.0,89.0,82.0,58.0,71.0,337.0,50.0,1008.0,475.0,9981.0,11681.0,3974.0,1299.0,19404.0,5723.0,4204.0,8771.0,28175.0,28175.0,29685.0,29685.0,1052.0,107715.0,326.0,747.0,59.0,652.0,708.0,1301.0,117859.0,4968.0,116632.0,1068.0,734.0,956.0,121554.0
2005-01-31,5862.0,6446.0,2732.0,1918.0,3035.0,7002.0,164.0,379.0,215.0,766.0,1475.0,798.0,2274.0,370.0,3699.0,8867.0,15268.0,16501.0,1555.0,20743.0,7068.0,10643.0,578.0,92566.0,1665.0,105393.0,90000.0,4572.0,808.0,95656.0,2549.0,96496.0,333.0,3126.0,96462.0,95183.0,325.0,287.0,469.0,982.0,895.0,470.0,1548.0,411.0,830.0,494.0,1041.0,2995.0,2977.0,313.0,458.0,1314.0,331.0,1509.0,409.0,1091.0,1303.0,2041.0,1369.0,27.0,2123.0,2441.0,3252.0,1463.0,168.0,4166.0,667.0,117.0,6841.0,56.0,85.0,104.0,51.0,44.0,411.0,254.0,251.0,251.0,746.0,78.0,72.0,63.0,72.0,336.0,50.0,992.0,362.0,9878.0,11571.0,3918.0,1235.0,18803.0,5513.0,3961.0,8594.0,27397.0,27397.0,28644.0,28644.0,794.0,106415.0,234.0,563.0,44.0,574.0,638.0,1137.0,110319.0,4916.0,107657.0,1003.0,724.0,948.0,109728.0
2005-02-01,5439.0,6333.0,2607.0,1842.0,2851.0,6454.0,163.0,378.0,214.0,737.0,1440.0,790.0,2229.0,356.0,3609.0,8421.0,15237.0,16407.0,1513.0,20495.0,6516.0,10365.0,524.0,90159.0,1582.0,103373.0,90000.0,4440.0,782.0,96189.0,2451.0,98570.0,312.0,2938.0,101569.0,101579.0,294.0,258.0,447.0,892.0,857.0,421.0,1462.0,372.0,762.0,449.0,952.0,2823.0,2823.0,313.0,456.0,1304.0,332.0,1499.0,409.0,1086.0,1297.0,2032.0,1371.0,27.0,2115.0,2420.0,3182.0,1460.0,170.0,4160.0,666.0,112.0,6825.0,56.0,85.0,104.0,51.0,44.0,410.0,253.0,248.0,250.0,746.0,74.0,65.0,65.0,72.0,335.0,50.0,981.0,289.0,9740.0,11347.0,3863.0,1162.0,18655.0,5293.0,3780.0,8634.0,27289.0,27289.0,28502.0,28502.0,693.0,129067.0,213.0,499.0,40.0,430.0,595.0,1030.0,131609.0,4885.0,128187.0,961.0,655.0,907.0,128318.0
2005-02-02,5022.0,6230.0,2490.0,1772.0,2683.0,6183.0,163.0,376.0,214.0,710.0,1407.0,781.0,2189.0,343.0,3527.0,7877.0,15511.0,16617.0,1457.0,20587.0,6031.0,9890.0,481.0,84505.0,1506.0,97645.0,90000.0,4302.0,757.0,95897.0,2361.0,98269.0,293.0,2803.0,101129.0,101147.0,270.0,239.0,430.0,829.0,823.0,383.0,1377.0,337.0,701.0,410.0,862.0,2630.0,2661.0,313.0,455.0,1293.0,332.0,1490.0,408.0,1080.0,1290.0,2023.0,1369.0,27.0,2107.0,2398.0,3110.0,1448.0,171.0,4153.0,664.0,108.0,6803.0,56.0,84.0,104.0,51.0,43.0,407.0,252.0,245.0,252.0,748.0,73.0,63.0,66.0,73.0,335.0,49.0,973.0,256.0,9643.0,11127.0,3811.0,1102.0,18986.0,5027.0,3571.0,8080.0,27067.0,27067.0,28080.0,28080.0,584.0,132870.0,188.0,450.0,37.0,375.0,559.0,953.0,139069.0,4869.0,136683.0,924.0,621.0,887.0,138966.0
