, LIBBY DAM, KOOTENAI RIV AT LEONIA, HUNGRY HORSE DAM, FLATHEAD R AT COLUMBIA FALLS, CLARK FORK AT DEER LODGE, CLARK FORK AT DRUMMOND, ROCK CREEK NR CLINTON, BLACKFOOT R NR BONNER, CLARK FORK AB MISSOULA, BITTERROOT R NR MISSOULA, CLARK FORK BELOW MISSOULA, CLARK FORK AT ST REGIS, KERR DAM, NOXON RAPIDS DAM, CABINET GORGE DAM, PRIEST R NR PRIEST RIVER, ALBENI FALLS DAM, COEUR D'ALENE LAKE, SPOKANE RIV AT LONGLAKE, ST MARIES R NR SANTA, COLUMBIAR @INTERNATL BOUNDAR, KETTLE RIVER AT LAURIER, GRAND COULEE DAM, CHIEF JOSEPH DAM, OKANOGAN RIVER NR TONASKET, METHOW R NR PATEROS, WELLS DAM, LAKE CHELAN DAM, ROCKY REACH DAM, ENTIAT R NR ARDENVOIR, WENATCHEE R AT PESHASTIN, WANAPUM DAM, PRIEST RAPIDS DAM, KEECHELUS LAKE, KACHESS DAM, YAKIMA RIVER AT EASTON, CLE ELUM LAKE, YAKIMA RIVER AT CLE ELUM, TEANAWAY RIVER BLW FORKS, YAKIMA RIVER AT UMTANUM, BUMPING LAKE, NACHES RIVER NR CLIFFDEL, RIMROCK LAKE, NACHES RIVER NR NACHES, YAKIMA RIVER NR PARKER, YAKIMA RIVER AT KIONA, ISLAND PARK 1SWIS.PARKDM&RES, FALL RIVER NR CHESTER, HENRYS FORK AT ST. ANTHONY, TETON RIVER NEAR ST. ANTHONY, HENRYS FORK NEAR REXBURG, SNAKE R ON JACKSON LAKE AT DAM, SNAKE RIVER NR JACKSON, SNAKE RIVER NR ALPINE, PALISADES DAM, SNAKE RIVER NR HEISE, RIRIE DAM, SNAKE AB EAGLE ROCK NR ID FALL, SNAKE RIVER NR SHELLEY, SNAKE RIVER AT BLACKFOOT, SNAKE RIVER NEAR BLACKFOOT, PORTNEUF RIVER AT POCATELLO, AMERICAN FALLS RESERVOIR, SNAKE RIV AT MILNER, BRUNEAU RIVER NR HOT SPRINGS, SNAKE RIVER BELOW SWAN FALLS, BIG LOST R@HOW'L RNCH NR CHILL, BIG LOST R AT MACKAY, BIG WOOD RIVER AT HAILEY, MAGIC DM&RES-BIG WOOD RICHFLD, LITL.WOODDM&RESNRCAREY, OWYHEE DAM, BOISE RIVER AT GLENWOOD BRIDGE, WARM SPRINGS RESERVOIR, AGENCY VLY DAM & BEULAH RSVR, BULLY CREEK DAM & RESERVOIR, MALHEUR RIVER NR VALE, CASCADE DAM, DEADWOOD DAM, PAYETTE RIVER NEAR EMMETT, WEISER RIVER NEAR WEISER, SNAKE RIVER AT WEISER, BROWNLEE DAM, SALMON R AT WHITEBIRD, GRANDE RONDE RIVER AT TROY, SNAKE RIVER NR ANATONE, CLEARWATER R AT OROFINO, DWORSHAK DAM, CLEARWATER R AT SPALDING, LOWER GRANITE DAM, LITTLE GOOSE DAM, LOWER MONUMENTAL DAM, ICE HARBOR DAM, WALLA WALLA RIV NR TOUCHET, MCNARY DAM, UMATILLA R NR GIBBON, UMATILLA R AT PENDLETON, MCKAY CR NR PILOTROCK, UMATILLA RIVER NEAR UMATILLA, NF JOHN DAY RIV AT MONUMENT, JOHN DAY RIVER AT SERVICE CK, JOHN DAY DAM, DESCHUTES R AT MOODY NR BIGGS, THE DALLES, KLICKITAT R NR PITT, HOOD R AT TUCKER BRIDGE, WHITE SALMON R NR UNDERWOOD, BONNEVILLE DAM
2003-02-18,2317.0,5289.0,603.0,3452.0,186.0,378.0,176.0,472.0,1158.0,1020.0,2274.0,3261.0,4383.0,11034.0,11788.0,1134.0,15245.0,4440.0,9318.0,354.0,49860.0,370.0,59436.0,78079.0,787.0,298.0,79380.0,876.0,80113.0,87.0,1435.0,82000.0,81542.0,180.0,270.0,312.0,414.0,691.0,249.0,1427.0,181.0,489.0,334.0,767.0,2944.0,4271.0,366.0,433.0,1290.0,364.0,1571.0,459.0,1200.0,1263.0,2155.0,1473.0,25.0,2348.0,2204.0,1985.0,1883.0,226.0,4568.0,746.0,188.0,8016.0,42.0,71.0,161.0,243.0,47.0,453.0,280.0,114.0,80.0,72.0,62.0,600.0,78.0,1738.0,1413.0,12399.0,14633.0,4405.0,2662.0,21645.0,5101.0,4869.0,7907.0,29552.0,29552.0,30837.0,30837.0,1637.0,108860.0,447.0,1055.0,571.0,1003.0,1916.0,2474.0,115968.0,5949.0,113582.0,2453.0,1176.0,1521.0,117082.0
2003-02-19,2255.0,5273.0,564.0,3444.0,181.0,374.0,170.0,462.0,1139.0,1002.0,2236.0,3216.0,4276.0,11061.0,11740.0,1094.0,14922.0,3967.0,8933.0,309.0,51171.0,365.0,60087.0,74375.0,827.0,297.0,75808.0,793.0,77267.0,85.0,1446.0,80792.0,80956.0,175.0,258.0,320.0,411.0,676.0,269.0,1389.0,169.0,472.0,313.0,678.0,2915.0,4312.0,360.0,429.0,1270.0,367.0,1589.0,458.0,1193.0,1250.0,2103.0,1477.0,25.0,2334.0,2201.0,1934.0,1838.0,228.0,4541.0,729.0,155.0,7963.0,42.0,71.0,158.0,222.0,46.0,473.0,283.0,113.0,81.0,58.0,62.0,504.0,76.0,1703.0,1231.0,12600.0,14628.0,4486.0,2563.0,25379.0,5271.0,4639.0,8075.0,33454.0,33454.0,34660.0,34660.0,1863.0,121677.0,360.0,1062.0,389.0,1188.0,1829.0,2374.0,129139.0,6049.0,127316.0,2415.0,1406.0,1595.0,131542.0
2003-02-20,2239.0,5272.0,546.0,3428.0,179.0,370.0,167.0,453.0,1122.0,991.0,2205.0,3163.0,4238.0,10994.0,11645.0,1081.0,14837.0,3751.0,8372.0,280.0,51637.0,361.0,60747.0,69375.0,873.0,295.0,70846.0,788.0,72344.0,83.0,1462.0,75922.0,76131.0,181.0,298.0,339.0,456.0,711.0,304.0,1409.0,159.0,452.0,289.0,584.0,2829.0,4321.0,357.0,426.0,1252.0,373.0,1578.0,457.0,1186.0,1254.0,2092.0,1475.0,24.0,2337.0,2197.0,1912.0,1822.0,232.0,4512.0,707.0,125.0,7882.0,42.0,71.0,154.0,203.0,45.0,459.0,280.0,112.0,81.0,50.0,61.0,467.0,74.0,1681.0,973.0,12673.0,14682.0,4467.0,2198.0,25166.0,5264.0,4275.0,7859.0,33026.0,33026.0,33891.0,33891.0,1529.0,119383.0,264.0,771.0,385.0,1122.0,1449.0,2161.0,129029.0,6086.0,127879.0,2414.0,1456.0,1658.0,133709.0
2003-02-21,2232.0,5270.0,531.0,3596.0,177.0,367.0,164.0,444.0,1106.0,977.0,2174.0,3120.0,4303.0,10945.0,11622.0,1085.0,14834.0,3649.0,8054.0,317.0,51222.0,357.0,60110.0,62812.0,909.0,291.0,64671.0,781.0,66495.0,81.0,1461.0,70339.0,70626.0,177.0,303.0,350.0,472.0,739.0,327.0,1483.0,149.0,390.0,274.0,470.0,2791.0,4277.0,356.0,423.0,1236.0,371.0,1561.0,457.0,1180.0,1260.0,2089.0,1472.0,24.0,2321.0,2177.0,1899.0,1828.0,238.0,4512.0,684.0,104.0,7861.0,42.0,71.0,151.0,190.0,44.0,464.0,278.0,111.0,95.0,46.0,61.0,443.0,72.0,1739.0,1247.0,12727.0,14518.0,4413.0,2163.0,25094.0,5252.0,4508.0,8571.0,33664.0,33664.0,34936.0,34936.0,1799.0,114450.0,324.0,800.0,550.0,892.0,1391.0,1934.0,123188.0,6396.0,122355.0,2684.0,1787.0,1857.0,128626.0
2003-02-22,2225.0,5279.0,517.0,3645.0,176.0,365.0,162.0,436.0,1093.0,964.0,2146.0,3081.0,4560.0,10950.0,11657.0,1122.0,15123.0,3839.0,8762.0,411.0,50864.0,354.0,60426.0,48906.0,938.0,288.0,50978.0,792.0,53141.0,79.0,1477.0,57681.0,58263.0,180.0,303.0,359.0,496.0,777.0,349.0,1583.0,140.0,372.0,270.0,381.0,2844.0,4444.0,354.0,420.0,1220.0,369.0,1542.0,456.0,1175.0,1265.0,2087.0,1470.0,24.0,2298.0,2148.0,1872.0,1833.0,244.0,4523.0,666.0,93.0,7979.0,42.0,71.0,148.0,189.0,43.0,689.0,275.0,116.0,142.0,44.0,94.0,423.0,70.0,1995.0,1900.0,13463.0,15224.0,4362.0,2576.0,27027.0,5879.0,5135.0,10350.0,37377.0,37377.0,40757.0,40757.0,2207.0,111272.0,428.0,1261.0,527.0,1027.0,1761.0,2376.0,111010.0,6382.0,110379.0,2736.0,1543.0,1890.0,117788.0
2003-02-23,2218.0,5266.0,504.0,3615.0,174.0,363.0,159.0,429.0,1081.0,952.0,2120.0,3046.0,4429.0,10908.0,11561.0,1136.0,14868.0,4198.0,8577.0,327.0,50682.0,351.0,60041.0,45000.0,949.0,285.0,45506.0,762.0,46103.0,77.0,1458.0,48778.0,48890.0,162.0,253.0,333.0,406.0,752.0,317.0,1559.0,130.0,364.0,261.0,328.0,2909.0,4486.0,353.0,417.0,1205.0,367.0,1522.0,455.0,1169.0,1271.0,2084.0,1467.0,24.0,2272.0,2116.0,1840.0,1828.0,250.0,4528.0,649.0,89.0,7919.0,42.0,71.0,145.0,180.0,43.0,1057.0,273.0,137.0,144.0,43.0,247.0,404.0,68.0,1862.0,1806.0,13854.0,16228.0,4325.0,2665.0,27859.0,6527.0,5050.0,10432.0,38292.0,38292.0,41800.0,41800.0,1892.0,102374.0,325.0,1063.0,400.0,1371.0,1706.0,2654.0,102294.0,6088.0,101143.0,2500.0,1228.0,1665.0,107756.0
2003-02-24,2210.0,5232.0,492.0,3586.0,173.0,361.0,157.0,423.0,1069.0,940.0,2096.0,3011.0,4343.0,10782.0,11396.0,1103.0,14564.0,4506.0,7903.0,284.0,50277.0,344.0,59003.0,68281.0,936.0,282.0,68624.0,740.0,68347.0,75.0,1412.0,68419.0,67461.0,156.0,226.0,323.0,371.0,730.0,281.0,1480.0,122.0,352.0,258.0,315.0,2828.0,4453.0,351.0,414.0,1191.0,365.0,1503.0,455.0,1163.0,1277.0,2082.0,1465.0,24.0,2247.0,2084.0,1806.0,1820.0,253.0,4525.0,626.0,83.0,7849.0,42.0,71.0,142.0,166.0,42.0,1106.0,274.0,157.0,142.0,42.0,393.0,387.0,67.0,1725.0,1352.0,13460.0,16178.0,4282.0,2483.0,27803.0,6689.0,4716.0,10184.0,37987.0,37987.0,40263.0,40263.0,1481.0,100521.0,273.0,845.0,318.0,1154.0,1381.0,2346.0,106566.0,5847.0,104229.0,2380.0,1098.0,1559.0,108501.0
2003-02-25,2203.0,5214.0,480.0,3559.0,172.0,359.0,155.0,417.0,1059.0,929.0,2072.0,2983.0,4304.0,10626.0,11243.0,1060.0,14380.0,4479.0,7477.0,276.0,49841.0,339.0,58102.0,65469.0,919.0,279.0,66795.0,726.0,68057.0,73.0,1378.0,70990.0,71133.0,155.0,226.0,325.0,369.0,731.0,264.0,1449.0,115.0,345.0,261.0,316.0,2753.0,4409.0,350.0,412.0,1178.0,363.0,1484.0,454.0,1158.0,1284.0,2080.0,1462.0,24.0,2222.0,2052.0,1772.0,1810.0,255.0,4520.0,605.0,79.0,7809.0,42.0,71.0,140.0,157.0,41.0,1103.0,276.0,180.0,138.0,43.0,522.0,371.0,65.0,1693.0,1027.0,13057.0,15631.0,4239.0,2324.0,27185.0,6478.0,4487.0,9879.0,37065.0,37065.0,38533.0,38533.0,1260.0,115606.0,286.0,784.0,294.0,950.0,1195.0,1995.0,122894.0,5714.0,120414.0,2379.0,1192.0,1527.0,124385.0
2003-02-26,2196.0,5208.0,471.0,3532.0,170.0,358.0,153.0,411.0,1049.0,919.0,2051.0,2963.0,4283.0,10535.0,11159.0,1032.0,14314.0,4430.0,7413.0,281.0,51458.0,334.0,58720.0,66937.0,906.0,277.0,68068.0,732.0,69041.0,72.0,1388.0,71343.0,71281.0,162.0,247.0,349.0,420.0,767.0,272.0,1486.0,108.0,343.0,267.0,327.0,2768.0,4479.0,348.0,410.0,1166.0,361.0,1466.0,454.0,1153.0,1290.0,2079.0,1460.0,24.0,2200.0,2022.0,1740.0,1800.0,256.0,4513.0,592.0,76.0,7766.0,42.0,71.0,137.0,150.0,40.0,1173.0,277.0,216.0,145.0,80.0,450.0,356.0,63.0,1717.0,940.0,12927.0,15164.0,4223.0,2296.0,26520.0,6270.0,4492.0,9772.0,36292.0,36292.0,37880.0,37880.0,1187.0,114525.0,348.0,945.0,287.0,912.0,1177.0,1857.0,123061.0,5708.0,121137.0,2451.0,1307.0,1605.0,126550.0
2003-02-27,2189.0,5196.0,464.0,3507.0,169.0,356.0,151.0,406.0,1040.0,909.0,2030.0,2941.0,4326.0,10487.0,11113.0,1013.0,14229.0,4424.0,7520.0,279.0,54193.0,330.0,61907.0,67000.0,892.0,274.0,68185.0,711.0,69256.0,70.0,1384.0,71675.0,71678.0,149.0,220.0,329.0,354.0,764.0,266.0,1501.0,103.0,342.0,261.0,325.0,2832.0,4486.0,347.0,407.0,1154.0,359.0,1449.0,453.0,1148.0,1297.0,2078.0,1458.0,24.0,2183.0,1998.0,1714.0,1794.0,257.0,4508.0,578.0,76.0,7772.0,42.0,71.0,135.0,146.0,40.0,1410.0,278.0,239.0,160.0,130.0,395.0,343.0,62.0,1728.0,1105.0,12968.0,14969.0,4239.0,2214.0,25857.0,6195.0,4561.0,9728.0,35586.0,35586.0,37594.0,37594.0,1150.0,115001.0,308.0,919.0,259.0,1058.0,1183.0,1862.0,123216.0,5668.0,121057.0,2443.0,1190.0,1542.0,126306.0
