, KOOTENAI - LIBBY DAM, KOOTENAI - AT LEONIA, NF FLATHEAD - NEAR COLUMBIA FALLS, MF FLATHEAD - NEAR WEST GLACIER, SF FLATHEAD - HUNGRY HORSE DAM, FLATHEAD - AT COLUMBIA FALLS, CLARK FORK - AT DEER LODGE, CLARK FORK - NR DRUMMOND, ROCK CREEK - NEAR CLINTON, BLACKFOOT - NEAR BONNER, CLARK FORK - ABOVE MISSOULA, BITTERROOT - NEAR MISSOULA, CLARK FORK - BELOW MISSOULA, ST. REGIS - NEAR ST. REGIS, CLARK FORK - AT ST REGIS, FLATHEAD - KERR DAM, CLARK FORK - NOXON RAPIDS DAM, CLARK FORK - CABINET GORGE DAM, PRIEST - NEAR PRIEST RIVER, PEND OREILLE - ALBENI FALLS DAM, COEUR D ALENE - COEUR D ALENE LAKE, SPOKANE - AT SPOKANE, SPOKANE - AT LONGLAKE, ST MARIES - NEAR SANTA, COLUMBIA - AT INTL BOUNDARY, KETTLE - AT LAURIER, COLUMBIA - GRAND COULEE DAM, COLUMBIA - CHIEF JOSEPH DAM, OKANOGAN - NEAR TONASKET, METHOW - NEAR PATEROS, COLUMBIA - WELLS DAM, CHELAN - LAKE CHELAN DAM, COLUMBIA - ROCKY REACH DAM, ENTIAT - NEAR ARDENVOIR, WENATCHEE - AT PESHASTIN, COLUMBIA - WANAPUM DAM, COLUMBIA - PRIEST RAPIDS DAM, YAKIMA - KEECHELUS LAKE, KACHESS - KACHESS DAM, YAKIMA - AT EASTON, CLE ELUM - CLE ELUM LAKE, TEANAWAY - BELOW FORKS, YAKIMA - AT UMTANUM, BUMPING - BUMPING LAKE DAM, NACHES - NEAR CLIFFDEL, TIETON - RIMROCK LAKE NEAR RIMROCK, NACHES - NEAR NACHES, YAKIMA - NEAR PARKER, YAKIMA - AT KIONA, HENRYS FORK - ISLAND PARK DAM, FALL RIVER - NEAR CHESTER, HENRYS FORK - AT ST. ANTHONY, TETON - NEAR ST. ANTHONY, HENRYS FORK - AT REXBURG, SNAKE - JACKSON LAKE AT DAM, SNAKE - NEAR JACKSON, SNAKE - NEAR ALPINE, SF SNAKE - PALISADES DAM, SNAKE - NEAR HEISE, WILLOW CREEK - RIRIE DAM, SNAKE - AB EAGLE ROCK NR IDAHO FALLS, SNAKE - NEAR SHELLEY, SNAKE - AT BLACKFOOT, SNAKE - NEAR BLACKFOOT, PORTNEUF - AT POCATELLO, SNAKE - AMERICAN FALLS RESERVOIR, SNAKE - AT MILNER, BRUNEAU - NEAR HOT SPRINGS, SNAKE - BELOW SWAN FALLS, BIG LOST - AT HOWELL RANCH NEAR CHILLY, BIG LOST - MACKAY RESERVOIR NEAR MACKAY, BIG WOOD - AT HAILEY, BIG WOOD - MAGIC DAM, LITTLE WOOD - LITTLE WOOD DAM, OWYHEE - BELOW OWYHEE DAM, SF BOISE - ANDERSON RANCH DAM, BOISE - LUCKY PEAK DAM, BOISE - AT GLENWOOD BRIDGE, BOISE - NEAR PARMA, MALHEUR - WARM SPRINGS DAM, MALHEUR - AGENCY VALLEY DAM, BULLY CREEK - BULLY CREEK DAM, MALHEUR - NEAR VALE, NF PAYETTE - CASCADE DAM, DEADWOOD - NEAR LOWMAN, PAYETTE - NEAR EMMETT, WEISER - NEAR WEISER, SNAKE - AT WEISER, SNAKE - BROWNLEE DAM, SALMON - AT WHITEBIRD, GRANDE RONDE - TROY, SNAKE - NEAR ANATONE, CLEARWATER - AT OROFINO, NF CLEARWATER - DWORSHAK DAM, CLEARWATER - AT SPALDING, SNAKE - LOWER GRANITE DAM, SNAKE - LITTLE GOOSE DAM, SNAKE - LOWER MONUMENTAL DAM, SNAKE - ICE HARBOR DAM, WALLA WALLA - NEAR TOUCHET, COLUMBIA - MCNARY DAM, UMATILLA - NEAR GIBBON, UMATILLA - AT PENDLETON, MCKAY CREEK - NEAR PILOT ROCK, UMATILLA - NEAR UMATILLA, NF JOHN DAY - AT MONUMENT, JOHN DAY - AT SERVICE CK, COLUMBIA - JOHN DAY DAM, DESCHUTES - AT MOODY NR BIGGS, COLUMBIA - THE DALLES DAM, KLICKITAT - NEAR PITT, HOOD - NEAR TUCKER BRIDGE, WHITE SALMON - NEAR UNDERWOOD, COLUMBIA - BONNEVILLE DAM
2015-04-15,8140.0,18790.0,3239.0,3214.0,5293.0,12658.0,308.0,788.0,626.0,2114.0,3799.0,2854.0,6700.0,673.0,8774.0,15393.0,27359.0,30905.0,2954.0,35386.0,7196.0,6697.0,7866.0,427.0,84379.0,5209.0,100846.0,99193.0,3831.0,2022.0,107436.0,1462.0,108380.0,376.0,2388.0,115360.0,115373.0,291.0,247.0,816.0,491.0,195.0,1829.0,179.0,728.0,458.0,858.0,648.0,1871.0,692.0,1080.0,2133.0,549.0,1445.0,1280.0,2116.0,3368.0,5526.0,6655.0,90.0,4556.0,4210.0,1788.0,1742.0,182.0,3975.0,0.0,173.0,5167.0,124.0,152.0,388.0,516.0,78.0,370.0,991.0,2779.0,626.0,484.0,134.0,168.0,46.0,2.0,1184.0,275.0,1267.0,627.0,8022.0,9356.0,11012.0,2373.0,24871.0,11989.0,8476.0,18343.0,43703.0,42626.0,43344.0,43269.0,380.0,166557.0,160.0,428.0,75.0,292.0,1246.0,1873.0,163323.0,4534.0,165562.0,1478.0,788.0,1165.0,172298.0
2015-04-16,8306.0,19076.0,3035.0,3168.0,5214.0,12629.0,305.0,786.0,574.0,2068.0,3704.0,2987.0,6734.0,616.0,8980.0,16004.0,27484.0,31054.0,2947.0,35790.0,7460.0,6475.0,7339.0,472.0,84095.0,4982.0,97899.0,100167.0,3591.0,1899.0,105932.0,1502.0,108824.0,358.0,2330.0,113872.0,114004.0,260.0,219.0,743.0,414.0,184.0,1820.0,162.0,750.0,382.0,908.0,744.0,1783.0,722.0,1078.0,2092.0,589.0,1802.0,1465.0,2256.0,3540.0,6254.0,6792.0,82.0,5354.0,4934.0,2255.0,2056.0,205.0,4049.0,0.0,162.0,5268.0,114.0,137.0,374.0,467.0,70.0,360.0,899.0,2850.0,663.0,546.0,129.0,166.0,45.0,7.0,1151.0,238.0,1308.0,603.0,7781.0,9527.0,11198.0,2126.0,24152.0,13190.0,8107.0,20055.0,44208.0,43248.0,43801.0,43766.0,370.0,161520.0,178.0,446.0,74.0,270.0,1202.0,1814.0,161594.0,4559.0,162081.0,1437.0,692.0,1140.0,165116.0
2015-04-17,7970.0,18887.0,2826.0,2898.0,4430.0,12131.0,300.0,783.0,512.0,1945.0,3467.0,2728.0,6233.0,622.0,8584.0,15467.0,27292.0,30830.0,2886.0,35419.0,7178.0,6356.0,7196.0,447.0,84330.0,4721.0,96652.0,97968.0,3295.0,1761.0,103592.0,1761.0,106871.0,354.0,2198.0,110010.0,110214.0,259.0,227.0,700.0,665.0,297.0,1725.0,188.0,713.0,476.0,866.0,571.0,1763.0,653.0,972.0,1740.0,553.0,1801.0,1048.0,2152.0,3140.0,5652.0,6819.0,102.0,5680.0,5324.0,2877.0,2702.0,208.0,4430.0,0.0,152.0,5237.0,109.0,130.0,369.0,406.0,76.0,308.0,897.0,2992.0,705.0,564.0,126.0,163.0,44.0,26.0,1172.0,261.0,1297.0,554.0,7829.0,9712.0,10982.0,2008.0,23260.0,12042.0,7008.0,19198.0,42458.0,41616.0,42155.0,42153.0,351.0,157764.0,175.0,461.0,73.0,230.0,1157.0,1748.0,164372.0,4635.0,165122.0,1402.0,692.0,1102.0,168395.0
2015-04-18,7775.0,17597.0,2933.0,2870.0,5196.0,12092.0,291.0,823.0,547.0,1860.0,3350.0,2499.0,5882.0,719.0,8153.0,14970.0,26967.0,30443.0,2832.0,35084.0,7056.0,7468.0,7900.0,438.0,85068.0,4618.0,97737.0,91249.0,3013.0,1728.0,96485.0,2033.0,99931.0,516.0,2139.0,102864.0,103150.0,260.0,224.0,656.0,1133.0,302.0,1830.0,193.0,711.0,652.0,1102.0,601.0,1668.0,648.0,954.0,1607.0,622.0,1525.0,944.0,2031.0,3091.0,5344.0,6844.0,142.0,5467.0,5159.0,3013.0,2924.0,199.0,4806.0,0.0,148.0,5222.0,111.0,130.0,386.0,404.0,76.0,306.0,1200.0,3176.0,765.0,608.0,126.0,161.0,44.0,39.0,1230.0,378.0,1602.0,674.0,8024.0,9808.0,11111.0,2053.0,23067.0,11542.0,7616.0,19888.0,42954.0,42231.0,42756.0,42756.0,325.0,151350.0,158.0,446.0,73.0,219.0,1112.0,1693.0,158759.0,4674.0,159730.0,1371.0,795.0,1064.0,163532.0
2015-04-19,7707.0,14543.0,3480.0,3002.0,6834.0,12804.0,285.0,944.0,691.0,1898.0,3564.0,2738.0,6329.0,840.0,8408.0,15502.0,27121.0,30595.0,2780.0,35323.0,8148.0,7805.0,8635.0,408.0,86186.0,4741.0,99650.0,86718.0,3024.0,2088.0,91855.0,2043.0,95270.0,650.0,2377.0,98088.0,98252.0,244.0,206.0,611.0,1048.0,232.0,1903.0,263.0,796.0,700.0,1448.0,1096.0,1667.0,706.0,1047.0,1704.0,773.0,1477.0,1108.0,2028.0,3269.0,5612.0,6890.0,130.0,5130.0,4779.0,2730.0,2679.0,189.0,4794.0,0.0,139.0,5214.0,124.0,142.0,420.0,446.0,80.0,298.0,1526.0,3334.0,824.0,658.0,122.0,158.0,42.0,46.0,1380.0,437.0,1938.0,812.0,8544.0,10402.0,11946.0,2260.0,23788.0,14471.0,9224.0,24752.0,48540.0,47934.0,48445.0,48445.0,308.0,148822.0,140.0,419.0,73.0,215.0,1088.0,1651.0,155110.0,4640.0,155742.0,1346.0,774.0,1036.0,159044.0
2015-04-20,7949.0,14457.0,3327.0,2947.0,6224.0,12792.0,281.0,938.0,681.0,1920.0,3711.0,3294.0,7026.0,873.0,9378.0,16134.0,27719.0,31247.0,2735.0,35905.0,8738.0,7730.0,8558.0,375.0,87472.0,4714.0,100776.0,92186.0,4146.0,2464.0,97037.0,2004.0,99440.0,703.0,2572.0,100912.0,100589.0,234.0,195.0,574.0,917.0,200.0,1802.0,300.0,826.0,748.0,1540.0,1204.0,1926.0,728.0,1072.0,1736.0,810.0,1669.0,1273.0,2067.0,3321.0,5874.0,6943.0,118.0,5081.0,4652.0,2480.0,2380.0,182.0,4526.0,0.0,132.0,5217.0,130.0,147.0,422.0,464.0,78.0,277.0,1606.0,3462.0,884.0,708.0,119.0,156.0,42.0,54.0,1375.0,436.0,2073.0,863.0,8942.0,11034.0,13224.0,2088.0,24818.0,17247.0,9915.0,28005.0,52824.0,52336.0,52833.0,52833.0,294.0,150983.0,128.0,390.0,72.0,177.0,1074.0,1613.0,156687.0,4631.0,157114.0,1330.0,702.0,1011.0,160008.0
2015-04-21,8104.0,14280.0,2958.0,2899.0,5638.0,12364.0,276.0,868.0,643.0,1877.0,3570.0,3342.0,6928.0,911.0,9858.0,15782.0,28533.0,32148.0,2707.0,36783.0,8706.0,7654.0,8482.0,348.0,88384.0,4658.0,101685.0,95056.0,5543.0,2781.0,102094.0,2293.0,105166.0,802.0,2801.0,107535.0,107366.0,226.0,188.0,535.0,964.0,198.0,1751.0,319.0,840.0,789.0,1582.0,1168.0,2112.0,698.0,1079.0,1656.0,817.0,1753.0,1182.0,2075.0,3270.0,5754.0,6976.0,116.0,5192.0,4732.0,2489.0,2329.0,177.0,4287.0,0.0,126.0,5231.0,130.0,144.0,403.0,404.0,78.0,253.0,1678.0,3584.0,944.0,758.0,117.0,154.0,41.0,62.0,1440.0,469.0,2112.0,910.0,9067.0,11358.0,14148.0,1942.0,25718.0,18071.0,10338.0,29005.0,54724.0,54355.0,54840.0,54840.0,287.0,159932.0,118.0,366.0,70.0,133.0,1061.0,1576.0,164767.0,4638.0,164884.0,1318.0,625.0,991.0,167099.0
2015-04-22,9041.0,13796.0,2947.0,2974.0,6180.0,12391.0,269.0,851.0,708.0,1829.0,3508.0,3481.0,7000.0,966.0,9930.0,15506.0,28839.0,32476.0,2712.0,37276.0,8736.0,7579.0,8406.0,360.0,89126.0,4806.0,102480.0,96362.0,7090.0,3202.0,105136.0,2666.0,108243.0,948.0,3182.0,110905.0,110742.0,234.0,192.0,499.0,1085.0,213.0,1852.0,375.0,843.0,889.0,1627.0,1180.0,2130.0,687.0,1114.0,1634.0,916.0,1730.0,1207.0,2071.0,3416.0,5796.0,7005.0,124.0,5134.0,4679.0,2537.0,2387.0,172.0,4226.0,0.0,124.0,5252.0,134.0,146.0,424.0,366.0,80.0,248.0,1833.0,3718.0,1004.0,809.0,113.0,156.0,39.0,70.0,1583.0,541.0,2266.0,1003.0,9246.0,11620.0,15240.0,2108.0,26614.0,19345.0,11250.0,30144.0,56757.0,56506.0,56978.0,56978.0,280.0,166774.0,111.0,346.0,69.0,92.0,1050.0,1543.0,172276.0,4648.0,172516.0,1311.0,570.0,973.0,174951.0
2015-04-23,9584.0,14926.0,2968.0,3036.0,6312.0,12518.0,264.0,838.0,755.0,1803.0,3528.0,3776.0,7309.0,986.0,10220.0,15604.0,29134.0,32788.0,2722.0,37720.0,8853.0,7504.0,8330.0,380.0,89963.0,5162.0,103579.0,98180.0,8972.0,3923.0,109353.0,3317.0,112546.0,1101.0,3803.0,115695.0,115481.0,252.0,209.0,472.0,1249.0,256.0,2089.0,526.0,922.0,1116.0,1882.0,1582.0,2175.0,713.0,1183.0,1697.0,1031.0,1806.0,1392.0,2096.0,3754.0,6150.0,7042.0,148.0,5031.0,4542.0,2447.0,2316.0,169.0,4242.0,0.0,124.0,5278.0,142.0,153.0,489.0,469.0,82.0,256.0,2006.0,3876.0,1064.0,859.0,109.0,180.0,39.0,73.0,1904.0,616.0,2631.0,1123.0,9663.0,12096.0,17368.0,2920.0,28740.0,20342.0,11802.0,31640.0,60380.0,60247.0,60706.0,60706.0,292.0,173596.0,126.0,334.0,69.0,91.0,977.0,1489.0,178723.0,4659.0,178857.0,1338.0,552.0,959.0,181110.0
2015-04-24,9543.0,15182.0,2986.0,3013.0,5945.0,12590.0,258.0,814.0,782.0,1776.0,3519.0,3874.0,7394.0,959.0,10323.0,15631.0,29416.0,33087.0,2740.0,38181.0,8824.0,7428.0,8254.0,389.0,90818.0,5597.0,104792.0,99761.0,10622.0,4509.0,113582.0,2898.0,116860.0,1028.0,3605.0,120091.0,119948.0,248.0,203.0,439.0,1083.0,237.0,2167.0,515.0,1028.0,1037.0,1996.0,2007.0,2480.0,736.0,1274.0,1805.0,1058.0,1972.0,1472.0,2133.0,3863.0,6462.0,7082.0,159.0,5050.0,4512.0,2376.0,2227.0,171.0,4226.0,0.0,116.0,5298.0,142.0,150.0,526.0,617.0,78.0,281.0,1994.0,4023.0,1124.0,926.0,107.0,224.0,37.0,76.0,2334.0,622.0,3066.0,1285.0,10346.0,12917.0,19981.0,4143.0,32850.0,21232.0,12039.0,32547.0,65398.0,65375.0,65823.0,65823.0,433.0,183321.0,229.0,334.0,68.0,117.0,902.0,1437.0,188096.0,4671.0,188092.0,1411.0,578.0,982.0,190169.0
