, LIBBY DAM, HUNGRY HORSE DAM, CLARK FORK NR DRUMMOND, KERR DAM, NOXON RAPIDS DAM, ALBENI FALLS DAM, COEUR D'ALENE LAKE, SPOKANE RIV AT LONGLAKE, SPOKANE RIV AT LONGLAKE, SPOKANE RIV AT LONGLAKE, GRAND COULEE DAM, FEEDER CANAL AT GRANDCOULEE, GRAND COULEE DAM, CHIEF JOSEPH DAM, WELLS DAM, no designation found, ROCKY REACH DAM, no designation found, PRIEST RAPIDS DAM, KEECHELUS LAKE, KACHESS DAM, KEECHELUS LAKE, KACHESS DAM, CLE ELUM LAKE, BUMPING LAKE, RIMROCK LAKE, NACHES RIVER NR CLIFFDEL, ISLAND PARK 1SWIS.PARKDM&RES, SNAKE R ON JACKSON LAKE AT DAM, PALISADES DAM, RIRIE DAM, AMERICAN FALLS RESERVOIR, OWYHEE DAM, LUCKY PEAK RESERVOIR, WARM SPRINGS RESERVOIR, AGENCY VLY DAM & BEULAH RSVR, BULLY CREEK DAM & RESERVOIR, CASCADE DAM, DEADWOOD DAM, BROWNLEE DAM, SNAKE R @HELLS CANYON DAM, SNAKE R @HELLS CANYON DAM, DWORSHAK DAM, LOWER GRANITE DAM, LITTLE GOOSE DAM, LOWER MONUMENTAL DAM, ICE HARBOR DAM, PRIEST RAPIDS DAM, MCNARY DAM, MCKAY CR NR PILOTROCK, JOHN DAY DAM, THE DALLES, THE DALLES, BONNEVILLE DAM
2002-12-16,26000.0,2600.0,229.0,10400.0,13650.0,19913.0,2575.0,3402.0,3402.0,3402.0,104405.0,0.0,103750.0,95196.0,92588.0,1800.0,89131.0,88931.0,87830.0,130.0,20.0,130.0,20.0,200.0,100.0,30.0,417.0,120.0,280.0,1060.0,0.0,370.0,15.0,240.0,1.0,4.0,2.0,200.0,50.0,8100.0,8697.0,8697.0,1400.0,17620.0,17620.0,17758.0,17758.0,87830.0,95077.0,14.0,97545.0,96886.0,96886.0,100252.0
2002-12-17,26000.0,2600.0,228.0,10400.0,13608.0,19661.0,3084.0,3944.0,3944.0,3944.0,102506.0,0.0,100000.0,100156.0,101658.0,1800.0,103800.0,110018.0,109965.0,130.0,20.0,130.0,20.0,200.0,100.0,30.0,284.0,120.0,280.0,1060.0,0.0,370.0,15.0,240.0,1.0,4.0,2.0,200.0,50.0,8100.0,8696.0,8696.0,1400.0,18180.0,18180.0,18443.0,18443.0,109965.0,120886.0,11.0,120632.0,118819.0,118819.0,119778.0
2002-12-18,26000.0,2600.0,228.0,10400.0,13539.0,18529.0,3200.0,4263.0,4263.0,4263.0,102435.0,0.0,100000.0,100000.0,101368.0,1800.0,103256.0,108833.0,108852.0,130.0,20.0,130.0,20.0,200.0,100.0,30.0,255.0,120.0,280.0,1060.0,0.0,370.0,15.0,240.0,1.0,4.0,2.0,200.0,50.0,8100.0,8693.0,8693.0,1400.0,17955.0,17955.0,18150.0,18150.0,108852.0,130812.0,6.0,135210.0,134477.0,134477.0,136807.0
2002-12-19,26000.0,2600.0,227.0,10400.0,13473.0,16619.0,3200.0,4269.0,4269.0,4269.0,100848.0,0.0,100000.0,100000.0,101368.0,1800.0,103255.0,108492.0,108505.0,130.0,20.0,130.0,20.0,200.0,100.0,30.0,245.0,120.0,280.0,1060.0,0.0,370.0,15.0,240.0,1.0,4.0,2.0,200.0,50.0,8100.0,8691.0,8691.0,1400.0,17291.0,17291.0,17447.0,17447.0,108505.0,129292.0,4.0,133906.0,133274.0,133274.0,135614.0
2002-12-20,26000.0,2600.0,227.0,10400.0,13431.0,16465.0,3200.0,4267.0,4267.0,4267.0,98713.0,0.0,94886.0,96818.0,98906.0,1800.0,101460.0,107125.0,107293.0,130.0,20.0,130.0,20.0,200.0,100.0,30.0,238.0,120.0,280.0,1060.0,0.0,370.0,15.0,240.0,1.0,4.0,2.0,200.0,50.0,8100.0,8689.0,8689.0,1400.0,16880.0,16880.0,17028.0,17028.0,107293.0,128101.0,3.0,132551.0,131846.0,131846.0,134005.0
2002-12-21,26000.0,2600.0,226.0,10400.0,13402.0,16343.0,3200.0,4265.0,4265.0,4265.0,97782.0,0.0,76364.0,77642.0,80056.0,1800.0,83320.0,90396.0,91219.0,130.0,20.0,130.0,20.0,200.0,100.0,30.0,231.0,120.0,280.0,1060.0,0.0,370.0,15.0,240.0,1.0,4.0,2.0,200.0,50.0,8100.0,8687.0,8687.0,1400.0,16660.0,16660.0,16806.0,16806.0,91219.0,121877.0,3.0,127937.0,127502.0,127502.0,130207.0
2002-12-22,18125.0,2600.0,226.0,10950.0,13431.0,16269.0,3200.0,4265.0,4265.0,4265.0,97463.0,0.0,78750.0,76477.0,77120.0,1800.0,78428.0,82603.0,82606.0,130.0,20.0,130.0,20.0,200.0,100.0,30.0,226.0,120.0,280.0,1060.0,0.0,370.0,15.0,240.0,1.0,4.0,2.0,200.0,50.0,8100.0,8685.0,8685.0,1400.0,16531.0,16531.0,16675.0,16675.0,82606.0,105668.0,3.0,111920.0,111683.0,111683.0,114962.0
2002-12-23,8512.0,2600.0,225.0,10994.0,13805.0,16528.0,3200.0,4265.0,4265.0,4265.0,96537.0,0.0,100000.0,99062.0,99375.0,1800.0,99777.0,101449.0,100508.0,130.0,20.0,130.0,20.0,200.0,100.0,30.0,221.0,120.0,280.0,1060.0,0.0,370.0,15.0,240.0,1.0,4.0,2.0,200.0,50.0,8100.0,8683.0,8683.0,1400.0,16443.0,16443.0,16586.0,16586.0,100508.0,106141.0,3.0,108782.0,107581.0,107581.0,109114.0
2002-12-24,7300.0,2600.0,225.0,10985.0,13924.0,16646.0,2764.0,4225.0,4225.0,4225.0,94616.0,0.0,100000.0,100000.0,101345.0,1800.0,103223.0,107303.0,107300.0,130.0,20.0,130.0,20.0,200.0,100.0,30.0,217.0,120.0,280.0,1060.0,0.0,370.0,15.0,240.0,1.0,4.0,2.0,200.0,50.0,8100.0,8681.0,8681.0,1400.0,16376.0,16376.0,16517.0,16517.0,107300.0,123289.0,3.0,125747.0,124124.0,124124.0,124821.0
2002-12-25,7300.0,2600.0,224.0,10976.0,13896.0,16568.0,2005.0,3310.0,3310.0,3310.0,93462.0,0.0,100000.0,100000.0,101326.0,1800.0,103203.0,107064.0,107074.0,130.0,20.0,130.0,20.0,200.0,100.0,30.0,214.0,120.0,280.0,1060.0,0.0,370.0,15.0,240.0,1.0,4.0,2.0,200.0,50.0,8100.0,8679.0,8679.0,1400.0,16320.0,16320.0,16472.0,16472.0,107074.0,125811.0,4.0,130165.0,129101.0,129101.0,131147.0
