, KOOTENAI - LIBBY DAM, KOOTENAI - AT LEONIA, NF FLATHEAD - NEAR COLUMBIA FALLS, MF FLATHEAD - NEAR WEST GLACIER, SF FLATHEAD - HUNGRY HORSE DAM, FLATHEAD - AT COLUMBIA FALLS, CLARK FORK - AT DEER LODGE, CLARK FORK - NR DRUMMOND, ROCK CREEK - NEAR CLINTON, BLACKFOOT - NEAR BONNER, CLARK FORK - ABOVE MISSOULA, BITTERROOT - NEAR MISSOULA, CLARK FORK - BELOW MISSOULA, ST. REGIS - NEAR ST. REGIS, CLARK FORK - AT ST REGIS, FLATHEAD - KERR DAM, CLARK FORK - NOXON RAPIDS DAM, CLARK FORK - CABINET GORGE DAM, PRIEST - NEAR PRIEST RIVER, PEND OREILLE - ALBENI FALLS DAM, COEUR D ALENE - COEUR D ALENE LAKE, SPOKANE - AT SPOKANE, SPOKANE - AT LONGLAKE, ST MARIES - NEAR SANTA, COLUMBIA - AT INTL BOUNDARY, KETTLE - AT LAURIER, COLUMBIA - GRAND COULEE DAM, COLUMBIA - CHIEF JOSEPH DAM, OKANOGAN - NEAR TONASKET, METHOW - NEAR PATEROS, COLUMBIA - WELLS DAM, CHELAN - LAKE CHELAN DAM, COLUMBIA - ROCKY REACH DAM, ENTIAT - NEAR ARDENVOIR, WENATCHEE - AT PESHASTIN, COLUMBIA - WANAPUM DAM, COLUMBIA - PRIEST RAPIDS DAM, YAKIMA - KEECHELUS LAKE, KACHESS - KACHESS DAM, YAKIMA - AT EASTON, CLE ELUM - CLE ELUM LAKE, TEANAWAY - BELOW FORKS, YAKIMA - AT UMTANUM, BUMPING - BUMPING LAKE DAM, NACHES - NEAR CLIFFDEL, TIETON - RIMROCK LAKE NEAR RIMROCK, NACHES - NEAR NACHES, YAKIMA - NEAR PARKER, YAKIMA - AT KIONA, HENRYS FORK - ISLAND PARK DAM, FALL RIVER - NEAR CHESTER, HENRYS FORK - AT ST. ANTHONY, TETON - NEAR ST. ANTHONY, HENRYS FORK - AT REXBURG, SNAKE - JACKSON LAKE AT DAM, SNAKE - NEAR JACKSON, SNAKE - NEAR ALPINE, SF SNAKE - PALISADES DAM, SNAKE - NEAR HEISE, WILLOW CREEK - RIRIE DAM, SNAKE - AB EAGLE ROCK NR IDAHO FALLS, SNAKE - NEAR SHELLEY, SNAKE - AT BLACKFOOT, SNAKE - NEAR BLACKFOOT, PORTNEUF - AT POCATELLO, SNAKE - AMERICAN FALLS RESERVOIR, SNAKE - AT MILNER, BRUNEAU - NEAR HOT SPRINGS, SNAKE - BELOW SWAN FALLS, BIG LOST - AT HOWELL RANCH NEAR CHILLY, BIG LOST - MACKAY RESERVOIR NEAR MACKAY, BIG WOOD - AT HAILEY, BIG WOOD - MAGIC DAM, LITTLE WOOD - LITTLE WOOD DAM, OWYHEE - OWYHEE DAM, SF BOISE - ANDERSON RANCH DAM, BOISE - LUCKY PEAK DAM, BOISE - AT GLENWOOD BRIDGE, BOISE - NEAR PARMA, MALHEUR - WARM SPRINGS DAM, MALHEUR - AGENCY VALLEY DAM, BULLY CREEK - BULLY CREEK DAM, MALHEUR - NEAR VALE, NF PAYETTE - CASCADE DAM, DEADWOOD - NEAR LOWMAN, PAYETTE - NEAR EMMETT, WEISER - NEAR WEISER, SNAKE - AT WEISER, SNAKE - BROWNLEE DAM, SALMON - AT WHITEBIRD, GRANDE RONDE - TROY, SNAKE - NEAR ANATONE, CLEARWATER - AT OROFINO, NF CLEARWATER - DWORSHAK DAM, CLEARWATER - AT SPALDING, SNAKE - LOWER GRANITE DAM, SNAKE - LITTLE GOOSE DAM, SNAKE - LOWER MONUMENTAL DAM, SNAKE - ICE HARBOR DAM, WALLA WALLA - NEAR TOUCHET, COLUMBIA - MCNARY DAM, UMATILLA - NEAR GIBBON, UMATILLA - AT PENDLETON, MCKAY CREEK - NEAR PILOT ROCK, UMATILLA - NEAR UMATILLA, NF JOHN DAY - AT MONUMENT, JOHN DAY - AT SERVICE CK, COLUMBIA - JOHN DAY DAM, DESCHUTES - AT MOODY NR BIGGS, COLUMBIA - THE DALLES DAM, KLICKITAT - NEAR PITT, HOOD - NEAR TUCKER BRIDGE, WHITE SALMON - NEAR UNDERWOOD, COLUMBIA - BONNEVILLE DAM
2018-06-26, 23910, 14250, 5049, 7038, 8586, 16821, 1991, 3849, 2412, 5202, , 9646, 23635, 447, 26668, 23333, 55617, 57013, 1919, , 3244, 3893, 4817, 152, 167977, 4849, 177113, 164516, 5557, 3386, 172885, 2796, 171282, 870, 6279, 176623, 176184, 277, 218, 282, 1320, 81, 3168, 338, 997, 587, 1336, 519, 1029, 727, 1377, 2150, 2087, 3456, 3259, 10409, 13156, 16113, 14404, 91, 12738, 12892, 10184, 11225, 79, , 2000, 227, 9994, 832, 830, 765, 479, 197, 238, 845, 3693, 798, 755, 93, 45, 0, 35, 463, 196, 2291, 243, 15423, 16669, 19793, 2888, 42628, 14462, 6043, 19234, 61862, 61862, 62102, 65110, 133, 246241, 63, 86, 5, 207, 360, 584, 244916, 4502, 244605, 1200, 419, 931, 245415
2018-06-27,23030.0,13968.0,4695.0,6355.0,7380.0,16669.0,1880.0,3619.0,2378.0,4999.0,11965.0,8669.0,21983.0,422.0,24820.0,22539.0,51821.0,52923.0,1910.0,55274.0,3102.0,3734.0,4655.0,147.0,164845.0,4642.0,174656.0,169998.0,5439.0,3296.0,179757.0,1305.0,180711.0,741.0,5377.0,186138.0,186095.0,237.0,183.0,282.0,972.0,77.0,3358.0,274.0,884.0,495.0,1097.0,568.0,1109.0,708.0,1252.0,2043.0,1957.0,3061.0,3070.0,10429.0,13066.0,16078.0,15337.0,87.0,13027.0,12841.0,8820.0,9581.0,74.0,11577.0,500.0,215.0,8455.0,803.0,809.0,733.0,451.0,189.0,238.0,789.0,3690.0,794.0,765.0,88.0,42.0,0.0,34.0,443.0,188.0,2216.0,238.0,14065.0,15548.0,18439.0,2697.0,39074.0,13060.0,5478.0,17862.0,56935.0,56935.0,57166.0,59853.0,102.0,245532.0,63.0,84.0,4.0,203.0,346.0,541.0,240390.0,4491.0,240892.0,1094.0,404.0,906.0,243115.0
2018-06-28,20247.0,13660.0,4149.0,5660.0,6204.0,16339.0,1677.0,3305.0,2200.0,4800.0,11217.0,7678.0,20083.0,400.0,22996.0,21646.0,49218.0,50129.0,1901.0,51464.0,2991.0,3569.0,4475.0,143.0,165644.0,4336.0,174519.0,172531.0,5546.0,2982.0,181405.0,454.0,182647.0,626.0,4401.0,186541.0,186423.0,216.0,167.0,282.0,806.0,73.0,3547.0,239.0,763.0,473.0,930.0,553.0,1182.0,689.0,1141.0,1930.0,1862.0,2764.0,2949.0,10202.0,12699.0,15658.0,15385.0,84.0,13144.0,13128.0,9219.0,9892.0,69.0,11085.0,0.0,206.0,8003.0,775.0,788.0,706.0,413.0,181.0,238.0,742.0,3687.0,789.0,769.0,75.0,41.0,0.0,31.0,425.0,181.0,2134.0,236.0,12397.0,13888.0,17439.0,2529.0,36948.0,11478.0,4956.0,16359.0,53307.0,53307.0,53530.0,55896.0,63.0,245027.0,62.0,81.0,3.0,198.0,333.0,511.0,242228.0,4490.0,242936.0,1060.0,412.0,885.0,245486.0
2018-06-29,18336.0,11770.0,3830.0,5260.0,5578.0,15531.0,1524.0,3045.0,2037.0,4593.0,10554.0,6836.0,18289.0,379.0,21089.0,20268.0,46434.0,47139.0,1893.0,50442.0,2890.0,3419.0,4314.0,138.0,165475.0,4047.0,174831.0,177880.0,5363.0,2701.0,186968.0,166.0,189531.0,548.0,3964.0,193054.0,192847.0,199.0,154.0,282.0,706.0,70.0,3674.0,213.0,668.0,432.0,773.0,574.0,1209.0,700.0,1038.0,1830.0,1785.0,2504.0,2824.0,9964.0,12311.0,15186.0,15430.0,82.0,12858.0,12869.0,8998.0,9742.0,63.0,12426.0,0.0,197.0,7207.0,750.0,770.0,680.0,420.0,174.0,237.0,699.0,3683.0,784.0,775.0,80.0,42.0,0.0,31.0,414.0,174.0,2062.0,237.0,11673.0,12868.0,16724.0,2403.0,33765.0,10264.0,4548.0,15098.0,48863.0,48863.0,49077.0,51123.0,50.0,243599.0,62.0,80.0,2.0,195.0,321.0,494.0,240887.0,4488.0,241485.0,1042.0,376.0,866.0,243781.0
2018-06-30,17803.0,11671.0,3800.0,5046.0,5182.0,15180.0,1442.0,2881.0,1892.0,4385.0,9953.0,6309.0,16941.0,364.0,19535.0,18930.0,43408.0,43876.0,1888.0,48139.0,2799.0,3294.0,4173.0,138.0,160331.0,3798.0,169555.0,161511.0,4939.0,2495.0,172644.0,0.0,178913.0,487.0,3661.0,185752.0,186587.0,181.0,140.0,282.0,609.0,67.0,3678.0,191.0,602.0,419.0,681.0,461.0,1216.0,738.0,959.0,1792.0,1726.0,2303.0,2729.0,9661.0,11874.0,14709.0,15475.0,80.0,12606.0,12635.0,8662.0,9393.0,58.0,12407.0,0.0,189.0,6581.0,739.0,767.0,669.0,419.0,175.0,223.0,668.0,3681.0,780.0,781.0,73.0,41.0,0.0,31.0,442.0,169.0,2004.0,240.0,11144.0,12402.0,16102.0,2321.0,31001.0,9389.0,4287.0,14206.0,45207.0,45207.0,45412.0,47137.0,42.0,242456.0,62.0,78.0,2.0,189.0,310.0,474.0,241705.0,4481.0,242393.0,1024.0,375.0,847.0,244811.0
2018-07-01,18604.0,11158.0,3876.0,4840.0,4839.0,13716.0,1395.0,2731.0,1746.0,4190.0,9378.0,5739.0,15601.0,343.0,18258.0,17776.0,40719.0,40974.0,1878.0,45718.0,2713.0,3199.0,4044.0,131.0,154550.0,3570.0,164205.0,137019.0,4478.0,2334.0,145355.0,0.0,150085.0,445.0,3479.0,155711.0,156629.0,166.0,129.0,282.0,547.0,64.0,3688.0,172.0,545.0,415.0,610.0,377.0,1162.0,720.0,874.0,1680.0,1656.0,2146.0,2607.0,9316.0,11395.0,14176.0,15522.0,78.0,12418.0,12434.0,8444.0,9139.0,53.0,11838.0,0.0,182.0,6322.0,703.0,737.0,636.0,387.0,162.0,199.0,631.0,3679.0,775.0,786.0,68.0,39.0,0.0,31.0,390.0,160.0,1942.0,239.0,10277.0,11529.0,15513.0,2246.0,30019.0,8646.0,3988.0,13453.0,43472.0,43472.0,43669.0,45073.0,34.0,221220.0,61.0,75.0,1.0,188.0,299.0,450.0,225514.0,4484.0,227063.0,1007.0,385.0,837.0,231291.0
2018-07-02,18036.0,11107.0,3771.0,4764.0,4563.0,12900.0,1326.0,2582.0,1621.0,4007.0,8848.0,5143.0,14278.0,327.0,16932.0,15627.0,37930.0,37962.0,1870.0,44070.0,2630.0,3164.0,4017.0,127.0,145883.0,3354.0,155074.0,127924.0,4059.0,2197.0,135835.0,5.0,140583.0,413.0,3390.0,145244.0,145664.0,153.0,119.0,282.0,492.0,61.0,3711.0,156.0,497.0,419.0,558.0,330.0,1092.0,681.0,770.0,1538.0,1579.0,1948.0,2427.0,8979.0,10913.0,13643.0,15572.0,74.0,12250.0,12245.0,8302.0,8983.0,47.0,11226.0,0.0,174.0,6234.0,677.0,716.0,612.0,345.0,154.0,191.0,599.0,3676.0,771.0,793.0,60.0,38.0,0.0,31.0,371.0,154.0,1867.0,240.0,9750.0,10888.0,14923.0,2179.0,28515.0,7915.0,3758.0,12658.0,41174.0,41174.0,41362.0,42445.0,27.0,196767.0,61.0,73.0,0.0,185.0,287.0,425.0,199435.0,4498.0,200716.0,1006.0,400.0,829.0,204466.0
2018-07-03,17674.0,11077.0,3684.0,4682.0,4335.0,12297.0,1256.0,2428.0,1519.0,3834.0,8350.0,4645.0,13125.0,313.0,15726.0,14852.0,34881.0,34653.0,1864.0,42608.0,2550.0,3033.0,3890.0,124.0,141204.0,3152.0,149437.0,121829.0,3689.0,2077.0,128863.0,125.0,133233.0,391.0,3405.0,137377.0,137637.0,142.0,113.0,283.0,458.0,58.0,3735.0,150.0,458.0,442.0,528.0,292.0,1039.0,659.0,670.0,1416.0,1513.0,1731.0,2230.0,8592.0,10381.0,13039.0,15624.0,72.0,12046.0,12021.0,8142.0,8816.0,41.0,10635.0,2750.0,167.0,6196.0,653.0,697.0,590.0,301.0,147.0,190.0,569.0,3672.0,769.0,801.0,51.0,33.0,0.0,31.0,358.0,148.0,1797.0,238.0,9478.0,10538.0,14368.0,2108.0,27363.0,7313.0,3578.0,11938.0,39301.0,39301.0,39481.0,40244.0,18.0,184520.0,60.0,70.0,0.0,181.0,275.0,401.0,187273.0,4489.0,188257.0,1025.0,430.0,823.0,191358.0
2018-07-04,17748.0,11056.0,3757.0,4592.0,4212.0,12284.0,1193.0,2288.0,1433.0,3673.0,7852.0,4224.0,12157.0,301.0,14651.0,14326.0,33078.0,32704.0,1856.0,41320.0,2475.0,2908.0,3755.0,121.0,137214.0,2960.0,145088.0,117423.0,3360.0,1967.0,123885.0,361.0,128173.0,390.0,3478.0,132244.0,132444.0,134.0,110.0,283.0,448.0,56.0,3749.0,158.0,442.0,473.0,538.0,294.0,1002.0,645.0,590.0,1277.0,1463.0,1512.0,2088.0,8317.0,9960.0,12517.0,15678.0,70.0,11834.0,11785.0,7956.0,8621.0,34.0,9897.0,2750.0,160.0,6292.0,631.0,680.0,570.0,269.0,141.0,190.0,544.0,3667.0,767.0,808.0,44.0,30.0,0.0,31.0,347.0,143.0,1733.0,237.0,9343.0,10351.0,13853.0,2041.0,26467.0,6897.0,3420.0,11400.0,37867.0,37867.0,38039.0,38480.0,13.0,175876.0,60.0,69.0,0.0,161.0,263.0,377.0,178901.0,4475.0,179721.0,1069.0,456.0,835.0,182572.0
2018-07-05,16572.0,11041.0,3527.0,4340.0,4069.0,11847.0,1135.0,2165.0,1356.0,3519.0,7385.0,3856.0,11287.0,291.0,13661.0,14011.0,31441.0,31841.0,1849.0,40237.0,2402.0,2788.0,3622.0,118.0,133377.0,2785.0,140812.0,113722.0,3248.0,1864.0,119578.0,593.0,123748.0,400.0,3523.0,127728.0,127892.0,128.0,109.0,284.0,439.0,54.0,3733.0,166.0,431.0,487.0,542.0,301.0,1116.0,631.0,516.0,1144.0,1428.0,1295.0,1982.0,8112.0,9614.0,12095.0,15731.0,67.0,11612.0,11544.0,7770.0,8424.0,31.0,9255.0,2750.0,154.0,7668.0,610.0,664.0,552.0,247.0,135.0,190.0,520.0,3661.0,679.0,783.0,40.0,30.0,0.0,34.0,340.0,137.0,1670.0,236.0,9265.0,10237.0,13353.0,1979.0,27466.0,6635.0,3283.0,11089.0,38555.0,38555.0,38720.0,38840.0,8.0,169714.0,60.0,68.0,0.0,155.0,257.0,359.0,173242.0,4452.0,173948.0,1104.0,475.0,880.0,176727.0
