, KOOTENAI - LIBBY DAM, KOOTENAI - AT LEONIA, NF FLATHEAD - NEAR COLUMBIA FALLS, MF FLATHEAD - NEAR WEST GLACIER, SF FLATHEAD - HUNGRY HORSE DAM, FLATHEAD - AT COLUMBIA FALLS, CLARK FORK - AT DEER LODGE, CLARK FORK - NR DRUMMOND, ROCK CREEK - NEAR CLINTON, BLACKFOOT - NEAR BONNER, CLARK FORK - ABOVE MISSOULA, BITTERROOT - NEAR MISSOULA, CLARK FORK - BELOW MISSOULA, ST. REGIS - NEAR ST. REGIS, CLARK FORK - AT ST REGIS, FLATHEAD - KERR DAM, CLARK FORK - NOXON RAPIDS DAM, CLARK FORK - CABINET GORGE DAM, PRIEST - NEAR PRIEST RIVER, PEND OREILLE - ALBENI FALLS DAM, COEUR D ALENE - COEUR D ALENE LAKE, SPOKANE - AT SPOKANE, SPOKANE - AT LONGLAKE, ST MARIES - NEAR SANTA, COLUMBIA - AT INTL BOUNDARY, KETTLE - AT LAURIER, COLUMBIA - GRAND COULEE DAM, COLUMBIA - CHIEF JOSEPH DAM, OKANOGAN - NEAR TONASKET, METHOW - NEAR PATEROS, COLUMBIA - WELLS DAM, CHELAN - LAKE CHELAN DAM, COLUMBIA - ROCKY REACH DAM, ENTIAT - NEAR ARDENVOIR, WENATCHEE - AT PESHASTIN, COLUMBIA - WANAPUM DAM, COLUMBIA - PRIEST RAPIDS DAM, YAKIMA - KEECHELUS LAKE, KACHESS - KACHESS DAM, YAKIMA - AT EASTON, CLE ELUM - CLE ELUM LAKE, TEANAWAY - BELOW FORKS, YAKIMA - AT UMTANUM, BUMPING - BUMPING LAKE DAM, NACHES - NEAR CLIFFDEL, TIETON - RIMROCK LAKE NEAR RIMROCK, NACHES - NEAR NACHES, YAKIMA - NEAR PARKER, YAKIMA - AT KIONA, HENRYS FORK - ISLAND PARK DAM, FALLS - NEAR CHESTER, HENRYS FORK - AT ST. ANTHONY, TETON - NEAR ST. ANTHONY, HENRYS FORK - AT REXBURG, SNAKE - JACKSON LAKE AT DAM, SNAKE - NEAR JACKSON, SNAKE - NEAR ALPINE, SF SNAKE - PALISADES DAM, SNAKE - NEAR HEISE, WILLOW CREEK - RIRIE DAM, SNAKE - AB EAGLE ROCK NR IDAHO FALLS, SNAKE - NEAR SHELLEY, SNAKE - AT BLACKFOOT, SNAKE - NEAR BLACKFOOT, PORTNEUF - AT POCATELLO, SNAKE - AMERICAN FALLS RESERVOIR, SNAKE - AT MILNER, BRUNEAU - NEAR HOT SPRINGS, SNAKE - BELOW SWAN FALLS, BIG LOST - AT HOWELL RANCH NEAR CHILLY, BIG LOST - MACKAY RESERVOIR NEAR MACKAY, BIG WOOD - AT HAILEY, BIG WOOD - MAGIC DAM, LITTLE WOOD - LITTLE WOOD DAM, OWYHEE - BELOW OWYHEE DAM, SF BOISE - ANDERSON RANCH DAM, BOISE - LUCKY PEAK DAM, BOISE - AT GLENWOOD BRIDGE, BOISE - NEAR PARMA, MALHEUR - WARM SPRINGS DAM, MALHEUR - AGENCY VALLEY DAM, BULLY CREEK - BULLY CREEK DAM, MALHEUR - NEAR VALE, NF PAYETTE - CASCADE DAM, DEADWOOD - NEAR LOWMAN, PAYETTE - NEAR EMMETT, WEISER - NEAR WEISER, SNAKE - AT WEISER, SNAKE - BROWNLEE DAM, SALMON - AT WHITEBIRD, GRANDE RONDE - TROY, SNAKE - NEAR ANATONE, CLEARWATER - AT OROFINO, NF CLEARWATER - DWORSHAK DAM, CLEARWATER - AT SPALDING, SNAKE - LOWER GRANITE DAM, SNAKE - LITTLE GOOSE DAM, SNAKE - LOWER MONUMENTAL DAM, SNAKE - ICE HARBOR DAM, WALLA WALLA - NEAR TOUCHET, COLUMBIA - MCNARY DAM, UMATILLA - NEAR GIBBON, UMATILLA - AT PENDLETON, MCKAY CREEK - NEAR PILOT ROCK, UMATILLA - NEAR UMATILLA, NF JOHN DAY - AT MONUMENT, JOHN DAY - AT SERVICE CK, COLUMBIA - JOHN DAY DAM, DESCHUTES - AT MOODY NR BIGGS, COLUMBIA - THE DALLES DAM, KLICKITAT - NEAR PITT, HOOD - NEAR TUCKER BRIDGE, WHITE SALMON - NEAR UNDERWOOD, COLUMBIA - BONNEVILLE DAM
2014-05-13, 16252, 24581, , 6308, , , , , 1429, , , , , 1592, 19146, 27229, 51761, , 5126, , , 19125, 19999, 667, 148075, 10917, , , 11620, 4517, 174535, , 171403, , 6630, 177343, 177039, 816, 777, , , 774, 3240, , , 1002, 2860, 2616, 4398, 982, , , 1184, 3700, 2452, 3234, , 8958, , 152, 10088, 9178, 6711, , 161, , 0, , 6496, , 118, , 344, 92, 617, , 4476, , 767, 64, , , 20, , , , 1723, 13357, , 26231, 5419, , 24426, , 28540, 75620, 71644, 71952, , 662, 262076, , 728, 118, 538, 3094, 4086, , 6145, 275985, 2151, , 1746, 
2014-05-14, 16710, 24452, , 7119, , , , , 1438, , , , , 1710, 17875, 26863, 50188, , 5074, , , 18813, 19812, 635, 148200, 12399, , , 11704, 5410, 174828, , 174182, , 8058, 182126, 182056, 922, 885, , , 942, 3476, , , 1292, 3891, 2814, 3880, 911, , , 1157, 3257, 2316, 3133, , 8617, , 148, 9436, 8516, 6064, , 141, , 0, , 6612, , 131, , 312, 96, 358, , 4513, , 623, 60, , , 5, , , , 1716, 13285, , 25556, 5315, , 23998, , 27366, 71141, 71062, 71544, , 586, 257249, , 676, 117, 440, 3006, 3817, , 6115, 263840, 2138, , 1743, 
2014-05-15, 20220, 24898, , 8714, , , , , 1708, , , , , 1939, 18514, 28848, 50309, , 5035, , , 18556, 19665, 603, 149027, 14687, , , 12340, 6541, 172713, , 173214, , 9794, 182654, 182571, 1110, 1008, , , 1272, 4197, , , 1710, 5409, 4408, 3996, 932, , , 1267, 2808, 2536, 3155, , 8828, , 145, 8763, 7843, 5445, , 129, , 0, , 6598, , 149, , 358, 100, 312, , 4609, , 502, 56, , , 3, , , , 1906, 13500, , 27249, 5639, , 27447, , 29898, 74204, 74204, 74678, , 525, 259181, , 632, 115, 352, 3364, 3962, , 6180, 266394, 2297, , 1828, 
2014-05-16, 25450, 25944, , 10985, , , , , 2112, , , , , 2194, 22755, 32238, 53285, , 5007, , , 18544, 19594, 571, 150638, 17215, , , 13895, 7635, 174799, , 176617, , 11195, 187180, 186972, 1151, 1081, , , 1585, 4965, , , 2040, 6836, 6378, 5208, 1036, , , 1507, 2749, 3582, 3450, , 10094, , 141, 8274, 7295, 4830, , 122, , 0, , 6571, , 190, , 559, 104, 295, , 4717, , 390, 53, , , 2, , , , 2191, 14022, , 31312, 6745, , 33946, , 35848, 84128, 86228, 86696, , 472, 268864, , 611, 114, 296, 4087, 4738, , 6303, 275128, 2513, , 1933, 
2014-05-17, 30374, 28185, , 13122, , , , , 2512, , , , , 2361, 29758, 37415, 59924, , 5000, , , 18915, 19858, 534, 153170, 19258, , , 15995, 8466, 180580, , 182970, , 12042, 193668, 193279, 1030, 1051, , , 1530, 5266, , , 1992, 7347, 8142, 7044, 1166, , , 1886, 3179, 5209, 4118, , 12244, , 137, 8352, 7290, 4604, , 119, , 0, , 6523, , 280, , 806, 111, 284, , 4772, , 366, 50, , , 2, , , , 2408, 15118, , 36369, 7649, , 41099, , 42996, 97314, 97314, 97775, , 434, 289662, , 628, 111, 329, 4433, 5448, , 6305, 296374, 2624, , 1940, 
2014-05-18, 35016, 37438, , 14286, , , , , 2740, , , , , 2357, 35692, 41731, 67026, , 4997, , , 19538, 20427, 496, 157075, 20427, , , 18008, 8656, 190044, , 193285, , 11433, 204145, 203873, 967, 977, , , 1224, 4882, , , 1743, 6820, 8187, 8853, 1268, , , 2235, 3955, 6408, 4904, , 14117, , 131, 8968, 7851, 4973, , 123, , 0, , 6451, , 316, , 952, 106, 286, , 4748, , 450, 53, , , 2, , , , 2506, 16332, , 40520, 7504, , 45493, , 48034, 107760, 107760, 108208, , 402, 311052, , 628, 109, 387, 3948, 5180, , 6130, 317953, 2494, , 1849, 
2014-05-19, 36157, 36806, , 13834, , , , , 2812, , , , , 2263, 37582, 41776, 70554, , 4997, , , 20154, 21056, 490, 161064, 20396, , , 19093, 8068, 191368, , 194580, , 9854, 204558, 204594, 902, 866, , , 904, 4349, , , 1571, 6018, 6987, 8894, 1303, , , 2416, 4785, 6734, 5343, , 14716, , 123, 9826, 8702, 5783, , 121, , 0, , 6372, , 286, , 935, 105, 286, , 4651, , 522, 53, , , 2, , , , 2454, 16786, , 42114, 6603, , 46192, , 49239, 112107, 112107, 112542, , 378, 325422, , 588, 107, 399, 3318, 4378, , 6050, 335739, 2335, , 1825, 
2014-05-20,35480.0,36168.0,13967.0,13089.0,18631.0,35395.0,587.0,2063.0,2647.0,8292.0,13757.0,12673.0,25914.0,2203.0,36634.0,39114.0,70458.0,64574.0,5049.0,73630.0,20167.0,20590.0,21533.0,523.0,164990.0,19847.0,208805.0,158143.0,18690.0,7227.0,191132.0,6805.0,194192.0,1618.0,8404.0,202881.0,202970.0,752.0,733.0,1177.0,2817.0,658.0,3816.0,820.0,2964.0,1363.0,5222.0,5486.0,7862.0,1211.0,2641.0,3825.0,2368.0,5318.0,6212.0,5184.0,11340.0,13856.0,12020.0,117.0,10615.0,9523.0,6715.0,3355.0,113.0,5002.0,0.0,659.0,6294.0,502.0,260.0,998.0,846.0,97.0,276.0,2902.0,4535.0,771.0,498.0,50.0,108.0,0.0,2.0,3159.0,962.0,7807.0,2281.0,16538.0,18003.0,41430.0,5812.0,74948.0,44410.0,21076.0,47884.0,110228.0,110228.0,110652.0,129128.0,358.0,324725.0,330.0,548.0,105.0,366.0,3005.0,3942.0,337614.0,5973.0,337154.0,2178.0,1145.0,1724.0,347312.0
2014-05-21,38978.0,36522.0,13734.0,12942.0,18842.0,34773.0,599.0,2168.0,2366.0,8301.0,13815.0,12945.0,26398.0,2271.0,33899.0,37297.0,68957.0,69242.0,5172.0,77750.0,18961.0,20827.0,21801.0,700.0,168446.0,20512.0,211076.0,159967.0,17307.0,6602.0,189618.0,6711.0,192297.0,1676.0,7665.0,200261.0,200366.0,662.0,646.0,1122.0,2921.0,537.0,3354.0,792.0,2984.0,1360.0,4676.0,3947.0,6635.0,1090.0,2745.0,3558.0,2183.0,5171.0,5268.0,4626.0,10735.0,12197.0,12102.0,112.0,10930.0,9916.0,7414.0,3952.0,100.0,5493.0,0.0,668.0,6218.0,464.0,246.0,1006.0,770.0,89.0,269.0,3069.0,4460.0,768.0,422.0,41.0,106.0,0.0,2.0,3203.0,968.0,7606.0,2022.0,15840.0,18802.0,38957.0,5117.0,72880.0,40892.0,21192.0,44455.0,103793.0,103793.0,104205.0,122795.0,342.0,316674.0,302.0,506.0,103.0,307.0,2598.0,3526.0,327598.0,5823.0,329850.0,2051.0,1107.0,1575.0,334354.0
2014-05-22,42591.0,37048.0,14277.0,13164.0,19840.0,35737.0,632.0,2188.0,2252.0,8390.0,13893.0,13807.0,27490.0,2265.0,31633.0,36782.0,66733.0,72000.0,5224.0,80749.0,18906.0,21050.0,22003.0,712.0,171113.0,21172.0,213513.0,160977.0,15970.0,6688.0,188173.0,6694.0,191295.0,1796.0,8440.0,199597.0,199566.0,692.0,662.0,1077.0,3144.0,708.0,3195.0,841.0,3127.0,1579.0,4882.0,3450.0,5264.0,1042.0,3074.0,3758.0,2142.0,4732.0,4862.0,4272.0,10999.0,11219.0,12233.0,111.0,10604.0,9656.0,7515.0,4073.0,97.0,5880.0,0.0,692.0,6140.0,452.0,243.0,1084.0,745.0,87.0,256.0,3503.0,4436.0,764.0,388.0,38.0,104.0,0.0,55.0,3636.0,1107.0,7700.0,1916.0,15366.0,18784.0,37702.0,4897.0,70463.0,39567.0,21992.0,42564.0,102213.0,102213.0,102614.0,120550.0,329.0,308617.0,286.0,460.0,101.0,254.0,2279.0,3137.0,323384.0,5712.0,320246.0,2034.0,1059.0,1477.0,328984.0
