, KOOTENAI - LIBBY DAM, KOOTENAI - AT LEONIA, NF FLATHEAD - NEAR COLUMBIA FALLS, MF FLATHEAD - NEAR WEST GLACIER, SF FLATHEAD - HUNGRY HORSE DAM, FLATHEAD - AT COLUMBIA FALLS, CLARK FORK - AT DEER LODGE, CLARK FORK - NR DRUMMOND, ROCK CREEK - NEAR CLINTON, BLACKFOOT - NEAR BONNER, CLARK FORK - ABOVE MISSOULA, BITTERROOT - NEAR MISSOULA, CLARK FORK - BELOW MISSOULA, ST. REGIS - NEAR ST. REGIS, CLARK FORK - AT ST REGIS, FLATHEAD - KERR DAM, CLARK FORK - NOXON RAPIDS DAM, CLARK FORK - CABINET GORGE DAM, PRIEST - NEAR PRIEST RIVER, PEND OREILLE - ALBENI FALLS DAM, COEUR D ALENE - COEUR D ALENE LAKE, SPOKANE - AT SPOKANE, SPOKANE - AT LONGLAKE, ST MARIES - NEAR SANTA, COLUMBIA - AT INTL BOUNDARY, KETTLE - AT LAURIER, COLUMBIA - GRAND COULEE DAM, COLUMBIA - CHIEF JOSEPH DAM, OKANOGAN - NEAR TONASKET, METHOW - NEAR PATEROS, COLUMBIA - WELLS DAM, CHELAN - LAKE CHELAN DAM, COLUMBIA - ROCKY REACH DAM, ENTIAT - NEAR ARDENVOIR, WENATCHEE - AT PESHASTIN, COLUMBIA - WANAPUM DAM, COLUMBIA - PRIEST RAPIDS DAM, YAKIMA - KEECHELUS LAKE, KACHESS - KACHESS DAM, YAKIMA - AT EASTON, CLE ELUM - CLE ELUM LAKE, TEANAWAY - BELOW FORKS, YAKIMA - AT UMTANUM, BUMPING - BUMPING LAKE DAM, NACHES - NEAR CLIFFDEL, TIETON - RIMROCK LAKE NEAR RIMROCK, NACHES - NEAR NACHES, YAKIMA - NEAR PARKER, YAKIMA - AT KIONA, HENRYS FORK - ISLAND PARK DAM, FALLS - NEAR CHESTER, HENRYS FORK - AT ST. ANTHONY, TETON - NEAR ST. ANTHONY, HENRYS FORK - AT REXBURG, SNAKE - JACKSON LAKE AT DAM, SNAKE - NEAR JACKSON, SNAKE - NEAR ALPINE, SF SNAKE - PALISADES DAM, SNAKE - NEAR HEISE, WILLOW CREEK - RIRIE DAM, SNAKE - AB EAGLE ROCK NR IDAHO FALLS, SNAKE - NEAR SHELLEY, SNAKE - AT BLACKFOOT, SNAKE - NEAR BLACKFOOT, PORTNEUF - AT POCATELLO, SNAKE - AMERICAN FALLS RESERVOIR, SNAKE - AT MILNER, BRUNEAU - NEAR HOT SPRINGS, SNAKE - BELOW SWAN FALLS, BIG LOST - AT HOWELL RANCH NEAR CHILLY, BIG LOST - MACKAY RESERVOIR NEAR MACKAY, BIG WOOD - AT HAILEY, BIG WOOD - MAGIC DAM, LITTLE WOOD - LITTLE WOOD DAM, OWYHEE - BELOW OWYHEE DAM, SF BOISE - ANDERSON RANCH DAM, BOISE - LUCKY PEAK DAM, BOISE - AT GLENWOOD BRIDGE, BOISE - NEAR PARMA, MALHEUR - WARM SPRINGS DAM, MALHEUR - AGENCY VALLEY DAM, BULLY CREEK - BULLY CREEK DAM, MALHEUR - NEAR VALE, NF PAYETTE - CASCADE DAM, DEADWOOD - NEAR LOWMAN, PAYETTE - NEAR EMMETT, WEISER - NEAR WEISER, SNAKE - AT WEISER, SNAKE - BROWNLEE DAM, SALMON - AT WHITEBIRD, GRANDE RONDE - TROY, SNAKE - NEAR ANATONE, CLEARWATER - AT OROFINO, NF CLEARWATER - DWORSHAK DAM, CLEARWATER - AT SPALDING, SNAKE - LOWER GRANITE DAM, SNAKE - LITTLE GOOSE DAM, SNAKE - LOWER MONUMENTAL DAM, SNAKE - ICE HARBOR DAM, WALLA WALLA - NEAR TOUCHET, COLUMBIA - MCNARY DAM, UMATILLA - NEAR GIBBON, UMATILLA - AT PENDLETON, MCKAY CREEK - NEAR PILOT ROCK, UMATILLA - NEAR UMATILLA, NF JOHN DAY - AT MONUMENT, JOHN DAY - AT SERVICE CK, COLUMBIA - JOHN DAY DAM, DESCHUTES - AT MOODY NR BIGGS, COLUMBIA - THE DALLES DAM, KLICKITAT - NEAR PITT, HOOD - NEAR TUCKER BRIDGE, WHITE SALMON - NEAR UNDERWOOD, COLUMBIA - BONNEVILLE DAM
2013-07-16, 17818, , , 2740, , , , , 340, , , , , 208, 3725, , 15137, , 1008, , , 1964, , 85, 148832, , , , 4602, 1397, 161171, , 161534, , 2507, 170985, 171046, , , , , 54, 4462, , , 401, 643, 940, , , , , 769, 1016, , , , 8925, , 0, 7853, 7136, 4009, , 39, , 0, , 5950, , 261, , 75, 68, 95, , 3374, , 493, 8, , , 10, , , , 224, 7459, , 6626, 1042, , 3015, , 14853, , , , , 44, 209003, , 56, 20, 82, 140, 148, , 4616, 193790, 1002, , 916, 
2013-07-17, 17408, , , 2631, , , , , 349, , , , , 208, 3622, , 13641, , 986, , , 1987, , 86, 144614, , , , 4338, 1323, 157160, , 159352, , 2430, 168451, 168538, , , , , 53, 4414, , , 466, 640, 830, , , , , 779, 978, , , , 8886, , 2, 7846, 7098, 4035, , 39, , 0, , 5816, , 256, , 70, 68, 95, , 3287, , 487, 8, , , 10, , , , 222, 7558, , 6462, 1016, , 2898, , 14788, , , , , 42, 207509, , 55, 20, 78, 136, 137, , 4593, 197558, 1040, , 961, 
2013-07-18, 17290, , , 2527, , , , , 363, , , , , 204, 3550, , 12812, , 966, , , 1989, , 84, 142251, , , , 4153, 1262, 155880, , 158847, , 2356, 166741, 166812, , , , , 50, 4446, , , 472, 637, 823, , , , , 780, 940, , , , 8855, , 1, 7855, 7074, 4032, , 38, , 0, , 5736, , 243, , 66, 63, 95, , 3191, , 486, 8, , , 10, , , , 220, 7548, , 6324, 992, , 2797, , 14783, , , , , 40, 204411, , 53, 20, 76, 132, 134, , 4584, 196006, 1046, , 956, 
2013-07-19, 17414, , , 2430, , , , , 350, , , , , 198, 3516, , 12574, , 944, , , 1991, , 81, 140486, , , , 3984, 1201, 155619, , 158514, , 2286, 165197, 165260, , , , , 48, 4462, , , 459, 634, 868, , , , , 755, 869, , , , 8788, , 0, 7853, 7044, 4037, , 38, , 0, , 5700, , 221, , 60, 58, 95, , 3097, , 486, 8, , , 10, , , , 219, 7404, , 6188, 968, , 2705, , 14795, , , , , 31, 201994, , 52, 20, 72, 128, 125, , 4573, 194822, 1026, , 926, 
2013-07-20, 17287, , , 2338, , , , , 340, , , , , 194, 3444, , 12463, , 924, , , 1994, , 80, 137354, , , , 3826, 1146, 152334, , 155848, , 2218, 162146, 162408, , , , , 46, 4487, , , 478, 630, 900, , , , , 730, 773, , , , 8682, , 0, 7806, 6976, 4019, , 37, , 0, , 5665, , 206, , 56, 54, 95, , 3004, , 485, 8, , , 9, , , , 215, 7322, , 6056, 946, , 2608, , 14800, , , , , 26, 200234, , 51, 20, 69, 122, 118, , 4567, 194495, 1031, , 939, 
2013-07-21, 17064, , , 2252, , , , , 337, , , , , 191, 3338, , 12339, , 904, , , 2050, , 78, 131325, , , , 3681, 1106, 145160, , 147978, , 2154, 152732, 153012, , , , , 44, 4523, , , 482, 626, 974, , , , , 715, 746, , , , 8524, , 0, 7778, 6905, 3965, , 36, , 94, , 5636, , 192, , 51, 50, 95, , 2912, , 481, 8, , , 9, , , , 215, 7279, , 5940, 925, , 2519, , 13906, , , , , 23, 192934, , 50, 20, 66, 120, 112, , 4562, 190462, 1029, , 931, 
2013-07-22, 16744, , , 2168, , , , , 338, , , , , 187, 3275, , 12227, , 884, , , 2024, , 77, 130468, , , , 3542, 1071, 148002, , 149892, , 2092, 152210, 152072, , , , , 43, 4546, , , 478, 629, 1030, , , , , 702, 723, , , , 8393, , 0, 7790, 6886, 3957, , 36, , 1219, , 5608, , 180, , 47, 47, 95, , 2821, , 479, 8, , , 9, , , , 215, 7299, , 5825, 910, , 2433, , 12256, , , , , 19, 183172, , 50, 20, 63, 119, 105, , 4558, 181119, 1016, , 906, 
2013-07-23,16258.0,14702.0,2360.0,2087.0,1890.0,7426.0,80.0,324.0,338.0,812.0,1508.0,678.0,2149.0,182.0,3220.0,8042.0,12162.0,12856.0,866.0,12814.0,1248.0,1965.0,2254.0,76.0,129667.0,2216.0,133494.0,135700.0,3413.0,1040.0,154774.0,1749.0,157166.0,292.0,2032.0,158863.0,158683.0,89.0,58.0,345.0,356.0,42.0,4556.0,117.0,387.0,477.0,636.0,1060.0,1580.0,459.0,139.0,1268.0,691.0,690.0,772.0,6195.0,7153.0,8290.0,13780.0,0.0,7804.0,6870.0,3967.0,5377.0,35.0,6906.0,1500.0,46.0,5609.0,178.0,170.0,208.0,42.0,44.0,95.0,217.0,2759.0,787.0,478.0,8.0,44.0,0.0,8.0,222.0,87.0,1845.0,210.0,7259.0,6746.0,5690.0,892.0,17595.0,2351.0,1324.0,12169.0,32078.0,32078.0,32164.0,32164.0,19.0,186618.0,47.0,48.0,19.0,60.0,117.0,96.0,180410.0,4548.0,183258.0,1008.0,349.0,890.0,177152.0
2013-07-24,16013.0,14701.0,2293.0,2013.0,1808.0,7322.0,76.0,312.0,336.0,795.0,1482.0,684.0,2133.0,180.0,3165.0,7960.0,12116.0,12629.0,851.0,12609.0,1204.0,1906.0,2279.0,75.0,128946.0,2078.0,132354.0,134998.0,3286.0,1015.0,154600.0,1753.0,157015.0,284.0,1976.0,159032.0,159046.0,84.0,54.0,364.0,308.0,41.0,4576.0,112.0,380.0,469.0,643.0,1143.0,1641.0,459.0,129.0,1115.0,678.0,661.0,760.0,6190.0,7118.0,8199.0,13744.0,0.0,7818.0,6852.0,3976.0,5412.0,34.0,6956.0,1500.0,42.0,6095.0,168.0,159.0,205.0,37.0,40.0,95.0,214.0,2703.0,785.0,476.0,8.0,42.0,0.0,8.0,214.0,85.0,1809.0,208.0,7264.0,6765.0,5601.0,879.0,17330.0,2274.0,1283.0,12088.0,31733.0,31733.0,31818.0,31818.0,16.0,191685.0,46.0,48.0,19.0,56.0,116.0,103.0,186329.0,4527.0,191123.0,1049.0,352.0,936.0,182782.0
2013-07-25,16380.0,14701.0,2228.0,1938.0,1730.0,7227.0,72.0,299.0,341.0,778.0,1454.0,682.0,2106.0,190.0,3131.0,7838.0,12125.0,12480.0,832.0,12428.0,1170.0,1852.0,2290.0,80.0,128410.0,1951.0,130268.0,134998.0,3170.0,993.0,154434.0,1653.0,156754.0,275.0,1922.0,158716.0,158730.0,80.0,50.0,392.0,272.0,40.0,4598.0,108.0,374.0,452.0,652.0,1219.0,1679.0,459.0,123.0,1016.0,672.0,624.0,750.0,6177.0,7071.0,8112.0,13704.0,0.0,7828.0,6833.0,3986.0,5419.0,34.0,7020.0,1500.0,41.0,6746.0,160.0,149.0,204.0,35.0,36.0,95.0,215.0,2647.0,783.0,484.0,8.0,42.0,0.0,8.0,207.0,82.0,1793.0,209.0,7494.0,6713.0,5540.0,866.0,17068.0,2201.0,1242.0,12011.0,31400.0,31400.0,31476.0,31476.0,10.0,190935.0,47.0,48.0,19.0,54.0,118.0,113.0,186593.0,4511.0,192132.0,1101.0,354.0,974.0,187772.0
