, KOOTENAI - LIBBY DAM, KOOTENAI - AT LEONIA, NF FLATHEAD - NEAR COLUMBIA FALLS, MF FLATHEAD - NEAR WEST GLACIER, SF FLATHEAD - HUNGRY HORSE DAM, FLATHEAD - AT COLUMBIA FALLS, CLARK FORK - AT DEER LODGE, CLARK FORK - NR DRUMMOND, ROCK CREEK - NEAR CLINTON, BLACKFOOT - NEAR BONNER, CLARK FORK - ABOVE MISSOULA, BITTERROOT - NEAR MISSOULA, CLARK FORK - BELOW MISSOULA, ST. REGIS - NEAR ST. REGIS, CLARK FORK - AT ST REGIS, FLATHEAD - KERR DAM, CLARK FORK - NOXON RAPIDS DAM, CLARK FORK - CABINET GORGE DAM, PRIEST - NEAR PRIEST RIVER, PEND OREILLE - ALBENI FALLS DAM, COEUR D ALENE - COEUR D ALENE LAKE, SPOKANE - AT SPOKANE, SPOKANE - AT LONGLAKE, ST MARIES - NEAR SANTA, COLUMBIA - AT INTL BOUNDARY, KETTLE - AT LAURIER, COLUMBIA - GRAND COULEE DAM, COLUMBIA - CHIEF JOSEPH DAM, OKANOGAN - NEAR TONASKET, METHOW - NEAR PATEROS, COLUMBIA - WELLS DAM, CHELAN - LAKE CHELAN DAM, COLUMBIA - ROCKY REACH DAM, ENTIAT - NEAR ARDENVOIR, WENATCHEE - AT PESHASTIN, COLUMBIA - WANAPUM DAM, COLUMBIA - PRIEST RAPIDS DAM, YAKIMA - KEECHELUS LAKE, KACHESS - KACHESS DAM, YAKIMA - AT EASTON, CLE ELUM - CLE ELUM LAKE, TEANAWAY - BELOW FORKS, YAKIMA - AT UMTANUM, BUMPING - BUMPING LAKE DAM, NACHES - NEAR CLIFFDEL, TIETON - RIMROCK LAKE NEAR RIMROCK, NACHES - NEAR NACHES, YAKIMA - NEAR PARKER, YAKIMA - AT KIONA, HENRYS FORK - ISLAND PARK DAM, FALLS - NEAR CHESTER, HENRYS FORK - AT ST. ANTHONY, TETON - NEAR ST. ANTHONY, HENRYS FORK - AT REXBURG, SNAKE - JACKSON LAKE AT DAM, SNAKE - NEAR JACKSON, SNAKE - NEAR ALPINE, SF SNAKE - PALISADES DAM, SNAKE - NEAR HEISE, WILLOW CREEK - RIRIE DAM, SNAKE - AB EAGLE ROCK NR IDAHO FALLS, SNAKE - NEAR SHELLEY, SNAKE - AT BLACKFOOT, SNAKE - NEAR BLACKFOOT, PORTNEUF - AT POCATELLO, SNAKE - AMERICAN FALLS RESERVOIR, SNAKE - AT MILNER, BRUNEAU - NEAR HOT SPRINGS, SNAKE - BELOW SWAN FALLS, BIG LOST - AT HOWELL RANCH NEAR CHILLY, BIG LOST - MACKAY RESERVOIR NEAR MACKAY, BIG WOOD - AT HAILEY, BIG WOOD - MAGIC DAM, LITTLE WOOD - LITTLE WOOD DAM, OWYHEE - BELOW OWYHEE DAM, SF BOISE - ANDERSON RANCH DAM, BOISE - LUCKY PEAK DAM, BOISE - AT GLENWOOD BRIDGE, BOISE - NEAR PARMA, MALHEUR - WARM SPRINGS DAM, MALHEUR - AGENCY VALLEY DAM, BULLY CREEK - BULLY CREEK DAM, MALHEUR - NEAR VALE, NF PAYETTE - CASCADE DAM, DEADWOOD - NEAR LOWMAN, PAYETTE - NEAR EMMETT, WEISER - NEAR WEISER, SNAKE - AT WEISER, SNAKE - BROWNLEE DAM, SALMON - AT WHITEBIRD, GRANDE RONDE - TROY, SNAKE - NEAR ANATONE, CLEARWATER - AT OROFINO, NF CLEARWATER - DWORSHAK DAM, CLEARWATER - AT SPALDING, SNAKE - LOWER GRANITE DAM, SNAKE - LITTLE GOOSE DAM, SNAKE - LOWER MONUMENTAL DAM, SNAKE - ICE HARBOR DAM, WALLA WALLA - NEAR TOUCHET, COLUMBIA - MCNARY DAM, UMATILLA - NEAR GIBBON, UMATILLA - AT PENDLETON, MCKAY CREEK - NEAR PILOT ROCK, UMATILLA - NEAR UMATILLA, NF JOHN DAY - AT MONUMENT, JOHN DAY - AT SERVICE CK, COLUMBIA - JOHN DAY DAM, DESCHUTES - AT MOODY NR BIGGS, COLUMBIA - THE DALLES DAM, KLICKITAT - NEAR PITT, HOOD - NEAR TUCKER BRIDGE, WHITE SALMON - NEAR UNDERWOOD, COLUMBIA - BONNEVILLE DAM
2013-02-05, 3258, 5256, 650, 558, 497, , 217, 558, 169, , , , , 140, 3015, 5600, 13616, , 967, , , 4694, 6044, 311, 108875, 428, 117084, , 1348, 346, 97668, , 99088, , 974, 98322, 97788, 164, 212, 312, , 164, 1521, , , 495, 614, 2344, 2989, 414, , , 340, 1546, 339, 1110, , 2056, 1297, 43, 2094, 2016, 1704, , 172, , 730, 80, 5272, 76, 137, 144, 70, 54, 290, , 113, , 898, 126, , , 145, , , 1236, 570, 10956, , 4231, 2310, , 4194, 3027, 6944, 28488, 28488, 29867, 29867, 1331, 128341, 314, 716, , 734, 1207, 1897, 138093, 5828, 135938, 1315, 867, 792, 
2013-02-06, 3227, 5276, 644, 554, 497, , 215, 556, 172, , , , , 194, 3066, 5595, 13168, , 989, , , 5291, 6252, 515, 105768, 427, 113724, , 1326, 342, 96692, , 97829, , 965, 99013, 99108, 194, 244, 320, , 219, 1490, , , 554, 618, 2313, 2964, 412, , , 338, 1531, 338, 1122, , 2078, 1291, 43, 2060, 1980, 1672, , 173, , 730, 83, 5332, 76, 137, 144, 66, 53, 300, , 120, , 898, 151, , , 144, , , 1247, 587, 10186, , 4226, 2501, , 4234, 3591, 6920, 28244, 28244, 29486, 29486, 1362, 133173, 349, 772, , 724, 1255, 1926, 139024, 6004, 141181, 1520, 1110, 849, 
2013-02-07, 3173, 5494, 640, 578, 497, , 215, 551, 177, , , , , 260, 3214, 5641, 12846, , 1020, , , 6110, 7603, 663, 105626, 423, 113743, , 1304, 338, 96666, , 97744, , 973, 98724, 98725, 201, 272, 303, , 276, 1530, , , 515, 655, 2370, 2962, 411, , , 336, 1519, 338, 1118, , 2078, 1289, 43, 2042, 1957, 1643, , 177, , 730, 84, 5381, 76, 137, 144, 64, 53, 300, , 121, , 902, 146, , , 142, , , 1319, 568, 10084, , 4225, 2362, , 5150, 5130, 7979, 29470, 29470, 30599, 30599, 1446, 133389, 332, 764, , 797, 1338, 2228, 140682, 6169, 143128, 1651, 1338, 905, 
2013-02-08, 3136, 5629, 635, 582, 497, , 213, 543, 172, , , , , 209, 3211, 5658, 12502, , 1025, , , 6182, 8487, 485, 105606, 421, 113789, , 1282, 334, 96640, , 97716, , 932, 98659, 98662, 185, 248, 282, , 236, 1526, , , 470, 663, 2459, 3028, 410, , , 335, 1505, 339, 1114, , 2067, 1286, 43, 2027, 1941, 1624, , 175, , 730, 80, 5424, 76, 137, 144, 61, 53, 293, , 115, , 902, 110, , , 140, , , 1286, 628, 10030, , 4204, 1880, , 5563, 4782, 8460, 29240, 29240, 30368, 30368, 1426, 133676, 295, 666, , 768, 1195, 2054, 141792, 6290, 144370, 1631, 1455, 913, 
2013-02-09, 3108, 5501, 630, 569, 497, , 213, 539, 168, , , , , 165, 3129, 5527, 12950, , 1011, , , 6300, 8450, 370, 104603, 421, 113208, , 1259, 330, 93572, , 95363, , 894, 97067, 97268, 166, 211, 272, , 160, 1423, , , 431, 645, 2416, 3067, 409, , , 335, 1490, 339, 1110, , 2057, 1285, 43, 2010, 1922, 1608, , 172, , 730, 78, 5465, 76, 136, 143, 56, 53, 293, , 114, , 905, 91, , , 139, , , 1244, 600, 9926, , 4188, 1600, , 5248, 4230, 8066, 28280, 28280, 29338, 29338, 1392, 132994, 224, 538, , 686, 1108, 1970, 141230, 6334, 143884, 1605, 1182, 868, 
2013-02-10, 3070, 5368, 627, 558, 494, , 213, 536, 164, , , , , 142, 3058, 5228, 13003, , 990, , , 6292, 8332, 308, 102520, 421, 110931, , 1234, 326, 89021, , 89641, , 864, 90321, 90382, 152, 187, 267, , 126, 1310, , , 401, 608, 2294, 3014, 408, , , 332, 1479, 339, 1106, , 2046, 1284, 43, 1996, 1905, 1591, , 170, , 730, 78, 5508, 74, 134, 141, 52, 53, 288, , 110, , 900, 81, , , 138, , , 1196, 548, 9688, , 4183, 1450, , 4795, 3418, 7273, 27145, 27145, 27875, 27875, 1263, 127143, 173, 433, , 533, 860, 1694, 136309, 6139, 139042, 1523, 908, 798, 
2013-02-11, 3046, 5278, 623, 546, , , 211, 533, 164, , , , , 130, 3004, 4996, 12736, , 969, , , 5496, 7267, 282, 102181, 421, 110400, , 1208, 322, 94558, , 95538, , 838, 96025, 95853, 142, 170, 264, , 114, 1227, , , 385, 570, 2168, 2892, 406, , , 331, 1468, 338, 1101, , 2036, 1282, 43, 1983, 1891, 1576, , 168, , 730, 78, 5552, 74, 134, 141, 50, 53, 286, , 107, , 896, 78, , , 136, , , 1163, 571, 9531, , 4181, 1394, , 4390, 2932, 6645, 26389, 26389, 26976, 26976, 1030, 123664, 152, 368, , 401, 740, 1487, 130696, 6022, 132961, 1468, 777, 778, 
2013-02-12, 3031, 5216, 618, 537, , 4234, 212, 527, 164, 549, 1409, 753, 2173, 124, 2968, 4920, 12503, 13898, 950, 14776, 3756, 4766, 6260, 269, 101718, 417, 109944, 112951, 1184, 318, 94528, 510, 95601, 88, 812, 96421, 96423, 134, 157, 262, 301, 107, 1182, 110, 325, 390, 536, 2076, 2757, 406, 406, 1107, 330, 1456, 338, 1099, 1302, 2025, 1279, 43, 1969, 1876, 1563, 1642, 166, 4332, 730, 78, 5596, 74, 134, 141, 50, 53, 289, 274, 106, 250, 892, 77, 68, 105, 134, 340, 59, 1153, 568, 9414, 10784, 4178, 1464, 23401, 4092, 2670, 6264, 25720, 25720, 26260, 26260, 924, 126614, 144, 331, , 326, 790, 1457, 133699, 6025, 135870, 1442, 716, 768, 148215
2013-02-13, 3008, 5174, 615, 525, , 4223, 212, 522, 164, 542, 1385, 751, 2145, 120, 2936, 4872, 12418, 13732, 935, 14833, 3606, 4429, 5792, 270, 101386, 414, 109560, 109999, 1163, 315, 94501, 500, 95573, 86, 786, 96367, 96369, 128, 150, 261, 372, 106, 1166, 111, 325, 404, 516, 2026, 2648, 404, 404, 1100, 328, 1445, 338, 1104, 1300, 2022, 1278, 43, 1956, 1860, 1549, 1628, 164, 4309, 730, 78, 5640, 74, 134, 141, 48, 53, 292, 274, 103, 250, 886, 86, 67, 100, 133, 336, 58, 1146, 548, 9262, 11885, 4176, 1528, 23316, 3880, 2631, 6064, 25375, 25375, 25895, 25895, 888, 126030, 137, 316, , 279, 950, 1628, 133356, 6056, 135623, 1440, 667, 758, 158079
2013-02-14, 3007, 5140, 611, 516, , 4218, 209, 518, 164, 540, 1375, 748, 2132, 118, 2906, 4825, 12384, 13717, 922, 14880, 4091, 4218, 5549, 275, 101179, 414, 109336, 105624, 1140, 313, 94478, 558, 95548, 87, 762, 96316, 96318, 122, 144, 260, 468, 110, 1166, 118, 327, 415, 516, 2015, 2576, 404, 402, 1093, 328, 1434, 339, 1110, 1299, 2023, 1277, 43, 1943, 1846, 1534, 1620, 164, 4290, 730, 78, 5685, 74, 134, 141, 49, 52, 288, 274, 101, 251, 880, 122, 66, 96, 132, 333, 58, 1141, 561, 9144, 11870, 4172, 1487, 24430, 3724, 2610, 5920, 25086, 25086, 25618, 25618, 886, 125608, 134, 311, , 256, 1005, 1738, 133060, 6067, 135304, 1410, 613, 748, 159069
