, LIBBY DAM, KOOTENAI RIV AT LEONIA, NF FLATHEAD R NR COLUMBIA FALL, MF FLATHEAD NR WEST GLACIER, DAM AT HUNGRY HORSE, FLATHEAD R AT COLUMBIA FALLS, CLARK FORK AT DEER LODGE, CLARK FORK AT DRUMMOND, ROCK CREEK NR CLINTON, BLACKFOOT R NR BONNER, CLARK FORK AB MISSOULA, BITTERROOT R NR MISSOULA, CLARK FORK BELOW MISSOULA, ST. REGIS R. NR ST. REGIS, CLARK FORK AT ST REGIS    TB20, KERR DAM, NOXON RAPIDS DAM, CABINET GORGE DAM, PRIEST R NR PRIEST RIVER, ALBENI FALLS DAM, COEUR D'ALENE LAKE, SPOKANE RIV AT LONGLAKE, ST MARIES R NR SANTA, COLUMBIAR @INTERNATL BOUNDAR, KETTLE RIVER AT LAURIER, GRAND COULEE DAM, CHIEF JOSEPH DAM, OKANOGAN RIVER NEAR TONASKET, METHOW R NEAR PATEROS, WELLS DAM, LAKE CHELAN DAM, ROCKY REACH DAM, ENTIAT R NR ARDENVOIR, WENATCHEE R AT PESHASTIN  TB20, WANAPUM DAM, PRIEST RAPIDS DAM, KEECHELUS LAKE, KACHESS DAM NEAR EASTON, YAKIMA RIVER AT EASTON, CLE ELUM LAKE NEAR ROSLYN, YAKIMA RIVER AT CLE ELUM, TEANAWAY RIVER BLW FORKS, YAKIMA RIVER AT UMTANUM, BUMPING LK DM NR GOOSE PRAIRIE, NACHES RIVER NEAR CLIFFDEL, RIMROCK LAKE NEAR RIMROCK, NACHES RIVER NEAR NACHES, YAKIMA RIVER NEAR PARKER, YAKIMA RIVER AT KIONA, ISLAND PARK 1SWIS.PARKDM&RES, FALL RIVER NR CHESTER, HENRYS FORK AT ST. ANTHONY, TETON RIVER NEAR ST. ANTHONY, HENRYS FORK NEAR REXBURG, SNKE R ON JACKSN LK AT DM TB20, SNAKE RIVER NR JACKSON, SNAKE RIVER NR ALPINE, PALISADES DAM, SNAKE RIVER NR HEISE, RIRIE DAM AND LAKE ON WILLOW C, SNAKE AB EAGLE ROCK NR ID FALL, SNAKE RIVER NR SHELLEY, SNAKE RIVER AT BLACKFOOT, SNAKE RIVER NEAR BLACKFOOT, PORTNEUF RIVER AT POCATELLO, AMERICAN FALLS RESERVOIR  TB12, SNAKE RIV AT MILNER, BRUNEAU RIVER NR HOT SPRINGS, SNAKE RIVER BELOW SWAN FALLS, BIG LOST R@HOW'L RNCH NR CHILL, BIG LOST R AT MACKAY, BIG WOOD RIVER AT HAILEY, MAGIC DAM OUTFLOW, LITL.WOODDM&RESNRCAREY, OWYHEE BELOW OWYHEE DAM, ANDERSON RANCH DAM        TB12, BOISE LUCKY PEAK DAM, BOISE RIVER AT GLENWOOD BRIDGE, BOISE RIVER NR PARMA, WARM SPRINGS DAM & RESERVOIR, AGENCY VLY DAM & BEULAH RSVR, BULLY CREEK DAM & RES     TB12, MALHEUR RIVER NR VALE, CASCADE DAM               TB12, DEADWOOD RESERVOIR NR LOWMAN, PAYETTE RIVER NEAR EMMETT, WEISER RIVER NR WEISER, SNAKE RIVER AT WEISER, BROWNLEE DAM, SALMON R AT WHITEBIRD, GRANDE RONDE RIVER AT TROY, SNAKE RIVER NR ANATONE, CLEARWATER R AT OROFINO, DWORSHAK DAM, CLEARWATER R AT SPALDING, LOWER GRANITE DAM, LITTLE GOOSE DAM, LOWER MONUMENTAL DAM, ICE HARBOR DAM, WALLA WALLA RIV NEAR TOUCHET, MCNARY DAM NEAR MCNARY, UMATILLA R NR GIBBON, UMATILLA R AT PENDLETON, MCKAY CR NR PILOTROCK, UMATILLA RIVER NEAR UMATILLA, NF JOHN DAY RIV AT MONUMENT, JOHN DAY RIVER AT SERVICE CK, JOHN DAY DAM, DESCHUTES R AT MOODY NR BIGGS, THE DALLES, KLICKITAT R NR PITT, HOOD R AT TUCKER BRIDGE   TB20, WHITE SALMON R NEAR UNDERWOOD, BONNEVILLE DAM
2005-04-25,10575.0,10255.0,5274.0,4856.0,6960.0,16934.0,151.0,714.0,464.0,2205.0,3356.0,1845.0,5240.0,1327.0,7628.0,17584.0,20440.0,21807.0,2443.0,28223.0,10325.0,10625.0,385.0,74983.0,14415.0,96529.0,85784.0,4150.0,3033.0,88837.0,3187.0,86685.0,604.0,4901.0,87438.0,86147.0,541.0,637.0,395.0,2613.0,1378.0,929.0,1625.0,522.0,1221.0,668.0,1921.0,1849.0,1751.0,854.0,1608.0,2905.0,565.0,2056.0,2351.0,1752.0,3120.0,5396.0,3271.0,321.0,3402.0,3042.0,2209.0,1920.0,329.0,4471.0,198.0,1225.0,6166.0,212.0,218.0,400.0,580.0,256.0,2268.0,913.0,3379.0,768.0,549.0,755.0,560.0,0.0,66.0,1787.0,346.0,2298.0,1406.0,11715.0,13441.0,10109.0,3931.0,31308.0,14508.0,10194.0,21193.0,52501.0,52501.0,52845.0,52845.0,551.0,127691.0,267.0,560.0,73.0,263.0,2265.0,3434.0,134275.0,4859.0,127556.0,1342.0,1401.0,1324.0,130360.0
2005-04-26,12736.0,10658.0,6114.0,5258.0,8011.0,18662.0,204.0,840.0,530.0,2846.0,4610.0,2299.0,6946.0,1435.0,8850.0,20190.0,21316.0,22768.0,2750.0,30531.0,11548.0,11589.0,371.0,82407.0,16471.0,109154.0,105000.0,5044.0,3795.0,112644.0,3727.0,112721.0,739.0,5368.0,116461.0,115735.0,484.0,572.0,355.0,2614.0,1220.0,816.0,1350.0,597.0,1380.0,787.0,2025.0,1991.0,2324.0,757.0,1627.0,2705.0,589.0,2514.0,1987.0,1915.0,3392.0,5972.0,3919.0,276.0,4321.0,3834.0,2505.0,2037.0,338.0,4513.0,126.0,1528.0,5932.0,316.0,320.0,436.0,590.0,304.0,2823.0,1336.0,3419.0,726.0,467.0,1356.0,462.0,0.0,63.0,1768.0,405.0,2204.0,1254.0,11169.0,12876.0,11023.0,3975.0,30360.0,17430.0,12120.0,22727.0,53087.0,53087.0,53422.0,53422.0,586.0,155806.0,244.0,488.0,66.0,207.0,2686.0,3793.0,159786.0,4753.0,152546.0,1244.0,1170.0,1285.0,153930.0
2005-04-27,13968.0,10429.0,5869.0,5202.0,8264.0,18696.0,207.0,905.0,534.0,3375.0,5404.0,2350.0,7790.0,1437.0,10602.0,21888.0,22885.0,24278.0,3079.0,32138.0,11415.0,12063.0,358.0,86041.0,17647.0,115749.0,105000.0,5844.0,4267.0,114393.0,3816.0,115091.0,808.0,5539.0,120432.0,120362.0,454.0,533.0,333.0,2588.0,1121.0,748.0,1201.0,664.0,1697.0,842.0,2394.0,2223.0,2684.0,715.0,1624.0,2565.0,650.0,2638.0,1588.0,2010.0,3416.0,6255.0,4174.0,287.0,5265.0,4873.0,3407.0,2606.0,349.0,4913.0,87.0,1665.0,6126.0,371.0,368.0,475.0,612.0,376.0,2848.0,1634.0,3488.0,716.0,495.0,1371.0,361.0,73.0,59.0,1797.0,461.0,2593.0,1340.0,10972.0,12428.0,12001.0,3907.0,29829.0,19026.0,13058.0,24637.0,54465.0,54465.0,54791.0,54791.0,609.0,175423.0,225.0,428.0,68.0,210.0,3279.0,4143.0,183305.0,4673.0,176590.0,1150.0,914.0,1271.0,178976.0
2005-04-28,13111.0,9678.0,4696.0,4566.0,7296.0,17140.0,210.0,878.0,483.0,3500.0,5423.0,1999.0,7457.0,1183.0,10960.0,21231.0,24192.0,25448.0,3175.0,33222.0,10481.0,11516.0,341.0,86375.0,17281.0,115870.0,105000.0,6576.0,4097.0,115160.0,3312.0,115875.0,700.0,5343.0,121222.0,121216.0,401.0,451.0,315.0,2159.0,1042.0,623.0,1052.0,575.0,1676.0,714.0,2380.0,2442.0,2935.0,736.0,1797.0,2892.0,770.0,2728.0,1360.0,1950.0,3389.0,6571.0,4558.0,447.0,5652.0,5292.0,4154.0,3496.0,365.0,5895.0,67.0,2076.0,6841.0,324.0,316.0,504.0,664.0,369.0,3305.0,1767.0,3554.0,707.0,571.0,1200.0,342.0,90.0,56.0,1596.0,446.0,2935.0,1530.0,11603.0,12811.0,12822.0,3754.0,30378.0,18833.0,11979.0,24847.0,55225.0,55225.0,55542.0,55542.0,570.0,179549.0,209.0,388.0,56.0,198.0,3488.0,4555.0,189172.0,4619.0,182632.0,1090.0,777.0,1294.0,185674.0
2005-04-29,11712.0,8779.0,3845.0,3701.0,6073.0,15336.0,204.0,838.0,432.0,3324.0,5082.0,1578.0,6692.0,1001.0,10194.0,19158.0,24021.0,25176.0,3070.0,32795.0,8691.0,10024.0,328.0,85188.0,15835.0,111988.0,98750.0,7043.0,3416.0,110310.0,2735.0,112158.0,525.0,4574.0,118209.0,118570.0,338.0,358.0,229.0,1622.0,954.0,483.0,856.0,491.0,1485.0,628.0,1991.0,2028.0,3020.0,663.0,1092.0,2210.0,638.0,2856.0,1178.0,1811.0,3135.0,6224.0,4631.0,295.0,6001.0,5638.0,4565.0,4081.0,388.0,6673.0,47.0,2428.0,6894.0,209.0,200.0,439.0,574.0,322.0,3762.0,1742.0,3545.0,697.0,584.0,755.0,268.0,0.0,54.0,1167.0,383.0,2561.0,1260.0,12090.0,13360.0,12924.0,3436.0,30953.0,16893.0,9948.0,23136.0,54089.0,54089.0,54397.0,54397.0,497.0,179616.0,198.0,355.0,47.0,162.0,2962.0,4385.0,189986.0,4577.0,183395.0,1045.0,697.0,1197.0,186580.0
2005-04-30,10801.0,8171.0,3491.0,3127.0,5255.0,14238.0,194.0,797.0,394.0,3064.0,4676.0,1363.0,6069.0,921.0,9286.0,17484.0,23233.0,24305.0,2943.0,31655.0,7399.0,8442.0,316.0,85125.0,14255.0,107806.0,82500.0,6958.0,2835.0,92380.0,2354.0,93154.0,395.0,3605.0,98206.0,98860.0,294.0,292.0,216.0,1252.0,860.0,393.0,642.0,442.0,1391.0,560.0,1790.0,1547.0,2714.0,607.0,693.0,1687.0,510.0,2372.0,1069.0,1679.0,2772.0,5551.0,4791.0,163.0,5894.0,5583.0,4718.0,4404.0,423.0,7103.0,27.0,2361.0,7070.0,146.0,137.0,404.0,474.0,297.0,3502.0,1727.0,3518.0,688.0,545.0,467.0,226.0,0.0,51.0,878.0,352.0,1861.0,952.0,11721.0,13129.0,12446.0,3128.0,30293.0,14787.0,8317.0,20974.0,51268.0,51268.0,51568.0,51568.0,443.0,167667.0,189.0,329.0,41.0,112.0,2355.0,3757.0,180500.0,4543.0,174335.0,1006.0,645.0,1086.0,178557.0
2005-05-01,10057.0,7763.0,3290.0,2816.0,4717.0,12622.0,186.0,758.0,363.0,2808.0,4304.0,1291.0,5624.0,871.0,8632.0,16253.0,22963.0,23970.0,2838.0,30978.0,6603.0,7571.0,304.0,89149.0,12860.0,108554.0,95873.0,6608.0,2500.0,103431.0,2193.0,101714.0,324.0,2846.0,102087.0,101410.0,265.0,256.0,208.0,1060.0,831.0,339.0,504.0,407.0,1310.0,502.0,1662.0,1219.0,2286.0,588.0,568.0,1490.0,461.0,1771.0,988.0,1594.0,2525.0,5020.0,4986.0,116.0,5229.0,4977.0,4342.0,4332.0,467.0,7140.0,20.0,2108.0,7134.0,130.0,119.0,387.0,402.0,283.0,3108.0,1762.0,3518.0,690.0,470.0,359.0,207.0,0.0,48.0,697.0,334.0,1369.0,747.0,10940.0,12372.0,11852.0,2869.0,28842.0,13249.0,7086.0,19410.0,48252.0,48252.0,48545.0,48545.0,407.0,151737.0,180.0,305.0,38.0,63.0,1916.0,3172.0,163430.0,4512.0,157162.0,972.0,608.0,1010.0,161636.0
2005-05-02,9364.0,7495.0,3134.0,2625.0,4313.0,10699.0,178.0,721.0,337.0,2586.0,3995.0,1263.0,5285.0,830.0,8085.0,14239.0,22392.0,23388.0,2774.0,30368.0,6057.0,6834.0,295.0,87661.0,11865.0,107396.0,114464.0,6202.0,2326.0,122990.0,2256.0,122592.0,304.0,2407.0,123394.0,122717.0,259.0,264.0,204.0,1096.0,812.0,304.0,427.0,399.0,1249.0,457.0,1539.0,927.0,1928.0,585.0,528.0,1390.0,466.0,1407.0,920.0,1586.0,2444.0,4730.0,5234.0,115.0,4581.0,4224.0,3513.0,3711.0,516.0,6708.0,20.0,1885.0,6920.0,126.0,113.0,374.0,344.0,279.0,2744.0,1822.0,3543.0,713.0,429.0,398.0,197.0,0.0,45.0,590.0,320.0,1109.0,617.0,10319.0,11566.0,11282.0,2653.0,26833.0,11925.0,6167.0,17919.0,44752.0,44752.0,45037.0,45037.0,382.0,158988.0,172.0,285.0,37.0,61.0,1686.0,2709.0,165152.0,4491.0,157474.0,951.0,580.0,967.0,159179.0
2005-05-03,8956.0,7434.0,2990.0,2489.0,3989.0,9975.0,172.0,688.0,326.0,2392.0,3798.0,1249.0,5073.0,794.0,7647.0,12605.0,20278.0,21317.0,2790.0,28349.0,5661.0,6385.0,285.0,86719.0,11357.0,104867.0,113750.0,5831.0,2280.0,122227.0,2433.0,122665.0,345.0,2306.0,125107.0,125153.0,251.0,268.0,199.0,1192.0,804.0,278.0,377.0,389.0,1217.0,420.0,1459.0,747.0,1616.0,597.0,547.0,1362.0,500.0,1175.0,875.0,1631.0,2567.0,4744.0,5491.0,127.0,4172.0,3723.0,2817.0,2950.0,561.0,5940.0,20.0,1810.0,6679.0,126.0,111.0,371.0,312.0,287.0,2450.0,2037.0,3588.0,735.0,434.0,508.0,190.0,0.0,43.0,608.0,338.0,980.0,546.0,9903.0,11064.0,10779.0,2470.0,25257.0,11062.0,5623.0,16941.0,42198.0,42198.0,42477.0,42477.0,362.0,170440.0,165.0,269.0,35.0,56.0,1716.0,2463.0,178164.0,4464.0,170481.0,925.0,558.0,957.0,172361.0
2005-05-04,8716.0,7446.0,2855.0,2417.0,3901.0,9784.0,168.0,660.0,317.0,2218.0,3637.0,1244.0,4905.0,819.0,7396.0,12073.0,18472.0,19549.0,2852.0,26409.0,5408.0,6072.0,275.0,86889.0,11109.0,104350.0,113036.0,5588.0,2367.0,121230.0,2504.0,121684.0,371.0,2491.0,124256.0,124286.0,233.0,252.0,188.0,1179.0,788.0,259.0,351.0,373.0,1179.0,390.0,1384.0,636.0,1415.0,605.0,552.0,1346.0,515.0,1100.0,843.0,1691.0,2696.0,5052.0,5699.0,148.0,3993.0,3476.0,2404.0,2390.0,593.0,5322.0,20.0,1833.0,6484.0,127.0,109.0,385.0,307.0,291.0,2204.0,2099.0,3609.0,756.0,448.0,493.0,185.0,0.0,40.0,668.0,372.0,1019.0,592.0,9581.0,10644.0,10290.0,2312.0,26115.0,10723.0,6122.0,16448.0,42562.0,42562.0,42834.0,42834.0,347.0,168835.0,158.0,254.0,33.0,53.0,1908.0,2464.0,177273.0,4421.0,169706.0,892.0,540.0,967.0,172314.0
