, LIBBY DAM, KOOTENAI RIV AT LEONIA, NF FLATHEAD R NR COLUMBIA FALL, MF FLATHEAD NR WEST GLACIER, DAM AT HUNGRY HORSE, FLATHEAD R AT COLUMBIA FALLS, CLARK FORK AT DEER LODGE, CLARK FORK AT DRUMMOND, ROCK CREEK NR CLINTON, BLACKFOOT R NR BONNER, CLARK FORK AB MISSOULA, BITTERROOT R NR MISSOULA, CLARK FORK BELOW MISSOULA, ST. REGIS R. NR ST. REGIS, CLARK FORK AT ST REGIS    TB20, KERR DAM, NOXON RAPIDS DAM, CABINET GORGE DAM, PRIEST R NR PRIEST RIVER, ALBENI FALLS DAM, COEUR D'ALENE LAKE, SPOKANE RIV AT LONGLAKE, ST MARIES R NR SANTA, COLUMBIAR @INTERNATL BOUNDAR, KETTLE RIVER AT LAURIER, GRAND COULEE DAM, CHIEF JOSEPH DAM, OKANOGAN RIVER NEAR TONASKET, METHOW R NEAR PATEROS, WELLS DAM, LAKE CHELAN DAM, ROCKY REACH DAM, ENTIAT R NR ARDENVOIR, WENATCHEE R AT PESHASTIN  TB20, WANAPUM DAM, PRIEST RAPIDS DAM, KEECHELUS LAKE, KACHESS DAM NEAR EASTON, YAKIMA RIVER AT EASTON, CLE ELUM LAKE NEAR ROSLYN, YAKIMA RIVER AT CLE ELUM, TEANAWAY RIVER BLW FORKS, YAKIMA RIVER AT UMTANUM, BUMPING LK DM NR GOOSE PRAIRIE, NACHES RIVER NEAR CLIFFDEL, RIMROCK LAKE NEAR RIMROCK, NACHES RIVER NEAR NACHES, YAKIMA RIVER NEAR PARKER, YAKIMA RIVER AT KIONA, ISLAND PARK 1SWIS.PARKDM&RES, FALL RIVER NR CHESTER, HENRYS FORK AT ST. ANTHONY, TETON RIVER NEAR ST. ANTHONY, HENRYS FORK NEAR REXBURG, SNKE R ON JACKSN LK AT DM TB20, SNAKE RIVER NR JACKSON, SNAKE RIVER NR ALPINE, PALISADES DAM, SNAKE RIVER NR HEISE, RIRIE DAM AND LAKE ON WILLOW C, SNAKE AB EAGLE ROCK NR ID FALL, SNAKE RIVER NR SHELLEY, SNAKE RIVER AT BLACKFOOT, SNAKE RIVER NEAR BLACKFOOT, PORTNEUF RIVER AT POCATELLO, AMERICAN FALLS RESERVOIR  TB12, SNAKE RIV AT MILNER, BRUNEAU RIVER NR HOT SPRINGS, SNAKE RIVER BELOW SWAN FALLS, BIG LOST R@HOW'L RNCH NR CHILL, BIG LOST R AT MACKAY, BIG WOOD RIVER AT HAILEY, MAGIC DAM OUTFLOW, LITL.WOODDM&RESNRCAREY, OWYHEE BELOW OWYHEE DAM, ANDERSON RANCH DAM        TB12, BOISE LUCKY PEAK DAM, BOISE RIVER AT GLENWOOD BRIDGE, BOISE RIVER NR PARMA, WARM SPRINGS DAM & RESERVOIR, AGENCY VLY DAM & BEULAH RSVR, BULLY CREEK DAM & RES     TB12, MALHEUR RIVER NR VALE, CASCADE DAM               TB12, DEADWOOD RESERVOIR NR LOWMAN, PAYETTE RIVER NEAR EMMETT, WEISER RIVER NR WEISER, SNAKE RIVER AT WEISER, BROWNLEE DAM, SALMON R AT WHITEBIRD, GRANDE RONDE RIVER AT TROY, SNAKE RIVER NR ANATONE, CLEARWATER R AT OROFINO, DWORSHAK DAM, CLEARWATER R AT SPALDING, LOWER GRANITE DAM, LITTLE GOOSE DAM, LOWER MONUMENTAL DAM, ICE HARBOR DAM, WALLA WALLA RIV NEAR TOUCHET, MCNARY DAM NEAR MCNARY, UMATILLA R NR GIBBON, UMATILLA R AT PENDLETON, MCKAY CR NR PILOTROCK, UMATILLA RIVER NEAR UMATILLA, NF JOHN DAY RIV AT MONUMENT, JOHN DAY RIVER AT SERVICE CK, JOHN DAY DAM, DESCHUTES R AT MOODY NR BIGGS, THE DALLES, KLICKITAT R NR PITT, HOOD R NR TUCKER BRIDGE   TB20, WHITE SALMON R NEAR UNDERWOOD, BONNEVILLE DAM
2007-04-23,11225.0,29319.0,4024.0,3283.0,4638.0,10408.0,243.0,1196.0,519.0,1905.0,3206.0,2453.0,5805.0,1033.0,8199.0,12680.0,24585.0,25485.0,3494.0,32451.0,8481.0,13357.0,533.0,113197.0,4792.0,132046.0,146380.0,5129.0,3003.0,151170.0,3030.0,150589.0,552.0,3823.0,147369.0,147180.0,348.0,356.0,425.0,1114.0,1420.0,578.0,2476.0,259.0,1359.0,453.0,1786.0,2074.0,3566.0,727.0,1369.0,2604.0,797.0,2245.0,1380.0,1811.0,2579.0,4721.0,3489.0,214.0,2641.0,2532.0,1007.0,1324.0,283.0,3611.0,233.0,377.0,6553.0,188.0,188.0,363.0,447.0,121.0,711.0,1590.0,2998.0,901.0,676.0,150.0,163.0,0.0,386.0,1521.0,339.0,2537.0,785.0,11044.0,11992.0,10316.0,3351.0,27234.0,11667.0,9553.0,21203.0,48436.0,48436.0,48951.0,48951.0,611.0,205054.0,330.0,616.0,194.0,333.0,2686.0,3670.0,218009.0,5611.0,219441.0,1781.0,1004.0,1234.0,223439.0
2007-04-24,11726.0,29967.0,4786.0,3798.0,4974.0,11648.0,368.0,1416.0,617.0,2141.0,3685.0,3375.0,7200.0,1088.0,9051.0,13282.0,24974.0,25906.0,3557.0,33244.0,9318.0,12738.0,508.0,112904.0,4809.0,131300.0,155000.0,5041.0,2941.0,163070.0,3258.0,166456.0,720.0,4118.0,170286.0,170064.0,427.0,468.0,492.0,1573.0,1630.0,838.0,2876.0,313.0,1536.0,548.0,2004.0,2324.0,3571.0,799.0,1531.0,2956.0,931.0,2571.0,1378.0,1947.0,2831.0,5194.0,4045.0,292.0,3239.0,2881.0,971.0,1083.0,281.0,3443.0,233.0,420.0,6394.0,257.0,257.0,389.0,487.0,135.0,821.0,1970.0,3074.0,902.0,656.0,225.0,156.0,0.0,371.0,1675.0,409.0,3089.0,1035.0,11736.0,12475.0,11312.0,3663.0,27755.0,13580.0,10511.0,23659.0,51414.0,51414.0,51928.0,51928.0,678.0,215203.0,322.0,753.0,169.0,435.0,2743.0,3674.0,219969.0,5705.0,220581.0,1847.0,1016.0,1258.0,223030.0
2007-04-25,11730.0,30467.0,4742.0,4043.0,4906.0,12111.0,423.0,1592.0,596.0,2431.0,4208.0,3244.0,7585.0,1010.0,10157.0,14365.0,25940.0,26879.0,3618.0,34205.0,10341.0,12228.0,486.0,114728.0,5188.0,132565.0,155000.0,5062.0,2928.0,162975.0,3235.0,166457.0,766.0,4525.0,170951.0,170938.0,470.0,548.0,538.0,1850.0,1907.0,945.0,3419.0,338.0,1734.0,571.0,2373.0,3126.0,3801.0,838.0,1295.0,2742.0,994.0,2943.0,1277.0,2125.0,3153.0,5419.0,4317.0,171.0,4027.0,3662.0,1554.0,1174.0,280.0,3265.0,233.0,509.0,6389.0,290.0,290.0,389.0,440.0,146.0,1022.0,1899.0,3277.0,904.0,648.0,525.0,159.0,0.0,371.0,1585.0,446.0,3458.0,1104.0,12181.0,13053.0,12118.0,3808.0,29324.0,14123.0,10553.0,24611.0,53935.0,53935.0,54449.0,54449.0,712.0,228307.0,294.0,663.0,149.0,542.0,2618.0,3520.0,236479.0,5633.0,237494.0,1915.0,982.0,1262.0,240992.0
2007-04-26,11816.0,30447.0,4450.0,3937.0,4538.0,11755.0,408.0,1600.0,553.0,2610.0,4447.0,2868.0,7442.0,934.0,10256.0,14388.0,26462.0,27401.0,3574.0,34421.0,10540.0,11888.0,460.0,115740.0,5241.0,133613.0,153750.0,5275.0,2793.0,161942.0,2839.0,165567.0,643.0,4418.0,170309.0,170390.0,424.0,485.0,458.0,1568.0,1950.0,866.0,3442.0,328.0,1658.0,556.0,2225.0,3110.0,4297.0,974.0,1592.0,2977.0,1018.0,3004.0,1494.0,2196.0,3485.0,5921.0,4613.0,136.0,4629.0,4267.0,2249.0,1721.0,280.0,3575.0,233.0,608.0,6375.0,275.0,275.0,422.0,418.0,158.0,1269.0,2045.0,3612.0,918.0,634.0,495.0,174.0,0.0,352.0,1556.0,483.0,3782.0,1134.0,12422.0,13263.0,12722.0,3799.0,30220.0,13994.0,10129.0,24625.0,54845.0,54845.0,55358.0,55358.0,685.0,230730.0,236.0,533.0,133.0,420.0,2410.0,3315.0,239401.0,5575.0,240513.0,1851.0,923.0,1234.0,244490.0
2007-04-27,11964.0,30240.0,4443.0,3726.0,4267.0,11477.0,371.0,1528.0,519.0,2634.0,4396.0,2653.0,7170.0,893.0,9970.0,13969.0,26284.0,27250.0,3484.0,34263.0,10295.0,11765.0,439.0,115651.0,5254.0,133492.0,147500.0,5409.0,2709.0,156116.0,3070.0,160155.0,712.0,4248.0,165269.0,165536.0,503.0,541.0,481.0,1818.0,2103.0,966.0,3564.0,419.0,1837.0,770.0,2586.0,3012.0,4429.0,865.0,1597.0,2944.0,1054.0,3115.0,1570.0,2302.0,3746.0,6289.0,4871.0,122.0,4940.0,4565.0,2705.0,2266.0,279.0,4105.0,233.0,672.0,6320.0,227.0,225.0,452.0,409.0,171.0,1528.0,2218.0,3937.0,933.0,613.0,392.0,180.0,0.0,339.0,1531.0,502.0,4034.0,1108.0,12692.0,13536.0,13282.0,3722.0,30935.0,13501.0,9465.0,24144.0,55079.0,55079.0,55585.0,55585.0,675.0,229303.0,214.0,456.0,122.0,283.0,2275.0,3105.0,238490.0,5611.0,239741.0,2005.0,925.0,1281.0,243981.0
2007-04-28,12450.0,30824.0,4699.0,3679.0,4224.0,11620.0,343.0,1499.0,540.0,2620.0,4318.0,2498.0,6932.0,912.0,9694.0,13859.0,26079.0,27130.0,3511.0,34695.0,10273.0,11660.0,420.0,116363.0,5900.0,134394.0,137500.0,5408.0,2868.0,146440.0,3256.0,150728.0,791.0,4457.0,156359.0,156751.0,610.0,676.0,585.0,2369.0,2391.0,1096.0,3976.0,497.0,1959.0,763.0,2871.0,3602.0,4525.0,841.0,1821.0,3092.0,1083.0,3162.0,1849.0,2440.0,4068.0,6620.0,5174.0,119.0,5208.0,4795.0,2948.0,2586.0,277.0,4465.0,233.0,718.0,6340.0,187.0,183.0,489.0,397.0,195.0,1817.0,2464.0,4273.0,948.0,589.0,319.0,185.0,0.0,328.0,1574.0,543.0,4295.0,1125.0,12885.0,13730.0,13733.0,3709.0,31541.0,13438.0,9356.0,23899.0,55440.0,55440.0,55936.0,55936.0,693.0,223030.0,198.0,418.0,113.0,185.0,2195.0,2965.0,232676.0,5646.0,234065.0,2144.0,933.0,1313.0,238863.0
2007-04-29,14223.0,32233.0,5433.0,3868.0,4405.0,12551.0,324.0,1563.0,682.0,2787.0,4610.0,2431.0,7151.0,1006.0,9689.0,14240.0,26095.0,27224.0,3747.0,35261.0,11181.0,11655.0,400.0,118181.0,6706.0,136801.0,135078.0,5710.0,3151.0,142669.0,3429.0,145471.0,875.0,4729.0,149750.0,149758.0,623.0,705.0,665.0,2482.0,2676.0,1160.0,4410.0,490.0,1991.0,743.0,3021.0,4001.0,4939.0,879.0,2174.0,3424.0,1167.0,3313.0,2271.0,2750.0,4390.0,7054.0,5490.0,121.0,5356.0,4903.0,3109.0,2802.0,273.0,4700.0,233.0,771.0,6411.0,183.0,174.0,567.0,438.0,218.0,2113.0,2815.0,4627.0,963.0,582.0,256.0,189.0,0.0,318.0,1658.0,596.0,4682.0,1188.0,13193.0,13987.0,14452.0,3756.0,32279.0,13961.0,9684.0,24320.0,56599.0,56599.0,57086.0,57086.0,722.0,215018.0,191.0,388.0,105.0,107.0,2130.0,2864.0,224482.0,5669.0,225863.0,2091.0,929.0,1300.0,230828.0
2007-04-30,15671.0,32342.0,6147.0,4260.0,4700.0,15025.0,308.0,1675.0,812.0,3149.0,5210.0,2509.0,7823.0,1103.0,10197.0,15725.0,26465.0,27682.0,3811.0,35637.0,12144.0,13202.0,380.0,116942.0,7232.0,138722.0,154609.0,6311.0,3594.0,163225.0,3797.0,165807.0,1069.0,4965.0,168547.0,167711.0,667.0,724.0,724.0,2488.0,2835.0,1265.0,4670.0,543.0,2150.0,966.0,3393.0,4347.0,5388.0,918.0,2493.0,3752.0,1269.0,3645.0,2689.0,3227.0,4758.0,7569.0,5778.0,123.0,5605.0,5070.0,3221.0,2926.0,268.0,4846.0,233.0,830.0,6504.0,190.0,178.0,627.0,475.0,236.0,2394.0,3105.0,4973.0,978.0,566.0,200.0,192.0,0.0,313.0,1812.0,657.0,5189.0,1253.0,13724.0,14465.0,15411.0,3912.0,33553.0,14547.0,10296.0,24378.0,57932.0,57932.0,58410.0,58410.0,770.0,219410.0,199.0,375.0,98.0,46.0,2153.0,2806.0,225139.0,5763.0,225920.0,2287.0,956.0,1347.0,229571.0
2007-05-01,17831.0,29000.0,7387.0,4954.0,5534.0,18708.0,294.0,1842.0,1025.0,3757.0,6122.0,2676.0,8896.0,1313.0,11299.0,18617.0,27469.0,28872.0,3895.0,36984.0,13147.0,13814.0,363.0,117114.0,7823.0,138928.0,155000.0,6729.0,4433.0,165499.0,4474.0,169387.0,1372.0,5622.0,174601.0,174454.0,814.0,887.0,833.0,2837.0,3052.0,1460.0,5150.0,613.0,2450.0,1169.0,3953.0,5187.0,5833.0,979.0,2712.0,3931.0,1398.0,4009.0,3018.0,3709.0,5048.0,8123.0,6097.0,122.0,6089.0,5481.0,3510.0,3086.0,259.0,4955.0,246.0,858.0,6624.0,205.0,188.0,694.0,514.0,265.0,2621.0,3405.0,5130.0,1005.0,582.0,166.0,199.0,0.0,327.0,2040.0,743.0,5819.0,1338.0,14391.0,15046.0,17355.0,4238.0,36075.0,15702.0,11871.0,24809.0,60884.0,60884.0,61352.0,61352.0,836.0,235957.0,215.0,384.0,93.0,31.0,2290.0,2847.0,240768.0,5807.0,241164.0,2577.0,969.0,1422.0,244072.0
2007-05-02,19833.0,24327.0,8348.0,5733.0,6729.0,21864.0,282.0,2012.0,1189.0,4433.0,7220.0,2975.0,10288.0,1451.0,12836.0,23071.0,29370.0,30913.0,4064.0,39443.0,14502.0,14041.0,348.0,119989.0,8424.0,142450.0,155000.0,6887.0,5309.0,166881.0,4741.0,171219.0,1520.0,6333.0,177278.0,177181.0,827.0,876.0,881.0,3017.0,3176.0,1532.0,5499.0,649.0,2568.0,1204.0,4222.0,6168.0,6649.0,997.0,2798.0,4081.0,1485.0,4361.0,3300.0,4163.0,5400.0,8600.0,6639.0,119.0,6741.0,6054.0,4028.0,3483.0,248.0,5270.0,265.0,859.0,6730.0,216.0,194.0,734.0,563.0,270.0,2721.0,3628.0,5177.0,1059.0,658.0,149.0,214.0,0.0,346.0,2089.0,802.0,6537.0,1364.0,15349.0,15992.0,20206.0,4548.0,40432.0,17615.0,13279.0,26653.0,67085.0,67085.0,67545.0,67545.0,864.0,247169.0,221.0,383.0,89.0,47.0,2445.0,3028.0,253762.0,5821.0,254451.0,2723.0,962.0,1449.0,258501.0
