, LIBBY DAM, KOOTENAI RIV AT LEONIA, NF FLATHEAD R NR COLUMBIA FALL, MF FLATHEAD NR WEST GLACIER, DAM AT HUNGRY HORSE, FLATHEAD R AT COLUMBIA FALLS, CLARK FORK AT DEER LODGE, CLARK FORK AT DRUMMOND, ROCK CREEK NR CLINTON, BLACKFOOT R NR BONNER, CLARK FORK AB MISSOULA, BITTERROOT R NR MISSOULA, CLARK FORK BELOW MISSOULA, ST. REGIS R. NR ST. REGIS, CLARK FORK AT ST REGIS    TB20, KERR DAM, NOXON RAPIDS DAM, CABINET GORGE DAM, PRIEST R NR PRIEST RIVER, ALBENI FALLS DAM, COEUR D'ALENE LAKE, SPOKANE RIV AT LONGLAKE, ST MARIES R NR SANTA, COLUMBIAR @INTERNATL BOUNDAR, KETTLE RIVER AT LAURIER, GRAND COULEE DAM, CHIEF JOSEPH DAM, OKANOGAN RIVER NEAR TONASKET, METHOW R NEAR PATEROS, WELLS DAM, LAKE CHELAN DAM, ROCKY REACH DAM, ENTIAT R NR ARDENVOIR, WENATCHEE R AT PESHASTIN  TB20, WANAPUM DAM, PRIEST RAPIDS DAM, KEECHELUS LAKE, KACHESS DAM NEAR EASTON, YAKIMA RIVER AT EASTON, CLE ELUM LAKE NEAR ROSLYN, YAKIMA RIVER AT CLE ELUM, TEANAWAY RIVER BLW FORKS, YAKIMA RIVER AT UMTANUM, BUMPING LK DM NR GOOSE PRAIRIE, NACHES RIVER NEAR CLIFFDEL, RIMROCK LAKE NEAR RIMROCK, NACHES RIVER NEAR NACHES, YAKIMA RIVER NEAR PARKER, YAKIMA RIVER AT KIONA, ISLAND PARK 1SWIS.PARKDM&RES, FALLS RIVER NR CHESTER, HENRYS FORK AT ST. ANTHONY, TETON RIVER NEAR ST. ANTHONY, HENRYS FORK NEAR REXBURG, SNKE R ON JACKSN LK AT DM TB20, SNAKE RIVER NR JACKSON, SNAKE RIVER NR ALPINE, PALISADES DAM, SNAKE RIVER NR HEISE, RIRIE DAM AND LAKE ON WILLOW C, SNAKE AB EAGLE ROCK NR ID FALL, SNAKE RIVER NR SHELLEY, SNAKE RIVER AT BLACKFOOT, SNAKE RIVER NEAR BLACKFOOT, PORTNEUF RIVER AT POCATELLO, AMERICAN FALLS RESERVOIR  TB12, SNAKE RIV AT MILNER, BRUNEAU RIVER NR HOT SPRINGS, SNAKE RIVER BELOW SWAN FALLS, BIG LOST R@HOW'L RNCH NR CHILL, BIG LOST R AT MACKAY, BIG WOOD RIVER AT HAILEY, MAGIC DAM OUTFLOW, LITL.WOODDM&RESNRCAREY, OWYHEE BELOW OWYHEE DAM, ANDERSON RANCH DAM, BOISE LUCKY PEAK DAM, BOISE RIVER AT GLENWOOD BRIDGE, BOISE RIVER NR PARMA, WARM SPRINGS DAM & RESERVOIR, AGENCY VLY DAM & BEULAH RSVR, BULLY CREEK DAM & RES     TB12, MALHEUR RIVER NR VALE, CASCADE DAM               TB12, DEADWOOD RESERVOIR NR LOWMAN, PAYETTE RIVER NEAR EMMETT, WEISER RIVER NR WEISER, SNAKE RIVER AT WEISER, BROWNLEE DAM, SALMON R AT WHITEBIRD, GRANDE RONDE RIVER AT TROY, SNAKE RIVER NR ANATONE, CLEARWATER R AT OROFINO, DWORSHAK DAM, CLEARWATER R AT SPALDING, LOWER GRANITE DAM, LITTLE GOOSE DAM, LOWER MONUMENTAL DAM, ICE HARBOR DAM, WALLA WALLA RIV NEAR TOUCHET, MCNARY DAM NEAR MCNARY, UMATILLA R NR GIBBON, UMATILLA R AT PENDLETON, MCKAY CR NR PILOTROCK, UMATILLA RIVER NEAR UMATILLA, NF JOHN DAY RIV AT MONUMENT, JOHN DAY RIVER AT SERVICE CK, JOHN DAY DAM, DESCHUTES R AT MOODY NR BIGGS, THE DALLES, KLICKITAT R NR PITT, HOOD R NR TUCKER BRIDGE   TB20, WHITE SALMON R NEAR UNDERWOOD, BONNEVILLE DAM
2008-06-16,30354.0,32502.0,12187.0,14357.0,16032.0,35675.0,664.0,2793.0,2881.0,4956.0,10535.0,9951.0,21171.0,1945.0,26703.0,40897.0,68641.0,71372.0,4241.0,80249.0,20322.0,24676.0,941.0,192171.0,8116.0,225307.0,186456.0,9460.0,4459.0,199113.0,5611.0,202793.0,1264.0,7834.0,204852.0,203610.0,937.0,710.0,298.0,2649.0,1209.0,561.0,2224.0,918.0,2078.0,1179.0,3524.0,2093.0,3022.0,942.0,2814.0,3899.0,2139.0,4162.0,7729.0,10471.0,13238.0,17502.0,13969.0,144.0,10525.0,8961.0,5414.0,6154.0,102.0,9262.0,238.0,877.0,6308.0,1072.0,965.0,1209.0,833.0,194.0,581.0,2402.0,4261.0,1357.0,1192.0,149.0,218.0,19.0,71.0,2452.0,932.0,8798.0,1553.0,18870.0,19923.0,38997.0,8866.0,68367.0,39826.0,23662.0,54547.0,122914.0,122914.0,123455.0,123455.0,1007.0,311589.0,542.0,1157.0,188.0,1090.0,2767.0,3656.0,324167.0,6075.0,326082.0,2052.0,1644.0,1766.0,332134.0
2008-06-17,30993.0,32010.0,12534.0,16074.0,16890.0,34447.0,723.0,2738.0,3016.0,4944.0,10568.0,10283.0,21237.0,1906.0,26870.0,40030.0,66666.0,69034.0,4162.0,77430.0,20169.0,23925.0,886.0,189505.0,7638.0,221928.0,183750.0,9361.0,4683.0,198120.0,5635.0,204332.0,1317.0,8622.0,213396.0,213497.0,996.0,721.0,248.0,2857.0,1276.0,558.0,2247.0,909.0,2296.0,1166.0,3949.0,2420.0,3189.0,890.0,3203.0,4304.0,2540.0,4656.0,8411.0,12397.0,14667.0,18984.0,14243.0,143.0,10893.0,9278.0,5532.0,5942.0,95.0,8831.0,354.0,831.0,6356.0,1216.0,1105.0,1111.0,785.0,173.0,544.0,2308.0,4262.0,1371.0,1187.0,140.0,213.0,18.0,60.0,1990.0,912.0,8938.0,1393.0,19119.0,20185.0,36945.0,8913.0,70310.0,46914.0,24027.0,60704.0,131014.0,131014.0,131512.0,131512.0,875.0,343556.0,463.0,979.0,157.0,829.0,2512.0,3354.0,349319.0,6104.0,350778.0,1983.0,1647.0,1831.0,353985.0
2008-06-18,32001.0,31549.0,12502.0,17423.0,17075.0,32809.0,772.0,2719.0,3202.0,4798.0,10613.0,10562.0,21262.0,1820.0,26658.0,38364.0,65157.0,67428.0,4122.0,75531.0,19456.0,23682.0,841.0,185881.0,7211.0,217697.0,180000.0,9196.0,4763.0,194123.0,5399.0,200079.0,1263.0,8922.0,209368.0,209511.0,801.0,677.0,216.0,2753.0,1496.0,508.0,2396.0,805.0,2309.0,990.0,3896.0,2654.0,3468.0,901.0,3387.0,4514.0,2988.0,5406.0,9203.0,13573.0,15794.0,20721.0,14244.0,144.0,11760.0,10137.0,6254.0,6235.0,89.0,8865.0,535.0,759.0,6457.0,1331.0,1223.0,1013.0,689.0,165.0,510.0,2125.0,4269.0,1387.0,1225.0,137.0,208.0,16.0,73.0,1766.0,890.0,8802.0,1202.0,18880.0,19975.0,33342.0,8905.0,67042.0,49837.0,24047.0,63417.0,130459.0,130459.0,130927.0,130927.0,770.0,347603.0,386.0,826.0,135.0,620.0,2280.0,3073.0,358016.0,6050.0,360400.0,1909.0,1584.0,1850.0,365983.0
2008-06-19,32045.0,31118.0,12141.0,17177.0,16571.0,32188.0,782.0,2660.0,3201.0,4588.0,10450.0,10723.0,21173.0,1695.0,26373.0,37250.0,63183.0,65364.0,4048.0,73200.0,18185.0,23383.0,800.0,181429.0,6781.0,212750.0,180000.0,8840.0,4549.0,193670.0,5058.0,199394.0,1155.0,8533.0,208072.0,208117.0,702.0,603.0,203.0,2516.0,1727.0,442.0,2562.0,732.0,2193.0,905.0,3521.0,2381.0,3653.0,914.0,3126.0,4272.0,3208.0,5994.0,9793.0,14213.0,16363.0,21641.0,14210.0,139.0,12444.0,10854.0,7162.0,7020.0,83.0,9483.0,716.0,696.0,6487.0,1359.0,1262.0,966.0,635.0,159.0,479.0,1990.0,4276.0,1403.0,1253.0,131.0,204.0,14.0,92.0,1557.0,846.0,8242.0,1050.0,18465.0,19580.0,30553.0,8762.0,63502.0,47792.0,23368.0,61054.0,124557.0,124557.0,125000.0,125000.0,687.0,341000.0,332.0,687.0,117.0,464.0,2078.0,2829.0,351401.0,5997.0,353875.0,1790.0,1488.0,1808.0,359701.0
2008-06-20,31674.0,30718.0,11667.0,16288.0,15700.0,30867.0,762.0,2541.0,3171.0,4294.0,10069.0,10813.0,20883.0,1576.0,25925.0,36055.0,61806.0,63907.0,3946.0,71389.0,16279.0,22981.0,764.0,176207.0,6354.0,206865.0,175000.0,8399.0,4241.0,189071.0,4837.0,195720.0,1057.0,7835.0,204810.0,205126.0,696.0,574.0,223.0,2475.0,2000.0,422.0,2757.0,719.0,2162.0,922.0,3410.0,2244.0,3534.0,841.0,2968.0,4043.0,3285.0,6093.0,9947.0,14512.0,16578.0,21995.0,14174.0,127.0,12741.0,11183.0,7737.0,7687.0,77.0,10190.0,897.0,649.0,6515.0,1317.0,1237.0,927.0,598.0,153.0,451.0,1828.0,4283.0,1419.0,1246.0,126.0,200.0,12.0,89.0,1412.0,793.0,7456.0,932.0,17697.0,18848.0,28147.0,8592.0,60113.0,46435.0,22615.0,59081.0,119195.0,119195.0,119613.0,119613.0,626.0,333312.0,303.0,591.0,107.0,348.0,1908.0,2618.0,343148.0,5954.0,345581.0,1695.0,1438.0,1765.0,351199.0
2008-06-21,31353.0,26990.0,11091.0,14460.0,14724.0,28528.0,725.0,2369.0,3074.0,3965.0,9557.0,10776.0,20334.0,1474.0,25348.0,34081.0,60256.0,62282.0,3864.0,69543.0,14544.0,22421.0,731.0,167623.0,6024.0,198277.0,158750.0,7970.0,4021.0,171687.0,4871.0,178236.0,1121.0,7543.0,187548.0,188218.0,792.0,610.0,316.0,2787.0,2340.0,471.0,3067.0,732.0,2217.0,941.0,3445.0,2405.0,3413.0,819.0,2801.0,3889.0,3313.0,6024.0,9824.0,14595.0,16565.0,21947.0,14160.0,115.0,13088.0,11575.0,8264.0,8115.0,71.0,10665.0,1078.0,607.0,6630.0,1259.0,1195.0,891.0,570.0,148.0,426.0,1684.0,4291.0,1435.0,1243.0,117.0,195.0,11.0,79.0,1285.0,741.0,6598.0,839.0,16707.0,17853.0,26245.0,8405.0,56788.0,43310.0,21791.0,56542.0,113329.0,113329.0,113725.0,113725.0,575.0,318808.0,282.0,517.0,99.0,255.0,1761.0,2433.0,330559.0,5911.0,333260.0,1663.0,1425.0,1754.0,339450.0
2008-06-22,30285.0,24647.0,10026.0,12913.0,13563.0,25926.0,671.0,2180.0,2939.0,3642.0,8966.0,10433.0,19399.0,1423.0,24483.0,31333.0,57415.0,59359.0,3761.0,66465.0,13286.0,21738.0,701.0,161182.0,5773.0,189920.0,156641.0,7673.0,4059.0,168259.0,4964.0,173789.0,1210.0,7977.0,181733.0,181787.0,820.0,638.0,391.0,3004.0,2741.0,509.0,3479.0,720.0,2274.0,976.0,3502.0,2766.0,3507.0,799.0,2519.0,3599.0,3142.0,5848.0,9384.0,14454.0,16376.0,21651.0,14128.0,103.0,12955.0,11488.0,8485.0,8440.0,64.0,11015.0,1259.0,568.0,6780.0,1184.0,1135.0,854.0,533.0,143.0,403.0,1563.0,4300.0,1452.0,1228.0,110.0,191.0,9.0,73.0,1181.0,686.0,5774.0,764.0,15735.0,16830.0,24769.0,8311.0,53827.0,39388.0,20719.0,52353.0,106181.0,106181.0,106553.0,106553.0,534.0,297830.0,265.0,473.0,93.0,182.0,1646.0,2277.0,308224.0,5881.0,310922.0,1627.0,1427.0,1769.0,317193.0
2008-06-23,29454.0,24392.0,9014.0,11716.0,12434.0,23552.0,618.0,2020.0,2864.0,3348.0,8453.0,10082.0,18535.0,1318.0,23364.0,28422.0,53577.0,55451.0,3662.0,62345.0,12352.0,21046.0,668.0,156069.0,5518.0,183901.0,176717.0,7545.0,4007.0,186962.0,4910.0,190941.0,1234.0,8533.0,196636.0,195698.0,771.0,624.0,419.0,2970.0,3072.0,497.0,3816.0,695.0,2290.0,982.0,3482.0,3042.0,3784.0,782.0,2200.0,3247.0,2948.0,5441.0,8749.0,14109.0,15996.0,21090.0,14103.0,94.0,12560.0,11113.0,8277.0,8328.0,58.0,10980.0,1436.0,533.0,6949.0,1109.0,1074.0,817.0,485.0,138.0,382.0,1456.0,4310.0,1468.0,1220.0,102.0,186.0,8.0,79.0,1081.0,636.0,4989.0,703.0,14884.0,15920.0,23535.0,8222.0,51340.0,38609.0,19599.0,51073.0,102413.0,102413.0,102763.0,102763.0,497.0,293818.0,251.0,434.0,85.0,130.0,1519.0,2138.0,300136.0,5884.0,302221.0,1560.0,1435.0,1787.0,307091.0
2008-06-24,28866.0,24170.0,8295.0,11039.0,11447.0,22026.0,569.0,1870.0,2738.0,3084.0,7985.0,9890.0,17875.0,1204.0,22372.0,26211.0,49625.0,51438.0,3564.0,58031.0,11471.0,20345.0,638.0,150462.0,5216.0,177375.0,174693.0,7449.0,3805.0,186604.0,4783.0,193002.0,1206.0,8817.0,202694.0,202912.0,778.0,613.0,437.0,2975.0,3238.0,488.0,4017.0,715.0,2311.0,1049.0,3458.0,3210.0,4057.0,777.0,1967.0,2973.0,2800.0,4919.0,8207.0,13718.0,15545.0,20408.0,14062.0,87.0,12128.0,10666.0,7880.0,7907.0,55.0,10567.0,1500.0,501.0,7095.0,1068.0,1046.0,785.0,441.0,133.0,362.0,1366.0,4347.0,1489.0,1199.0,89.0,181.0,6.0,81.0,996.0,594.0,4298.0,652.0,14120.0,15103.0,22462.0,8062.0,49066.0,38602.0,18673.0,51038.0,100105.0,100105.0,100432.0,100432.0,466.0,307632.0,239.0,401.0,78.0,87.0,1398.0,1994.0,312705.0,5876.0,314366.0,1487.0,1433.0,1803.0,318160.0
2008-06-25,27464.0,23976.0,7811.0,10883.0,10679.0,21260.0,523.0,1721.0,2573.0,2849.0,7488.0,9766.0,17254.0,1116.0,21528.0,24887.0,46531.0,48290.0,3449.0,54504.0,10709.0,19627.0,611.0,144900.0,4863.0,170679.0,167974.0,7248.0,3620.0,179477.0,4919.0,185766.0,1212.0,9033.0,195640.0,195923.0,838.0,637.0,443.0,3186.0,3263.0,515.0,4041.0,813.0,2519.0,1248.0,3893.0,3482.0,4260.0,768.0,1867.0,2822.0,2648.0,4505.0,7933.0,13505.0,15223.0,19871.0,13985.0,81.0,11615.0,10145.0,7464.0,7412.0,55.0,10049.0,1500.0,472.0,7218.0,1071.0,1059.0,766.0,424.0,129.0,345.0,1304.0,4400.0,1514.0,1198.0,78.0,176.0,5.0,85.0,926.0,556.0,3901.0,609.0,13543.0,14425.0,21489.0,7921.0,47011.0,38202.0,17908.0,50759.0,97771.0,97771.0,98081.0,98081.0,437.0,303619.0,228.0,372.0,73.0,60.0,1301.0,1863.0,311587.0,5822.0,313842.0,1430.0,1447.0,1850.0,319148.0
