, KOOTENAI - LIBBY DAM, KOOTENAI - AT LEONIA, NF FLATHEAD - NEAR COLUMBIA FALLS, MF FLATHEAD - NEAR WEST GLACIER, SF FLATHEAD - HUNGRY HORSE DAM, FLATHEAD - AT COLUMBIA FALLS, CLARK FORK - AT DEER LODGE, CLARK FORK - NR DRUMMOND, ROCK CREEK - NEAR CLINTON, BLACKFOOT - NEAR BONNER, CLARK FORK - ABOVE MISSOULA, BITTERROOT - NEAR MISSOULA, CLARK FORK - BELOW MISSOULA, ST. REGIS - NEAR ST. REGIS, CLARK FORK - AT ST REGIS, FLATHEAD - KERR DAM, CLARK FORK - NOXON RAPIDS DAM, CLARK FORK - CABINET GORGE DAM, PRIEST - NEAR PRIEST RIVER, PEND OREILLE - ALBENI FALLS DAM, COEUR D ALENE - COEUR D ALENE LAKE, SPOKANE - AT SPOKANE, SPOKANE - AT LONGLAKE, ST MARIES - NEAR SANTA, COLUMBIA - AT INTL BOUNDARY, KETTLE - AT LAURIER, COLUMBIA - GRAND COULEE DAM, COLUMBIA - CHIEF JOSEPH DAM, OKANOGAN - NEAR TONASKET, METHOW - NEAR PATEROS, COLUMBIA - WELLS DAM, CHELAN - LAKE CHELAN DAM, COLUMBIA - ROCKY REACH DAM, ENTIAT - NEAR ARDENVOIR, WENATCHEE - AT PESHASTIN, COLUMBIA - WANAPUM DAM, COLUMBIA - PRIEST RAPIDS DAM, YAKIMA - KEECHELUS LAKE, KACHESS - KACHESS DAM, YAKIMA - AT EASTON, CLE ELUM - CLE ELUM LAKE, TEANAWAY - BELOW FORKS, YAKIMA - AT UMTANUM, BUMPING - BUMPING LAKE DAM, NACHES - NEAR CLIFFDEL, TIETON - RIMROCK LAKE NEAR RIMROCK, NACHES - NEAR NACHES, YAKIMA - NEAR PARKER, YAKIMA - AT KIONA, HENRYS FORK - ISLAND PARK DAM, FALLS - NEAR CHESTER, HENRYS FORK - AT ST. ANTHONY, TETON - NEAR ST. ANTHONY, HENRYS FORK - AT REXBURG, SNAKE - JACKSON LAKE AT DAM, SNAKE - NEAR JACKSON, SNAKE - NEAR ALPINE, SF SNAKE - PALISADES DAM, SNAKE - NEAR HEISE, WILLOW CREEK - RIRIE DAM, SNAKE - AB EAGLE ROCK NR IDAHO FALLS, SNAKE - NEAR SHELLEY, SNAKE - AT BLACKFOOT, SNAKE - NEAR BLACKFOOT, PORTNEUF - AT POCATELLO, SNAKE - AMERICAN FALLS RESERVOIR, SNAKE - AT MILNER, BRUNEAU - NEAR HOT SPRINGS, SNAKE - BELOW SWAN FALLS, BIG LOST - AT HOWELL RANCH NEAR CHILLY, BIG LOST - MACKAY RESERVOIR NEAR MACKAY, BIG WOOD - AT HAILEY, BIG WOOD - MAGIC DAM, LITTLE WOOD - LITTLE WOOD DAM, OWYHEE - BELOW OWYHEE DAM, SF BOISE - ANDERSON RANCH DAM, BOISE - LUCKY PEAK DAM, BOISE - AT GLENWOOD BRIDGE, BOISE - NEAR PARMA, MALHEUR - WARM SPRINGS DAM, MALHEUR - AGENCY VALLEY DAM, BULLY CREEK - BULLY CREEK DAM, MALHEUR - NEAR VALE, NF PAYETTE - CASCADE DAM, DEADWOOD - NEAR LOWMAN, PAYETTE - NEAR EMMETT, WEISER - NEAR WEISER, SNAKE - AT WEISER, SNAKE - BROWNLEE DAM, SALMON - AT WHITEBIRD, GRANDE RONDE - TROY, SNAKE - NEAR ANATONE, CLEARWATER - AT OROFINO, CLEARWATER - DWORSHAK DAM, CLEARWATER - AT SPALDING, SNAKE - LOWER GRANITE DAM, SNAKE - LITTLE GOOSE DAM, SNAKE - LOWER MONUMENTAL DAM, SNAKE - ICE HARBOR DAM, WALLA WALLA - NEAR TOUCHET, COLUMBIA - MCNARY DAM, UMATILLA - NEAR GIBBON, UMATILLA - AT PENDLETON, MCKAY CREEK - NEAR PILOT ROCK, UMATILLA - NEAR UMATILLA, NF JOHN DAY - AT MONUMENT, JOHN DAY - AT SERVICE CK, COLUMBIA - JOHN DAY DAM, DESCHUTES - AT MOODY NR BIGGS, COLUMBIA - THE DALLES DAM, KLICKITAT - NEAR PITT, HOOD - NEAR TUCKER BRIDGE, WHITE SALMON - NEAR UNDERWOOD, COLUMBIA - BONNEVILLE DAM
2011-06-20, 53270, 30650, 14600, , , , 1500, 3940, 3490, 9100, 17120, 11770, 28910, 2520, 36180, , , , , , 15130, 21830, 22700, 750, 189930, 14910, 294240, 234460, 13770, 10550, 263720, 7800, 267070, 2040, 10000, 292530, 299600, 690, 580, 1160, 2580, 720, 5020, 1010, 3160, 1430, 6050, 7240, 7560, 2230, 3670, 5660, 3510, 7870, 8540, 12640, 16830, 27190, 19120, 470, 21450, 19130, 17470, 17920, 820, 21880, 10600, 2540, 20790, 1240, 1170, 1830, 1610, 450, 2750, 3380, 6340, 2000, 2280, 510, 460, 80, 610, 4760, 1310, 10720, 2730, 39030, 41390, 58910, 9230, 114470, 40170, 20810, 50090, 160830, 161200, 150180, 161900, 820, 457440, 360, 550, 130, 600, 5180, 7410, 460840, 6110, 447620, 3030, 1180, 1660, 466110
2011-06-21, 53850, 30388, 15175, , , , 1500, 3982, 3495, 9185, 17235, 11802, 29048, 2470, 36045, , , , , , 14738, 21598, 22480, 725, 187585, 15058, 293435, 234588, 13888, 10740, 264465, 7475, 269448, 2038, 10190, 296598, 302460, 658, 575, 1145, 2630, 765, 4955, 992, 3255, 1572, 6022, 7242, 7755, 2062, 3375, 5250, 3462, 7672, 9102, 13330, 17322, 27375, 19075, 460, 21378, 19020, 17170, 17530, 815, 21432, 10525, 2550, 20558, 1382, 1310, 1772, 1528, 422, 2582, 3505, 6300, 1968, 2222, 480, 452, 80, 600, 4400, 1280, 10450, 2490, 38272, 40798, 59498, 8642, 111142, 38248, 20585, 51215, 161892, 161765, 161675, 161065, 780, 459382, 348, 525, 108, 560, 4790, 6962, 472830, 6248, 459150, 3052, 1190, 1630, 465508
2011-06-22, 57048, 29990, 16150, , , , 1550, 4048, 3568, 9485, 17665, 12438, 30115, 2452, 36380, , , , , , 14582, 21082, 21972, 685, 186900, 15080, 292280, 225905, 14165, 11235, 256585, 7610, 262338, 2170, 11548, 291635, 297738, 655, 602, 1140, 2955, 932, 4928, 1112, 3625, 1928, 6448, 7455, 7928, 1892, 3140, 4895, 3450, 6970, 9550, 14498, 18242, 28605, 19070, 440, 21160, 18882, 16988, 17250, 800, 20888, 10405, 2240, 20028, 1675, 1605, 1830, 1518, 412, 2332, 4145, 6085, 1898, 2078, 460, 438, 80, 575, 4190, 1350, 10168, 2288, 38828, 41150, 60938, 8302, 106565, 36540, 21052, 48522, 155085, 155085, 155520, 155520, 720, 453868, 340, 495, 85, 428, 4125, 6175, 467840, 6280, 455170, 3152, 1300, 1632, 461458
2011-06-23, 61352, 29730, 17700, , , , 1692, 4268, 3830, 10018, 18618, 14042, 32665, 2505, 38330, , , , , , 15232, 20688, 21550, 658, 184892, 15130, 291922, 223910, 14588, 11735, 254458, 8838, 259675, 2290, 13478, 289445, 294940, 658, 632, 998, 3155, 1022, 5462, 1090, 3962, 2092, 7452, 8618, 8298, 1882, 3115, 4912, 3632, 6522, 10285, 16185, 19875, 30695, 19088, 420, 20495, 18238, 16412, 16668, 792, 20398, 10285, 2062, 19450, 2038, 1970, 1910, 1580, 425, 2222, 4858, 5770, 1832, 1935, 440, 428, 78, 530, 4265, 1492, 10470, 2260, 37995, 40325, 64472, 9268, 108205, 38030, 22408, 48958, 157162, 157162, 157588, 157588, 678, 448770, 365, 480, 78, 382, 3880, 5640, 460115, 6312, 448068, 3230, 1362, 1650, 454440
2011-06-24, 65892, 29565, 21515, , , , 1918, 4688, 4188, 10780, 20158, 16042, 36205, 2512, 41875, , , , , , 16100, 20432, 21260, 632, 182098, 15375, 292162, 223682, 15222, 11932, 254632, 9335, 259998, 2310, 14152, 290310, 295595, 602, 598, 895, 2885, 870, 5720, 902, 3852, 1902, 7390, 9655, 9350, 1932, 3175, 5162, 3892, 6535, 10738, 17848, 21578, 33072, 19118, 400, 20265, 17955, 15865, 16000, 790, 19665, 10165, 2060, 19058, 2100, 2052, 1938, 1650, 430, 2148, 5332, 5482, 1765, 1895, 440, 420, 70, 478, 4295, 1568, 11065, 2242, 37658, 39790, 70135, 10762, 114705, 41360, 24222, 52138, 166840, 166840, 167258, 167258, 650, 459398, 368, 500, 70, 392, 3922, 5630, 467832, 6305, 456062, 2952, 1232, 1618, 461398
2011-06-25, 66128, 28862, 22328, , , , 1905, 4818, 4352, 11355, 21352, 16832, 38182, 2415, 44665, , , , , , 15742, 20282, 21098, 605, 182235, 14978, 292145, 215952, 15962, 11402, 248295, 8168, 254905, 1998, 12900, 285518, 291055, 528, 522, 798, 2412, 635, 5422, 845, 3432, 1678, 6498, 8725, 9998, 1918, 3258, 5455, 4105, 6910, 10698, 19032, 22808, 34578, 19120, 382, 20470, 18130, 15780, 15785, 782, 19255, 10045, 2025, 18665, 1888, 1862, 1818, 1578, 420, 2070, 5425, 5335, 1705, 1850, 435, 412, 70, 428, 3882, 1482, 11165, 2080, 37472, 39575, 72272, 10598, 119260, 42235, 23758, 51098, 170355, 170355, 170760, 170760, 618, 469502, 315, 498, 65, 408, 3475, 5292, 479348, 6212, 468250, 2628, 1025, 1518, 473368
2011-06-26, 61560, 25740, 19480, , , , 1742, 4405, 4242, 11272, 20932, 15765, 36698, 2328, 43950, , , , , , 14400, 20032, 20900, 590, 180025, 14052, 291882, 203225, 16100, 10478, 233525, 6720, 238728, 1712, 11425, 266812, 272148, 490, 478, 742, 2182, 538, 5012, 788, 3102, 1675, 5540, 7100, 9385, 1818, 3068, 5232, 4028, 7302, 10372, 19452, 23170, 34788, 19052, 365, 20948, 18605, 16075, 15965, 770, 19205, 9968, 1942, 18218, 1605, 1602, 1680, 1435, 388, 1990, 5170, 5230, 1652, 1725, 420, 400, 70, 375, 3550, 1355, 10610, 1852, 36372, 38585, 67910, 9588, 115855, 39618, 21955, 47450, 163305, 163305, 163700, 163700, 590, 453910, 270, 452, 60, 382, 3005, 4730, 468362, 6128, 458508, 2428, 902, 1415, 464958
2011-06-27, 56998, 25222, 18675, 13120, 17300, 33840, 1692, 4065, 4125, 10928, 20040, 14842, 34882, 2278, 41698, 50250, 97070, 108320, 6290, 115750, 13625, 19058, 20212, 588, 176602, 13552, 291198, 206748, 15422, 9842, 235160, 6550, 239338, 1575, 10985, 264862, 269290, 488, 475, 715, 2262, 552, 4718, 720, 2918, 1675, 5252, 6215, 7920, 1725, 2835, 4810, 3895, 7202, 9620, 18998, 22480, 33832, 19030, 348, 21240, 18942, 16430, 16258, 758, 19398, 9918, 1820, 17738, 1462, 1475, 1588, 1308, 368, 1918, 4960, 5132, 1600, 1630, 408, 392, 68, 345, 3400, 1310, 10072, 1668, 34812, 36990, 63220, 9022, 109612, 37505, 20812, 45102, 154715, 154715, 155100, 155100, 570, 434770, 235, 405, 60, 345, 2668, 4278, 446128, 6065, 436740, 2315, 832, 1342, 442518
2011-06-28, 53132, 24762, 18035, 13298, 17245, 33242, 1682, 3810, 4082, 10560, 19302, 13978, 33280, 2208, 39750, 47302, 94445, 105108, 6238, 112638, 13210, 17140, 18425, 572, 173132, 13062, 289538, 212768, 14582, 9530, 240442, 6852, 245182, 1502, 10882, 270602, 274755, 468, 460, 682, 2162, 520, 4455, 658, 2682, 1630, 4895, 5518, 7112, 1690, 2735, 4605, 3922, 6835, 9145, 18582, 21922, 32795, 19040, 335, 21090, 18840, 16430, 16245, 750, 19475, 9868, 1685, 17272, 1400, 1425, 1540, 1248, 352, 1852, 4788, 5038, 1550, 1542, 395, 382, 60, 305, 3225, 1255, 9835, 1540, 33590, 35618, 60702, 8662, 105718, 36125, 19352, 43658, 149372, 149372, 149745, 149745, 552, 431675, 212, 370, 52, 288, 2450, 3965, 439868, 6025, 430725, 2202, 868, 1280, 435212
2011-06-29, 53588, 24568, 17678, 15482, 19300, 36208, 1692, 3608, 4100, 10240, 18748, 13190, 31935, 2180, 38015, 46070, 92018, 101845, 6145, 108645, 13358, 15170, 16468, 572, 169562, 12740, 287150, 212540, 13942, 9468, 239030, 7705, 243868, 1475, 10818, 269265, 273368, 480, 462, 660, 2175, 568, 4230, 610, 2598, 1710, 4798, 4920, 6468, 1658, 2668, 4438, 4025, 6590, 9030, 18708, 22008, 32438, 19025, 318, 20818, 18578, 16115, 15908, 740, 19182, 9818, 1575, 16870, 1328, 1365, 1490, 1188, 340, 1790, 4618, 4948, 1492, 1440, 382, 372, 60, 262, 3020, 1192, 9538, 1425, 32640, 34595, 58715, 9025, 103522, 35142, 18238, 42570, 146090, 146090, 146458, 146458, 545, 429225, 220, 338, 50, 248, 2295, 3755, 438002, 6190, 429762, 2172, 1112, 1300, 434445
