, LIBBY DAM, KOOTENAI RIV AT LEONIA, NF FLATHEAD R NR COLUMBIA FALL, MF FLATHEAD NR WEST GLACIER, DAM AT HUNGRY HORSE, FLATHEAD R AT COLUMBIA FALLS, CLARK FORK AT DEER LODGE, CLARK FORK AT DRUMMOND, ROCK CREEK NR CLINTON, BLACKFOOT R NR BONNER, CLARK FORK AB MISSOULA, BITTERROOT R NR MISSOULA, CLARK FORK BELOW MISSOULA, ST. REGIS R. NR ST. REGIS, CLARK FORK AT ST REGIS    TB20, KERR DAM, NOXON RAPIDS DAM, CABINET GORGE DAM, PRIEST R NR PRIEST RIVER, ALBENI FALLS DAM, COEUR D'ALENE LAKE, SPOKANE RIV AT LONGLAKE, ST MARIES R NR SANTA, COLUMBIAR @INTERNATL BOUNDAR, KETTLE RIVER AT LAURIER, GRAND COULEE DAM, CHIEF JOSEPH DAM, OKANOGAN RIVER NEAR TONASKET, METHOW R NEAR PATEROS, WELLS DAM, LAKE CHELAN DAM, ROCKY REACH DAM, ENTIAT R NR ARDENVOIR, WENATCHEE R AT PESHASTIN  TB20, WANAPUM DAM, PRIEST RAPIDS DAM, KEECHELUS LAKE, KACHESS DAM NEAR EASTON, YAKIMA RIVER AT EASTON, CLE ELUM LAKE NEAR ROSLYN, YAKIMA RIVER AT CLE ELUM, TEANAWAY RIVER BLW FORKS, YAKIMA RIVER AT UMTANUM, BUMPING LAKE NR GOOSE PRAIRIE, NACHES RIVER NEAR CLIFFDEL, RIMROCK LAKE NEAR RIMROCK, NACHES RIVER NEAR NACHES, YAKIMA RIVER NEAR PARKER, YAKIMA RIVER AT KIONA, ISLAND PARK 1SWIS.PARKDM&RES, FALL RIVER NR CHESTER, HENRYS FORK AT ST. ANTHONY, TETON RIVER NEAR ST. ANTHONY, HENRYS FORK NEAR REXBURG, SNKE R ON JACKSN LK AT DM TB20, SNAKE RIVER NR JACKSON, SNAKE RIVER NR ALPINE, PALISADES DAM, SNAKE RIVER NR HEISE, RIRIE DAM AND LAKE ON WILLOW C, SNAKE AB EAGLE ROCK NR ID FALL, SNAKE RIVER NR SHELLEY, SNAKE RIVER AT BLACKFOOT, SNAKE RIVER NEAR BLACKFOOT, PORTNEUF RIVER AT POCATELLO, AMERICAN FALLS RESERVOIR  TB12, SNAKE RIV AT MILNER, BRUNEAU RIVER NR HOT SPRINGS, SNAKE RIVER BELOW SWAN FALLS, BIG LOST R@HOW'L RNCH NR CHILL, BIG LOST R AT MACKAY, BIG WOOD RIVER AT HAILEY, MAGIC DM&RES-BIG WOOD RICHFLD, LITL.WOODDM&RESNRCAREY, OWYHEE BELOW OWYHEE DAM, ANDERSON RANCH DAM        TB12, BOISE LUCKY PEAK DAM, BOISE RIVER AT GLENWOOD BRIDGE, BOISE RIVER NR PARMA, WARM SPRINGS RESERVOIR, AGENCY VLY DAM & BEULAH RSVR, BULLY CREEK DAM & RES     TB12, MALHEUR RIVER NR VALE, CASCADE DAM               TB12, DEADWOOD RESERVOIR NR LOWMAN, PAYETTE RIVER NEAR EMMETT, WEISER RIVER NR WEISER, SNAKE RIVER AT WEISER, BROWNLEE DAM, SALMON R AT WHITEBIRD, GRANDE RONDE RIVER AT TROY, SNAKE RIVER NR ANATONE, CLEARWATER R AT OROFINO, DWORSHAK DAM, CLEARWATER R AT SPALDING, LOWER GRANITE DAM, LITTLE GOOSE DAM, LOWER MONUMENTAL DAM, ICE HARBOR DAM, WALLA WALLA RIV NEAR TOUCHET, MCNARY DAM NEAR MCNARY, UMATILLA R NR GIBBON, UMATILLA R AT PENDLETON, MCKAY CR NR PILOTROCK, UMATILLA RIVER NEAR UMATILLA, NF JOHN DAY RIV AT MONUMENT, JOHN DAY RIVER AT SERVICE CK, JOHN DAY DAM, DESCHUTES R AT MOODY NR BIGGS, THE DALLES, KLICKITAT R NR PITT, HOOD R AT TUCKER BRIDGE   TB20, WHITE SALMON R NEAR UNDERWOOD, BONNEVILLE DAM
2004-06-01,20040.0,17977.0,6294.0,6186.0,9582.0,17190.0,130.0,782.0,994.0,3164.0,5194.0,5518.0,10968.0,1061.0,16239.0,20444.0,42127.0,44363.0,3875.0,54354.0,14574.0,14317.0,767.0,112937.0,9705.0,134725.0,105689.0,7233.0,2904.0,114438.0,3128.0,114922.0,681.0,5571.0,130124.0,129136.0,569.0,370.0,245.0,1490.0,718.0,346.0,1524.0,514.0,1611.0,812.0,2202.0,636.0,2019.0,867.0,1469.0,2246.0,1193.0,2678.0,3203.0,7885.0,9159.0,11744.0,13560.0,100.0,10816.0,9498.0,7439.0,8073.0,150.0,10851.0,260.0,757.0,6530.0,525.0,516.0,560.0,290.0,117.0,882.0,1357.0,2992.0,915.0,1323.0,125.0,181.0,34.0,67.0,2209.0,673.0,5779.0,1661.0,17416.0,19457.0,27339.0,8492.0,66616.0,32956.0,20724.0,53968.0,120584.0,120584.0,121269.0,121269.0,1373.0,243617.0,571.0,1488.0,260.0,1735.0,4520.0,6227.0,263278.0,6324.0,253979.0,1532.0,990.0,1332.0,284462.0
2004-06-02,19603.0,17993.0,5840.0,5995.0,9090.0,16726.0,113.0,729.0,981.0,2978.0,4873.0,5122.0,10150.0,1011.0,14943.0,20017.0,39369.0,41494.0,3875.0,50145.0,13115.0,14129.0,647.0,119285.0,8856.0,142575.0,114922.0,7214.0,2729.0,125239.0,2939.0,127854.0,613.0,4914.0,146354.0,146139.0,495.0,515.0,226.0,1380.0,839.0,329.0,1512.0,526.0,1509.0,817.0,2207.0,634.0,1892.0,837.0,1428.0,2323.0,1180.0,2397.0,3250.0,9007.0,10126.0,12497.0,12729.0,94.0,9078.0,7692.0,6132.0,7009.0,130.0,9843.0,260.0,715.0,6359.0,662.0,654.0,591.0,285.0,113.0,829.0,1384.0,2959.0,922.0,1234.0,114.0,180.0,32.0,66.0,1880.0,703.0,5285.0,1417.0,16229.0,18104.0,26165.0,7623.0,58286.0,30547.0,18471.0,50849.0,109135.0,109135.0,109794.0,109794.0,1161.0,257011.0,485.0,1258.0,247.0,1455.0,4009.0,5433.0,268341.0,5980.0,259837.0,1427.0,884.0,1265.0,262814.0
2004-06-03,19590.0,17738.0,5476.0,5870.0,8462.0,16136.0,93.0,673.0,1033.0,2791.0,4638.0,4924.0,9614.0,999.0,13765.0,19100.0,35459.0,37466.0,3875.0,45904.0,11260.0,12436.0,600.0,116368.0,8125.0,137503.0,113984.0,6799.0,2588.0,124338.0,2855.0,127399.0,613.0,4505.0,145640.0,145745.0,483.0,572.0,242.0,1514.0,909.0,356.0,1519.0,602.0,1649.0,1053.0,2243.0,529.0,1805.0,898.0,1496.0,2444.0,1296.0,2258.0,3587.0,10412.0,11474.0,13881.0,12274.0,90.0,7621.0,6104.0,4583.0,5462.0,109.0,8401.0,260.0,662.0,6253.0,748.0,740.0,628.0,293.0,109.0,780.0,1389.0,2931.0,924.0,1176.0,102.0,179.0,31.0,66.0,1621.0,741.0,5006.0,1226.0,15182.0,16919.0,26137.0,6851.0,54970.0,29057.0,16722.0,47079.0,102049.0,102049.0,102682.0,102682.0,994.0,254820.0,428.0,1080.0,246.0,1140.0,3584.0,4854.0,267699.0,5871.0,259652.0,1356.0,818.0,1212.0,263636.0
2004-06-04,20222.0,17451.0,5569.0,6743.0,8004.0,16152.0,87.0,628.0,1208.0,2656.0,4583.0,5005.0,9587.0,1063.0,13214.0,18633.0,32121.0,34025.0,3875.0,42154.0,10111.0,10982.0,568.0,116623.0,7508.0,135212.0,107031.0,6553.0,2701.0,117569.0,3013.0,121255.0,641.0,4590.0,139740.0,140078.0,491.0,551.0,269.0,1725.0,1000.0,422.0,1596.0,692.0,1937.0,1336.0,2512.0,727.0,1742.0,1044.0,1694.0,2773.0,1540.0,2436.0,4274.0,12817.0,13767.0,15847.0,12231.0,86.0,7318.0,5637.0,3742.0,4178.0,103.0,7021.0,260.0,612.0,6200.0,815.0,808.0,669.0,335.0,105.0,735.0,1425.0,2907.0,927.0,1169.0,94.0,178.0,29.0,65.0,1442.0,775.0,5027.0,1080.0,14513.0,16052.0,26689.0,6189.0,53270.0,31162.0,15635.0,47432.0,100702.0,100702.0,101310.0,101310.0,869.0,247926.0,387.0,938.0,221.0,936.0,3240.0,4402.0,259992.0,5841.0,251955.0,1303.0,799.0,1210.0,255894.0
2004-06-05,21511.0,17256.0,5710.0,8601.0,7701.0,16573.0,88.0,597.0,1327.0,2634.0,4673.0,5369.0,10041.0,1108.0,13301.0,18531.0,30114.0,31926.0,3875.0,39719.0,9412.0,10154.0,540.0,117883.0,7008.0,134685.0,93203.0,6585.0,3060.0,103872.0,3156.0,107737.0,641.0,4911.0,126480.0,127056.0,477.0,525.0,302.0,1826.0,1102.0,450.0,1775.0,707.0,2098.0,1345.0,2683.0,1142.0,1849.0,1140.0,1617.0,2795.0,1726.0,2867.0,4612.0,14386.0,15798.0,18275.0,12177.0,83.0,7592.0,5864.0,3876.0,3768.0,97.0,6299.0,260.0,563.0,6147.0,773.0,766.0,693.0,352.0,101.0,691.0,1446.0,2892.0,929.0,1178.0,87.0,176.0,28.0,65.0,1322.0,780.0,5255.0,971.0,14286.0,15667.0,27707.0,5667.0,52748.0,32353.0,14854.0,47775.0,100523.0,100523.0,101105.0,101105.0,779.0,239174.0,357.0,821.0,194.0,792.0,2959.0,4031.0,251447.0,5811.0,243497.0,1260.0,811.0,1228.0,247631.0
2004-06-06,22678.0,17803.0,5766.0,9704.0,7406.0,18302.0,96.0,583.0,1373.0,2690.0,4738.0,5572.0,10310.0,1143.0,13647.0,19720.0,29367.0,31108.0,3875.0,38704.0,8894.0,9584.0,520.0,124753.0,6586.0,139366.0,92266.0,6734.0,3276.0,101088.0,3114.0,102844.0,609.0,5125.0,118866.0,118832.0,438.0,481.0,320.0,1754.0,1195.0,422.0,1930.0,644.0,2015.0,1158.0,2602.0,1372.0,2156.0,1021.0,1598.0,2801.0,1715.0,3154.0,4662.0,14808.0,16345.0,19126.0,12091.0,80.0,8105.0,6380.0,4392.0,4037.0,99.0,6413.0,260.0,519.0,6201.0,687.0,680.0,717.0,404.0,99.0,647.0,1481.0,2884.0,931.0,1280.0,90.0,175.0,26.0,64.0,1368.0,775.0,5452.0,889.0,14346.0,15619.0,27794.0,5522.0,52672.0,32247.0,14631.0,46375.0,99047.0,99047.0,99608.0,99608.0,716.0,225428.0,334.0,726.0,176.0,688.0,2734.0,3739.0,237320.0,5753.0,229430.0,1223.0,773.0,1221.0,233814.0
2004-06-07,24219.0,18171.0,5998.0,8842.0,7122.0,19743.0,135.0,620.0,1416.0,3058.0,5176.0,5870.0,11046.0,1119.0,13923.0,21939.0,29428.0,31052.0,3875.0,38403.0,8460.0,9202.0,496.0,126579.0,6116.0,142038.0,118437.0,6718.0,3143.0,127852.0,2888.0,129364.0,522.0,4983.0,142814.0,141816.0,384.0,418.0,327.0,1513.0,1268.0,350.0,1978.0,564.0,1849.0,941.0,2411.0,1281.0,2408.0,905.0,1547.0,2789.0,1674.0,3295.0,4523.0,14703.0,16225.0,19068.0,12028.0,77.0,8746.0,7111.0,5019.0,4535.0,111.0,6955.0,260.0,479.0,6196.0,599.0,592.0,715.0,445.0,94.0,603.0,1518.0,2876.0,934.0,1308.0,84.0,174.0,25.0,64.0,1282.0,729.0,5577.0,826.0,14482.0,15704.0,28532.0,5343.0,52671.0,29952.0,13742.0,43721.0,96392.0,96392.0,96934.0,96934.0,663.0,228050.0,314.0,643.0,157.0,557.0,2534.0,3489.0,234953.0,5679.0,226182.0,1180.0,680.0,1170.0,228730.0
2004-06-08,24301.0,17976.0,5811.0,7411.0,6728.0,18345.0,134.0,678.0,1271.0,3400.0,5445.0,5717.0,11162.0,1000.0,14436.0,22030.0,29767.0,31258.0,3875.0,38369.0,7694.0,8604.0,473.0,126487.0,5624.0,140917.0,117122.0,6467.0,2808.0,126533.0,2655.0,129036.0,449.0,4521.0,144110.0,144223.0,346.0,375.0,338.0,1338.0,1378.0,287.0,1989.0,513.0,1717.0,845.0,2248.0,1082.0,2420.0,793.0,1298.0,2563.0,1532.0,3209.0,4098.0,14225.0,15690.0,18510.0,11938.0,74.0,8614.0,7068.0,5378.0,5055.0,98.0,7540.0,260.0,444.0,6114.0,489.0,482.0,680.0,391.0,89.0,561.0,1479.0,2860.0,936.0,1263.0,74.0,173.0,23.0,63.0,1104.0,653.0,5262.0,768.0,14372.0,15658.0,27228.0,4941.0,52318.0,26619.0,12481.0,39167.0,91485.0,91485.0,92005.0,92005.0,620.0,242420.0,297.0,588.0,141.0,430.0,2359.0,3253.0,250898.0,5629.0,242100.0,1140.0,634.0,1103.0,244327.0
2004-06-09,22786.0,17692.0,4951.0,6375.0,6017.0,16416.0,109.0,625.0,1120.0,3374.0,5265.0,5053.0,10318.0,865.0,13995.0,19936.0,29811.0,31227.0,3875.0,38248.0,6992.0,7877.0,452.0,126353.0,5171.0,139609.0,122451.0,6088.0,2517.0,131472.0,2512.0,133962.0,401.0,4040.0,147533.0,147406.0,321.0,351.0,351.0,1258.0,1542.0,249.0,2088.0,488.0,1642.0,818.0,2142.0,998.0,2288.0,726.0,1036.0,2258.0,1355.0,2874.0,3613.0,13668.0,15024.0,17681.0,11829.0,71.0,8194.0,6653.0,5084.0,5003.0,88.0,7746.0,260.0,412.0,6041.0,414.0,409.0,651.0,339.0,85.0,528.0,1430.0,2843.0,938.0,1214.0,65.0,172.0,22.0,63.0,966.0,609.0,4685.0,717.0,13729.0,15090.0,24100.0,4516.0,48686.0,24225.0,11178.0,35237.0,83924.0,83924.0,84420.0,84420.0,583.0,236225.0,282.0,542.0,128.0,335.0,2210.0,3052.0,245735.0,5603.0,237448.0,1103.0,606.0,1061.0,240842.0
2004-06-10,21066.0,17384.0,4381.0,5857.0,5334.0,15164.0,90.0,566.0,1035.0,3177.0,4907.0,4497.0,9405.0,791.0,12939.0,17909.0,28911.0,30275.0,3875.0,37258.0,6430.0,7279.0,432.0,125772.0,4767.0,138190.0,121073.0,5713.0,2330.0,129634.0,2419.0,132384.0,367.0,3685.0,145627.0,145750.0,297.0,331.0,365.0,1190.0,1711.0,224.0,2219.0,458.0,1587.0,781.0,2068.0,1022.0,2188.0,699.0,902.0,2091.0,1267.0,2448.0,3442.0,13159.0,14437.0,16923.0,10146.0,68.0,7220.0,5826.0,4505.0,4531.0,88.0,7436.0,260.0,384.0,6008.0,374.0,368.0,639.0,320.0,82.0,499.0,1376.0,2826.0,941.0,1202.0,58.0,171.0,21.0,62.0,852.0,584.0,4265.0,674.0,12988.0,14312.0,21918.0,4136.0,44740.0,22535.0,10205.0,32248.0,76987.0,76987.0,77461.0,77461.0,554.0,230535.0,268.0,502.0,119.0,258.0,2047.0,2865.0,240041.0,5572.0,231726.0,1071.0,578.0,1035.0,235000.0
