, KOOTENAI - LIBBY DAM, KOOTENAI - AT LEONIA, NF FLATHEAD - NEAR COLUMBIA FALLS, MF FLATHEAD - NEAR WEST GLACIER, SF FLATHEAD - HUNGRY HORSE DAM, FLATHEAD - AT COLUMBIA FALLS, CLARK FORK - AT DEER LODGE, CLARK FORK - NR DRUMMOND, ROCK CREEK - NEAR CLINTON, BLACKFOOT - NEAR BONNER, CLARK FORK - ABOVE MISSOULA, BITTERROOT - NEAR MISSOULA, CLARK FORK - BELOW MISSOULA, ST. REGIS - NEAR ST. REGIS, CLARK FORK - AT ST REGIS, FLATHEAD - KERR DAM, CLARK FORK - NOXON RAPIDS DAM, CLARK FORK - CABINET GORGE DAM, PRIEST - NEAR PRIEST RIVER, PEND OREILLE - ALBENI FALLS DAM, COEUR D ALENE - COEUR D ALENE LAKE, SPOKANE - AT SPOKANE, SPOKANE - AT LONGLAKE, ST MARIES - NEAR SANTA, COLUMBIA - AT INTL BOUNDARY, KETTLE - AT LAURIER, COLUMBIA - GRAND COULEE DAM, COLUMBIA - CHIEF JOSEPH DAM, OKANOGAN - NEAR TONASKET, METHOW - NEAR PATEROS, COLUMBIA - WELLS DAM, CHELAN - LAKE CHELAN DAM, COLUMBIA - ROCKY REACH DAM, ENTIAT - NEAR ARDENVOIR, WENATCHEE - AT PESHASTIN, COLUMBIA - WANAPUM DAM, COLUMBIA - PRIEST RAPIDS DAM, YAKIMA - KEECHELUS LAKE, KACHESS - KACHESS DAM, YAKIMA - AT EASTON, CLE ELUM - CLE ELUM LAKE, TEANAWAY - BELOW FORKS, YAKIMA - AT UMTANUM, BUMPING - BUMPING LAKE DAM, NACHES - NEAR CLIFFDEL, TIETON - RIMROCK LAKE NEAR RIMROCK, NACHES - NEAR NACHES, YAKIMA - NEAR PARKER, YAKIMA - AT KIONA, HENRYS FORK - ISLAND PARK DAM, FALLS - NEAR CHESTER, HENRYS FORK - AT ST. ANTHONY, TETON - NEAR ST. ANTHONY, HENRYS FORK - AT REXBURG, SNAKE - JACKSON LAKE AT DAM, SNAKE - NEAR JACKSON, SNAKE - NEAR ALPINE, SF SNAKE - PALISADES DAM, SNAKE - NEAR HEISE, WILLOW CREEK - RIRIE DAM, SNAKE - AB EAGLE ROCK NR IDAHO FALLS, SNAKE - NEAR SHELLEY, SNAKE - AT BLACKFOOT, SNAKE - NEAR BLACKFOOT, PORTNEUF - AT POCATELLO, SNAKE - AMERICAN FALLS RESERVOIR, SNAKE - AT MILNER, BRUNEAU - NEAR HOT SPRINGS, SNAKE - BELOW SWAN FALLS, BIG LOST - AT HOWELL RANCH NEAR CHILLY, BIG LOST - MACKAY RESERVOIR NEAR MACKAY, BIG WOOD - AT HAILEY, BIG WOOD - MAGIC DAM, LITTLE WOOD - LITTLE WOOD DAM, OWYHEE - BELOW OWYHEE DAM, SF BOISE - ANDERSON RANCH DAM, BOISE - LUCKY PEAK DAM, BOISE - AT GLENWOOD BRIDGE, BOISE - NEAR PARMA, MALHEUR - WARM SPRINGS DAM, MALHEUR - AGENCY VALLEY DAM, BULLY CREEK - BULLY CREEK DAM, MALHEUR - NEAR VALE, NF PAYETTE - CASCADE DAM, DEADWOOD - NEAR LOWMAN, PAYETTE - NEAR EMMETT, WEISER - NEAR WEISER, SNAKE - AT WEISER, SNAKE - BROWNLEE DAM, SALMON - AT WHITEBIRD, GRANDE RONDE - TROY, SNAKE - NEAR ANATONE, CLEARWATER - AT OROFINO, CLEARWATER - DWORSHAK DAM, CLEARWATER - AT SPALDING, SNAKE - LOWER GRANITE DAM, SNAKE - LITTLE GOOSE DAM, SNAKE - LOWER MONUMENTAL DAM, SNAKE - ICE HARBOR DAM, WALLA WALLA - NEAR TOUCHET, COLUMBIA - MCNARY DAM, UMATILLA - NEAR GIBBON, UMATILLA - AT PENDLETON, MCKAY CREEK - NEAR PILOT ROCK, UMATILLA - NEAR UMATILLA, NF JOHN DAY - AT MONUMENT, JOHN DAY - AT SERVICE CK, COLUMBIA - JOHN DAY DAM, DESCHUTES - AT MOODY NR BIGGS, COLUMBIA - THE DALLES DAM, KLICKITAT - NEAR PITT, HOOD - NEAR TUCKER BRIDGE, WHITE SALMON - NEAR UNDERWOOD, COLUMBIA - BONNEVILLE DAM
2011-07-07, 44430, 21250, 13300, 14620, 20470, 36290, 1540, 2740, 2520, 6940, 12980, 11730, 24490, 2120, 31210, 46210, 87300, 90480, 4180, 95150, 10530, 11580, 12100, 340, 177348, 7890, 258280, 223690, 9130, 7790, 250340, 7570, 262800, 1900, 10850, 287350, 286690, 550, 570, 470, 2620, 430, 3660, 950, 3000, 1510, 4620, 3920, 4910, 1130, 2890, 4290, 5150, 6850, 8540, 16660, 23160, 31470, 23780, 220, 19790, 17970, 15470, 14030, 290, 16050, 1500, 1320, 5940, 1630, 1040, 1750, 1520, 530, 1350, 2630, 6430, 3900, 3420, 270, 170, 40, 140, 3070, 710, 8990, 1400, 20620, 24840, 49400, 6970, 87730, 30570, 16370, 44670, 132410, 133260, 135020, 138680, 180, 400430, 90, 150, 40, 250, 1660, 2410, 389860, 5430, 374830, 2350, 800, 1320, 429610
2011-07-08, 44650, 21165, 13528, 14185, 20225, 36365, 1552, 2735, 2535, 6760, 12695, 11625, 24125, 2080, 30258, 46388, 84952, 88938, 4215, 92990, 10238, 11100, 11715, 335, 174790, 7755, 259335, 222798, 9095, 7548, 246258, 8472, 257115, 1945, 11050, 283942, 284160, 528, 552, 452, 2495, 362, 3685, 875, 2945, 1445, 4578, 4142, 4795, 1135, 2908, 4320, 5105, 6850, 8372, 16560, 22742, 30910, 24580, 218, 21490, 19895, 17128, 15538, 302, 16890, 1500, 1295, 5915, 1570, 975, 1712, 1438, 535, 1355, 2612, 6145, 3870, 3472, 245, 280, 40, 150, 3210, 680, 8830, 1345, 20678, 24440, 49998, 7298, 87632, 29822, 16308, 43380, 131012, 131360, 140905, 146262, 180, 403232, 90, 138, 40, 265, 1612, 2330, 401888, 5482, 388422, 2240, 722, 1298, 394155
2011-07-09, 44418, 20975, 14030, 13165, 18855, 36210, 1638, 2960, 2590, 6598, 12702, 11390, 23945, 1980, 29512, 46458, 80592, 85842, 4208, 89452, 9528, 10532, 11250, 322, 172825, 7465, 265052, 217645, 9202, 7342, 238888, 7778, 250468, 1832, 10505, 276528, 277142, 478, 488, 475, 2035, 232, 3558, 788, 2688, 1188, 4265, 3890, 4762, 1170, 2992, 4498, 5205, 6978, 8342, 16692, 22378, 30158, 24618, 205, 24190, 22880, 20418, 18860, 315, 19775, 1500, 1238, 6520, 1500, 908, 1670, 1422, 508, 1358, 2488, 5860, 3860, 3512, 245, 275, 40, 175, 2650, 628, 8545, 1318, 20200, 24010, 50490, 7310, 88975, 29835, 15932, 43830, 132805, 133142, 142195, 147172, 178, 406505, 80, 130, 32, 272, 1545, 2272, 406495, 5468, 395538, 1918, 605, 1192, 399340
2011-07-10, 41968, 20690, 13068, 11202, 16060, 33728, 1422, 2765, 2425, 6400, 12385, 10158, 22442, 1888, 28568, 44955, 77405, 84030, 4198, 86905, 8458, 9408, 10265, 310, 170160, 7088, 258352, 205000, 9365, 6465, 223375, 6068, 232690, 1590, 9242, 254942, 255572, 415, 408, 522, 1575, 170, 3462, 702, 2362, 1058, 3825, 3282, 4585, 1138, 2725, 4192, 5138, 7115, 8072, 16050, 21022, 28668, 24550, 198, 24588, 23408, 21740, 20550, 300, 22325, 1500, 1170, 7070, 1388, 795, 1555, 1305, 448, 1275, 2208, 5632, 3860, 3490, 232, 268, 40, 188, 2168, 560, 7848, 1192, 19530, 22862, 46185, 6492, 85618, 27085, 13938, 42250, 127862, 128182, 136748, 141345, 162, 392525, 80, 122, 30, 245, 1480, 2185, 397362, 5460, 389162, 1760, 578, 1132, 393965
2011-07-11, 37730, 20342, 11860, 9885, 14322, 31152, 1265, 2445, 2215, 6108, 11508, 8725, 20178, 1800, 26190, 41585, 72815, 80372, 4055, 83042, 7560, 8415, 9265, 300, 166888, 6645, 249495, 216250, 9005, 5610, 231428, 5420, 237922, 1482, 8735, 254575, 254120, 405, 385, 570, 1512, 152, 3452, 662, 2165, 1135, 3530, 2815, 4125, 1085, 2402, 3700, 4875, 6815, 7225, 16128, 20145, 26598, 24472, 188, 24552, 23410, 21852, 20768, 285, 22882, 1500, 1105, 7045, 1292, 700, 1450, 1182, 410, 1205, 2010, 5408, 3655, 3400, 220, 260, 35, 198, 1872, 515, 7050, 1075, 19385, 22402, 41385, 5815, 77670, 24148, 12355, 39695, 117365, 115310, 123382, 127602, 140, 372132, 80, 120, 30, 210, 1420, 2085, 375982, 5445, 369932, 1732, 598, 1178, 374568
2011-07-12, 35892, 20025, 11742, 9302, 13690, 30195, 1200, 2268, 2045, 5780, 10702, 7582, 18278, 1722, 23895, 39202, 68065, 75290, 3792, 77702, 6920, 7705, 8540, 290, 163698, 6220, 241960, 236875, 8295, 5248, 252730, 5712, 259918, 1460, 8885, 275698, 275080, 410, 390, 622, 1600, 140, 3508, 632, 2030, 1175, 3332, 2588, 3695, 1058, 2178, 3378, 4750, 6282, 6605, 16720, 20420, 26608, 24405, 180, 24075, 22965, 21525, 20548, 280, 22790, 1500, 1045, 6970, 1230, 640, 1395, 1115, 392, 1168, 1888, 5182, 3195, 3040, 210, 258, 30, 185, 1662, 482, 6465, 980, 18595, 21505, 38920, 5570, 73112, 22485, 11412, 37805, 110920, 109362, 116950, 120790, 128, 377912, 80, 110, 28, 192, 1355, 2000, 376225, 5425, 371475, 1712, 585, 1200, 373962
2011-07-13, 35495, 19748, 12272, 9028, 13345, 30392, 1155, 2150, 1905, 5485, 10065, 6642, 16712, 1655, 21995, 38470, 64522, 71432, 3532, 73402, 6375, 7152, 8020, 282, 160958, 5842, 234692, 240000, 7912, 5130, 255268, 6268, 262945, 1470, 9042, 278668, 278660, 395, 382, 675, 1565, 132, 3600, 600, 1882, 1112, 3135, 2465, 3442, 1058, 2110, 3308, 4702, 5880, 6285, 16482, 19855, 25842, 24345, 175, 23480, 22358, 20902, 19985, 298, 22330, 1500, 990, 6900, 1185, 590, 1362, 1095, 378, 1135, 1778, 4958, 2735, 2660, 212, 250, 30, 148, 1472, 458, 6032, 908, 17562, 20208, 37685, 5482, 70112, 21372, 10742, 36645, 106758, 107035, 114135, 117592, 120, 391732, 72, 108, 20, 188, 1298, 1922, 392480, 5405, 390005, 1650, 552, 1160, 392558
2011-07-14, 35510, 19508, 12550, 8782, 12878, 30440, 1120, 2070, 1795, 5248, 9565, 5870, 15438, 1585, 20400, 38302, 62072, 68770, 3275, 70375, 5835, 6535, 7535, 280, 158482, 5668, 228862, 240000, 7905, 5028, 254735, 6480, 262422, 1452, 8890, 276555, 276652, 388, 370, 728, 1505, 128, 3692, 568, 1745, 1075, 2942, 2330, 3305, 1055, 1985, 3245, 4510, 5722, 6050, 16270, 19245, 25025, 24285, 165, 23078, 21922, 20338, 19440, 312, 21765, 1500, 945, 6840, 1135, 545, 1325, 1068, 350, 1100, 1665, 4732, 2270, 2240, 202, 248, 30, 115, 1448, 430, 5620, 840, 16640, 19008, 36435, 5412, 67570, 20095, 10168, 35428, 102995, 103255, 109870, 112945, 118, 392115, 70, 100, 20, 178, 1240, 1855, 394952, 5390, 394948, 1595, 532, 1132, 398175
2011-07-15, 36602, 19290, 12805, 9630, 12915, 29792, 1110, 2005, 1762, 5085, 9242, 5512, 14752, 1550, 19218, 38038, 60512, 67102, 3005, 67800, 5502, 5672, 6650, 278, 156072, 6248, 224422, 232500, 8200, 5098, 248608, 7078, 257650, 1395, 8430, 271265, 271758, 370, 348, 778, 1420, 120, 3770, 532, 1602, 1015, 2752, 2180, 3195, 1028, 1825, 3045, 4200, 5522, 5572, 15672, 18285, 23880, 24175, 160, 22860, 21695, 19995, 19115, 302, 21328, 1500, 895, 6782, 1100, 505, 1285, 1005, 325, 1075, 1575, 4522, 1815, 1702, 180, 240, 28, 78, 1770, 415, 5260, 792, 15485, 17598, 35318, 5512, 64982, 18965, 9572, 34145, 99128, 99372, 105498, 108200, 108, 388495, 70, 98, 20, 162, 1195, 1792, 392222, 5372, 393670, 1545, 545, 1115, 397180
2011-07-16, 39532, 19105, 13545, 10422, 13432, 29630, 1092, 1955, 1792, 5045, 9158, 5512, 14672, 1475, 18775, 37545, 59398, 65920, 2750, 66040, 5470, 5792, 6638, 262, 153675, 6652, 221135, 212500, 8905, 4980, 228818, 7188, 238010, 1362, 7892, 250278, 251190, 438, 375, 780, 1465, 128, 3872, 525, 1545, 1332, 2635, 2088, 3098, 1000, 1690, 2855, 3955, 5150, 5098, 15080, 17422, 22722, 23905, 150, 22508, 21358, 19682, 18860, 288, 21020, 1500, 855, 6730, 1065, 468, 1230, 948, 305, 1045, 1475, 4455, 1608, 1360, 175, 235, 20, 50, 1365, 390, 5105, 742, 14582, 16308, 35342, 6518, 64238, 19262, 9382, 34218, 98458, 98690, 104325, 106648, 100, 372795, 70, 92, 20, 150, 1150, 1750, 378995, 5355, 380822, 1570, 582, 1138, 385365
