, KOOTENAI - LIBBY DAM, KOOTENAI - AT LEONIA, NF FLATHEAD - NEAR COLUMBIA FALLS, MF FLATHEAD - NEAR WEST GLACIER, SF FLATHEAD - HUNGRY HORSE DAM, FLATHEAD - AT COLUMBIA FALLS, CLARK FORK - AT DEER LODGE, CLARK FORK - NR DRUMMOND, ROCK CREEK - NEAR CLINTON, BLACKFOOT - NEAR BONNER, CLARK FORK - ABOVE MISSOULA, BITTERROOT - NEAR MISSOULA, CLARK FORK - BELOW MISSOULA, ST. REGIS - NEAR ST. REGIS, CLARK FORK - AT ST REGIS, FLATHEAD - KERR DAM, CLARK FORK - NOXON RAPIDS DAM, CLARK FORK - CABINET GORGE DAM, PRIEST - NEAR PRIEST RIVER, PEND OREILLE - ALBENI FALLS DAM, COEUR D ALENE - COEUR D ALENE LAKE, SPOKANE - AT SPOKANE, SPOKANE - AT LONGLAKE, ST MARIES - NEAR SANTA, COLUMBIA - AT INTL BOUNDARY, KETTLE - AT LAURIER, COLUMBIA - GRAND COULEE DAM, COLUMBIA - CHIEF JOSEPH DAM, OKANOGAN - NEAR TONASKET, METHOW - NEAR PATEROS, COLUMBIA - WELLS DAM, CHELAN - LAKE CHELAN DAM, COLUMBIA - ROCKY REACH DAM, ENTIAT - NEAR ARDENVOIR, WENATCHEE - AT PESHASTIN, COLUMBIA - WANAPUM DAM, COLUMBIA - PRIEST RAPIDS DAM, YAKIMA - KEECHELUS LAKE, KACHESS - KACHESS DAM, YAKIMA - AT EASTON, CLE ELUM - CLE ELUM LAKE, TEANAWAY - BELOW FORKS, YAKIMA - AT UMTANUM, BUMPING - BUMPING LAKE DAM, NACHES - NEAR CLIFFDEL, TIETON - RIMROCK LAKE NEAR RIMROCK, NACHES - NEAR NACHES, YAKIMA - NEAR PARKER, YAKIMA - AT KIONA, HENRYS FORK - ISLAND PARK DAM, FALL RIVER - NEAR CHESTER, HENRYS FORK - AT ST. ANTHONY, TETON - NEAR ST. ANTHONY, HENRYS FORK - AT REXBURG, SNAKE - JACKSON LAKE AT DAM, SNAKE - NEAR JACKSON, SNAKE - NEAR ALPINE, SF SNAKE - PALISADES DAM, SNAKE - NEAR HEISE, WILLOW CREEK - RIRIE DAM, SNAKE - AB EAGLE ROCK NR IDAHO FALLS, SNAKE - NEAR SHELLEY, SNAKE - AT BLACKFOOT, SNAKE - NEAR BLACKFOOT, PORTNEUF - AT POCATELLO, SNAKE - AMERICAN FALLS RESERVOIR, SNAKE - AT MILNER, BRUNEAU - NEAR HOT SPRINGS, SNAKE - BELOW SWAN FALLS, BIG LOST - AT HOWELL RANCH NEAR CHILLY, BIG LOST - MACKAY RESERVOIR NEAR MACKAY, BIG WOOD - AT HAILEY, BIG WOOD - MAGIC DAM, LITTLE WOOD - LITTLE WOOD DAM, OWYHEE - OWYHEE DAM, SF BOISE - ANDERSON RANCH DAM, BOISE - LUCKY PEAK DAM, BOISE - AT GLENWOOD BRIDGE, BOISE - NEAR PARMA, MALHEUR - WARM SPRINGS DAM, MALHEUR - AGENCY VALLEY DAM, BULLY CREEK - BULLY CREEK DAM, MALHEUR - NEAR VALE, NF PAYETTE - CASCADE DAM, DEADWOOD - NEAR LOWMAN, PAYETTE - NEAR EMMETT, WEISER - NEAR WEISER, SNAKE - AT WEISER, SNAKE - BROWNLEE DAM, SALMON - AT WHITEBIRD, GRANDE RONDE - TROY, SNAKE - NEAR ANATONE, CLEARWATER - AT OROFINO, NF CLEARWATER - DWORSHAK DAM, CLEARWATER - AT SPALDING, SNAKE - LOWER GRANITE DAM, SNAKE - LITTLE GOOSE DAM, SNAKE - LOWER MONUMENTAL DAM, SNAKE - ICE HARBOR DAM, WALLA WALLA - NEAR TOUCHET, COLUMBIA - MCNARY DAM, UMATILLA - NEAR GIBBON, UMATILLA - AT PENDLETON, MCKAY CREEK - NEAR PILOT ROCK, UMATILLA - NEAR UMATILLA, NF JOHN DAY - AT MONUMENT, JOHN DAY - AT SERVICE CK, COLUMBIA - JOHN DAY DAM, DESCHUTES - AT MOODY NR BIGGS, COLUMBIA - THE DALLES DAM, KLICKITAT - NEAR PITT, HOOD - NEAR TUCKER BRIDGE, WHITE SALMON - NEAR UNDERWOOD, COLUMBIA - BONNEVILLE DAM
2018-03-06,3117.0,19565.0,656.0,648.0,1051.0,9885.0,218.0,630.0,210.0,756.0,1593.0,1037.0,2816.0,291.0,3976.0,10808.0,16642.0,18579.0,883.0,19634.0,4020.0,7268.0,8556.0,256.0,83292.0,491.0,91883.0,123720.0,1848.0,642.0,126582.0,742.0,125757.0,158.0,1442.0,123398.0,124162.0,118.0,91.0,345.0,223.0,158.0,1423.0,108.0,509.0,239.0,1170.0,2804.0,3933.0,489.0,460.0,1627.0,353.0,1660.0,544.0,1603.0,1902.0,2811.0,5272.0,54.0,5358.0,5399.0,4788.0,5352.0,260.0,6845.0,5380.0,122.0,11908.0,89.0,183.0,146.0,115.0,61.0,292.0,312.0,1003.0,262.0,857.0,113.0,60.0,48.0,72.0,436.0,86.0,1791.0,537.0,15508.0,17067.0,4894.0,2278.0,27775.0,5030.0,3232.0,22054.0,49829.0,49829.0,51207.0,51207.0,789.0,187770.0,197.0,572.0,168.0,403.0,447.0,856.0,198625.0,5652.0,201405.0,1879.0,943.0,1336.0,208150.0
2018-03-07,3063.0,20060.0,652.0,636.0,1026.0,9872.0,215.0,613.0,208.0,747.0,1566.0,987.0,2731.0,285.0,3907.0,10744.0,16466.0,18389.0,879.0,19119.0,3817.0,6959.0,8302.0,248.0,85852.0,481.0,94569.0,119999.0,1745.0,622.0,122796.0,727.0,125700.0,155.0,1403.0,127486.0,127620.0,112.0,90.0,343.0,205.0,142.0,1421.0,102.0,493.0,237.0,1132.0,2761.0,3842.0,488.0,453.0,1612.0,350.0,1646.0,542.0,1595.0,1886.0,2786.0,6325.0,54.0,6350.0,6284.0,5233.0,5659.0,259.0,6948.0,5380.0,123.0,12154.0,88.0,182.0,146.0,112.0,61.0,286.0,309.0,1035.0,265.0,865.0,111.0,59.0,36.0,70.0,431.0,85.0,1790.0,749.0,15872.0,17030.0,4846.0,2156.0,22966.0,4772.0,3173.0,21736.0,44702.0,44702.0,46418.0,46418.0,739.0,181516.0,204.0,602.0,190.0,436.0,545.0,900.0,187420.0,5753.0,189448.0,1984.0,971.0,1368.0,193766.0
2018-03-08,3045.0,20032.0,644.0,621.0,1005.0,9850.0,214.0,605.0,206.0,738.0,1553.0,948.0,2672.0,278.0,3819.0,10680.0,16333.0,18246.0,880.0,19142.0,4089.0,6629.0,8154.0,243.0,85722.0,469.0,94905.0,117141.0,1645.0,604.0,119811.0,712.0,122712.0,152.0,1365.0,124457.0,124583.0,109.0,97.0,349.0,191.0,129.0,1428.0,97.0,479.0,235.0,1101.0,2736.0,3780.0,485.0,443.0,1581.0,348.0,1604.0,538.0,1588.0,1869.0,2764.0,7904.0,54.0,7425.0,7350.0,6261.0,6615.0,258.0,7606.0,5380.0,128.0,12299.0,88.0,182.0,146.0,112.0,61.0,339.0,304.0,1076.0,264.0,893.0,118.0,61.0,31.0,64.0,427.0,85.0,1809.0,1236.0,16590.0,17610.0,4793.0,2332.0,26927.0,4628.0,3365.0,21811.0,48739.0,48739.0,50792.0,50792.0,699.0,178978.0,208.0,580.0,269.0,454.0,833.0,1142.0,185717.0,5831.0,187783.0,2094.0,1236.0,1411.0,192159.0
2018-03-09,3045.0,20119.0,642.0,610.0,981.0,10081.0,216.0,611.0,204.0,726.0,1546.0,1022.0,2731.0,270.0,3747.0,10666.0,16212.0,18116.0,1000.0,20913.0,6587.0,6397.0,8838.0,462.0,83238.0,455.0,93545.0,114284.0,1558.0,589.0,116833.0,704.0,119726.0,149.0,1463.0,121515.0,121631.0,162.0,194.0,483.0,318.0,295.0,1522.0,94.0,474.0,281.0,1080.0,2751.0,3747.0,484.0,430.0,1541.0,346.0,1538.0,536.0,1588.0,1858.0,2743.0,8827.0,54.0,8878.0,8809.0,7562.0,7837.0,257.0,8688.0,5380.0,136.0,12330.0,88.0,182.0,146.0,112.0,60.0,943.0,320.0,1240.0,262.0,957.0,134.0,67.0,85.0,64.0,528.0,84.0,2157.0,2744.0,18354.0,19231.0,4794.0,3246.0,25993.0,5321.0,5807.0,23860.0,49854.0,49854.0,54212.0,54212.0,758.0,179616.0,349.0,976.0,679.0,445.0,1496.0,1801.0,187232.0,6359.0,189835.0,3032.0,2345.0,1712.0,195024.0
2018-03-10,3031.0,19728.0,642.0,598.0,962.0,11443.0,228.0,677.0,203.0,719.0,1575.0,1492.0,3222.0,270.0,3998.0,11383.0,16370.0,18295.0,1096.0,21615.0,10595.0,6530.0,10481.0,793.0,79376.0,455.0,92720.0,111427.0,1479.0,572.0,113866.0,712.0,116758.0,156.0,1710.0,118836.0,118955.0,178.0,215.0,541.0,405.0,407.0,1908.0,89.0,465.0,266.0,1077.0,3056.0,3743.0,483.0,425.0,1566.0,343.0,1510.0,535.0,1625.0,1894.0,2799.0,8842.0,54.0,9413.0,9512.0,8743.0,9091.0,255.0,10044.0,5380.0,143.0,12358.0,87.0,182.0,146.0,112.0,59.0,2101.0,380.0,1496.0,261.0,992.0,145.0,71.0,109.0,63.0,559.0,83.0,2793.0,3045.0,20199.0,21631.0,4878.0,3863.0,29888.0,7893.0,9557.0,29810.0,59698.0,59698.0,66049.0,66049.0,1312.0,186693.0,514.0,2257.0,809.0,1462.0,1564.0,2331.0,193578.0,6867.0,196284.0,3468.0,2434.0,1871.0,202947.0
2018-03-11,3008.0,15471.0,639.0,587.0,943.0,11810.0,235.0,725.0,200.0,712.0,1649.0,1292.0,3089.0,262.0,4351.0,12518.0,16706.0,18678.0,1121.0,20964.0,11013.0,6947.0,9796.0,563.0,70068.0,455.0,82287.0,101695.0,1400.0,558.0,104704.0,677.0,108364.0,153.0,1506.0,111361.0,111827.0,149.0,164.0,425.0,295.0,259.0,1854.0,86.0,448.0,261.0,992.0,3172.0,3923.0,482.0,424.0,1592.0,355.0,1531.0,533.0,1643.0,1930.0,2862.0,8840.0,54.0,9373.0,9473.0,8962.0,9408.0,252.0,10829.0,5380.0,139.0,12377.0,86.0,181.0,144.0,119.0,59.0,2561.0,350.0,1396.0,259.0,963.0,130.0,69.0,84.0,63.0,464.0,83.0,2649.0,2317.0,19895.0,21829.0,4911.0,3179.0,30912.0,8548.0,8915.0,30364.0,61276.0,61276.0,66364.0,66364.0,1376.0,189420.0,441.0,1676.0,571.0,1939.0,1015.0,1778.0,199728.0,6371.0,202368.0,2779.0,1860.0,1614.0,209626.0
2018-03-12,3007.0,15464.0,631.0,575.0,923.0,11789.0,235.0,713.0,200.0,704.0,1679.0,1160.0,2979.0,263.0,4164.0,12612.0,16626.0,18598.0,1131.0,20852.0,9934.0,7293.0,9558.0,493.0,69144.0,455.0,79704.0,93609.0,1333.0,545.0,96392.0,684.0,99832.0,150.0,1471.0,102345.0,102670.0,159.0,177.0,414.0,327.0,309.0,1654.0,85.0,458.0,321.0,1020.0,2835.0,4001.0,481.0,419.0,1568.0,351.0,1541.0,531.0,1633.0,1898.0,2819.0,8828.0,54.0,9348.0,9432.0,8930.0,9357.0,252.0,10887.0,5380.0,136.0,12387.0,86.0,181.0,144.0,131.0,58.0,2110.0,347.0,1443.0,258.0,962.0,119.0,66.0,110.0,66.0,557.0,82.0,2426.0,2335.0,19521.0,21172.0,4915.0,2786.0,29771.0,7972.0,8149.0,28664.0,58435.0,58435.0,62577.0,62577.0,1085.0,177229.0,388.0,1230.0,458.0,1257.0,866.0,1422.0,188294.0,6148.0,191270.0,2707.0,1612.0,1523.0,198500.0
2018-03-13,3007.0,20347.0,627.0,566.0,909.0,11775.0,234.0,708.0,197.0,694.0,1668.0,1156.0,2956.0,286.0,4130.0,12547.0,16541.0,18507.0,1130.0,20690.0,9142.0,7487.0,9824.0,545.0,68857.0,485.0,79640.0,87423.0,1273.0,533.0,89384.0,735.0,92159.0,168.0,1642.0,94232.0,94443.0,191.0,221.0,485.0,417.0,455.0,1784.0,111.0,625.0,400.0,1319.0,2897.0,3841.0,481.0,428.0,1635.0,369.0,1544.0,530.0,1637.0,1889.0,2810.0,8819.0,54.0,9296.0,9368.0,8886.0,9290.0,256.0,10832.0,5380.0,140.0,12373.0,86.0,181.0,144.0,191.0,57.0,2177.0,460.0,1661.0,257.0,955.0,117.0,65.0,117.0,64.0,537.0,81.0,2583.0,2377.0,19671.0,21040.0,4944.0,2772.0,29342.0,7638.0,8896.0,27958.0,57300.0,57300.0,61049.0,61049.0,947.0,165715.0,411.0,1215.0,442.0,1023.0,1204.0,1725.0,175758.0,6380.0,178825.0,3004.0,1709.0,1724.0,185656.0
2018-03-14,3007.0,20807.0,623.0,555.0,889.0,11760.0,231.0,717.0,196.0,683.0,1653.0,1147.0,2925.0,317.0,4098.0,12506.0,16589.0,18566.0,1222.0,22470.0,9733.0,7591.0,10424.0,628.0,69137.0,571.0,80502.0,87903.0,1226.0,521.0,89681.0,738.0,92242.0,168.0,1679.0,93838.0,93817.0,240.0,261.0,525.0,470.0,510.0,2118.0,143.0,823.0,399.0,1693.0,3590.0,4001.0,481.0,428.0,1641.0,369.0,1597.0,528.0,1639.0,1880.0,2798.0,8812.0,54.0,9257.0,9309.0,8828.0,9206.0,259.0,10759.0,5380.0,142.0,12313.0,86.0,181.0,144.0,310.0,57.0,2373.0,419.0,1750.0,255.0,930.0,209.0,63.0,148.0,64.0,799.0,81.0,2710.0,3004.0,20264.0,21391.0,4992.0,2712.0,29360.0,7849.0,9541.0,28077.0,57437.0,57437.0,61411.0,61411.0,966.0,159687.0,463.0,1376.0,506.0,1099.0,1610.0,1930.0,168563.0,6530.0,171501.0,3161.0,2083.0,2039.0,178551.0
2018-03-15,3007.0,21264.0,618.0,546.0,874.0,11751.0,228.0,726.0,198.0,678.0,1661.0,1150.0,2927.0,403.0,4196.0,12483.0,16863.0,18876.0,1253.0,22177.0,11542.0,7867.0,11188.0,916.0,70743.0,564.0,82759.0,90053.0,1218.0,510.0,91728.0,691.0,94196.0,153.0,1536.0,95499.0,95417.0,212.0,225.0,458.0,388.0,403.0,2084.0,121.0,783.0,356.0,1602.0,3769.0,4495.0,480.0,431.0,1623.0,368.0,1629.0,526.0,1633.0,1864.0,2777.0,8801.0,54.0,9267.0,9302.0,8805.0,9150.0,265.0,10686.0,5380.0,145.0,12256.0,85.0,181.0,144.0,550.0,57.0,2055.0,437.0,1890.0,304.0,926.0,305.0,62.0,116.0,64.0,737.0,80.0,2954.0,2775.0,20714.0,22192.0,5189.0,2701.0,30308.0,8937.0,11393.0,30108.0,60417.0,60417.0,64249.0,64249.0,1157.0,162655.0,464.0,1807.0,547.0,1505.0,2087.0,2800.0,171320.0,6553.0,173945.0,2881.0,2028.0,2069.0,180822.0
