, LIBBY DAM, KOOTENAI R AT BONNERS FERRY, HUNGRY HORSE DAM, FLATHEAD R AT COLUMBIA FALLS, CLARK FORK AT DEER LODGE, CLARK FORK NR DRUMMOND, ROCK CREEK NR CLINTON, BLACKFOOT R NR BONNER, CLARK FORK AB MISSOULA, BITTERROOT R NR MISSOULA, CLARK FORK BELOW MISSOULA, CLARK FORK AT ST REGIS, KERR DAM, CLARK FORK AT ST REGIS, NOXON RAPIDS DAM, ALBENI FALLS DAM, COEUR D'ALENE LAKE, COLUMBIAR @INTERNATL BOUNDAR, KETTLE RIVER AT LAURIER, GRAND COULEE DAM, CHIEF JOSEPH DAM, OKANOGAN RIVER NR TONASKET, METHOW R NR PATEROS, WELLS DAM, LAKE CHELAN DAM, ROCKY REACH DAM, WENATCHEE R AT PESHASTIN, WANAPUM DAM, PRIEST RAPIDS DAM, KEECHELUS LAKE, KACHESS DAM, YAKIMA RIVER AT EASTON, CLE ELUM LAKE, YAKIMA RIVER AT CLE ELUM, TEANAWAY RIVER BLW FORKS, YAKIMA RIVER AT UMTANUM, BUMPING LAKE, NACHES RIVER NR CLIFFDEL, RIMROCK LAKE, NACHES RIVER NR NACHES, YAKIMA RIVER AT UMTANUM, NACHES RIVER NR NACHES, YAKIMA RIVER NR PARKER, YAKIMA RIVER AT KIONA, ISLAND PARK 1SWIS.PARKDM&RES, FALL RIVER NR CHESTER, HENRYS FORK AT ST. ANTHONY, TETON RIVER NEAR ST. ANTHONY, HENRYS FORK NEAR REXBURG, SNAKE R ON JACKSON LAKE AT DAM, SNAKE RIVER NR JACKSON, PALISADES DAM, SNAKE RIVER NR HEISE, RIRIE DAM, RIRIE DAM, HENRYS FORK NEAR REXBURG, SNAKE RIVER NR HEISE, SNAKE AB EAGLE ROCK NR ID FALL, SNAKE RIVER NR SHELLEY, SNAKE RIVER AT BLACKFOOT, SNAKE RIVER NEAR BLACKFOOT, AMERICAN FALLS RESERVOIR, SNAKE RIV AT MILNER, BRUNEAU RIVER NR HOT SPRINGS, SNAKE RIVER BELOW SWAN FALLS, OWYHEE DAM, BOISE RIVER AT GLENWOOD BRIDGE, WARM SPRINGS RESERVOIR, AGENCY VLY DAM & BEULAH RSVR, BULLY CREEK DAM & RESERVOIR, MALHEUR RIVER NR VALE, CASCADE DAM, DEADWOOD DAM, PAYETTE RIVER NEAR EMMETT, SNAKE RIVER BELOW SWAN FALLS, OWYHEE DAM, BOISE RIVER AT GLENWOOD BRIDGE, PAYETTE RIVER NEAR EMMETT, WEISER RIVER NEAR WEISER, SNAKE RIVER AT WEISER, BROWNLEE DAM, SALMON R AT WHITEBIRD, GRANDE RONDE RIVER AT TROY, SNAKE RIVER NR ANATONE, DWORSHAK DAM, CLEARWATER R AT OROFINO, CLEARWATER R AT SPALDING, SNAKE RIVER NR ANATONE, CLEARWATER R AT SPALDING, LOWER GRANITE DAM, LITTLE GOOSE DAM, LOWER MONUMENTAL DAM, ICE HARBOR DAM, YAKIMA RIVER AT KIONA, WALLA WALLA RIV NR TOUCHET, MCNARY DAM, UMATILLA R AT PENDLETON, MCKAY CR NR PENDLETON, UMATILLA RIVER NEAR UMATILLA, JOHN DAY RIVER AT SERVICE CK, JOHN DAY DAM, DESCHUTES R AT MOODY NR BIGGS, THE DALLES, KLICKITAT R NR PITT, HOOD R AT TUCKER BRIDGE, WHITE SALMON R NR UNDERWOOD, BONNEVILLE DAM
2003-01-27,3245.0,7756.0,1138.0,3867.0,548.0,605.0,191.0,673.0,1374.0,1157.0,2513.0,3109.0,5354.0,3109.0,7496.0,12606.0,12937.0,70837.0,347.0,77462.0,62664.0,758.0,289.0,60614.0,1138.0,58267.0,3972.0,59470.0,60111.0,1156.0,1071.0,467.0,2721.0,1125.0,1007.0,2850.0,856.0,962.0,1173.0,1704.0,2850.0,1704.0,5149.0,3535.0,359.0,448.0,1327.0,421.0,1541.0,376.0,1253.0,2212.0,1501.0,22.0,0.0,1541.0,1501.0,2350.0,2274.0,1929.0,1719.0,4302.0,560.0,220.0,9030.0,255.0,250.0,81.0,395.0,18.0,66.0,3177.0,148.0,3246.0,9030.0,10.0,250.0,3246.0,6890.0,16615.0,17860.0,4548.0,5174.0,20996.0,12132.0,13588.0,13605.0,20996.0,13605.0,34601.0,34601.0,36603.0,36603.0,3535.0,2457.0,96221.0,2725.0,10.0,978.0,1670.0,100895.0,6746.0,99311.0,3803.0,2633.0,4052.0,107619.0
2003-01-28,2848.0,8633.0,1093.0,3789.0,383.0,666.0,187.0,647.0,1514.0,1226.0,2729.0,3226.0,4903.0,3226.0,7672.0,10801.0,17345.0,71571.0,368.0,79509.0,72000.0,798.0,295.0,73056.0,769.0,74835.0,2870.0,79878.0,79710.0,552.0,615.0,412.0,1489.0,896.0,508.0,2108.0,650.0,842.0,731.0,1337.0,2108.0,1337.0,4893.0,5150.0,366.0,456.0,1385.0,533.0,1650.0,374.0,1228.0,2291.0,1498.0,22.0,0.0,1650.0,1498.0,2408.0,2329.0,2003.0,1794.0,4358.0,561.0,532.0,10352.0,271.0,247.0,295.0,504.0,18.0,69.0,1657.0,118.0,5217.0,10352.0,10.0,247.0,5217.0,6606.0,20998.0,23932.0,5462.0,6762.0,32806.0,10388.0,17158.0,19370.0,32806.0,19370.0,52176.0,52176.0,53715.0,53715.0,5150.0,2159.0,124123.0,1956.0,10.0,2715.0,3571.0,127710.0,6163.0,125073.0,2524.0,1868.0,2404.0,130813.0
2003-01-29,2563.0,8101.0,752.0,3668.0,326.0,554.0,183.0,593.0,1446.0,885.0,2329.0,3263.0,4665.0,3263.0,7729.0,10398.0,13618.0,71191.0,375.0,79976.0,72000.0,850.0,297.0,73090.0,692.0,75005.0,1677.0,78955.0,78994.0,435.0,426.0,399.0,972.0,789.0,303.0,1640.0,570.0,779.0,633.0,1216.0,1640.0,1216.0,4135.0,5684.0,342.0,454.0,1311.0,465.0,1760.0,371.0,1215.0,2115.0,1471.0,22.0,0.0,1760.0,1471.0,2499.0,2407.0,2066.0,1865.0,4434.0,561.0,572.0,9091.0,267.0,238.0,136.0,223.0,18.0,70.0,950.0,110.0,3790.0,9091.0,10.0,238.0,3790.0,3971.0,20879.0,25662.0,5733.0,4654.0,32106.0,7751.0,14449.0,17295.0,32106.0,17295.0,49401.0,49401.0,50428.0,50428.0,5684.0,1288.0,139044.0,897.0,10.0,1771.0,3350.0,150180.0,5682.0,148605.0,2099.0,1440.0,1814.0,154420.0
2003-01-30,2493.0,7501.0,623.0,3544.0,306.0,517.0,179.0,548.0,1319.0,797.0,2116.0,2902.0,4517.0,2902.0,7588.0,10394.0,10125.0,70520.0,366.0,80755.0,72000.0,914.0,295.0,73133.0,710.0,75181.0,1251.0,78496.0,78504.0,463.0,454.0,406.0,995.0,770.0,302.0,1455.0,521.0,727.0,605.0,1128.0,1455.0,1128.0,3741.0,5647.0,333.0,450.0,1292.0,405.0,1740.0,370.0,1209.0,2060.0,1469.0,22.0,0.0,1740.0,1469.0,2563.0,2478.0,2143.0,1937.0,4502.0,560.0,470.0,8766.0,258.0,229.0,54.0,142.0,18.0,72.0,765.0,106.0,2489.0,8766.0,10.0,229.0,2489.0,2639.0,17391.0,22185.0,5712.0,3239.0,30207.0,6303.0,11852.0,14928.0,30207.0,14928.0,45136.0,45136.0,47091.0,47091.0,5647.0,1383.0,134048.0,894.0,10.0,1003.0,2942.0,143958.0,6020.0,143085.0,2482.0,1749.0,2009.0,149161.0
2003-01-31,2456.0,7212.0,591.0,3511.0,293.0,499.0,175.0,522.0,1255.0,773.0,2028.0,2676.0,4523.0,2676.0,7266.0,10497.0,8531.0,69649.0,358.0,81842.0,68547.0,973.0,292.0,70487.0,733.0,73380.0,1235.0,77280.0,77449.0,465.0,468.0,409.0,1020.0,790.0,344.0,1477.0,493.0,722.0,572.0,1140.0,1477.0,1140.0,3743.0,5693.0,332.0,446.0,1275.0,385.0,1674.0,370.0,1205.0,2032.0,1467.0,22.0,0.0,1674.0,1467.0,2539.0,2468.0,2180.0,2002.0,4573.0,560.0,379.0,8801.0,256.0,220.0,69.0,161.0,18.0,73.0,704.0,103.0,2107.0,8801.0,10.0,220.0,2107.0,2484.0,15194.0,18818.0,5610.0,2791.0,31200.0,5843.0,10624.0,14309.0,31200.0,14309.0,45510.0,45510.0,49678.0,49678.0,5693.0,1716.0,134206.0,1199.0,10.0,1046.0,3950.0,143182.0,6439.0,142364.0,2757.0,1762.0,2072.0,148578.0
2003-02-01,2424.0,7054.0,575.0,3515.0,282.0,487.0,171.0,504.0,1218.0,760.0,1978.0,2577.0,4373.0,2577.0,7783.0,10549.0,8006.0,65157.0,351.0,78299.0,53306.0,994.0,289.0,56418.0,680.0,60864.0,1198.0,66879.0,67757.0,382.0,381.0,390.0,848.0,742.0,274.0,1425.0,437.0,707.0,489.0,1060.0,1425.0,1060.0,3727.0,5397.0,331.0,442.0,1259.0,377.0,1620.0,369.0,1201.0,2019.0,1465.0,22.0,0.0,1620.0,1465.0,2478.0,2408.0,2149.0,2013.0,4606.0,560.0,316.0,8795.0,255.0,211.0,68.0,130.0,18.0,73.0,661.0,99.0,1947.0,8795.0,10.0,211.0,1947.0,1992.0,14377.0,17410.0,5491.0,2447.0,30299.0,4870.0,9906.0,12619.0,30299.0,12619.0,42918.0,42918.0,45801.0,45801.0,5397.0,1361.0,131483.0,853.0,10.0,1250.0,3921.0,142879.0,6071.0,141965.0,2435.0,1406.0,1766.0,148514.0
2003-02-02,2391.0,6849.0,562.0,3524.0,272.0,475.0,167.0,493.0,1190.0,749.0,1939.0,2521.0,4316.0,2521.0,9735.0,12310.0,7250.0,57707.0,341.0,69900.0,47344.0,986.0,286.0,47463.0,646.0,48911.0,1107.0,51549.0,51713.0,328.0,310.0,376.0,724.0,710.0,212.0,1315.0,392.0,649.0,436.0,960.0,1315.0,960.0,3545.0,5183.0,331.0,439.0,1244.0,371.0,1583.0,369.0,1197.0,2009.0,1464.0,22.0,0.0,1583.0,1464.0,2423.0,2345.0,2084.0,1969.0,4586.0,560.0,264.0,8671.0,254.0,202.0,46.0,108.0,18.0,74.0,623.0,95.0,1794.0,8671.0,10.0,202.0,1794.0,1453.0,13632.0,16210.0,5377.0,2122.0,27999.0,4118.0,9087.0,11480.0,27999.0,11480.0,39479.0,39479.0,41094.0,41094.0,5183.0,1063.0,110786.0,634.0,10.0,948.0,3048.0,124050.0,5738.0,123660.0,2219.0,1181.0,1563.0,131147.0
2003-02-03,2361.0,6683.0,549.0,3536.0,262.0,465.0,163.0,484.0,1164.0,739.0,1903.0,2468.0,4306.0,2468.0,10267.0,13048.0,6262.0,53155.0,332.0,64256.0,74334.0,975.0,283.0,74704.0,624.0,75559.0,1039.0,75449.0,74372.0,298.0,277.0,362.0,656.0,686.0,179.0,1223.0,354.0,592.0,392.0,864.0,1223.0,864.0,3322.0,4888.0,331.0,436.0,1229.0,368.0,1551.0,368.0,1193.0,2001.0,1462.0,22.0,0.0,1551.0,1462.0,2378.0,2292.0,2023.0,1907.0,4529.0,559.0,219.0,8467.0,254.0,193.0,38.0,99.0,18.0,74.0,589.0,92.0,1683.0,8467.0,10.0,193.0,1683.0,1104.0,13020.0,15202.0,5266.0,1903.0,27265.0,3682.0,8319.0,10649.0,27265.0,10649.0,37915.0,37915.0,39119.0,39119.0,4888.0,814.0,103592.0,523.0,10.0,739.0,2258.0,110479.0,5551.0,108789.0,2098.0,1072.0,1453.0,113675.0
2003-02-04,2332.0,6542.0,540.0,3549.0,254.0,455.0,159.0,476.0,1142.0,729.0,1871.0,2425.0,4303.0,2425.0,10220.0,12997.0,5358.0,53047.0,323.0,62822.0,73105.0,965.0,281.0,74538.0,604.0,77017.0,1002.0,79870.0,79951.0,277.0,258.0,350.0,609.0,665.0,160.0,1161.0,320.0,544.0,355.0,782.0,1161.0,782.0,3125.0,4610.0,331.0,433.0,1216.0,365.0,1526.0,368.0,1189.0,1993.0,1461.0,22.0,0.0,1526.0,1461.0,2343.0,2252.0,1975.0,1852.0,4470.0,559.0,187.0,8322.0,254.0,184.0,38.0,95.0,18.0,74.0,558.0,89.0,1605.0,8322.0,10.0,184.0,1605.0,926.0,12540.0,14370.0,5161.0,1770.0,26932.0,3442.0,7664.0,10003.0,26932.0,10003.0,36935.0,36935.0,38173.0,38173.0,4610.0,685.0,122157.0,472.0,10.0,630.0,1851.0,128099.0,5451.0,125748.0,2018.0,1004.0,1402.0,128983.0
2003-02-05,2305.0,6410.0,531.0,3563.0,247.0,447.0,155.0,470.0,1122.0,720.0,1842.0,2388.0,4302.0,2388.0,10155.0,12904.0,4697.0,53020.0,315.0,62613.0,70579.0,954.0,278.0,72004.0,585.0,74495.0,976.0,77271.0,77382.0,257.0,242.0,338.0,567.0,646.0,147.0,1115.0,290.0,503.0,323.0,711.0,1115.0,711.0,2964.0,4376.0,331.0,430.0,1204.0,362.0,1505.0,367.0,1185.0,1984.0,1459.0,22.0,0.0,1505.0,1459.0,2315.0,2219.0,1937.0,1809.0,4421.0,559.0,166.0,8228.0,254.0,175.0,40.0,94.0,18.0,74.0,529.0,86.0,1541.0,8228.0,10.0,175.0,1541.0,828.0,12165.0,13732.0,5062.0,1676.0,26667.0,3207.0,7118.0,9437.0,26667.0,9437.0,36104.0,36104.0,37439.0,37439.0,4376.0,664.0,122027.0,439.0,10.0,577.0,1672.0,129892.0,5416.0,128247.0,1947.0,922.0,1359.0,132829.0
