, LIBBY DAM, KOOTENAI RIV AT LEONIA, NF FLATHEAD R NR COLUMBIA FALL, MF FLATHEAD NR WEST GLACIER, DAM AT HUNGRY HORSE, FLATHEAD R AT COLUMBIA FALLS, CLARK FORK AT DEER LODGE, CLARK FORK AT DRUMMOND, ROCK CREEK NR CLINTON, BLACKFOOT R NR BONNER, CLARK FORK AB MISSOULA, BITTERROOT R NR MISSOULA, CLARK FORK BELOW MISSOULA, ST. REGIS R. NR ST. REGIS, CLARK FORK AT ST REGIS    TB20, KERR DAM, NOXON RAPIDS DAM, CABINET GORGE DAM, PRIEST R NR PRIEST RIVER, ALBENI FALLS DAM, COEUR D'ALENE LAKE, SPOKANE RIV AT LONGLAKE, ST MARIES R NR SANTA, COLUMBIAR @INTERNATL BOUNDAR, KETTLE RIVER AT LAURIER, GRAND COULEE DAM, CHIEF JOSEPH DAM, OKANOGAN RIVER NEAR TONASKET, METHOW R NEAR PATEROS, WELLS DAM, LAKE CHELAN DAM, ROCKY REACH DAM, ENTIAT R NR ARDENVOIR, WENATCHEE R AT PESHASTIN  TB20, WANAPUM DAM, PRIEST RAPIDS DAM, KEECHELUS LAKE, KACHESS DAM NEAR EASTON, YAKIMA RIVER AT EASTON, CLE ELUM LAKE NEAR ROSLYN, YAKIMA RIVER AT CLE ELUM, TEANAWAY RIVER BLW FORKS, YAKIMA RIVER AT UMTANUM, BUMPING LK DM NR GOOSE PRAIRIE, NACHES RIVER NEAR CLIFFDEL, RIMROCK LAKE NEAR RIMROCK, NACHES RIVER NEAR NACHES, YAKIMA RIVER NEAR PARKER, YAKIMA RIVER AT KIONA, ISLAND PARK 1SWIS.PARKDM&RES, FALL RIVER NR CHESTER, HENRYS FORK AT ST. ANTHONY, TETON RIVER NEAR ST. ANTHONY, HENRYS FORK NEAR REXBURG, SNKE R ON JACKSN LK AT DM TB20, SNAKE RIVER NR JACKSON, SNAKE RIVER NR ALPINE, PALISADES DAM, SNAKE RIVER NR HEISE, RIRIE DAM AND LAKE ON WILLOW C, SNAKE AB EAGLE ROCK NR ID FALL, SNAKE RIVER NR SHELLEY, SNAKE RIVER AT BLACKFOOT, SNAKE RIVER NEAR BLACKFOOT, PORTNEUF RIVER AT POCATELLO, AMERICAN FALLS RESERVOIR  TB12, SNAKE RIV AT MILNER, BRUNEAU RIVER NR HOT SPRINGS, SNAKE RIVER BELOW SWAN FALLS, BIG LOST R@HOW'L RNCH NR CHILL, BIG LOST R AT MACKAY, BIG WOOD RIVER AT HAILEY, MAGIC DM&RES-BIG WOOD RICHFLD, LITL.WOODDM&RESNRCAREY, OWYHEE BELOW OWYHEE DAM, ANDERSON RANCH DAM        TB12, BOISE LUCKY PEAK DAM, BOISE RIVER AT GLENWOOD BRIDGE, BOISE RIVER NR PARMA, WARM SPRINGS RESERVOIR, AGENCY VLY DAM & BEULAH RSVR, BULLY CREEK DAM & RES     TB12, MALHEUR RIVER NR VALE, CASCADE DAM               TB12, DEADWOOD RESERVOIR NR LOWMAN, PAYETTE RIVER NEAR EMMETT, WEISER RIVER NR WEISER, SNAKE RIVER AT WEISER, BROWNLEE DAM, SALMON R AT WHITEBIRD, GRANDE RONDE RIVER AT TROY, SNAKE RIVER NR ANATONE, CLEARWATER R AT OROFINO, DWORSHAK DAM, CLEARWATER R AT SPALDING, LOWER GRANITE DAM, LITTLE GOOSE DAM, LOWER MONUMENTAL DAM, ICE HARBOR DAM, WALLA WALLA RIV NEAR TOUCHET, MCNARY DAM NEAR MCNARY, UMATILLA R NR GIBBON, UMATILLA R AT PENDLETON, MCKAY CR NR PILOTROCK, UMATILLA RIVER NEAR UMATILLA, NF JOHN DAY RIV AT MONUMENT, JOHN DAY RIVER AT SERVICE CK, JOHN DAY DAM, DESCHUTES R AT MOODY NR BIGGS, THE DALLES, KLICKITAT R NR PITT, HOOD R AT TUCKER BRIDGE   TB20, WHITE SALMON R NEAR UNDERWOOD, BONNEVILLE DAM
2004-07-19,13345.0,13201.0,2615.0,2800.0,2203.0,10370.0,48.0,175.0,397.0,979.0,1669.0,980.0,2672.0,195.0,3681.0,11360.0,16125.0,17165.0,440.0,16295.0,1307.0,2424.0,155.0,87652.0,1291.0,91773.0,95657.0,1626.0,866.0,97756.0,2294.0,97872.0,227.0,1572.0,104744.0,103085.0,93.0,72.0,269.0,497.0,3968.0,35.0,3962.0,102.0,445.0,425.0,725.0,563.0,1549.0,597.0,173.0,1222.0,920.0,1105.0,1159.0,4963.0,5817.0,7491.0,11103.0,14.0,6713.0,5621.0,2848.0,2322.0,42.0,3897.0,20.0,109.0,4511.0,380.0,387.0,364.0,151.0,65.0,189.0,463.0,4259.0,1178.0,756.0,8.0,60.0,19.0,96.0,481.0,122.0,2122.0,284.0,8179.0,8006.0,7000.0,1036.0,17424.0,3751.0,1747.0,14873.0,32297.0,32297.0,32351.0,32351.0,35.0,126375.0,41.0,75.0,3.0,52.0,272.0,366.0,122694.0,5064.0,118951.0,812.0,430.0,735.0,126266.0
2004-07-20,15830.0,13249.0,2469.0,2778.0,2105.0,10599.0,48.0,222.0,378.0,976.0,1646.0,1020.0,2685.0,189.0,3687.0,11436.0,15913.0,16953.0,440.0,17221.0,1359.0,2154.0,96.0,88671.0,1230.0,91871.0,90000.0,1560.0,911.0,92725.0,2077.0,94204.0,204.0,1566.0,103682.0,103931.0,86.0,69.0,265.0,437.0,3920.0,34.0,3935.0,99.0,441.0,357.0,750.0,781.0,1665.0,625.0,414.0,1390.0,933.0,1128.0,1138.0,5097.0,5894.0,7482.0,11008.0,14.0,6983.0,5983.0,3117.0,2555.0,42.0,4259.0,20.0,106.0,5262.0,433.0,440.0,322.0,132.0,50.0,216.0,463.0,4210.0,1173.0,806.0,8.0,60.0,18.0,111.0,487.0,120.0,2099.0,282.0,8238.0,8086.0,6955.0,1048.0,18282.0,3962.0,1651.0,15176.0,33458.0,33458.0,33517.0,33517.0,37.0,139412.0,41.0,81.0,4.0,48.0,294.0,408.0,139500.0,4952.0,136704.0,823.0,383.0,729.0,137574.0
2004-07-21,12320.0,13230.0,2339.0,2682.0,2010.0,10509.0,48.0,223.0,342.0,946.0,1581.0,959.0,2554.0,181.0,3656.0,11344.0,15538.0,16512.0,440.0,16546.0,1215.0,2024.0,85.0,85582.0,1170.0,89857.0,90000.0,1500.0,883.0,92468.0,1849.0,93605.0,183.0,1481.0,102055.0,102077.0,79.0,66.0,277.0,386.0,3876.0,33.0,3891.0,97.0,430.0,340.0,697.0,771.0,1836.0,638.0,648.0,1768.0,1002.0,1292.0,1101.0,5112.0,5988.0,7596.0,10911.0,14.0,7054.0,6074.0,3377.0,2891.0,43.0,4597.0,20.0,103.0,5960.0,419.0,426.0,302.0,92.0,41.0,201.0,369.0,4128.0,1165.0,783.0,8.0,59.0,16.0,103.0,452.0,117.0,2001.0,255.0,8419.0,8222.0,6807.0,998.0,18514.0,3870.0,1448.0,15203.0,33717.0,33717.0,33777.0,33777.0,23.0,138444.0,40.0,78.0,2.0,47.0,251.0,400.0,140332.0,4921.0,138208.0,802.0,376.0,713.0,140326.0
2004-07-22,10263.0,13193.0,2163.0,2504.0,1922.0,10177.0,48.0,222.0,327.0,920.0,1541.0,884.0,2434.0,176.0,3515.0,10953.0,15304.0,16267.0,440.0,16301.0,1096.0,1885.0,82.0,82919.0,1110.0,86491.0,90000.0,1446.0,825.0,92349.0,1724.0,93473.0,171.0,1386.0,101518.0,101540.0,74.0,64.0,293.0,351.0,3850.0,32.0,3845.0,95.0,412.0,360.0,636.0,706.0,1905.0,617.0,430.0,1609.0,977.0,1591.0,1034.0,4993.0,5871.0,7514.0,10814.0,13.0,7360.0,6365.0,3596.0,3125.0,43.0,4904.0,20.0,98.0,5966.0,359.0,366.0,292.0,75.0,38.0,184.0,322.0,4059.0,1157.0,784.0,8.0,58.0,14.0,102.0,456.0,114.0,1994.0,230.0,9071.0,8746.0,6618.0,925.0,18479.0,3582.0,1402.0,14968.0,33447.0,33447.0,33504.0,33504.0,12.0,137397.0,39.0,72.0,0.0,44.0,227.0,360.0,139020.0,4896.0,136892.0,790.0,377.0,700.0,138846.0
2004-07-23,9889.0,13167.0,2007.0,2323.0,1840.0,9841.0,48.0,216.0,322.0,901.0,1511.0,852.0,2367.0,172.0,3382.0,10491.0,14802.0,15761.0,440.0,15840.0,1028.0,1799.0,80.0,81578.0,1054.0,84784.0,88750.0,1397.0,782.0,91263.0,1683.0,92629.0,163.0,1318.0,100558.0,100641.0,70.0,62.0,303.0,350.0,3817.0,31.0,3789.0,93.0,395.0,397.0,576.0,616.0,1882.0,612.0,308.0,1479.0,913.0,1619.0,1015.0,4811.0,5710.0,7330.0,10716.0,12.0,7595.0,6666.0,3961.0,3450.0,43.0,5202.0,20.0,95.0,5928.0,316.0,323.0,284.0,60.0,36.0,174.0,310.0,3997.0,1149.0,766.0,8.0,54.0,12.0,84.0,466.0,111.0,1993.0,217.0,9485.0,9277.0,6465.0,864.0,18859.0,3299.0,1367.0,14700.0,33559.0,33559.0,33612.0,33612.0,11.0,136790.0,39.0,66.0,0.0,43.0,214.0,321.0,138328.0,4872.0,136255.0,806.0,385.0,697.0,138170.0
2004-07-24,9694.0,13143.0,1957.0,2176.0,1763.0,9627.0,48.0,202.0,316.0,889.0,1488.0,826.0,2314.0,169.0,3296.0,10106.0,14231.0,15185.0,440.0,15268.0,984.0,1754.0,78.0,80475.0,1002.0,83567.0,80000.0,1352.0,752.0,83317.0,1650.0,85600.0,158.0,1270.0,94325.0,94742.0,66.0,61.0,313.0,364.0,3783.0,30.0,3755.0,92.0,380.0,405.0,539.0,554.0,1818.0,606.0,222.0,1348.0,870.0,1461.0,990.0,4618.0,5512.0,7095.0,10608.0,12.0,7304.0,6422.0,4006.0,3723.0,44.0,5525.0,20.0,92.0,5917.0,289.0,296.0,277.0,45.0,35.0,169.0,303.0,3936.0,1141.0,748.0,8.0,53.0,10.0,76.0,477.0,108.0,1989.0,211.0,9444.0,9297.0,6330.0,814.0,18894.0,3069.0,1334.0,14476.0,33369.0,33369.0,33420.0,33420.0,11.0,134496.0,38.0,63.0,0.0,43.0,205.0,296.0,136555.0,4847.0,134661.0,832.0,388.0,701.0,136801.0
2004-07-25,9465.0,13121.0,1946.0,2057.0,1691.0,9499.0,48.0,184.0,309.0,879.0,1456.0,790.0,2246.0,165.0,3224.0,9868.0,13751.0,14699.0,440.0,14773.0,946.0,1721.0,76.0,79339.0,954.0,82356.0,72500.0,1308.0,728.0,73356.0,1596.0,73678.0,153.0,1233.0,80430.0,80637.0,62.0,59.0,323.0,358.0,3749.0,29.0,3738.0,91.0,366.0,388.0,527.0,531.0,1758.0,600.0,173.0,1257.0,833.0,1281.0,956.0,4465.0,5333.0,6858.0,10499.0,11.0,6901.0,6015.0,3676.0,3591.0,44.0,5559.0,20.0,89.0,5930.0,271.0,278.0,270.0,37.0,35.0,167.0,299.0,3875.0,1115.0,724.0,8.0,52.0,8.0,71.0,491.0,106.0,1986.0,207.0,9367.0,9208.0,6207.0,771.0,18624.0,2904.0,1304.0,14316.0,32940.0,32940.0,32987.0,32987.0,11.0,124023.0,38.0,62.0,0.0,41.0,197.0,279.0,127685.0,4824.0,126264.0,835.0,383.0,704.0,129224.0
2004-07-26,9176.0,13099.0,1980.0,1958.0,1623.0,9435.0,48.0,179.0,303.0,863.0,1419.0,763.0,2182.0,162.0,3142.0,9716.0,13391.0,14334.0,440.0,14398.0,911.0,1693.0,74.0,78293.0,910.0,81204.0,93750.0,1268.0,705.0,95513.0,1529.0,96457.0,149.0,1201.0,101142.0,100339.0,59.0,58.0,333.0,336.0,3715.0,28.0,3725.0,90.0,352.0,368.0,515.0,539.0,1730.0,596.0,138.0,1183.0,803.0,1129.0,936.0,4352.0,5204.0,6671.0,10393.0,10.0,6520.0,5619.0,3297.0,3263.0,45.0,5296.0,20.0,86.0,5938.0,259.0,266.0,263.0,38.0,34.0,167.0,302.0,3816.0,1068.0,675.0,8.0,52.0,6.0,72.0,506.0,103.0,1987.0,206.0,9318.0,9154.0,6101.0,732.0,18366.0,2778.0,1275.0,14203.0,32569.0,32569.0,32613.0,32613.0,11.0,121091.0,37.0,60.0,0.0,38.0,194.0,266.0,120665.0,4807.0,118557.0,824.0,374.0,705.0,120160.0
2004-07-27,8933.0,13079.0,1976.0,1873.0,1559.0,9368.0,47.0,175.0,298.0,849.0,1391.0,739.0,2130.0,159.0,3063.0,9624.0,13137.0,14074.0,440.0,14132.0,878.0,1668.0,72.0,77401.0,870.0,80206.0,90000.0,1229.0,683.0,92054.0,1463.0,93856.0,145.0,1172.0,100494.0,100657.0,56.0,56.0,343.0,310.0,3681.0,28.0,3699.0,88.0,340.0,349.0,505.0,519.0,1722.0,599.0,131.0,1157.0,784.0,1046.0,920.0,4261.0,5103.0,6535.0,10293.0,10.0,6362.0,5450.0,3039.0,2948.0,45.0,4989.0,20.0,83.0,5981.0,248.0,255.0,257.0,37.0,33.0,163.0,292.0,3754.0,1020.0,637.0,8.0,51.0,4.0,71.0,515.0,101.0,1984.0,205.0,9277.0,9115.0,5996.0,697.0,18165.0,2666.0,1247.0,14113.0,32278.0,32278.0,32318.0,32318.0,11.0,135951.0,36.0,59.0,0.0,36.0,190.0,260.0,136427.0,4785.0,134184.0,800.0,367.0,701.0,135117.0
2004-07-28,8600.0,13059.0,1922.0,1797.0,1499.0,9258.0,47.0,176.0,294.0,836.0,1369.0,723.0,2092.0,156.0,2997.0,9515.0,12951.0,13885.0,440.0,13949.0,846.0,1644.0,71.0,76623.0,832.0,79341.0,90000.0,1192.0,661.0,91905.0,1413.0,93484.0,142.0,1145.0,99427.0,99446.0,54.0,56.0,353.0,289.0,3647.0,27.0,3679.0,87.0,328.0,340.0,495.0,511.0,1716.0,603.0,119.0,1114.0,769.0,984.0,915.0,4194.0,5028.0,6425.0,10190.0,10.0,6180.0,5267.0,2894.0,2778.0,45.0,4781.0,20.0,81.0,6014.0,240.0,247.0,250.0,37.0,33.0,160.0,285.0,3694.0,972.0,598.0,8.0,51.0,3.0,71.0,529.0,99.0,1983.0,202.0,9251.0,9092.0,5884.0,665.0,17548.0,2554.0,1223.0,14023.0,31571.0,31571.0,31608.0,31608.0,11.0,133798.0,36.0,60.0,0.0,33.0,185.0,254.0,135565.0,4761.0,133932.0,790.0,365.0,696.0,136037.0
