, KOOTENAI - LIBBY DAM, KOOTENAI - AT LEONIA, NF FLATHEAD - NEAR COLUMBIA FALLS, MF FLATHEAD - NEAR WEST GLACIER, SF FLATHEAD - HUNGRY HORSE DAM, FLATHEAD - AT COLUMBIA FALLS, CLARK FORK - AT DEER LODGE, CLARK FORK - NR DRUMMOND, ROCK CREEK - NEAR CLINTON, BLACKFOOT - NEAR BONNER, CLARK FORK - ABOVE MISSOULA, BITTERROOT - NEAR MISSOULA, CLARK FORK - BELOW MISSOULA, ST. REGIS - NEAR ST. REGIS, CLARK FORK - AT ST REGIS, FLATHEAD - KERR DAM, CLARK FORK - NOXON RAPIDS DAM, CLARK FORK - CABINET GORGE DAM, PRIEST - NEAR PRIEST RIVER, PEND OREILLE - ALBENI FALLS DAM, COEUR D ALENE - COEUR D ALENE LAKE, SPOKANE - AT SPOKANE, SPOKANE - AT LONGLAKE, ST MARIES - NEAR SANTA, COLUMBIA - AT INTL BOUNDARY, KETTLE - AT LAURIER, COLUMBIA - GRAND COULEE DAM, COLUMBIA - CHIEF JOSEPH DAM, OKANOGAN - NEAR TONASKET, METHOW - NEAR PATEROS, COLUMBIA - WELLS DAM, CHELAN - LAKE CHELAN DAM, COLUMBIA - ROCKY REACH DAM, ENTIAT - NEAR ARDENVOIR, WENATCHEE - AT PESHASTIN, COLUMBIA - WANAPUM DAM, COLUMBIA - PRIEST RAPIDS DAM, YAKIMA - KEECHELUS LAKE, KACHESS - KACHESS DAM, YAKIMA - AT EASTON, CLE ELUM - CLE ELUM LAKE, TEANAWAY - BELOW FORKS, YAKIMA - AT UMTANUM, BUMPING - BUMPING LAKE DAM, NACHES - NEAR CLIFFDEL, TIETON - RIMROCK LAKE NEAR RIMROCK, NACHES - NEAR NACHES, YAKIMA - NEAR PARKER, YAKIMA - AT KIONA, HENRYS FORK - ISLAND PARK DAM, FALLS - NEAR CHESTER, HENRYS FORK - AT ST. ANTHONY, TETON - NEAR ST. ANTHONY, HENRYS FORK - AT REXBURG, SNAKE - JACKSON LAKE AT DAM, SNAKE - NEAR JACKSON, SNAKE - NEAR ALPINE, SF SNAKE - PALISADES DAM, SNAKE - NEAR HEISE, WILLOW CREEK - RIRIE DAM, SNAKE - AB EAGLE ROCK NR IDAHO FALLS, SNAKE - NEAR SHELLEY, SNAKE - AT BLACKFOOT, SNAKE - NEAR BLACKFOOT, PORTNEUF - AT POCATELLO, SNAKE - AMERICAN FALLS RESERVOIR, SNAKE - AT MILNER, BRUNEAU - NEAR HOT SPRINGS, SNAKE - BELOW SWAN FALLS, BIG LOST - AT HOWELL RANCH NEAR CHILLY, BIG LOST - MACKAY RESERVOIR NEAR MACKAY, BIG WOOD - AT HAILEY, BIG WOOD - MAGIC DAM, LITTLE WOOD - LITTLE WOOD DAM, OWYHEE - BELOW OWYHEE DAM, SF BOISE - ANDERSON RANCH DAM, BOISE - LUCKY PEAK DAM, BOISE - AT GLENWOOD BRIDGE, BOISE - NEAR PARMA, MALHEUR - WARM SPRINGS DAM, MALHEUR - AGENCY VALLEY DAM, BULLY CREEK - BULLY CREEK DAM, MALHEUR - NEAR VALE, NF PAYETTE - CASCADE DAM, DEADWOOD - NEAR LOWMAN, PAYETTE - NEAR EMMETT, WEISER - NEAR WEISER, SNAKE - AT WEISER, SNAKE - BROWNLEE DAM, SALMON - AT WHITEBIRD, GRANDE RONDE - TROY, SNAKE - NEAR ANATONE, CLEARWATER - AT OROFINO, CLEARWATER - DWORSHAK DAM, CLEARWATER - AT SPALDING, SNAKE - LOWER GRANITE DAM, SNAKE - LITTLE GOOSE DAM, SNAKE - LOWER MONUMENTAL DAM, SNAKE - ICE HARBOR DAM, WALLA WALLA - NEAR TOUCHET, COLUMBIA - MCNARY DAM, UMATILLA - NEAR GIBBON, UMATILLA - AT PENDLETON, MCKAY CREEK - NEAR PILOT ROCK, UMATILLA - NEAR UMATILLA, NF JOHN DAY - AT MONUMENT, JOHN DAY - AT SERVICE CK, COLUMBIA - JOHN DAY DAM, DESCHUTES - AT MOODY NR BIGGS, COLUMBIA - THE DALLES DAM, KLICKITAT - NEAR PITT, HOOD - NEAR TUCKER BRIDGE, WHITE SALMON - NEAR UNDERWOOD, COLUMBIA - BONNEVILLE DAM
2011-06-13, 55910, 39260, 17380, 18050, 23310, 43900, 1870, 6900, 3940, 13720, 24120, 14600, 40980, 1780, 49560, 55860, , , , 124020, 19100, 25850, 26430, 970, 222535, 18710, 301710, 230520, 20840, 13670, 252050, 9680, 277840, 2260, 11520, 312010, 338050, 840, 730, 1690, 3020, 860, 6520, 1170, 3660, 1440, 6780, 10200, 11160, 2260, 3570, 6280, 3990, 8460, 8210, 13210, 18490, 29620, 17890, 660, 21700, 19430, 18110, 19030, 970, 25780, 19490, 2390, 29180, 1450, 1270, 1910, 1700, 580, 3560, 3950, 8560, 4080, 4210, 580, 480, 100, 1370, 5040, 1280, 10500, 3480, 52260, 55930, 66850, 10410, 133000, 49230, 23810, 55550, 186040, 169680, 184160, 183800, 1170, 491610, 480, 720, 160, 1150, 6010, 8810, 497450, 6340, 492800, 3100, 1410, 1710, 492540
2011-06-14, 55258, 39158, 16802, 18435, 24475, 43968, 1882, 6740, 3908, 13420, 23652, 14680, 40492, 1758, 49180, 56045, , , , 122775, 19702, 25712, 26218, 998, 221618, 19490, 306948, 235000, 20378, 13720, 265765, 8852, 281505, 2208, 11148, 310345, 316805, 828, 722, 1645, 2818, 825, 6358, 1158, 3588, 1468, 6742, 10018, 11062, 2405, 4130, 7070, 4458, 8465, 9048, 13910, 18770, 29705, 17872, 642, 21550, 19175, 17708, 18308, 978, 24542, 19510, 2335, 29105, 1470, 1295, 1912, 1685, 600, 3398, 4000, 8308, 3925, 4070, 578, 470, 100, 1330, 5082, 1302, 10725, 3470, 52808, 56135, 68880, 10742, 135545, 49690, 23502, 59105, 192845, 182818, 186418, 187188, 1120, 496682, 462, 708, 160, 1055, 5672, 8745, 511320, 6440, 499400, 3022, 1425, 1680, 504728
2011-06-15, 55048, 38405, 16745, 18820, 25198, 44300, 1952, 6505, 3872, 13198, 23190, 14530, 39730, 1678, 48280, 56070, , , , 120155, 20758, 25282, 25825, 940, 220062, 20345, 309255, 235000, 19932, 13530, 269955, 7715, 285152, 1988, 10490, 311445, 316772, 758, 668, 1575, 2502, 718, 6125, 1042, 3480, 1445, 6502, 9572, 10560, 2478, 4182, 7318, 4678, 9120, 10610, 15532, 19865, 30575, 17768, 605, 21545, 19152, 17288, 17560, 955, 23140, 19542, 2332, 29015, 1545, 1372, 1925, 1690, 542, 3182, 3930, 7790, 3712, 3832, 555, 452, 92, 1225, 4562, 1280, 10962, 3340, 53218, 56892, 69872, 10240, 135290, 48868, 22335, 58648, 193240, 187050, 187600, 187600, 1045, 487672, 428, 688, 152, 972, 5335, 8268, 503072, 6625, 492172, 2945, 1415, 1592, 498598
2011-06-16, 55295, 37352, 16502, 19270, 23935, 44700, 1900, 6188, 3860, 13015, 22760, 14250, 38872, 1608, 46960, 56235, , , , 116850, 20495, 24900, 25440, 842, 214598, 20692, 309465, 235000, 19712, 12995, 269830, 6498, 283980, 1718, 9845, 308090, 313335, 685, 608, 1508, 2358, 632, 5900, 920, 3340, 1390, 6210, 9122, 10068, 2218, 3820, 6782, 4372, 9490, 10725, 15998, 19972, 30770, 17718, 578, 22082, 19642, 17240, 17188, 902, 22205, 19572, 2168, 28780, 1650, 1482, 1940, 1682, 495, 2982, 3920, 7260, 3502, 3648, 542, 438, 90, 1152, 4278, 1300, 10568, 3008, 52222, 55985, 68742, 9478, 132842, 46240, 20825, 57078, 189922, 186642, 187162, 187162, 985, 487318, 390, 655, 150, 910, 4780, 7602, 502758, 6515, 492350, 2872, 1318, 1500, 498340
2011-06-17, 55812, 36400, 15585, 19035, 22080, 43832, 1765, 5770, 3765, 12890, 22212, 13640, 37565, 1530, 45415, 55625, , , , 113135, 18930, 24562, 25115, 785, 200050, 21050, 309458, 235000, 19282, 12205, 268640, 5378, 281522, 1490, 9185, 303062, 308102, 612, 542, 1435, 2068, 522, 5642, 825, 3125, 1258, 5718, 8408, 9522, 2115, 3702, 6630, 4322, 9198, 10450, 16248, 20145, 30785, 18348, 550, 22585, 20198, 17655, 17322, 868, 21655, 19335, 1988, 28570, 1648, 1495, 1930, 1712, 465, 2835, 3830, 6762, 3292, 3450, 525, 425, 90, 1045, 4015, 1275, 10220, 2738, 50940, 54490, 67912, 8770, 128778, 42860, 19088, 51802, 180580, 180032, 180520, 180520, 932, 478455, 338, 612, 150, 815, 4180, 6800, 494588, 6400, 484875, 2800, 1212, 1415, 491215
2011-06-18, 56245, 34890, 14538, 18255, 20928, 41142, 1690, 5565, 3705, 12632, 21600, 13000, 36158, 1465, 43452, 53535, , , , 109100, 17500, 24115, 24720, 758, 195545, 21272, 308392, 231250, 18915, 11562, 264398, 5080, 276815, 1408, 8922, 296822, 301800, 578, 518, 1368, 2095, 540, 5362, 768, 3042, 1360, 5502, 7718, 8758, 1995, 3525, 6330, 4155, 8955, 9898, 16188, 20082, 30575, 19315, 525, 23080, 20642, 18032, 17700, 842, 21530, 17892, 1888, 28505, 1430, 1312, 1795, 1590, 425, 2715, 3568, 6495, 3048, 3212, 512, 415, 90, 922, 3748, 1208, 9775, 2502, 49660, 52962, 66068, 8138, 124252, 39960, 17572, 46810, 171065, 171065, 171520, 171520, 885, 466728, 308, 555, 150, 702, 3580, 6030, 482260, 6302, 473072, 2750, 1150, 1338, 479248
2011-06-19, 57125, 29580, 14765, 18252, 20242, 39992, 1668, 5380, 3698, 12392, 21235, 12715, 35358, 1438, 42195, 50550, , , , 106492, 16775, 23578, 24220, 735, 192552, 21542, 306398, 225000, 18590, 11345, 256708, 5700, 267435, 1402, 9102, 285240, 289972, 578, 535, 1322, 2360, 662, 5320, 730, 3138, 1520, 5705, 7700, 8100, 1928, 3768, 6450, 4355, 8658, 9590, 16048, 19902, 30235, 20408, 512, 23738, 21158, 18472, 18138, 840, 21775, 16318, 1900, 27808, 1275, 1180, 1685, 1462, 400, 2648, 3408, 6302, 2790, 2945, 502, 408, 85, 818, 3782, 1192, 9330, 2342, 48402, 51462, 63940, 8502, 120440, 37960, 16775, 41565, 162008, 162008, 162430, 162430, 852, 446472, 338, 520, 150, 630, 3515, 5520, 462420, 6240, 453982, 2768, 1128, 1288, 460615
2011-06-20, 58202, 29110, 15560, 18760, 20998, 41182, 1822, 5518, 3855, 12172, 21075, 13020, 35352, 1450, 41615, 50662, 93910, 101000, 6940, 105700, 16488, 23028, 23690, 725, 189930, 22620, 304712, 225000, 18720, 11170, 256222, 6332, 265750, 1368, 9142, 281175, 285460, 548, 515, 1258, 2290, 648, 5320, 685, 3118, 1518, 5708, 7865, 8090, 2125, 3998, 6912, 4832, 8822, 10418, 16695, 20608, 30835, 21470, 495, 24465, 21822, 19002, 18648, 852, 22215, 14740, 2172, 26575, 1352, 1268, 1745, 1485, 435, 2702, 3540, 6155, 2530, 2675, 515, 400, 80, 702, 3938, 1255, 9382, 2338, 47045, 49950, 64700, 9732, 119348, 38222, 16838, 41150, 160495, 160495, 160888, 160888, 820, 435038, 352, 525, 150, 598, 4050, 5975, 447965, 6188, 439725, 2740, 1082, 1248, 445392
2011-06-21, 60550, 28548, 16692, 19890, 23920, 43278, 2415, 6742, 4362, 12338, 22660, 14948, 38715, 1488, 44162, 52595, 93310, 100568, 6898, 107055, 17370, 22548, 23208, 770, 187585, 23892, 303280, 223125, 19242, 10932, 254710, 5842, 263415, 1252, 9042, 277165, 281312, 532, 480, 1185, 2090, 548, 5172, 645, 2935, 1428, 5360, 7510, 8125, 2200, 4180, 7110, 5172, 9392, 10722, 17252, 21200, 31610, 22595, 475, 25680, 22985, 19872, 19460, 860, 22872, 13168, 2355, 25298, 1565, 1482, 1945, 1695, 520, 2605, 3530, 5995, 2272, 2362, 495, 392, 80, 545, 4248, 1262, 10005, 2298, 45562, 48278, 68428, 9378, 121802, 41228, 17365, 43835, 165635, 165635, 165995, 165995, 775, 435598, 315, 542, 160, 592, 3768, 5805, 446920, 6138, 438995, 2598, 1015, 1195, 443860
2011-06-22, 64360, 25998, 17768, 20670, 24528, 45448, 2352, 7192, 4555, 12595, 24338, 15770, 41065, 1450, 47782, 55755, 92355, 99848, 6818, 110130, 17812, 22230, 22878, 790, 186900, 23502, 300838, 220000, 19472, 10550, 251208, 5062, 258468, 1128, 8558, 269678, 273622, 540, 462, 1122, 1975, 515, 4978, 615, 2898, 1425, 5160, 7018, 7792, 2192, 4075, 7000, 5318, 9865, 11140, 18048, 22055, 32612, 23178, 440, 27350, 24648, 21330, 20858, 845, 23972, 11590, 2052, 23565, 1620, 1555, 1990, 1790, 498, 2368, 3228, 5790, 2028, 2085, 470, 380, 80, 418, 3545, 1172, 10112, 2200, 44190, 46822, 69585, 8602, 123792, 41312, 17068, 44655, 168448, 168448, 168778, 168778, 735, 435102, 280, 505, 160, 590, 3238, 5165, 446882, 6090, 439605, 2482, 1010, 1155, 444520
