, LIBBY DAM, HUNGRY HORSE DAM, CLARK FORK NR DRUMMOND, KERR DAM, NOXON RAPIDS DAM, ALBENI FALLS DAM, COEUR D'ALENE LAKE, SPOKANE RIV AT LONGLAKE, SPOKANE RIV AT LONGLAKE, SPOKANE RIV AT LONGLAKE, GRAND COULEE DAM, FEEDER CANAL AT GRANDCOULEE, GRAND COULEE DAM, CHIEF JOSEPH DAM, WELLS DAM, no designation found, ROCKY REACH DAM, no designation found, PRIEST RAPIDS DAM, KEECHELUS LAKE, KACHESS DAM, KEECHELUS LAKE, KACHESS DAM, CLE ELUM LAKE, BUMPING LAKE, RIMROCK LAKE, NACHES RIVER NR CLIFFDEL, ISLAND PARK 1SWIS.PARKDM&RES, SNAKE R ON JACKSON LAKE AT DAM, PALISADES DAM, RIRIE DAM, AMERICAN FALLS RESERVOIR, OWYHEE DAM, LUCKY PEAK RESERVOIR, WARM SPRINGS RESERVOIR, AGENCY VLY DAM & BEULAH RSVR, BULLY CREEK DAM & RESERVOIR, CASCADE DAM, DEADWOOD DAM, BROWNLEE DAM, SNAKE R @HELLS CANYON DAM, SNAKE R @HELLS CANYON DAM, DWORSHAK DAM, LOWER GRANITE DAM, LITTLE GOOSE DAM, LOWER MONUMENTAL DAM, ICE HARBOR DAM, PRIEST RAPIDS DAM, MCNARY DAM, MCKAY CR NR PILOTROCK, JOHN DAY DAM, THE DALLES, THE DALLES, BONNEVILLE DAM
2002-12-09,24000.0,2500.0,232.0,10379.0,13252.0,14640.0,2000.0,2719.0,2719.0,2719.0,100049.0,0.0,113125.0,106978.0,105221.0,2200.0,104486.0,108697.0,107217.0,100.0,110.0,100.0,110.0,200.0,90.0,30.0,192.0,150.0,280.0,1060.0,0.0,390.0,10.0,240.0,1.0,1.0,0.0,200.0,45.0,8100.0,8713.0,8713.0,1019.0,14864.0,14864.0,14955.0,14955.0,107217.0,106245.0,4.0,110148.0,109585.0,109585.0,112640.0
2002-12-10,24000.0,2500.0,231.0,10349.0,13138.0,14763.0,2000.0,3011.0,3011.0,3011.0,107786.0,0.0,110000.0,110000.0,111141.0,2200.0,113561.0,121442.0,121434.0,100.0,110.0,100.0,110.0,200.0,90.0,30.0,190.0,150.0,280.0,1060.0,0.0,390.0,10.0,240.0,1.0,1.0,0.0,200.0,45.0,8100.0,8711.0,8711.0,1059.0,14690.0,14690.0,14781.0,14781.0,121434.0,131377.0,6.0,131677.0,130161.0,130161.0,129467.0
2002-12-11,24000.0,2500.0,231.0,10319.0,13115.0,14866.0,2000.0,3019.0,3019.0,3019.0,109224.0,0.0,110000.0,110000.0,111042.0,2200.0,113298.0,120693.0,120706.0,100.0,110.0,100.0,110.0,200.0,90.0,30.0,197.0,150.0,280.0,1060.0,0.0,390.0,10.0,240.0,1.0,1.0,0.0,200.0,45.0,8100.0,8709.0,8709.0,1161.0,14835.0,14835.0,14928.0,14928.0,120706.0,137648.0,9.0,141490.0,140943.0,140943.0,142464.0
2002-12-12,24000.0,2500.0,230.0,10517.0,13146.0,15004.0,2000.0,3032.0,3032.0,3032.0,109690.0,0.0,108125.0,108750.0,110057.0,2200.0,112566.0,119956.0,120029.0,100.0,110.0,100.0,110.0,200.0,90.0,30.0,200.0,150.0,280.0,1060.0,0.0,390.0,10.0,240.0,1.0,1.0,0.0,200.0,45.0,8100.0,8706.0,8706.0,1211.0,15008.0,15008.0,15099.0,15099.0,120029.0,137387.0,13.0,141309.0,140793.0,140793.0,142608.0
2002-12-13,22875.0,2500.0,230.0,10535.0,13290.0,15211.0,2000.0,3046.0,3046.0,3046.0,110154.0,0.0,95625.0,98750.0,101213.0,2200.0,104898.0,113502.0,113973.0,100.0,110.0,100.0,110.0,200.0,90.0,30.0,195.0,150.0,280.0,1060.0,0.0,390.0,10.0,240.0,1.0,1.0,0.0,200.0,45.0,8100.0,8704.0,8704.0,1400.0,15333.0,15333.0,15427.0,15427.0,113973.0,135597.0,24.0,140053.0,139606.0,139606.0,141689.0
2002-12-14,20400.0,2500.0,230.0,10531.0,13331.0,15265.0,2000.0,3048.0,3048.0,3048.0,110624.0,0.0,78125.0,78750.0,80512.0,2200.0,83836.0,92525.0,93324.0,100.0,110.0,100.0,110.0,200.0,90.0,30.0,190.0,150.0,280.0,1060.0,0.0,390.0,10.0,240.0,1.0,1.0,0.0,200.0,45.0,8100.0,8702.0,8702.0,1400.0,15569.0,15569.0,15667.0,15667.0,93324.0,124206.0,23.0,130881.0,130897.0,130897.0,134100.0
2002-12-15,21525.0,2500.0,229.0,10447.0,13307.0,15092.0,2000.0,3043.0,3043.0,3043.0,110850.0,0.0,90000.0,85000.0,84024.0,2200.0,84414.0,88916.0,88569.0,100.0,110.0,100.0,110.0,200.0,90.0,30.0,188.0,150.0,280.0,1060.0,0.0,390.0,10.0,240.0,1.0,1.0,0.0,200.0,45.0,8100.0,8700.0,8700.0,1400.0,15816.0,15816.0,15918.0,15918.0,88569.0,107442.0,23.0,113136.0,113050.0,113050.0,116252.0
2002-12-16,24000.0,2500.0,229.0,10429.0,13223.0,14533.0,2000.0,3033.0,3033.0,3033.0,110643.0,0.0,107500.0,110000.0,111414.0,2200.0,113378.0,117517.0,116629.0,100.0,110.0,100.0,110.0,200.0,90.0,30.0,187.0,150.0,280.0,1060.0,0.0,390.0,10.0,240.0,1.0,1.0,0.0,200.0,45.0,8100.0,8698.0,8698.0,1400.0,15777.0,15777.0,15881.0,15881.0,116629.0,116178.0,22.0,116747.0,115335.0,115335.0,116078.0
2002-12-17,24000.0,2500.0,228.0,10430.0,13182.0,14517.0,2000.0,3023.0,3023.0,3023.0,110177.0,0.0,95000.0,95000.0,96414.0,2200.0,99321.0,106351.0,106941.0,100.0,110.0,100.0,110.0,200.0,90.0,30.0,186.0,150.0,280.0,1060.0,0.0,390.0,10.0,240.0,1.0,1.0,0.0,200.0,45.0,8100.0,8696.0,8696.0,1400.0,15807.0,15807.0,15911.0,15911.0,106941.0,132734.0,18.0,136890.0,135827.0,135827.0,137092.0
2002-12-18,24000.0,2500.0,228.0,10433.0,13167.0,14531.0,2000.0,3020.0,3020.0,3020.0,110162.0,0.0,95000.0,95000.0,96060.0,2200.0,98314.0,103579.0,103594.0,100.0,110.0,100.0,110.0,200.0,90.0,30.0,186.0,150.0,280.0,1060.0,0.0,390.0,10.0,240.0,1.0,1.0,0.0,200.0,45.0,8100.0,8693.0,8693.0,1400.0,15820.0,15820.0,15925.0,15925.0,103594.0,122650.0,16.0,127780.0,127327.0,127327.0,129985.0
