, KOOTENAI - LIBBY DAM, KOOTENAI - AT LEONIA, NF FLATHEAD - NEAR COLUMBIA FALLS, MF FLATHEAD - NEAR WEST GLACIER, SF FLATHEAD - HUNGRY HORSE DAM, FLATHEAD - AT COLUMBIA FALLS, CLARK FORK - AT DEER LODGE, CLARK FORK - NR DRUMMOND, ROCK CREEK - NEAR CLINTON, BLACKFOOT - NEAR BONNER, CLARK FORK - ABOVE MISSOULA, BITTERROOT - NEAR MISSOULA, CLARK FORK - BELOW MISSOULA, ST. REGIS - NEAR ST. REGIS, CLARK FORK - AT ST REGIS, FLATHEAD - KERR DAM, CLARK FORK - NOXON RAPIDS DAM, CLARK FORK - CABINET GORGE DAM, PRIEST - NEAR PRIEST RIVER, PEND OREILLE - ALBENI FALLS DAM, COEUR D ALENE - COEUR D ALENE LAKE, SPOKANE - AT SPOKANE, SPOKANE - AT LONGLAKE, ST MARIES - NEAR SANTA, COLUMBIA - AT INTL BOUNDARY, KETTLE - AT LAURIER, COLUMBIA - GRAND COULEE DAM, COLUMBIA - CHIEF JOSEPH DAM, OKANOGAN - NEAR TONASKET, METHOW - NEAR PATEROS, COLUMBIA - WELLS DAM, CHELAN - LAKE CHELAN DAM, COLUMBIA - ROCKY REACH DAM, ENTIAT - NEAR ARDENVOIR, WENATCHEE - AT PESHASTIN, COLUMBIA - WANAPUM DAM, COLUMBIA - PRIEST RAPIDS DAM, YAKIMA - KEECHELUS LAKE, KACHESS - KACHESS DAM, YAKIMA - AT EASTON, CLE ELUM - CLE ELUM LAKE, TEANAWAY - BELOW FORKS, YAKIMA - AT UMTANUM, BUMPING - BUMPING LAKE DAM, NACHES - NEAR CLIFFDEL, TIETON - RIMROCK LAKE NEAR RIMROCK, NACHES - NEAR NACHES, YAKIMA - NEAR PARKER, YAKIMA - AT KIONA, HENRYS FORK - ISLAND PARK DAM, FALLS - NEAR CHESTER, HENRYS FORK - AT ST. ANTHONY, TETON - NEAR ST. ANTHONY, HENRYS FORK - AT REXBURG, SNAKE - JACKSON LAKE AT DAM, SNAKE - NEAR JACKSON, SNAKE - NEAR ALPINE, SF SNAKE - PALISADES DAM, SNAKE - NEAR HEISE, WILLOW CREEK - RIRIE DAM, SNAKE - AB EAGLE ROCK NR IDAHO FALLS, SNAKE - NEAR SHELLEY, SNAKE - AT BLACKFOOT, SNAKE - NEAR BLACKFOOT, PORTNEUF - AT POCATELLO, SNAKE - AMERICAN FALLS RESERVOIR, SNAKE - AT MILNER, BRUNEAU - NEAR HOT SPRINGS, SNAKE - BELOW SWAN FALLS, BIG LOST - AT HOWELL RANCH NEAR CHILLY, BIG LOST - MACKAY RESERVOIR NEAR MACKAY, BIG WOOD - AT HAILEY, BIG WOOD - MAGIC DAM, LITTLE WOOD - LITTLE WOOD DAM, OWYHEE - BELOW OWYHEE DAM, SF BOISE - ANDERSON RANCH DAM, BOISE - LUCKY PEAK DAM, BOISE - AT GLENWOOD BRIDGE, BOISE - NEAR PARMA, MALHEUR - WARM SPRINGS DAM, MALHEUR - AGENCY VALLEY DAM, BULLY CREEK - BULLY CREEK DAM, MALHEUR - NEAR VALE, NF PAYETTE - CASCADE DAM, DEADWOOD - NEAR LOWMAN, PAYETTE - NEAR EMMETT, WEISER - NEAR WEISER, SNAKE - AT WEISER, SNAKE - BROWNLEE DAM, SALMON - AT WHITEBIRD, GRANDE RONDE - TROY, SNAKE - NEAR ANATONE, CLEARWATER - AT OROFINO, CLEARWATER - DWORSHAK DAM, CLEARWATER - AT SPALDING, SNAKE - LOWER GRANITE DAM, SNAKE - LITTLE GOOSE DAM, SNAKE - LOWER MONUMENTAL DAM, SNAKE - ICE HARBOR DAM, WALLA WALLA - NEAR TOUCHET, COLUMBIA - MCNARY DAM, UMATILLA - NEAR GIBBON, UMATILLA - AT PENDLETON, MCKAY CREEK - NEAR PILOT ROCK, UMATILLA - NEAR UMATILLA, NF JOHN DAY - AT MONUMENT, JOHN DAY - AT SERVICE CK, COLUMBIA - JOHN DAY DAM, DESCHUTES - AT MOODY NR BIGGS, COLUMBIA - THE DALLES DAM, KLICKITAT - NEAR PITT, HOOD - NEAR TUCKER BRIDGE, WHITE SALMON - NEAR UNDERWOOD, COLUMBIA - BONNEVILLE DAM
2011-07-25, 35590, 13570, 5640, 5980, 6330, 17490, 450, 940, 960, 2690, 5590, 3740, 8840, 500, 11750, 22510, 40270, 44690, 1570, 34930, 3150, 4290, 4920, 160, 130972, 3110, 170870, 182310, 6340, 3150, 195340, 4450, 193690, 880, 5970, 206670, 206880, 340, 320, 430, 1430, 200, 2870, 550, 1570, 700, 1890, 740, 1900, 780, 1040, 1570, 2520, 2990, 2770, 10580, 13720, 17420, 18620, 110, 15880, 14650, 14270, 13630, 110, 16050, 3860, 470, 8660, 520, 280, 580, 300, 150, 850, 770, 3320, 770, 720, 50, 190, 0, 210, 1380, 200, 3040, 370, 14870, 17210, 15360, 2120, 41580, 8050, 5550, 21690, 63270, 58140, 56670, 63920, 90, 281350, 50, 80, 20, 100, 620, 930, 277260, 5030, 260980, 1730, 710, 1100, 240120
2011-07-26, 19822, 13512, 5482, 6002, 6208, 17042, 452, 930, 935, 2605, 5380, 3535, 8442, 500, 11300, 21852, 38040, 42250, 1575, 35635, 3040, 3605, 4345, 170, 125622, 3598, 168525, 172100, 6105, 3352, 186742, 5645, 188718, 925, 6510, 205020, 205265, 350, 322, 430, 1442, 195, 3085, 562, 1698, 782, 2100, 1000, 1955, 780, 1038, 1580, 2485, 2795, 2675, 10292, 13412, 17085, 18302, 110, 14742, 13380, 12500, 12418, 102, 15192, 3480, 460, 8545, 510, 272, 568, 305, 148, 835, 745, 3315, 782, 752, 50, 190, 0, 215, 1380, 195, 2220, 360, 13815, 16420, 14975, 2085, 42890, 7852, 5460, 21548, 64412, 64512, 64622, 64622, 90, 275100, 50, 80, 20, 110, 615, 892, 277962, 5355, 265010, 1708, 632, 1055, 268210
2011-07-27, 19452, 13468, 5842, 5875, 5668, 16710, 450, 930, 892, 2485, 5108, 3182, 7855, 465, 10600, 21172, 34835, 38685, 1562, 32942, 2892, 3435, 4025, 155, 124150, 4285, 162230, 160398, 6122, 3675, 173852, 6390, 176978, 838, 6300, 193092, 193595, 322, 285, 412, 1178, 182, 3282, 488, 1562, 638, 2078, 1340, 2232, 775, 1068, 1630, 2492, 2610, 2555, 9908, 12920, 16505, 18245, 108, 13978, 12525, 10648, 10688, 100, 13512, 2848, 440, 8730, 498, 258, 552, 310, 140, 815, 710, 3310, 792, 782, 50, 190, 0, 190, 1242, 185, 2235, 350, 12655, 14778, 14400, 2030, 37350, 7798, 5410, 21630, 58932, 59032, 59138, 59138, 88, 264412, 50, 80, 20, 112, 590, 845, 268755, 5660, 257185, 1610, 560, 1012, 261452
2011-07-28, 19420, 13375, 5688, 5418, 4630, 15782, 435, 910, 845, 2365, 4855, 2860, 7308, 440, 9958, 20445, 33110, 36762, 1560, 31462, 2758, 3310, 3930, 150, 121810, 3948, 155168, 149665, 6520, 3398, 162758, 5685, 167598, 718, 5415, 182775, 183292, 290, 245, 320, 938, 172, 3362, 438, 1435, 568, 1928, 1318, 2552, 765, 1048, 1632, 2460, 2568, 2430, 9495, 12415, 15952, 18230, 100, 13938, 12478, 9892, 9798, 100, 12260, 2212, 422, 8372, 485, 245, 540, 300, 135, 790, 678, 3310, 802, 775, 42, 190, 0, 120, 1132, 175, 2198, 340, 12795, 14662, 13858, 1992, 34098, 7395, 4870, 21502, 55520, 55615, 55720, 55720, 80, 248930, 50, 80, 20, 105, 562, 790, 252765, 5660, 241865, 1598, 518, 1008, 246108
2011-07-29, 19580, 13292, 5240, 5040, 3862, 14845, 412, 870, 805, 2258, 4595, 2570, 6795, 422, 9360, 19198, 31502, 34978, 1550, 30438, 2638, 3198, 3842, 142, 121048, 3582, 151025, 136880, 6525, 3025, 147968, 5272, 153208, 630, 4720, 166702, 167198, 262, 222, 222, 845, 165, 3375, 410, 1332, 548, 1810, 1182, 2650, 748, 980, 1588, 2415, 2535, 2295, 9045, 11865, 15322, 18215, 100, 14035, 12608, 9900, 9732, 100, 11852, 1620, 405, 7895, 475, 235, 530, 282, 130, 770, 650, 3310, 810, 748, 35, 182, 0, 40, 1040, 168, 2170, 330, 12648, 14472, 13350, 2025, 33208, 6930, 4448, 21198, 54295, 54395, 54495, 54495, 80, 233988, 50, 80, 20, 80, 540, 745, 238400, 5655, 228228, 1672, 552, 1045, 232565
2011-07-30, 18665, 13215, 4812, 4785, 3432, 14158, 385, 815, 775, 2155, 4332, 2315, 6308, 405, 8795, 18090, 29570, 32835, 1490, 29070, 2525, 3092, 3760, 140, 120308, 3310, 150198, 135385, 6120, 2762, 144872, 5372, 150938, 565, 4558, 162908, 162982, 250, 220, 215, 880, 158, 3378, 382, 1250, 622, 1712, 1082, 2590, 730, 885, 1510, 2395, 2468, 2180, 8662, 11378, 14725, 18202, 92, 14125, 12742, 10058, 9898, 100, 11920, 1500, 390, 7485, 468, 230, 520, 255, 122, 750, 625, 3305, 818, 655, 18, 178, 0, 2, 950, 160, 2162, 320, 11902, 13632, 12875, 2060, 32640, 6585, 4118, 21000, 53500, 53598, 53695, 53695, 75, 221682, 50, 75, 20, 70, 520, 705, 224370, 5650, 214602, 1740, 590, 1100, 218638
2011-07-31, 17828, 13148, 4548, 4618, 3232, 13725, 358, 752, 742, 2062, 4068, 2085, 5848, 388, 8255, 17275, 27875, 30950, 1350, 27798, 2418, 2998, 3690, 140, 119612, 3078, 159605, 145102, 5658, 2582, 153022, 5680, 158745, 515, 4610, 168978, 168560, 242, 218, 262, 932, 150, 3412, 358, 1188, 672, 1645, 998, 2505, 710, 780, 1395, 2332, 2370, 2080, 8400, 11010, 14232, 18192, 90, 14182, 12842, 10192, 10040, 100, 12030, 1500, 375, 7135, 458, 218, 512, 232, 120, 740, 610, 3300, 820, 580, 10, 170, 0, 0, 860, 150, 2208, 310, 11260, 12792, 12430, 2020, 32048, 6338, 3850, 20818, 52695, 52790, 52885, 52885, 70, 220030, 50, 70, 20, 70, 500, 672, 221232, 5650, 211775, 1698, 565, 1125, 215155
2011-08-01, 17362, 13082, 4432, 4515, 3225, 13515, 335, 705, 718, 1975, 3810, 1880, 5422, 372, 7752, 16760, 26548, 29480, 1210, 26895, 2318, 2908, 3628, 132, , 2880, 158272, 150965, 5328, 2445, 158045, 6215, 164108, 478, 4752, 174392, 174140, 240, 220, 315, 998, 140, 3525, 332, 1145, 705, 1595, 1045, 2438, 708, 788, 1445, 2288, 2278, 1995, 8300, 10812, 13940, 18182, 95, 14218, 12915, 10305, 10160, 108, 12230, 1500, 385, 7060, 450, 210, 505, 250, 125, 768, 625, 3300, 820, 580, 10, 170, 0, 0, 775, 145, 2258, 308, 10840, 12198, 12052, 1970, 31472, 6202, 3662, 20665, 51945, 52045, 52135, 52135, 70, 226255, 50, 70, 20, 70, 485, 650, 226878, 5650, 217842, 1602, 538, 1150, 220665
2011-08-02, 17025, 13020, 4365, 4412, 3210, 13398, 320, 690, 710, 1890, 3595, 1692, 5052, 358, 7290, 16488, 25552, 28368, 1078, 26202, 2225, 2825, 3572, 130, , 2705, 156970, 160000, 5080, 2330, 167602, 6488, 174780, 448, 4755, 185108, 184812, 225, 218, 368, 980, 135, 3648, 305, 1108, 690, 1548, 1150, 2462, 708, 815, 1545, 2680, 2332, 2028, 8458, 10875, 13900, 18172, 100, 14292, 13020, 10400, 10258, 122, 12370, 1500, 412, 7198, 450, 212, 510, 268, 130, 822, 620, 3300, 820, 558, 10, 170, 0, 0, 698, 140, 2308, 300, 10635, 11818, 11708, 1920, 30952, 6118, 3475, 20582, 51340, 51435, 51520, 51520, 68, 233028, 50, 70, 20, 65, 465, 628, 232915, 5650, 224470, 1558, 515, 1128, 227085
2011-08-03, 16702, 12960, 4255, 4255, 3108, 13185, 330, 710, 695, 1820, 3430, 1538, 4768, 342, 6910, 16275, 24832, 27570, 948, 25382, 2138, 2745, 3528, 130, , 2545, 156205, 160000, 4898, 2215, 167262, 6362, 174565, 422, 4555, 185060, 185102, 218, 202, 420, 915, 130, 3765, 278, 1055, 645, 1490, 1250, 2545, 708, 762, 1552, 2952, 2592, 2242, 8790, 11148, 14195, 18168, 90, 14540, 13282, 10610, 10450, 148, 12572, 1500, 382, 7318, 458, 220, 520, 292, 128, 805, 602, 3300, 820, 562, 10, 170, 0, 0, 675, 140, 2385, 300, 10742, 11730, 11402, 1875, 30492, 6075, 3320, 20512, 50802, 50902, 50985, 50985, 60, 239145, 50, 70, 20, 60, 450, 610, 240410, 5650, 232780, 1532, 502, 1092, 235620
