, KOOTENAI - LIBBY DAM, KOOTENAI - AT LEONIA, NF FLATHEAD - NEAR COLUMBIA FALLS, MF FLATHEAD - NEAR WEST GLACIER, SF FLATHEAD - HUNGRY HORSE DAM, FLATHEAD - AT COLUMBIA FALLS, CLARK FORK - AT DEER LODGE, CLARK FORK - NR DRUMMOND, ROCK CREEK - NEAR CLINTON, BLACKFOOT - NEAR BONNER, CLARK FORK - ABOVE MISSOULA, BITTERROOT - NEAR MISSOULA, CLARK FORK - BELOW MISSOULA, ST. REGIS - NEAR ST. REGIS, CLARK FORK - AT ST REGIS, FLATHEAD - KERR DAM, CLARK FORK - NOXON RAPIDS DAM, CLARK FORK - CABINET GORGE DAM, PRIEST - NEAR PRIEST RIVER, PEND OREILLE - ALBENI FALLS DAM, COEUR D ALENE - COEUR D ALENE LAKE, SPOKANE - AT SPOKANE, SPOKANE - AT LONGLAKE, ST MARIES - NEAR SANTA, KETTLE - AT LAURIER, COLUMBIA - GRAND COULEE DAM, COLUMBIA - CHIEF JOSEPH DAM, OKANOGAN - NEAR TONASKET, METHOW - NEAR PATEROS, COLUMBIA - WELLS DAM, CHELAN - LAKE CHELAN DAM, COLUMBIA - ROCKY REACH DAM, ENTIAT - NEAR ARDENVOIR, WENATCHEE - AT PESHASTIN, COLUMBIA - WANAPUM DAM, COLUMBIA - PRIEST RAPIDS DAM, YAKIMA - KEECHELUS LAKE, KACHESS - KACHESS DAM, YAKIMA - AT EASTON, CLE ELUM - CLE ELUM LAKE, TEANAWAY - BELOW FORKS, YAKIMA - AT UMTANUM, BUMPING - BUMPING LAKE DAM, NACHES - NEAR CLIFFDEL, TIETON - RIMROCK LAKE NEAR RIMROCK, NACHES - NEAR NACHES, YAKIMA - NEAR PARKER, YAKIMA - AT KIONA, HENRYS FORK - ISLAND PARK DAM, FALLS - NEAR CHESTER, HENRYS FORK - AT ST. ANTHONY, TETON - NEAR ST. ANTHONY, HENRYS FORK - AT REXBURG, SNAKE - JACKSON LAKE AT DAM, SNAKE - NEAR JACKSON, SNAKE - NEAR ALPINE, SF SNAKE - PALISADES DAM, SNAKE - NEAR HEISE, WILLOW CREEK - RIRIE DAM, SNAKE - AB EAGLE ROCK NR IDAHO FALLS, SNAKE - NEAR SHELLEY, SNAKE - AT BLACKFOOT, SNAKE - NEAR BLACKFOOT, PORTNEUF - AT POCATELLO, SNAKE - AMERICAN FALLS RESERVOIR, SNAKE - AT MILNER, BRUNEAU - NEAR HOT SPRINGS, SNAKE - BELOW SWAN FALLS, BIG LOST - AT HOWELL RANCH NEAR CHILLY, BIG LOST - MACKAY RESERVOIR NEAR MACKAY, BIG WOOD - AT HAILEY, BIG WOOD - MAGIC DAM, LITTLE WOOD - LITTLE WOOD DAM, OWYHEE - BELOW OWYHEE DAM, SF BOISE - ANDERSON RANCH DAM, BOISE - LUCKY PEAK DAM, BOISE - AT GLENWOOD BRIDGE, BOISE - NEAR PARMA, MALHEUR - WARM SPRINGS DAM, MALHEUR - AGENCY VALLEY DAM, BULLY CREEK - BULLY CREEK DAM, MALHEUR - NEAR VALE, NF PAYETTE - CASCADE DAM, DEADWOOD - NEAR LOWMAN, PAYETTE - NEAR EMMETT, WEISER - NEAR WEISER, SNAKE - AT WEISER, SNAKE - BROWNLEE DAM, SALMON - AT WHITEBIRD, GRANDE RONDE - TROY, SNAKE - NEAR ANATONE, CLEARWATER - AT OROFINO, CLEARWATER - DWORSHAK DAM, CLEARWATER - AT SPALDING, SNAKE - LOWER GRANITE DAM, SNAKE - LITTLE GOOSE DAM, SNAKE - LOWER MONUMENTAL DAM, SNAKE - ICE HARBOR DAM, WALLA WALLA - NEAR TOUCHET, COLUMBIA - MCNARY DAM, UMATILLA - NEAR GIBBON, UMATILLA - AT PENDLETON, MCKAY CREEK - NEAR PILOT ROCK, UMATILLA - NEAR UMATILLA, NF JOHN DAY - AT MONUMENT, JOHN DAY - AT SERVICE CK, COLUMBIA - JOHN DAY DAM, DESCHUTES - AT MOODY NR BIGGS, COLUMBIA - THE DALLES DAM, KLICKITAT - NEAR PITT, HOOD - NEAR TUCKER BRIDGE, WHITE SALMON - NEAR UNDERWOOD, COLUMBIA - BONNEVILLE DAM
2012-02-21,1724.0,5008.0,636.0,381.0,955.0,3784.0,259.0,566.0,163.0,512.0,1436.0,849.0,2226.0,107.0,2718.0,4674.0,7630.0,12319.0,493.0,13009.0,2412.0,3264.0,4368.0,140.0,310.0,82525.0,112259.0,907.0,325.0,105494.0,508.0,106814.0,72.0,935.0,111384.0,102980.0,246.0,218.0,376.0,421.0,184.0,1164.0,154.0,407.0,510.0,758.0,1930.0,2818.0,478.0,527.0,1977.0,420.0,2299.0,510.0,1468.0,1719.0,2803.0,3545.0,72.0,5088.0,4949.0,4576.0,4420.0,234.0,7219.0,4669.0,134.0,10515.0,61.0,111.0,165.0,151.0,59.0,334.0,24.0,330.0,555.0,1225.0,264.0,94.0,86.0,90.0,300.0,64.0,1586.0,585.0,15499.0,17029.0,3832.0,1493.0,26677.0,2511.0,3109.0,4770.0,30310.0,43200.0,40887.0,41800.0,848.0,143859.0,198.0,466.0,499.0,378.0,697.0,921.0,132264.0,6345.0,147459.0,1729.0,1420.0,1454.0,128946.0
2012-02-22,3138.0,5147.0,636.0,376.0,1255.0,3792.0,260.0,628.0,172.0,511.0,1437.0,933.0,2327.0,156.0,2778.0,4853.0,8238.0,8662.0,547.0,13864.0,4211.0,3623.0,5828.0,2421.0,306.0,82802.0,100178.0,904.0,338.0,102484.0,2102.0,102771.0,502.0,5514.0,111054.0,109203.0,1222.0,901.0,1306.0,2091.0,1513.0,2094.0,640.0,878.0,2016.0,1704.0,2554.0,2880.0,476.0,521.0,1952.0,420.0,2316.0,510.0,1461.0,1711.0,2797.0,3572.0,72.0,5098.0,4954.0,4645.0,4484.0,238.0,7196.0,4664.0,134.0,10635.0,61.0,111.0,165.0,151.0,58.0,354.0,356.0,1003.0,864.0,1394.0,302.0,98.0,85.0,91.0,830.0,64.0,1734.0,1527.0,15648.0,17106.0,3727.0,2695.0,28261.0,3414.0,3524.0,6057.0,33210.0,36457.0,36986.0,35066.0,1486.0,146352.0,295.0,664.0,846.0,620.0,1653.0,1502.0,149741.0,6761.0,152455.0,2338.0,1869.0,1783.0,152888.0
2012-02-23,2833.0,5661.0,635.0,372.0,2718.0,3879.0,307.0,905.0,171.0,509.0,1553.0,1530.0,3049.0,334.0,3435.0,5444.0,8992.0,9993.0,623.0,13355.0,12855.0,4814.0,8879.0,7746.0,307.0,85266.0,90470.0,902.0,545.0,92094.0,5132.0,95644.0,1160.0,11915.0,109628.0,109061.0,1131.0,1195.0,1506.0,3614.0,2978.0,6678.0,758.0,1271.0,2274.0,3132.0,8402.0,4264.0,476.0,544.0,2024.0,439.0,2375.0,509.0,1479.0,1722.0,2888.0,3583.0,72.0,5140.0,4984.0,4682.0,4536.0,271.0,7480.0,4656.0,142.0,10906.0,60.0,108.0,164.0,150.0,62.0,443.0,630.0,1318.0,881.0,1556.0,474.0,180.0,82.0,92.0,1516.0,63.0,2790.0,3351.0,18009.0,19208.0,4030.0,6644.0,34814.0,8400.0,8818.0,13638.0,47390.0,47390.0,50579.0,50579.0,2244.0,157100.0,278.0,650.0,770.0,2302.0,2666.0,3012.0,163049.0,8077.0,166536.0,3972.0,3151.0,2862.0,172114.0
2012-02-24,2850.0,5740.0,631.0,420.0,1938.0,3915.0,308.0,999.0,172.0,506.0,1774.0,1322.0,3071.0,233.0,3889.0,5414.0,9726.0,10819.0,628.0,12564.0,17882.0,5888.0,8932.0,2804.0,317.0,85691.0,90033.0,926.0,588.0,91739.0,2788.0,95020.0,766.0,8613.0,104863.0,105138.0,656.0,721.0,827.0,1986.0,1400.0,5581.0,530.0,1000.0,1276.0,2203.0,9189.0,8643.0,476.0,545.0,2058.0,449.0,2456.0,509.0,1470.0,1718.0,2876.0,3605.0,72.0,5224.0,5056.0,4736.0,4591.0,283.0,7458.0,4648.0,147.0,10982.0,59.0,108.0,163.0,151.0,64.0,558.0,539.0,1150.0,881.0,1532.0,387.0,202.0,81.0,92.0,610.0,63.0,3141.0,2598.0,19140.0,21442.0,4696.0,5995.0,36012.0,10421.0,8134.0,16288.0,51284.0,51284.0,53168.0,53168.0,2300.0,171026.0,290.0,654.0,449.0,2278.0,1905.0,2818.0,181422.0,8136.0,185304.0,3223.0,2654.0,2806.0,194226.0
2012-02-25,2855.0,5490.0,629.0,418.0,1744.0,3904.0,302.0,908.0,170.0,502.0,1756.0,1050.0,2790.0,157.0,3596.0,5218.0,9631.0,10724.0,619.0,12260.0,14630.0,7084.0,9317.0,856.0,330.0,85998.0,70208.0,988.0,539.0,73628.0,1539.0,78653.0,498.0,5123.0,87172.0,88255.0,487.0,480.0,512.0,1199.0,611.0,3261.0,465.0,898.0,1167.0,1923.0,5995.0,9566.0,473.0,540.0,2008.0,440.0,2480.0,507.0,1448.0,1692.0,2796.0,3620.0,70.0,5326.0,5152.0,4827.0,4684.0,272.0,7515.0,4641.0,138.0,11006.0,59.0,108.0,163.0,148.0,62.0,589.0,383.0,1011.0,882.0,1513.0,251.0,165.0,79.0,92.0,423.0,62.0,2528.0,2055.0,18341.0,20938.0,4815.0,4131.0,32145.0,9050.0,5444.0,13078.0,44253.0,44253.0,45944.0,45944.0,1843.0,161417.0,288.0,667.0,458.0,1396.0,1599.0,1976.0,174020.0,7682.0,178506.0,2772.0,2312.0,2547.0,187900.0
2012-02-26,2840.0,5256.0,629.0,407.0,1675.0,3884.0,301.0,856.0,169.0,498.0,1639.0,997.0,2628.0,131.0,3325.0,5106.0,9272.0,10327.0,606.0,11786.0,10045.0,7743.0,10406.0,486.0,327.0,82414.0,64999.0,1018.0,506.0,66660.0,1305.0,69436.0,359.0,3862.0,73508.0,73640.0,444.0,391.0,424.0,955.0,546.0,2484.0,441.0,816.0,994.0,1845.0,4889.0,7434.0,470.0,536.0,1970.0,436.0,2425.0,506.0,1443.0,1682.0,2767.0,3632.0,70.0,5336.0,5176.0,4902.0,4774.0,263.0,7594.0,4633.0,134.0,11024.0,59.0,108.0,163.0,150.0,62.0,574.0,350.0,998.0,882.0,1520.0,335.0,182.0,78.0,100.0,403.0,62.0,2212.0,1805.0,17593.0,19858.0,4694.0,3990.0,30922.0,8202.0,4328.0,11558.0,41556.0,42731.0,45064.0,45064.0,2150.0,136470.0,285.0,656.0,420.0,1524.0,2301.0,2667.0,149310.0,7724.0,154177.0,2916.0,2321.0,2762.0,164142.0
2012-02-27, 2818, 5126, 626, 397, 1613, 3862, 299, 840, 168, 495, 1582, 975, 2556, 121, 3198, 5024, 9081, 10116, 586, 11332, 7948, 7855, 10564, 406, 318, 78734, 71773, 1007, 490, 72402, 1255, 73982, 283, 3439, 76124, 75780, 389, 344, 393, 823, 433, 2148, 388, 744, 834, 1648, 4310, 6154, 468, 532, 1944, 432, 2379, 506, 1487, 1718, 2772, 3644, 70, 5300, 5133, 4890, 4781, 257, 7622, 4625, 134, 11047, 59, 108, 163, 155, 61, 634, 342, 980, 882, 1503, 314, 166, 76, 108, 392, 61, 2095, 1490, 17144, 19114, 4557, 3576, 30215, 7970, 3788, 11134, 40471, 41646, 43506, 43506, 2002, 126763, 277, 643, 277, 1328, 1972, 2786, 137522, 7372, 141298, 2593, 1946, 2439, 149506
2012-02-28, 2817, 5059, 622, 387, 1556, 3838, 296, 767, 166, 494, 1535, 954, 2489, 117, 3124, 4939, 8974, 10000, 562, 11031, 6468, 6620, 9063, 382, 316, 76806, 78648, 990, 476, 80402, 1223, 82833, 242, 3092, 85717, 85550, 341, 308, 379, 720, 354, 1914, 350, 684, 721, 1500, 3880, 5394, 466, 527, 1913, 430, 2334, 505, 1554, 1781, 2822, 3657, 70, 5267, 5094, 4856, 4754, 251, 7588, 4617, 129, 11067, 59, 109, 163, 158, 61, 591, 340, 966, 882, 1491, 250, 149, 74, 116, 384, 61, 2014, 1315, 16852, 18569, 4428, 3179, 29244, 7344, 3110, 10046, 38457, 39633, 40890, 40890, 1447, 129394, 274, 623, 212, 990, 1365, 2078, 137613, 7045, 140677, 2366, 1556, 2110, 147066
2012-02-29, 2802, 5018, 617, 378, 1499, 3816, 294, 707, 165, 492, 1460, 937, 2398, 114, 3047, 4860, 8912, 9933, 542, 10854, 5354, 5388, 7358, 368, 316, 75393, 77026, 976, 464, 78742, 1193, 81103, 218, 2858, 84201, 84282, 306, 278, 371, 634, 318, 1763, 318, 632, 632, 1370, 3546, 4871, 462, 523, 1885, 428, 2295, 505, 1621, 1848, 2881, 3670, 70, 5240, 5060, 4824, 4726, 247, 7541, 4609, 124, 11084, 59, 109, 163, 161, 60, 490, 336, 956, 882, 1485, 215, 134, 70, 124, 374, 61, 1961, 1283, 16766, 18268, 4314, 2945, 28618, 6554, 2734, 8952, 36783, 36461, 37350, 37350, 1105, 130826, 280, 658, 169, 750, 961, 1549, 139690, 6852, 142839, 2180, 1270, 1844, 148788
2012-03-01, 2780, 4990, 615, 370, 1444, 3797, 292, 671, 165, 489, 1405, 918, 2323, 112, 2962, 4799, 8884, 9902, 523, 10733, 4679, 4596, 6280, 356, 316, 74189, 75455, 967, 452, 77121, 1162, 79453, 203, 2720, 82388, 82461, 276, 251, 366, 560, 291, 1676, 290, 587, 567, 1258, 3300, 4476, 460, 517, 1852, 425, 2250, 503, 1688, 1911, 2942, 3682, 70, 5213, 5032, 4794, 4706, 245, 7504, 4602, 123, 11104, 58, 106, 163, 159, 60, 474, 332, 952, 882, 1477, 189, 124, 68, 132, 366, 60, 1936, 1208, 16720, 18056, 4230, 2856, 28281, 5895, 2528, 8106, 35646, 34706, 35483, 35483, 922, 125345, 277, 643, 186, 600, 794, 1303, 133738, 6727, 136885, 2041, 1072, 1687, 142498
