, KOOTENAI - LIBBY DAM, KOOTENAI - AT LEONIA, NF FLATHEAD - NEAR COLUMBIA FALLS, MF FLATHEAD - NEAR WEST GLACIER, SF FLATHEAD - HUNGRY HORSE DAM, FLATHEAD - AT COLUMBIA FALLS, CLARK FORK - AT DEER LODGE, CLARK FORK - NR DRUMMOND, ROCK CREEK - NEAR CLINTON, BLACKFOOT - NEAR BONNER, CLARK FORK - ABOVE MISSOULA, BITTERROOT - NEAR MISSOULA, CLARK FORK - BELOW MISSOULA, ST. REGIS - NEAR ST. REGIS, CLARK FORK - AT ST REGIS, FLATHEAD - KERR DAM, CLARK FORK - NOXON RAPIDS DAM, CLARK FORK - CABINET GORGE DAM, PRIEST - NEAR PRIEST RIVER, PEND OREILLE - ALBENI FALLS DAM, COEUR D ALENE - COEUR D ALENE LAKE, SPOKANE - AT SPOKANE, SPOKANE - AT LONGLAKE, ST MARIES - NEAR SANTA, COLUMBIA - AT INTL BOUNDARY, KETTLE - AT LAURIER, COLUMBIA - GRAND COULEE DAM, COLUMBIA - CHIEF JOSEPH DAM, OKANOGAN - NEAR TONASKET, METHOW - NEAR PATEROS, COLUMBIA - WELLS DAM, CHELAN - LAKE CHELAN DAM, COLUMBIA - ROCKY REACH DAM, ENTIAT - NEAR ARDENVOIR, WENATCHEE - AT PESHASTIN, COLUMBIA - WANAPUM DAM, COLUMBIA - PRIEST RAPIDS DAM, YAKIMA - KEECHELUS LAKE, KACHESS - KACHESS DAM, YAKIMA - AT EASTON, CLE ELUM - CLE ELUM LAKE, TEANAWAY - BELOW FORKS, YAKIMA - AT UMTANUM, BUMPING - BUMPING LAKE DAM, NACHES - NEAR CLIFFDEL, TIETON - RIMROCK LAKE NEAR RIMROCK, NACHES - NEAR NACHES, YAKIMA - NEAR PARKER, YAKIMA - AT KIONA, HENRYS FORK - ISLAND PARK DAM, FALLS - NEAR CHESTER, HENRYS FORK - AT ST. ANTHONY, TETON - NEAR ST. ANTHONY, HENRYS FORK - AT REXBURG, SNAKE - JACKSON LAKE AT DAM, SNAKE - NEAR JACKSON, SNAKE - NEAR ALPINE, SF SNAKE - PALISADES DAM, SNAKE - NEAR HEISE, WILLOW CREEK - RIRIE DAM, SNAKE - AB EAGLE ROCK NR IDAHO FALLS, SNAKE - NEAR SHELLEY, SNAKE - AT BLACKFOOT, SNAKE - NEAR BLACKFOOT, PORTNEUF - AT POCATELLO, SNAKE - AMERICAN FALLS RESERVOIR, SNAKE - AT MILNER, BRUNEAU - NEAR HOT SPRINGS, SNAKE - BELOW SWAN FALLS, BIG LOST - AT HOWELL RANCH NEAR CHILLY, BIG LOST - MACKAY RESERVOIR NEAR MACKAY, BIG WOOD - AT HAILEY, BIG WOOD - MAGIC DAM, LITTLE WOOD - LITTLE WOOD DAM, OWYHEE - BELOW OWYHEE DAM, SF BOISE - ANDERSON RANCH DAM, BOISE - LUCKY PEAK DAM, BOISE - AT GLENWOOD BRIDGE, BOISE - NEAR PARMA, MALHEUR - WARM SPRINGS DAM, MALHEUR - AGENCY VALLEY DAM, BULLY CREEK - BULLY CREEK DAM, MALHEUR - NEAR VALE, NF PAYETTE - CASCADE DAM, DEADWOOD - NEAR LOWMAN, PAYETTE - NEAR EMMETT, WEISER - NEAR WEISER, SNAKE - AT WEISER, SNAKE - BROWNLEE DAM, SALMON - AT WHITEBIRD, GRANDE RONDE - TROY, SNAKE - NEAR ANATONE, CLEARWATER - AT OROFINO, NF CLEARWATER - DWORSHAK DAM, CLEARWATER - AT SPALDING, SNAKE - LOWER GRANITE DAM, SNAKE - LITTLE GOOSE DAM, SNAKE - LOWER MONUMENTAL DAM, SNAKE - ICE HARBOR DAM, WALLA WALLA - NEAR TOUCHET, COLUMBIA - MCNARY DAM, UMATILLA - NEAR GIBBON, UMATILLA - AT PENDLETON, MCKAY CREEK - NEAR PILOT ROCK, UMATILLA - NEAR UMATILLA, NF JOHN DAY - AT MONUMENT, JOHN DAY - AT SERVICE CK, COLUMBIA - JOHN DAY DAM, DESCHUTES - AT MOODY NR BIGGS, COLUMBIA - THE DALLES DAM, KLICKITAT - NEAR PITT, HOOD - NEAR TUCKER BRIDGE, WHITE SALMON - NEAR UNDERWOOD, COLUMBIA - BONNEVILLE DAM
2013-03-12, 3744, 5515, 815, 744, 1121, , , 538, 178, , , , , 234, 2982, 4768, 10474, , 961, , , 6263, 7265, 453, 61526, 921, 71684, , 1637, 523, 72104, , 71401, , 1564, 77582, 79301, 279, 311, 476, , 704, 1798, , , 658, 802, 2434, 3151, 426, , , 350, 1706, 328, 1134, , 2104, 1430, 75, 2430, 2182, 1846, , 294, , 504, 174, 5475, 71, 132, 168, 231, 67, 625, , 1543, , 806, 561, , , 81, , , 1519, 1633, 11506, , 4464, 2950, , 4576, 4942, 7617, 26758, 26758, 27853, 27853, 1148, 110710, 378, 744, 266, 569, 1741, 2549, 119044, 5293, 134258, 1678, 1254, 965, 
2013-03-13, 3746, 5635, 790, 790, 1486, , , 544, 218, , , , , 381, 3124, 5192, 10160, , 1131, , , 6560, 8041, 1010, 61418, 926, 72085, , 1627, 532, 67281, , 67333, , 2720, 73494, 73612, 524, 590, 805, , 1636, 3177, , , 1395, 1452, 3752, 3467, 426, , , 367, 1692, 323, 1155, , 2153, 1435, 96, 2420, 2160, 1862, , 328, , 495, 234, 5805, 71, 133, 173, 226, 76, 859, , 1590, , 806, 559, , , 81, , , 1589, 1734, 11970, , 4624, 3612, , 6020, 7625, 9388, 30490, 30490, 31561, 31561, 1518, 110998, 504, 940, 311, 674, 2260, 3072, 120298, 5496, 126207, 2516, 1383, 1078, 
2013-03-14, 4212, 6607, 846, 1110, 2673, , , 570, 260, , , , , 514, 3397, 5796, 10734, , 1398, , , 6825, 9053, 1384, 64206, 1072, 74552, , 1623, 584, 67594, , 68178, , 4601, 73784, 73758, 737, 804, 1010, , 2118, 4753, , , 2168, 2316, 6212, 4838, 430, , , 396, 1678, 329, 1188, , 2244, 1441, 121, 2409, 2146, 1887, , 364, , 495, 304, 5944, 71, 133, 187, 224, 108, 1030, , 1655, , 797, 684, , , 80, , , 1669, 1903, 12380, , 4923, 5283, , 9121, 9643, 13000, 36186, 36186, 38202, 38202, 1648, 113834, 530, 1088, 280, 884, 2948, 3930, 122876, 5706, 124607, 3537, 1358, 1357, 
2013-03-15, 5050, 8706, 1105, 1198, 2942, , , 598, 285, , , , , 570, 3741, 5914, 11458, , 1576, , , 7445, 9423, 1323, 66281, 1437, 77337, , 1832, 843, 68610, , 69288, , 5464, 74607, 74570, 734, 790, 904, , 2012, 5143, , , 1728, 2781, 7744, 7128, 442, , , 444, 1770, 339, 1224, , 2355, 1450, 155, 2424, 2140, 1911, , 409, , 495, 339, 5992, 76, 144, 228, 246, 182, 1146, , 1721, , 791, 941, , , 80, , , 1852, 2035, 12889, , 5410, 7043, , 11185, 10168, 15309, 40781, 40781, 43011, 43011, 1558, 122448, 532, 1117, 241, 985, 3590, 5004, 132509, 5887, 134285, 3938, 1189, 1370, 
2013-03-16, 5124, 9924, 1212, 1252, 2626, , , 628, 292, , , , , 636, 4187, 6006, 11906, , 1646, , , 8422, 10120, 1312, 68746, 1777, 80163, , 2232, 995, 69151, , 69823, , 4874, 74760, 74776, 798, 813, 845, , 1935, 4903, , , 1564, 3093, 7816, 8896, 460, , , 488, 1960, 348, 1260, , 2498, 1458, 168, 2559, 2242, 1984, , 450, , 495, 373, 6030, 96, 181, 276, 287, 224, 1150, , 1760, , 786, 1061, , , 79, , , 2122, 1928, 13148, , 6120, 8028, , 12639, 11472, 16429, 43726, 43726, 45200, 45200, 1473, 128472, 514, 1089, 212, 986, 4036, 5686, 140017, 5941, 142014, 3980, 1069, 1286, 
2013-03-17, 5304, 9806, 1102, 1266, 2592, , , 654, 282, , , , , 626, 4700, 6136, 12241, , 1716, , , 9363, 11040, 1204, 70262, 2033, 81787, , 2553, 1084, 69803, , 70425, , 3740, 74238, 74259, 667, 708, 720, , 1488, 4406, , , 1373, 3042, 7550, 9272, 474, , , 505, 2123, 356, 1294, , 2669, 1481, 159, 2767, 2441, 2130, , 469, , 495, 441, 6094, 88, 165, 269, 288, 184, 1027, , 1737, , 779, 1022, , , 78, , , 2149, 1764, 13145, , 6684, 7701, , 14060, 11539, 17592, 45461, 45461, 46461, 46461, 1358, 131144, 463, 988, 181, 933, 3914, 5573, 143294, 5941, 145454, 3742, 923, 1219, 
2013-03-18, 5468, 9339, 996, 1242, 2546, , , 668, 275, , , , , 561, 5074, 6113, 12531, , 1793, , , 10186, 11930, 1008, 72144, 2154, 83888, , 2693, 1104, 70305, , 70895, , 3023, 73949, 73956, 542, 584, 605, , 1054, 3652, , , 1206, 2798, 6526, 8782, 489, , , 537, 2258, 373, 1351, , 2840, 1509, 152, 2945, 2628, 2315, , 487, , 495, 501, 6154, 73, 136, 257, 262, 167, 967, , 1782, , 744, 862, , , 69, , , 2095, 1603, 12938, , 6966, 6866, , 15043, 10790, 18202, 45990, 45990, 46804, 46804, 1224, 131087, 409, 896, 241, 841, 3542, 5096, 143021, 5963, 145306, 3453, 837, 1190, 
2013-03-19,5653.0,8850.0,949.0,1203.0,2482.0,5020.0,226.0,674.0,230.0,838.0,1766.0,1036.0,2907.0,475.0,5175.0,6014.0,12723.0,13307.0,1771.0,17100.0,14516.0,10735.0,12504.0,816.0,71887.0,2127.0,83782.0,71874.0,2716.0,1070.0,70566.0,1874.0,71133.0,148.0,2680.0,73829.0,73833.0,459.0,479.0,494.0,926.0,770.0,3018.0,194.0,877.0,1038.0,2460.0,5431.0,7815.0,500.0,526.0,1654.0,552.0,2450.0,393.0,1313.0,1436.0,2850.0,1527.0,134.0,3127.0,2803.0,2478.0,2357.0,470.0,4732.0,495.0,528.0,6178.0,71.0,129.0,250.0,248.0,157.0,1139.0,511.0,1778.0,254.0,722.0,616.0,140.0,50.0,65.0,369.0,84.0,2006.0,1391.0,12660.0,13104.0,7120.0,5468.0,25058.0,14626.0,8912.0,17946.0,44374.0,44374.0,45106.0,45106.0,1057.0,129581.0,327.0,735.0,156.0,740.0,2799.0,4263.0,141018.0,5926.0,143340.0,3134.0,724.0,1114.0,147019.0
2013-03-20,5678.0,8324.0,922.0,1163.0,2234.0,4735.0,226.0,667.0,199.0,809.0,1656.0,1008.0,2744.0,402.0,4910.0,5858.0,12570.0,12734.0,1707.0,16675.0,12235.0,10075.0,12110.0,724.0,71338.0,2071.0,83004.0,69249.0,2634.0,1021.0,70681.0,1710.0,71235.0,129.0,2521.0,73766.0,73769.0,408.0,426.0,451.0,888.0,672.0,2596.0,190.0,820.0,914.0,2227.0,4561.0,6740.0,471.0,546.0,1607.0,516.0,2457.0,374.0,1269.0,1408.0,2661.0,1520.0,127.0,3320.0,3007.0,2658.0,2318.0,447.0,4622.0,495.0,527.0,6168.0,70.0,126.0,243.0,234.0,150.0,998.0,500.0,1784.0,261.0,730.0,444.0,134.0,46.0,60.0,345.0,82.0,1864.0,1210.0,12302.0,12619.0,7082.0,4621.0,22860.0,12468.0,7567.0,15714.0,40872.0,40872.0,41563.0,41563.0,902.0,125406.0,253.0,581.0,113.0,574.0,2137.0,3338.0,136048.0,5891.0,138438.0,2898.0,652.0,1055.0,142763.0
2013-03-21,5742.0,7867.0,897.0,1124.0,2151.0,4618.0,228.0,660.0,192.0,787.0,1609.0,1070.0,2733.0,360.0,4617.0,5772.0,12320.0,12505.0,1647.0,18542.0,12726.0,8428.0,10389.0,744.0,70798.0,2028.0,82178.0,67999.0,2496.0,972.0,70643.0,2108.0,71199.0,136.0,2437.0,73660.0,73666.0,374.0,396.0,447.0,1073.0,626.0,2390.0,208.0,884.0,825.0,2076.0,4002.0,5796.0,460.0,570.0,1638.0,494.0,2279.0,366.0,1246.0,1441.0,2556.0,1501.0,122.0,3249.0,2996.0,2772.0,2279.0,450.0,4737.0,495.0,510.0,6140.0,69.0,122.0,237.0,222.0,144.0,710.0,880.0,1812.0,299.0,755.0,396.0,227.0,82.0,57.0,720.0,91.0,1800.0,1078.0,12022.0,13555.0,6912.0,4211.0,24644.0,10962.0,7122.0,14280.0,38486.0,38486.0,39154.0,39154.0,799.0,120958.0,210.0,484.0,93.0,431.0,1774.0,2813.0,130569.0,5897.0,132927.0,2781.0,602.0,1026.0,137514.0
