, LIBBY DAM, HUNGRY HORSE DAM, CLARK FORK NR DRUMMOND, KERR DAM, NOXON RAPIDS DAM, ALBENI FALLS DAM, COEUR D'ALENE LAKE, SPOKANE RIV AT LONGLAKE, SPOKANE RIV AT LONGLAKE, SPOKANE RIV AT LONGLAKE, GRAND COULEE DAM, FEEDER CANAL AT GRANDCOULEE, GRAND COULEE DAM, CHIEF JOSEPH DAM, WELLS DAM, no designation found, ROCKY REACH DAM, no designation found, PRIEST RAPIDS DAM, KEECHELUS LAKE, KACHESS DAM, KEECHELUS LAKE, KACHESS DAM, CLE ELUM LAKE, BUMPING LAKE, RIMROCK LAKE, NACHES RIVER NR CLIFFDEL, ISLAND PARK 1SWIS.PARKDM&RES, SNAKE R ON JACKSON LAKE AT DAM, PALISADES DAM, RIRIE DAM, AMERICAN FALLS RESERVOIR, OWYHEE DAM, LUCKY PEAK RESERVOIR, WARM SPRINGS RESERVOIR, AGENCY VLY DAM & BEULAH RSVR, BULLY CREEK DAM & RESERVOIR, CASCADE DAM, DEADWOOD DAM, BROWNLEE DAM, SNAKE R @HELLS CANYON DAM, SNAKE R @HELLS CANYON DAM, DWORSHAK DAM, LOWER GRANITE DAM, LITTLE GOOSE DAM, LOWER MONUMENTAL DAM, ICE HARBOR DAM, PRIEST RAPIDS DAM, MCNARY DAM, MCKAY CR NR PILOTROCK, JOHN DAY DAM, THE DALLES, THE DALLES, BONNEVILLE DAM
2002-12-23,13212.0,2543.0,225.0,10400.0,13161.0,13229.0,2612.0,3705.0,3705.0,3705.0,90274.0,0.0,98750.0,91222.0,88990.0,900.0,86086.0,84414.0,83639.0,150.0,20.0,150.0,20.0,200.0,100.0,30.0,221.0,97.0,294.0,1060.0,0.0,380.0,10.0,245.0,0.0,0.0,0.0,200.0,46.0,8100.0,8683.0,8683.0,1500.0,15695.0,15695.0,15822.0,15822.0,83639.0,94651.0,3.0,99968.0,98529.0,98529.0,99818.0
2002-12-24,8662.0,2500.0,225.0,10400.0,13251.0,14665.0,2200.0,3276.0,3276.0,3276.0,89089.0,0.0,87500.0,90469.0,92781.0,900.0,94977.0,99464.0,99673.0,150.0,20.0,150.0,20.0,200.0,100.0,30.0,214.0,97.0,294.0,1060.0,0.0,380.0,10.0,245.0,0.0,0.0,0.0,200.0,46.0,8100.0,8681.0,8681.0,1500.0,15748.0,15748.0,15860.0,15860.0,99673.0,111003.0,3.0,112086.0,110155.0,110155.0,110274.0
2002-12-25,7300.0,2500.0,224.0,10400.0,13237.0,14626.0,2200.0,3133.0,3133.0,3133.0,87140.0,0.0,71250.0,69844.0,71053.0,900.0,72705.0,77737.0,78558.0,150.0,20.0,150.0,20.0,200.0,100.0,30.0,211.0,97.0,294.0,1060.0,0.0,380.0,10.0,245.0,0.0,0.0,0.0,200.0,46.0,8100.0,8679.0,8679.0,1500.0,15772.0,15772.0,15883.0,15883.0,78558.0,110851.0,4.0,117514.0,116832.0,116832.0,119316.0
2002-12-26,7300.0,2500.0,224.0,10400.0,13241.0,14603.0,2200.0,3135.0,3135.0,3135.0,87113.0,0.0,90000.0,89219.0,89333.0,900.0,89025.0,89731.0,88913.0,150.0,20.0,150.0,20.0,200.0,100.0,30.0,208.0,97.0,294.0,1060.0,0.0,380.0,10.0,245.0,0.0,0.0,0.0,200.0,46.0,8100.0,8677.0,8677.0,1500.0,15744.0,15744.0,15859.0,15859.0,88913.0,97386.0,6.0,101851.0,101000.0,101000.0,103671.0
2002-12-27,7300.0,2500.0,224.0,10400.0,13252.0,14604.0,2200.0,3149.0,3149.0,3149.0,86977.0,0.0,87500.0,88437.0,89765.0,900.0,91047.0,94237.0,94310.0,150.0,20.0,150.0,20.0,200.0,100.0,30.0,206.0,97.0,294.0,1060.0,0.0,380.0,10.0,245.0,0.0,0.0,0.0,200.0,46.0,8100.0,8675.0,8675.0,1500.0,15743.0,15743.0,16092.0,16092.0,94310.0,110500.0,9.0,113236.0,111461.0,111461.0,112487.0
2002-12-28,7300.0,2500.0,223.0,10400.0,13246.0,14585.0,2200.0,3155.0,3155.0,3155.0,86839.0,0.0,76250.0,77969.0,79811.0,900.0,81762.0,85909.0,86366.0,150.0,20.0,150.0,20.0,200.0,100.0,30.0,204.0,97.0,294.0,1060.0,0.0,380.0,10.0,245.0,0.0,0.0,0.0,200.0,46.0,8100.0,8673.0,8673.0,1500.0,15751.0,15751.0,16161.0,16161.0,86366.0,110462.0,8.0,115677.0,114549.0,114549.0,117023.0
2002-12-29,7300.0,2500.0,223.0,10400.0,13235.0,14548.0,2200.0,3152.0,3152.0,3152.0,86653.0,0.0,73750.0,70938.0,71176.0,900.0,71738.0,74550.0,74792.0,150.0,20.0,150.0,20.0,200.0,100.0,30.0,202.0,97.0,294.0,1060.0,0.0,380.0,10.0,245.0,0.0,0.0,0.0,200.0,46.0,8100.0,8671.0,8671.0,1500.0,15743.0,15743.0,16023.0,16023.0,74792.0,100076.0,7.0,106389.0,105554.0,105554.0,108443.0
2002-12-30,7300.0,2500.0,222.0,10400.0,13223.0,14337.0,2200.0,3155.0,3155.0,3155.0,86455.0,0.0,100000.0,98906.0,98603.0,900.0,97787.0,97064.0,95903.0,150.0,20.0,150.0,20.0,200.0,100.0,30.0,201.0,97.0,294.0,1060.0,0.0,380.0,10.0,245.0,0.0,0.0,0.0,200.0,46.0,8100.0,8669.0,8669.0,1500.0,15725.0,15725.0,15940.0,15940.0,95903.0,97772.0,7.0,100646.0,99073.0,99073.0,100648.0
2002-12-31,6913.0,2500.0,222.0,10400.0,13211.0,13769.0,2200.0,3160.0,3160.0,3160.0,86543.0,0.0,100000.0,100000.0,100927.0,900.0,101880.0,104224.0,104215.0,150.0,20.0,150.0,20.0,200.0,100.0,30.0,199.0,97.0,294.0,1060.0,0.0,380.0,10.0,245.0,0.0,0.0,0.0,200.0,46.0,8600.0,9167.0,9167.0,1500.0,15707.0,15707.0,15909.0,15909.0,104215.0,118673.0,7.0,120909.0,118681.0,118681.0,118935.0
2003-01-01,6249.0,2500.0,221.0,10400.0,13201.0,13760.0,2200.0,3166.0,3166.0,3166.0,93046.0,0.0,100000.0,100000.0,100920.0,900.0,101872.0,104097.0,104104.0,150.0,20.0,150.0,20.0,200.0,100.0,30.0,198.0,97.0,294.0,1060.0,0.0,380.0,10.0,245.0,0.0,0.0,0.0,200.0,46.0,12100.0,12666.0,12666.0,1500.0,17426.0,17426.0,17625.0,17625.0,104104.0,122330.0,7.0,126565.0,124972.0,124972.0,126623.0
2003-01-02,6219.0,2500.0,221.0,10400.0,13190.0,13759.0,1932.0,3150.0,3150.0,3150.0,100186.0,0.0,100000.0,100000.0,100914.0,900.0,101866.0,103965.0,103970.0,150.0,20.0,150.0,20.0,200.0,100.0,30.0,197.0,97.0,294.0,1060.0,0.0,380.0,10.0,245.0,0.0,0.0,0.0,200.0,46.0,12100.0,12664.0,12664.0,1500.0,19675.0,19675.0,19870.0,19870.0,103970.0,125070.0,8.0,129280.0,127616.0,127616.0,129223.0
