, KOOTENAI - LIBBY DAM, KOOTENAI - AT LEONIA, NF FLATHEAD - NEAR COLUMBIA FALLS, MF FLATHEAD - NEAR WEST GLACIER, SF FLATHEAD - HUNGRY HORSE DAM, FLATHEAD - AT COLUMBIA FALLS, CLARK FORK - AT DEER LODGE, CLARK FORK - NR DRUMMOND, ROCK CREEK - NEAR CLINTON, BLACKFOOT - NEAR BONNER, CLARK FORK - ABOVE MISSOULA, BITTERROOT - NEAR MISSOULA, CLARK FORK - BELOW MISSOULA, ST. REGIS - NEAR ST. REGIS, CLARK FORK - AT ST REGIS, FLATHEAD - KERR DAM, CLARK FORK - NOXON RAPIDS DAM, CLARK FORK - CABINET GORGE DAM, PRIEST - NEAR PRIEST RIVER, PEND OREILLE - ALBENI FALLS DAM, COEUR D ALENE - COEUR D ALENE LAKE, SPOKANE - AT SPOKANE, SPOKANE - AT LONGLAKE, ST MARIES - NEAR SANTA, COLUMBIA - AT INTL BOUNDARY, KETTLE - AT LAURIER, COLUMBIA - GRAND COULEE DAM, COLUMBIA - CHIEF JOSEPH DAM, OKANOGAN - NEAR TONASKET, METHOW - NEAR PATEROS, COLUMBIA - WELLS DAM, CHELAN - LAKE CHELAN DAM, COLUMBIA - ROCKY REACH DAM, ENTIAT - NEAR ARDENVOIR, WENATCHEE - AT PESHASTIN, COLUMBIA - WANAPUM DAM, COLUMBIA - PRIEST RAPIDS DAM, YAKIMA - KEECHELUS LAKE, KACHESS - KACHESS DAM, YAKIMA - AT EASTON, CLE ELUM - CLE ELUM LAKE, TEANAWAY - BELOW FORKS, YAKIMA - AT UMTANUM, BUMPING - BUMPING LAKE DAM, NACHES - NEAR CLIFFDEL, TIETON - RIMROCK LAKE NEAR RIMROCK, NACHES - NEAR NACHES, YAKIMA - NEAR PARKER, YAKIMA - AT KIONA, HENRYS FORK - ISLAND PARK DAM, FALL RIVER - NEAR CHESTER, HENRYS FORK - AT ST. ANTHONY, TETON - NEAR ST. ANTHONY, HENRYS FORK - AT REXBURG, SNAKE - JACKSON LAKE AT DAM, SNAKE - NEAR JACKSON, SNAKE - NEAR ALPINE, SF SNAKE - PALISADES DAM, SNAKE - NEAR HEISE, WILLOW CREEK - RIRIE DAM, SNAKE - AB EAGLE ROCK NR IDAHO FALLS, SNAKE - NEAR SHELLEY, SNAKE - AT BLACKFOOT, SNAKE - NEAR BLACKFOOT, PORTNEUF - AT POCATELLO, SNAKE - AMERICAN FALLS RESERVOIR, SNAKE - AT MILNER, BRUNEAU - NEAR HOT SPRINGS, SNAKE - BELOW SWAN FALLS, BIG LOST - AT HOWELL RANCH NEAR CHILLY, BIG LOST - MACKAY RESERVOIR NEAR MACKAY, BIG WOOD - AT HAILEY, BIG WOOD - MAGIC DAM, LITTLE WOOD - LITTLE WOOD DAM, OWYHEE - OWYHEE DAM, SF BOISE - ANDERSON RANCH DAM, BOISE - LUCKY PEAK DAM, BOISE - AT GLENWOOD BRIDGE, BOISE - NEAR PARMA, MALHEUR - WARM SPRINGS DAM, MALHEUR - AGENCY VALLEY DAM, BULLY CREEK - BULLY CREEK DAM, MALHEUR - NEAR VALE, NF PAYETTE - CASCADE DAM, DEADWOOD - NEAR LOWMAN, PAYETTE - NEAR EMMETT, WEISER - NEAR WEISER, SNAKE - AT WEISER, SNAKE - BROWNLEE DAM, SALMON - AT WHITEBIRD, GRANDE RONDE - TROY, SNAKE - NEAR ANATONE, CLEARWATER - AT OROFINO, NF CLEARWATER - DWORSHAK DAM, CLEARWATER - AT SPALDING, SNAKE - LOWER GRANITE DAM, SNAKE - LITTLE GOOSE DAM, SNAKE - LOWER MONUMENTAL DAM, SNAKE - ICE HARBOR DAM, WALLA WALLA - NEAR TOUCHET, COLUMBIA - MCNARY DAM, UMATILLA - NEAR GIBBON, UMATILLA - AT PENDLETON, MCKAY CREEK - NEAR PILOT ROCK, UMATILLA - NEAR UMATILLA, NF JOHN DAY - AT MONUMENT, JOHN DAY - AT SERVICE CK, COLUMBIA - JOHN DAY DAM, DESCHUTES - AT MOODY NR BIGGS, COLUMBIA - THE DALLES DAM, KLICKITAT - NEAR PITT, HOOD - NEAR TUCKER BRIDGE, WHITE SALMON - NEAR UNDERWOOD, COLUMBIA - BONNEVILLE DAM
2017-06-13,47267.0,26311.0,10617.0,8126.0,10362.0,25392.0,638.0,1522.0,1296.0,4238.0,7790.0,8321.0,16600.0,871.0,20430.0,32530.0,60675.0,64760.0,4927.0,70198.0,6786.0,7298.0,8540.0,265.0,229190.0,10154.0,252063.0,214998.0,11473.0,6566.0,233118.0,5943.0,238502.0,1105.0,7565.0,246176.0,246611.0,414.0,405.0,249.0,1610.0,342.0,2888.0,669.0,1790.0,1166.0,2643.0,2716.0,5512.0,752.0,2629.0,3617.0,3747.0,5984.0,7150.0,18859.0,24481.0,31506.0,22316.0,241.0,22440.0,22318.0,20859.0,19211.0,380.0,22096.0,7000.0,1199.0,16517.0,1664.0,1773.0,2773.0,2574.0,604.0,1213.0,4495.0,11866.0,8686.0,9579.0,193.0,254.0,13.0,130.0,5192.0,1574.0,13331.0,2170.0,41616.0,42640.0,50532.0,5756.0,96145.0,20792.0,10809.0,25641.0,121786.0,118714.0,119114.0,120638.0,305.0,379672.0,113.0,204.0,17.0,197.0,1311.0,2314.0,393908.0,5607.0,396259.0,2337.0,925.0,2391.0,403692.0
2017-06-14,44168.0,24342.0,13551.0,10152.0,12859.0,29357.0,1586.0,4451.0,2638.0,5167.0,11694.0,14246.0,26310.0,834.0,26087.0,33238.0,58967.0,62827.0,4862.0,67217.0,7089.0,7538.0,8463.0,256.0,214268.0,9536.0,235211.0,214997.0,11357.0,7118.0,233752.0,6719.0,239716.0,1153.0,7778.0,247472.0,247463.0,374.0,381.0,207.0,1513.0,345.0,2912.0,593.0,1641.0,1068.0,2570.0,2458.0,4026.0,948.0,2988.0,4686.0,4513.0,6310.0,7428.0,19083.0,24447.0,32564.0,22527.0,231.0,22531.0,22214.0,20531.0,19059.0,403.0,22316.0,7000.0,1258.0,16416.0,1842.0,1874.0,3274.0,3058.0,653.0,1330.0,5134.0,12077.0,8447.0,9152.0,185.0,248.0,11.0,96.0,4578.0,1873.0,16312.0,2236.0,44497.0,45895.0,74432.0,5414.0,109372.0,37795.0,11822.0,40466.0,149839.0,147469.0,147859.0,148275.0,291.0,383925.0,106.0,189.0,15.0,179.0,1231.0,2163.0,387363.0,5543.0,388596.0,2201.0,813.0,2183.0,392992.0
2017-06-15,47553.0,24269.0,16421.0,10684.0,17668.0,34086.0,1496.0,4745.0,2912.0,6912.0,16237.0,16203.0,32693.0,785.0,36856.0,40297.0,68446.0,72828.0,4790.0,76296.0,6577.0,7056.0,8200.0,246.0,212549.0,8978.0,229616.0,214997.0,11769.0,7440.0,234223.0,6005.0,240151.0,1132.0,7250.0,247425.0,247432.0,341.0,350.0,139.0,1337.0,300.0,2907.0,540.0,1513.0,1009.0,2405.0,2349.0,3463.0,877.0,2503.0,4219.0,4219.0,7150.0,7258.0,18259.0,23172.0,30932.0,22375.0,208.0,23235.0,22747.0,20715.0,19308.0,399.0,22294.0,7000.0,1230.0,16875.0,2018.0,1977.0,3180.0,3101.0,621.0,974.0,4474.0,11870.0,8446.0,8562.0,171.0,240.0,9.0,42.0,3671.0,1556.0,16494.0,1884.0,45458.0,47308.0,80515.0,5108.0,126809.0,39269.0,10775.0,45611.0,172420.0,170752.0,171133.0,171133.0,274.0,418326.0,103.0,179.0,13.0,142.0,1173.0,2079.0,422246.0,5488.0,423152.0,2081.0,750.0,1984.0,426039.0
2017-06-16,48462.0,23500.0,14533.0,9280.0,17786.0,31042.0,1074.0,3579.0,2489.0,6898.0,14899.0,13420.0,28452.0,775.0,35224.0,40346.0,72227.0,76871.0,4732.0,82474.0,6060.0,6409.0,7538.0,253.0,217264.0,8484.0,232744.0,213122.0,11773.0,7419.0,233060.0,6547.0,238967.0,1121.0,6936.0,246341.0,246454.0,385.0,393.0,94.0,1561.0,382.0,2708.0,644.0,1494.0,1362.0,2477.0,1929.0,3229.0,743.0,2134.0,3558.0,3647.0,6841.0,6377.0,17224.0,22024.0,29445.0,23485.0,199.0,23687.0,23160.0,21189.0,19938.0,381.0,22786.0,7000.0,1181.0,16536.0,1874.0,1795.0,3013.0,2858.0,549.0,768.0,4028.0,11766.0,8445.0,8403.0,161.0,234.0,7.0,1.0,3133.0,1381.0,14863.0,1615.0,44058.0,46187.0,68274.0,4854.0,118440.0,33175.0,9432.0,39989.0,158430.0,157464.0,157837.0,157837.0,269.0,415360.0,102.0,173.0,12.0,119.0,1122.0,2010.0,426304.0,5433.0,428270.0,1972.0,736.0,1869.0,433642.0
2017-06-17,42524.0,20704.0,12935.0,8561.0,15176.0,28461.0,894.0,2791.0,2150.0,6320.0,12884.0,11506.0,24412.0,815.0,30561.0,36638.0,67815.0,72223.0,4667.0,78637.0,6557.0,6596.0,7391.0,279.0,218377.0,8042.0,234337.0,208012.0,11378.0,7264.0,227629.0,7958.0,233700.0,1190.0,6985.0,241375.0,241601.0,366.0,388.0,69.0,1551.0,389.0,2854.0,678.0,1558.0,1369.0,2687.0,2136.0,2993.0,682.0,2107.0,3317.0,3332.0,6058.0,6429.0,17642.0,22477.0,29295.0,23744.0,192.0,23934.0,23247.0,21135.0,20071.0,352.0,23056.0,7000.0,1116.0,16066.0,1776.0,1655.0,2989.0,2788.0,499.0,733.0,4046.0,11713.0,8446.0,8402.0,155.0,229.0,5.0,1.0,3438.0,1364.0,14137.0,1436.0,42250.0,44338.0,58447.0,4645.0,106230.0,30151.0,10227.0,36926.0,143156.0,142893.0,143257.0,143257.0,278.0,396328.0,100.0,171.0,12.0,117.0,1087.0,1950.0,408052.0,5385.0,410234.0,1881.0,702.0,1936.0,416190.0
2017-06-18,38416.0,20421.0,12155.0,7896.0,13093.0,26891.0,831.0,2338.0,1917.0,5777.0,11426.0,10534.0,21961.0,772.0,27327.0,34171.0,63734.0,67923.0,4525.0,73367.0,6490.0,6792.0,7842.0,232.0,215344.0,7648.0,232183.0,202350.0,11360.0,7132.0,221367.0,7756.0,227320.0,1186.0,7328.0,235250.0,235476.0,324.0,356.0,83.0,1503.0,341.0,2665.0,609.0,1474.0,1195.0,2800.0,1936.0,3015.0,659.0,2200.0,3339.0,3297.0,5497.0,7109.0,19048.0,24215.0,30854.0,23700.0,183.0,23629.0,22916.0,21017.0,20157.0,326.0,23098.0,6973.0,1062.0,15663.0,1792.0,1644.0,2948.0,2737.0,466.0,701.0,4093.0,11673.0,8447.0,8369.0,146.0,224.0,2.0,1.0,3148.0,1383.0,13906.0,1292.0,41165.0,43092.0,58052.0,4463.0,102045.0,29750.0,10221.0,36506.0,138551.0,138551.0,138908.0,138908.0,245.0,381670.0,95.0,163.0,10.0,104.0,1031.0,1872.0,391479.0,5343.0,393434.0,1800.0,631.0,1825.0,398782.0
2017-06-19,34807.0,19899.0,11804.0,7392.0,11830.0,25931.0,787.0,2042.0,1749.0,5423.0,10460.0,9425.0,19885.0,729.0,24846.0,32395.0,60808.0,64849.0,4346.0,69897.0,5833.0,6090.0,7237.0,218.0,209939.0,7301.0,226074.0,198821.0,11342.0,7069.0,217774.0,8047.0,223674.0,1211.0,7859.0,231908.0,232033.0,307.0,346.0,116.0,1570.0,323.0,2609.0,620.0,1453.0,1240.0,3261.0,2082.0,2979.0,628.0,2064.0,3117.0,3284.0,5125.0,7441.0,20031.0,25437.0,32502.0,23661.0,176.0,23028.0,22172.0,20197.0,19536.0,309.0,22677.0,6901.0,1012.0,15378.0,1854.0,1720.0,2885.0,2661.0,440.0,673.0,4110.0,11640.0,8449.0,8340.0,136.0,218.0,0.0,1.0,2684.0,1309.0,13207.0,1164.0,40204.0,42138.0,56216.0,4285.0,101635.0,26829.0,8873.0,34015.0,135649.0,135649.0,135999.0,135999.0,229.0,374814.0,94.0,155.0,8.0,81.0,985.0,1793.0,383517.0,5306.0,385254.0,1727.0,635.0,1691.0,389897.0
2017-06-20,31622.0,17863.0,11789.0,7074.0,10917.0,25508.0,751.0,1830.0,1622.0,5132.0,9724.0,8380.0,18104.0,696.0,22653.0,31216.0,58282.0,62202.0,4169.0,67051.0,5255.0,5430.0,6533.0,212.0,204518.0,6966.0,219549.0,195292.0,11150.0,7014.0,214082.0,8616.0,220033.0,1246.0,8327.0,228769.0,228904.0,299.0,349.0,149.0,1669.0,312.0,2686.0,643.0,1486.0,1286.0,3347.0,2210.0,3072.0,604.0,1912.0,2920.0,3221.0,4792.0,7212.0,20096.0,25470.0,32890.0,23626.0,168.0,22578.0,21597.0,19440.0,18907.0,294.0,21943.0,6829.0,964.0,15160.0,1907.0,1788.0,2787.0,2548.0,419.0,646.0,4115.0,11611.0,8450.0,8310.0,128.0,213.0,0.0,1.0,2368.0,1257.0,12346.0,1058.0,38951.0,40887.0,51978.0,4123.0,97500.0,23639.0,7897.0,30117.0,127617.0,127617.0,127960.0,127960.0,213.0,365623.0,93.0,151.0,6.0,60.0,940.0,1723.0,374817.0,5268.0,376616.0,1666.0,660.0,1581.0,381338.0
2017-06-21,29736.0,16590.0,11951.0,6911.0,10319.0,25431.0,714.0,1656.0,1512.0,4870.0,9096.0,7462.0,16558.0,671.0,20777.0,30542.0,55250.0,59017.0,3993.0,63920.0,4859.0,5008.0,6052.0,206.0,198888.0,6611.0,213178.0,191762.0,11086.0,6949.0,210292.0,9227.0,216283.0,1286.0,8647.0,225371.0,225517.0,291.0,349.0,183.0,1733.0,289.0,2778.0,669.0,1545.0,1324.0,3447.0,2264.0,3219.0,572.0,1782.0,2662.0,3077.0,4403.0,6925.0,19778.0,25156.0,32524.0,23594.0,162.0,22130.0,21052.0,18784.0,18396.0,280.0,21301.0,6757.0,924.0,14967.0,1884.0,1785.0,2660.0,2404.0,400.0,624.0,4007.0,11584.0,8452.0,8275.0,117.0,207.0,0.0,1.0,2152.0,1230.0,11620.0,970.0,37805.0,39677.0,48478.0,3968.0,91963.0,21044.0,7160.0,26445.0,118408.0,118408.0,118745.0,118745.0,203.0,353099.0,92.0,146.0,4.0,43.0,902.0,1657.0,362346.0,5236.0,364187.0,1616.0,684.0,1502.0,368993.0
2017-06-22,29878.0,14677.0,12120.0,6831.0,9976.0,25511.0,696.0,1551.0,1410.0,4625.0,8547.0,6669.0,15215.0,647.0,19126.0,30220.0,51060.0,54589.0,3819.0,59658.0,4567.0,4717.0,5729.0,201.0,195028.0,6290.0,208125.0,189484.0,11312.0,6786.0,207771.0,9395.0,213661.0,1385.0,8607.0,222552.0,222649.0,282.0,345.0,217.0,1746.0,249.0,2863.0,667.0,1574.0,1305.0,3430.0,2290.0,3325.0,579.0,1754.0,2711.0,2970.0,4159.0,6788.0,19559.0,25006.0,32278.0,23569.0,156.0,21662.0,20479.0,18090.0,17853.0,274.0,20756.0,6685.0,884.0,14797.0,1771.0,1696.0,2546.0,2294.0,385.0,609.0,3729.0,11561.0,8453.0,8292.0,115.0,203.0,0.0,1.0,1959.0,1182.0,11074.0,895.0,36906.0,38708.0,45979.0,3826.0,90873.0,18935.0,6586.0,24259.0,115131.0,115131.0,115460.0,115460.0,195.0,344068.0,90.0,142.0,3.0,47.0,859.0,1594.0,351912.0,5205.0,353562.0,1585.0,683.0,1433.0,357901.0
