, LIBBY DAM, KOOTENAI RIV AT LEONIA, NF FLATHEAD R NR COLUMBIA FALL, MF FLATHEAD NR WEST GLACIER, DAM AT HUNGRY HORSE, FLATHEAD R AT COLUMBIA FALLS, CLARK FORK AT DEER LODGE, CLARK FORK AT DRUMMOND, ROCK CREEK NR CLINTON, BLACKFOOT R NR BONNER, CLARK FORK AB MISSOULA, BITTERROOT R NR MISSOULA, CLARK FORK BELOW MISSOULA, ST. REGIS R. NR ST. REGIS, CLARK FORK AT ST REGIS    TB20, KERR DAM, NOXON RAPIDS DAM, CABINET GORGE DAM, PRIEST R NR PRIEST RIVER, ALBENI FALLS DAM, COEUR D'ALENE LAKE, SPOKANE RIV AT LONGLAKE, ST MARIES R NR SANTA, COLUMBIAR @INTERNATL BOUNDAR, KETTLE RIVER AT LAURIER, GRAND COULEE DAM, CHIEF JOSEPH DAM, OKANOGAN RIVER NEAR TONASKET, METHOW R NEAR PATEROS, WELLS DAM, LAKE CHELAN DAM, ROCKY REACH DAM, ENTIAT R NR ARDENVOIR, WENATCHEE R AT PESHASTIN  TB20, WANAPUM DAM, PRIEST RAPIDS DAM, KEECHELUS LAKE, KACHESS DAM NEAR EASTON, YAKIMA RIVER AT EASTON, CLE ELUM LAKE NEAR ROSLYN, YAKIMA RIVER AT CLE ELUM, TEANAWAY RIVER BLW FORKS, YAKIMA RIVER AT UMTANUM, BUMPING LK DM NR GOOSE PRAIRIE, NACHES RIVER NEAR CLIFFDEL, RIMROCK LAKE NEAR RIMROCK, NACHES RIVER NEAR NACHES, YAKIMA RIVER NEAR PARKER, YAKIMA RIVER AT KIONA, ISLAND PARK 1SWIS.PARKDM&RES, FALL RIVER NR CHESTER, HENRYS FORK AT ST. ANTHONY, TETON RIVER NEAR ST. ANTHONY, HENRYS FORK NEAR REXBURG, SNKE R ON JACKSN LK AT DM TB20, SNAKE RIVER NR JACKSON, SNAKE RIVER NR ALPINE, PALISADES DAM, SNAKE RIVER NR HEISE, RIRIE DAM AND LAKE ON WILLOW C, SNAKE AB EAGLE ROCK NR ID FALL, SNAKE RIVER NR SHELLEY, SNAKE RIVER AT BLACKFOOT, SNAKE RIVER NEAR BLACKFOOT, PORTNEUF RIVER AT POCATELLO, AMERICAN FALLS RESERVOIR  TB12, SNAKE RIV AT MILNER, BRUNEAU RIVER NR HOT SPRINGS, SNAKE RIVER BELOW SWAN FALLS, BIG LOST R@HOW'L RNCH NR CHILL, BIG LOST R AT MACKAY, BIG WOOD RIVER AT HAILEY, MAGIC DAM OUTFLOW, LITL.WOODDM&RESNRCAREY, OWYHEE BELOW OWYHEE DAM, ANDERSON RANCH DAM        TB12, BOISE LUCKY PEAK DAM, BOISE RIVER AT GLENWOOD BRIDGE, BOISE RIVER NR PARMA, WARM SPRINGS DAM & RESERVOIR, AGENCY VLY DAM & BEULAH RSVR, BULLY CREEK DAM & RES     TB12, MALHEUR RIVER NR VALE, CASCADE DAM               TB12, DEADWOOD RESERVOIR NR LOWMAN, PAYETTE RIVER NEAR EMMETT, WEISER RIVER NR WEISER, SNAKE RIVER AT WEISER, BROWNLEE DAM, SALMON R AT WHITEBIRD, GRANDE RONDE RIVER AT TROY, SNAKE RIVER NR ANATONE, CLEARWATER R AT OROFINO, DWORSHAK DAM, CLEARWATER R AT SPALDING, LOWER GRANITE DAM, LITTLE GOOSE DAM, LOWER MONUMENTAL DAM, ICE HARBOR DAM, WALLA WALLA RIV NEAR TOUCHET, MCNARY DAM NEAR MCNARY, UMATILLA R NR GIBBON, UMATILLA R AT PENDLETON, MCKAY CR NR PILOTROCK, UMATILLA RIVER NEAR UMATILLA, NF JOHN DAY RIV AT MONUMENT, JOHN DAY RIVER AT SERVICE CK, JOHN DAY DAM, DESCHUTES R AT MOODY NR BIGGS, THE DALLES, KLICKITAT R NR PITT, HOOD R NR TUCKER BRIDGE   TB20, WHITE SALMON R NEAR UNDERWOOD, BONNEVILLE DAM
2007-04-02,11549.0,17295.0,4149.0,3816.0,4758.0,12734.0,216.0,939.0,347.0,2029.0,3082.0,2218.0,5515.0,1152.0,8598.0,16365.0,26634.0,28283.0,4557.0,39062.0,10624.0,21992.0,781.0,98656.0,4083.0,124452.0,167152.0,5642.0,2805.0,174711.0,3182.0,175894.0,526.0,4910.0,178065.0,175362.0,413.0,402.0,498.0,1159.0,1667.0,816.0,3804.0,427.0,1928.0,695.0,3399.0,6717.0,8269.0,562.0,877.0,2176.0,671.0,2282.0,1014.0,1812.0,2387.0,4716.0,1856.0,192.0,3293.0,3128.0,2703.0,2719.0,398.0,5496.0,225.0,450.0,6687.0,148.0,148.0,360.0,1172.0,81.0,483.0,1145.0,2314.0,619.0,553.0,257.0,129.0,51.0,29.0,1160.0,298.0,3021.0,880.0,11649.0,13383.0,9075.0,4079.0,25848.0,12144.0,10177.0,19575.0,45424.0,45424.0,46472.0,46472.0,1352.0,212008.0,400.0,886.0,379.0,834.0,2160.0,3263.0,230232.0,6623.0,235314.0,2316.0,1172.0,1393.0,239919.0
2007-04-03,11218.0,17606.0,3807.0,3439.0,4340.0,12092.0,215.0,914.0,324.0,1935.0,2928.0,2094.0,5228.0,1082.0,8335.0,15572.0,26271.0,27779.0,4303.0,37048.0,9554.0,18021.0,701.0,95466.0,3752.0,118972.0,170000.0,5579.0,2571.0,178254.0,3008.0,180946.0,457.0,4412.0,185388.0,185355.0,363.0,341.0,475.0,1021.0,1519.0,690.0,3461.0,386.0,1726.0,625.0,3082.0,5845.0,7368.0,536.0,767.0,2135.0,654.0,2341.0,854.0,1794.0,2370.0,4753.0,1986.0,199.0,3471.0,3227.0,2698.0,2632.0,404.0,5344.0,225.0,486.0,6677.0,139.0,139.0,357.0,1026.0,79.0,458.0,1048.0,2528.0,733.0,866.0,215.0,108.0,50.0,62.0,1034.0,273.0,2937.0,772.0,11820.0,13467.0,8764.0,3815.0,28004.0,11503.0,9003.0,17937.0,45941.0,45941.0,46971.0,46971.0,1155.0,236518.0,332.0,755.0,319.0,705.0,1935.0,3025.0,241735.0,6523.0,243471.0,2119.0,1009.0,1302.0,246095.0
2007-04-04,10364.0,17109.0,3587.0,3189.0,3989.0,11660.0,216.0,887.0,309.0,1812.0,2759.0,2005.0,4961.0,986.0,7935.0,14693.0,25835.0,27233.0,4000.0,35985.0,8367.0,16163.0,686.0,92505.0,3458.0,113490.0,170000.0,5355.0,2393.0,177976.0,2885.0,180624.0,411.0,3923.0,184654.0,184687.0,334.0,310.0,458.0,922.0,1427.0,599.0,3196.0,353.0,1555.0,579.0,2837.0,5233.0,6498.0,503.0,583.0,1889.0,590.0,2280.0,714.0,1772.0,2267.0,4343.0,2166.0,240.0,3664.0,3389.0,2812.0,2672.0,409.0,5264.0,245.0,473.0,6674.0,123.0,123.0,352.0,885.0,95.0,451.0,1009.0,2603.0,730.0,823.0,251.0,101.0,49.0,87.0,1026.0,273.0,2823.0,668.0,11713.0,13340.0,8458.0,3583.0,29218.0,10741.0,7796.0,16990.0,46208.0,46208.0,47210.0,47210.0,1008.0,240133.0,344.0,665.0,319.0,544.0,1748.0,2774.0,248638.0,6475.0,251314.0,2009.0,969.0,1258.0,255710.0
2007-04-05,9768.0,16624.0,3424.0,3060.0,3698.0,11407.0,244.0,872.0,347.0,1682.0,2672.0,1939.0,4800.0,929.0,7638.0,14160.0,25382.0,26727.0,3726.0,35330.0,7628.0,14989.0,733.0,90749.0,3226.0,110059.0,170000.0,5034.0,2261.0,177598.0,2781.0,180218.0,378.0,3590.0,183896.0,183925.0,353.0,325.0,481.0,865.0,1389.0,564.0,3024.0,335.0,1508.0,537.0,2704.0,4790.0,5810.0,493.0,556.0,1823.0,568.0,2053.0,668.0,1726.0,2225.0,4140.0,2402.0,384.0,3759.0,3468.0,2916.0,2785.0,413.0,5295.0,854.0,464.0,6681.0,140.0,140.0,363.0,862.0,127.0,525.0,1320.0,2731.0,728.0,769.0,352.0,129.0,48.0,93.0,1072.0,302.0,3050.0,787.0,11708.0,13129.0,8197.0,3533.0,28738.0,10319.0,7180.0,16382.0,45121.0,45121.0,46095.0,46095.0,968.0,238168.0,421.0,780.0,301.0,449.0,1849.0,2635.0,246537.0,6456.0,249262.0,1931.0,1012.0,1234.0,253713.0
2007-04-06,9352.0,16152.0,3587.0,3038.0,3534.0,11519.0,304.0,894.0,421.0,1568.0,2724.0,1932.0,4836.0,994.0,7629.0,13922.0,25341.0,26713.0,3561.0,35614.0,8038.0,14622.0,742.0,90681.0,3489.0,109374.0,167500.0,4710.0,2335.0,175314.0,3024.0,178450.0,453.0,3645.0,182615.0,182743.0,458.0,456.0,589.0,1273.0,1507.0,803.0,3151.0,396.0,1782.0,699.0,2989.0,4832.0,5405.0,509.0,591.0,1835.0,739.0,1923.0,665.0,1712.0,2343.0,4317.0,2687.0,464.0,3797.0,3464.0,2921.0,2844.0,417.0,5324.0,1798.0,479.0,6669.0,224.0,224.0,405.0,920.0,163.0,717.0,1865.0,2890.0,733.0,729.0,422.0,177.0,47.0,96.0,1128.0,369.0,3585.0,1084.0,12239.0,13479.0,8084.0,3930.0,28513.0,10343.0,7813.0,16218.0,44731.0,44731.0,45680.0,45680.0,982.0,235889.0,457.0,823.0,257.0,524.0,2230.0,2775.0,244049.0,6478.0,246765.0,2072.0,1010.0,1279.0,251116.0
2007-04-07,9350.0,16165.0,4253.0,3349.0,4225.0,12438.0,359.0,943.0,506.0,1592.0,3091.0,2238.0,5501.0,1251.0,8224.0,14345.0,26156.0,27692.0,3713.0,37385.0,10346.0,15927.0,835.0,93522.0,4902.0,114199.0,152500.0,4499.0,2868.0,161671.0,3835.0,166372.0,755.0,4357.0,172845.0,173456.0,575.0,622.0,726.0,2062.0,1707.0,1243.0,3944.0,479.0,2258.0,903.0,3755.0,6093.0,5653.0,561.0,777.0,1963.0,884.0,2020.0,783.0,1760.0,2578.0,4806.0,2951.0,558.0,3988.0,3603.0,2968.0,2853.0,418.0,5344.0,2742.0,528.0,6807.0,339.0,339.0,455.0,984.0,203.0,1002.0,2391.0,3063.0,750.0,723.0,451.0,237.0,46.0,113.0,1324.0,442.0,4348.0,1471.0,13255.0,14426.0,8686.0,4721.0,30535.0,11299.0,9372.0,17148.0,47684.0,47684.0,48607.0,48607.0,1051.0,232998.0,589.0,987.0,307.0,601.0,2699.0,3275.0,241959.0,6598.0,244834.0,2408.0,1084.0,1371.0,249488.0
2007-04-08,10220.0,17744.0,5311.0,4038.0,5160.0,14285.0,384.0,1046.0,615.0,2046.0,3987.0,3413.0,7563.0,1469.0,10249.0,16011.0,28017.0,29628.0,4266.0,39948.0,13253.0,18246.0,955.0,98511.0,6377.0,122805.0,140000.0,4849.0,3433.0,146315.0,3724.0,148240.0,788.0,5168.0,153296.0,153606.0,570.0,629.0,737.0,2146.0,1775.0,1329.0,4403.0,470.0,2356.0,874.0,4024.0,7317.0,6801.0,615.0,1075.0,2287.0,959.0,2275.0,979.0,1822.0,2885.0,5363.0,3183.0,564.0,4369.0,3962.0,3216.0,2977.0,417.0,5435.0,3666.0,600.0,7559.0,458.0,458.0,544.0,1087.0,209.0,1297.0,2746.0,3274.0,766.0,731.0,391.0,234.0,45.0,126.0,1507.0,487.0,5071.0,1742.0,14453.0,15800.0,10552.0,5470.0,35102.0,13486.0,10699.0,20037.0,55139.0,55139.0,56040.0,56040.0,1096.0,224222.0,559.0,1131.0,263.0,783.0,3071.0,4002.0,235278.0,6566.0,238358.0,2563.0,1092.0,1436.0,244039.0
2007-04-09,11437.0,17931.0,5023.0,4361.0,5108.0,14832.0,363.0,1081.0,588.0,2412.0,4316.0,3555.0,8025.0,1334.0,11861.0,17594.0,30147.0,31698.0,4386.0,41738.0,14450.0,18127.0,760.0,101665.0,6892.0,126925.0,161334.0,5993.0,3313.0,170814.0,3345.0,174098.0,662.0,5095.0,178164.0,177447.0,519.0,550.0,672.0,1772.0,1655.0,1216.0,4109.0,454.0,2260.0,813.0,3774.0,6889.0,7802.0,578.0,1019.0,2266.0,942.0,2575.0,993.0,1889.0,3092.0,5749.0,3398.0,440.0,4876.0,4459.0,3634.0,3295.0,412.0,5655.0,4000.0,640.0,8747.0,450.0,450.0,521.0,1040.0,194.0,1521.0,2618.0,3374.0,783.0,721.0,290.0,192.0,44.0,134.0,1315.0,470.0,5050.0,1681.0,15362.0,17066.0,12369.0,5559.0,38482.0,14649.0,10471.0,20935.0,59417.0,59417.0,60294.0,60294.0,1051.0,229442.0,485.0,936.0,227.0,868.0,3055.0,4209.0,235103.0,6446.0,237146.0,2429.0,1027.0,1382.0,241048.0
2007-04-10,11724.0,18773.0,4336.0,4000.0,4513.0,13930.0,337.0,1031.0,571.0,2457.0,4404.0,3181.0,7730.0,1238.0,11734.0,17622.0,31099.0,32741.0,4423.0,43297.0,13739.0,17099.0,753.0,103612.0,7410.0,128603.0,136347.0,6983.0,3334.0,146307.0,3412.0,150035.0,611.0,4614.0,156884.0,157808.0,527.0,552.0,681.0,1785.0,1675.0,1150.0,4025.0,470.0,2353.0,788.0,3831.0,6612.0,7737.0,553.0,899.0,2135.0,847.0,2660.0,935.0,1945.0,3065.0,5731.0,3568.0,349.0,5346.0,4961.0,4160.0,3766.0,405.0,6079.0,4000.0,649.0,9833.0,376.0,376.0,505.0,937.0,189.0,1663.0,2471.0,3435.0,800.0,739.0,242.0,199.0,43.0,152.0,1289.0,467.0,4695.0,1627.0,16036.0,17817.0,12484.0,5562.0,40544.0,14374.0,10241.0,20754.0,61298.0,61298.0,62153.0,62153.0,1027.0,241843.0,481.0,879.0,202.0,714.0,3046.0,4184.0,252997.0,6487.0,255624.0,2405.0,1109.0,1432.0,260311.0
2007-04-11,11534.0,19965.0,4027.0,3595.0,3984.0,13300.0,325.0,1001.0,653.0,2547.0,4639.0,3613.0,8388.0,1277.0,12003.0,16695.0,31565.0,33209.0,4444.0,43369.0,13364.0,16293.0,775.0,103523.0,7737.0,128743.0,136808.0,7710.0,3205.0,147182.0,3059.0,149906.0,523.0,4095.0,153996.0,153981.0,455.0,464.0,619.0,1424.0,1635.0,985.0,3864.0,418.0,2212.0,731.0,3532.0,6282.0,7492.0,540.0,792.0,2014.0,760.0,2535.0,858.0,1923.0,2942.0,5557.0,3759.0,302.0,5561.0,5223.0,4566.0,4252.0,397.0,6595.0,4000.0,635.0,10381.0,304.0,304.0,494.0,849.0,181.0,1758.0,2244.0,3502.0,817.0,760.0,213.0,187.0,42.0,173.0,1323.0,453.0,4438.0,1544.0,16922.0,18678.0,12650.0,5525.0,42290.0,14193.0,10138.0,20714.0,63004.0,63004.0,64021.0,64021.0,990.0,226502.0,478.0,834.0,192.0,677.0,3122.0,4220.0,236991.0,6418.0,239952.0,2261.0,1036.0,1396.0,245819.0
