, KOOTENAI - LIBBY DAM, KOOTENAI - AT LEONIA, NF FLATHEAD - NEAR COLUMBIA FALLS, MF FLATHEAD - NEAR WEST GLACIER, SF FLATHEAD - HUNGRY HORSE DAM, FLATHEAD - AT COLUMBIA FALLS, CLARK FORK - AT DEER LODGE, CLARK FORK - NEAR DRUMMOND, ROCK CREEK - NEAR CLINTON, BLACKFOOT - NEAR BONNER, CLARK FORK - ABOVE MISSOULA, BITTERROOT - NEAR MISSOULA, CLARK FORK - BELOW MISSOULA, ST. REGIS - NEAR ST. REGIS, CLARK FORK - AT ST REGIS, FLATHEAD - KERR DAM, CLARK FORK - NOXON RAPIDS DAM, CLARK FORK - CABINET GORGE DAM, PRIEST - NEAR PRIEST RIVER, PEND OREILLE - ALBENI FALLS DAM, COEUR D'ALENE - COEUR D'ALENE LAKE, SPOKANE - AT SPOKANE, SPOKANE - AT LONGLAKE, ST MARIES - NEAR SANTA, COLUMBIA - AT INTERNATIONAL BOUNDRY, KETTLE - AT LAURIER, COLUMBIA - GRAND COULEE DAM, COLUMBIA - CHIEF JOSEPH DAM, OKANOGAN - NEAR TONASKET, METHOW - NEAR PATEROS, COLUMBIA - WELLS DAM, CHELAN - LAKE CHELAN DAM, COLUMBIA - ROCKY REACH DAM, ENTIAT - NEAR ARDENVOIR, WENATCHEE - AT PESHASTIN, COLUMBIA - WANAPUM DAM, COLUMBIA - PRIEST RAPIDS DAM, YAKIMA - KEECHELUS DAM, KACHESS - KACHESS DAM NEAR EASTON, YAKIMA - AT EASTON, CLE ELUM - CLE ELUM LAKE, TEANAWAY - BELOW FORKS, YAKIMA - AT UMTANUM, BUMPING - BUMPING LAKE DAM NEAR GOOSE PRAIRIE, NACHES - NEAR CLIFFDEL, TIETON - RIMROCK DAM, NACHES - NEAR NACHES, YAKIMA - NEAR PARKER, YAKIMA - AT KIONA, HENRY'S FORK - ISLAND PARK DAM, FALLS - NR CHESTER, HENRY'S FORK - AT ST. ANTHONY, TETON - NEAR ST. ANTHONY, HENRYS FORK - AT REXBURG, SNAKE - JACKSON LAKE AT DAM, SNAKE - NEAR JACKSON, SNAKE - NEAR ALPINE, SF SNAKE - PALISADES DAM, SNAKE - NEAR HEISE, WILLOW CREEK - RIRIE DAM, SNAKE - ABOVE EAGLE ROCK NEAR IDAHO FALLS, SNAKE - NEAR SHELLEY, SNAKE - AT BLACKFOOT, SNAKE - NEAR BLACKFOOT, PORTNEUF - AT POCATELLO, SNAKE - AMERICAN FALLS RESERVOIR, SNAKE - AT MILNER, BRUNEAU - NEAR HOT SPRINGS, SNAKE - BELOW SWAN FALLS, BIG LOST - AT HOWELL RANCH NEAR CHILLY, BIG LOST - AT MACKAY, BIG WOOD - AT HAILEY, BIG WOOD - MAGIC DAM, LITTLE WOOD - LITTLE WOOD DAM, OWYHEE - OWYHEE DAM, SF BOISE - ANDERSON RANCH DAM, BOISE - LUCKY PEAK DAM, BOISE - AT GLENWOOD BRIDGE, BOISE - NEAR PARMA, MALHEUR - WARM SPRINGS DAM, MALHEUR - AGENCY VALLEY DAM, BULLY CREEK - BULLY CR DAM, MALHEUR - NEAR VALE, NF PAYETTE - CASCADE DAM, DEADWOOD - DEADWOOD RESERVOIR, PAYETTE - NEAR EMMETT, WEISER - NR WEISER, SNAKE - AT WEISER, SNAKE - BROWNLEE DAM, SALMON - AT WHITEBIRD, GRANDE RONDE - AT TROY, SNAKE -  NEAR ANATONE, CLEARWATER - AT OROFINO, CLEARWATER - DWORSHAK DAM, CLEARWATER - AT SPALDING, SNAKE - LOWER GRANITE DAM, SNAKE - LITTLE GOOSE DAM, SNAKE - LOWER MONUMENTAL DAM, SNAKE - ICE HARBOR DAM, WALLA WALLA - NEAR TOUCHET, COLUMBIA - MCNARY DAM, UMATILLA - NEAR GIBBON, UMATILLA - AT PENDLETON, MCKAY CREEK - NEAR PILOTROCK, UMATILLA - NEAR UMATILLA, NF JOHN DAY - AT MONUMENT, JOHN DAY - AT SERVICE CK, COLUMBIA - JOHN DAY DAM, DESCHUTES - AT MOODY NR BIGGS, COLUMBIA - THE DALLES DAM, KLICKITAT - NEAR PITT, HOOD - AT TUCKER BRIDGE, WHITE SALMON - NEAR UNDERWOOD, COLUMBIA - BONNEVILLE DAM
2010-10-13,5995.0,5598.0,1190.0,942.0,638.0,3728.0,305.0,738.0,132.0,588.0,1778.0,920.0,2580.0,90.0,3000.0,4188.0,10370.0,11365.0,485.0,10310.0,925.0,2020.0,2720.0,52.0,76335.0,315.0,77698.0,79865.0,980.0,630.0,82330.0,1128.0,85800.0,155.0,1370.0,92780.0,93315.0,155.0,172.0,168.0,422.0,55.0,1398.0,90.0,322.0,250.0,890.0,745.0,2112.0,430.0,478.0,1078.0,598.0,1062.0,378.0,1585.0,1718.0,3165.0,5925.0,20.0,4018.0,3548.0,2600.0,2862.0,160.0,5545.0,230.0,70.0,9422.0,105.0,170.0,145.0,38.0,40.0,140.0,260.0,2252.0,412.0,890.0,50.0,80.0,0.0,140.0,188.0,60.0,652.0,155.0,11478.0,12508.0,5115.0,868.0,14518.0,2302.0,895.0,4188.0,18705.0,18705.0,18762.0,18762.0,108.0,118855.0,50.0,60.0,10.0,248.0,198.0,415.0,121098.0,5355.0,123995.0,748.0,362.0,582.0,124112.0
2010-10-14,5508.0,5258.0,1128.0,912.0,630.0,3738.0,300.0,725.0,130.0,580.0,1762.0,885.0,2540.0,90.0,3040.0,4340.0,9728.0,10628.0,1298.0,10770.0,902.0,2028.0,2730.0,50.0,72250.0,330.0,75618.0,80330.0,908.0,612.0,82042.0,1115.0,84360.0,135.0,1050.0,87210.0,87285.0,195.0,155.0,0.0,365.0,40.0,1315.0,90.0,315.0,262.0,685.0,678.0,2110.0,420.0,445.0,982.0,572.0,1102.0,345.0,1542.0,1672.0,3112.0,4698.0,20.0,3632.0,3428.0,2460.0,2700.0,148.0,5485.0,230.0,65.0,9718.0,100.0,160.0,132.0,2.0,40.0,110.0,260.0,2250.0,368.0,870.0,50.0,70.0,0.0,145.0,170.0,60.0,610.0,142.0,11702.0,12495.0,5102.0,790.0,14710.0,2008.0,890.0,3840.0,18550.0,18550.0,18608.0,18608.0,100.0,110882.0,50.0,60.0,10.0,240.0,190.0,395.0,114920.0,5318.0,119122.0,740.0,365.0,570.0,121695.0
2010-10-15,5275.0,5220.0,1075.0,885.0,630.0,3712.0,300.0,720.0,130.0,570.0,1735.0,868.0,2502.0,90.0,2988.0,4345.0,9462.0,10320.0,1585.0,10672.0,858.0,2030.0,2730.0,50.0,70755.0,328.0,73902.0,80170.0,870.0,600.0,81812.0,1102.0,84118.0,128.0,1020.0,85468.0,85528.0,198.0,142.0,0.0,325.0,40.0,1152.0,90.0,308.0,272.0,645.0,768.0,2072.0,420.0,430.0,925.0,562.0,1010.0,340.0,1530.0,1655.0,3070.0,3510.0,20.0,2562.0,2625.0,2100.0,2448.0,140.0,5338.0,230.0,60.0,9765.0,100.0,160.0,130.0,0.0,40.0,112.0,260.0,2248.0,318.0,825.0,50.0,70.0,0.0,150.0,170.0,60.0,625.0,135.0,11698.0,12550.0,5035.0,775.0,14650.0,1792.0,882.0,3612.0,18265.0,18265.0,18325.0,18325.0,100.0,107490.0,50.0,58.0,10.0,240.0,180.0,390.0,110515.0,5305.0,114345.0,740.0,360.0,565.0,116218.0
2010-10-16,5125.0,5202.0,1025.0,855.0,620.0,3690.0,300.0,725.0,130.0,562.0,1715.0,862.0,2485.0,90.0,2955.0,4322.0,9388.0,10232.0,1785.0,10768.0,848.0,2030.0,2738.0,50.0,71485.0,320.0,74580.0,68775.0,855.0,592.0,72478.0,1118.0,76918.0,120.0,995.0,80348.0,80952.0,180.0,130.0,0.0,285.0,40.0,1060.0,80.0,300.0,255.0,600.0,805.0,2088.0,420.0,420.0,898.0,560.0,945.0,335.0,1530.0,1650.0,3060.0,2865.0,20.0,1525.0,1595.0,1220.0,1665.0,140.0,4868.0,230.0,60.0,9795.0,100.0,160.0,130.0,0.0,40.0,125.0,260.0,2210.0,308.0,795.0,50.0,70.0,0.0,155.0,170.0,60.0,652.0,130.0,11935.0,12780.0,4978.0,768.0,14572.0,1662.0,880.0,3455.0,18028.0,18028.0,18088.0,18088.0,110.0,105670.0,50.0,50.0,10.0,240.0,172.0,390.0,108708.0,5295.0,112482.0,735.0,340.0,560.0,114278.0
2010-10-17,5015.0,5192.0,985.0,828.0,620.0,3670.0,292.0,725.0,130.0,558.0,1702.0,852.0,2460.0,90.0,2935.0,4292.0,9345.0,10185.0,1985.0,10875.0,840.0,2030.0,2740.0,50.0,67662.0,312.0,72165.0,50000.0,842.0,585.0,51535.0,1128.0,54185.0,120.0,975.0,56512.0,57168.0,162.0,120.0,0.0,245.0,40.0,1022.0,80.0,290.0,250.0,555.0,882.0,2108.0,420.0,422.0,930.0,565.0,938.0,332.0,1538.0,1662.0,3060.0,2840.0,25.0,1182.0,1048.0,422.0,835.0,150.0,4088.0,230.0,60.0,9818.0,98.0,160.0,130.0,0.0,48.0,145.0,268.0,2165.0,310.0,800.0,50.0,70.0,0.0,160.0,188.0,68.0,670.0,122.0,12045.0,12895.0,4928.0,758.0,14512.0,1595.0,880.0,3370.0,17882.0,17882.0,17945.0,17945.0,110.0,92880.0,50.0,50.0,10.0,240.0,168.0,390.0,98948.0,5282.0,103398.0,730.0,325.0,560.0,106478.0
2010-10-18,4930.0,5182.0,945.0,800.0,618.0,3660.0,290.0,720.0,138.0,550.0,1685.0,840.0,2442.0,90.0,2915.0,4268.0,9305.0,10150.0,2180.0,11020.0,835.0,2030.0,2740.0,50.0,64672.0,305.0,68222.0,61250.0,835.0,575.0,60630.0,1115.0,60772.0,120.0,955.0,59330.0,58738.0,148.0,110.0,0.0,210.0,40.0,992.0,80.0,282.0,250.0,508.0,978.0,2148.0,425.0,442.0,1000.0,580.0,992.0,345.0,1580.0,1725.0,3132.0,2840.0,28.0,1338.0,1138.0,168.0,435.0,165.0,3455.0,230.0,70.0,9798.0,100.0,160.0,130.0,0.0,50.0,162.0,260.0,2112.0,310.0,800.0,50.0,70.0,0.0,165.0,185.0,65.0,692.0,120.0,12162.0,13010.0,4878.0,750.0,14455.0,1560.0,872.0,3328.0,17785.0,17785.0,17845.0,17845.0,110.0,76410.0,50.0,50.0,10.0,240.0,160.0,382.0,80370.0,5268.0,84502.0,730.0,320.0,552.0,87218.0
2010-10-19,4860.0,5175.0,915.0,772.0,610.0,3660.0,290.0,720.0,130.0,542.0,1668.0,830.0,2415.0,90.0,2895.0,4250.0,9300.0,10145.0,2375.0,11175.0,830.0,2032.0,2740.0,50.0,64410.0,298.0,67525.0,73898.0,830.0,568.0,76528.0,1080.0,79595.0,112.0,935.0,80500.0,80172.0,135.0,100.0,0.0,185.0,40.0,970.0,80.0,275.0,242.0,465.0,1080.0,2205.0,435.0,435.0,1030.0,568.0,1072.0,350.0,1538.0,1672.0,3108.0,2840.0,20.0,1565.0,1370.0,302.0,475.0,170.0,3205.0,230.0,70.0,9750.0,95.0,160.0,130.0,0.0,40.0,175.0,260.0,2062.0,342.0,808.0,50.0,70.0,0.0,170.0,170.0,60.0,692.0,120.0,12240.0,13095.0,4835.0,742.0,14405.0,1535.0,870.0,3300.0,17700.0,17700.0,17768.0,17768.0,110.0,87088.0,50.0,58.0,10.0,240.0,150.0,375.0,86650.0,5255.0,89542.0,725.0,320.0,550.0,89715.0
2010-10-20,4802.0,5170.0,888.0,750.0,610.0,3660.0,290.0,712.0,130.0,540.0,1640.0,812.0,2382.0,90.0,2865.0,4240.0,9698.0,10575.0,2570.0,11630.0,825.0,2035.0,2740.0,50.0,64525.0,290.0,67572.0,63780.0,820.0,560.0,65228.0,1048.0,67632.0,110.0,915.0,69280.0,69638.0,130.0,98.0,0.0,175.0,40.0,945.0,80.0,268.0,248.0,438.0,1470.0,2308.0,420.0,435.0,1052.0,550.0,1110.0,342.0,1500.0,1625.0,3022.0,2840.0,20.0,1798.0,1618.0,558.0,712.0,178.0,3268.0,230.0,68.0,9700.0,90.0,160.0,130.0,0.0,40.0,192.0,260.0,2015.0,420.0,870.0,50.0,70.0,0.0,170.0,170.0,60.0,698.0,110.0,12275.0,13130.0,4795.0,735.0,14355.0,1510.0,870.0,3272.0,17630.0,17630.0,17692.0,17692.0,110.0,97028.0,50.0,58.0,10.0,240.0,148.0,368.0,100570.0,5242.0,104122.0,720.0,315.0,550.0,105458.0
2010-10-21,4750.0,5165.0,860.0,725.0,610.0,3660.0,290.0,710.0,130.0,530.0,1620.0,802.0,2358.0,90.0,2830.0,4238.0,10105.0,11028.0,2635.0,12122.0,820.0,2035.0,2740.0,50.0,64625.0,282.0,67778.0,63988.0,818.0,560.0,65412.0,1025.0,67585.0,110.0,895.0,68460.0,68450.0,120.0,90.0,0.0,162.0,40.0,925.0,78.0,260.0,248.0,410.0,1555.0,2545.0,410.0,440.0,1098.0,550.0,1145.0,330.0,1482.0,1602.0,2975.0,2840.0,20.0,1988.0,1822.0,818.0,975.0,180.0,3498.0,230.0,70.0,9650.0,90.0,160.0,130.0,0.0,40.0,210.0,260.0,1965.0,500.0,940.0,50.0,70.0,0.0,170.0,170.0,60.0,708.0,110.0,12360.0,13200.0,4748.0,730.0,14310.0,1490.0,862.0,3250.0,17558.0,17558.0,17620.0,17620.0,110.0,89212.0,50.0,60.0,10.0,240.0,140.0,360.0,92638.0,5228.0,96462.0,720.0,310.0,545.0,98572.0
2010-10-22,4692.0,5160.0,835.0,705.0,600.0,3655.0,290.0,710.0,130.0,530.0,1600.0,792.0,2330.0,90.0,2802.0,4228.0,10095.0,11020.0,2575.0,12135.0,818.0,2170.0,2798.0,50.0,64422.0,280.0,67382.0,63598.0,810.0,550.0,65035.0,1065.0,67268.0,110.0,878.0,68205.0,68225.0,112.0,88.0,0.0,155.0,40.0,908.0,78.0,255.0,255.0,385.0,1520.0,2678.0,410.0,440.0,1108.0,540.0,1185.0,330.0,1472.0,1592.0,2952.0,2840.0,20.0,2185.0,2028.0,1052.0,1215.0,178.0,3760.0,230.0,70.0,9600.0,90.0,160.0,130.0,0.0,42.0,228.0,260.0,1915.0,572.0,1020.0,50.0,72.0,0.0,170.0,178.0,62.0,718.0,110.0,12455.0,13292.0,4708.0,720.0,14260.0,1468.0,862.0,3230.0,17488.0,17488.0,17550.0,17550.0,110.0,88845.0,50.0,60.0,10.0,240.0,140.0,360.0,91720.0,5215.0,95278.0,720.0,310.0,540.0,96852.0
