, KOOTENAI - LIBBY DAM, KOOTENAI - AT LEONIA, NF FLATHEAD - NEAR COLUMBIA FALLS, MF FLATHEAD - NEAR WEST GLACIER, SF FLATHEAD - HUNGRY HORSE DAM, FLATHEAD - AT COLUMBIA FALLS, CLARK FORK - AT DEER LODGE, CLARK FORK - NR DRUMMOND, ROCK CREEK - NEAR CLINTON, BLACKFOOT - NEAR BONNER, CLARK FORK - ABOVE MISSOULA, BITTERROOT - NEAR MISSOULA, CLARK FORK - BELOW MISSOULA, ST. REGIS - NEAR ST. REGIS, CLARK FORK - AT ST REGIS, FLATHEAD - KERR DAM, CLARK FORK - NOXON RAPIDS DAM, CLARK FORK - CABINET GORGE DAM, PRIEST - NEAR PRIEST RIVER, PEND OREILLE - ALBENI FALLS DAM, COEUR D ALENE - COEUR D ALENE LAKE, SPOKANE - AT SPOKANE, SPOKANE - AT LONGLAKE, ST MARIES - NEAR SANTA, COLUMBIA - AT INTL BOUNDARY, KETTLE - AT LAURIER, COLUMBIA - GRAND COULEE DAM, COLUMBIA - CHIEF JOSEPH DAM, OKANOGAN - NEAR TONASKET, METHOW - NEAR PATEROS, COLUMBIA - WELLS DAM, CHELAN - LAKE CHELAN DAM, COLUMBIA - ROCKY REACH DAM, ENTIAT - NEAR ARDENVOIR, WENATCHEE - AT PESHASTIN, COLUMBIA - WANAPUM DAM, COLUMBIA - PRIEST RAPIDS DAM, YAKIMA - KEECHELUS LAKE, KACHESS - KACHESS DAM, YAKIMA - AT EASTON, CLE ELUM - CLE ELUM LAKE, TEANAWAY - BELOW FORKS, YAKIMA - AT UMTANUM, BUMPING - BUMPING LAKE DAM, NACHES - NEAR CLIFFDEL, TIETON - RIMROCK LAKE NEAR RIMROCK, NACHES - NEAR NACHES, YAKIMA - NEAR PARKER, YAKIMA - AT KIONA, HENRYS FORK - ISLAND PARK DAM, FALLS - NEAR CHESTER, HENRY'S FORK - AT ST. ANTHONY, TETON - NEAR ST. ANTHONY, HENRYS FORK - AT REXBURG, SNAKE - JACKSON LAKE AT DAM, SNAKE - NEAR JACKSON, SNAKE - NEAR ALPINE, SF SNAKE - PALISADES DAM, SNAKE - NEAR HEISE, WILLOW CREEK - RIRIE DAM, SNAKE - AB EAGLE ROCK NR IDAHO FALLS, SNAKE - NEAR SHELLEY, SNAKE - AT BLACKFOOT, SNAKE - NEAR BLACKFOOT, PORTNEUF - AT POCATELLO, SNAKE - AMERICAN FALLS RESERVOIR, SNAKE - AT MILNER, BRUNEAU - NEAR HOT SPRINGS, SNAKE - BELOW SWAN FALLS, BIG LOST - AT HOWELL RANCH NEAR CHILLY, BIG LOST - MACKAY RESERVOIR NEAR MACKAY, BIG WOOD - AT HAILEY, BIG WOOD - MAGIC DAM, LITTLE WOOD - LITTLE WOOD DAM, OWYHEE - BELOW OWYHEE DAM, SF BOISE - ANDERSON RANCH DAM, BOISE - LUCKY PEAK DAM, BOISE - AT GLENWOOD BRIDGE, BOISE - NEAR PARMA, MALHEUR - WARM SPRINGS DAM, MALHEUR - AGENCY VALLEY DAM, BULLY CREEK - BULLY CREEK DAM, MALHEUR - NEAR VALE, NF PAYETTE - CASCADE DAM, DEADWOOD - NEAR LOWMAN, PAYETTE - NEAR EMMETT, WEISER - NEAR WEISER, SNAKE - AT WEISER, SNAKE - BROWNLEE DAM, SALMON - AT WHITEBIRD, GRANDE RONDE - TROY, SNAKE - NEAR ANATONE, CLEARWATER - AT OROFINO, CLEARWATER - DWORSHAK DAM, CLEARWATER - AT SPALDING, SNAKE - LOWER GRANITE DAM, SNAKE - LITTLE GOOSE DAM, SNAKE - LOWER MONUMENTAL DAM, SNAKE - ICE HARBOR DAM, WALLA WALLA - NEAR TOUCHET, COLUMBIA - MCNARY DAM, UMATILLA - NEAR GIBBON, UMATILLA - AT PENDLETON, MCKAY CREEK - NEAR PILOT ROCK, UMATILLA - NEAR UMATILLA, NF JOHN DAY - AT MONUMENT, JOHN DAY - AT SERVICE CK, COLUMBIA - JOHN DAY DAM, DESCHUTES - AT MOODY NR BIGGS, COLUMBIA - THE DALLES DAM, KLICKITAT - NEAR PITT, HOOD - NEAR TUCKER BRIDGE, WHITE SALMON - NEAR UNDERWOOD, COLUMBIA - BONNEVILLE DAM
2011-05-23, 40300, 34190, , , , , , , , 11580, 17290, 10570, 27120, , , , , , , , 33330, 32410, 32190, 2030, 170678, 22810, 252140, 220360, 14550, 12750, 253330, 8100, 257960, 1600, 9750, 272320, 273760, 870, 1000, 1970, 2470, 1230, 8140, 720, 2630, 1240, 6510, 12370, 13860, 1800, 3380, 6460, 2330, 8000, 5590, 12210, 16640, 25040, 22260, 1250, 26470, 26410, 21960, 22030, 1100, 25340, 19370, 2400, 29070, 830, 580, 1480, 1520, 510, 4440, 4390, 9730, 6590, 7020, 1400, 740, 60, 2320, 3040, 1200, 11570, 4470, 59330, 63470, 50540, 12110, 139210, 44570, 28250, 51740, 181200, 167250, 163200, 171400, 1680, 499620, 860, 1240, 440, 2350, 8360, 11590, 485220, 8310, 471020, 3550, 1440, 1800, 494940
2011-05-24, 38452, 32970, , , , , , , , 12892, 19302, 11415, 29840, , , , , , , , 33872, 32500, 32590, 1718, 174138, 23432, 255442, 212728, 15750, 11902, 239392, 7602, 239060, 1632, 9240, 251192, 253510, 808, 682, 1908, 2690, 1022, 7785, 698, 2570, 1230, 6362, 11912, 13930, 1905, 3548, 6968, 2562, 8215, 5722, 12535, 17080, 26032, 22290, 1430, 26410, 26252, 21948, 22052, 1138, 25770, 19370, 2615, 29118, 785, 548, 1602, 1550, 538, 4262, 4572, 9742, 6572, 7018, 1350, 840, 55, 2285, 3512, 1235, 11542, 4320, 59092, 63662, 52232, 11765, 140112, 45475, 27442, 52955, 186365, 178820, 177895, 178182, 1575, 468298, 820, 1170, 395, 2230, 7840, 11340, 495582, 8182, 494788, 3462, 1410, 1742, 483982
2011-05-25, 43545, 36380, , , , , , , , 14592, 21688, 13188, 34212, , , , , , , , 32088, 32510, 32842, 1648, 177588, 24412, 260718, 222500, 16162, 11395, 249680, 7308, 252720, 1552, 9250, 262480, 262232, 768, 668, 1815, 2725, 975, 7435, 725, 2670, 1215, 6300, 11348, 13752, 2272, 4060, 8388, 3102, 9110, 7225, 13150, 17905, 27940, 22405, 1640, 26882, 26405, 21982, 22030, 1200, 25930, 19370, 3130, 29482, 778, 548, 1985, 1925, 562, 4022, 4985, 9742, 6535, 7010, 1265, 860, 50, 2165, 3798, 1382, 12715, 4375, 58442, 63105, 57282, 11500, 143462, 53952, 28955, 58548, 200188, 195228, 196522, 196522, 1482, 459635, 765, 1108, 345, 2070, 7580, 10970, 471468, 8095, 470330, 3450, 1432, 1690, 469948
2011-05-26, 47130, 35118, , , , , , , , 15500, 22628, 14825, 37398, , , , , , , , 30748, 32505, 33048, 1440, 181098, 25380, 265688, 210000, 16080, 11450, 235452, 6832, 238845, 1458, 10398, 250038, 250365, 1205, 902, 1968, 3122, 1255, 7702, 912, 3338, 1855, 6845, 11590, 13415, 2175, 4112, 8435, 3012, 10260, 7828, 13488, 17928, 28135, 23140, 1395, 27785, 27200, 22580, 22522, 1245, 26185, 19370, 3050, 29452, 748, 535, 1830, 1812, 528, 3740, 5020, 9705, 6475, 6970, 1182, 855, 40, 1965, 3938, 1380, 13138, 4215, 59558, 64310, 58562, 11545, 146515, 56380, 28132, 62262, 208782, 206158, 207402, 207402, 1475, 476640, 792, 1190, 402, 1970, 7528, 10418, 493212, 8305, 493878, 3732, 1655, 1750, 499915
2011-05-27, 47242, 39798, , , , , , , , 15798, 22772, 15120, 37890, , , , , , , , 31120, 32505, 33298, 1935, 184492, 27342, 272828, 210000, 16248, 11860, 235698, 8175, 239000, 1548, 13082, 252045, 251940, 1262, 1070, 1992, 3590, 1445, 9060, 990, 4325, 1890, 8655, 14875, 13832, 2075, 4185, 8562, 3195, 10658, 7405, 13498, 17775, 28215, 24232, 1392, 29392, 28728, 23840, 23668, 1278, 27170, 19370, 2875, 29160, 745, 538, 1895, 1795, 508, 3608, 5568, 9860, 6402, 6952, 1128, 960, 40, 1782, 5035, 1490, 13498, 4810, 59882, 65235, 61632, 14058, 145560, 65275, 34165, 69335, 214898, 214458, 215662, 215662, 1925, 477390, 905, 1682, 740, 2742, 9258, 12100, 493620, 8772, 494788, 4188, 1918, 2038, 501815
2011-05-28, 53032, 38160, , , , , , , , 16205, 23228, 16420, 39652, , , , , , , , 34722, 32570, 33722, 1910, 187552, 30632, 283272, 210000, 17752, 11748, 236225, 7425, 239522, 1400, 12922, 252602, 252595, 1048, 935, 1715, 2920, 1105, 8315, 922, 4005, 1632, 7428, 14108, 15198, 1990, 3942, 8020, 3082, 10505, 6765, 13302, 16985, 27068, 24420, 1272, 30975, 30360, 25630, 25422, 1215, 28655, 19370, 2822, 29005, 752, 552, 1928, 1825, 512, 3445, 5560, 9758, 6032, 6730, 1062, 935, 40, 1600, 4735, 1482, 14072, 4832, 60192, 66580, 66280, 15135, 149132, 67615, 31088, 72448, 221585, 221585, 222740, 222740, 1965, 490758, 872, 1615, 728, 2912, 9638, 13040, 510798, 8918, 512032, 3960, 2172, 2038, 519165
2011-05-29, 56130, 36062, , , , , , , , 16075, 23040, 16402, 39442, , , , , , , , 37232, 32722, 34218, 1918, 190385, 32748, 296170, 210000, 19415, 10710, 236970, 6970, 240215, 1280, 11842, 252285, 252315, 945, 800, 1468, 2448, 848, 7462, 845, 3710, 1452, 6528, 11930, 15568, 2072, 4538, 8658, 3388, 10145, 7162, 13660, 17380, 26992, 24480, 1265, 31252, 30740, 26585, 26510, 1165, 30015, 19370, 2865, 28928, 975, 722, 2125, 1970, 542, 3268, 5658, 9768, 5798, 6398, 1000, 898, 40, 1412, 5195, 1532, 14208, 4930, 59678, 67345, 67740, 15725, 149550, 69940, 29745, 73410, 222958, 222958, 224080, 224080, 1930, 492968, 852, 1538, 698, 2802, 9852, 13558, 515370, 9038, 517062, 3805, 2275, 2010, 525248
2011-05-30, 56598, 35815, , , , , , , , 17248, 24360, 17390, 41750, , , , , , , , 40948, 33135, 35088, 1955, 192815, 32975, 302472, 217778, 20130, 9730, 243625, 5670, 245392, 1098, 9825, 253910, 253582, 805, 658, 1190, 1942, 625, 6672, 780, 3335, 1202, 5620, 9970, 14265, 2285, 5058, 9635, 3880, 10908, 9265, 14880, 18975, 29425, 24410, 1195, 30940, 30422, 26440, 26420, 1125, 30350, 19165, 2868, 28865, 1188, 892, 2125, 2045, 528, 3112, 5250, 9600, 5685, 6292, 920, 800, 35, 1245, 4480, 1452, 14258, 4685, 59362, 67225, 69208, 14608, 149065, 70402, 30352, 74855, 223920, 223920, 225008, 225008, 1782, 494192, 770, 1328, 578, 2532, 8892, 12718, 516528, 8690, 517972, 3605, 1995, 1875, 525950
2011-05-31, 56540, 34260, 10800, 10030, 11260, 28950, 930, 3050, 3380, 17870, 24990, 16808, 41798, 2350, 30300, 39370, 82010, 86820, 7630, 99180, 38658, 33940, 35725, 1490, 195105, 31798, 305758, 232442, 19820, 8732, 258925, 3990, 261722, 910, 8455, 269228, 268770, 800, 602, 1005, 1475, 478, 6015, 748, 3055, 1122, 4950, 8200, 12098, 2078, 4728, 9165, 3825, 11932, 9568, 15260, 19252, 30212, 24270, 1102, 31410, 30792, 26500, 26368, 1080, 30155, 18818, 2758, 28612, 945, 718, 1925, 1825, 468, 2945, 4532, 9418, 5555, 6172, 848, 732, 30, 1050, 3728, 1225, 12840, 4088, 57900, 65608, 64835, 12702, 142420, 64760, 27255, 70780, 213198, 213198, 214252, 214252, 1610, 495510, 695, 1142, 482, 2210, 7872, 11072, 515315, 8372, 517060, 3260, 1730, 1772, 524140
2011-06-01, 57680, 35260, 10790, 10052, 11332, 28765, 922, 3048, 3325, 17238, 24560, 14620, 39180, 2422, 29355, 37798, 80040, 82285, 7562, 92455, 31715, 34280, 36020, 1148, 197792, 31730, 310712, 234800, 18965, 7965, 259922, 3282, 262990, 778, 7868, 270865, 270860, 792, 565, 860, 1250, 405, 5598, 720, 2930, 990, 4670, 7080, 9628, 1848, 4448, 8340, 3622, 11602, 8538, 14592, 18448, 29268, 24192, 1040, 32370, 31770, 27445, 27220, 1038, 30550, 18468, 2792, 28240, 868, 668, 1960, 1722, 485, 2898, 4170, 9302, 5430, 6040, 782, 675, 30, 840, 3480, 1078, 11198, 3585, 54825, 62048, 58238, 11678, 132725, 57488, 23615, 65442, 198168, 198168, 199190, 199190, 1525, 487432, 660, 1025, 415, 1988, 7232, 9965, 508985, 8242, 512930, 3080, 1588, 1705, 520415
