, LIBBY DAM, KOOTENAI RIV AT LEONIA, NF FLATHEAD R NR COLUMBIA FALL, MF FLATHEAD NR WEST GLACIER, DAM AT HUNGRY HORSE, FLATHEAD R AT COLUMBIA FALLS, CLARK FORK AT DEER LODGE, CLARK FORK AT DRUMMOND, ROCK CREEK NR CLINTON, BLACKFOOT R NR BONNER, CLARK FORK AB MISSOULA, BITTERROOT R NR MISSOULA, CLARK FORK BELOW MISSOULA, ST. REGIS R. NR ST. REGIS, CLARK FORK AT ST REGIS    TB20, KERR DAM, NOXON RAPIDS DAM, CABINET GORGE DAM, PRIEST R NR PRIEST RIVER, ALBENI FALLS DAM, COEUR D'ALENE LAKE, SPOKANE RIV AT LONGLAKE, ST MARIES R NR SANTA, COLUMBIAR @INTERNATL BOUNDAR, KETTLE RIVER AT LAURIER, GRAND COULEE DAM, CHIEF JOSEPH DAM, OKANOGAN RIVER NEAR TONASKET, METHOW R NEAR PATEROS, WELLS DAM, LAKE CHELAN DAM, ROCKY REACH DAM, ENTIAT R NR ARDENVOIR, WENATCHEE R AT PESHASTIN  TB20, WANAPUM DAM, PRIEST RAPIDS DAM, KEECHELUS LAKE, KACHESS DAM NEAR EASTON, YAKIMA RIVER AT EASTON, CLE ELUM LAKE NEAR ROSLYN, YAKIMA RIVER AT CLE ELUM, TEANAWAY RIVER BLW FORKS, YAKIMA RIVER AT UMTANUM, BUMPING LK DM NR GOOSE PRAIRIE, NACHES RIVER NEAR CLIFFDEL, RIMROCK LAKE NEAR RIMROCK, NACHES RIVER NEAR NACHES, YAKIMA RIVER NEAR PARKER, YAKIMA RIVER AT KIONA, ISLAND PARK 1SWIS.PARKDM&RES, FALL RIVER NR CHESTER, HENRYS FORK AT ST. ANTHONY, TETON RIVER NEAR ST. ANTHONY, HENRYS FORK NEAR REXBURG, SNKE R ON JACKSN LK AT DM TB20, SNAKE RIVER NR JACKSON, SNAKE RIVER NR ALPINE, PALISADES DAM, SNAKE RIVER NR HEISE, RIRIE DAM AND LAKE ON WILLOW C, SNAKE AB EAGLE ROCK NR ID FALL, SNAKE RIVER NR SHELLEY, SNAKE RIVER AT BLACKFOOT, SNAKE RIVER NEAR BLACKFOOT, PORTNEUF RIVER AT POCATELLO, AMERICAN FALLS RESERVOIR  TB12, SNAKE RIV AT MILNER, BRUNEAU RIVER NR HOT SPRINGS, SNAKE RIVER BELOW SWAN FALLS, BIG LOST R@HOW'L RNCH NR CHILL, BIG LOST R AT MACKAY, BIG WOOD RIVER AT HAILEY, MAGIC DM&RES-BIG WOOD RICHFLD, LITL.WOODDM&RESNRCAREY, OWYHEE BELOW OWYHEE DAM, ANDERSON RANCH DAM        TB12, BOISE LUCKY PEAK DAM, BOISE RIVER AT GLENWOOD BRIDGE, BOISE RIVER NR PARMA, WARM SPRINGS RESERVOIR, AGENCY VLY DAM & BEULAH RSVR, BULLY CREEK DAM & RES     TB12, MALHEUR RIVER NR VALE, CASCADE DAM               TB12, DEADWOOD RESERVOIR NR LOWMAN, PAYETTE RIVER NEAR EMMETT, WEISER RIVER NR WEISER, SNAKE RIVER AT WEISER, BROWNLEE DAM, SALMON R AT WHITEBIRD, GRANDE RONDE RIVER AT TROY, SNAKE RIVER NR ANATONE, CLEARWATER R AT OROFINO, DWORSHAK DAM, CLEARWATER R AT SPALDING, LOWER GRANITE DAM, LITTLE GOOSE DAM, LOWER MONUMENTAL DAM, ICE HARBOR DAM, WALLA WALLA RIV NEAR TOUCHET, MCNARY DAM NEAR MCNARY, UMATILLA R NR GIBBON, UMATILLA R AT PENDLETON, MCKAY CR NR PILOTROCK, UMATILLA RIVER NEAR UMATILLA, NF JOHN DAY RIV AT MONUMENT, JOHN DAY RIVER AT SERVICE CK, JOHN DAY DAM, DESCHUTES R AT MOODY NR BIGGS, THE DALLES, KLICKITAT R NR PITT, HOOD R AT TUCKER BRIDGE   TB20, WHITE SALMON R NEAR UNDERWOOD, BONNEVILLE DAM
2004-07-06,21031.0,13977.0,4658.0,4297.0,4294.0,15014.0,84.0,258.0,474.0,1599.0,2479.0,2104.0,4737.0,297.0,6438.0,17176.0,25154.0,26488.0,1225.0,29560.0,2106.0,3611.0,128.0,116118.0,2950.0,124470.0,118766.0,2484.0,1516.0,121719.0,2375.0,124033.0,301.0,2465.0,135677.0,134929.0,121.0,115.0,261.0,681.0,3556.0,13.0,3445.0,140.0,569.0,597.0,638.0,383.0,2175.0,575.0,468.0,1304.0,1131.0,1764.0,2671.0,6434.0,7808.0,10022.0,11034.0,40.0,6579.0,5478.0,2841.0,2333.0,74.0,4320.0,20.0,205.0,4991.0,405.0,409.0,492.0,194.0,60.0,185.0,463.0,4375.0,1241.0,839.0,9.0,64.0,3.0,91.0,741.0,181.0,2252.0,289.0,8632.0,8916.0,9786.0,2404.0,22916.0,6034.0,3420.0,15040.0,37956.0,37956.0,38035.0,38035.0,63.0,172582.0,55.0,126.0,5.0,111.0,499.0,809.0,173257.0,5147.0,170461.0,993.0,436.0,788.0,186418.0
2004-07-07,19559.0,13984.0,4251.0,4099.0,3939.0,14304.0,83.0,261.0,454.0,1523.0,2339.0,1954.0,4415.0,287.0,6092.0,16355.0,24124.0,25385.0,1225.0,27151.0,1926.0,3334.0,124.0,112636.0,2755.0,119465.0,125000.0,2354.0,1463.0,128936.0,2339.0,131439.0,281.0,2347.0,143693.0,143597.0,112.0,111.0,284.0,642.0,3561.0,13.0,3507.0,132.0,561.0,507.0,639.0,495.0,2171.0,553.0,377.0,1131.0,988.0,1632.0,2083.0,6021.0,7385.0,9579.0,11062.0,38.0,6179.0,5019.0,2654.0,2420.0,75.0,4424.0,20.0,202.0,5693.0,387.0,391.0,475.0,189.0,58.0,155.0,443.0,4305.0,1257.0,923.0,9.0,67.0,2.0,150.0,683.0,175.0,2171.0,282.0,8358.0,8505.0,9082.0,2280.0,23037.0,5706.0,3284.0,15252.0,38290.0,38290.0,38367.0,38367.0,70.0,180293.0,54.0,129.0,9.0,105.0,475.0,765.0,181751.0,5121.0,176906.0,1007.0,425.0,777.0,178306.0
2004-07-08,18009.0,15008.0,3936.0,3877.0,3627.0,13731.0,82.0,255.0,439.0,1451.0,2235.0,1840.0,4164.0,279.0,5730.0,15467.0,22864.0,24080.0,1225.0,25697.0,1827.0,3164.0,120.0,109745.0,2574.0,116280.0,123750.0,2226.0,1412.0,127755.0,2212.0,130492.0,263.0,2245.0,142639.0,142733.0,101.0,104.0,310.0,544.0,3570.0,13.0,3514.0,126.0,534.0,427.0,623.0,513.0,2212.0,552.0,324.0,1051.0,925.0,1426.0,1766.0,5632.0,6961.0,9086.0,11078.0,36.0,6014.0,4868.0,2482.0,2221.0,74.0,4323.0,20.0,199.0,6469.0,371.0,375.0,458.0,179.0,57.0,136.0,426.0,4235.0,1266.0,963.0,8.0,66.0,2.0,180.0,629.0,169.0,2095.0,275.0,8874.0,8835.0,8651.0,2168.0,22168.0,5355.0,3097.0,14964.0,37132.0,37132.0,37206.0,37206.0,67.0,183393.0,53.0,123.0,10.0,101.0,453.0,721.0,186412.0,5103.0,182149.0,951.0,397.0,752.0,184270.0
2004-07-09,16458.0,15085.0,3719.0,3621.0,3347.0,13224.0,82.0,236.0,426.0,1387.0,2148.0,1728.0,3934.0,270.0,5449.0,14679.0,21697.0,22867.0,1225.0,24380.0,1754.0,3063.0,117.0,107533.0,2411.0,113675.0,112500.0,2118.0,1362.0,117747.0,2113.0,121896.0,247.0,2157.0,135216.0,135771.0,93.0,97.0,336.0,483.0,3578.0,12.0,3498.0,119.0,507.0,409.0,604.0,465.0,2235.0,543.0,286.0,990.0,887.0,1225.0,1603.0,5374.0,6644.0,8678.0,11089.0,35.0,5777.0,4627.0,2292.0,2073.0,73.0,4126.0,20.0,195.0,6372.0,357.0,361.0,443.0,154.0,55.0,126.0,412.0,4166.0,1262.0,932.0,8.0,61.0,2.0,157.0,594.0,164.0,2007.0,267.0,9651.0,9535.0,8343.0,2068.0,22183.0,5029.0,2936.0,14690.0,36873.0,36873.0,36945.0,36945.0,59.0,180248.0,52.0,114.0,10.0,97.0,434.0,680.0,183711.0,5084.0,179806.0,921.0,396.0,727.0,182204.0
2004-07-10,15308.0,15036.0,3575.0,3364.0,3105.0,12788.0,81.0,212.0,413.0,1331.0,2059.0,1621.0,3705.0,262.0,5186.0,14042.0,20663.0,21788.0,1225.0,23193.0,1686.0,2979.0,113.0,101198.0,2262.0,108137.0,87500.0,2025.0,1314.0,91971.0,2037.0,95906.0,232.0,2078.0,109441.0,110464.0,87.0,93.0,363.0,446.0,3587.0,11.0,3492.0,114.0,484.0,416.0,602.0,423.0,2207.0,534.0,241.0,903.0,838.0,1050.0,1497.0,5194.0,6435.0,8390.0,11094.0,33.0,5462.0,4300.0,1982.0,1826.0,72.0,3868.0,20.0,190.0,6191.0,344.0,349.0,428.0,127.0,54.0,119.0,399.0,4098.0,1253.0,891.0,8.0,57.0,2.0,133.0,568.0,159.0,1904.0,258.0,9906.0,9938.0,8095.0,1979.0,22386.0,4742.0,2797.0,14401.0,36787.0,36787.0,36857.0,36857.0,47.0,165859.0,51.0,105.0,8.0,93.0,415.0,642.0,171857.0,5065.0,168727.0,939.0,404.0,709.0,172226.0
2004-07-11,14479.0,14990.0,3492.0,3157.0,2895.0,12457.0,80.0,202.0,401.0,1279.0,1973.0,1540.0,3514.0,254.0,4931.0,13523.0,19771.0,20851.0,1225.0,22153.0,1622.0,2960.0,110.0,100732.0,2126.0,105801.0,92500.0,1942.0,1268.0,93291.0,1969.0,93516.0,220.0,2006.0,101916.0,101598.0,82.0,89.0,389.0,440.0,3596.0,11.0,3515.0,110.0,464.0,411.0,618.0,455.0,2162.0,530.0,211.0,839.0,800.0,900.0,1413.0,5026.0,6252.0,8156.0,11104.0,32.0,5284.0,4078.0,1650.0,1498.0,72.0,3523.0,20.0,185.0,6058.0,332.0,338.0,415.0,114.0,53.0,112.0,386.0,4031.0,1244.0,891.0,8.0,54.0,2.0,133.0,547.0,154.0,1809.0,252.0,9605.0,9693.0,7868.0,1900.0,22052.0,4489.0,2677.0,14258.0,36310.0,36310.0,36377.0,36377.0,43.0,143606.0,50.0,99.0,9.0,88.0,397.0,612.0,148528.0,5047.0,145639.0,960.0,401.0,695.0,149318.0
2004-07-12,13831.0,14946.0,3394.0,3002.0,2710.0,12182.0,80.0,195.0,393.0,1235.0,1910.0,1480.0,3389.0,248.0,4719.0,13129.0,18623.0,19670.0,1225.0,20968.0,1560.0,2814.0,107.0,100126.0,2005.0,105231.0,128750.0,1866.0,1225.0,131275.0,1901.0,132319.0,210.0,1938.0,138857.0,137502.0,76.0,85.0,416.0,427.0,3606.0,10.0,3529.0,105.0,447.0,395.0,637.0,494.0,2151.0,530.0,186.0,795.0,777.0,780.0,1342.0,4878.0,6083.0,7936.0,11115.0,30.0,5203.0,3978.0,1450.0,1222.0,71.0,3169.0,20.0,180.0,5936.0,321.0,327.0,402.0,102.0,52.0,106.0,375.0,3965.0,1235.0,886.0,8.0,52.0,2.0,135.0,532.0,149.0,1738.0,246.0,9319.0,9371.0,7653.0,1828.0,21316.0,4262.0,2573.0,16194.0,37510.0,37510.0,37576.0,37576.0,39.0,153209.0,49.0,95.0,10.0,83.0,380.0,586.0,150808.0,5028.0,146504.0,957.0,391.0,688.0,146958.0
2004-07-13,13461.0,14908.0,3293.0,2884.0,2546.0,11932.0,79.0,183.0,384.0,1195.0,1852.0,1425.0,3277.0,241.0,4567.0,12844.0,17222.0,18227.0,1225.0,19409.0,1502.0,2715.0,104.0,99225.0,1896.0,104177.0,120288.0,1797.0,1185.0,124409.0,1837.0,127942.0,202.0,1873.0,138667.0,139073.0,71.0,82.0,442.0,398.0,3615.0,10.0,3529.0,101.0,431.0,390.0,658.0,508.0,2165.0,531.0,167.0,760.0,758.0,687.0,1283.0,4762.0,5946.0,7744.0,11127.0,29.0,5156.0,3933.0,1338.0,1052.0,71.0,2915.0,20.0,176.0,5797.0,311.0,317.0,389.0,85.0,52.0,100.0,364.0,3901.0,1226.0,868.0,8.0,48.0,1.0,131.0,521.0,144.0,1678.0,242.0,9086.0,9094.0,7451.0,1763.0,20666.0,4062.0,2482.0,16162.0,36828.0,36828.0,36891.0,36891.0,31.0,180306.0,49.0,88.0,10.0,79.0,364.0,557.0,180711.0,5010.0,176742.0,953.0,393.0,683.0,177123.0
2004-07-14,13136.0,14878.0,3215.0,2782.0,2399.0,11735.0,79.0,162.0,370.0,1153.0,1781.0,1347.0,3129.0,234.0,4421.0,12511.0,16665.0,17657.0,1225.0,18652.0,1447.0,2663.0,101.0,98162.0,1798.0,102968.0,105445.0,1734.0,1149.0,108784.0,1775.0,111893.0,195.0,1810.0,122231.0,122835.0,66.0,79.0,468.0,392.0,3625.0,9.0,3531.0,97.0,418.0,400.0,682.0,518.0,2172.0,530.0,146.0,721.0,740.0,600.0,1230.0,4666.0,5836.0,7586.0,11139.0,27.0,5071.0,3845.0,1236.0,941.0,71.0,2741.0,20.0,171.0,5656.0,301.0,307.0,378.0,67.0,51.0,94.0,355.0,3837.0,1216.0,839.0,8.0,43.0,1.0,112.0,507.0,140.0,1616.0,237.0,8836.0,8811.0,7260.0,1704.0,20052.0,3883.0,2402.0,15967.0,36020.0,36020.0,36077.0,36077.0,21.0,171680.0,48.0,80.0,10.0,75.0,348.0,529.0,176026.0,4992.0,173474.0,967.0,398.0,681.0,176514.0
2004-07-15,12388.0,14837.0,3138.0,2668.0,2265.0,11523.0,78.0,146.0,360.0,1114.0,1711.0,1280.0,2991.0,228.0,4249.0,12201.0,16199.0,17193.0,1225.0,18097.0,1394.0,2611.0,98.0,97337.0,1708.0,101936.0,104379.0,1677.0,1113.0,107276.0,1717.0,109754.0,188.0,1750.0,118263.0,118332.0,62.0,76.0,479.0,391.0,3622.0,9.0,3541.0,94.0,406.0,403.0,687.0,549.0,2175.0,524.0,115.0,655.0,723.0,510.0,1174.0,4583.0,5739.0,7447.0,11124.0,26.0,4916.0,3674.0,1108.0,827.0,70.0,2572.0,20.0,167.0,5553.0,292.0,298.0,366.0,56.0,50.0,89.0,345.0,3773.0,1204.0,826.0,8.0,41.0,1.0,108.0,498.0,136.0,1559.0,231.0,8552.0,8507.0,7078.0,1650.0,19440.0,3714.0,2330.0,15783.0,35223.0,35223.0,35274.0,35274.0,16.0,158200.0,47.0,75.0,11.0,70.0,333.0,504.0,161261.0,4973.0,158817.0,982.0,401.0,682.0,161771.0
