, KOOTENAI - LIBBY DAM, KOOTENAI - AT LEONIA, NF FLATHEAD - NEAR COLUMBIA FALLS, MF FLATHEAD - NEAR WEST GLACIER, SF FLATHEAD - HUNGRY HORSE DAM, FLATHEAD - AT COLUMBIA FALLS, CLARK FORK - AT DEER LODGE, CLARK FORK - NR DRUMMOND, ROCK CREEK - NEAR CLINTON, BLACKFOOT - NEAR BONNER, CLARK FORK - ABOVE MISSOULA, BITTERROOT - NEAR MISSOULA, CLARK FORK - BELOW MISSOULA, ST. REGIS - NEAR ST. REGIS, CLARK FORK - AT ST REGIS, FLATHEAD - KERR DAM, CLARK FORK - NOXON RAPIDS DAM, CLARK FORK - CABINET GORGE DAM, PRIEST - NEAR PRIEST RIVER, PEND OREILLE - ALBENI FALLS DAM, COEUR D ALENE - COEUR D ALENE LAKE, SPOKANE - AT SPOKANE, SPOKANE - AT LONGLAKE, ST MARIES - NEAR SANTA, COLUMBIA - AT INTL BOUNDARY, KETTLE - AT LAURIER, COLUMBIA - GRAND COULEE DAM, COLUMBIA - CHIEF JOSEPH DAM, OKANOGAN - NEAR TONASKET, METHOW - NEAR PATEROS, COLUMBIA - WELLS DAM, CHELAN - LAKE CHELAN DAM, COLUMBIA - ROCKY REACH DAM, ENTIAT - NEAR ARDENVOIR, WENATCHEE - AT PESHASTIN, COLUMBIA - WANAPUM DAM, COLUMBIA - PRIEST RAPIDS DAM, YAKIMA - KEECHELUS LAKE, KACHESS - KACHESS DAM, YAKIMA - AT EASTON, CLE ELUM - CLE ELUM LAKE, TEANAWAY - BELOW FORKS, YAKIMA - AT UMTANUM, BUMPING - BUMPING LAKE DAM, NACHES - NEAR CLIFFDEL, TIETON - RIMROCK LAKE NEAR RIMROCK, NACHES - NEAR NACHES, YAKIMA - NEAR PARKER, YAKIMA - AT KIONA, HENRYS FORK - ISLAND PARK DAM, FALLS - NEAR CHESTER, HENRY'S FORK - AT ST. ANTHONY, TETON - NEAR ST. ANTHONY, HENRYS FORK - AT REXBURG, SNAKE - JACKSON LAKE AT DAM, SNAKE - NEAR JACKSON, SNAKE - NEAR ALPINE, SF SNAKE - PALISADES DAM, SNAKE - NEAR HEISE, WILLOW CREEK - RIRIE DAM, SNAKE - AB EAGLE ROCK NR IDAHO FALLS, SNAKE - NEAR SHELLEY, SNAKE - AT BLACKFOOT, SNAKE - NEAR BLACKFOOT, PORTNEUF - AT POCATELLO, SNAKE - AMERICAN FALLS RESERVOIR, SNAKE - AT MILNER, BRUNEAU - NEAR HOT SPRINGS, SNAKE - BELOW SWAN FALLS, BIG LOST - AT HOWELL RANCH NEAR CHILLY, BIG LOST - MACKAY RESERVOIR NEAR MACKAY, BIG WOOD - AT HAILEY, BIG WOOD - MAGIC DAM, LITTLE WOOD - LITTLE WOOD DAM, OWYHEE - BELOW OWYHEE DAM, SF BOISE - ANDERSON RANCH DAM, BOISE - LUCKY PEAK DAM, BOISE - AT GLENWOOD BRIDGE, BOISE - NEAR PARMA, MALHEUR - WARM SPRINGS DAM, MALHEUR - AGENCY VALLEY DAM, BULLY CREEK - BULLY CREEK DAM, MALHEUR - NEAR VALE, NF PAYETTE - CASCADE DAM, DEADWOOD - NEAR LOWMAN, PAYETTE - NEAR EMMETT, WEISER - NEAR WEISER, SNAKE - AT WEISER, SNAKE - BROWNLEE DAM, SALMON - AT WHITEBIRD, GRANDE RONDE - TROY, SNAKE - NEAR ANATONE, CLEARWATER - AT OROFINO, CLEARWATER - DWORSHAK DAM, CLEARWATER - AT SPALDING, SNAKE - LOWER GRANITE DAM, SNAKE - LITTLE GOOSE DAM, SNAKE - LOWER MONUMENTAL DAM, SNAKE - ICE HARBOR DAM, WALLA WALLA - NEAR TOUCHET, COLUMBIA - MCNARY DAM, UMATILLA - NEAR GIBBON, UMATILLA - AT PENDLETON, MCKAY CREEK - NEAR PILOT ROCK, UMATILLA - NEAR UMATILLA, NF JOHN DAY - AT MONUMENT, JOHN DAY - AT SERVICE CK, COLUMBIA - JOHN DAY DAM, DESCHUTES - AT MOODY NR BIGGS, COLUMBIA - THE DALLES DAM, KLICKITAT - NEAR PITT, HOOD - NEAR TUCKER BRIDGE, WHITE SALMON - NEAR UNDERWOOD, COLUMBIA - BONNEVILLE DAM
2011-05-31, 36510, 34150, 10800, 10030, 11260, 28950, 930, 3050, 3380, 8160, 14810, 8120, 22580, 2350, 30300, 39370, 82010, 86820, 7630, 99180, 20920, 31330, 31750, 1310, 195105, 18070, 272900, 266700, 14210, 8540, 291670, 5870, 302390, 1290, 7520, 325730, 343260, 680, 630, 760, 2410, 880, 4820, 620, 2610, 1050, 5330, 6690, 8340, 1890, 2580, 5980, 2260, 7980, 4430, 10820, 13830, 22510, 24330, 1630, 28970, 26870, 28140, 25860, 1110, 29160, 20700, 2090, 29900, 550, 420, 1110, 1000, 390, 6280, 2800, 9640, 6750, 7030, 1160, 610, 160, 3310, 3170, 820, 8980, 2460, 58610, 63100, 37910, 9920, 116350, 33030, 21160, 38830, 163800, 149140, 141740, 139400, 1660, 519410, 740, 1390, 560, 2720, 7050, 10420, 500190, 7510, 485100, 2940, 1380, 1740, 496030
2011-06-01, 35738, 33832, 10790, 10052, 11332, 28765, 922, 3048, 3325, 7845, 14450, 7890, 22100, 2422, 29355, 37798, 80040, 82285, 7562, 92455, 20700, 29878, 30438, 1630, 197792, 18868, 272800, 261438, 14405, 8592, 286322, 7085, 293870, 1370, 8815, 322452, 334408, 892, 768, 968, 2748, 1028, 5342, 752, 3045, 1458, 5908, 7530, 8462, 1860, 2818, 6092, 2295, 7920, 4458, 10368, 13712, 21848, 24332, 1345, 28688, 26462, 27428, 25472, 1105, 29645, 21000, 2110, 29818, 542, 415, 1110, 972, 422, 6222, 2695, 9555, 6738, 6992, 1050, 638, 155, 2510, 3585, 902, 8858, 2442, 57958, 62985, 38008, 10620, 116435, 33205, 21262, 41612, 164268, 152662, 155275, 155435, 1805, 508718, 760, 1330, 600, 2678, 7462, 10585, 500050, 7775, 500858, 3208, 1562, 1788, 489895
2011-06-02, 37582, 34022, 13482, 12128, 14960, 33282, 1095, 3395, 3670, 7630, 14572, 8288, 22850, 2708, 29945, 39045, 79830, 82382, 7540, 92095, 24372, 28882, 29198, 2342, 201215, 22718, 276290, 260000, 14698, 8735, 284800, 8335, 288535, 1405, 10095, 314905, 325120, 950, 795, 990, 2568, 1022, 5990, 758, 3105, 1510, 6170, 9230, 9640, 1882, 3245, 6825, 2528, 7935, 4692, 9840, 13210, 22072, 24455, 1120, 28602, 26100, 26655, 24965, 1148, 29188, 21000, 2280, 30720, 540, 420, 1175, 1028, 500, 5760, 3182, 9530, 6765, 6980, 918, 662, 142, 1550, 4500, 1125, 9402, 2568, 57195, 62165, 41562, 11970, 120540, 37295, 22270, 44698, 167635, 160175, 161340, 161340, 2095, 497778, 762, 1332, 690, 2600, 8098, 11182, 500582, 8130, 485190, 3440, 1710, 1862, 486235
2011-06-03, 41135, 34545, 16700, 14650, 21058, 39775, 1598, 5088, 4778, 8832, 18015, 12450, 30465, 2808, 35385, 46420, 83188, 86392, 7482, 95115, 28730, 28442, 28640, 2290, 203948, 26490, 280015, 260000, 15432, 8822, 285280, 7862, 288942, 1332, 9562, 312882, 321838, 880, 722, 870, 2158, 838, 5350, 718, 2848, 1392, 5395, 8245, 10635, 2060, 3512, 7570, 2860, 8568, 5592, 10375, 13718, 22978, 24560, 1038, 28745, 26198, 26382, 24958, 1295, 29172, 21000, 2680, 31395, 558, 435, 1458, 1305, 512, 5342, 3972, 9702, 6705, 6948, 830, 650, 132, 1258, 5380, 1375, 11315, 3015, 59118, 63798, 51280, 11970, 128308, 50225, 23975, 55978, 184290, 180342, 181422, 181422, 2000, 507795, 730, 1285, 702, 2560, 8322, 11432, 510240, 8180, 496332, 3428, 1802, 1840, 501465
2011-06-04, 44890, 35042, 18115, 16558, 22388, 44118, 1410, 5648, 5305, 10540, 22062, 15958, 38020, 2848, 45640, 54018, 92785, 97202, 7368, 104620, 30922, 28595, 28688, 1968, 206882, 27408, 281412, 260000, 16058, 8748, 285780, 6710, 289412, 1328, 8740, 310462, 318165, 840, 682, 745, 2075, 752, 4638, 758, 2778, 1295, 4765, 5645, 9645, 2012, 3182, 6980, 2682, 9158, 5688, 10555, 13640, 22702, 24495, 972, 29440, 26918, 26672, 25498, 1322, 29518, 20952, 3192, 31735, 520, 412, 1380, 1295, 448, 5622, 3740, 9475, 6615, 6842, 765, 635, 125, 1135, 4398, 1278, 12050, 3002, 61575, 66620, 56505, 10685, 135562, 56180, 24762, 63845, 199402, 198745, 199745, 199745, 1745, 528338, 670, 1195, 645, 2455, 7960, 11132, 545440, 8022, 530830, 3492, 1915, 1825, 537152
2011-06-05, 49852, 34955, 18048, 17800, 21372, 45115, 1272, 5062, 5015, 11150, 22128, 14900, 37030, 2805, 47072, 56615, 99252, 104660, 7185, 112162, 30875, 28958, 29070, 1435, 209900, 27102, 283325, 260000, 16045, 8935, 286188, 7038, 289960, 1488, 8882, 309018, 315435, 832, 675, 625, 2465, 860, 4158, 878, 3138, 1355, 4972, 4668, 7650, 1805, 3130, 6508, 2670, 8645, 5250, 10310, 13220, 21998, 24478, 925, 29898, 27482, 27218, 26382, 1240, 30228, 20815, 2888, 31392, 545, 440, 1330, 1140, 442, 5462, 3725, 9242, 6528, 6725, 715, 598, 120, 1065, 4190, 1238, 10998, 2775, 61010, 66380, 53542, 9735, 130140, 52925, 23808, 57092, 187232, 187232, 188152, 188152, 1480, 518582, 615, 1035, 530, 2252, 7250, 10162, 541205, 7780, 519015, 3692, 1975, 1708, 527255
2011-06-06, 56018, 34495, 19240, 19740, 22768, 45738, 1408, 4888, 4865, 11455, 21880, 15012, 36895, 2775, 45762, 56628, 99242, 105010, 6995, 112595, 29712, 29252, 29430, 1120, 212590, 26922, 285068, 260000, 16202, 9762, 286818, 8155, 290750, 1685, 9478, 308335, 313488, 845, 680, 545, 2738, 960, 3968, 950, 3390, 1392, 5398, 4890, 6635, 1872, 3538, 7080, 3060, 8185, 5968, 10835, 14025, 23280, 24530, 885, 29340, 27040, 26962, 26572, 1172, 30700, 20680, 2548, 30745, 902, 730, 1568, 1318, 498, 4755, 4050, 9100, 6438, 6605, 680, 570, 112, 1040, 4478, 1322, 10765, 2715, 59532, 64638, 53465, 9845, 127930, 51978, 23875, 56352, 184280, 184280, 185162, 185162, 1272, 507728, 592, 925, 442, 2088, 6902, 9470, 527125, 7628, 520522, 3925, 2018, 1595, 527520
2011-06-07, 60680, 34248, 20598, 21620, 25218, 46122, 1542, 4955, 4920, 12012, 22518, 15975, 38492, 2760, 46800, 56972, 100515, 106732, 6828, 113958, 28730, 29378, 29640, 1020, 215005, 26888, 287522, 260000, 17170, 10588, 288045, 8430, 292082, 1825, 9552, 307738, 311645, 795, 645, 450, 2618, 882, 3825, 932, 3375, 1358, 5350, 4980, 6550, 1980, 3758, 7498, 3418, 8725, 7220, 11995, 15495, 25638, 24548, 845, 28950, 26622, 26198, 26005, 1142, 30332, 20540, 2518, 30398, 1158, 948, 1758, 1558, 508, 4220, 4258, 8992, 6350, 6458, 660, 550, 110, 1010, 4845, 1395, 11175, 2792, 58758, 63468, 56675, 10198, 130005, 52898, 24280, 58330, 188330, 188330, 189185, 189185, 1120, 507672, 578, 865, 388, 1968, 6912, 9160, 524798, 7542, 520622, 3975, 1948, 1490, 527895
2011-06-08, 62962, 35178, 23032, 23885, 31360, 48352, 1672, 5158, 5048, 12855, 23650, 16812, 40460, 2848, 49212, 58388, 104208, 111082, 6720, 118060, 29790, 29455, 29750, 1220, 217190, 27822, 291382, 260000, 18348, 10960, 289535, 8235, 293668, 1900, 9358, 307130, 309802, 758, 598, 350, 2325, 722, 3435, 895, 3145, 1250, 4852, 4322, 6565, 1950, 3882, 7528, 3518, 9285, 7790, 12615, 16118, 26592, 24532, 805, 29448, 27108, 26180, 25875, 1112, 29888, 20400, 2572, 30195, 1120, 928, 1828, 1605, 495, 4112, 4945, 9190, 6260, 6405, 740, 572, 110, 962, 6440, 1445, 11655, 3472, 58980, 63545, 60895, 12488, 134638, 56932, 26105, 61502, 196142, 196142, 196970, 196970, 1095, 511835, 680, 1050, 702, 2260, 8558, 10080, 528438, 7478, 526538, 3902, 1895, 1400, 533365
2011-06-09, 67370, 37688, 26000, 26395, 43138, 54145, 2025, 6132, 5348, 14275, 26090, 18800, 44892, 2888, 53658, 64715, 110248, 117978, 6625, 124335, 32012, 29702, 29982, 1185, 218985, 30042, 297612, 252500, 19122, 11040, 284520, 7885, 290160, 1920, 9228, 303152, 304998, 755, 580, 265, 2295, 692, 3042, 908, 3085, 1258, 4590, 3532, 5930, 2005, 4225, 7862, 3738, 9565, 8868, 13202, 16692, 27108, 24550, 768, 29842, 27572, 26540, 26238, 1085, 30118, 20265, 2660, 30065, 1222, 1020, 2035, 1815, 498, 4200, 5310, 9192, 6170, 6288, 865, 605, 110, 935, 5915, 1482, 12642, 4255, 60428, 65680, 72982, 14488, 143765, 64250, 29152, 69062, 212828, 212828, 213632, 213632, 1145, 522660, 678, 1225, 825, 2750, 9772, 12600, 540825, 7368, 541055, 3780, 1835, 1320, 547052
