, LIBBY DAM, KOOTENAI RIV AT LEONIA, NF FLATHEAD R NR COLUMBIA FALL, MF FLATHEAD NR WEST GLACIER, DAM AT HUNGRY HORSE, FLATHEAD R AT COLUMBIA FALLS, CLARK FORK AT DEER LODGE, ROCK CREEK NR CLINTON, BLACKFOOT R NR BONNER, CLARK FORK AB MISSOULA, BITTERROOT R NR MISSOULA, CLARK FORK BELOW MISSOULA, ST. REGIS R. NR ST. REGIS, CLARK FORK AT ST REGIS    TB20, KERR DAM, NOXON RAPIDS DAM, CABINET GORGE DAM, PRIEST R NR PRIEST RIVER, ALBENI FALLS DAM, COEUR D'ALENE LAKE, SPOKANE RIV AT LONGLAKE, ST MARIES R NR SANTA, COLUMBIAR @INTERNATL BOUNDAR, KETTLE RIVER AT LAURIER, GRAND COULEE DAM, CHIEF JOSEPH DAM, OKANOGAN RIVER NEAR TONASKET, METHOW R NEAR PATEROS, WELLS DAM, LAKE CHELAN DAM, ROCKY REACH DAM, ENTIAT R NR ARDENVOIR, WENATCHEE R AT PESHASTIN  TB20, WANAPUM DAM, PRIEST RAPIDS DAM, KEECHELUS LAKE, KACHESS DAM NEAR EASTON, YAKIMA RIVER AT EASTON, CLE ELUM LAKE NEAR ROSLYN, YAKIMA RIVER AT CLE ELUM, TEANAWAY RIVER BLW FORKS, YAKIMA RIVER AT UMTANUM, BUMPING LK DM NR GOOSE PRAIRIE, NACHES RIVER NEAR CLIFFDEL, RIMROCK LAKE NEAR RIMROCK, NACHES RIVER NEAR NACHES, YAKIMA RIVER NEAR PARKER, YAKIMA RIVER AT KIONA, ISLAND PARK 1SWIS.PARKDM&RES, FALL RIVER NR CHESTER, HENRYS FORK AT ST. ANTHONY, TETON RIVER NEAR ST. ANTHONY, HENRYS FORK NEAR REXBURG, SNKE R ON JACKSN LK AT DM TB20, SNAKE RIVER NR JACKSON, SNAKE RIVER NR ALPINE, PALISADES DAM, SNAKE RIVER NR HEISE, RIRIE DAM AND LAKE ON WILLOW C, SNAKE AB EAGLE ROCK NR ID FALL, SNAKE RIVER NR SHELLEY, SNAKE RIVER AT BLACKFOOT, SNAKE RIVER NEAR BLACKFOOT, PORTNEUF RIVER AT POCATELLO, AMERICAN FALLS RESERVOIR  TB12, SNAKE RIV AT MILNER, BRUNEAU RIVER NR HOT SPRINGS, SNAKE RIVER BELOW SWAN FALLS, BIG LOST R@HOW'L RNCH NR CHILL, BIG LOST R AT MACKAY, BIG WOOD RIVER AT HAILEY, MAGIC DAM OUTFLOW, LITL.WOODDM&RESNRCAREY, OWYHEE BELOW OWYHEE DAM, ANDERSON RANCH DAM, BOISE LUCKY PEAK DAM, BOISE RIVER AT GLENWOOD BRIDGE, BOISE RIVER NR PARMA, WARM SPRINGS DAM & RESERVOIR, AGENCY VLY DAM & BEULAH RSVR, BULLY CREEK DAM & RES     TB12, MALHEUR RIVER NR VALE, CASCADE DAM               TB12, DEADWOOD RESERVOIR NR LOWMAN, PAYETTE RIVER NEAR EMMETT, WEISER RIVER NR WEISER, SNAKE RIVER AT WEISER, BROWNLEE DAM, SALMON R AT WHITEBIRD, GRANDE RONDE RIVER AT TROY, SNAKE RIVER NR ANATONE, CLEARWATER R AT OROFINO, DWORSHAK DAM, CLEARWATER R AT SPALDING, LOWER GRANITE DAM, LITTLE GOOSE DAM, LOWER MONUMENTAL DAM, ICE HARBOR DAM, WALLA WALLA RIV NEAR TOUCHET, MCNARY DAM NEAR MCNARY, UMATILLA R NR GIBBON, UMATILLA R AT PENDLETON, MCKAY CR NR PILOTROCK, UMATILLA RIVER NEAR UMATILLA, NF JOHN DAY RIV AT MONUMENT, JOHN DAY RIVER AT SERVICE CK, JOHN DAY DAM, DESCHUTES R AT MOODY NR BIGGS, THE DALLES, KLICKITAT R NR PITT, HOOD R NR TUCKER BRIDGE   TB20, WHITE SALMON R NEAR UNDERWOOD, BONNEVILLE DAM
2010-03-15,2620.0,4805.0,526.0,467.0,961.0,3560.0,240.0,213.0,497.0,1340.0,708.0,2048.0,90.0,2598.0,4385.0,8213.0,9102.0,921.0,9487.0,2969.0,3976.0,193.0,58078.0,893.0,61838.0,62349.0,729.0,434.0,62946.0,896.0,63954.0,92.0,1417.0,67926.0,68091.0,163.0,162.0,265.0,374.0,614.0,255.0,1276.0,113.0,549.0,254.0,813.0,2368.0,3510.0,405.0,444.0,1502.0,361.0,1389.0,397.0,1322.0,1471.0,2261.0,1060.0,50.0,2119.0,2019.0,1694.0,1779.0,247.0,3642.0,1604.0,107.0,8139.0,69.0,130.0,160.0,166.0,65.0,833.0,328.0,1678.0,272.0,829.0,305.0,134.0,48.0,439.0,527.0,52.0,1361.0,1919.0,13164.0,14798.0,3725.0,1330.0,18152.0,2441.0,2846.0,4214.0,22366.0,22366.0,22670.0,22670.0,384.0,92833.0,122.0,233.0,74.0,301.0,694.0,1245.0,105007.0,5255.0,106956.0,1509.0,715.0,1267.0,112690.0
2010-03-16,2611.0,4763.0,620.0,509.0,998.0,3544.0,238.0,239.0,469.0,1320.0,718.0,2038.0,118.0,2599.0,4318.0,8259.0,9249.0,958.0,10814.0,2903.0,3812.0,562.0,60073.0,906.0,63983.0,60000.0,850.0,449.0,61286.0,941.0,62898.0,91.0,1488.0,68133.0,68242.0,236.0,213.0,282.0,465.0,642.0,344.0,1302.0,133.0,532.0,302.0,901.0,2375.0,3422.0,412.0,480.0,1550.0,377.0,1409.0,411.0,1324.0,1487.0,2295.0,1069.0,68.0,2114.0,2003.0,1700.0,1783.0,254.0,3667.0,1595.0,115.0,8352.0,69.0,130.0,164.0,200.0,73.0,1015.0,397.0,1740.0,270.0,810.0,377.0,161.0,45.0,421.0,741.0,56.0,1560.0,1680.0,13226.0,14679.0,3793.0,1642.0,21030.0,2790.0,2853.0,4496.0,25526.0,25526.0,25964.0,25964.0,449.0,97430.0,281.0,297.0,162.0,248.0,973.0,1319.0,104870.0,5275.0,106232.0,1498.0,840.0,1222.0,109315.0
2010-03-17,2611.0,5205.0,878.0,581.0,1135.0,3740.0,243.0,305.0,543.0,1443.0,764.0,2207.0,157.0,2726.0,4333.0,8379.0,9385.0,1004.0,11508.0,3643.0,3741.0,830.0,62071.0,1026.0,66091.0,60000.0,964.0,499.0,61315.0,978.0,62762.0,103.0,1632.0,67658.0,67652.0,253.0,242.0,302.0,725.0,676.0,411.0,1398.0,163.0,525.0,290.0,943.0,2532.0,3455.0,426.0,527.0,1641.0,403.0,1474.0,457.0,1342.0,1532.0,2391.0,1074.0,94.0,2146.0,2017.0,1687.0,1760.0,270.0,3686.0,1585.0,128.0,8481.0,69.0,129.0,172.0,254.0,90.0,1062.0,495.0,1842.0,254.0,781.0,555.0,214.0,43.0,397.0,898.0,65.0,1911.0,1648.0,13969.0,15331.0,4165.0,2931.0,22444.0,3728.0,3331.0,5444.0,27888.0,27888.0,28349.0,28349.0,630.0,98911.0,481.0,697.0,285.0,303.0,1821.0,1746.0,106950.0,5362.0,108547.0,1493.0,966.0,1258.0,112100.0
2010-03-18,2626.0,5862.0,756.0,639.0,1277.0,3800.0,253.0,293.0,655.0,1587.0,819.0,2405.0,117.0,2956.0,4528.0,8565.0,9596.0,999.0,10841.0,4223.0,3761.0,498.0,61662.0,1006.0,66426.0,60000.0,1025.0,524.0,61469.0,919.0,62918.0,97.0,1607.0,67678.0,67681.0,207.0,183.0,293.0,551.0,663.0,333.0,1416.0,150.0,504.0,278.0,883.0,2562.0,3562.0,448.0,560.0,1817.0,429.0,1650.0,508.0,1364.0,1597.0,2521.0,1085.0,98.0,2239.0,2078.0,1703.0,1758.0,278.0,3725.0,1574.0,136.0,8466.0,69.0,127.0,184.0,335.0,101.0,1602.0,525.0,1802.0,236.0,747.0,568.0,212.0,41.0,374.0,723.0,66.0,2009.0,1580.0,14355.0,15863.0,4549.0,2767.0,23340.0,4346.0,3230.0,6049.0,29389.0,29389.0,29752.0,29752.0,642.0,101137.0,326.0,622.0,226.0,650.0,1831.0,2245.0,109737.0,5389.0,111283.0,1396.0,848.0,1210.0,114685.0
2010-03-19,2612.0,5902.0,615.0,641.0,1289.0,3662.0,253.0,236.0,725.0,1618.0,804.0,2422.0,93.0,3014.0,4464.0,8694.0,9745.0,983.0,10811.0,3950.0,3781.0,267.0,60663.0,976.0,65044.0,57500.0,1187.0,529.0,59589.0,897.0,61543.0,94.0,1481.0,66577.0,66712.0,199.0,162.0,289.0,496.0,651.0,295.0,1346.0,153.0,473.0,270.0,837.0,2385.0,3554.0,443.0,543.0,1774.0,425.0,1834.0,502.0,1352.0,1558.0,2537.0,1091.0,80.0,2446.0,2253.0,1795.0,1820.0,273.0,3799.0,1564.0,129.0,8424.0,68.0,125.0,187.0,382.0,101.0,1983.0,424.0,1709.0,218.0,714.0,442.0,164.0,40.0,351.0,527.0,63.0,1768.0,1449.0,14138.0,15834.0,4684.0,1990.0,22530.0,4058.0,2859.0,5678.0,28208.0,28208.0,28515.0,28515.0,535.0,100981.0,216.0,397.0,175.0,571.0,1378.0,2132.0,110408.0,5426.0,112152.0,1332.0,764.0,1175.0,115625.0
2010-03-20,2591.0,5665.0,565.0,623.0,1244.0,3577.0,251.0,210.0,743.0,1601.0,766.0,2367.0,87.0,2948.0,4249.0,8678.0,9731.0,966.0,10756.0,3363.0,3769.0,237.0,61526.0,964.0,65342.0,50000.0,1258.0,531.0,51867.0,905.0,53637.0,97.0,1403.0,58609.0,61401.0,203.0,157.0,287.0,502.0,646.0,278.0,1292.0,161.0,446.0,264.0,814.0,2210.0,3393.0,431.0,520.0,1688.0,412.0,1821.0,466.0,1323.0,1515.0,2449.0,1086.0,75.0,2580.0,2415.0,1967.0,1975.0,258.0,3931.0,1554.0,125.0,8375.0,68.0,123.0,187.0,378.0,98.0,1463.0,367.0,1672.0,201.0,676.0,375.0,140.0,39.0,325.0,563.0,62.0,1543.0,1369.0,13638.0,15293.0,4648.0,1755.0,23321.0,3624.0,2496.0,5120.0,28441.0,28441.0,28729.0,28729.0,474.0,97359.0,192.0,302.0,187.0,330.0,1012.0,1729.0,106685.0,5484.0,110322.0,1310.0,759.0,1173.0,113622.0
2010-03-21,2571.0,5455.0,551.0,603.0,1197.0,3538.0,249.0,208.0,725.0,1571.0,742.0,2313.0,87.0,2874.0,4090.0,8599.0,9645.0,955.0,10657.0,2985.0,2904.0,278.0,60587.0,970.0,65107.0,53750.0,1223.0,545.0,54749.0,910.0,55448.0,106.0,1394.0,58745.0,60557.0,219.0,170.0,293.0,591.0,654.0,299.0,1277.0,174.0,429.0,262.0,823.0,2103.0,3230.0,425.0,490.0,1561.0,402.0,1700.0,452.0,1297.0,1484.0,2375.0,1080.0,83.0,2527.0,2383.0,2035.0,2065.0,242.0,4080.0,1544.0,150.0,8351.0,68.0,121.0,189.0,371.0,97.0,1113.0,391.0,1679.0,183.0,640.0,426.0,160.0,38.0,299.0,637.0,64.0,1482.0,1309.0,13252.0,14768.0,4613.0,1983.0,23047.0,3364.0,2372.0,4768.0,27815.0,27815.0,28096.0,28096.0,478.0,93107.0,288.0,370.0,224.0,214.0,928.0,1426.0,101532.0,5560.0,108527.0,1299.0,801.0,1186.0,112111.0
2010-03-22,2551.0,5411.0,579.0,584.0,1154.0,3543.0,246.0,227.0,698.0,1553.0,761.0,2315.0,129.0,2863.0,4009.0,8563.0,9606.0,1005.0,12104.0,2975.0,2548.0,329.0,59384.0,1072.0,64090.0,62500.0,1188.0,569.0,64572.0,947.0,66057.0,108.0,1464.0,69525.0,69220.0,276.0,213.0,323.0,800.0,752.0,408.0,1353.0,186.0,424.0,275.0,813.0,2057.0,3139.0,431.0,479.0,1520.0,401.0,1589.0,447.0,1281.0,1463.0,2330.0,1076.0,93.0,2393.0,2246.0,1948.0,1994.0,238.0,4129.0,1534.0,192.0,8353.0,68.0,120.0,195.0,377.0,99.0,1136.0,429.0,1680.0,165.0,614.0,444.0,176.0,37.0,277.0,673.0,65.0,1479.0,1263.0,13029.0,14465.0,4628.0,2086.0,22789.0,3439.0,2725.0,4709.0,27498.0,27498.0,27775.0,27775.0,468.0,94736.0,292.0,436.0,212.0,237.0,976.0,1338.0,101470.0,5599.0,108168.0,1279.0,810.0,1210.0,111185.0
2010-03-23,2539.0,5841.0,587.0,580.0,1144.0,3576.0,244.0,240.0,670.0,1545.0,888.0,2433.0,185.0,3126.0,4059.0,8831.0,9906.0,1053.0,12906.0,3699.0,2886.0,394.0,60653.0,1332.0,64923.0,55000.0,1187.0,639.0,57010.0,1032.0,58814.0,123.0,1711.0,63623.0,63905.0,311.0,250.0,350.0,1068.0,866.0,542.0,1739.0,210.0,460.0,292.0,922.0,2273.0,3183.0,434.0,488.0,1538.0,405.0,1568.0,447.0,1270.0,1450.0,2327.0,1073.0,88.0,2297.0,2123.0,1802.0,1842.0,240.0,4074.0,1524.0,206.0,8338.0,68.0,118.0,197.0,372.0,98.0,1129.0,390.0,1646.0,148.0,595.0,399.0,158.0,37.0,257.0,599.0,64.0,1461.0,1203.0,12894.0,14321.0,4690.0,1938.0,22544.0,4238.0,3744.0,5312.0,27855.0,27855.0,28128.0,28128.0,435.0,99555.0,261.0,393.0,185.0,310.0,973.0,1349.0,107278.0,5630.0,112409.0,1283.0,787.0,1331.0,115910.0
2010-03-24,2538.0,6398.0,551.0,586.0,1121.0,3561.0,243.0,220.0,645.0,1515.0,858.0,2373.0,125.0,3106.0,4066.0,9019.0,10124.0,1034.0,12510.0,4050.0,3558.0,290.0,61520.0,1227.0,66082.0,55000.0,1279.0,656.0,56857.0,933.0,58328.0,108.0,1711.0,62327.0,62336.0,259.0,194.0,337.0,820.0,822.0,472.0,1985.0,195.0,501.0,287.0,968.0,2729.0,3409.0,433.0,470.0,1512.0,401.0,1562.0,444.0,1256.0,1434.0,2314.0,1070.0,80.0,2283.0,2084.0,1703.0,1718.0,236.0,3960.0,1514.0,197.0,8294.0,68.0,116.0,195.0,340.0,94.0,993.0,338.0,1594.0,130.0,565.0,328.0,132.0,37.0,232.0,466.0,62.0,1388.0,1095.0,12693.0,14133.0,4665.0,1700.0,22229.0,4879.0,3628.0,6137.0,28366.0,28366.0,28635.0,28635.0,397.0,95162.0,206.0,325.0,157.0,265.0,912.0,1318.0,103086.0,5666.0,105161.0,1267.0,694.0,1371.0,108944.0
