, KOOTENAI - LIBBY DAM, KOOTENAI - AT LEONIA, NF FLATHEAD - NEAR COLUMBIA FALLS, MF FLATHEAD - NEAR WEST GLACIER, SF FLATHEAD - HUNGRY HORSE DAM, FLATHEAD - AT COLUMBIA FALLS, CLARK FORK - AT DEER LODGE, CLARK FORK - NR DRUMMOND, ROCK CREEK - NEAR CLINTON, BLACKFOOT - NEAR BONNER, CLARK FORK - ABOVE MISSOULA, BITTERROOT - NEAR MISSOULA, CLARK FORK - BELOW MISSOULA, ST. REGIS - NEAR ST. REGIS, CLARK FORK - AT ST REGIS, FLATHEAD - KERR DAM, CLARK FORK - NOXON RAPIDS DAM, CLARK FORK - CABINET GORGE DAM, PRIEST - NEAR PRIEST RIVER, PEND OREILLE - ALBENI FALLS DAM, COEUR D ALENE - COEUR D ALENE LAKE, SPOKANE - AT SPOKANE, SPOKANE - AT LONGLAKE, ST MARIES - NEAR SANTA, COLUMBIA - AT INTL BOUNDARY, KETTLE - AT LAURIER, COLUMBIA - GRAND COULEE DAM, COLUMBIA - CHIEF JOSEPH DAM, OKANOGAN - NEAR TONASKET, METHOW - NEAR PATEROS, COLUMBIA - WELLS DAM, CHELAN - LAKE CHELAN DAM, COLUMBIA - ROCKY REACH DAM, ENTIAT - NEAR ARDENVOIR, WENATCHEE - AT PESHASTIN, COLUMBIA - WANAPUM DAM, COLUMBIA - PRIEST RAPIDS DAM, YAKIMA - KEECHELUS LAKE, KACHESS - KACHESS DAM, YAKIMA - AT EASTON, CLE ELUM - CLE ELUM LAKE, TEANAWAY - BELOW FORKS, YAKIMA - AT UMTANUM, BUMPING - BUMPING LAKE DAM, NACHES - NEAR CLIFFDEL, TIETON - RIMROCK LAKE NEAR RIMROCK, NACHES - NEAR NACHES, YAKIMA - NEAR PARKER, YAKIMA - AT KIONA, HENRYS FORK - ISLAND PARK DAM, FALL RIVER - NEAR CHESTER, HENRYS FORK - AT ST. ANTHONY, TETON - NEAR ST. ANTHONY, HENRYS FORK - AT REXBURG, SNAKE - JACKSON LAKE AT DAM, SNAKE - NEAR JACKSON, SNAKE - NEAR ALPINE, SF SNAKE - PALISADES DAM, SNAKE - NEAR HEISE, WILLOW CREEK - RIRIE DAM, SNAKE - AB EAGLE ROCK NR IDAHO FALLS, SNAKE - NEAR SHELLEY, SNAKE - AT BLACKFOOT, SNAKE - NEAR BLACKFOOT, PORTNEUF - AT POCATELLO, SNAKE - AMERICAN FALLS RESERVOIR, SNAKE - AT MILNER, BRUNEAU - NEAR HOT SPRINGS, SNAKE - BELOW SWAN FALLS, BIG LOST - AT HOWELL RANCH NEAR CHILLY, BIG LOST - MACKAY RESERVOIR NEAR MACKAY, BIG WOOD - AT HAILEY, BIG WOOD - MAGIC DAM, LITTLE WOOD - LITTLE WOOD DAM, OWYHEE - OWYHEE DAM, SF BOISE - ANDERSON RANCH DAM, BOISE - LUCKY PEAK DAM, BOISE - AT GLENWOOD BRIDGE, BOISE - NEAR PARMA, MALHEUR - WARM SPRINGS DAM, MALHEUR - AGENCY VALLEY DAM, BULLY CREEK - BULLY CREEK DAM, NF PAYETTE - CASCADE DAM, DEADWOOD - NEAR LOWMAN, PAYETTE - NEAR EMMETT, WEISER - NEAR WEISER, SNAKE - AT WEISER, SNAKE - BROWNLEE DAM, SALMON - AT WHITEBIRD, GRANDE RONDE - TROY, SNAKE - NEAR ANATONE, CLEARWATER - AT OROFINO, NF CLEARWATER - DWORSHAK DAM, CLEARWATER - AT SPALDING, SNAKE - LOWER GRANITE DAM, SNAKE - LITTLE GOOSE DAM, SNAKE - LOWER MONUMENTAL DAM, SNAKE - ICE HARBOR DAM, WALLA WALLA - NEAR TOUCHET, COLUMBIA - MCNARY DAM, UMATILLA - NEAR GIBBON, UMATILLA - AT PENDLETON, MCKAY CREEK - NEAR PILOT ROCK, UMATILLA - NEAR UMATILLA, NF JOHN DAY - AT MONUMENT, JOHN DAY - AT SERVICE CK, COLUMBIA - JOHN DAY DAM, DESCHUTES - AT MOODY NR BIGGS, COLUMBIA - THE DALLES DAM, KLICKITAT - NEAR PITT, HOOD - NEAR TUCKER BRIDGE, WHITE SALMON - NEAR UNDERWOOD, COLUMBIA - BONNEVILLE DAM
2020-01-14,3620.0,4995.0,587.0,627.0,1202.0,9011.0,261.0,632.0,204.0,622.0,1499.0,791.0,2301.0,133.0,3005.0,8511.0,13182.0,14480.0,1036.0,17058.0,3203.0,4225.0,4994.0,165.0,100309.0,714.0,105416.0,111874.0,1407.0,393.0,112824.0,1090.0,112288.0,76.0,1920.0,114108.0,113089.0,405.0,402.0,669.0,812.0,143.0,1584.0,159.0,476.0,276.0,690.0,2675.0,3144.0,505.0,454.0,1851.0,372.0,2183.0,473.0,1209.0,1596.0,2487.0,1744.0,52.0,3165.0,3117.0,2742.0,2747.0,199.0,4874.0,0.0,122.0,6661.0,109.0,196.0,179.0,37.0,54.0,500.0,295.0,219.0,279.0,845.0,79.0,67.0,16.0,437.0,75.0,999.0,213.0,9372.0,10124.0,3763.0,1090.0,16380.0,2825.0,1796.0,5041.0,21421.0,21421.0,21751.0,21751.0,551.0,118484.0,142.0,304.0,32.0,394.0,224.0,481.0,119917.0,4954.0,120984.0,995.0,1161.0,846.0,122409.0
2020-01-15,3602.0,4931.0,591.0,608.0,1182.0,9952.0,262.0,641.0,206.0,611.0,1503.0,771.0,2279.0,127.0,2971.0,10472.0,14004.0,15395.0,1000.0,17526.0,2931.0,4155.0,5025.0,156.0,103769.0,701.0,109748.0,114999.0,1346.0,400.0,116900.0,1041.0,117824.0,79.0,1819.0,120537.0,120505.0,364.0,356.0,617.0,682.0,137.0,1482.0,143.0,444.0,252.0,641.0,2476.0,2891.0,502.0,455.0,1902.0,359.0,2198.0,472.0,1172.0,1499.0,2386.0,1742.0,52.0,3152.0,3108.0,2761.0,2776.0,199.0,4856.0,0.0,122.0,6917.0,109.0,196.0,179.0,36.0,54.0,509.0,295.0,214.0,279.0,848.0,77.0,67.0,16.0,428.0,74.0,994.0,197.0,9465.0,10115.0,3833.0,1039.0,17407.0,2727.0,1492.0,4877.0,22284.0,22284.0,22585.0,22585.0,516.0,143538.0,104.0,260.0,29.0,358.0,220.0,476.0,146938.0,4987.0,147996.0,956.0,954.0,791.0,149202.0
2020-01-16,3579.0,4879.0,601.0,588.0,1163.0,9991.0,259.0,640.0,206.0,599.0,1502.0,752.0,2255.0,122.0,2942.0,10998.0,14522.0,15967.0,970.0,17803.0,2680.0,4084.0,5030.0,147.0,104126.0,683.0,110696.0,114999.0,1325.0,401.0,116830.0,992.0,117809.0,78.0,1720.0,119552.0,119576.0,328.0,321.0,582.0,572.0,133.0,1413.0,130.0,409.0,233.0,592.0,2327.0,2696.0,498.0,456.0,1911.0,357.0,2224.0,471.0,1144.0,1412.0,2285.0,1740.0,52.0,3172.0,3118.0,2757.0,2770.0,198.0,4861.0,0.0,122.0,6958.0,108.0,195.0,179.0,35.0,54.0,483.0,292.0,209.0,279.0,843.0,75.0,67.0,16.0,419.0,73.0,989.0,194.0,9697.0,10316.0,3824.0,1006.0,14295.0,2595.0,1377.0,4710.0,19004.0,19004.0,19281.0,19281.0,438.0,144091.0,75.0,222.0,28.0,310.0,216.0,467.0,150281.0,4971.0,152196.0,915.0,811.0,770.0,155048.0
2020-01-17,3578.0,4825.0,610.0,568.0,1142.0,10027.0,258.0,638.0,204.0,584.0,1486.0,737.0,2223.0,115.0,2902.0,11025.0,15024.0,16528.0,943.0,18217.0,2466.0,3913.0,5007.0,138.0,104095.0,669.0,110667.0,114999.0,1304.0,403.0,116800.0,944.0,118263.0,78.0,1623.0,119806.0,119780.0,297.0,291.0,552.0,510.0,130.0,1363.0,118.0,377.0,218.0,544.0,2218.0,2557.0,496.0,456.0,1913.0,356.0,2232.0,468.0,1139.0,1392.0,2224.0,1740.0,52.0,3190.0,3139.0,2776.0,2787.0,197.0,4864.0,0.0,122.0,6978.0,107.0,193.0,178.0,33.0,54.0,444.0,289.0,204.0,279.0,843.0,74.0,66.0,16.0,410.0,72.0,990.0,202.0,9827.0,10475.0,3817.0,974.0,14596.0,2488.0,1333.0,4577.0,19173.0,19173.0,19448.0,19448.0,528.0,142070.0,69.0,183.0,28.0,271.0,216.0,460.0,147635.0,4954.0,149422.0,876.0,707.0,754.0,151952.0
2020-01-18,3563.0,4772.0,618.0,552.0,1124.0,8891.0,258.0,632.0,203.0,566.0,1461.0,732.0,2193.0,109.0,2857.0,10767.0,15039.0,16552.0,920.0,18120.0,2281.0,3512.0,4607.0,136.0,104276.0,656.0,110900.0,113124.0,1281.0,405.0,115250.0,896.0,117388.0,77.0,1526.0,119333.0,119435.0,269.0,265.0,524.0,460.0,127.0,1323.0,108.0,347.0,206.0,498.0,2126.0,2463.0,494.0,453.0,1905.0,356.0,2232.0,467.0,1139.0,1391.0,2218.0,1738.0,52.0,3195.0,3144.0,2790.0,2806.0,196.0,4882.0,0.0,122.0,6999.0,107.0,192.0,177.0,32.0,54.0,435.0,287.0,200.0,279.0,848.0,74.0,65.0,16.0,404.0,71.0,989.0,210.0,9853.0,10495.0,3816.0,941.0,14941.0,2400.0,1296.0,4469.0,19409.0,19409.0,19684.0,19684.0,521.0,142534.0,66.0,165.0,28.0,232.0,216.0,457.0,147991.0,4942.0,149694.0,840.0,640.0,739.0,151965.0
2020-01-19,3538.0,4723.0,625.0,535.0,1107.0,8127.0,258.0,625.0,203.0,550.0,1438.0,727.0,2166.0,106.0,2815.0,9605.0,14623.0,16105.0,900.0,17693.0,2119.0,3310.0,4366.0,135.0,104096.0,646.0,110864.0,109999.0,1266.0,403.0,111737.0,848.0,113576.0,77.0,1454.0,115267.0,115380.0,246.0,242.0,497.0,416.0,122.0,1298.0,100.0,326.0,196.0,459.0,2049.0,2393.0,491.0,452.0,1899.0,356.0,2225.0,466.0,1136.0,1388.0,2213.0,1735.0,52.0,3191.0,3140.0,2793.0,2812.0,194.0,4887.0,0.0,122.0,7020.0,107.0,192.0,176.0,33.0,54.0,431.0,284.0,195.0,279.0,845.0,74.0,65.0,16.0,397.0,70.0,987.0,196.0,9865.0,10504.0,3816.0,908.0,15296.0,2308.0,1271.0,4365.0,19661.0,19661.0,19941.0,19941.0,502.0,140559.0,67.0,181.0,28.0,211.0,212.0,454.0,146623.0,4926.0,148430.0,934.0,994.0,877.0,150964.0
2020-01-20,3503.0,4681.0,631.0,513.0,1090.0,7341.0,257.0,624.0,203.0,538.0,1420.0,731.0,2151.0,104.0,2780.0,8806.0,13357.0,14719.0,882.0,16477.0,1988.0,3136.0,4173.0,133.0,103437.0,636.0,110407.0,111874.0,1255.0,397.0,113227.0,800.0,114649.0,77.0,1419.0,115677.0,115580.0,225.0,222.0,470.0,379.0,115.0,1283.0,93.0,316.0,188.0,435.0,2016.0,2346.0,489.0,452.0,1894.0,355.0,2218.0,466.0,1133.0,1386.0,2204.0,1734.0,52.0,3181.0,3128.0,2786.0,2809.0,192.0,4886.0,0.0,122.0,7040.0,106.0,190.0,176.0,34.0,54.0,429.0,283.0,189.0,279.0,845.0,74.0,63.0,16.0,391.0,69.0,985.0,195.0,9873.0,10508.0,3811.0,877.0,16275.0,2233.0,1254.0,4265.0,20540.0,20540.0,20826.0,20826.0,464.0,138259.0,91.0,194.0,32.0,219.0,208.0,449.0,143834.0,4914.0,145531.0,981.0,1139.0,975.0,148693.0
2020-01-21,3468.0,4640.0,639.0,497.0,1074.0,6823.0,254.0,624.0,203.0,529.0,1410.0,749.0,2159.0,103.0,2767.0,8160.0,12836.0,14140.0,866.0,15809.0,1908.0,3016.0,4029.0,132.0,102284.0,621.0,109346.0,114999.0,1237.0,393.0,116680.0,753.0,118399.0,76.0,1383.0,119567.0,119461.0,207.0,205.0,443.0,347.0,108.0,1241.0,86.0,308.0,181.0,414.0,1971.0,2329.0,486.0,452.0,1889.0,355.0,2212.0,465.0,1130.0,1382.0,2196.0,1732.0,52.0,3173.0,3118.0,2776.0,2801.0,191.0,4879.0,0.0,121.0,7059.0,105.0,189.0,176.0,59.0,53.0,429.0,283.0,185.0,279.0,841.0,74.0,63.0,16.0,385.0,68.0,983.0,199.0,9898.0,10529.0,3796.0,855.0,16800.0,2184.0,1254.0,4196.0,20996.0,20996.0,21307.0,21307.0,393.0,141029.0,98.0,200.0,43.0,232.0,210.0,442.0,145932.0,4901.0,147395.0,890.0,902.0,848.0,150029.0
2020-01-22,3464.0,4625.0,647.0,480.0,1060.0,6481.0,254.0,626.0,203.0,521.0,1403.0,768.0,2171.0,103.0,2769.0,7706.0,12827.0,14133.0,854.0,15649.0,1870.0,2946.0,3937.0,131.0,101567.0,607.0,108379.0,118749.0,1217.0,392.0,119693.0,707.0,120756.0,76.0,1350.0,121314.0,121117.0,191.0,189.0,419.0,319.0,103.0,1205.0,81.0,301.0,176.0,395.0,1921.0,2319.0,484.0,451.0,1871.0,355.0,2205.0,464.0,1126.0,1378.0,2189.0,1730.0,52.0,3165.0,3109.0,2768.0,2795.0,190.0,4870.0,0.0,115.0,7075.0,105.0,189.0,176.0,126.0,52.0,428.0,282.0,191.0,279.0,840.0,74.0,63.0,16.0,380.0,67.0,980.0,195.0,9911.0,10545.0,3790.0,843.0,16774.0,2141.0,1267.0,4145.0,20919.0,20919.0,21239.0,21239.0,362.0,143721.0,96.0,215.0,44.0,235.0,216.0,439.0,149115.0,4922.0,150660.0,870.0,744.0,810.0,153065.0
2020-01-23,3464.0,4623.0,652.0,464.0,1045.0,6104.0,254.0,625.0,203.0,510.0,1392.0,786.0,2178.0,102.0,2775.0,7311.0,12854.0,14167.0,846.0,15565.0,1848.0,2900.0,3878.0,129.0,101296.0,598.0,107963.0,124998.0,1182.0,390.0,126620.0,660.0,128281.0,76.0,1318.0,129160.0,128945.0,177.0,175.0,396.0,295.0,97.0,1166.0,77.0,295.0,171.0,376.0,1873.0,2313.0,481.0,451.0,1819.0,355.0,2183.0,463.0,1124.0,1373.0,2178.0,1728.0,52.0,3154.0,3098.0,2759.0,2788.0,188.0,5013.0,0.0,112.0,7091.0,105.0,189.0,176.0,125.0,52.0,414.0,279.0,198.0,279.0,838.0,74.0,63.0,16.0,375.0,67.0,975.0,196.0,9923.0,10553.0,3788.0,824.0,16751.0,2099.0,1252.0,4101.0,20852.0,20852.0,21150.0,21150.0,352.0,148108.0,96.0,218.0,46.0,245.0,222.0,443.0,152579.0,5049.0,154049.0,859.0,670.0,801.0,155949.0
