, KOOTENAI - LIBBY DAM, KOOTENAI - AT LEONIA, NF FLATHEAD - NEAR COLUMBIA FALLS, MF FLATHEAD - NEAR WEST GLACIER, SF FLATHEAD - HUNGRY HORSE DAM, FLATHEAD - AT COLUMBIA FALLS, CLARK FORK - AT DEER LODGE, CLARK FORK - NR DRUMMOND, ROCK CREEK - NEAR CLINTON, BLACKFOOT - NEAR BONNER, CLARK FORK - ABOVE MISSOULA, BITTERROOT - NEAR MISSOULA, CLARK FORK - BELOW MISSOULA, ST. REGIS - NEAR ST. REGIS, CLARK FORK - AT ST REGIS, FLATHEAD - KERR DAM, CLARK FORK - NOXON RAPIDS DAM, CLARK FORK - CABINET GORGE DAM, PRIEST - NEAR PRIEST RIVER, PEND OREILLE - ALBENI FALLS DAM, COEUR D ALENE - COEUR D ALENE LAKE, SPOKANE - AT SPOKANE, SPOKANE - AT LONGLAKE, ST MARIES - NEAR SANTA, COLUMBIA - AT INTL BOUNDARY, KETTLE - AT LAURIER, COLUMBIA - GRAND COULEE DAM, COLUMBIA - CHIEF JOSEPH DAM, OKANOGAN - NEAR TONASKET, METHOW - NEAR PATEROS, COLUMBIA - WELLS DAM, CHELAN - LAKE CHELAN DAM, COLUMBIA - ROCKY REACH DAM, ENTIAT - NEAR ARDENVOIR, WENATCHEE - AT PESHASTIN, COLUMBIA - WANAPUM DAM, COLUMBIA - PRIEST RAPIDS DAM, YAKIMA - KEECHELUS LAKE, KACHESS - KACHESS DAM, YAKIMA - AT EASTON, CLE ELUM - CLE ELUM LAKE, TEANAWAY - BELOW FORKS, YAKIMA - AT UMTANUM, BUMPING - BUMPING LAKE DAM, NACHES - NEAR CLIFFDEL, TIETON - RIMROCK LAKE NEAR RIMROCK, NACHES - NEAR NACHES, YAKIMA - NEAR PARKER, YAKIMA - AT KIONA, HENRYS FORK - ISLAND PARK DAM, FALLS - NEAR CHESTER, HENRY'S FORK - AT ST. ANTHONY, TETON - NEAR ST. ANTHONY, HENRYS FORK - AT REXBURG, SNAKE - JACKSON LAKE AT DAM, SNAKE - NEAR JACKSON, SNAKE - NEAR ALPINE, SF SNAKE - PALISADES DAM, SNAKE - NEAR HEISE, WILLOW CREEK - RIRIE DAM, SNAKE - AB EAGLE ROCK NR IDAHO FALLS, SNAKE - NEAR SHELLEY, SNAKE - AT BLACKFOOT, SNAKE - NEAR BLACKFOOT, PORTNEUF - AT POCATELLO, SNAKE - AMERICAN FALLS RESERVOIR, SNAKE - AT MILNER, BRUNEAU - NEAR HOT SPRINGS, SNAKE - BELOW SWAN FALLS, BIG LOST - NEAR POTLATCH, BIG LOST - MACKAY RESERVOIR NEAR MACKAY, BIG WOOD - AT HAILEY, BIG WOOD - MAGIC DAM, LITTLE WOOD - LITTLE WOOD DAM, OWYHEE - BELOW OWYHEE DAM, SF BOISE - ANDERSON RANCH DAM, BOISE - LUCKY PEAK DAM, BOISE - AT GLENWOOD BRIDGE, BOISE - NEAR PARMA, MALHEUR - WARM SPRINGS DAM, MALHEUR - AGENCY VALLEY DAM, BULLY CREEK - BULLY CREEK DAM, MALHEUR - NEAR VALE, NF PAYETTE - CASCADE DAM, DEADWOOD - NEAR LOWMAN, PAYETTE - NEAR EMMETT, WEISER - NEAR WEISER, SNAKE - AT WEISER, SNAKE - BROWNLEE DAM, SALMON - AT WHITEBIRD, GRANDE RONDE - TROY, SNAKE - NEAR ANATONE, CLEARWATER - AT OROFINO, CLEARWATER - DWORSHAK DAM, CLEARWATER - AT SPALDING, SNAKE - LOWER GRANITE DAM, SNAKE - LITTLE GOOSE DAM, SNAKE - LOWER MONUMENTAL DAM, SNAKE - ICE HARBOR DAM, WALLA WALLA - NEAR TOUCHET, COLUMBIA - MCNARY DAM, UMATILLA - NEAR GIBBON, UMATILLA - AT PENDLETON, MCKAY CREEK - NEAR PILOT ROCK, UMATILLA - NEAR UMATILLA, NF JOHN DAY - AT MONUMENT, JOHN DAY - AT SERVICE CK, COLUMBIA - JOHN DAY DAM, DESCHUTES - AT MOODY NR BIGGS, COLUMBIA - THE DALLES DAM, KLICKITAT - NEAR PITT, HOOD - NEAR TUCKER BRIDGE, WHITE SALMON - NEAR UNDERWOOD, COLUMBIA - BONNEVILLE DAM
2011-03-15,3278.0,19478.0,1155.0,795.0,1615.0,8288.0,262.0,910.0,245.0,762.0,1978.0,1138.0,3072.0,442.0,4055.0,11378.0,16312.0,18282.0,1868.0,22422.0,15352.0,8112.0,11618.0,1975.0,86950.0,612.0,99178.0,115000.0,1278.0,538.0,117112.0,1060.0,120132.0,155.0,1582.0,131185.0,131672.0,370.0,305.0,420.0,650.0,398.0,2188.0,228.0,638.0,602.0,1360.0,3650.0,4528.0,415.0,478.0,1642.0,498.0,1598.0,532.0,1435.0,1732.0,2770.0,2515.0,80.0,3405.0,3778.0,3450.0,3172.0,330.0,6150.0,4390.0,480.0,11835.0,70.0,140.0,170.0,292.0,58.0,5888.0,950.0,2150.0,415.0,1038.0,1485.0,438.0,665.0,312.0,1100.0,145.0,3248.0,8372.0,24875.0,26720.0,5352.0,4152.0,41450.0,9202.0,8152.0,34062.0,69782.0,69925.0,74318.0,74370.0,3148.0,208918.0,515.0,1650.0,618.0,2252.0,4470.0,5625.0,202702.0,8505.0,206975.0,3760.0,2105.0,2278.0,217740.0
2011-03-16,3410.0,20250.0,1155.0,908.0,1980.0,8465.0,278.0,1025.0,245.0,818.0,2128.0,1438.0,3545.0,488.0,4420.0,12422.0,16518.0,18495.0,2020.0,23250.0,19732.0,9452.0,13438.0,2808.0,87262.0,730.0,102062.0,115000.0,1395.0,530.0,116708.0,970.0,118895.0,168.0,1562.0,128455.0,128470.0,360.0,305.0,460.0,648.0,462.0,2252.0,318.0,780.0,818.0,1515.0,3615.0,4848.0,450.0,518.0,1860.0,560.0,1780.0,620.0,1470.0,1768.0,3038.0,2530.0,115.0,3468.0,3798.0,3460.0,3200.0,390.0,6395.0,4390.0,570.0,12045.0,70.0,140.0,178.0,310.0,82.0,8990.0,1262.0,3028.0,770.0,1720.0,1708.0,378.0,1068.0,628.0,2180.0,118.0,4142.0,12858.0,29635.0,30888.0,6152.0,4485.0,43928.0,11568.0,9550.0,35645.0,74340.0,74480.0,82108.0,82160.0,3272.0,215625.0,770.0,2450.0,762.0,2708.0,5628.0,6798.0,214185.0,9592.0,219935.0,5448.0,3042.0,2752.0,228330.0
2011-03-17,3598.0,20838.0,1242.0,1110.0,3112.0,10192.0,348.0,1560.0,335.0,875.0,2532.0,2730.0,5258.0,595.0,5840.0,14588.0,17668.0,19780.0,2092.0,24105.0,26225.0,11402.0,16378.0,2592.0,87470.0,892.0,105558.0,115000.0,1505.0,520.0,116825.0,1062.0,119012.0,182.0,1622.0,128318.0,128325.0,342.0,298.0,482.0,598.0,450.0,2428.0,298.0,972.0,662.0,1768.0,4035.0,5112.0,490.0,608.0,2260.0,620.0,2142.0,665.0,1502.0,1788.0,3278.0,2565.0,115.0,3730.0,4005.0,3548.0,3278.0,480.0,6585.0,4390.0,805.0,12200.0,70.0,132.0,190.0,358.0,85.0,11285.0,1432.0,4052.0,945.0,1918.0,2182.0,458.0,972.0,1275.0,1628.0,95.0,6190.0,9815.0,30820.0,33615.0,7795.0,6098.0,49738.0,17318.0,12400.0,41060.0,86055.0,86198.0,95762.0,95812.0,4162.0,227685.0,868.0,3208.0,1005.0,4265.0,7978.0,10165.0,228068.0,10490.0,234118.0,5990.0,3600.0,3178.0,244672.0
2011-03-18,3590.0,20812.0,1265.0,1095.0,2455.0,10910.0,330.0,1532.0,272.0,940.0,2960.0,2428.0,5388.0,535.0,6992.0,15980.0,19105.0,21400.0,1990.0,24135.0,25375.0,13860.0,17710.0,1415.0,87552.0,818.0,106898.0,115000.0,1562.0,518.0,116942.0,855.0,119108.0,150.0,1462.0,127965.0,127982.0,282.0,238.0,398.0,458.0,322.0,2212.0,250.0,868.0,520.0,1598.0,3800.0,5270.0,488.0,565.0,2152.0,602.0,2500.0,640.0,1475.0,1760.0,3060.0,2580.0,100.0,4155.0,4405.0,3840.0,3545.0,462.0,6715.0,4390.0,782.0,12260.0,70.0,130.0,175.0,338.0,80.0,11822.0,910.0,3460.0,1112.0,1838.0,1512.0,338.0,712.0,850.0,808.0,82.0,5358.0,7410.0,29630.0,33802.0,9080.0,4992.0,50008.0,18175.0,11120.0,41375.0,87135.0,87275.0,94378.0,94428.0,3395.0,233468.0,660.0,2175.0,832.0,3652.0,6948.0,9815.0,239090.0,9790.0,245132.0,4498.0,2845.0,2702.0,257040.0
2011-03-19,3615.0,20228.0,1190.0,1065.0,2215.0,10798.0,318.0,1238.0,208.0,955.0,2680.0,1712.0,4395.0,458.0,6220.0,15455.0,19432.0,21780.0,1885.0,24298.0,18065.0,15200.0,18385.0,995.0,87675.0,795.0,107598.0,115000.0,1562.0,510.0,117012.0,782.0,119160.0,132.0,1368.0,127602.0,127618.0,270.0,220.0,345.0,420.0,272.0,1968.0,235.0,888.0,518.0,1548.0,3310.0,5108.0,458.0,538.0,1925.0,572.0,2425.0,578.0,1445.0,1715.0,2910.0,2580.0,100.0,4430.0,4745.0,4235.0,3950.0,415.0,7008.0,4292.0,668.0,12100.0,70.0,130.0,170.0,315.0,80.0,9030.0,735.0,3198.0,1172.0,2042.0,1148.0,268.0,645.0,668.0,788.0,68.0,4090.0,5945.0,26382.0,30555.0,9470.0,4098.0,48608.0,15405.0,9218.0,36875.0,81728.0,81868.0,87058.0,87110.0,2615.0,226322.0,508.0,1510.0,658.0,2528.0,5615.0,7708.0,230175.0,9090.0,235940.0,3805.0,2395.0,2262.0,246260.0
2011-03-20,3625.0,19788.0,1128.0,1032.0,2200.0,10702.0,310.0,1102.0,205.0,940.0,2410.0,1585.0,3995.0,415.0,5392.0,15080.0,18830.0,21115.0,1795.0,23710.0,13462.0,15362.0,18242.0,892.0,87160.0,812.0,107015.0,111250.0,1505.0,502.0,113978.0,740.0,116835.0,125.0,1342.0,125745.0,125960.0,258.0,210.0,345.0,425.0,262.0,1838.0,240.0,1030.0,488.0,1698.0,3112.0,4755.0,455.0,558.0,1942.0,582.0,2245.0,572.0,1445.0,1700.0,2888.0,2590.0,102.0,4292.0,4655.0,4352.0,4152.0,392.0,7272.0,3670.0,818.0,12185.0,70.0,130.0,170.0,298.0,80.0,6915.0,788.0,3712.0,1165.0,2088.0,1125.0,270.0,538.0,1008.0,1610.0,65.0,4170.0,5168.0,24895.0,28112.0,9430.0,4115.0,47422.0,13375.0,8882.0,33288.0,77450.0,77590.0,81965.0,82020.0,2122.0,218768.0,452.0,1208.0,678.0,2235.0,5320.0,6832.0,220455.0,8908.0,225915.0,3910.0,2078.0,2082.0,234982.0
2011-03-21,3632.0,18475.0,1095.0,1012.0,2140.0,10645.0,315.0,1095.0,222.0,908.0,2310.0,1750.0,4058.0,390.0,5178.0,14842.0,18532.0,20782.0,1728.0,23372.0,11402.0,15065.0,17775.0,888.0,87100.0,815.0,106445.0,105000.0,1420.0,495.0,106970.0,700.0,109228.0,120.0,1340.0,117480.0,117715.0,240.0,198.0,350.0,415.0,268.0,1795.0,220.0,1008.0,440.0,1698.0,3028.0,4448.0,460.0,538.0,1952.0,588.0,2238.0,575.0,1438.0,1690.0,2862.0,2600.0,100.0,4170.0,4495.0,4198.0,4030.0,375.0,7258.0,1828.0,790.0,12055.0,70.0,122.0,170.0,282.0,80.0,5960.0,735.0,3532.0,1162.0,1912.0,908.0,235.0,375.0,802.0,1092.0,65.0,4615.0,4660.0,24948.0,27595.0,9468.0,4168.0,46812.0,13070.0,9045.0,31900.0,75940.0,76082.0,80022.0,80075.0,1822.0,209970.0,380.0,1062.0,590.0,1935.0,5068.0,6680.0,212228.0,8342.0,217198.0,3535.0,1620.0,1888.0,225712.0
2011-03-22,3640.0,16910.0,1070.0,995.0,2125.0,10605.0,320.0,1068.0,225.0,878.0,2282.0,1742.0,4025.0,382.0,5245.0,14700.0,18692.0,20968.0,1768.0,24252.0,10918.0,14545.0,17195.0,970.0,86988.0,908.0,105895.0,105000.0,1355.0,490.0,106900.0,660.0,109032.0,120.0,1348.0,116538.0,116550.0,230.0,195.0,358.0,440.0,248.0,1765.0,215.0,985.0,458.0,1650.0,2860.0,4248.0,455.0,520.0,1860.0,568.0,2240.0,555.0,1418.0,1665.0,2800.0,2600.0,92.0,4200.0,4502.0,4108.0,3932.0,360.0,7072.0,910.0,652.0,11188.0,70.0,120.0,165.0,260.0,80.0,4618.0,638.0,3098.0,1160.0,1858.0,732.0,205.0,342.0,605.0,708.0,60.0,3995.0,4110.0,24025.0,26700.0,9385.0,4060.0,45330.0,12918.0,9338.0,32000.0,75050.0,75190.0,79790.0,79845.0,1828.0,202875.0,575.0,1510.0,665.0,1905.0,4285.0,5555.0,202982.0,7975.0,207438.0,3318.0,1480.0,1795.0,214818.0
2011-03-23,3640.0,16852.0,1042.0,972.0,2005.0,10558.0,312.0,972.0,205.0,850.0,2180.0,1610.0,3788.0,382.0,5110.0,14505.0,18858.0,21160.0,1778.0,24458.0,12130.0,14010.0,16835.0,1148.0,86775.0,1050.0,105612.0,105000.0,1305.0,480.0,106830.0,625.0,108965.0,110.0,1362.0,116170.0,116185.0,220.0,190.0,360.0,425.0,225.0,1725.0,210.0,1020.0,410.0,1670.0,2675.0,4025.0,445.0,510.0,1800.0,548.0,2162.0,550.0,1398.0,1640.0,2732.0,2600.0,90.0,4178.0,4488.0,4110.0,3938.0,348.0,6992.0,910.0,600.0,9648.0,70.0,120.0,160.0,240.0,80.0,3768.0,610.0,2898.0,1155.0,1822.0,788.0,192.0,242.0,725.0,612.0,60.0,3400.0,4005.0,22282.0,24712.0,9162.0,4598.0,45058.0,12378.0,10438.0,32748.0,76015.0,76155.0,82182.0,82235.0,2610.0,204978.0,740.0,2430.0,868.0,3210.0,4565.0,5602.0,204415.0,7845.0,208338.0,3178.0,1388.0,1788.0,214595.0
2011-03-24,3625.0,16730.0,1020.0,945.0,1910.0,10500.0,310.0,900.0,192.0,822.0,2045.0,1468.0,3512.0,355.0,4808.0,14210.0,18735.0,21028.0,1728.0,23775.0,11618.0,13670.0,16430.0,900.0,86468.0,968.0,104818.0,105000.0,1265.0,472.0,106780.0,585.0,108910.0,110.0,1488.0,115890.0,115892.0,235.0,188.0,380.0,375.0,232.0,1705.0,200.0,1008.0,395.0,1620.0,2488.0,3815.0,440.0,490.0,1722.0,530.0,2068.0,540.0,1380.0,1615.0,2685.0,2590.0,90.0,4100.0,4398.0,4038.0,3892.0,335.0,6938.0,910.0,592.0,8578.0,70.0,120.0,160.0,245.0,72.0,3470.0,642.0,2960.0,1152.0,1832.0,695.0,180.0,405.0,705.0,610.0,60.0,3088.0,3970.0,20465.0,22800.0,8878.0,4130.0,42938.0,11270.0,9410.0,31070.0,72715.0,72855.0,78182.0,78232.0,2352.0,202978.0,595.0,1720.0,765.0,3048.0,4012.0,5418.0,205135.0,8115.0,209628.0,3132.0,1400.0,1715.0,216030.0
