, LIBBY DAM, KOOTENAI RIV AT LEONIA, NF FLATHEAD R NR COLUMBIA FALL, MF FLATHEAD NR WEST GLACIER, DAM AT HUNGRY HORSE, FLATHEAD R AT COLUMBIA FALLS, CLARK FORK AT DEER LODGE, CLARK FORK AT DRUMMOND, ROCK CREEK NR CLINTON, BLACKFOOT R NR BONNER, CLARK FORK AB MISSOULA, BITTERROOT R NR MISSOULA, CLARK FORK BELOW MISSOULA, ST. REGIS R. NR ST. REGIS, CLARK FORK AT ST REGIS    TB20, KERR DAM, NOXON RAPIDS DAM, CABINET GORGE DAM, PRIEST R NR PRIEST RIVER, ALBENI FALLS DAM, COEUR D'ALENE LAKE, SPOKANE RIV AT LONGLAKE, ST MARIES R NR SANTA, COLUMBIAR @INTERNATL BOUNDAR, KETTLE RIVER AT LAURIER, GRAND COULEE DAM, CHIEF JOSEPH DAM, OKANOGAN RIVER NEAR TONASKET, METHOW R NEAR PATEROS, WELLS DAM, LAKE CHELAN DAM, ROCKY REACH DAM, ENTIAT R NR ARDENVOIR, WENATCHEE R AT PESHASTIN  TB20, WANAPUM DAM, PRIEST RAPIDS DAM, KEECHELUS LAKE, KACHESS DAM NEAR EASTON, YAKIMA RIVER AT EASTON, CLE ELUM LAKE NEAR ROSLYN, YAKIMA RIVER AT CLE ELUM, TEANAWAY RIVER BLW FORKS, YAKIMA RIVER AT UMTANUM, BUMPING LK DM NR GOOSE PRAIRIE, NACHES RIVER NEAR CLIFFDEL, RIMROCK LAKE NEAR RIMROCK, NACHES RIVER NEAR NACHES, YAKIMA RIVER NEAR PARKER, YAKIMA RIVER AT KIONA, ISLAND PARK 1SWIS.PARKDM&RES, FALL RIVER NR CHESTER, HENRYS FORK AT ST. ANTHONY, TETON RIVER NEAR ST. ANTHONY, HENRYS FORK NEAR REXBURG, SNKE R ON JACKSN LK AT DM TB20, SNAKE RIVER NR JACKSON, SNAKE RIVER NR ALPINE, PALISADES DAM, SNAKE RIVER NR HEISE, RIRIE DAM AND LAKE ON WILLOW C, SNAKE AB EAGLE ROCK NR ID FALL, SNAKE RIVER NR SHELLEY, SNAKE RIVER AT BLACKFOOT, SNAKE RIVER NEAR BLACKFOOT, PORTNEUF RIVER AT POCATELLO, AMERICAN FALLS RESERVOIR  TB12, SNAKE RIV AT MILNER, BRUNEAU RIVER NR HOT SPRINGS, SNAKE RIVER BELOW SWAN FALLS, BIG LOST R@HOW'L RNCH NR CHILL, BIG LOST R AT MACKAY, BIG WOOD RIVER AT HAILEY, MAGIC DM&RES-BIG WOOD RICHFLD, LITL.WOODDM&RESNRCAREY, OWYHEE BELOW OWYHEE DAM, ANDERSON RANCH DAM        TB12, BOISE LUCKY PEAK DAM, BOISE RIVER AT GLENWOOD BRIDGE, BOISE RIVER NR PARMA, WARM SPRINGS DAM & RESERVOIR, AGENCY VLY DAM & BEULAH RSVR, BULLY CREEK DAM & RES     TB12, MALHEUR RIVER NR VALE, CASCADE DAM               TB12, DEADWOOD RESERVOIR NR LOWMAN, PAYETTE RIVER NEAR EMMETT, WEISER RIVER NR WEISER, SNAKE RIVER AT WEISER, BROWNLEE DAM, SALMON R AT WHITEBIRD, GRANDE RONDE RIVER AT TROY, SNAKE RIVER NR ANATONE, CLEARWATER R AT OROFINO, DWORSHAK DAM, CLEARWATER R AT SPALDING, LOWER GRANITE DAM, LITTLE GOOSE DAM, LOWER MONUMENTAL DAM, ICE HARBOR DAM, WALLA WALLA RIV NEAR TOUCHET, MCNARY DAM NEAR MCNARY, UMATILLA R NR GIBBON, UMATILLA R AT PENDLETON, MCKAY CR NR PILOTROCK, UMATILLA RIVER NEAR UMATILLA, NF JOHN DAY RIV AT MONUMENT, JOHN DAY RIVER AT SERVICE CK, JOHN DAY DAM, DESCHUTES R AT MOODY NR BIGGS, THE DALLES, KLICKITAT R NR PITT, HOOD R AT TUCKER BRIDGE   TB20, WHITE SALMON R NEAR UNDERWOOD, BONNEVILLE DAM
2005-01-18,1839.0,5243.0,832.0,1172.0,1757.0,4162.0,164.0,367.0,193.0,592.0,1180.0,752.0,1910.0,280.0,2713.0,4898.0,10318.0,11011.0,1114.0,15100.0,3253.0,4892.0,1771.0,86292.0,699.0,91792.0,121218.0,1803.0,402.0,123494.0,1772.0,125703.0,99.0,5135.0,129452.0,126766.0,4066.0,3437.0,1575.0,2277.0,1936.0,2750.0,2762.0,1741.0,1730.0,1473.0,2776.0,2872.0,1089.0,316.0,472.0,1737.0,363.0,1939.0,417.0,1104.0,1325.0,2085.0,1385.0,28.0,2341.0,2275.0,1697.0,1670.0,220.0,4671.0,699.0,112.0,7198.0,59.0,87.0,109.0,43.0,46.0,315.0,261.0,227.0,276.0,680.0,73.0,90.0,55.0,66.0,346.0,55.0,1243.0,661.0,9196.0,10824.0,3560.0,2327.0,18694.0,4377.0,10029.0,7557.0,26251.0,26251.0,26362.0,26362.0,579.0,125104.0,400.0,282.0,119.0,193.0,303.0,746.0,132133.0,4912.0,132148.0,2066.0,4389.0,1684.0,157496.0
2005-01-19,1960.0,6556.0,818.0,2176.0,2396.0,5081.0,180.0,379.0,193.0,741.0,1332.0,815.0,2147.0,294.0,2944.0,5550.0,11320.0,12202.0,1632.0,16578.0,10429.0,5183.0,2047.0,89420.0,755.0,94596.0,125000.0,1824.0,557.0,127229.0,2323.0,129366.0,131.0,8588.0,137268.0,137004.0,1760.0,1922.0,1395.0,3471.0,2514.0,2885.0,5702.0,1356.0,2103.0,946.0,3104.0,8699.0,3088.0,316.0,471.0,1721.0,365.0,1942.0,416.0,1106.0,1325.0,2073.0,1381.0,27.0,2500.0,2509.0,2088.0,1935.0,168.0,4595.0,697.0,112.0,7266.0,58.0,87.0,108.0,43.0,46.0,315.0,260.0,227.0,273.0,676.0,73.0,121.0,55.0,66.0,345.0,55.0,1095.0,1213.0,10287.0,11480.0,3547.0,3619.0,20496.0,8237.0,12123.0,10424.0,30921.0,30921.0,31286.0,31286.0,1510.0,163199.0,423.0,569.0,68.0,323.0,280.0,1266.0,164696.0,5719.0,161971.0,1553.0,3609.0,1331.0,166822.0
2005-01-20,2420.0,7358.0,815.0,2179.0,2530.0,5251.0,210.0,402.0,192.0,861.0,1466.0,859.0,2325.0,244.0,3126.0,6527.0,11073.0,12016.0,2199.0,17201.0,11586.0,5517.0,1223.0,92162.0,1238.0,98665.0,123750.0,1920.0,678.0,126510.0,1904.0,129129.0,183.0,8567.0,138081.0,138171.0,866.0,1002.0,998.0,2847.0,1864.0,2329.0,4801.0,1019.0,1760.0,797.0,2223.0,7808.0,7166.0,316.0,470.0,1705.0,365.0,1933.0,415.0,1106.0,1325.0,2071.0,1381.0,27.0,2539.0,2557.0,2255.0,2235.0,168.0,4852.0,695.0,112.0,7291.0,58.0,87.0,108.0,44.0,45.0,314.0,260.0,226.0,271.0,675.0,73.0,115.0,55.0,67.0,345.0,54.0,1038.0,883.0,10117.0,11819.0,3533.0,3041.0,20144.0,9743.0,10176.0,11867.0,32011.0,32011.0,33385.0,33385.0,1822.0,177716.0,477.0,622.0,130.0,620.0,274.0,1228.0,182620.0,5651.0,180744.0,1210.0,2312.0,895.0,185335.0
2005-01-21,2794.0,7242.0,936.0,1766.0,2237.0,4910.0,220.0,427.0,192.0,938.0,1569.0,881.0,2450.0,239.0,3265.0,6624.0,10959.0,12044.0,2415.0,17420.0,10690.0,6521.0,1264.0,92050.0,1481.0,100654.0,117500.0,2013.0,664.0,120697.0,1669.0,123755.0,189.0,6728.0,131612.0,131962.0,697.0,748.0,830.0,2160.0,1557.0,1829.0,3896.0,881.0,1727.0,769.0,2113.0,6443.0,7476.0,315.0,468.0,1686.0,363.0,1919.0,415.0,1105.0,1323.0,2068.0,1380.0,27.0,2529.0,2535.0,2272.0,2343.0,169.0,5028.0,693.0,115.0,7270.0,58.0,86.0,108.0,44.0,45.0,313.0,259.0,226.0,270.0,675.0,72.0,108.0,54.0,67.0,344.0,54.0,1003.0,768.0,9973.0,11836.0,3518.0,2646.0,19926.0,9822.0,10416.0,12403.0,32329.0,32329.0,34427.0,34427.0,1679.0,179783.0,451.0,889.0,123.0,733.0,356.0,1213.0,186775.0,5452.0,185164.0,1370.0,1832.0,921.0,189548.0
2005-01-22,2798.0,6825.0,995.0,1476.0,1997.0,4616.0,218.0,436.0,191.0,974.0,1624.0,872.0,2496.0,224.0,3342.0,6220.0,11136.0,12185.0,2393.0,17221.0,10506.0,7127.0,999.0,95552.0,1327.0,102715.0,106250.0,2089.0,597.0,109833.0,1474.0,113278.0,155.0,4913.0,119913.0,120464.0,619.0,618.0,760.0,1656.0,1362.0,1443.0,3189.0,833.0,1594.0,736.0,1917.0,5582.0,6525.0,315.0,467.0,1666.0,362.0,1901.0,414.0,1104.0,1321.0,2063.0,1379.0,27.0,2514.0,2505.0,2247.0,2346.0,170.0,5064.0,691.0,117.0,7260.0,58.0,86.0,107.0,44.0,45.0,312.0,258.0,226.0,268.0,675.0,72.0,98.0,54.0,68.0,343.0,54.0,991.0,612.0,9869.0,11886.0,3504.0,2277.0,17383.0,9827.0,9534.0,12059.0,29443.0,29443.0,31271.0,31271.0,1253.0,168941.0,395.0,656.0,119.0,921.0,429.0,1183.0,178003.0,5203.0,176608.0,1103.0,1425.0,839.0,181437.0
2005-01-23,2760.0,6509.0,918.0,1327.0,1828.0,4307.0,212.0,432.0,191.0,962.0,1616.0,827.0,2443.0,213.0,3317.0,5847.0,11241.0,12313.0,2555.0,17598.0,9894.0,7885.0,815.0,99623.0,1266.0,108649.0,103750.0,2313.0,575.0,104820.0,1476.0,105882.0,154.0,3785.0,108984.0,109010.0,637.0,616.0,760.0,1569.0,1356.0,1272.0,2942.0,816.0,1532.0,715.0,1813.0,5109.0,5776.0,315.0,466.0,1647.0,361.0,1882.0,414.0,1102.0,1319.0,2058.0,1378.0,27.0,2496.0,2471.0,2214.0,2319.0,171.0,5046.0,689.0,120.0,7263.0,58.0,86.0,107.0,45.0,45.0,322.0,257.0,225.0,266.0,674.0,75.0,92.0,54.0,68.0,343.0,53.0,985.0,495.0,9748.0,11784.0,3489.0,2045.0,16722.0,9237.0,8301.0,11568.0,28290.0,28290.0,31553.0,31553.0,1170.0,153658.0,391.0,780.0,101.0,767.0,539.0,1302.0,162701.0,5134.0,161311.0,1054.0,1319.0,904.0,165946.0
2005-01-24,2897.0,6316.0,890.0,1248.0,1718.0,4093.0,206.0,425.0,190.0,941.0,1590.0,801.0,2391.0,207.0,3236.0,5539.0,11220.0,12282.0,2689.0,17591.0,8994.0,8292.0,730.0,100598.0,1369.0,110559.0,128750.0,2613.0,570.0,131258.0,1426.0,132700.0,151.0,3195.0,133694.0,132758.0,542.0,513.0,657.0,1327.0,1233.0,1079.0,2698.0,697.0,1466.0,656.0,1744.0,4854.0,5255.0,315.0,464.0,1628.0,360.0,1863.0,413.0,1099.0,1315.0,2053.0,1377.0,27.0,2475.0,2435.0,2178.0,2285.0,173.0,5014.0,687.0,122.0,7272.0,58.0,86.0,107.0,45.0,45.0,386.0,257.0,225.0,264.0,674.0,87.0,90.0,54.0,69.0,342.0,53.0,980.0,476.0,9734.0,11690.0,3474.0,1857.0,18286.0,8554.0,7322.0,10791.0,29077.0,29077.0,31148.0,31148.0,912.0,154520.0,299.0,567.0,45.0,828.0,559.0,1346.0,158929.0,5018.0,156466.0,1029.0,1100.0,806.0,158997.0
2005-01-25,2941.0,6164.0,879.0,1199.0,1640.0,3960.0,201.0,418.0,189.0,907.0,1549.0,788.0,2337.0,200.0,3172.0,5331.0,11150.0,12206.0,2590.0,17327.0,8200.0,8451.0,639.0,99234.0,1391.0,109767.0,125000.0,2814.0,555.0,128227.0,1366.0,130713.0,143.0,2829.0,133913.0,134058.0,461.0,422.0,594.0,1140.0,1123.0,904.0,2390.0,621.0,1361.0,606.0,1608.0,4455.0,4929.0,315.0,463.0,1609.0,358.0,1844.0,413.0,1096.0,1312.0,2047.0,1376.0,27.0,2455.0,2398.0,2141.0,2249.0,174.0,4979.0,685.0,122.0,7272.0,57.0,86.0,106.0,45.0,45.0,472.0,256.0,225.0,262.0,674.0,93.0,82.0,54.0,69.0,341.0,52.0,976.0,447.0,9762.0,11651.0,3458.0,1687.0,18862.0,7924.0,6521.0,10100.0,28962.0,28962.0,30450.0,30450.0,739.0,171494.0,271.0,455.0,34.0,650.0,521.0,1228.0,177364.0,4907.0,174720.0,996.0,974.0,786.0,176566.0
2005-01-26,3003.0,6037.0,852.0,1156.0,1576.0,3864.0,196.0,412.0,189.0,868.0,1502.0,780.0,2282.0,194.0,3108.0,5170.0,11075.0,12092.0,2470.0,17061.0,7416.0,8647.0,637.0,98541.0,1331.0,109050.0,125000.0,2924.0,537.0,128336.0,1315.0,130662.0,138.0,2604.0,133274.0,133275.0,409.0,365.0,552.0,1011.0,1045.0,773.0,2153.0,555.0,1240.0,549.0,1453.0,4053.0,4567.0,314.0,462.0,1590.0,357.0,1825.0,412.0,1093.0,1308.0,2041.0,1376.0,27.0,2436.0,2362.0,2103.0,2212.0,176.0,4942.0,684.0,126.0,7255.0,57.0,86.0,106.0,46.0,45.0,506.0,255.0,224.0,260.0,674.0,90.0,79.0,54.0,70.0,340.0,52.0,972.0,441.0,9793.0,11587.0,3445.0,1570.0,18680.0,7407.0,6007.0,9581.0,28260.0,28260.0,29690.0,29690.0,732.0,169133.0,260.0,442.0,37.0,541.0,521.0,1195.0,176141.0,4849.0,173990.0,956.0,866.0,762.0,176967.0
2005-01-27,3076.0,5944.0,831.0,1118.0,1520.0,3779.0,192.0,407.0,188.0,830.0,1458.0,771.0,2229.0,187.0,3041.0,5020.0,10983.0,11950.0,2332.0,16698.0,6822.0,8663.0,590.0,97825.0,1268.0,108295.0,125000.0,2991.0,523.0,128442.0,1274.0,130769.0,134.0,2463.0,133241.0,133242.0,373.0,332.0,524.0,931.0,987.0,679.0,1974.0,500.0,1123.0,493.0,1311.0,3703.0,4187.0,314.0,460.0,1571.0,356.0,1806.0,411.0,1090.0,1304.0,2035.0,1375.0,27.0,2416.0,2327.0,2066.0,2175.0,177.0,4905.0,682.0,134.0,7262.0,57.0,85.0,106.0,46.0,44.0,567.0,254.0,224.0,259.0,675.0,87.0,79.0,54.0,71.0,340.0,51.0,968.0,407.0,9813.0,11529.0,3431.0,1493.0,18482.0,6989.0,5567.0,9116.0,27598.0,27598.0,29060.0,29060.0,771.0,167729.0,246.0,431.0,38.0,522.0,539.0,1207.0,174458.0,4846.0,172222.0,926.0,801.0,762.0,174880.0
