, KOOTENAI - LIBBY DAM, KOOTENAI - AT LEONIA, NF FLATHEAD - NEAR COLUMBIA FALLS, MF FLATHEAD - NEAR WEST GLACIER, SF FLATHEAD - HUNGRY HORSE DAM, FLATHEAD - AT COLUMBIA FALLS, CLARK FORK - AT DEER LODGE, CLARK FORK - NR DRUMMOND, ROCK CREEK - NEAR CLINTON, BLACKFOOT - NEAR BONNER, CLARK FORK - ABOVE MISSOULA, BITTERROOT - NEAR MISSOULA, CLARK FORK - BELOW MISSOULA, ST. REGIS - NEAR ST. REGIS, CLARK FORK - AT ST REGIS, FLATHEAD - KERR DAM, CLARK FORK - NOXON RAPIDS DAM, CLARK FORK - CABINET GORGE DAM, PRIEST - NEAR PRIEST RIVER, PEND OREILLE - ALBENI FALLS DAM, COEUR D ALENE - COEUR D ALENE LAKE, SPOKANE - AT SPOKANE, SPOKANE - AT LONGLAKE, ST MARIES - NEAR SANTA, COLUMBIA - AT INTL BOUNDARY, KETTLE - AT LAURIER, COLUMBIA - GRAND COULEE DAM, COLUMBIA - CHIEF JOSEPH DAM, OKANOGAN - NEAR TONASKET, METHOW - NEAR PATEROS, COLUMBIA - WELLS DAM, CHELAN - LAKE CHELAN DAM, COLUMBIA - ROCKY REACH DAM, ENTIAT - NEAR ARDENVOIR, WENATCHEE - AT PESHASTIN, COLUMBIA - WANAPUM DAM, COLUMBIA - PRIEST RAPIDS DAM, YAKIMA - KEECHELUS LAKE, KACHESS - KACHESS DAM, YAKIMA - AT EASTON, CLE ELUM - CLE ELUM LAKE, TEANAWAY - BELOW FORKS, YAKIMA - AT UMTANUM, BUMPING - BUMPING LAKE DAM, NACHES - NEAR CLIFFDEL, TIETON - RIMROCK LAKE NEAR RIMROCK, NACHES - NEAR NACHES, YAKIMA - NEAR PARKER, YAKIMA - AT KIONA, HENRYS FORK - ISLAND PARK DAM, FALLS - NEAR CHESTER, HENRYS FORK - AT ST. ANTHONY, TETON - NEAR ST. ANTHONY, HENRYS FORK - AT REXBURG, SNAKE - JACKSON LAKE AT DAM, SNAKE - NEAR JACKSON, SNAKE - NEAR ALPINE, SF SNAKE - PALISADES DAM, SNAKE - NEAR HEISE, WILLOW CREEK - RIRIE DAM, SNAKE - AB EAGLE ROCK NR IDAHO FALLS, SNAKE - NEAR SHELLEY, SNAKE - AT BLACKFOOT, SNAKE - NEAR BLACKFOOT, PORTNEUF - AT POCATELLO, SNAKE - AMERICAN FALLS RESERVOIR, SNAKE - AT MILNER, BRUNEAU - NEAR HOT SPRINGS, SNAKE - BELOW SWAN FALLS, BIG LOST - AT HOWELL RANCH NEAR CHILLY, BIG LOST - MACKAY RESERVOIR NEAR MACKAY, BIG WOOD - AT HAILEY, BIG WOOD - MAGIC DAM, LITTLE WOOD - LITTLE WOOD DAM, OWYHEE - BELOW OWYHEE DAM, SF BOISE - ANDERSON RANCH DAM, BOISE - LUCKY PEAK DAM, BOISE - AT GLENWOOD BRIDGE, BOISE - NEAR PARMA, MALHEUR - WARM SPRINGS DAM, MALHEUR - AGENCY VALLEY DAM, BULLY CREEK - BULLY CREEK DAM, MALHEUR - NEAR VALE, NF PAYETTE - CASCADE DAM, DEADWOOD - NEAR LOWMAN, PAYETTE - NEAR EMMETT, WEISER - NEAR WEISER, SNAKE - AT WEISER, SNAKE - BROWNLEE DAM, SALMON - AT WHITEBIRD, GRANDE RONDE - TROY, SNAKE - NEAR ANATONE, CLEARWATER - AT OROFINO, CLEARWATER - DWORSHAK DAM, CLEARWATER - AT SPALDING, SNAKE - LOWER GRANITE DAM, SNAKE - LITTLE GOOSE DAM, SNAKE - LOWER MONUMENTAL DAM, SNAKE - ICE HARBOR DAM, WALLA WALLA - NEAR TOUCHET, COLUMBIA - MCNARY DAM, UMATILLA - NEAR GIBBON, UMATILLA - AT PENDLETON, MCKAY CREEK - NEAR PILOT ROCK, UMATILLA - NEAR UMATILLA, NF JOHN DAY - AT MONUMENT, JOHN DAY - AT SERVICE CK, COLUMBIA - JOHN DAY DAM, DESCHUTES - AT MOODY NR BIGGS, COLUMBIA - THE DALLES DAM, KLICKITAT - NEAR PITT, HOOD - NEAR TUCKER BRIDGE, WHITE SALMON - NEAR UNDERWOOD, COLUMBIA - BONNEVILLE DAM
2011-07-05, 46120, 21630, 13620, 15050, 20770, 38640, 1580, 2920, 2820, 7610, 14080, 12630, 26560, 2210, 33410, 48960, 90210, 97660, 4280, 98260, 11560, 10680, 11520, 370, 178632, 8140, 262310, 196370, 9780, 7040, 213650, 7870, 220190, 1630, 9460, 239680, 238910, 540, 510, 670, 2310, 430, 4170, 900, 2940, 1520, 4610, 4830, 5490, 1130, 3000, 4550, 4930, 6880, 9190, 17220, 23810, 31960, 18470, 240, 18250, 16790, 15160, 14510, 340, 17080, 0, 1460, 6190, 1890, 2060, 2000, 1900, 570, 1440, 3120, 6560, 3160, 2670, 170, 210, 180, 180, 3780, 830, 10390, 1720, 22680, 26990, 54460, 7460, 94920, 35220, 17510, 46200, 141710, 136350, 135220, 145260, 220, 387470, 100, 160, 40, 240, 1940, 2770, 401090, 5510, 389850, 2300, 780, 1340, 385760
2011-07-06, 47858, 21602, 13598, 14515, 20600, 38262, 1642, 2928, 2805, 7495, 13962, 11742, 25580, 2208, 32300, 48605, 89320, 97022, 4278, 97560, 11262, 10988, 11820, 362, 180782, 7725, 267662, 216040, 9312, 6850, 234690, 7760, 238270, 1660, 9582, 251988, 251058, 532, 518, 670, 2375, 448, 4058, 885, 2915, 1658, 4540, 4608, 5438, 1132, 2870, 4388, 4958, 6882, 8885, 17572, 23652, 31340, 19228, 235, 18268, 16705, 14878, 14245, 325, 16772, 0, 1465, 6192, 1848, 2028, 2038, 1722, 570, 1415, 3052, 6438, 3662, 3138, 165, 285, 48, 180, 3572, 778, 10340, 1592, 21742, 25392, 54228, 7368, 94115, 32522, 17352, 45742, 141092, 129930, 131330, 138652, 210, 385345, 95, 155, 40, 220, 1888, 2705, 386990, 5470, 375418, 2255, 750, 1340, 380350
2011-07-07, 49972, 21378, 13740, 13918, 19790, 37728, 1632, 2862, 2758, 7290, 13655, 10138, 23702, 2100, 30020, 47638, 85025, 92820, 4238, 93432, 10828, 11088, 11975, 350, 177348, 7222, 267848, 218662, 8810, 6828, 237815, 8038, 244535, 1752, 10620, 258032, 258168, 545, 545, 660, 2612, 490, 4035, 980, 2985, 1838, 4588, 4322, 5265, 1120, 2700, 4158, 5088, 6675, 8560, 17942, 23298, 30932, 20908, 225, 19112, 17410, 15050, 14312, 305, 16500, 0, 1415, 6312, 1748, 1935, 2010, 1695, 568, 1382, 2942, 6260, 3048, 3070, 160, 280, 40, 172, 3210, 710, 10125, 1498, 21760, 24932, 52160, 7922, 92668, 31325, 16888, 45848, 139215, 129395, 129602, 135468, 188, 396762, 90, 150, 32, 208, 1828, 2608, 398028, 5335, 387782, 2230, 772, 1375, 391168
2011-07-08, 51692, 21082, 14478, 13570, 19150, 38055, 1555, 2735, 2715, 7048, 13208, 9458, 22602, 2022, 28385, 47162, 81978, 89960, 4025, 89950, 10388, 11180, 12058, 348, 174790, 6768, 264578, 218738, 8712, 7048, 237510, 8595, 244995, 1840, 11535, 256372, 256370, 525, 535, 650, 2600, 428, 4105, 865, 2970, 1750, 4572, 4345, 5082, 1120, 2560, 3965, 5105, 6462, 8250, 18005, 22502, 30085, 20905, 218, 20388, 18805, 16385, 15565, 288, 17230, 0, 1348, 6290, 1498, 1675, 1980, 1680, 548, 1382, 2892, 6080, 2812, 2608, 175, 280, 40, 162, 2992, 685, 9528, 1330, 21042, 24188, 50120, 8788, 89575, 31710, 16500, 45765, 136045, 126618, 126818, 131640, 185, 392600, 90, 140, 30, 215, 1730, 2512, 396728, 5302, 389000, 2105, 725, 1350, 393708
2011-07-09, 52788, 20830, 14888, 13080, 18238, 38232, 1522, 2685, 2688, 6860, 12878, 8990, 21832, 1930, 27272, 47335, 79018, 87128, 3785, 86880, 9895, 11275, 12155, 332, 172825, 6518, 260065, 215508, 8995, 7095, 234480, 8260, 243112, 1772, 11112, 254848, 255025, 470, 472, 645, 2202, 365, 4075, 790, 2690, 1540, 4228, 4130, 5032, 1120, 2482, 3850, 5130, 6315, 7885, 17460, 21138, 28475, 20870, 205, 20272, 18775, 16818, 16202, 278, 18312, 0, 1248, 6212, 1440, 1620, 1890, 1655, 510, 1352, 2715, 5860, 2675, 2570, 190, 275, 40, 150, 2485, 630, 8912, 1222, 20278, 23162, 49188, 8872, 87628, 32292, 16160, 47782, 134710, 125680, 125870, 129650, 178, 390100, 90, 135, 30, 215, 1665, 2482, 393700, 5292, 387858, 1880, 655, 1258, 391995
2011-07-10, 51245, 21008, 13775, 11330, 16142, 35635, 1370, 2508, 2515, 6610, 12335, 8105, 20438, 1838, 25972, 45858, 75410, 83258, 3540, 82548, 8958, 11370, 12242, 318, 170160, 6318, 258638, 216385, 9370, 6672, 233995, 6955, 242120, 1620, 10075, 251828, 251788, 432, 418, 665, 1832, 345, 4010, 715, 2422, 1362, 3850, 3638, 4852, 1085, 2295, 3630, 4958, 6208, 7330, 16585, 19628, 26498, 20820, 198, 20095, 18605, 16630, 16058, 270, 18330, 0, 1185, 6162, 1342, 1528, 1738, 1490, 460, 1270, 2418, 5628, 2490, 2365, 182, 268, 40, 125, 2090, 560, 8172, 1115, 19262, 22000, 46765, 8298, 84400, 30340, 14308, 46070, 130028, 121395, 121578, 124315, 165, 383632, 85, 130, 22, 192, 1595, 2385, 388585, 5282, 384915, 1760, 630, 1202, 389265
2011-07-11, 46968, 23402, 12488, 10088, 14675, 32902, 1250, 2278, 2318, 6295, 11538, 7072, 18610, 1750, 24022, 42380, 70958, 78420, 3365, 77618, 8002, 11048, 12098, 308, 166888, 5915, 250402, 233960, 9402, 6155, 250968, 6250, 257700, 1532, 9575, 265590, 264962, 420, 400, 685, 1785, 325, 4000, 675, 2235, 1358, 3580, 3288, 4490, 1060, 2075, 3350, 4775, 5938, 6772, 15652, 18300, 24575, 20775, 190, 19905, 18428, 16425, 15882, 270, 18105, 0, 1132, 6110, 1275, 1462, 1618, 1355, 442, 1210, 2215, 5398, 2305, 2182, 180, 260, 35, 90, 1820, 515, 7440, 1030, 18052, 20560, 43872, 7828, 79518, 27642, 12650, 42145, 122365, 114248, 114428, 116120, 148, 380392, 80, 122, 20, 170, 1525, 2268, 383192, 5275, 381318, 1718, 630, 1215, 385032
2011-07-12, 44408, 24760, 12125, 9448, 13962, 31685, 1190, 2142, 2152, 5970, 10802, 6242, 17045, 1670, 22092, 39898, 66605, 73672, 3258, 72765, 7175, 10085, 11205, 298, 163698, 5512, 241030, 239655, 9012, 5792, 255580, 6162, 260948, 1500, 9528, 269522, 269302, 420, 400, 708, 1815, 312, 4008, 650, 2082, 1355, 3362, 3050, 4162, 1045, 1930, 3178, 4635, 5562, 6412, 15590, 17892, 23382, 20735, 180, 19532, 18068, 16118, 15615, 262, 17828, 0, 1080, 6042, 1220, 1412, 1580, 1292, 445, 1175, 2095, 5172, 2122, 1978, 178, 255, 30, 65, 1622, 485, 6900, 948, 17002, 19232, 41880, 7568, 75365, 26045, 11605, 40302, 116408, 109052, 109225, 109875, 132, 384265, 80, 120, 20, 158, 1465, 2170, 387862, 5265, 387938, 1680, 630, 1208, 391382
2011-07-13, 43440, 24425, 12368, 9130, 13522, 31498, 1152, 2038, 2018, 5680, 10210, 5575, 15785, 1600, 20505, 38860, 63252, 70025, 3148, 68902, 6455, 9308, 10318, 290, 160958, 5195, 233970, 249105, 8602, 5622, 265302, 6265, 270892, 1492, 9448, 279818, 279545, 420, 400, 730, 1838, 305, 4035, 630, 1965, 1305, 3182, 2878, 3928, 1032, 1808, 3008, 4458, 5220, 6048, 15790, 18005, 23378, 20700, 172, 19122, 17658, 15672, 15198, 260, 17435, 0, 1022, 5948, 1170, 1368, 1520, 1228, 415, 1135, 1968, 4942, 1940, 1735, 170, 245, 30, 45, 1498, 455, 6472, 878, 16055, 18018, 40235, 7385, 72195, 25010, 10788, 39160, 112105, 105145, 105315, 105315, 120, 385998, 80, 110, 12, 145, 1400, 2090, 388328, 5258, 389598, 1648, 630, 1210, 393018
2011-07-14, 44018, 24118, 12838, 9060, 13625, 31828, 1208, 2020, 1978, 5462, 9840, 5230, 15070, 1532, 19290, 38738, 60822, 67388, 3042, 65955, 5788, 8388, 9652, 280, 158482, 5202, 228622, 249180, 8408, 5522, 264770, 6108, 270478, 1460, 8928, 279545, 279590, 410, 390, 752, 1752, 298, 4062, 605, 1838, 1205, 3012, 2740, 3768, 1018, 1730, 2898, 4332, 4888, 5688, 15615, 17700, 22988, 20668, 165, 18725, 17260, 15242, 14785, 260, 16990, 0, 975, 5845, 1125, 1328, 1440, 1152, 390, 1100, 1820, 4715, 1755, 1562, 170, 240, 30, 35, 1340, 430, 6000, 815, 15225, 16938, 38568, 7458, 69438, 25118, 10148, 39018, 109218, 102650, 102810, 102810, 108, 387922, 80, 110, 10, 135, 1342, 2010, 391385, 5250, 392755, 1605, 620, 1200, 396428
