, LIBBY DAM, KOOTENAI RIV AT LEONIA, NF FLATHEAD R NR COLUMBIA FALL, MF FLATHEAD NR WEST GLACIER, HUNGRY HORSE DAM, FLATHEAD R AT COLUMBIA FALLS, CLARK FORK AT DEER LODGE, CLARK FORK AT DRUMMOND, ROCK CREEK NR CLINTON, BLACKFOOT R NR BONNER, CLARK FORK AB MISSOULA, BITTERROOT R NR MISSOULA, CLARK FORK BELOW MISSOULA, ST. REGIS R. NR ST. REGIS, CLARK FORK AT ST REGIS, KERR DAM, NOXON RAPIDS DAM, CABINET GORGE DAM, PRIEST R NR PRIEST RIVER, ALBENI FALLS DAM, COEUR D'ALENE LAKE, SPOKANE RIV AT LONGLAKE, ST MARIES R NR SANTA, COLUMBIAR @INTERNATL BOUNDAR, KETTLE RIVER AT LAURIER, GRAND COULEE DAM, CHIEF JOSEPH DAM, OKANOGAN RIVER NR TONASKET, METHOW R NR PATEROS, WELLS DAM, LAKE CHELAN DAM, ROCKY REACH DAM, ENTIAT R NR ARDENVOIR, WENATCHEE R AT PESHASTIN, WANAPUM DAM, PRIEST RAPIDS DAM, KEECHELUS LAKE, KACHESS DAM, YAKIMA RIVER AT EASTON, CLE ELUM LAKE, YAKIMA RIVER AT CLE ELUM, TEANAWAY RIVER BLW FORKS, YAKIMA RIVER AT UMTANUM, BUMPING LAKE, NACHES RIVER NR CLIFFDEL, RIMROCK LAKE, NACHES RIVER NR NACHES, YAKIMA RIVER NR PARKER, YAKIMA RIVER AT KIONA, ISLAND PARK 1SWIS.PARKDM&RES, FALL RIVER NR CHESTER, HENRYS FORK AT ST. ANTHONY, TETON RIVER NEAR ST. ANTHONY, HENRYS FORK NEAR REXBURG, SNAKE R ON JACKSON LAKE AT DAM, SNAKE RIVER NR JACKSON, SNAKE RIVER NR ALPINE, PALISADES DAM, SNAKE RIVER NR HEISE, RIRIE DAM, SNAKE AB EAGLE ROCK NR ID FALL, SNAKE RIVER NR SHELLEY, SNAKE RIVER AT BLACKFOOT, SNAKE RIVER NEAR BLACKFOOT, PORTNEUF RIVER AT POCATELLO, AMERICAN FALLS RESERVOIR, SNAKE RIV AT MILNER, BRUNEAU RIVER NR HOT SPRINGS, SNAKE RIVER BELOW SWAN FALLS, BIG LOST R@HOW'L RNCH NR CHILL, BIG LOST R AT MACKAY, BIG WOOD RIVER AT HAILEY, MAGIC DM&RES-BIG WOOD RICHFLD, LITL.WOODDM&RESNRCAREY, OWYHEE DAM, BOISE RIVER AT GLENWOOD BRIDGE, BOISE RIVER NR PARMA, WARM SPRINGS RESERVOIR, AGENCY VLY DAM & BEULAH RSVR, BULLY CREEK DAM & RESERVOIR, MALHEUR RIVER NR VALE, CASCADE DAM, DEADWOOD DAM, PAYETTE RIVER NEAR EMMETT, WEISER RIVER NEAR WEISER, SNAKE RIVER AT WEISER, BROWNLEE DAM, SALMON R AT WHITEBIRD, GRANDE RONDE RIVER AT TROY, SNAKE RIVER NR ANATONE, CLEARWATER R AT OROFINO, DWORSHAK DAM, CLEARWATER R AT SPALDING, LOWER GRANITE DAM, LITTLE GOOSE DAM, LOWER MONUMENTAL DAM, ICE HARBOR DAM, WALLA WALLA RIV NR TOUCHET, MCNARY DAM, UMATILLA R NR GIBBON, UMATILLA R AT PENDLETON, MCKAY CR NR PILOTROCK, UMATILLA RIVER NEAR UMATILLA, NF JOHN DAY RIV AT MONUMENT, JOHN DAY RIVER AT SERVICE CK, JOHN DAY DAM, DESCHUTES R AT MOODY NR BIGGS, THE DALLES, KLICKITAT R NR PITT, HOOD R AT TUCKER BRIDGE, WHITE SALMON R NR UNDERWOOD, BONNEVILLE DAM
2003-06-16,33891.0,28346.0,7321.0,7571.0,8242.0,18156.0,421.0,809.0,1130.0,3042.0,5571.0,7961.0,14054.0,565.0,17483.0,21923.0,38887.0,40483.0,2332.0,41779.0,3651.0,5003.0,176.0,145154.0,7540.0,157546.0,153643.0,4983.0,4155.0,160303.0,4177.0,155421.0,1054.0,6173.0,158788.0,157415.0,239.0,252.0,220.0,1658.0,1953.0,192.0,2496.0,422.0,1417.0,678.0,1858.0,1247.0,2654.0,514.0,1568.0,1234.0,1331.0,1824.0,3946.0,6559.0,7940.0,10830.0,13787.0,28.0,8389.0,6810.0,3784.0,2871.0,20.0,5627.0,230.0,339.0,4855.0,834.0,831.0,1533.0,962.0,254.0,230.0,1262.0,861.0,19.0,117.0,0.0,17.0,2938.0,728.0,6278.0,1165.0,12684.0,14554.0,33857.0,4006.0,56685.0,21262.0,8817.0,27157.0,83842.0,83842.0,83987.0,83987.0,90.0,222686.0,73.0,99.0,1.0,193.0,800.0,1130.0,231653.0,4518.0,220552.0,1554.0,517.0,907.0,227658.0
2003-06-17,33020.0,28042.0,6796.0,7222.0,7207.0,17164.0,384.0,812.0,1068.0,2906.0,5282.0,7418.0,13180.0,545.0,16709.0,20808.0,38913.0,40500.0,2285.0,42597.0,3462.0,4940.0,170.0,148664.0,6744.0,160009.0,138750.0,4666.0,3986.0,148730.0,4295.0,150350.0,1022.0,5957.0,159908.0,160485.0,245.0,275.0,234.0,1857.0,2059.0,186.0,2481.0,395.0,1309.0,803.0,1911.0,1077.0,2404.0,513.0,1574.0,1320.0,1174.0,1839.0,3786.0,6627.0,8098.0,10738.0,13793.0,28.0,8410.0,6766.0,3824.0,3059.0,21.0,5816.0,230.0,313.0,4783.0,796.0,793.0,1472.0,905.0,242.0,226.0,1259.0,828.0,9.0,113.0,0.0,3.0,2759.0,682.0,5684.0,1076.0,12171.0,14040.0,33529.0,3772.0,56445.0,20859.0,8590.0,27654.0,84099.0,84099.0,84232.0,84232.0,77.0,241535.0,71.0,89.0,1.0,190.0,762.0,1081.0,245084.0,4470.0,234941.0,1529.0,544.0,918.0,236383.0
2003-06-18,31861.0,26457.0,6454.0,6873.0,6482.0,16361.0,350.0,759.0,1019.0,2733.0,4977.0,6874.0,12288.0,525.0,15637.0,19759.0,37976.0,39538.0,2256.0,42154.0,3376.0,4931.0,165.0,147976.0,6134.0,159552.0,135000.0,4333.0,3788.0,143793.0,4481.0,146631.0,1041.0,5948.0,154551.0,154637.0,239.0,290.0,249.0,1995.0,2109.0,209.0,2597.0,358.0,1244.0,807.0,1951.0,1281.0,2236.0,494.0,1355.0,1112.0,1015.0,1759.0,3553.0,6371.0,7934.0,10505.0,13770.0,27.0,8310.0,6677.0,3777.0,3077.0,20.0,5845.0,230.0,290.0,4762.0,748.0,745.0,1410.0,861.0,239.0,226.0,1261.0,835.0,8.0,110.0,0.0,2.0,2649.0,641.0,5565.0,989.0,11434.0,13288.0,32146.0,3555.0,54478.0,20363.0,8390.0,27104.0,81582.0,81582.0,81703.0,81703.0,78.0,234673.0,69.0,88.0,1.0,186.0,726.0,1048.0,241937.0,4479.0,233064.0,1517.0,523.0,939.0,236848.0
2003-06-19,30308.0,23313.0,6328.0,6608.0,6237.0,15860.0,333.0,720.0,1021.0,2583.0,4715.0,6616.0,11726.0,506.0,14725.0,19038.0,35338.0,36881.0,2246.0,40071.0,3352.0,4878.0,161.0,146474.0,5589.0,157513.0,135000.0,4152.0,3656.0,143255.0,4356.0,146476.0,960.0,5863.0,154132.0,154156.0,212.0,266.0,264.0,1837.0,2152.0,197.0,2693.0,320.0,1139.0,660.0,1639.0,1238.0,2290.0,487.0,1248.0,938.0,893.0,1491.0,3349.0,6037.0,7596.0,10072.0,13751.0,26.0,8164.0,6525.0,3676.0,3011.0,20.0,5770.0,230.0,276.0,4833.0,748.0,745.0,1402.0,875.0,238.0,255.0,1262.0,876.0,8.0,107.0,0.0,12.0,2650.0,641.0,5669.0,1021.0,11501.0,13152.0,31960.0,3361.0,52457.0,19955.0,8256.0,26651.0,79108.0,79108.0,79217.0,79217.0,80.0,229714.0,67.0,88.0,0.0,182.0,680.0,1008.0,235706.0,4493.0,226829.0,1441.0,478.0,940.0,230073.0
2003-06-20,27619.0,22876.0,5946.0,6330.0,5718.0,15208.0,343.0,710.0,992.0,2475.0,4508.0,6412.0,11272.0,486.0,14123.0,18397.0,32401.0,33912.0,2254.0,37461.0,3284.0,4833.0,155.0,144540.0,5096.0,155142.0,126250.0,4078.0,3536.0,136061.0,4077.0,140920.0,835.0,5522.0,150041.0,150522.0,195.0,238.0,272.0,1596.0,2193.0,172.0,2743.0,290.0,1034.0,587.0,1375.0,983.0,2288.0,526.0,1319.0,1040.0,834.0,1272.0,3237.0,5794.0,7310.0,9675.0,13747.0,26.0,8341.0,6742.0,3889.0,3046.0,19.0,5764.0,230.0,263.0,4907.0,717.0,715.0,1348.0,895.0,224.0,242.0,1263.0,964.0,9.0,104.0,0.0,27.0,2414.0,601.0,5530.0,994.0,11599.0,13390.0,33050.0,3187.0,53423.0,19320.0,7687.0,25607.0,79030.0,79030.0,79128.0,79128.0,80.0,228719.0,66.0,88.0,0.0,179.0,631.0,957.0,234170.0,4512.0,225422.0,1374.0,463.0,923.0,228310.0
2003-06-21,25209.0,22722.0,5438.0,5865.0,5111.0,14190.0,391.0,732.0,971.0,2450.0,4418.0,5952.0,10680.0,468.0,13504.0,17478.0,29697.0,31171.0,2223.0,35059.0,3061.0,4656.0,151.0,141337.0,4681.0,151608.0,97500.0,4011.0,3476.0,106455.0,3820.0,111063.0,722.0,5056.0,120801.0,121973.0,183.0,220.0,277.0,1426.0,2228.0,155.0,2750.0,266.0,929.0,525.0,1178.0,749.0,2130.0,557.0,1400.0,1147.0,810.0,1218.0,3102.0,5685.0,7129.0,9399.0,13743.0,25.0,8552.0,7037.0,4337.0,3406.0,19.0,6014.0,230.0,248.0,4962.0,666.0,665.0,1274.0,853.0,212.0,215.0,1264.0,1007.0,8.0,101.0,0.0,46.0,2144.0,559.0,5152.0,900.0,11474.0,13329.0,32060.0,3031.0,53096.0,18238.0,6894.0,23338.0,76434.0,76434.0,76522.0,76522.0,77.0,214144.0,65.0,83.0,0.0,175.0,596.0,905.0,223628.0,4519.0,215857.0,1336.0,450.0,905.0,220191.0
2003-06-22,23971.0,22606.0,5153.0,5340.0,4681.0,13277.0,390.0,749.0,903.0,2397.0,4312.0,5498.0,10077.0,450.0,12830.0,16266.0,28700.0,30116.0,2074.0,33567.0,2890.0,4434.0,146.0,139850.0,4338.0,149194.0,101250.0,3981.0,3355.0,106667.0,3585.0,107582.0,632.0,4614.0,112074.0,111826.0,168.0,206.0,281.0,1321.0,2261.0,141.0,2746.0,245.0,835.0,481.0,1364.0,695.0,1930.0,560.0,1345.0,1163.0,804.0,1230.0,2903.0,5594.0,7048.0,9254.0,13728.0,25.0,8543.0,7068.0,4561.0,3782.0,19.0,6395.0,230.0,233.0,4960.0,621.0,620.0,1212.0,805.0,201.0,201.0,1265.0,1009.0,8.0,98.0,0.0,42.0,1905.0,526.0,4662.0,818.0,11077.0,12903.0,29718.0,2891.0,50924.0,16907.0,6150.0,22013.0,72937.0,72937.0,73014.0,73014.0,70.0,187050.0,63.0,77.0,0.0,172.0,566.0,858.0,195231.0,4531.0,187794.0,1303.0,444.0,891.0,192407.0
2003-06-23,21788.0,22485.0,4865.0,4848.0,4451.0,12431.0,359.0,716.0,845.0,2286.0,4124.0,4998.0,9346.0,433.0,12088.0,15135.0,29965.0,31365.0,1932.0,34636.0,2787.0,4283.0,143.0,139251.0,4038.0,147607.0,135000.0,4026.0,3177.0,141636.0,3373.0,142958.0,559.0,4210.0,145421.0,144152.0,158.0,196.0,286.0,1261.0,2296.0,131.0,2748.0,227.0,758.0,454.0,1303.0,743.0,1832.0,542.0,1076.0,895.0,791.0,1168.0,2575.0,5304.0,6759.0,8976.0,13705.0,24.0,8287.0,6801.0,4380.0,3829.0,20.0,6522.0,230.0,219.0,4901.0,585.0,584.0,1160.0,757.0,192.0,192.0,1266.0,974.0,8.0,94.0,0.0,22.0,1704.0,499.0,4150.0,750.0,10524.0,12266.0,26402.0,2764.0,46938.0,15558.0,5537.0,20633.0,67572.0,67572.0,67638.0,67638.0,65.0,190858.0,62.0,72.0,0.0,167.0,540.0,816.0,192287.0,4550.0,183691.0,1278.0,451.0,881.0,185346.0
2003-06-24,20741.0,22396.0,4656.0,4454.0,4208.0,11719.0,324.0,666.0,803.0,2151.0,3892.0,4573.0,8647.0,417.0,11297.0,14147.0,28498.0,29873.0,1801.0,33138.0,2681.0,4178.0,138.0,138418.0,3817.0,147118.0,135772.0,4066.0,3046.0,142935.0,3238.0,145507.0,509.0,3881.0,150593.0,150573.0,146.0,185.0,291.0,1211.0,2331.0,123.0,2758.0,209.0,687.0,438.0,1213.0,632.0,1815.0,535.0,890.0,688.0,775.0,976.0,2231.0,4939.0,6361.0,8541.0,13688.0,23.0,8141.0,6634.0,4156.0,3613.0,20.0,6348.0,230.0,206.0,4908.0,555.0,555.0,1113.0,724.0,184.0,188.0,1268.0,973.0,8.0,91.0,0.0,16.0,1532.0,476.0,3764.0,693.0,9920.0,11547.0,23986.0,2650.0,43022.0,14310.0,5113.0,19340.0,62362.0,62362.0,62421.0,62421.0,61.0,211188.0,61.0,69.0,0.0,163.0,515.0,778.0,214576.0,4557.0,206214.0,1252.0,450.0,874.0,207601.0
2003-06-25,19599.0,22295.0,4485.0,4165.0,3894.0,11185.0,288.0,612.0,766.0,2016.0,3656.0,4204.0,8000.0,401.0,10549.0,13301.0,26740.0,28081.0,1682.0,31076.0,2548.0,4025.0,133.0,133910.0,3566.0,142836.0,135290.0,4059.0,2915.0,142803.0,3108.0,145756.0,468.0,3648.0,150941.0,151008.0,136.0,177.0,296.0,1181.0,2368.0,115.0,2765.0,195.0,629.0,426.0,1137.0,512.0,1752.0,521.0,763.0,537.0,766.0,719.0,1993.0,4562.0,5939.0,8058.0,13668.0,22.0,7733.0,6263.0,3932.0,3437.0,21.0,6107.0,230.0,195.0,4874.0,531.0,530.0,1069.0,685.0,177.0,185.0,1269.0,939.0,8.0,87.0,0.0,1.0,1386.0,454.0,3500.0,644.0,9462.0,10960.0,22350.0,2546.0,40087.0,13169.0,4663.0,18156.0,58243.0,58243.0,58294.0,58294.0,55.0,209517.0,60.0,62.0,0.0,161.0,492.0,739.0,214459.0,4568.0,206937.0,1232.0,451.0,872.0,209718.0
