, LIBBY DAM, KOOTENAI RIV AT LEONIA, NF FLATHEAD R NR COLUMBIA FALL, MF FLATHEAD NR WEST GLACIER, DAM AT HUNGRY HORSE, FLATHEAD R AT COLUMBIA FALLS, CLARK FORK AT DEER LODGE, CLARK FORK AT DRUMMOND, ROCK CREEK NR CLINTON, BLACKFOOT R NR BONNER, CLARK FORK AB MISSOULA, BITTERROOT R NR MISSOULA, CLARK FORK BELOW MISSOULA, ST. REGIS R. NR ST. REGIS, CLARK FORK AT ST REGIS    TB20, KERR DAM, NOXON RAPIDS DAM, CABINET GORGE DAM, PRIEST R NR PRIEST RIVER, ALBENI FALLS DAM, COEUR D'ALENE LAKE, SPOKANE RIV AT LONGLAKE, ST MARIES R NR SANTA, COLUMBIAR @INTERNATL BOUNDAR, KETTLE RIVER AT LAURIER, GRAND COULEE DAM, CHIEF JOSEPH DAM, OKANOGAN RIVER NEAR TONASKET, METHOW R NEAR PATEROS, WELLS DAM, LAKE CHELAN DAM, ROCKY REACH DAM, ENTIAT R NR ARDENVOIR, WENATCHEE R AT PESHASTIN  TB20, WANAPUM DAM, PRIEST RAPIDS DAM, KEECHELUS LAKE, KACHESS DAM NEAR EASTON, YAKIMA RIVER AT EASTON, CLE ELUM LAKE NEAR ROSLYN, YAKIMA RIVER AT CLE ELUM, TEANAWAY RIVER BLW FORKS, YAKIMA RIVER AT UMTANUM, BUMPING LK DM NR GOOSE PRAIRIE, NACHES RIVER NEAR CLIFFDEL, RIMROCK LAKE NEAR RIMROCK, NACHES RIVER NEAR NACHES, YAKIMA RIVER NEAR PARKER, YAKIMA RIVER AT KIONA, ISLAND PARK 1SWIS.PARKDM&RES, FALLS RIVER NR CHESTER, HENRYS FORK AT ST. ANTHONY, TETON RIVER NEAR ST. ANTHONY, HENRYS FORK NEAR REXBURG, SNKE R ON JACKSN LK AT DM TB20, SNAKE RIVER NR JACKSON, SNAKE RIVER NR ALPINE, PALISADES DAM, SNAKE RIVER NR HEISE, RIRIE DAM AND LAKE ON WILLOW C, SNAKE AB EAGLE ROCK NR ID FALL, SNAKE RIVER NR SHELLEY, SNAKE RIVER AT BLACKFOOT, SNAKE RIVER NEAR BLACKFOOT, PORTNEUF RIVER AT POCATELLO, AMERICAN FALLS RESERVOIR  TB12, SNAKE RIV AT MILNER, BRUNEAU RIVER NR HOT SPRINGS, SNAKE RIVER BELOW SWAN FALLS, BIG LOST R@HOW'L RNCH NR CHILL, BIG LOST R AT MACKAY, BIG WOOD RIVER AT HAILEY, MAGIC DAM OUTFLOW, LITL.WOODDM&RESNRCAREY, OWYHEE BELOW OWYHEE DAM, ANDERSON RANCH DAM, BOISE LUCKY PEAK DAM, BOISE RIVER AT GLENWOOD BRIDGE, BOISE RIVER NR PARMA, WARM SPRINGS DAM & RESERVOIR, AGENCY VLY DAM & BEULAH RSVR, BULLY CREEK DAM & RES     TB12, MALHEUR RIVER NR VALE, CASCADE DAM               TB12, DEADWOOD RESERVOIR NR LOWMAN, PAYETTE RIVER NEAR EMMETT, WEISER RIVER NR WEISER, SNAKE RIVER AT WEISER, BROWNLEE DAM, SALMON R AT WHITEBIRD, GRANDE RONDE RIVER AT TROY, SNAKE RIVER NR ANATONE, CLEARWATER R AT OROFINO, DWORSHAK DAM, CLEARWATER R AT SPALDING, LOWER GRANITE DAM, LITTLE GOOSE DAM, LOWER MONUMENTAL DAM, ICE HARBOR DAM, WALLA WALLA RIV NEAR TOUCHET, MCNARY DAM NEAR MCNARY, UMATILLA R NR GIBBON, UMATILLA R AT PENDLETON, MCKAY CR NR PILOTROCK, UMATILLA RIVER NEAR UMATILLA, NF JOHN DAY RIV AT MONUMENT, JOHN DAY RIVER AT SERVICE CK, JOHN DAY DAM, DESCHUTES R AT MOODY NR BIGGS, THE DALLES, KLICKITAT R NR PITT, HOOD R NR TUCKER BRIDGE   TB20, WHITE SALMON R NEAR UNDERWOOD, BONNEVILLE DAM
2008-07-28,11651.0,11078.0,2064.0,2311.0,2414.0,12642.0,149.0,401.0,556.0,1044.0,2113.0,1345.0,3605.0,198.0,5086.0,13650.0,20238.0,21441.0,529.0,21659.0,1776.0,3358.0,109.0,90727.0,682.0,97287.0,101962.0,1273.0,828.0,100929.0,1935.0,98743.0,250.0,1993.0,95921.0,95287.0,134.0,117.0,362.0,432.0,3675.0,37.0,4114.0,170.0,586.0,347.0,640.0,557.0,1760.0,650.0,335.0,1279.0,1031.0,1337.0,1326.0,5807.0,6983.0,8634.0,13587.0,12.0,7933.0,7418.0,4574.0,4052.0,38.0,5773.0,2871.0,87.0,8522.0,208.0,208.0,244.0,38.0,50.0,235.0,429.0,4225.0,1320.0,1053.0,8.0,37.0,0.0,26.0,252.0,139.0,2616.0,249.0,12304.0,13155.0,7862.0,1063.0,25278.0,4167.0,2755.0,17526.0,42804.0,42804.0,42852.0,42852.0,15.0,136106.0,60.0,52.0,1.0,97.0,200.0,245.0,140818.0,5227.0,142600.0,987.0,615.0,962.0,144868.0
2008-07-29,10943.0,13848.0,1912.0,2208.0,2268.0,12321.0,140.0,379.0,544.0,1011.0,2051.0,1276.0,3447.0,195.0,4895.0,13294.0,19375.0,20579.0,527.0,21092.0,1671.0,3312.0,105.0,86828.0,657.0,90389.0,105000.0,1211.0,799.0,107262.0,1934.0,109127.0,247.0,1937.0,111246.0,111222.0,156.0,142.0,374.0,506.0,3624.0,41.0,4073.0,173.0,573.0,406.0,648.0,500.0,1751.0,651.0,314.0,1302.0,996.0,1334.0,1275.0,5706.0,6839.0,8430.0,13114.0,12.0,7715.0,7276.0,4694.0,4310.0,37.0,6116.0,2873.0,85.0,8578.0,201.0,201.0,237.0,37.0,48.0,233.0,414.0,4201.0,1331.0,1045.0,8.0,39.0,0.0,56.0,251.0,136.0,2605.0,244.0,12620.0,13471.0,7592.0,1038.0,28231.0,3981.0,2660.0,17477.0,45709.0,45709.0,45752.0,45752.0,21.0,150108.0,59.0,55.0,1.0,93.0,194.0,241.0,147903.0,5255.0,148843.0,997.0,673.0,943.0,149897.0
2008-07-30,9069.0,13831.0,1819.0,2107.0,2136.0,12040.0,153.0,385.0,534.0,980.0,1995.0,1238.0,3327.0,193.0,4724.0,12951.0,18123.0,19330.0,526.0,19851.0,1582.0,3258.0,104.0,87464.0,635.0,91302.0,105000.0,1163.0,774.0,107067.0,2082.0,108802.0,277.0,2193.0,110960.0,110951.0,167.0,168.0,396.0,674.0,3644.0,38.0,4072.0,148.0,610.0,402.0,743.0,556.0,1724.0,656.0,312.0,1322.0,974.0,1358.0,1227.0,5548.0,6686.0,8260.0,12622.0,11.0,7413.0,6980.0,4493.0,4300.0,38.0,6261.0,2874.0,84.0,8613.0,194.0,194.0,229.0,37.0,47.0,231.0,401.0,4176.0,1332.0,1020.0,8.0,38.0,0.0,60.0,244.0,132.0,2574.0,239.0,12637.0,13551.0,7322.0,1013.0,29618.0,3817.0,2589.0,17333.0,46951.0,46951.0,46989.0,46989.0,20.0,159596.0,58.0,54.0,1.0,90.0,191.0,234.0,160354.0,5252.0,161934.0,997.0,815.0,934.0,164199.0
2008-07-31,9573.0,13816.0,1709.0,2014.0,2021.0,11780.0,135.0,366.0,522.0,952.0,1951.0,1175.0,3193.0,189.0,4601.0,12591.0,17537.0,18719.0,524.0,19131.0,1485.0,3199.0,99.0,87125.0,616.0,90982.0,105000.0,1123.0,751.0,106990.0,1913.0,108714.0,240.0,2234.0,110967.0,110972.0,140.0,131.0,417.0,520.0,3664.0,37.0,4027.0,131.0,596.0,366.0,803.0,577.0,1737.0,659.0,306.0,1331.0,957.0,1359.0,1180.0,5395.0,6522.0,8056.0,12125.0,11.0,7012.0,6593.0,4180.0,4078.0,38.0,6119.0,2876.0,82.0,8590.0,188.0,188.0,222.0,35.0,45.0,230.0,390.0,4151.0,1333.0,973.0,8.0,33.0,0.0,21.0,232.0,128.0,2544.0,231.0,12458.0,13346.0,7061.0,990.0,29166.0,3672.0,2504.0,17214.0,46380.0,46380.0,46415.0,46415.0,11.0,159462.0,57.0,45.0,0.0,87.0,182.0,216.0,160613.0,5217.0,162375.0,959.0,772.0,916.0,165132.0
2008-08-01,7961.0,13456.0,1651.0,1910.0,1918.0,11546.0,126.0,342.0,512.0,925.0,1896.0,1124.0,3061.0,186.0,4480.0,12281.0,17288.0,18455.0,522.0,18816.0,1393.0,3147.0,96.0,87606.0,596.0,91127.0,102500.0,1092.0,730.0,104962.0,2004.0,107500.0,227.0,2192.0,110158.0,110269.0,160.0,151.0,443.0,621.0,3691.0,41.0,4041.0,137.0,616.0,391.0,862.0,616.0,1766.0,658.0,290.0,1307.0,940.0,1350.0,1137.0,5263.0,6384.0,7869.0,11655.0,11.0,6563.0,6158.0,3793.0,3791.0,39.0,5889.0,2877.0,81.0,8594.0,182.0,182.0,215.0,35.0,44.0,228.0,381.0,4125.0,1334.0,960.0,7.0,29.0,0.0,1.0,225.0,125.0,2516.0,225.0,12251.0,13107.0,6812.0,968.0,28593.0,3555.0,2430.0,17126.0,45720.0,45720.0,45750.0,45750.0,10.0,158847.0,56.0,41.0,0.0,83.0,176.0,205.0,160077.0,5190.0,161871.0,953.0,735.0,895.0,164571.0
2008-08-02,7762.0,12771.0,1646.0,1821.0,1825.0,11365.0,120.0,323.0,504.0,901.0,1839.0,1071.0,2923.0,183.0,4340.0,11998.0,17323.0,18481.0,521.0,18818.0,1307.0,3061.0,93.0,89108.0,580.0,92517.0,91250.0,1067.0,715.0,94102.0,2006.0,97470.0,219.0,2390.0,101354.0,101824.0,154.0,160.0,464.0,714.0,3717.0,39.0,4042.0,125.0,700.0,402.0,1019.0,745.0,1813.0,655.0,270.0,1272.0,923.0,1311.0,1097.0,5135.0,6243.0,7697.0,11097.0,10.0,6001.0,5591.0,3253.0,3346.0,40.0,5515.0,2879.0,79.0,8583.0,176.0,176.0,207.0,37.0,42.0,227.0,374.0,4100.0,1334.0,934.0,8.0,25.0,0.0,1.0,218.0,122.0,2491.0,220.0,12127.0,12898.0,6596.0,948.0,27670.0,3433.0,2369.0,17029.0,44699.0,44699.0,44725.0,44725.0,11.0,154715.0,55.0,37.0,0.0,82.0,170.0,194.0,156932.0,5165.0,158941.0,964.0,706.0,875.0,161963.0
2008-08-03,7586.0,12749.0,1644.0,1754.0,1742.0,11224.0,115.0,308.0,495.0,878.0,1787.0,1018.0,2805.0,179.0,4171.0,11783.0,17013.0,18165.0,519.0,18555.0,1233.0,2456.0,90.0,89212.0,565.0,92407.0,86250.0,1042.0,700.0,87020.0,1870.0,88377.0,207.0,2370.0,90530.0,90658.0,137.0,131.0,485.0,570.0,3737.0,36.0,4028.0,115.0,695.0,406.0,1089.0,867.0,1912.0,654.0,270.0,1264.0,913.0,1264.0,1060.0,5014.0,6110.0,7531.0,10577.0,10.0,5494.0,5040.0,2673.0,2801.0,41.0,5019.0,2880.0,78.0,8610.0,171.0,171.0,200.0,37.0,41.0,225.0,367.0,4074.0,1335.0,932.0,8.0,25.0,0.0,1.0,212.0,119.0,2468.0,215.0,12076.0,12825.0,6439.0,928.0,27258.0,3317.0,2313.0,16942.0,44200.0,44200.0,44222.0,44222.0,11.0,143202.0,54.0,36.0,0.0,79.0,165.0,183.0,146288.0,5143.0,148583.0,958.0,685.0,857.0,152120.0
2008-08-04,7804.0,12728.0,1672.0,1710.0,1666.0,11133.0,118.0,312.0,484.0,860.0,1747.0,991.0,2738.0,175.0,4033.0,11625.0,16653.0,17806.0,517.0,18207.0,1166.0,2246.0,87.0,88587.0,549.0,91595.0,103750.0,1019.0,682.0,105361.0,1730.0,106777.0,192.0,2129.0,107446.0,106807.0,125.0,112.0,509.0,457.0,3760.0,35.0,4039.0,110.0,670.0,395.0,1130.0,944.0,2031.0,660.0,305.0,1359.0,913.0,1296.0,1025.0,4905.0,5993.0,7395.0,10068.0,10.0,5351.0,4901.0,2440.0,2401.0,42.0,4587.0,2882.0,76.0,8689.0,165.0,165.0,194.0,36.0,40.0,224.0,361.0,4048.0,1335.0,956.0,8.0,23.0,0.0,2.0,207.0,116.0,2445.0,211.0,12081.0,12811.0,6293.0,910.0,27027.0,3190.0,2263.0,16846.0,43873.0,43873.0,43891.0,43891.0,11.0,141767.0,54.0,36.0,0.0,75.0,161.0,178.0,141217.0,5122.0,142812.0,947.0,668.0,839.0,144959.0
2008-08-05,10523.0,12719.0,1598.0,1706.0,1597.0,11012.0,116.0,310.0,475.0,847.0,1725.0,963.0,2688.0,172.0,3940.0,11722.0,16405.0,17606.0,516.0,18214.0,1127.0,2182.0,88.0,88189.0,534.0,91064.0,100000.0,998.0,663.0,101834.0,1658.0,103865.0,182.0,1923.0,106187.0,106344.0,120.0,106.0,549.0,414.0,3763.0,35.0,4028.0,109.0,643.0,403.0,1131.0,970.0,2127.0,662.0,303.0,1366.0,907.0,1340.0,995.0,4807.0,5885.0,7249.0,9662.0,10.0,4961.0,4528.0,2212.0,2231.0,42.0,4372.0,2883.0,75.0,8732.0,160.0,160.0,187.0,36.0,39.0,222.0,353.0,4014.0,1340.0,958.0,8.0,23.0,0.0,2.0,202.0,113.0,2422.0,207.0,12135.0,12864.0,6155.0,893.0,26881.0,3074.0,2226.0,16756.0,43637.0,43637.0,43653.0,43653.0,11.0,153582.0,53.0,35.0,1.0,72.0,163.0,172.0,154057.0,5102.0,155576.0,942.0,653.0,829.0,157294.0
2008-08-06,12295.0,12781.0,1473.0,1818.0,1534.0,10895.0,117.0,317.0,486.0,861.0,1762.0,967.0,2729.0,171.0,3877.0,12039.0,16441.0,17759.0,514.0,18894.0,1137.0,2200.0,88.0,88284.0,520.0,90968.0,100000.0,979.0,647.0,101706.0,1627.0,103528.0,178.0,1905.0,105432.0,105434.0,119.0,110.0,599.0,432.0,3759.0,36.0,4039.0,108.0,654.0,442.0,1130.0,971.0,2191.0,663.0,301.0,1384.0,905.0,1380.0,972.0,4726.0,5803.0,7119.0,9489.0,9.0,4852.0,4359.0,1930.0,1976.0,43.0,4188.0,2885.0,73.0,8756.0,155.0,155.0,181.0,36.0,37.0,221.0,346.0,3975.0,1349.0,977.0,8.0,24.0,0.0,6.0,214.0,110.0,2393.0,202.0,12192.0,12923.0,6036.0,877.0,26760.0,2995.0,2238.0,16690.0,43451.0,43451.0,43470.0,43470.0,11.0,151505.0,52.0,36.0,0.0,69.0,163.0,174.0,152907.0,5089.0,154860.0,964.0,642.0,834.0,157479.0
