, KOOTENAI - LIBBY DAM, KOOTENAI - AT LEONIA, NF FLATHEAD - NEAR COLUMBIA FALLS, MF FLATHEAD - NEAR WEST GLACIER, SF FLATHEAD - HUNGRY HORSE DAM, FLATHEAD - AT COLUMBIA FALLS, CLARK FORK - AT DEER LODGE, CLARK FORK - NR DRUMMOND, ROCK CREEK - NEAR CLINTON, BLACKFOOT - NEAR BONNER, CLARK FORK - ABOVE MISSOULA, BITTERROOT - NEAR MISSOULA, CLARK FORK - BELOW MISSOULA, ST. REGIS - NEAR ST. REGIS, CLARK FORK - AT ST REGIS, FLATHEAD - KERR DAM, CLARK FORK - NOXON RAPIDS DAM, CLARK FORK - CABINET GORGE DAM, PRIEST - NEAR PRIEST RIVER, PEND OREILLE - ALBENI FALLS DAM, COEUR D ALENE - COEUR D ALENE LAKE, SPOKANE - AT SPOKANE, SPOKANE - AT LONGLAKE, ST MARIES - NEAR SANTA, KETTLE - AT LAURIER, COLUMBIA - GRAND COULEE DAM, COLUMBIA - CHIEF JOSEPH DAM, OKANOGAN - NEAR TONASKET, METHOW - NEAR PATEROS, COLUMBIA - WELLS DAM, CHELAN - LAKE CHELAN DAM, COLUMBIA - ROCKY REACH DAM, ENTIAT - NEAR ARDENVOIR, WENATCHEE - AT PESHASTIN, COLUMBIA - WANAPUM DAM, COLUMBIA - PRIEST RAPIDS DAM, YAKIMA - KEECHELUS LAKE, KACHESS - KACHESS DAM, YAKIMA - AT EASTON, CLE ELUM - CLE ELUM LAKE, TEANAWAY - BELOW FORKS, YAKIMA - AT UMTANUM, BUMPING - BUMPING LAKE DAM, NACHES - NEAR CLIFFDEL, TIETON - RIMROCK LAKE NEAR RIMROCK, NACHES - NEAR NACHES, YAKIMA - NEAR PARKER, YAKIMA - AT KIONA, HENRYS FORK - ISLAND PARK DAM, FALLS - NEAR CHESTER, HENRYS FORK - AT ST. ANTHONY, TETON - NEAR ST. ANTHONY, HENRYS FORK - AT REXBURG, SNAKE - JACKSON LAKE AT DAM, SNAKE - NEAR JACKSON, SNAKE - NEAR ALPINE, SF SNAKE - PALISADES DAM, SNAKE - NEAR HEISE, WILLOW CREEK - RIRIE DAM, SNAKE - AB EAGLE ROCK NR IDAHO FALLS, SNAKE - NEAR SHELLEY, SNAKE - AT BLACKFOOT, SNAKE - NEAR BLACKFOOT, PORTNEUF - AT POCATELLO, SNAKE - AMERICAN FALLS RESERVOIR, SNAKE - AT MILNER, BRUNEAU - NEAR HOT SPRINGS, SNAKE - BELOW SWAN FALLS, BIG LOST - AT HOWELL RANCH NEAR CHILLY, BIG LOST - MACKAY RESERVOIR NEAR MACKAY, BIG WOOD - AT HAILEY, BIG WOOD - MAGIC DAM, LITTLE WOOD - LITTLE WOOD DAM, OWYHEE - BELOW OWYHEE DAM, SF BOISE - ANDERSON RANCH DAM, BOISE - LUCKY PEAK DAM, BOISE - AT GLENWOOD BRIDGE, BOISE - NEAR PARMA, MALHEUR - WARM SPRINGS DAM, MALHEUR - AGENCY VALLEY DAM, BULLY CREEK - BULLY CREEK DAM, MALHEUR - NEAR VALE, NF PAYETTE - CASCADE DAM, DEADWOOD - NEAR LOWMAN, PAYETTE - NEAR EMMETT, WEISER - NEAR WEISER, SNAKE - AT WEISER, SNAKE - BROWNLEE DAM, SALMON - AT WHITEBIRD, GRANDE RONDE - TROY, SNAKE - NEAR ANATONE, CLEARWATER - AT OROFINO, CLEARWATER - DWORSHAK DAM, CLEARWATER - AT SPALDING, SNAKE - LOWER GRANITE DAM, SNAKE - LITTLE GOOSE DAM, SNAKE - LOWER MONUMENTAL DAM, SNAKE - ICE HARBOR DAM, WALLA WALLA - NEAR TOUCHET, COLUMBIA - MCNARY DAM, UMATILLA - NEAR GIBBON, UMATILLA - AT PENDLETON, MCKAY CREEK - NEAR PILOT ROCK, UMATILLA - NEAR UMATILLA, NF JOHN DAY - AT MONUMENT, JOHN DAY - AT SERVICE CK, COLUMBIA - JOHN DAY DAM, DESCHUTES - AT MOODY NR BIGGS, COLUMBIA - THE DALLES DAM, KLICKITAT - NEAR PITT, HOOD - NEAR TUCKER BRIDGE, WHITE SALMON - NEAR UNDERWOOD, COLUMBIA - BONNEVILLE DAM
2012-04-02, 5634, 25852, 2624, 3347, 5448, 12428, 399, 1250, 748, 2794, 5316, 3847, 8953, 1491, 12325, 20111, 24950, 27895, 4089, 25896, 44283, 26121, 28241, 2231, 889, 128249, 132951, 999, 549, 122742, 1325, 120811, 122, 1675, 135177, 134293, 263, 291, 481, 621, 544, 2835, 180, 836, 708, 2030, 4596, 7680, 857, 979, 2580, 821, 2881, 845, 2237, 3203, 5708, 5548, 459, 7815, 7570, 6783, 6878, 437, 9489, 6565, 672, 16978, 170, 257, 556, 4165, 528, 1284, 2953, 7677, 6220, 6373, 357, 226, 102, 71, 2360, 325, 9216, 5052, 39069, 43545, 19603, 8599, 80431, 22146, 21792, 43563, 123994, 116325, 134214, 131543, 3942, 311654, 847, 2010, 407, 2356, 4066, 6146, 336319, 12351, 324357, 6317, 2583, 2117, 354964
2012-04-03, 6870, 25520, 2213, 3082, 4710, 12436, 394, 1110, 649, 2673, 5034, 3590, 8548, 1318, 12012, 19496, 24857, 27984, 3856, 34272, 35774, 27092, 28775, 1732, 878, 127532, 154998, 994, 539, 154486, 1195, 152654, 118, 1689, 161445, 158272, 272, 294, 471, 628, 491, 2612, 174, 814, 675, 1913, 4139, 6894, 821, 938, 2232, 771, 2797, 737, 2108, 2902, 5178, 5571, 392, 7835, 7521, 7012, 7098, 450, 9652, 6720, 566, 16882, 137, 205, 519, 3655, 455, 1310, 2305, 7418, 6211, 6301, 322, 216, 79, 74, 1720, 286, 7744, 4240, 35914, 40447, 19476, 7430, 78012, 19461, 18414, 39861, 117872, 117254, 123031, 127976, 3156, 295225, 703, 1674, 286, 1852, 3400, 5228, 301933, 11353, 291870, 5425, 2127, 1929, 306492
2012-04-04, 6810, 27060, 2274, 3152, 4584, 13024, 386, 993, 564, 2516, 4552, 3096, 7648, 1192, 10848, 18930, 24363, 27438, 3682, 33932, 25887, 27406, 28811, 1507, 919, 126556, 154998, 975, 523, 156565, 1156, 157561, 128, 1877, 170700, 169721, 326, 334, 480, 766, 538, 2438, 188, 985, 749, 1967, 3645, 5932, 788, 934, 1965, 730, 2341, 640, 2002, 2747, 4635, 5566, 379, 7666, 7412, 7047, 7133, 498, 9845, 8216, 486, 17347, 133, 196, 488, 3033, 435, 2396, 1887, 7209, 6606, 6486, 684, 290, 55, 76, 1899, 257, 6798, 3653, 33764, 37196, 18932, 7017, 76923, 16831, 16097, 35626, 112548, 112310, 116506, 117026, 2499, 296274, 643, 1574, 220, 1456, 3644, 4558, 296850, 10470, 285200, 4440, 1764, 1743, 293850
2012-04-05, 7280, 26982, 3838, 4048, 7033, 15227, 412, 1103, 846, 2660, 4795, 2969, 7764, 1247, 10495, 19498, 24557, 27654, 3712, 34752, 23044, 26033, 27960, 1602, 1101, 125549, 154998, 968, 521, 156535, 1113, 157547, 138, 1913, 170348, 170104, 289, 292, 445, 648, 472, 2367, 185, 1002, 662, 1965, 3562, 5447, 810, 966, 2223, 735, 2110, 644, 1985, 2874, 4692, 8468, 404, 7571, 7165, 6756, 6821, 464, 9829, 9838, 468, 18660, 146, 210, 474, 2786, 446, 4839, 2079, 7176, 6653, 6749, 988, 406, 49, 77, 2638, 244, 6948, 3390, 34031, 36640, 18732, 8506, 80275, 18205, 17386, 35804, 116079, 115840, 120895, 120895, 2531, 299336, 706, 1945, 410, 1730, 5188, 6074, 300925, 9940, 289496, 4120, 1546, 1702, 296894
2012-04-06, 7516, 27559, 4222, 4210, 6710, 16522, 452, 1223, 1005, 2938, 5510, 3535, 9046, 1121, 11545, 21738, 25749, 29002, 3298, 34564, 21770, 24905, 27178, 1222, 1190, 123487, 154998, 1052, 537, 156537, 876, 157530, 122, 1720, 169709, 169736, 262, 255, 396, 556, 387, 2115, 172, 918, 567, 1764, 3180, 5100, 851, 1041, 2595, 782, 2424, 745, 2057, 3048, 5096, 11766, 411, 10778, 9996, 7942, 7519, 436, 9738, 10400, 462, 20777, 156, 223, 461, 2602, 422, 5121, 1950, 7039, 6626, 6731, 726, 332, 45, 81, 1671, 230, 7048, 3177, 35644, 37999, 18632, 7584, 80022, 20134, 15744, 38224, 118246, 118008, 122909, 122909, 2552, 304744, 576, 1647, 365, 1891, 5064, 6699, 309218, 9372, 298022, 3864, 1296, 1656, 304828
2012-04-07, 7130, 27076, 2934, 3579, 4818, 14606, 405, 1033, 790, 2682, 5042, 3524, 8566, 964, 11671, 20930, 26762, 30158, 3131, 35255, 19088, 22508, 24963, 977, 1265, 120023, 154998, 1161, 537, 156606, 734, 157582, 111, 1691, 169236, 169248, 246, 236, 373, 505, 339, 1876, 160, 844, 508, 1563, 2706, 4616, 848, 1079, 2560, 785, 2760, 859, 2069, 2974, 5036, 13932, 392, 14373, 13681, 11526, 10892, 433, 11941, 10400, 451, 22425, 168, 236, 448, 2246, 391, 3566, 1688, 6894, 6600, 6688, 460, 248, 42, 78, 1294, 218, 6366, 2808, 37297, 39580, 18076, 6306, 76480, 17260, 12743, 35494, 111974, 111735, 115633, 115633, 2060, 295984, 442, 1145, 246, 1303, 3830, 5394, 301925, 8804, 291500, 3541, 1087, 1583, 299040
2012-04-08, 7004, 26111, 2388, 3335, 4321, 13569, 395, 921, 659, 2518, 4500, 2956, 7456, 848, 10366, 18658, 26400, 29768, 3043, 35012, 16061, 19382, 21838, 965, 1357, 116050, 154998, 1215, 527, 156702, 636, 157671, 104, 1882, 169076, 169083, 238, 229, 367, 492, 318, 1715, 151, 793, 477, 1408, 2317, 4052, 827, 1041, 2428, 761, 2769, 789, 1980, 2796, 4830, 13980, 372, 16141, 15809, 14648, 14234, 402, 15524, 10400, 436, 22830, 170, 234, 436, 1892, 371, 2803, 1538, 6798, 6573, 6638, 477, 212, 40, 77, 1196, 209, 5806, 2555, 38305, 40465, 17205, 5656, 74079, 14096, 11108, 31797, 105876, 105637, 108886, 108886, 1702, 286912, 378, 922, 188, 922, 2897, 4200, 290735, 8341, 280536, 3272, 957, 1540, 287344
2012-04-09, 6968, 25424, 2247, 3197, 4079, 13220, 390, 880, 613, 2361, 4159, 2618, 6777, 757, 9267, 17452, 25378, 28625, 2950, 33570, 14260, 17338, 19558, 1032, 1374, 113087, 154998, 1241, 521, 156752, 560, 157732, 100, 1921, 168769, 168785, 233, 226, 364, 498, 309, 1621, 142, 790, 447, 1339, 1913, 3540, 799, 954, 2191, 719, 2564, 723, 1925, 2686, 4588, 13518, 362, 16098, 15882, 15379, 15255, 406, 17540, 10400, 424, 22813, 166, 226, 427, 1604, 355, 2302, 1446, 6681, 6546, 6576, 519, 233, 38, 80, 1200, 200, 5478, 2330, 38304, 40388, 16290, 5272, 72291, 12099, 9952, 29159, 101450, 101211, 104113, 104113, 1477, 280334, 349, 830, 148, 748, 2399, 3522, 283039, 7992, 273179, 3047, 880, 1494, 279346
2012-04-10, 6826, 24821, 2162, 3043, 3916, 12946, 384, 856, 586, 2218, 3915, 2371, 6286, 690, 8555, 16692, 24634, 27792, 2827, 32476, 13076, 16076, 18250, 1016, 1316, 110670, 154998, 1268, 521, 156775, 484, 157797, 97, 1852, 168325, 168343, 250, 241, 383, 595, 390, 1568, 140, 863, 463, 1332, 1567, 3082, 786, 898, 2094, 676, 2276, 730, 1947, 2687, 4473, 12510, 403, 15229, 15134, 14991, 14978, 408, 17640, 10400, 412, 22766, 162, 217, 421, 1422, 342, 1696, 1381, 6565, 6520, 6510, 494, 260, 37, 82, 1364, 192, 5242, 2118, 37780, 39693, 15458, 5022, 70686, 10868, 9080, 27471, 98157, 97918, 100616, 100616, 1291, 275345, 341, 794, 126, 646, 2201, 3189, 277596, 7764, 268230, 2856, 827, 1467, 273924
2012-04-11, 6697, 24346, 2181, 3024, 3997, 12854, 376, 834, 573, 2087, 3709, 2158, 5868, 682, 8035, 16066, 24155, 27257, 2804, 31945, 12556, 15332, 17444, 1087, 1340, 110223, 153196, 1269, 516, 155328, 430, 156739, 98, 1946, 167284, 167390, 306, 291, 453, 800, 642, 1754, 165, 1184, 526, 1651, 1550, 2805, 792, 901, 2140, 645, 2107, 785, 2004, 2798, 4555, 11494, 502, 13962, 13890, 13873, 13927, 327, 16841, 10400, 401, 22712, 158, 208, 422, 1454, 324, 1401, 1422, 6460, 6493, 6452, 524, 315, 36, 82, 1723, 194, 5154, 1950, 37325, 39175, 14710, 5520, 68787, 10405, 9342, 26544, 95330, 94272, 96832, 96832, 1150, 270776, 360, 846, 113, 620, 2896, 3517, 273306, 7627, 264556, 2816, 772, 1498, 269947
