, KOOTENAI - LIBBY DAM, KOOTENAI - AT LEONIA, NF FLATHEAD - NEAR COLUMBIA FALLS, MF FLATHEAD - NEAR WEST GLACIER, SF FLATHEAD - HUNGRY HORSE DAM, FLATHEAD - AT COLUMBIA FALLS, CLARK FORK - AT DEER LODGE, CLARK FORK - NR DRUMMOND, ROCK CREEK - NEAR CLINTON, BLACKFOOT - NEAR BONNER, CLARK FORK - ABOVE MISSOULA, BITTERROOT - NEAR MISSOULA, CLARK FORK - BELOW MISSOULA, ST. REGIS - NEAR ST. REGIS, CLARK FORK - AT ST REGIS, FLATHEAD - KERR DAM, CLARK FORK - NOXON RAPIDS DAM, CLARK FORK - CABINET GORGE DAM, PRIEST - NEAR PRIEST RIVER, PEND OREILLE - ALBENI FALLS DAM, COEUR D ALENE - COEUR D ALENE LAKE, SPOKANE - AT SPOKANE, SPOKANE - AT LONGLAKE, ST MARIES - NEAR SANTA, KETTLE - AT LAURIER, COLUMBIA - GRAND COULEE DAM, COLUMBIA - CHIEF JOSEPH DAM, OKANOGAN - NEAR TONASKET, METHOW - NEAR PATEROS, COLUMBIA - WELLS DAM, CHELAN - LAKE CHELAN DAM, COLUMBIA - ROCKY REACH DAM, ENTIAT - NEAR ARDENVOIR, WENATCHEE - AT PESHASTIN, COLUMBIA - WANAPUM DAM, COLUMBIA - PRIEST RAPIDS DAM, YAKIMA - KEECHELUS LAKE, KACHESS - KACHESS DAM, YAKIMA - AT EASTON, CLE ELUM - CLE ELUM LAKE, TEANAWAY - BELOW FORKS, YAKIMA - AT UMTANUM, BUMPING - BUMPING LAKE DAM, NACHES - NEAR CLIFFDEL, TIETON - RIMROCK LAKE NEAR RIMROCK, NACHES - NEAR NACHES, YAKIMA - NEAR PARKER, YAKIMA - AT KIONA, HENRYS FORK - ISLAND PARK DAM, FALLS - NEAR CHESTER, HENRYS FORK - AT ST. ANTHONY, TETON - NEAR ST. ANTHONY, HENRYS FORK - AT REXBURG, SNAKE - JACKSON LAKE AT DAM, SNAKE - NEAR JACKSON, SNAKE - NEAR ALPINE, SF SNAKE - PALISADES DAM, SNAKE - NEAR HEISE, WILLOW CREEK - RIRIE DAM, SNAKE - AB EAGLE ROCK NR IDAHO FALLS, SNAKE - NEAR SHELLEY, SNAKE - AT BLACKFOOT, SNAKE - NEAR BLACKFOOT, PORTNEUF - AT POCATELLO, SNAKE - AMERICAN FALLS RESERVOIR, SNAKE - AT MILNER, BRUNEAU - NEAR HOT SPRINGS, SNAKE - BELOW SWAN FALLS, BIG LOST - AT HOWELL RANCH NEAR CHILLY, BIG LOST - MACKAY RESERVOIR NEAR MACKAY, BIG WOOD - AT HAILEY, BIG WOOD - MAGIC DAM, LITTLE WOOD - LITTLE WOOD DAM, OWYHEE - BELOW OWYHEE DAM, SF BOISE - ANDERSON RANCH DAM, BOISE - LUCKY PEAK DAM, BOISE - AT GLENWOOD BRIDGE, BOISE - NEAR PARMA, MALHEUR - WARM SPRINGS DAM, MALHEUR - AGENCY VALLEY DAM, BULLY CREEK - BULLY CREEK DAM, MALHEUR - NEAR VALE, NF PAYETTE - CASCADE DAM, DEADWOOD - NEAR LOWMAN, PAYETTE - NEAR EMMETT, WEISER - NEAR WEISER, SNAKE - AT WEISER, SNAKE - BROWNLEE DAM, SALMON - AT WHITEBIRD, GRANDE RONDE - TROY, SNAKE - NEAR ANATONE, CLEARWATER - AT OROFINO, CLEARWATER - DWORSHAK DAM, CLEARWATER - AT SPALDING, SNAKE - LOWER GRANITE DAM, SNAKE - LITTLE GOOSE DAM, SNAKE - LOWER MONUMENTAL DAM, SNAKE - ICE HARBOR DAM, WALLA WALLA - NEAR TOUCHET, COLUMBIA - MCNARY DAM, UMATILLA - NEAR GIBBON, UMATILLA - AT PENDLETON, MCKAY CREEK - NEAR PILOT ROCK, UMATILLA - NEAR UMATILLA, NF JOHN DAY - AT MONUMENT, JOHN DAY - AT SERVICE CK, COLUMBIA - JOHN DAY DAM, DESCHUTES - AT MOODY NR BIGGS, COLUMBIA - THE DALLES DAM, KLICKITAT - NEAR PITT, HOOD - NEAR TUCKER BRIDGE, WHITE SALMON - NEAR UNDERWOOD, COLUMBIA - BONNEVILLE DAM
2012-03-05, 2779, 5373, 648, 442, 1062, 3887, 290, 1271, 283, 663, 2334, 1039, 3079, 218, 3455, 4758, 12866, 14089, 518, 12226, 3612, 4756, 5875, 331, 314, 75792, 75923, 926, 334, 73600, 941, 74777, 92, 1359, 68293, 94729, 254, 305, 467, 830, 336, 2104, 163, 697, 351, 1167, 3528, 3854, 502, 557, 1888, 397, 2120, 509, 1468, 1739, 2856, 3476, 79, 4942, 4943, 4703, 4830, 325, 7381, 3449, 139, 9139, 82, 152, 160, 178, 56, 845, 392, 2806, 1264, 1822, 170, 189, 85, 104, 256, 58, 1431, 897, 16006, 16661, 4098, 2675, 27909, 4247, 2364, 10794, 38704, 62500, 60598, 46100, 1031, 128846, 248, 444, 197, 428, 909, 1197, 133362, 6320, 136867, 1856, 1197, 1159, 160958
2012-03-06, 2802, 5750, 778, 446, 1420, 3898, 296, 1048, 245, 640, 2311, 1136, 3383, 309, 3983, 4988, 13272, 14810, 570, 17365, 4490, 4898, 6418, 392, 324, 80006, 98124, 923, 343, 98609, 1302, 98420, 115, 1744, 96635, 95760, 322, 398, 547, 990, 503, 2175, 169, 690, 481, 1235, 3648, 4099, 502, 572, 1932, 412, 2148, 508, 1469, 1745, 2853, 3920, 86, 4980, 4928, 4694, 4652, 350, 7499, 3449, 146, 9230, 82, 152, 160, 196, 59, 1521, 434, 2896, 1250, 1810, 280, 276, 84, 104, 253, 58, 1656, 887, 15138, 16272, 4154, 2683, 28800, 4742, 4174, 11619, 40420, 38720, 39427, 39427, 1161, 128304, 408, 608, 340, 436, 959, 1356, 134159, 6304, 136558, 1901, 1438, 1276, 142548
2012-03-07, 2879, 6529, 813, 523, 1683, 3934, 310, 1056, 236, 698, 2140, 1279, 3412, 360, 4449, 5180, 14396, 16067, 583, 17320, 4724, 5025, 6514, 346, 352, 81608, 94999, 970, 356, 96432, 1204, 97525, 116, 1985, 99765, 99871, 284, 318, 467, 665, 380, 2235, 162, 669, 395, 1203, 3806, 4405, 504, 586, 1987, 422, 2239, 506, 1462, 1747, 2864, 4048, 85, 5416, 5302, 4862, 4751, 354, 7526, 3528, 149, 9505, 82, 153, 162, 199, 60, 2506, 440, 2906, 1252, 1801, 299, 264, 82, 105, 173, 58, 1944, 625, 14267, 15287, 4370, 2586, 29913, 6622, 5179, 13875, 43788, 43788, 44527, 44527, 1406, 147810, 468, 940, 453, 658, 924, 1513, 152894, 6596, 154890, 1819, 1293, 1363, 157840
2012-03-08, 2894, 6457, 657, 546, 1402, 3797, 308, 920, 195, 784, 2114, 1121, 3234, 251, 4209, 5019, 14606, 16318, 559, 16947, 3884, 5124, 6003, 270, 364, 81164, 94999, 1068, 362, 96470, 888, 97492, 94, 1601, 99142, 99156, 263, 248, 345, 446, 252, 1911, 150, 632, 367, 1114, 3479, 4457, 500, 586, 1960, 417, 2285, 505, 1463, 1748, 2830, 4050, 81, 5579, 5503, 5199, 5100, 336, 7771, 4535, 139, 9532, 81, 152, 160, 190, 59, 2104, 366, 2740, 1254, 1800, 190, 194, 78, 106, 91, 57, 1764, 548, 14436, 15470, 4454, 2280, 28749, 7066, 3892, 13944, 42694, 42694, 43764, 43764, 1233, 149574, 320, 810, 285, 920, 732, 1280, 157726, 6548, 160550, 1689, 1047, 1216, 164895
2012-03-09, 2890, 6019, 612, 532, 1344, 3698, 304, 803, 178, 821, 1978, 1021, 2998, 191, 3874, 4793, 14162, 15830, 541, 16620, 3385, 5208, 5996, 269, 361, 77616, 94999, 1098, 360, 96554, 824, 97579, 85, 1407, 98994, 98997, 264, 230, 325, 417, 233, 1678, 143, 602, 423, 1069, 3106, 4184, 496, 574, 1886, 412, 2226, 502, 1507, 1792, 2842, 4047, 80, 5599, 5526, 5307, 5242, 324, 8001, 5000, 134, 9759, 80, 150, 160, 185, 58, 1264, 345, 2707, 1255, 1797, 137, 155, 76, 106, 85, 57, 1625, 541, 14332, 15472, 4374, 2244, 28020, 6253, 3355, 12826, 40846, 40846, 41668, 41668, 998, 147170, 241, 632, 256, 748, 927, 1304, 155387, 6480, 158222, 1698, 1031, 1136, 162343
2012-03-10, 2864, 5730, 602, 519, 1299, 3668, 305, 776, 182, 813, 1869, 1059, 2928, 177, 3672, 4657, 13730, 15349, 553, 16595, 4000, 5120, 6315, 468, 358, 75524, 81874, 1074, 358, 85939, 808, 89486, 82, 1410, 93685, 94377, 290, 269, 430, 614, 442, 1737, 156, 690, 593, 1206, 3035, 3836, 494, 568, 1843, 414, 2142, 500, 1564, 1853, 2900, 4044, 82, 5528, 5447, 5283, 5236, 320, 8045, 5000, 135, 10675, 80, 150, 160, 192, 60, 988, 413, 2736, 1256, 1798, 247, 156, 74, 107, 164, 57, 1694, 585, 14422, 15450, 4284, 2599, 28066, 5722, 3936, 12146, 40211, 40211, 40876, 40876, 850, 144643, 246, 610, 326, 593, 1084, 1609, 152862, 6609, 155808, 1820, 1102, 1134, 159853
2012-03-11, 2847, 5727, 613, 505, 1346, 3662, 304, 797, 205, 788, 1836, 1243, 3079, 218, 3745, 4611, 13680, 15295, 626, 17158, 5408, 5041, 6802, 833, 362, 73720, 59999, 1041, 359, 61560, 874, 63046, 98, 1626, 66201, 66953, 342, 322, 523, 769, 637, 2220, 222, 912, 802, 1636, 3724, 3846, 495, 572, 1846, 421, 2097, 499, 1628, 1917, 2983, 4047, 90, 5452, 5351, 5196, 5156, 331, 7999, 5000, 139, 11187, 80, 150, 162, 220, 68, 1524, 552, 2794, 1258, 1799, 392, 220, 72, 107, 289, 56, 1848, 641, 15327, 16175, 4250, 4368, 30043, 6272, 5587, 12795, 42838, 42838, 43473, 43473, 861, 130337, 309, 731, 304, 581, 1311, 1848, 141891, 7054, 146006, 1985, 1412, 1268, 151724
2012-03-12, 2835, 5927, 666, 494, 1425, 3710, 313, 826, 214, 783, 1876, 1392, 3268, 253, 4028, 4634, 13936, 15585, 668, 17172, 6582, 5112, 6836, 924, 403, 73761, 69374, 1021, 369, 69132, 1104, 68460, 124, 1958, 68340, 67826, 366, 343, 546, 882, 647, 2484, 227, 986, 808, 1824, 4402, 4432, 498, 578, 1878, 428, 2102, 498, 1694, 1980, 3060, 4054, 92, 5426, 5299, 5124, 5079, 340, 7932, 5000, 144, 11250, 80, 150, 164, 470, 72, 2221, 595, 2836, 1260, 1797, 417, 260, 71, 113, 312, 56, 2026, 699, 16428, 17532, 4360, 5597, 32203, 7846, 7108, 14486, 46689, 46689, 47338, 47338, 923, 116016, 335, 824, 242, 698, 1320, 2018, 124726, 7250, 128527, 2012, 1408, 1388, 133959
2012-03-13, 2868, 5991, 642, 495, 1472, 3705, 309, 814, 203, 798, 1901, 1353, 3254, 248, 4133, 4764, 14204, 15890, 782, 18213, 7388, 5268, 6787, 928, 608, 75890, 84999, 1028, 386, 86515, 1544, 87373, 153, 3162, 89182, 88573, 531, 462, 750, 1110, 968, 2752, 349, 1270, 1106, 2324, 4799, 5063, 497, 584, 1886, 440, 2125, 497, 1757, 2043, 3137, 4060, 101, 5449, 5299, 5104, 5051, 349, 7908, 5000, 148, 11277, 80, 151, 166, 679, 78, 2198, 827, 3246, 1262, 1793, 457, 280, 69, 124, 807, 62, 2355, 1438, 17190, 18514, 4524, 6932, 34060, 9724, 7526, 16298, 50356, 50356, 51082, 51082, 1004, 130060, 489, 1136, 338, 812, 1623, 2025, 134973, 7428, 137875, 2054, 1643, 1558, 141187
2012-03-14, 2899, 6076, 656, 530, 1952, 3696, 310, 843, 208, 818, 1914, 1468, 3382, 310, 4301, 5037, 14513, 16240, 848, 18659, 10164, 5513, 7319, 1350, 744, 79077, 84999, 1090, 409, 86533, 1578, 87719, 156, 3589, 91361, 91366, 473, 411, 729, 950, 872, 3225, 333, 1300, 984, 2395, 5586, 5604, 498, 593, 1914, 454, 2151, 496, 1825, 2114, 3246, 4071, 112, 5481, 5314, 5118, 5062, 366, 7933, 5000, 157, 11311, 80, 151, 178, 934, 82, 2192, 1153, 3838, 1263, 1818, 562, 331, 78, 138, 742, 64, 3344, 2314, 19079, 20666, 4868, 9408, 39019, 14998, 10424, 22314, 61334, 63266, 63868, 63868, 1372, 153510, 679, 1686, 475, 1354, 2584, 3252, 159944, 7603, 162940, 2185, 1707, 1749, 166494
