, LIBBY DAM, KOOTENAI RIV AT LEONIA, NF FLATHEAD R NR COLUMBIA FALL, MF FLATHEAD NR WEST GLACIER, HUNGRY HORSE DAM, FLATHEAD R AT COLUMBIA FALLS, CLARK FORK AT DEER LODGE, CLARK FORK AT DRUMMOND, ROCK CREEK NR CLINTON, BLACKFOOT R NR BONNER, CLARK FORK AB MISSOULA, BITTERROOT R NR MISSOULA, CLARK FORK BELOW MISSOULA, ST. REGIS R. NR ST. REGIS, CLARK FORK AT ST REGIS, KERR DAM, NOXON RAPIDS DAM, CABINET GORGE DAM, PRIEST R NR PRIEST RIVER, ALBENI FALLS DAM, COEUR D'ALENE LAKE, SPOKANE RIV AT LONGLAKE, ST MARIES R NR SANTA, COLUMBIAR @INTERNATL BOUNDAR, KETTLE RIVER AT LAURIER, GRAND COULEE DAM, CHIEF JOSEPH DAM, OKANOGAN RIVER NR TONASKET, METHOW R NR PATEROS, WELLS DAM, LAKE CHELAN DAM, ROCKY REACH DAM, ENTIAT R NR ARDENVOIR, WENATCHEE R AT PESHASTIN, WANAPUM DAM, PRIEST RAPIDS DAM, KEECHELUS LAKE, KACHESS DAM, YAKIMA RIVER AT EASTON, CLE ELUM LAKE, YAKIMA RIVER AT CLE ELUM, TEANAWAY RIVER BLW FORKS, YAKIMA RIVER AT UMTANUM, BUMPING LAKE, NACHES RIVER NR CLIFFDEL, RIMROCK LAKE, NACHES RIVER NR NACHES, YAKIMA RIVER NR PARKER, YAKIMA RIVER AT KIONA, ISLAND PARK 1SWIS.PARKDM&RES, FALL RIVER NR CHESTER, HENRYS FORK AT ST. ANTHONY, TETON RIVER NEAR ST. ANTHONY, HENRYS FORK NEAR REXBURG, SNAKE R ON JACKSON LAKE AT DAM, SNAKE RIVER NR JACKSON, SNAKE RIVER NR ALPINE, PALISADES DAM, SNAKE RIVER NR HEISE, RIRIE DAM, SNAKE AB EAGLE ROCK NR ID FALL, SNAKE RIVER NR SHELLEY, SNAKE RIVER AT BLACKFOOT, SNAKE RIVER NEAR BLACKFOOT, PORTNEUF RIVER AT POCATELLO, AMERICAN FALLS RESERVOIR, SNAKE RIV AT MILNER, BRUNEAU RIVER NR HOT SPRINGS, SNAKE RIVER BELOW SWAN FALLS, BIG LOST R@HOW'L RNCH NR CHILL, BIG LOST R AT MACKAY, BIG WOOD RIVER AT HAILEY, MAGIC DM&RES-BIG WOOD RICHFLD, LITL.WOODDM&RESNRCAREY, OWYHEE BELOW OWYHEE DAM, BOISE RIVER AT GLENWOOD BRIDGE, BOISE RIVER NR PARMA, WARM SPRINGS RESERVOIR, AGENCY VLY DAM & BEULAH RSVR, BULLY CREEK DAM & RESERVOIR, MALHEUR RIVER NR VALE, CASCADE DAM, DEADWOOD DAM, PAYETTE RIVER NEAR EMMETT, WEISER RIVER NEAR WEISER, SNAKE RIVER AT WEISER, BROWNLEE DAM, SALMON R AT WHITEBIRD, GRANDE RONDE RIVER AT TROY, SNAKE RIVER NR ANATONE, CLEARWATER R AT OROFINO, DWORSHAK DAM, CLEARWATER R AT SPALDING, LOWER GRANITE DAM, LITTLE GOOSE DAM, LOWER MONUMENTAL DAM, ICE HARBOR DAM, WALLA WALLA RIV NR TOUCHET, MCNARY DAM, UMATILLA R NR GIBBON, UMATILLA R AT PENDLETON, MCKAY CR NR PILOTROCK, UMATILLA RIVER NEAR UMATILLA, NF JOHN DAY RIV AT MONUMENT, JOHN DAY RIVER AT SERVICE CK, JOHN DAY DAM, DESCHUTES R AT MOODY NR BIGGS, THE DALLES, KLICKITAT R NR PITT, HOOD R AT TUCKER BRIDGE, WHITE SALMON R NR UNDERWOOD, BONNEVILLE DAM
2003-07-07,15783.0,17373.0,3053.0,2692.0,2222.0,11160.0,120.0,216.0,484.0,1216.0,2302.0,1937.0,4348.0,230.0,5969.0,10527.0,17817.0,18710.0,651.0,19004.0,1079.0,2077.0,90.0,109545.0,1869.0,111298.0,119369.0,1534.0,1391.0,117255.0,2165.0,114884.0,510.0,3181.0,112572.0,110260.0,126.0,108.0,261.0,859.0,3682.0,25.0,3504.0,126.0,711.0,532.0,793.0,497.0,1733.0,501.0,268.0,1189.0,771.0,794.0,1303.0,5854.0,6307.0,7804.0,14584.0,7.0,8327.0,6408.0,3201.0,2573.0,14.0,4561.0,30.0,107.0,4790.0,330.0,334.0,593.0,170.0,93.0,163.0,1382.0,1046.0,8.0,35.0,0.0,50.0,530.0,251.0,2715.0,264.0,8661.0,9559.0,9834.0,1334.0,24205.0,5699.0,2605.0,14503.0,38708.0,38708.0,38757.0,38757.0,34.0,106822.0,48.0,49.0,0.0,26.0,240.0,335.0,106273.0,4482.0,100674.0,1168.0,413.0,741.0,111862.0
2003-07-08,14895.0,16929.0,3166.0,2557.0,2120.0,11246.0,116.0,195.0,468.0,1169.0,2129.0,1832.0,4063.0,223.0,5627.0,11317.0,16759.0,17674.0,628.0,18361.0,1023.0,2208.0,88.0,114916.0,1765.0,118339.0,130156.0,1564.0,1336.0,133303.0,2096.0,137141.0,440.0,2994.0,143512.0,143340.0,116.0,105.0,254.0,821.0,3639.0,24.0,3546.0,124.0,694.0,492.0,770.0,592.0,1752.0,508.0,260.0,1191.0,773.0,831.0,1125.0,5823.0,6189.0,7624.0,14571.0,7.0,8479.0,6633.0,3516.0,2772.0,14.0,4707.0,30.0,103.0,4822.0,309.0,313.0,569.0,161.0,89.0,154.0,1411.0,1096.0,8.0,36.0,0.0,95.0,508.0,240.0,2633.0,257.0,8583.0,9572.0,9548.0,1305.0,22838.0,5406.0,2522.0,18721.0,41559.0,41559.0,41602.0,41602.0,37.0,156011.0,47.0,49.0,0.0,23.0,230.0,318.0,150506.0,4460.0,143433.0,1145.0,396.0,737.0,141241.0
2003-07-09,14266.0,14700.0,3041.0,2422.0,2013.0,10998.0,112.0,180.0,451.0,1130.0,2005.0,1741.0,3838.0,216.0,5296.0,11251.0,16622.0,17533.0,608.0,17967.0,978.0,2197.0,86.0,111932.0,1667.0,117203.0,128437.0,1590.0,1282.0,131706.0,2030.0,134840.0,365.0,2735.0,141219.0,141351.0,107.0,97.0,247.0,705.0,3597.0,23.0,3499.0,121.0,678.0,444.0,748.0,551.0,1803.0,506.0,235.0,1127.0,767.0,831.0,1019.0,5873.0,6228.0,7781.0,14557.0,7.0,8517.0,6694.0,3656.0,3039.0,15.0,4925.0,30.0,100.0,4804.0,295.0,300.0,545.0,141.0,86.0,146.0,1400.0,1039.0,8.0,33.0,0.0,81.0,492.0,230.0,2563.0,248.0,8466.0,9444.0,9271.0,1277.0,22813.0,5138.0,2445.0,19326.0,42139.0,42139.0,42177.0,42177.0,31.0,174037.0,46.0,48.0,0.0,21.0,220.0,292.0,175905.0,4452.0,170966.0,1087.0,384.0,724.0,172562.0
2003-07-10,13634.0,14575.0,2808.0,2304.0,1911.0,10596.0,106.0,165.0,436.0,1096.0,1932.0,1644.0,3659.0,209.0,5051.0,10850.0,16371.0,17288.0,591.0,17687.0,935.0,2163.0,84.0,101487.0,1576.0,107309.0,120313.0,1561.0,1231.0,123553.0,1968.0,126590.0,319.0,2481.0,133061.0,133418.0,98.0,91.0,240.0,667.0,3556.0,22.0,3423.0,117.0,666.0,467.0,730.0,438.0,1802.0,512.0,225.0,1092.0,763.0,797.0,988.0,5932.0,6289.0,7809.0,14547.0,7.0,8575.0,6771.0,3719.0,3144.0,15.0,5045.0,30.0,96.0,4755.0,284.0,289.0,522.0,120.0,83.0,138.0,1389.0,996.0,8.0,28.0,0.0,49.0,481.0,219.0,2498.0,239.0,8315.0,9228.0,9012.0,1250.0,22244.0,4876.0,2376.0,19121.0,41366.0,41366.0,41398.0,41398.0,29.0,170684.0,46.0,48.0,0.0,21.0,211.0,269.0,173766.0,4445.0,169481.0,1088.0,411.0,714.0,172065.0
2003-07-11,13295.0,14532.0,2777.0,2204.0,1820.0,10380.0,92.0,138.0,423.0,1065.0,1865.0,1550.0,3488.0,203.0,4846.0,10435.0,15808.0,16729.0,576.0,17055.0,896.0,2134.0,82.0,99035.0,1492.0,103111.0,116875.0,1503.0,1182.0,120401.0,1911.0,123559.0,289.0,2297.0,129447.0,129623.0,92.0,90.0,233.0,714.0,3514.0,21.0,3372.0,113.0,657.0,504.0,716.0,355.0,1733.0,502.0,196.0,1015.0,753.0,716.0,961.0,6013.0,6365.0,7841.0,14529.0,7.0,8370.0,6593.0,3630.0,3176.0,15.0,5042.0,30.0,93.0,4706.0,273.0,279.0,500.0,97.0,80.0,130.0,1378.0,949.0,8.0,23.0,0.0,22.0,477.0,210.0,2443.0,231.0,8122.0,8984.0,8772.0,1225.0,21624.0,4616.0,2313.0,18843.0,40467.0,40467.0,40494.0,40494.0,28.0,163752.0,45.0,47.0,0.0,20.0,202.0,251.0,166451.0,4438.0,162415.0,1130.0,425.0,717.0,165137.0
2003-07-12,12861.0,14491.0,2828.0,2118.0,1735.0,10302.0,79.0,105.0,411.0,1036.0,1794.0,1460.0,3319.0,196.0,4649.0,10228.0,15229.0,16153.0,564.0,16372.0,859.0,2108.0,80.0,97210.0,1411.0,101136.0,95156.0,1438.0,1136.0,99823.0,1856.0,104462.0,267.0,2244.0,112467.0,113420.0,86.0,90.0,226.0,710.0,3473.0,21.0,3356.0,109.0,650.0,492.0,704.0,346.0,1655.0,489.0,155.0,900.0,742.0,611.0,936.0,6117.0,6468.0,7900.0,14513.0,7.0,8147.0,6360.0,3356.0,2998.0,16.0,4879.0,30.0,90.0,4694.0,264.0,269.0,479.0,82.0,77.0,123.0,1368.0,930.0,8.0,20.0,0.0,7.0,475.0,201.0,2401.0,222.0,7921.0,8720.0,8550.0,1202.0,20998.0,4387.0,2256.0,18594.0,39593.0,39593.0,39614.0,39614.0,28.0,157008.0,45.0,47.0,0.0,20.0,193.0,240.0,160622.0,4431.0,156919.0,1156.0,413.0,725.0,159868.0
2003-07-13,12278.0,14452.0,2786.0,2039.0,1662.0,10160.0,78.0,89.0,400.0,1010.0,1725.0,1397.0,3178.0,191.0,4459.0,10104.0,14824.0,15755.0,554.0,15880.0,827.0,2087.0,80.0,95808.0,1331.0,99488.0,76251.0,1376.0,1127.0,77812.0,1806.0,79915.0,270.0,2354.0,85891.0,86572.0,91.0,108.0,221.0,766.0,3434.0,24.0,3393.0,113.0,648.0,453.0,696.0,434.0,1631.0,489.0,142.0,840.0,736.0,506.0,914.0,6238.0,6591.0,7988.0,14503.0,7.0,8077.0,6278.0,3206.0,2781.0,16.0,4633.0,30.0,88.0,4763.0,255.0,261.0,459.0,82.0,74.0,115.0,1356.0,955.0,8.0,20.0,0.0,28.0,473.0,192.0,2366.0,217.0,7811.0,8561.0,8349.0,1181.0,20449.0,4171.0,2214.0,18358.0,38808.0,38808.0,38824.0,38824.0,27.0,134989.0,44.0,46.0,0.0,19.0,185.0,237.0,140773.0,4430.0,137942.0,1138.0,394.0,723.0,142234.0
2003-07-14,11620.0,14430.0,2631.0,1956.0,1651.0,9904.0,90.0,99.0,395.0,992.0,1688.0,1363.0,3098.0,187.0,4301.0,9973.0,14539.0,15514.0,546.0,15646.0,837.0,2088.0,81.0,95468.0,1263.0,98778.0,120949.0,1317.0,1499.0,122968.0,1795.0,123573.0,297.0,2740.0,124230.0,122399.0,85.0,120.0,214.0,854.0,3394.0,24.0,3402.0,111.0,648.0,455.0,693.0,493.0,1681.0,500.0,151.0,855.0,738.0,467.0,894.0,6370.0,6726.0,8102.0,14500.0,7.0,8286.0,6526.0,3415.0,2799.0,16.0,4546.0,30.0,85.0,4810.0,247.0,253.0,440.0,91.0,72.0,113.0,1215.0,941.0,8.0,20.0,0.0,50.0,476.0,183.0,2343.0,212.0,7829.0,8539.0,8168.0,1162.0,20070.0,3995.0,2202.0,18157.0,38227.0,38227.0,38240.0,38240.0,26.0,128072.0,44.0,46.0,1.0,19.0,189.0,244.0,126617.0,4435.0,122719.0,1114.0,389.0,718.0,124629.0
2003-07-15,11341.0,14426.0,2460.0,1878.0,1584.0,9602.0,86.0,99.0,381.0,974.0,1655.0,1321.0,3014.0,181.0,4196.0,9714.0,14290.0,15255.0,540.0,15314.0,823.0,2120.0,78.0,95397.0,1204.0,98785.0,101933.0,1257.0,1683.0,105508.0,1801.0,108900.0,269.0,2852.0,116075.0,116859.0,74.0,102.0,214.0,729.0,3353.0,21.0,3353.0,103.0,635.0,441.0,680.0,475.0,1731.0,499.0,140.0,828.0,738.0,444.0,875.0,6511.0,6870.0,8224.0,14471.0,7.0,8293.0,6577.0,3593.0,3037.0,16.0,4687.0,30.0,83.0,4811.0,238.0,245.0,422.0,84.0,69.0,112.0,1056.0,733.0,8.0,18.0,0.0,45.0,472.0,175.0,2437.0,206.0,7834.0,8539.0,8012.0,1145.0,19816.0,3840.0,2152.0,17991.0,37807.0,37807.0,37819.0,37819.0,25.0,157716.0,43.0,46.0,1.0,18.0,185.0,251.0,157599.0,4419.0,153338.0,1086.0,384.0,712.0,153607.0
2003-07-16,10783.0,14396.0,2418.0,1805.0,1472.0,9432.0,72.0,75.0,362.0,950.0,1603.0,1248.0,2881.0,175.0,4080.0,9375.0,13968.0,14910.0,536.0,14771.0,751.0,1976.0,74.0,94344.0,1145.0,97944.0,101268.0,1205.0,1421.0,104168.0,1712.0,106737.0,242.0,2581.0,111713.0,111782.0,68.0,87.0,222.0,589.0,3324.0,20.0,3312.0,99.0,611.0,421.0,653.0,424.0,1732.0,494.0,114.0,761.0,733.0,410.0,859.0,6660.0,7023.0,8347.0,14401.0,7.0,8189.0,6498.0,3573.0,3133.0,17.0,4810.0,30.0,80.0,4756.0,230.0,237.0,405.0,67.0,66.0,112.0,1054.0,664.0,8.0,18.0,0.0,30.0,473.0,168.0,2474.0,200.0,7774.0,8438.0,7852.0,1128.0,19511.0,3639.0,2073.0,17787.0,37299.0,37299.0,37307.0,37307.0,24.0,147546.0,43.0,45.0,1.0,18.0,168.0,230.0,150141.0,4406.0,147357.0,1066.0,377.0,701.0,150437.0
