, LIBBY DAM, KOOTENAI RIV AT LEONIA, NF FLATHEAD R NR COLUMBIA FALL, MF FLATHEAD NR WEST GLACIER, DAM AT HUNGRY HORSE, FLATHEAD R AT COLUMBIA FALLS, CLARK FORK AT DEER LODGE, CLARK FORK AT DRUMMOND, ROCK CREEK NR CLINTON, BLACKFOOT R NR BONNER, CLARK FORK AB MISSOULA, BITTERROOT R NR MISSOULA, CLARK FORK BELOW MISSOULA, ST. REGIS R. NR ST. REGIS, CLARK FORK AT ST REGIS    TB20, KERR DAM, NOXON RAPIDS DAM, CABINET GORGE DAM, PRIEST R NR PRIEST RIVER, ALBENI FALLS DAM, COEUR D'ALENE LAKE, SPOKANE RIV AT LONGLAKE, ST MARIES R NR SANTA, COLUMBIAR @INTERNATL BOUNDAR, KETTLE RIVER AT LAURIER, GRAND COULEE DAM, CHIEF JOSEPH DAM, OKANOGAN RIVER NEAR TONASKET, METHOW R NEAR PATEROS, WELLS DAM, LAKE CHELAN DAM, ROCKY REACH DAM, ENTIAT R NR ARDENVOIR, WENATCHEE R AT PESHASTIN  TB20, WANAPUM DAM, PRIEST RAPIDS DAM, KEECHELUS LAKE, KACHESS DAM NEAR EASTON, YAKIMA RIVER AT EASTON, CLE ELUM LAKE NEAR ROSLYN, YAKIMA RIVER AT CLE ELUM, TEANAWAY RIVER BLW FORKS, YAKIMA RIVER AT UMTANUM, BUMPING LK DM NR GOOSE PRAIRIE, NACHES RIVER NEAR CLIFFDEL, RIMROCK LAKE NEAR RIMROCK, NACHES RIVER NEAR NACHES, YAKIMA RIVER NEAR PARKER, YAKIMA RIVER AT KIONA, ISLAND PARK 1SWIS.PARKDM&RES, FALL RIVER NR CHESTER, HENRYS FORK AT ST. ANTHONY, TETON RIVER NEAR ST. ANTHONY, HENRYS FORK NEAR REXBURG, SNKE R ON JACKSN LK AT DM TB20, SNAKE RIVER NR JACKSON, SNAKE RIVER NR ALPINE, PALISADES DAM, SNAKE RIVER NR HEISE, RIRIE DAM AND LAKE ON WILLOW C, SNAKE AB EAGLE ROCK NR ID FALL, SNAKE RIVER NR SHELLEY, SNAKE RIVER AT BLACKFOOT, SNAKE RIVER NEAR BLACKFOOT, PORTNEUF RIVER AT POCATELLO, AMERICAN FALLS RESERVOIR  TB12, SNAKE RIV AT MILNER, BRUNEAU RIVER NR HOT SPRINGS, SNAKE RIVER BELOW SWAN FALLS, BIG LOST R@HOW'L RNCH NR CHILL, BIG LOST R AT MACKAY, BIG WOOD RIVER AT HAILEY, MAGIC DAM OUTFLOW, LITL.WOODDM&RESNRCAREY, OWYHEE BELOW OWYHEE DAM, ANDERSON RANCH DAM, BOISE LUCKY PEAK DAM, BOISE RIVER AT GLENWOOD BRIDGE, BOISE RIVER NR PARMA, WARM SPRINGS DAM & RESERVOIR, AGENCY VLY DAM & BEULAH RSVR, BULLY CREEK DAM & RES     TB12, MALHEUR RIVER NR VALE, CASCADE DAM               TB12, DEADWOOD RESERVOIR NR LOWMAN, PAYETTE RIVER NEAR EMMETT, WEISER RIVER NR WEISER, SNAKE RIVER AT WEISER, BROWNLEE DAM, SALMON R AT WHITEBIRD, GRANDE RONDE RIVER AT TROY, SNAKE RIVER NR ANATONE, CLEARWATER R AT OROFINO, DWORSHAK DAM, CLEARWATER R AT SPALDING, LOWER GRANITE DAM, LITTLE GOOSE DAM, LOWER MONUMENTAL DAM, ICE HARBOR DAM, WALLA WALLA RIV NEAR TOUCHET, MCNARY DAM NEAR MCNARY, UMATILLA R NR GIBBON, UMATILLA R AT PENDLETON, MCKAY CR NR PILOTROCK, UMATILLA RIVER NEAR UMATILLA, NF JOHN DAY RIV AT MONUMENT, JOHN DAY RIVER AT SERVICE CK, JOHN DAY DAM, DESCHUTES R AT MOODY NR BIGGS, THE DALLES, KLICKITAT R NR PITT, HOOD R NR TUCKER BRIDGE   TB20, WHITE SALMON R NEAR UNDERWOOD, BONNEVILLE DAM
2010-03-01,2581.0,4679.0,439.0,308.0,317.0,3594.0,236.0,497.0,140.0,432.0,1248.0,659.0,1877.0,86.0,2371.0,4322.0,11270.0,12484.0,833.0,12230.0,2723.0,4598.0,210.0,57604.0,493.0,62076.0,68539.0,666.0,418.0,68636.0,826.0,67579.0,83.0,1261.0,70563.0,69773.0,190.0,175.0,269.0,414.0,613.0,497.0,1524.0,149.0,543.0,297.0,829.0,2594.0,3821.0,389.0,422.0,1264.0,234.0,1348.0,411.0,1113.0,1241.0,2037.0,1326.0,42.0,1887.0,1697.0,1457.0,1498.0,200.0,4372.0,2034.0,96.0,8659.0,71.0,131.0,114.0,121.0,47.0,609.0,284.0,516.0,269.0,867.0,253.0,164.0,39.0,147.0,328.0,54.0,1399.0,2008.0,13059.0,14847.0,3586.0,1256.0,17758.0,2461.0,2069.0,3911.0,21669.0,21669.0,21980.0,21980.0,620.0,93069.0,148.0,273.0,151.0,345.0,698.0,1132.0,95812.0,5450.0,116026.0,1992.0,1032.0,1643.0,119877.0
2010-03-02,2618.0,4870.0,527.0,338.0,417.0,3684.0,236.0,494.0,144.0,457.0,1259.0,674.0,1910.0,97.0,2425.0,4372.0,10854.0,12108.0,878.0,12961.0,2716.0,4414.0,627.0,57718.0,531.0,61896.0,75000.0,734.0,451.0,76086.0,830.0,77303.0,83.0,1366.0,82119.0,81910.0,229.0,209.0,298.0,707.0,693.0,560.0,1709.0,172.0,602.0,355.0,941.0,2756.0,3756.0,387.0,416.0,1239.0,230.0,1342.0,410.0,1098.0,1226.0,2022.0,1324.0,42.0,1931.0,1733.0,1464.0,1492.0,201.0,4347.0,2047.0,102.0,7900.0,71.0,131.0,113.0,139.0,46.0,1063.0,304.0,579.0,267.0,885.0,311.0,167.0,39.0,149.0,387.0,54.0,1597.0,2557.0,14458.0,16429.0,3623.0,1385.0,19435.0,2673.0,2543.0,4516.0,23951.0,23951.0,24390.0,24390.0,749.0,102960.0,335.0,376.0,228.0,340.0,767.0,1090.0,105144.0,5455.0,117158.0,1907.0,1124.0,1525.0,121758.0
2010-03-03,2651.0,5361.0,616.0,422.0,561.0,3874.0,235.0,491.0,150.0,503.0,1296.0,684.0,1962.0,127.0,2478.0,4561.0,9634.0,10757.0,924.0,12721.0,3155.0,4284.0,829.0,57615.0,691.0,61826.0,75000.0,841.0,517.0,76263.0,867.0,77641.0,91.0,1626.0,82953.0,82944.0,299.0,318.0,379.0,1388.0,897.0,765.0,2266.0,238.0,789.0,445.0,1298.0,3468.0,4204.0,386.0,415.0,1230.0,227.0,1318.0,408.0,1092.0,1218.0,2009.0,1329.0,42.0,1922.0,1729.0,1489.0,1515.0,209.0,4357.0,2060.0,106.0,7427.0,71.0,131.0,115.0,162.0,47.0,2143.0,348.0,858.0,266.0,981.0,502.0,183.0,39.0,149.0,615.0,54.0,1908.0,3524.0,15388.0,17586.0,3681.0,1936.0,20000.0,3115.0,2800.0,5459.0,25458.0,25458.0,25953.0,25953.0,1038.0,112379.0,484.0,600.0,298.0,434.0,1139.0,1457.0,116553.0,5789.0,117498.0,2069.0,1371.0,1614.0,122237.0
2010-03-04,2688.0,5971.0,699.0,525.0,719.0,4084.0,235.0,488.0,152.0,559.0,1341.0,700.0,2029.0,202.0,2617.0,4817.0,8947.0,9984.0,958.0,12130.0,5208.0,4368.0,931.0,57753.0,741.0,62108.0,75000.0,919.0,567.0,76413.0,833.0,77793.0,92.0,1653.0,83020.0,83023.0,254.0,267.0,350.0,1223.0,866.0,700.0,2366.0,239.0,795.0,404.0,1461.0,4164.0,5077.0,386.0,415.0,1222.0,227.0,1296.0,407.0,1091.0,1216.0,2011.0,1340.0,42.0,1905.0,1706.0,1482.0,1511.0,213.0,4385.0,2073.0,104.0,7521.0,71.0,131.0,118.0,184.0,46.0,3091.0,363.0,960.0,264.0,948.0,583.0,163.0,39.0,151.0,488.0,53.0,2165.0,3293.0,15098.0,17827.0,3791.0,2157.0,23778.0,4759.0,4943.0,7604.0,31382.0,31382.0,32412.0,32412.0,1154.0,117613.0,463.0,683.0,269.0,653.0,1544.0,2081.0,122282.0,5736.0,117451.0,2051.0,1130.0,1506.0,122400.0
2010-03-05,2729.0,6342.0,701.0,625.0,866.0,4230.0,236.0,497.0,149.0,618.0,1386.0,713.0,2095.0,147.0,2657.0,5052.0,8887.0,9920.0,981.0,11375.0,6249.0,5208.0,771.0,56758.0,766.0,62456.0,68803.0,970.0,582.0,71638.0,808.0,74277.0,90.0,1451.0,80483.0,80810.0,232.0,210.0,332.0,833.0,784.0,541.0,2056.0,226.0,771.0,376.0,1359.0,3918.0,5533.0,387.0,417.0,1231.0,229.0,1288.0,409.0,1087.0,1212.0,2008.0,1358.0,42.0,1902.0,1694.0,1469.0,1494.0,212.0,4384.0,2086.0,92.0,7661.0,71.0,131.0,114.0,186.0,45.0,3123.0,303.0,1001.0,263.0,930.0,438.0,132.0,107.0,151.0,354.0,53.0,2060.0,2853.0,14566.0,17270.0,3846.0,1825.0,23824.0,5867.0,4907.0,8566.0,32390.0,32390.0,33220.0,33220.0,1015.0,122759.0,340.0,535.0,216.0,719.0,1284.0,2121.0,128904.0,5701.0,117423.0,1854.0,951.0,1359.0,121922.0
2010-03-06,2750.0,6271.0,693.0,678.0,952.0,4244.0,238.0,520.0,145.0,658.0,1425.0,707.0,2132.0,115.0,2663.0,5166.0,8716.0,9732.0,991.0,10974.0,5331.0,5851.0,563.0,54355.0,864.0,60881.0,51362.0,1019.0,584.0,53249.0,796.0,55295.0,87.0,1340.0,61464.0,62132.0,228.0,194.0,326.0,711.0,770.0,461.0,1853.0,227.0,730.0,373.0,1301.0,3590.0,5377.0,387.0,416.0,1233.0,232.0,1290.0,408.0,1080.0,1204.0,1996.0,1375.0,42.0,1919.0,1703.0,1469.0,1488.0,209.0,4367.0,2100.0,81.0,7802.0,70.0,131.0,113.0,180.0,44.0,2238.0,261.0,1208.0,261.0,944.0,482.0,119.0,392.0,152.0,441.0,53.0,1886.0,2666.0,14273.0,16763.0,3872.0,1584.0,23020.0,5617.0,4066.0,7753.0,30773.0,30773.0,31255.0,31255.0,882.0,113213.0,292.0,412.0,194.0,579.0,1024.0,1898.0,122151.0,5814.0,117542.0,1740.0,864.0,1297.0,121642.0
2010-03-07,2755.0,6055.0,711.0,703.0,1000.0,4223.0,243.0,524.0,144.0,666.0,1435.0,701.0,2135.0,129.0,2699.0,5152.0,8671.0,9684.0,999.0,11032.0,4498.0,4755.0,570.0,53347.0,823.0,58290.0,53580.0,1003.0,592.0,55034.0,803.0,56211.0,85.0,1338.0,60326.0,60238.0,234.0,193.0,326.0,720.0,775.0,431.0,1804.0,237.0,696.0,374.0,1290.0,3446.0,5056.0,387.0,415.0,1252.0,235.0,1301.0,407.0,1073.0,1196.0,1983.0,1392.0,42.0,1942.0,1721.0,1487.0,1499.0,208.0,4363.0,2113.0,74.0,7947.0,70.0,131.0,118.0,180.0,44.0,1659.0,285.0,1571.0,260.0,962.0,779.0,137.0,275.0,155.0,605.0,53.0,2071.0,2733.0,14544.0,16642.0,3952.0,1657.0,22564.0,5704.0,4460.0,7484.0,30048.0,30048.0,30400.0,30400.0,838.0,97219.0,302.0,395.0,225.0,456.0,1261.0,1852.0,104593.0,5849.0,117584.0,1699.0,820.0,1309.0,121472.0
2010-03-08,2762.0,5907.0,740.0,729.0,1036.0,4209.0,245.0,537.0,145.0,651.0,1414.0,717.0,2132.0,157.0,2733.0,5119.0,8659.0,9674.0,1029.0,11614.0,4397.0,4245.0,677.0,53088.0,834.0,57370.0,55000.0,975.0,599.0,56617.0,828.0,57955.0,83.0,1378.0,62121.0,62077.0,296.0,237.0,364.0,1029.0,863.0,506.0,1976.0,301.0,683.0,388.0,1291.0,3520.0,4870.0,387.0,413.0,1249.0,233.0,1307.0,406.0,1067.0,1190.0,1967.0,1407.0,42.0,1972.0,1746.0,1512.0,1520.0,205.0,4375.0,2126.0,72.0,8096.0,70.0,131.0,111.0,166.0,43.0,1539.0,263.0,1600.0,258.0,960.0,570.0,128.0,296.0,197.0,470.0,53.0,2040.0,2621.0,14725.0,16729.0,3991.0,1880.0,22999.0,6593.0,5270.0,8400.0,31399.0,31399.0,31766.0,31766.0,796.0,97632.0,307.0,402.0,385.0,423.0,1665.0,2019.0,103433.0,6251.0,117992.0,1704.0,971.0,1401.0,121821.0
2010-03-09,2777.0,5879.0,742.0,751.0,1048.0,4174.0,245.0,535.0,143.0,627.0,1383.0,737.0,2121.0,158.0,2746.0,5098.0,8149.0,9113.0,1059.0,11730.0,4708.0,4490.0,696.0,53378.0,915.0,57853.0,55000.0,978.0,610.0,56623.0,812.0,58008.0,84.0,1432.0,62182.0,62188.0,291.0,234.0,365.0,1114.0,888.0,523.0,2080.0,305.0,708.0,428.0,1351.0,3708.0,4925.0,386.0,413.0,1245.0,230.0,1297.0,404.0,1062.0,1184.0,1959.0,1420.0,42.0,1990.0,1764.0,1541.0,1546.0,205.0,4397.0,2140.0,73.0,8250.0,70.0,131.0,108.0,160.0,43.0,1742.0,291.0,1764.0,257.0,961.0,584.0,157.0,327.0,480.0,413.0,53.0,2061.0,2761.0,15094.0,17113.0,4017.0,2250.0,23992.0,6926.0,5238.0,8944.0,32936.0,32936.0,33523.0,33523.0,818.0,100521.0,339.0,473.0,457.0,425.0,2062.0,2464.0,106800.0,6678.0,118425.0,1764.0,1061.0,1433.0,122552.0
2010-03-10,2783.0,5794.0,715.0,757.0,1030.0,4087.0,243.0,521.0,140.0,603.0,1337.0,738.0,2075.0,129.0,2695.0,5025.0,7723.0,8636.0,1111.0,11873.0,4685.0,4646.0,559.0,53873.0,988.0,58510.0,56250.0,1022.0,645.0,57626.0,838.0,58765.0,102.0,1460.0,62523.0,62463.0,346.0,266.0,410.0,1418.0,990.0,596.0,2380.0,366.0,743.0,541.0,1565.0,4033.0,5401.0,385.0,411.0,1239.0,229.0,1286.0,402.0,1058.0,1179.0,1946.0,1435.0,42.0,1996.0,1767.0,1557.0,1563.0,203.0,4418.0,2165.0,76.0,8407.0,70.0,131.0,108.0,179.0,43.0,2558.0,321.0,1915.0,255.0,946.0,651.0,221.0,322.0,553.0,356.0,52.0,2090.0,2674.0,15478.0,17792.0,4007.0,2158.0,24616.0,6495.0,4306.0,8464.0,33080.0,33080.0,33578.0,33578.0,758.0,101731.0,323.0,467.0,388.0,478.0,2242.0,2911.0,108918.0,7505.0,118618.0,2228.0,1385.0,1749.0,123285.0
2010-03-11,2781.0,5588.0,692.0,749.0,999.0,3982.0,242.0,508.0,138.0,581.0,1287.0,733.0,2021.0,127.0,2641.0,4892.0,7593.0,8491.0,1166.0,12007.0,4897.0,4863.0,549.0,55288.0,1189.0,60108.0,60000.0,1176.0,709.0,61648.0,877.0,62891.0,120.0,1486.0,66413.0,66269.0,347.0,255.0,404.0,1397.0,984.0,622.0,2615.0,368.0,780.0,539.0,1680.0,4615.0,6039.0,383.0,404.0,1213.0,229.0,1255.0,400.0,1053.0,1173.0,1931.0,1452.0,42.0,1998.0,1767.0,1565.0,1568.0,200.0,4425.0,2196.0,77.0,8563.0,70.0,131.0,108.0,210.0,42.0,3113.0,346.0,1986.0,302.0,965.0,759.0,211.0,332.0,594.0,344.0,52.0,2053.0,2633.0,15663.0,18162.0,3971.0,2095.0,25136.0,5852.0,3854.0,7701.0,32836.0,32836.0,33596.0,33596.0,733.0,103661.0,314.0,450.0,341.0,479.0,2559.0,3268.0,110931.0,7852.0,115032.0,2287.0,1350.0,1846.0,120490.0
2010-03-12,2781.0,5402.0,676.0,735.0,971.0,3928.0,243.0,512.0,138.0,560.0,1256.0,728.0,1984.0,113.0,2582.0,4762.0,7541.0,8435.0,1161.0,11166.0,5235.0,5280.0,595.0,55533.0,1060.0,61155.0,60000.0,1293.0,720.0,61879.0,824.0,63288.0,120.0,1443.0,66968.0,66970.0,319.0,243.0,386.0,1050.0,887.0,568.0,2273.0,327.0,767.0,484.0,1482.0,4223.0,6327.0,382.0,403.0,1205.0,231.0,1236.0,399.0,1051.0,1170.0,1924.0,1480.0,42.0,1991.0,1754.0,1564.0,1567.0,199.0,4430.0,2227.0,76.0,8725.0,70.0,131.0,107.0,224.0,42.0,2958.0,317.0,1987.0,435.0,1052.0,632.0,194.0,251.0,501.0,382.0,52.0,2008.0,2812.0,15998.0,18399.0,3936.0,1928.0,25240.0,5443.0,4062.0,7184.0,32424.0,32424.0,33202.0,33202.0,717.0,107120.0,285.0,412.0,295.0,454.0,2332.0,3415.0,115043.0,7423.0,118615.0,2082.0,1278.0,1702.0,123755.0
2010-03-13,2765.0,5209.0,661.0,712.0,945.0,3889.0,248.0,524.0,139.0,541.0,1243.0,722.0,1965.0,105.0,2542.0,4670.0,7505.0,8398.0,1165.0,10850.0,5356.0,5423.0,599.0,54774.0,989.0,60558.0,60000.0,1402.0,711.0,62001.0,817.0,63407.0,114.0,1395.0,66875.0,66879.0,312.0,257.0,401.0,1017.0,875.0,530.0,2116.0,307.0,744.0,457.0,1386.0,3755.0,5983.0,381.0,402.0,1200.0,232.0,1222.0,397.0,1051.0,1169.0,1915.0,1512.0,42.0,2004.0,1759.0,1563.0,1561.0,200.0,4428.0,2258.0,76.0,8896.0,69.0,130.0,107.0,223.0,42.0,2591.0,307.0,1988.0,570.0,1187.0,475.0,183.0,216.0,355.0,388.0,52.0,2020.0,2959.0,16350.0,18582.0,3916.0,1830.0,25206.0,5138.0,4192.0,6876.0,32082.0,32082.0,32829.0,32829.0,697.0,106837.0,274.0,387.0,264.0,414.0,1941.0,3121.0,115097.0,6958.0,118364.0,1956.0,1279.0,1622.0,123489.0
