, KOOTENAI - LIBBY DAM, KOOTENAI - AT LEONIA, NF FLATHEAD - NEAR COLUMBIA FALLS, MF FLATHEAD - NEAR WEST GLACIER, SF FLATHEAD - HUNGRY HORSE DAM, FLATHEAD - AT COLUMBIA FALLS, CLARK FORK - AT DEER LODGE, CLARK FORK - NR DRUMMOND, ROCK CREEK - NEAR CLINTON, BLACKFOOT - NEAR BONNER, CLARK FORK - ABOVE MISSOULA, BITTERROOT - NEAR MISSOULA, CLARK FORK - BELOW MISSOULA, ST. REGIS - NEAR ST. REGIS, CLARK FORK - AT ST REGIS, FLATHEAD - KERR DAM, CLARK FORK - NOXON RAPIDS DAM, CLARK FORK - CABINET GORGE DAM, PRIEST - NEAR PRIEST RIVER, PEND OREILLE - ALBENI FALLS DAM, COEUR D ALENE - NEAR POTLATCH, SPOKANE - AT SPOKANE, SPOKANE - AT LONGLAKE, ST MARIES - NEAR SANTA, COLUMBIA - AT INTL BOUNDARY, KETTLE - AT LAURIER, COLUMBIA - GRAND COULEE DAM, COLUMBIA - CHIEF JOSEPH DAM, OKANOGAN - NEAR TONASKET, METHOW - NEAR PATEROS, COLUMBIA - WELLS DAM, CHELAN - LAKE CHELAN DAM, COLUMBIA - ROCKY REACH DAM, ENTIAT - NEAR ARDENVOIR, WENATCHEE - AT PESHASTIN, COLUMBIA - WANAPUM DAM, COLUMBIA - PRIEST RAPIDS DAM, YAKIMA - KEECHELUS LAKE, KACHESS - KACHESS DAM, YAKIMA - AT EASTON, CLE ELUM - CLE ELUM LAKE, TEANAWAY - BELOW FORKS, YAKIMA - AT UMTANUM, BUMPING - BUMPING LAKE DAM, NACHES - NEAR CLIFFDEL, TIETON - RIMROCK LAKE NEAR RIMROCK, NACHES - NEAR NACHES, YAKIMA - NEAR PARKER, YAKIMA - AT KIONA, HENRYS FORK - ISLAND PARK DAM, FALLS - NEAR CHESTER, HENRY'S FORK - AT ST. ANTHONY, TETON - NEAR ST. ANTHONY, HENRYS FORK - AT REXBURG, SNAKE - JACKSON LAKE AT DAM, SNAKE - NEAR JACKSON, SNAKE - NEAR ALPINE, SF SNAKE - PALISADES DAM, SNAKE - NEAR HEISE, WILLOW CREEK - RIRIE DAM, SNAKE - AB EAGLE ROCK NR IDAHO FALLS, SNAKE - NEAR SHELLEY, SNAKE - AT BLACKFOOT, SNAKE - NEAR BLACKFOOT, PORTNEUF - AT POCATELLO, SNAKE - AMERICAN FALLS RESERVOIR, SNAKE - AT MILNER, BRUNEAU - NEAR HOT SPRINGS, SNAKE - BELOW SWAN FALLS, BIG LOST - NEAR POTLATCH, BIG LOST - MACKAY RESERVOIR NEAR MACKAY, BIG WOOD - AT HAILEY, BIG WOOD - MAGIC DAM, LITTLE WOOD - LITTLE WOOD DAM, OWYHEE - BELOW OWYHEE DAM, SF BOISE - ANDERSON RANCH DAM, BOISE - LUCKY PEAK DAM, BOISE - AT GLENWOOD BRIDGE, BOISE - NEAR PARMA, MALHEUR - WARM SPRINGS DAM, MALHEUR - AGENCY VALLEY DAM, BULLY CREEK - BULLY CREEK DAM, MALHEUR - NEAR VALE, NF PAYETTE - CASCADE DAM, DEADWOOD - NEAR LOWMAN, PAYETTE - NEAR EMMETT, WEISER - NEAR WEISER, SNAKE - AT WEISER, SNAKE - BROWNLEE DAM, SALMON - AT WHITEBIRD, GRANDE RONDE - TROY, SNAKE - NEAR ANATONE, CLEARWATER - AT OROFINO, CLEARWATER - DWORSHAK DAM, CLEARWATER - AT SPALDING, SNAKE - LOWER GRANITE DAM, SNAKE - LITTLE GOOSE DAM, SNAKE - LOWER MONUMENTAL DAM, SNAKE - ICE HARBOR DAM, WALLA WALLA - NEAR TOUCHET, COLUMBIA - MCNARY DAM, UMATILLA - NEAR GIBBON, UMATILLA - AT PENDLETON, MCKAY CREEK - NEAR PILOT ROCK, UMATILLA - NEAR UMATILLA, NF JOHN DAY - AT MONUMENT, JOHN DAY - AT SERVICE CK, COLUMBIA - JOHN DAY DAM, DESCHUTES - AT MOODY NR BIGGS, COLUMBIA - THE DALLES DAM, KLICKITAT - NEAR PITT, HOOD - NEAR TUCKER BRIDGE, WHITE SALMON - NEAR UNDERWOOD, COLUMBIA - BONNEVILLE DAM
2011-02-08,3475.0,19590.0,1122.0,962.0,1718.0,9725.0,240.0,730.0,220.0,740.0,1725.0,1248.0,2970.0,342.0,3932.0,11020.0,19368.0,21532.0,1060.0,23288.0,6112.0,11155.0,12492.0,298.0,95745.0,530.0,109192.0,129690.0,1425.0,735.0,130718.0,1685.0,131938.0,232.0,3468.0,134530.0,134705.0,1088.0,885.0,928.0,1845.0,960.0,3365.0,358.0,1540.0,642.0,2985.0,6112.0,6972.0,400.0,400.0,1240.0,360.0,1562.0,470.0,1365.0,1662.0,2598.0,2515.0,60.0,3310.0,3590.0,3285.0,3355.0,210.0,4870.0,4558.0,230.0,11932.0,80.0,145.0,150.0,145.0,70.0,1198.0,332.0,735.0,260.0,970.0,268.0,142.0,50.0,320.0,372.0,72.0,1358.0,572.0,15098.0,17368.0,4665.0,2915.0,28770.0,6620.0,4345.0,19180.0,47950.0,47950.0,48872.0,48872.0,1122.0,177852.0,290.0,650.0,348.0,1312.0,2898.0,3852.0,170035.0,7535.0,172125.0,2000.0,2138.0,1400.0,174322.0
2011-02-09,3455.0,20045.0,1102.0,940.0,1655.0,11395.0,240.0,778.0,220.0,682.0,1722.0,1200.0,2922.0,332.0,3788.0,12970.0,19415.0,21502.0,1042.0,21892.0,6050.0,10388.0,11765.0,288.0,97242.0,525.0,109900.0,135158.0,1480.0,772.0,137550.0,1500.0,140088.0,215.0,3385.0,143135.0,142982.0,758.0,615.0,725.0,1335.0,732.0,3260.0,308.0,1475.0,570.0,2860.0,6340.0,7210.0,398.0,400.0,1230.0,360.0,1555.0,470.0,1345.0,1565.0,2485.0,2510.0,60.0,3300.0,3558.0,3252.0,3318.0,220.0,4878.0,4568.0,230.0,11922.0,80.0,140.0,150.0,140.0,65.0,1190.0,330.0,825.0,260.0,950.0,268.0,135.0,45.0,320.0,330.0,70.0,1332.0,550.0,15832.0,18255.0,4442.0,2810.0,34232.0,7040.0,4505.0,20270.0,54502.0,54502.0,56048.0,56048.0,1325.0,201295.0,282.0,708.0,300.0,1542.0,2890.0,4140.0,205042.0,8168.0,208588.0,1940.0,2195.0,1368.0,212270.0
2011-02-10,3435.0,20182.0,1082.0,915.0,1595.0,11358.0,240.0,735.0,220.0,675.0,1725.0,1155.0,2885.0,320.0,3708.0,13768.0,19978.0,22132.0,1028.0,22098.0,5895.0,9730.0,11042.0,280.0,97230.0,518.0,109212.0,135000.0,1470.0,770.0,137442.0,1255.0,140045.0,190.0,2890.0,143008.0,143030.0,562.0,440.0,562.0,952.0,535.0,2668.0,265.0,1302.0,500.0,2482.0,5630.0,7228.0,390.0,400.0,1222.0,360.0,1548.0,470.0,1330.0,1530.0,2410.0,2510.0,60.0,3290.0,3528.0,3220.0,3288.0,220.0,4895.0,4578.0,225.0,11948.0,80.0,140.0,150.0,140.0,60.0,1178.0,330.0,925.0,255.0,935.0,242.0,130.0,48.0,310.0,318.0,70.0,1295.0,475.0,15615.0,17942.0,4248.0,2690.0,33698.0,6612.0,3888.0,19302.0,53000.0,53000.0,54158.0,54158.0,1260.0,206928.0,202.0,528.0,252.0,1388.0,2552.0,3728.0,217525.0,8052.0,221718.0,1815.0,1912.0,1312.0,226775.0
2011-02-11,3410.0,20302.0,1065.0,890.0,1540.0,11325.0,235.0,695.0,220.0,668.0,1675.0,1115.0,2792.0,310.0,3628.0,13692.0,20050.0,22225.0,1015.0,22170.0,5480.0,9190.0,10398.0,275.0,96940.0,510.0,108282.0,135000.0,1400.0,735.0,137388.0,1175.0,139985.0,175.0,2592.0,142618.0,142632.0,488.0,385.0,480.0,805.0,458.0,2252.0,240.0,1172.0,445.0,2238.0,4958.0,6680.0,390.0,400.0,1218.0,360.0,1535.0,470.0,1312.0,1510.0,2388.0,2510.0,60.0,3280.0,3495.0,3190.0,3260.0,220.0,4915.0,4588.0,215.0,11955.0,80.0,140.0,150.0,130.0,60.0,1110.0,325.0,1020.0,250.0,922.0,218.0,122.0,45.0,310.0,310.0,70.0,1260.0,428.0,15522.0,17592.0,4175.0,2625.0,33268.0,6100.0,3455.0,18345.0,51612.0,51612.0,52735.0,52735.0,1122.0,204248.0,162.0,368.0,242.0,1022.0,2230.0,3252.0,214668.0,7798.0,218828.0,1732.0,1712.0,1245.0,224050.0
2011-02-12,3392.0,19860.0,1045.0,870.0,1488.0,11295.0,230.0,675.0,220.0,660.0,1635.0,1075.0,2710.0,302.0,3522.0,13595.0,20088.0,22270.0,1002.0,22110.0,5115.0,8682.0,9855.0,270.0,96912.0,500.0,107388.0,129375.0,1310.0,695.0,132710.0,1140.0,136370.0,168.0,2460.0,140068.0,140378.0,440.0,352.0,438.0,718.0,422.0,2022.0,218.0,1080.0,408.0,2048.0,4492.0,6015.0,390.0,392.0,1210.0,360.0,1522.0,470.0,1295.0,1490.0,2362.0,2510.0,60.0,3270.0,3460.0,3155.0,3230.0,220.0,4932.0,4598.0,210.0,11965.0,80.0,140.0,150.0,130.0,60.0,1085.0,320.0,1048.0,250.0,920.0,238.0,122.0,58.0,305.0,300.0,70.0,1240.0,400.0,15430.0,17262.0,4115.0,2620.0,33135.0,5732.0,3202.0,17828.0,50958.0,50958.0,51705.0,51705.0,1038.0,201845.0,158.0,320.0,318.0,768.0,2100.0,3095.0,211655.0,7672.0,215645.0,1670.0,1582.0,1200.0,220488.0
2011-02-13,3375.0,14352.0,1025.0,850.0,1435.0,11268.0,235.0,720.0,220.0,652.0,1618.0,1040.0,2662.0,292.0,3432.0,13532.0,20612.0,22852.0,998.0,23730.0,5880.0,8232.0,9460.0,295.0,95795.0,492.0,106658.0,112500.0,1242.0,660.0,116060.0,1120.0,120248.0,160.0,2402.0,124945.0,125678.0,465.0,362.0,478.0,722.0,485.0,1950.0,210.0,1018.0,458.0,1922.0,4202.0,5492.0,390.0,390.0,1200.0,350.0,1512.0,470.0,1275.0,1470.0,2338.0,2510.0,60.0,3258.0,3425.0,3125.0,3198.0,220.0,4950.0,4600.0,202.0,11978.0,80.0,140.0,150.0,130.0,60.0,1128.0,320.0,1062.0,250.0,938.0,340.0,150.0,82.0,300.0,292.0,70.0,1222.0,445.0,15400.0,17060.0,4060.0,2620.0,33098.0,5642.0,3442.0,18148.0,51242.0,51242.0,52112.0,52112.0,1150.0,193695.0,250.0,612.0,420.0,750.0,2415.0,3418.0,205002.0,7880.0,209455.0,1688.0,1758.0,1315.0,214672.0
2011-02-14,3360.0,14260.0,1010.0,832.0,1388.0,10162.0,240.0,850.0,220.0,648.0,1678.0,1008.0,2688.0,290.0,3398.0,13448.0,20700.0,22960.0,1022.0,24530.0,7348.0,8008.0,9565.0,378.0,91958.0,488.0,102760.0,113125.0,1180.0,632.0,112675.0,1100.0,112982.0,158.0,2480.0,113558.0,113298.0,490.0,362.0,490.0,675.0,592.0,2082.0,205.0,960.0,405.0,1885.0,4225.0,5172.0,390.0,390.0,1195.0,350.0,1502.0,470.0,1260.0,1450.0,2312.0,2510.0,60.0,3248.0,3390.0,3092.0,3165.0,228.0,4975.0,4600.0,200.0,11988.0,80.0,140.0,150.0,135.0,60.0,1335.0,325.0,1090.0,250.0,988.0,488.0,180.0,128.0,320.0,288.0,70.0,1240.0,742.0,15755.0,17268.0,4008.0,3115.0,34258.0,7382.0,5120.0,20708.0,54965.0,54965.0,56180.0,56180.0,1712.0,179518.0,440.0,1320.0,520.0,1428.0,3438.0,4432.0,191862.0,8542.0,197048.0,1948.0,2042.0,1600.0,203152.0
2011-02-15,3340.0,14792.0,992.0,815.0,1345.0,8505.0,240.0,978.0,220.0,640.0,1835.0,975.0,2808.0,285.0,3448.0,11798.0,20732.0,23005.0,1030.0,23710.0,7495.0,7952.0,9440.0,345.0,91680.0,480.0,101705.0,135000.0,1130.0,605.0,136928.0,1080.0,139090.0,150.0,2428.0,139975.0,139225.0,402.0,308.0,432.0,575.0,470.0,2055.0,185.0,890.0,372.0,1728.0,4210.0,5102.0,390.0,390.0,1190.0,350.0,1492.0,470.0,1242.0,1432.0,2290.0,2510.0,52.0,3235.0,3355.0,3055.0,3135.0,230.0,5005.0,4600.0,195.0,11995.0,80.0,140.0,150.0,152.0,60.0,1532.0,328.0,1120.0,250.0,968.0,578.0,195.0,122.0,430.0,280.0,70.0,1302.0,828.0,16395.0,18012.0,3960.0,3055.0,34785.0,8698.0,5532.0,22400.0,57185.0,57185.0,58300.0,58300.0,1798.0,188460.0,372.0,1282.0,502.0,2058.0,3772.0,5408.0,196970.0,8610.0,200935.0,1902.0,1808.0,1460.0,204818.0
2011-02-16,3318.0,14790.0,975.0,800.0,1295.0,7765.0,248.0,948.0,220.0,632.0,1890.0,940.0,2828.0,280.0,3540.0,10708.0,20768.0,23048.0,1050.0,24392.0,7410.0,7895.0,9225.0,342.0,92050.0,482.0,101805.0,135000.0,1092.0,585.0,136840.0,1062.0,139420.0,150.0,2402.0,141808.0,141808.0,412.0,315.0,460.0,582.0,568.0,1982.0,185.0,830.0,438.0,1720.0,3975.0,5125.0,390.0,390.0,1180.0,350.0,1478.0,470.0,1235.0,1420.0,2272.0,2510.0,50.0,3225.0,3325.0,3025.0,3102.0,230.0,5030.0,4600.0,200.0,12005.0,80.0,140.0,150.0,162.0,60.0,1638.0,340.0,1122.0,250.0,980.0,550.0,198.0,198.0,590.0,272.0,70.0,1305.0,872.0,16692.0,18390.0,3915.0,3348.0,34130.0,8175.0,4958.0,21632.0,55762.0,55762.0,56838.0,56838.0,1615.0,205050.0,382.0,1330.0,580.0,1900.0,3652.0,5005.0,216852.0,9130.0,221790.0,2390.0,2098.0,1568.0,226120.0
2011-02-17,3302.0,14805.0,960.0,785.0,1255.0,6745.0,252.0,1178.0,220.0,630.0,1915.0,1000.0,2912.0,288.0,3578.0,9988.0,20865.0,23162.0,1085.0,24710.0,8208.0,7880.0,9362.0,462.0,92192.0,512.0,102212.0,135000.0,1070.0,570.0,136775.0,1045.0,138595.0,142.0,2665.0,141392.0,141430.0,478.0,352.0,520.0,615.0,780.0,2340.0,188.0,855.0,395.0,1820.0,4410.0,5165.0,390.0,390.0,1170.0,350.0,1462.0,462.0,1230.0,1415.0,2260.0,2510.0,50.0,3215.0,3285.0,2992.0,3070.0,230.0,5050.0,4610.0,200.0,12010.0,80.0,140.0,150.0,178.0,60.0,2380.0,425.0,1182.0,250.0,1155.0,882.0,300.0,588.0,1218.0,270.0,70.0,1338.0,1265.0,17540.0,19395.0,3875.0,6050.0,37760.0,9885.0,6475.0,24040.0,61800.0,61800.0,63932.0,63932.0,2302.0,208562.0,608.0,2372.0,910.0,2932.0,5855.0,6992.0,221082.0,10430.0,227355.0,3190.0,2495.0,1828.0,233222.0
