, KOOTENAI - LIBBY DAM, KOOTENAI - AT LEONIA, NF FLATHEAD - NEAR COLUMBIA FALLS, MF FLATHEAD - NEAR WEST GLACIER, SF FLATHEAD - HUNGRY HORSE DAM, FLATHEAD - AT COLUMBIA FALLS, CLARK FORK - AT DEER LODGE, CLARK FORK - NR DRUMMOND, ROCK CREEK - NEAR CLINTON, BLACKFOOT - NEAR BONNER, CLARK FORK - ABOVE MISSOULA, BITTERROOT - NEAR MISSOULA, CLARK FORK - BELOW MISSOULA, ST. REGIS - NEAR ST. REGIS, CLARK FORK - AT ST REGIS, FLATHEAD - KERR DAM, CLARK FORK - NOXON RAPIDS DAM, CLARK FORK - CABINET GORGE DAM, PRIEST - NEAR PRIEST RIVER, PEND OREILLE - ALBENI FALLS DAM, COEUR D ALENE - COEUR D ALENE LAKE, SPOKANE - AT SPOKANE, SPOKANE - AT LONGLAKE, ST MARIES - NEAR SANTA, COLUMBIA - AT INTL BOUNDARY, KETTLE - AT LAURIER, COLUMBIA - GRAND COULEE DAM, COLUMBIA - CHIEF JOSEPH DAM, OKANOGAN - NEAR TONASKET, METHOW - NEAR PATEROS, COLUMBIA - WELLS DAM, CHELAN - LAKE CHELAN DAM, COLUMBIA - ROCKY REACH DAM, ENTIAT - NEAR ARDENVOIR, WENATCHEE - AT PESHASTIN, COLUMBIA - WANAPUM DAM, COLUMBIA - PRIEST RAPIDS DAM, YAKIMA - KEECHELUS LAKE, KACHESS - KACHESS DAM, YAKIMA - AT EASTON, CLE ELUM - CLE ELUM LAKE, TEANAWAY - BELOW FORKS, YAKIMA - AT UMTANUM, BUMPING - BUMPING LAKE DAM, NACHES - NEAR CLIFFDEL, TIETON - RIMROCK LAKE NEAR RIMROCK, NACHES - NEAR NACHES, YAKIMA - NEAR PARKER, YAKIMA - AT KIONA, HENRYS FORK - ISLAND PARK DAM, FALL RIVER - NEAR CHESTER, HENRYS FORK - AT ST. ANTHONY, TETON - NEAR ST. ANTHONY, HENRYS FORK - AT REXBURG, SNAKE - JACKSON LAKE AT DAM, SNAKE - NEAR JACKSON, SNAKE - NEAR ALPINE, SF SNAKE - PALISADES DAM, SNAKE - NEAR HEISE, WILLOW CREEK - RIRIE DAM, SNAKE - AB EAGLE ROCK NR IDAHO FALLS, SNAKE - NEAR SHELLEY, SNAKE - AT BLACKFOOT, SNAKE - NEAR BLACKFOOT, PORTNEUF - AT POCATELLO, SNAKE - AMERICAN FALLS RESERVOIR, SNAKE - AT MILNER, BRUNEAU - NEAR HOT SPRINGS, SNAKE - BELOW SWAN FALLS, BIG LOST - AT HOWELL RANCH NEAR CHILLY, BIG LOST - MACKAY RESERVOIR NEAR MACKAY, BIG WOOD - AT HAILEY, BIG WOOD - MAGIC DAM, LITTLE WOOD - LITTLE WOOD DAM, OWYHEE - OWYHEE DAM, SF BOISE - ANDERSON RANCH DAM, BOISE - LUCKY PEAK DAM, BOISE - AT GLENWOOD BRIDGE, BOISE - NEAR PARMA, MALHEUR - WARM SPRINGS DAM, MALHEUR - AGENCY VALLEY DAM, BULLY CREEK - BULLY CREEK DAM, MALHEUR - NEAR VALE, NF PAYETTE - CASCADE DAM, DEADWOOD - NEAR LOWMAN, PAYETTE - NEAR EMMETT, WEISER - NEAR WEISER, SNAKE - AT WEISER, SNAKE - BROWNLEE DAM, SALMON - AT WHITEBIRD, GRANDE RONDE - TROY, SNAKE - NEAR ANATONE, CLEARWATER - AT OROFINO, NF CLEARWATER - DWORSHAK DAM, CLEARWATER - AT SPALDING, SNAKE - LOWER GRANITE DAM, SNAKE - LITTLE GOOSE DAM, SNAKE - LOWER MONUMENTAL DAM, SNAKE - ICE HARBOR DAM, WALLA WALLA - NEAR TOUCHET, COLUMBIA - MCNARY DAM, UMATILLA - NEAR GIBBON, UMATILLA - AT PENDLETON, MCKAY CREEK - NEAR PILOT ROCK, UMATILLA - NEAR UMATILLA, NF JOHN DAY - AT MONUMENT, JOHN DAY - AT SERVICE CK, COLUMBIA - JOHN DAY DAM, DESCHUTES - AT MOODY NR BIGGS, COLUMBIA - THE DALLES DAM, KLICKITAT - NEAR PITT, HOOD - NEAR TUCKER BRIDGE, WHITE SALMON - NEAR UNDERWOOD, COLUMBIA - BONNEVILLE DAM
2018-01-23, 3274, , , 644, , , , , 210, , , , , 160, 3644, , 14217, , 539, , , 10928, 12237, 608, 98296, , , , 1388, 555, 125280, , 127757, , 1259, 131272, 131395, , , , , 300, 1809, , , 370, 1384, 3435, , , , , 414, 2241, , , , 3208, , 60, 5173, 5332, 4891, , 283, , 7189, , 14169, , 199, , 192, 79, 349, , 1070, , 932, 116, , , 85, , , , 940, 18048, , 5844, 3149, , 7350, , 12884, , , , , 1529, 189311, , 1089, 276, 1162, 799, 1231, , 6509, 201023, 2154, , 1543, 
2018-01-24, 3273, , , 629, , , , , 210, , , , , 154, 3538, , 13955, , 559, , , 10456, 11908, 650, 105839, , , , 1364, 543, 121934, , 124653, , 1202, 126094, 126205, , , , , 284, 1780, , , 503, 1263, 3239, , , , , 411, 2210, , , , 3210, , 60, 5135, 5278, 4807, , 280, , 7189, , 13976, , 199, , 187, 78, 343, , 1058, , 938, 115, , , 85, , , , 1040, 18156, , 5773, 3031, , 7242, , 12670, , , , , 1416, 182303, , 970, 308, 966, 824, 1192, , 6804, 194502, 3197, , 1650, 
2018-01-25, 3273, , , 615, , , , , 208, , , , , 174, 3449, , 13813, , 735, , , 10048, 13413, 1500, 105958, , , , 1354, 532, 121899, , 124532, , 1164, 125710, 125715, , , , , 438, 1818, , , 654, 1220, 3196, , , , , 406, 2179, , , , 3187, , 60, 5109, 5235, 4769, , 279, , 7189, , 13986, , 197, , 183, 77, 492, , 1126, , 951, 138, , , 85, , , , 2168, 18782, , 5724, 3715, , 8021, , 15198, , , , , 2055, 179509, , 1725, 485, 1193, 1348, 1476, , 7953, 190685, 3980, , 2119, 
2018-01-26, 3273, , , 601, , , , , 207, , , , , 208, 3441, , 13808, , 752, , , 10299, 13637, 1809, 105948, , , , 1339, 522, 121877, , 124437, , 1145, 125599, 125604, , , , , 366, 1952, , , 454, 1167, 3359, , , , , 403, 2152, , , , 3170, , 60, 5086, 5197, 4742, , 277, , 7189, , 14035, , 196, , 187, 77, 1282, , 1207, , 970, 156, , , 85, , , , 2071, 19450, , 5709, 3996, , 8720, , 18596, , , , , 2234, 187764, , 1786, 370, 1871, 1305, 1949, , 8123, 199178, 2861, , 2045, 
2018-01-27, 3251, , , 589, , , , , 206, , , , , 180, 3403, , 13765, , 724, , , 10584, 12699, 1039, 106063, , , , 1354, 510, 118811, , 122013, , 1105, 123939, 124143, , , , , 285, 1767, , , 398, 1057, 3207, , , , , 396, 2127, , , , 3146, , 60, 5067, 5162, 4718, , 274, , 7189, , 14084, , 195, , 188, 76, 1559, , 1080, , 969, 134, , , 86, , , , 1291, 18754, , 5652, 3248, , 8534, , 17924, , , , , 1703, 188291, , 1181, 253, 1440, 901, 1618, , 7431, 201771, 2529, , 1854, 
2018-01-28, 3228, , , 576, , , , , 206, , , , , 160, 3351, , 13676, , 697, , , 10439, 12088, 706, 98949, , , , 1383, 500, 111853, , 114379, , 1069, 115909, 116131, , , , , 253, 1629, , , 424, 975, 2955, , , , , 392, 2101, , , , 3126, , 60, 5050, 5130, 4697, , 273, , 7189, , 14134, , 194, , 182, 75, 871, , 1048, , 971, 119, , , 86, , , , 1111, 18327, , 5560, 2884, , 7655, , 16074, , , , , 1627, 178635, , 1120, 340, 1013, 1035, 1339, , 7183, 192445, 3273, , 1935, 
2018-01-29, 3201, , , 565, , , , , 206, , , , , 186, 3334, , 13634, , 771, , , 9944, 12523, 993, 93960, , , , 1371, 491, 116435, , 117696, , 1154, 117616, 117313, , , , , 662, 1919, , , 729, 1062, 3063, , , , , 390, 2075, , , , 3110, , 60, 5031, 5096, 4677, , 272, , 7189, , 14184, , 192, , 179, 75, 579, , 1096, , 994, 118, , , 86, , , , 1419, 18576, , 5487, 3254, , 8090, , 17049, , , , , 2630, 171858, , 1627, 531, 1374, 1220, 1809, , 7735, 184054, 4374, , 2419, 
2018-01-30,3194.0,8837.0,917.0,551.0,928.0,3742.0,246.0,571.0,206.0,718.0,1531.0,1125.0,2664.0,284.0,3438.0,4932.0,13805.0,13429.0,940.0,18853.0,8920.0,9769.0,13695.0,1724.0,96110.0,452.0,117994.0,121541.0,1339.0,481.0,126854.0,1094.0,128954.0,158.0,1441.0,129715.0,129384.0,398.0,391.0,487.0,781.0,596.0,2529.0,320.0,871.0,568.0,1052.0,3894.0,4030.0,467.0,559.0,1874.0,386.0,2052.0,620.0,1688.0,2051.0,3094.0,4210.0,60.0,5015.0,5063.0,4656.0,5563.0,269.0,7224.0,7189.0,127.0,14234.0,107.0,192.0,206.0,180.0,75.0,679.0,347.0,1139.0,255.0,998.0,118.0,79.0,84.0,86.0,666.0,103.0,1850.0,1468.0,18887.0,19792.0,5447.0,3578.0,30585.0,9470.0,5370.0,19765.0,42943.0,42943.0,44788.0,44788.0,2357.0,183404.0,536.0,1346.0,393.0,1427.0,951.0,1590.0,197914.0,7669.0,192615.0,3613.0,2457.0,2474.0,208032.0
2018-01-31,3183.0,9662.0,917.0,542.0,1469.0,3963.0,252.0,638.0,206.0,718.0,1578.0,1696.0,3274.0,282.0,3513.0,5107.0,13946.0,14618.0,991.0,19485.0,12721.0,10193.0,13633.0,1594.0,98871.0,490.0,119296.0,119999.0,1330.0,473.0,126815.0,1607.0,129021.0,210.0,1291.0,130356.0,130368.0,452.0,476.0,595.0,802.0,414.0,2255.0,302.0,930.0,474.0,1003.0,3851.0,4407.0,466.0,560.0,1875.0,384.0,2102.0,617.0,1692.0,2057.0,3083.0,4205.0,60.0,5001.0,5034.0,4639.0,5522.0,268.0,7244.0,7189.0,134.0,14285.0,106.0,190.0,205.0,185.0,75.0,858.0,452.0,1218.0,255.0,1007.0,124.0,80.0,88.0,86.0,886.0,102.0,2245.0,1583.0,19259.0,20215.0,5449.0,4139.0,34531.0,10291.0,7794.0,20239.0,49268.0,49268.0,52152.0,52152.0,2233.0,194081.0,580.0,1414.0,344.0,1386.0,1013.0,1491.0,199610.0,7621.0,205184.0,2587.0,2462.0,2426.0,211461.0
2018-02-01,3195.0,10165.0,917.0,530.0,1233.0,4130.0,254.0,642.0,204.0,727.0,1642.0,1450.0,3092.0,212.0,3462.0,5289.0,13875.0,15237.0,986.0,18667.0,13392.0,10569.0,13593.0,1032.0,96866.0,482.0,119406.0,119999.0,1440.0,466.0,125279.0,978.0,127533.0,167.0,1167.0,129190.0,129315.0,343.0,361.0,470.0,573.0,326.0,1901.0,227.0,774.0,421.0,930.0,3455.0,4980.0,465.0,558.0,1863.0,381.0,2294.0,613.0,1678.0,2050.0,3069.0,4200.0,60.0,5132.0,5106.0,4647.0,5483.0,267.0,7221.0,5547.0,131.0,14336.0,105.0,189.0,203.0,186.0,75.0,904.0,409.0,1152.0,255.0,998.0,118.0,76.0,74.0,87.0,614.0,101.0,2306.0,1209.0,19131.0,20489.0,5410.0,3382.0,32134.0,9485.0,7720.0,18149.0,48759.0,48759.0,52689.0,52689.0,1893.0,193977.0,459.0,1091.0,252.0,1200.0,824.0,1447.0,204785.0,7438.0,206263.0,3008.0,1908.0,2117.0,216459.0
