, KOOTENAI - LIBBY DAM, KOOTENAI - AT LEONIA, NF FLATHEAD - NEAR COLUMBIA FALLS, MF FLATHEAD - NEAR WEST GLACIER, SF FLATHEAD - HUNGRY HORSE DAM, FLATHEAD - AT COLUMBIA FALLS, CLARK FORK - AT DEER LODGE, CLARK FORK - NR DRUMMOND, ROCK CREEK - NEAR CLINTON, BLACKFOOT - NEAR BONNER, CLARK FORK - ABOVE MISSOULA, BITTERROOT - NEAR MISSOULA, CLARK FORK - BELOW MISSOULA, ST. REGIS - NEAR ST. REGIS, CLARK FORK - AT ST REGIS, FLATHEAD - KERR DAM, CLARK FORK - NOXON RAPIDS DAM, CLARK FORK - CABINET GORGE DAM, PRIEST - NEAR PRIEST RIVER, PEND OREILLE - ALBENI FALLS DAM, COEUR D ALENE - COEUR D ALENE LAKE, SPOKANE - AT SPOKANE, SPOKANE - AT LONGLAKE, ST MARIES - NEAR SANTA, COLUMBIA - AT INTL BOUNDARY, KETTLE - AT LAURIER, COLUMBIA - GRAND COULEE DAM, COLUMBIA - CHIEF JOSEPH DAM, OKANOGAN - NEAR TONASKET, METHOW - NEAR PATEROS, COLUMBIA - WELLS DAM, CHELAN - LAKE CHELAN DAM, COLUMBIA - ROCKY REACH DAM, ENTIAT - NEAR ARDENVOIR, WENATCHEE - AT PESHASTIN, COLUMBIA - WANAPUM DAM, COLUMBIA - PRIEST RAPIDS DAM, YAKIMA - KEECHELUS LAKE, KACHESS - KACHESS DAM, YAKIMA - AT EASTON, CLE ELUM - CLE ELUM LAKE, TEANAWAY - BELOW FORKS, YAKIMA - AT UMTANUM, BUMPING - BUMPING LAKE DAM, NACHES - NEAR CLIFFDEL, TIETON - RIMROCK LAKE NEAR RIMROCK, NACHES - NEAR NACHES, YAKIMA - NEAR PARKER, YAKIMA - AT KIONA, HENRYS FORK - ISLAND PARK DAM, FALLS - NEAR CHESTER, HENRY'S FORK - AT ST. ANTHONY, TETON - NEAR ST. ANTHONY, HENRYS FORK - AT REXBURG, SNAKE - JACKSON LAKE AT DAM, SNAKE - NEAR JACKSON, SNAKE - NEAR ALPINE, SF SNAKE - PALISADES DAM, SNAKE - NEAR HEISE, WILLOW CREEK - RIRIE DAM, SNAKE - AB EAGLE ROCK NR IDAHO FALLS, SNAKE - NEAR SHELLEY, SNAKE - AT BLACKFOOT, SNAKE - NEAR BLACKFOOT, PORTNEUF - AT POCATELLO, SNAKE - AMERICAN FALLS RESERVOIR, SNAKE - AT MILNER, BRUNEAU - NEAR HOT SPRINGS, SNAKE - BELOW SWAN FALLS, BIG LOST - NEAR POTLATCH, BIG LOST - MACKAY RESERVOIR NEAR MACKAY, BIG WOOD - AT HAILEY, BIG WOOD - MAGIC DAM, LITTLE WOOD - LITTLE WOOD DAM, OWYHEE - BELOW OWYHEE DAM, SF BOISE - ANDERSON RANCH DAM, BOISE - LUCKY PEAK DAM, BOISE - AT GLENWOOD BRIDGE, BOISE - NEAR PARMA, MALHEUR - WARM SPRINGS DAM, MALHEUR - AGENCY VALLEY DAM, BULLY CREEK - BULLY CREEK DAM, MALHEUR - NEAR VALE, NF PAYETTE - CASCADE DAM, DEADWOOD - NEAR LOWMAN, PAYETTE - NEAR EMMETT, WEISER - NEAR WEISER, SNAKE - AT WEISER, SNAKE - BROWNLEE DAM, SALMON - AT WHITEBIRD, GRANDE RONDE - TROY, SNAKE - NEAR ANATONE, CLEARWATER - AT OROFINO, CLEARWATER - DWORSHAK DAM, CLEARWATER - AT SPALDING, SNAKE - LOWER GRANITE DAM, SNAKE - LITTLE GOOSE DAM, SNAKE - LOWER MONUMENTAL DAM, SNAKE - ICE HARBOR DAM, WALLA WALLA - NEAR TOUCHET, COLUMBIA - MCNARY DAM, UMATILLA - NEAR GIBBON, UMATILLA - AT PENDLETON, MCKAY CREEK - NEAR PILOT ROCK, UMATILLA - NEAR UMATILLA, NF JOHN DAY - AT MONUMENT, JOHN DAY - AT SERVICE CK, COLUMBIA - JOHN DAY DAM, DESCHUTES - AT MOODY NR BIGGS, COLUMBIA - THE DALLES DAM, KLICKITAT - NEAR PITT, HOOD - NEAR TUCKER BRIDGE, WHITE SALMON - NEAR UNDERWOOD, COLUMBIA - BONNEVILLE DAM
2011-02-15,3415.0,17118.0,955.0,880.0,1205.0,7600.0,235.0,970.0,195.0,872.0,2260.0,1120.0,3255.0,328.0,3928.0,11405.0,20440.0,22710.0,1070.0,26492.0,7445.0,8390.0,9605.0,510.0,101080.0,498.0,112488.0,146575.0,1160.0,685.0,148505.0,1765.0,149832.0,202.0,2755.0,154558.0,154470.0,320.0,350.0,528.0,930.0,688.0,2255.0,262.0,972.0,578.0,2082.0,4487.0,5700.0,390.0,390.0,1200.0,360.0,1500.0,470.0,1322.0,1615.0,2500.0,2520.0,60.0,3235.0,3140.0,2830.0,2905.0,205.0,5108.0,4550.0,250.0,11915.0,80.0,150.0,160.0,142.0,75.0,3830.0,515.0,1040.0,250.0,922.0,360.0,155.0,92.0,240.0,800.0,82.0,1448.0,510.0,14252.0,15965.0,4350.0,2495.0,31492.0,5915.0,5638.0,18828.0,50318.0,50318.0,51252.0,51252.0,1137.0,209270.0,353.0,1113.0,427.0,1173.0,2297.0,2803.0,209243.0,7227.0,210993.0,2103.0,1957.0,1467.0,211920.0
2011-02-16,3460.0,17748.0,1028.0,1008.0,2260.0,7938.0,265.0,1262.0,212.0,968.0,2372.0,1625.0,3905.0,505.0,4358.0,11440.0,21452.0,23798.0,1205.0,27945.0,13235.0,8420.0,10410.0,1178.0,98278.0,522.0,109825.0,148508.0,1148.0,722.0,150268.0,1895.0,151895.0,232.0,3012.0,154402.0,154300.0,325.0,372.0,590.0,1058.0,808.0,2555.0,265.0,1028.0,520.0,2272.0,4900.0,5932.0,390.0,390.0,1202.0,360.0,1500.0,470.0,1310.0,1588.0,2468.0,2520.0,60.0,3245.0,3140.0,2820.0,2900.0,215.0,5135.0,4550.0,260.0,11942.0,80.0,150.0,160.0,160.0,80.0,3615.0,545.0,1200.0,250.0,958.0,595.0,202.0,370.0,270.0,1438.0,85.0,2000.0,540.0,15428.0,16982.0,4598.0,3102.0,34870.0,7458.0,7905.0,22515.0,57385.0,57385.0,59735.0,59735.0,2240.0,220402.0,640.0,2140.0,612.0,2608.0,5400.0,5958.0,226492.0,9705.0,231598.0,2928.0,2618.0,1872.0,235865.0
2011-02-17,3490.0,18300.0,1068.0,1118.0,2222.0,8752.0,320.0,2172.0,238.0,1025.0,3128.0,2255.0,5312.0,515.0,5580.0,12135.0,22365.0,24825.0,1228.0,26570.0,14865.0,8558.0,10878.0,860.0,97198.0,525.0,109605.0,152352.0,1232.0,730.0,154102.0,1675.0,156165.0,202.0,2700.0,158380.0,158212.0,275.0,308.0,488.0,780.0,590.0,2518.0,240.0,938.0,458.0,2098.0,5038.0,6258.0,390.0,390.0,1192.0,360.0,1495.0,485.0,1360.0,1632.0,2478.0,2528.0,60.0,3250.0,3142.0,2830.0,2900.0,220.0,5198.0,4555.0,270.0,12000.0,80.0,150.0,160.0,180.0,80.0,3690.0,498.0,1520.0,260.0,1025.0,1248.0,308.0,470.0,875.0,830.0,80.0,2672.0,548.0,16752.0,19030.0,4888.0,3142.0,36670.0,10672.0,8340.0,25908.0,62578.0,62578.0,64442.0,64442.0,2550.0,228320.0,550.0,2070.0,525.0,3532.0,7010.0,9472.0,244768.0,9872.0,250300.0,2600.0,2302.0,1690.0,256475.0
2011-02-18,3472.0,18290.0,1028.0,1105.0,1835.0,8950.0,345.0,2162.0,208.0,1050.0,3702.0,1695.0,5358.0,445.0,6408.0,12332.0,22972.0,25510.0,1198.0,26190.0,12125.0,8530.0,10328.0,475.0,94430.0,520.0,105352.0,156175.0,1285.0,710.0,157975.0,1562.0,160090.0,182.0,2380.0,162038.0,161895.0,248.0,265.0,408.0,620.0,432.0,2140.0,215.0,850.0,405.0,1908.0,4535.0,6232.0,390.0,390.0,1185.0,352.0,1482.0,502.0,1348.0,1630.0,2530.0,2530.0,60.0,3248.0,3132.0,2830.0,2900.0,210.0,5255.0,4560.0,255.0,12018.0,80.0,150.0,160.0,178.0,80.0,3438.0,415.0,1445.0,260.0,965.0,800.0,212.0,332.0,895.0,472.0,80.0,2425.0,520.0,17852.0,20938.0,5210.0,2758.0,35502.0,10812.0,6382.0,25302.0,60802.0,60802.0,61898.0,61898.0,1968.0,228050.0,382.0,1312.0,402.0,2845.0,5922.0,8358.0,246415.0,8880.0,251548.0,2125.0,1855.0,1440.0,258122.0
2011-02-19, 3450, 17918, 1005, 1065, 1752, 8872, 328, 1620, 190, 1040, 3272, 1352, 4615, 395, 5942, 12155, 22815, 25350, 1165, 25915, 9175, 8502, 9970, 375, 97972, 510, 108242, 137020, 1255, 680, 143192, 1510, 149620, 170, 2228, 156308, 157372, 228, 238, 380, 538, 372, 1870, 198, 778, 370, 1762, 4048, 5778, 390, 388, 1175, 350, 1465, 482, 1305, 1565, 2452, 2530, 60, 3238, 3122, 2825, 2892, 208, 5255, 4560, 235, 12000, 80, 150, 160, 170, 80, 2418, 375, 1298, 260, 942, 470, 162, 225, 525, 405, 80, 1970, 505, 17400, 20695, 5292, 2428, 33908, 9382, 4982, 22965, 56872, 56872, 57660, 57660, 1492, 222760, 270, 872, 300, 1985, 4318, 6040, 238542, 8092, 243080, 1940, 1520, 1315, 249050
2011-02-20, 3425, 13752, 995, 1035, 1688, 8815, 320, 1282, 190, 1015, 2768, 1265, 4030, 360, 5188, 11912, 21865, 24310, 1135, 24852, 7422, 8478, 9798, 348, 96590, 502, 107940, 100000, 1200, 648, 102030, 1465, 105050, 162, 2142, 109895, 111205, 212, 215, 365, 475, 335, 1728, 182, 715, 340, 1642, 3738, 5255, 390, 380, 1162, 350, 1445, 478, 1280, 1525, 2395, 2530, 60, 3225, 3100, 2815, 2880, 200, 5245, 4560, 228, 11990, 80, 150, 160, 160, 80, 1718, 362, 1268, 260, 932, 350, 145, 178, 352, 388, 80, 1758, 492, 16698, 19398, 5220, 2268, 34195, 8078, 4165, 20948, 55145, 55145, 55835, 55835, 1222, 202635, 212, 672, 245, 1558, 3398, 4620, 219738, 7655, 224538, 1840, 1320, 1238, 231330
2011-02-21, 3405, 12720, 982, 998, 1625, 8760, 315, 1108, 190, 980, 2470, 1218, 3688, 335, 4678, 11708, 20948, 23290, 1110, 23855, 6410, 8448, 9725, 335, 92368, 498, 103592, 111085, 1155, 618, 110940, 1425, 111088, 160, 2075, 110820, 110240, 195, 198, 360, 422, 308, 1635, 168, 658, 315, 1538, 3512, 4860, 390, 380, 1150, 350, 1425, 470, 1265, 1498, 2358, 2530, 60, 3205, 3078, 2798, 2860, 200, 5232, 4562, 220, 11985, 80, 150, 160, 152, 80, 1565, 360, 1260, 260, 930, 352, 140, 192, 302, 375, 75, 1662, 500, 16340, 18412, 5105, 2170, 35532, 7148, 3692, 19575, 55110, 55110, 55760, 55760, 1072, 183370, 185, 575, 210, 1365, 3015, 4012, 195700, 7522, 199852, 1770, 1315, 1240, 205355
2011-02-22, 3380, 14818, 970, 965, 1568, 8708, 310, 1000, 180, 945, 2282, 1185, 3468, 315, 4362, 11518, 20268, 22545, 1085, 23025, 5752, 8420, 9748, 322, 92160, 490, 102338, 128822, 1115, 590, 130768, 1385, 132730, 158, 2015, 133565, 132968, 182, 182, 350, 375, 282, 1562, 155, 605, 295, 1448, 3332, 4572, 385, 380, 1145, 350, 1412, 470, 1252, 1470, 2325, 2530, 60, 3188, 3052, 2778, 2840, 200, 5220, 4570, 218, 11980, 80, 150, 160, 150, 80, 1525, 350, 1260, 270, 922, 385, 132, 418, 480, 362, 70, 1608, 500, 16242, 17918, 4990, 2098, 35832, 6475, 3392, 18660, 54490, 54490, 55122, 55122, 1005, 185895, 160, 518, 190, 1315, 3125, 4118, 195902, 7405, 199268, 1742, 1230, 1235, 203240
2011-02-23, 3360, 14652, 958, 935, 1510, 8655, 308, 930, 180, 915, 2158, 1145, 3302, 298, 4145, 11340, 19740, 21965, 1065, 22312, 5285, 8392, 9655, 312, 92902, 480, 103278, 127512, 1080, 570, 129392, 1345, 131670, 150, 1958, 133808, 133870, 168, 168, 348, 335, 260, 1500, 145, 565, 282, 1368, 3172, 4338, 380, 380, 1135, 350, 1398, 470, 1242, 1450, 2298, 2530, 60, 3178, 3032, 2765, 2820, 205, 5205, 4570, 210, 11980, 80, 148, 160, 140, 78, 1428, 350, 1252, 270, 910, 450, 132, 468, 928, 352, 70, 1568, 475, 16430, 17830, 4885, 2035, 35550, 5970, 3180, 17968, 53520, 53520, 54128, 54128, 1020, 189520, 135, 505, 175, 1225, 3220, 4160, 200308, 7318, 203708, 1692, 1130, 1178, 207668
2011-02-24, 3340, 14515, 948, 908, 1458, 8608, 300, 878, 180, 888, 2060, 1112, 3175, 285, 3972, 11168, 19295, 21475, 1045, 21755, 4895, 8380, 9570, 302, 92525, 475, 102870, 126975, 1048, 552, 128730, 1305, 130885, 150, 1900, 132855, 132878, 158, 155, 340, 305, 240, 1445, 135, 525, 268, 1298, 3038, 4138, 380, 375, 1122, 345, 1375, 470, 1240, 1435, 2275, 2530, 60, 3165, 3018, 2748, 2802, 210, 5200, 4570, 210, 11980, 80, 140, 160, 140, 70, 1365, 340, 1250, 270, 902, 448, 140, 302, 670, 342, 70, 1535, 468, 16640, 18022, 4785, 1975, 35335, 5572, 3020, 16750, 52082, 52082, 52680, 52680, 985, 189170, 120, 488, 162, 1178, 3272, 4198, 200285, 7320, 203795, 1645, 1050, 1128, 207790
