, KOOTENAI - LIBBY DAM, KOOTENAI - AT LEONIA, NF FLATHEAD - NEAR COLUMBIA FALLS, MF FLATHEAD - NEAR WEST GLACIER, SF FLATHEAD - HUNGRY HORSE DAM, FLATHEAD - AT COLUMBIA FALLS, CLARK FORK - AT DEER LODGE, CLARK FORK - NEAR DRUMMOND, ROCK CREEK - NEAR CLINTON, BLACKFOOT - NEAR BONNER, CLARK FORK - ABOVE MISSOULA, BITTERROOT - NEAR MISSOULA, CLARK FORK - BELOW MISSOULA, ST. REGIS - NEAR ST. REGIS, CLARK FORK - AT ST REGIS, FLATHEAD - KERR DAM, CLARK FORK - NOXON RAPIDS DAM, CLARK FORK - CABINET GORGE DAM, PRIEST - NEAR PRIEST RIVER, PEND OREILLE - ALBENI FALLS DAM, COEUR D'ALENE - COEUR D'ALENE LAKE, SPOKANE - AT SPOKANE, SPOKANE - AT LONGLAKE, ST MARIES - NEAR SANTA, COLUMBIA - AT INTERNATIONAL BOUNDRY, KETTLE - AT LAURIER, COLUMBIA - GRAND COULEE DAM, COLUMBIA - CHIEF JOSEPH DAM, OKANOGAN - NEAR TONASKET, METHOW - NEAR PATEROS, COLUMBIA - WELLS DAM, CHELAN - LAKE CHELAN DAM, COLUMBIA - ROCKY REACH DAM, ENTIAT - NEAR ARDENVOIR, WENATCHEE - AT PESHASTIN, COLUMBIA - WANAPUM DAM, COLUMBIA - PRIEST RAPIDS DAM, YAKIMA - KEECHELUS DAM, KACHESS - KACHESS DAM NEAR EASTON, YAKIMA - AT EASTON, CLE ELUM - CLE ELUM LAKE, TEANAWAY - BELOW FORKS, YAKIMA - AT UMTANUM, BUMPING - BUMPING LAKE DAM NEAR GOOSE PRAIRIE, NACHES - NEAR CLIFFDEL, TIETON - RIMROCK DAM, NACHES - NEAR NACHES, YAKIMA - NEAR PARKER, YAKIMA - AT KIONA, HENRY'S FORK - ISLAND PARK DAM, FALLS - NR CHESTER, HENRY'S FORK - AT ST. ANTHONY, TETON - NEAR ST. ANTHONY, HENRYS FORK - AT REXBURG, SNAKE - JACKSON LAKE AT DAM, SNAKE - NEAR JACKSON, SNAKE - NEAR ALPINE, SF SNAKE - PALISADES DAM, SNAKE - NEAR HEISE, WILLOW CREEK - RIRIE DAM, SNAKE - ABOVE EAGLE ROCK NEAR IDAHO FALLS, SNAKE - NEAR SHELLEY, SNAKE - AT BLACKFOOT, SNAKE - NEAR BLACKFOOT, PORTNEUF - AT POCATELLO, SNAKE - AMERICAN FALLS RESERVOIR, SNAKE - AT MILNER, BRUNEAU - NEAR HOT SPRINGS, SNAKE - BELOW SWAN FALLS, BIG LOST - AT HOWELL RANCH NEAR CHILLY, BIG LOST - AT MACKAY, BIG WOOD - AT HAILEY, BIG WOOD - MAGIC DAM, LITTLE WOOD - LITTLE WOOD DAM, OWYHEE - OWYHEE DAM, SF BOISE - ANDERSON RANCH DAM, BOISE - LUCKY PEAK DAM, BOISE - AT GLENWOOD BRIDGE, BOISE - NEAR PARMA, MALHEUR - WARM SPRINGS DAM, MALHEUR - AGENCY VALLEY DAM, BULLY CREEK - BULLY CR DAM, MALHEUR - NEAR VALE, NF PAYETTE - CASCADE DAM, DEADWOOD - DEADWOOD RESERVOIR, PAYETTE - NEAR EMMETT, WEISER - NR WEISER, SNAKE - AT WEISER, SNAKE - BROWNLEE DAM, SALMON - AT WHITEBIRD, GRANDE RONDE - AT TROY, SNAKE -  NEAR ANATONE, CLEARWATER - AT OROFINO, CLEARWATER - DWORSHAK DAM, CLEARWATER - AT SPALDING, SNAKE - LOWER GRANITE DAM, SNAKE - LITTLE GOOSE DAM, SNAKE - LOWER MONUMENTAL DAM, SNAKE - ICE HARBOR DAM, WALLA WALLA - NEAR TOUCHET, COLUMBIA - MCNARY DAM, UMATILLA - NEAR GIBBON, UMATILLA - AT PENDLETON, MCKAY CREEK - NEAR PILOTROCK, UMATILLA - NEAR UMATILLA, NF JOHN DAY - AT MONUMENT, JOHN DAY - AT SERVICE CK, COLUMBIA - JOHN DAY DAM, DESCHUTES - AT MOODY NR BIGGS, COLUMBIA - THE DALLES DAM, KLICKITAT - NEAR PITT, HOOD - AT TUCKER BRIDGE, WHITE SALMON - NEAR UNDERWOOD, COLUMBIA - BONNEVILLE DAM
2010-11-02,4518.0,6015.0,1235.0,1128.0,1600.0,3725.0,280.0,680.0,225.0,550.0,1660.0,912.0,2382.0,138.0,2905.0,4638.0,9560.0,10472.0,1825.0,15640.0,2325.0,2425.0,3080.0,148.0,59488.0,668.0,63122.0,85000.0,950.0,720.0,85215.0,6732.0,85802.0,405.0,2992.0,84280.0,82682.0,595.0,522.0,438.0,2300.0,438.0,1008.0,275.0,500.0,642.0,1112.0,1908.0,3275.0,418.0,620.0,1205.0,675.0,1500.0,462.0,1585.0,1985.0,3222.0,2865.0,50.0,3720.0,3982.0,3875.0,3595.0,178.0,6302.0,950.0,115.0,9970.0,110.0,190.0,210.0,192.0,60.0,285.0,292.0,1302.0,280.0,960.0,70.0,70.0,0.0,155.0,472.0,110.0,1352.0,200.0,12725.0,13925.0,5238.0,1118.0,15458.0,2668.0,2085.0,4328.0,19800.0,19800.0,19895.0,19895.0,190.0,85165.0,115.0,108.0,15.0,310.0,330.0,570.0,86588.0,6092.0,90568.0,975.0,995.0,920.0,106842.0
2010-11-03,5280.0,6868.0,1668.0,1592.0,2628.0,4620.0,282.0,680.0,232.0,550.0,1660.0,898.0,2372.0,125.0,2912.0,4998.0,9868.0,10805.0,1775.0,15165.0,4262.0,2800.0,3485.0,135.0,62952.0,1088.0,66745.0,85000.0,955.0,1098.0,87095.0,8332.0,90010.0,425.0,2918.0,93075.0,93098.0,420.0,382.0,312.0,1910.0,278.0,1392.0,162.0,492.0,318.0,1272.0,2785.0,3492.0,410.0,570.0,1090.0,680.0,1525.0,455.0,1558.0,1938.0,3142.0,2875.0,50.0,3650.0,3902.0,3698.0,3405.0,175.0,6160.0,950.0,110.0,9695.0,115.0,202.0,218.0,182.0,65.0,272.0,298.0,1300.0,280.0,960.0,70.0,70.0,0.0,150.0,370.0,118.0,1280.0,180.0,12295.0,13605.0,5390.0,1065.0,15520.0,2732.0,2455.0,4425.0,19942.0,19942.0,20032.0,20032.0,278.0,112418.0,145.0,115.0,20.0,320.0,345.0,615.0,112778.0,6445.0,116088.0,1060.0,990.0,1082.0,117700.0
2010-11-04,5392.0,7180.0,1440.0,1575.0,1828.0,4372.0,290.0,680.0,230.0,550.0,1660.0,888.0,2362.0,90.0,2850.0,5575.0,10070.0,11038.0,1715.0,12595.0,4028.0,2805.0,3560.0,85.0,61488.0,1038.0,67088.0,85000.0,1078.0,935.0,86992.0,3752.0,89775.0,268.0,1990.0,91895.0,91940.0,345.0,278.0,252.0,1152.0,98.0,1300.0,145.0,408.0,202.0,788.0,2612.0,3982.0,410.0,575.0,1072.0,668.0,1458.0,468.0,1550.0,1930.0,3108.0,2882.0,50.0,3500.0,3750.0,3592.0,3302.0,180.0,6020.0,950.0,110.0,9440.0,125.0,218.0,232.0,190.0,68.0,270.0,298.0,1300.0,280.0,950.0,70.0,70.0,2.0,150.0,328.0,120.0,1270.0,172.0,12015.0,13265.0,5555.0,928.0,15515.0,3140.0,1848.0,4750.0,20265.0,20265.0,20348.0,20348.0,242.0,116580.0,100.0,150.0,10.0,325.0,338.0,615.0,120070.0,6100.0,122292.0,978.0,612.0,835.0,125095.0
2010-11-05,4922.0,6880.0,1298.0,1592.0,1678.0,4185.0,290.0,680.0,230.0,542.0,1652.0,878.0,2352.0,90.0,2835.0,5282.0,10268.0,11255.0,1650.0,12572.0,3300.0,2792.0,3545.0,80.0,59060.0,1002.0,64270.0,85000.0,1158.0,848.0,86980.0,2028.0,89652.0,195.0,1750.0,91418.0,91425.0,308.0,245.0,262.0,968.0,70.0,1085.0,140.0,400.0,202.0,718.0,2165.0,3995.0,405.0,580.0,1062.0,665.0,1440.0,492.0,1548.0,1920.0,3100.0,2892.0,50.0,3500.0,3738.0,3518.0,3205.0,180.0,5905.0,950.0,105.0,9370.0,142.0,248.0,240.0,190.0,60.0,270.0,290.0,1300.0,275.0,950.0,70.0,70.0,8.0,150.0,310.0,120.0,1272.0,168.0,11652.0,12828.0,5725.0,885.0,15608.0,3332.0,1330.0,5052.0,20658.0,20658.0,20745.0,20745.0,168.0,116395.0,82.0,132.0,10.0,352.0,325.0,608.0,119950.0,5842.0,122025.0,942.0,512.0,740.0,124380.0
2010-11-06,4688.0,6512.0,1268.0,1620.0,1690.0,4162.0,292.0,680.0,230.0,540.0,1650.0,875.0,2348.0,105.0,2825.0,5058.0,10510.0,11525.0,1598.0,13278.0,2510.0,3758.0,4172.0,90.0,58405.0,965.0,63772.0,71000.0,1145.0,835.0,74775.0,1942.0,79285.0,165.0,1728.0,83438.0,84135.0,280.0,228.0,280.0,910.0,65.0,1012.0,138.0,400.0,222.0,718.0,1990.0,3665.0,400.0,585.0,1052.0,668.0,1440.0,515.0,1548.0,1912.0,3085.0,2900.0,50.0,3548.0,3780.0,3542.0,3215.0,185.0,5855.0,950.0,100.0,9325.0,150.0,265.0,240.0,190.0,60.0,270.0,285.0,1205.0,265.0,940.0,70.0,70.0,8.0,150.0,338.0,118.0,1282.0,160.0,11498.0,12555.0,5872.0,868.0,15752.0,3318.0,1192.0,5065.0,20815.0,20815.0,20898.0,20898.0,142.0,115118.0,72.0,108.0,12.0,348.0,322.0,600.0,119150.0,5768.0,121942.0,920.0,490.0,698.0,124105.0
2010-11-07,4598.0,6280.0,1258.0,1645.0,1722.0,4185.0,292.0,680.0,230.0,540.0,1642.0,870.0,2342.0,112.0,2840.0,4992.0,10615.0,11645.0,1558.0,14688.0,2688.0,4075.0,4722.0,110.0,59782.0,948.0,65055.0,57000.0,1120.0,815.0,59268.0,1925.0,62360.0,178.0,1935.0,65318.0,65778.0,302.0,255.0,310.0,958.0,105.0,1020.0,140.0,400.0,238.0,728.0,1972.0,3428.0,400.0,590.0,1055.0,668.0,1442.0,532.0,1560.0,1922.0,3088.0,2900.0,50.0,3598.0,3815.0,3595.0,3268.0,192.0,5885.0,950.0,102.0,9285.0,152.0,270.0,240.0,185.0,60.0,280.0,310.0,968.0,260.0,930.0,70.0,70.0,10.0,150.0,538.0,118.0,1312.0,162.0,11442.0,12440.0,6028.0,868.0,15885.0,3670.0,1632.0,5248.0,21135.0,21135.0,21218.0,21218.0,162.0,101442.0,98.0,92.0,28.0,320.0,325.0,608.0,107800.0,5820.0,121982.0,900.0,498.0,688.0,124088.0
2010-11-08,4535.0,6142.0,1222.0,1620.0,1642.0,4150.0,290.0,680.0,230.0,540.0,1640.0,868.0,2340.0,100.0,2822.0,4972.0,10582.0,11612.0,1520.0,14958.0,2905.0,4410.0,5105.0,108.0,61422.0,942.0,67348.0,66000.0,1110.0,782.0,66255.0,1820.0,67202.0,192.0,2078.0,67372.0,66895.0,322.0,280.0,348.0,905.0,210.0,1098.0,148.0,402.0,290.0,795.0,2038.0,3338.0,415.0,658.0,1145.0,728.0,1492.0,588.0,1655.0,2042.0,3405.0,2932.0,58.0,3668.0,3848.0,3640.0,3310.0,215.0,5938.0,950.0,122.0,9255.0,160.0,270.0,268.0,210.0,62.0,388.0,390.0,758.0,250.0,928.0,70.0,78.0,10.0,150.0,665.0,135.0,1500.0,178.0,11492.0,12422.0,6255.0,1010.0,16142.0,4248.0,1985.0,5892.0,22035.0,22035.0,22122.0,22122.0,222.0,89878.0,148.0,140.0,68.0,310.0,340.0,628.0,94095.0,5840.0,121988.0,885.0,578.0,755.0,124122.0
2010-11-09,4495.0,6025.0,1180.0,1580.0,1562.0,4080.0,290.0,678.0,230.0,530.0,1635.0,852.0,2320.0,95.0,2808.0,4900.0,10500.0,11528.0,1480.0,14635.0,2745.0,4282.0,5080.0,118.0,59260.0,905.0,66302.0,81000.0,1110.0,748.0,82905.0,1682.0,85260.0,168.0,1892.0,86115.0,85602.0,285.0,235.0,308.0,712.0,122.0,1208.0,128.0,395.0,215.0,740.0,2190.0,3355.0,420.0,642.0,1145.0,712.0,1610.0,625.0,1658.0,2048.0,3405.0,2950.0,50.0,3820.0,3942.0,3708.0,3368.0,228.0,5992.0,950.0,132.0,9230.0,152.0,268.0,258.0,232.0,55.0,450.0,298.0,455.0,250.0,930.0,70.0,80.0,10.0,150.0,395.0,118.0,1568.0,168.0,11700.0,12630.0,6455.0,1092.0,16598.0,3998.0,2370.0,5860.0,22455.0,22455.0,22545.0,22545.0,240.0,99622.0,135.0,195.0,62.0,332.0,345.0,655.0,100552.0,5832.0,119968.0,878.0,528.0,760.0,122878.0
2010-11-10,4455.0,5898.0,1148.0,1542.0,1492.0,4020.0,290.0,670.0,230.0,530.0,1628.0,822.0,2285.0,90.0,2772.0,4818.0,10438.0,11462.0,1428.0,13488.0,2460.0,3990.0,4832.0,102.0,58018.0,865.0,63912.0,81000.0,1100.0,720.0,82865.0,1620.0,85485.0,152.0,1778.0,87275.0,87282.0,262.0,212.0,292.0,590.0,82.0,1180.0,122.0,382.0,202.0,665.0,2152.0,3430.0,410.0,625.0,1105.0,682.0,1632.0,560.0,1595.0,1968.0,3208.0,2950.0,50.0,3985.0,4080.0,3845.0,3495.0,228.0,6090.0,950.0,118.0,9178.0,150.0,260.0,240.0,212.0,50.0,328.0,270.0,210.0,250.0,930.0,70.0,75.0,10.0,150.0,338.0,110.0,1438.0,155.0,11620.0,12642.0,6490.0,930.0,16648.0,3552.0,1878.0,5438.0,22085.0,22085.0,22172.0,22172.0,188.0,112542.0,98.0,175.0,25.0,392.0,328.0,638.0,115495.0,5732.0,119012.0,865.0,452.0,718.0,120582.0
2010-11-11,4425.0,5752.0,1122.0,1488.0,1440.0,3950.0,285.0,670.0,230.0,530.0,1620.0,800.0,2260.0,100.0,2742.0,4725.0,10360.0,11378.0,1378.0,13838.0,2200.0,3672.0,4492.0,108.0,57740.0,842.0,63362.0,81000.0,1088.0,710.0,82838.0,1860.0,85455.0,165.0,2180.0,87540.0,87515.0,278.0,225.0,320.0,602.0,138.0,1142.0,135.0,382.0,265.0,695.0,2065.0,3422.0,400.0,615.0,1072.0,665.0,1588.0,532.0,1560.0,1922.0,3108.0,2950.0,50.0,4032.0,4110.0,3948.0,3608.0,220.0,6215.0,950.0,110.0,9125.0,142.0,258.0,235.0,200.0,50.0,270.0,270.0,160.0,250.0,925.0,70.0,70.0,10.0,140.0,330.0,110.0,1370.0,150.0,11445.0,12445.0,6378.0,870.0,16485.0,3130.0,1448.0,4982.0,21465.0,21465.0,21550.0,21550.0,152.0,112652.0,82.0,138.0,20.0,385.0,315.0,615.0,116468.0,5668.0,120278.0,850.0,495.0,718.0,122340.0
