, KOOTENAI - LIBBY DAM, KOOTENAI - AT LEONIA, NF FLATHEAD - NEAR COLUMBIA FALLS, MF FLATHEAD - NEAR WEST GLACIER, SF FLATHEAD - HUNGRY HORSE DAM, FLATHEAD - AT COLUMBIA FALLS, CLARK FORK - AT DEER LODGE, CLARK FORK - NR DRUMMOND, ROCK CREEK - NEAR CLINTON, BLACKFOOT - NEAR BONNER, CLARK FORK - ABOVE MISSOULA, BITTERROOT - NEAR MISSOULA, CLARK FORK - BELOW MISSOULA, ST. REGIS - NEAR ST. REGIS, CLARK FORK - AT ST REGIS, FLATHEAD - KERR DAM, CLARK FORK - NOXON RAPIDS DAM, CLARK FORK - CABINET GORGE DAM, PRIEST - NEAR PRIEST RIVER, PEND OREILLE - ALBENI FALLS DAM, COEUR D ALENE - COEUR D ALENE LAKE, SPOKANE - AT SPOKANE, SPOKANE - AT LONGLAKE, ST MARIES - NEAR SANTA, COLUMBIA - AT INTL BOUNDARY, KETTLE - AT LAURIER, COLUMBIA - GRAND COULEE DAM, COLUMBIA - CHIEF JOSEPH DAM, OKANOGAN - NEAR TONASKET, METHOW - NEAR PATEROS, COLUMBIA - WELLS DAM, CHELAN - LAKE CHELAN DAM, COLUMBIA - ROCKY REACH DAM, ENTIAT - NEAR ARDENVOIR, WENATCHEE - AT PESHASTIN, COLUMBIA - WANAPUM DAM, COLUMBIA - PRIEST RAPIDS DAM, YAKIMA - KEECHELUS LAKE, KACHESS - KACHESS DAM, YAKIMA - AT EASTON, CLE ELUM - CLE ELUM LAKE, TEANAWAY - BELOW FORKS, YAKIMA - AT UMTANUM, BUMPING - BUMPING LAKE DAM, NACHES - NEAR CLIFFDEL, TIETON - RIMROCK LAKE NEAR RIMROCK, NACHES - NEAR NACHES, YAKIMA - NEAR PARKER, YAKIMA - AT KIONA, HENRYS FORK - ISLAND PARK DAM, FALL RIVER - NEAR CHESTER, HENRYS FORK - AT ST. ANTHONY, TETON - NEAR ST. ANTHONY, HENRYS FORK - AT REXBURG, SNAKE - JACKSON LAKE AT DAM, SNAKE - NEAR JACKSON, SNAKE - NEAR ALPINE, SF SNAKE - PALISADES DAM, SNAKE - NEAR HEISE, WILLOW CREEK - RIRIE DAM, SNAKE - AB EAGLE ROCK NR IDAHO FALLS, SNAKE - NEAR SHELLEY, SNAKE - AT BLACKFOOT, SNAKE - NEAR BLACKFOOT, PORTNEUF - AT POCATELLO, SNAKE - AMERICAN FALLS RESERVOIR, SNAKE - AT MILNER, BRUNEAU - NEAR HOT SPRINGS, SNAKE - BELOW SWAN FALLS, BIG LOST - AT HOWELL RANCH NEAR CHILLY, BIG LOST - MACKAY RESERVOIR NEAR MACKAY, BIG WOOD - AT HAILEY, BIG WOOD - MAGIC DAM, LITTLE WOOD - LITTLE WOOD DAM, OWYHEE - BELOW OWYHEE DAM, SF BOISE - ANDERSON RANCH DAM, BOISE - LUCKY PEAK DAM, BOISE - AT GLENWOOD BRIDGE, BOISE - NEAR PARMA, MALHEUR - WARM SPRINGS DAM, MALHEUR - AGENCY VALLEY DAM, BULLY CREEK - BULLY CREEK DAM, MALHEUR - NEAR VALE, NF PAYETTE - CASCADE DAM, DEADWOOD - NEAR LOWMAN, PAYETTE - NEAR EMMETT, WEISER - NEAR WEISER, SNAKE - AT WEISER, SNAKE - BROWNLEE DAM, SALMON - AT WHITEBIRD, GRANDE RONDE - TROY, SNAKE - NEAR ANATONE, CLEARWATER - AT OROFINO, NF CLEARWATER - DWORSHAK DAM, CLEARWATER - AT SPALDING, SNAKE - LOWER GRANITE DAM, SNAKE - LITTLE GOOSE DAM, SNAKE - LOWER MONUMENTAL DAM, SNAKE - ICE HARBOR DAM, WALLA WALLA - NEAR TOUCHET, COLUMBIA - MCNARY DAM, UMATILLA - NEAR GIBBON, UMATILLA - AT PENDLETON, MCKAY CREEK - NEAR PILOT ROCK, UMATILLA - NEAR UMATILLA, NF JOHN DAY - AT MONUMENT, JOHN DAY - AT SERVICE CK, COLUMBIA - JOHN DAY DAM, DESCHUTES - AT MOODY NR BIGGS, COLUMBIA - THE DALLES DAM, KLICKITAT - NEAR PITT, HOOD - NEAR TUCKER BRIDGE, WHITE SALMON - NEAR UNDERWOOD, COLUMBIA - BONNEVILLE DAM
2015-05-12,17890.0,20000.0,5411.0,4374.0,7758.0,16646.0,226.0,659.0,1073.0,2663.0,4573.0,3892.0,8506.0,618.0,11159.0,18456.0,22732.0,25325.0,568.0,29923.0,4102.0,4162.0,4919.0,140.0,85905.0,7501.0,98539.0,101203.0,6700.0,4504.0,111362.0,4270.0,114731.0,931.0,4176.0,120069.0,118846.0,216.0,118.0,301.0,749.0,144.0,2395.0,291.0,670.0,675.0,810.0,572.0,1335.0,491.0,1180.0,1816.0,1416.0,2400.0,2968.0,4679.0,6847.0,10946.0,15325.0,106.0,9747.0,8672.0,5415.0,5196.0,82.0,6834.0,2000.0,364.0,5546.0,404.0,132.0,581.0,104.0,99.0,156.0,1598.0,4120.0,1515.0,1316.0,56.0,86.0,0.0,0.0,1368.0,588.0,1911.0,442.0,10217.0,10742.0,22206.0,1712.0,34020.0,16016.0,7404.0,17927.0,52368.0,50782.0,50971.0,50971.0,103.0,152431.0,53.0,182.0,16.0,206.0,694.0,922.0,150961.0,4268.0,149472.0,1059.0,604.0,781.0,150870.0
2015-05-13,16157.0,20565.0,5472.0,3932.0,8103.0,16532.0,242.0,726.0,1321.0,2619.0,4668.0,4474.0,9142.0,693.0,11609.0,18747.0,23620.0,26260.0,561.0,30368.0,4338.0,4142.0,4902.0,156.0,85750.0,7032.0,99059.0,99999.0,8038.0,5014.0,111451.0,4677.0,113022.0,1021.0,4704.0,117508.0,117444.0,325.0,198.0,344.0,1119.0,164.0,2508.0,477.0,928.0,1135.0,1224.0,943.0,1338.0,504.0,1182.0,1636.0,1567.0,1970.0,3214.0,4703.0,6900.0,10832.0,16428.0,116.0,10677.0,9626.0,6202.0,5842.0,72.0,6981.0,2000.0,356.0,5752.0,388.0,123.0,590.0,105.0,101.0,179.0,1810.0,4160.0,1496.0,1236.0,56.0,85.0,0.0,0.0,1750.0,674.0,2102.0,421.0,10034.0,10669.0,22542.0,1686.0,33779.0,17593.0,8932.0,18990.0,52838.0,51492.0,51673.0,51673.0,113.0,170132.0,54.0,184.0,16.0,222.0,680.0,952.0,174428.0,4276.0,172888.0,1182.0,1078.0,1087.0,174448.0
2015-05-14,14507.0,18773.0,5470.0,4951.0,11627.0,17188.0,346.0,1134.0,1776.0,2746.0,5493.0,6826.0,12319.0,855.0,14816.0,19478.0,26475.0,29397.0,664.0,34187.0,6380.0,4919.0,5085.0,184.0,86672.0,6778.0,99856.0,99999.0,9242.0,5296.0,113253.0,5368.0,114869.0,1084.0,4976.0,119590.0,119502.0,411.0,262.0,375.0,1565.0,410.0,2652.0,622.0,1214.0,1117.0,1751.0,1608.0,1621.0,520.0,1209.0,1703.0,1732.0,1861.0,3762.0,4979.0,7395.0,11412.0,17273.0,114.0,11358.0,10242.0,6880.0,6572.0,72.0,7770.0,2000.0,335.0,6960.0,372.0,116.0,613.0,138.0,93.0,186.0,1934.0,4247.0,1476.0,1154.0,53.0,84.0,0.0,0.0,1947.0,724.0,2702.0,477.0,10254.0,10718.0,25544.0,2146.0,35944.0,25558.0,12236.0,25739.0,61682.0,60575.0,60756.0,60756.0,128.0,174897.0,50.0,180.0,16.0,236.0,656.0,948.0,180920.0,4276.0,179510.0,1497.0,984.0,1224.0,182285.0
2015-05-15,14718.0,19094.0,6282.0,5400.0,10911.0,18823.0,327.0,1188.0,1830.0,2949.0,6198.0,7577.0,13775.0,818.0,18014.0,21555.0,30727.0,34107.0,816.0,38212.0,7324.0,6949.0,7538.0,144.0,91783.0,6593.0,103480.0,99843.0,9790.0,5282.0,114288.0,4600.0,115998.0,1026.0,4580.0,120573.0,120563.0,298.0,180.0,322.0,1008.0,246.0,2678.0,509.0,1094.0,842.0,1476.0,1735.0,2104.0,517.0,1152.0,1485.0,1770.0,1928.0,3921.0,5210.0,7686.0,11798.0,17811.0,114.0,11851.0,10776.0,7543.0,7243.0,65.0,8396.0,2000.0,312.0,7436.0,355.0,108.0,598.0,130.0,88.0,172.0,1758.0,4261.0,1457.0,1072.0,49.0,83.0,0.0,0.0,1673.0,653.0,2708.0,478.0,11304.0,11710.0,25808.0,2525.0,36901.0,29106.0,11607.0,30997.0,67898.0,67030.0,67204.0,67204.0,89.0,187548.0,50.0,174.0,15.0,229.0,627.0,919.0,193589.0,4276.0,192014.0,1442.0,789.0,1102.0,194568.0
2015-05-16,15120.0,19494.0,6519.0,5469.0,11093.0,19124.0,360.0,1075.0,1841.0,3120.0,6325.0,7584.0,13908.0,837.0,18695.0,22333.0,32621.0,36208.0,996.0,40878.0,7875.0,6928.0,7684.0,136.0,95966.0,6083.0,108108.0,96249.0,9834.0,5085.0,111267.0,4451.0,113376.0,1034.0,4600.0,118484.0,118638.0,258.0,143.0,300.0,729.0,140.0,2451.0,420.0,1005.0,737.0,1491.0,1290.0,2266.0,542.0,1334.0,1678.0,1990.0,1872.0,4172.0,5605.0,8173.0,12510.0,19214.0,123.0,12672.0,11460.0,8028.0,7716.0,60.0,9011.0,2000.0,304.0,7478.0,348.0,108.0,598.0,126.0,91.0,201.0,1858.0,4287.0,1438.0,990.0,48.0,82.0,0.0,0.0,1874.0,691.0,2654.0,437.0,12010.0,12666.0,24961.0,2223.0,35663.0,29272.0,10902.0,31146.0,66808.0,66180.0,66350.0,66350.0,76.0,189282.0,47.0,167.0,14.0,217.0,594.0,903.0,197173.0,4277.0,196006.0,1384.0,697.0,955.0,199250.0
2015-05-17,16603.0,20779.0,6782.0,5390.0,11644.0,19016.0,543.0,1283.0,2093.0,3240.0,6638.0,8455.0,15094.0,836.0,19194.0,22626.0,32922.0,36517.0,1174.0,41431.0,7534.0,6911.0,7664.0,134.0,103502.0,5875.0,114313.0,91249.0,9599.0,5209.0,106296.0,4746.0,108454.0,1060.0,4892.0,113926.0,114120.0,232.0,129.0,295.0,630.0,114.0,2307.0,372.0,932.0,655.0,1436.0,1104.0,2026.0,640.0,1783.0,2513.0,2680.0,2349.0,4811.0,6236.0,9017.0,14040.0,19899.0,134.0,13844.0,12637.0,9104.0,8712.0,85.0,9840.0,2000.0,296.0,7516.0,334.0,103.0,624.0,150.0,126.0,239.0,1824.0,4277.0,1428.0,934.0,48.0,80.0,0.0,0.0,1902.0,684.0,2945.0,517.0,12230.0,12899.0,25997.0,1815.0,35350.0,30838.0,10522.0,32441.0,67792.0,67402.0,67568.0,67568.0,65.0,185716.0,47.0,162.0,14.0,201.0,565.0,872.0,193920.0,4272.0,192908.0,1352.0,604.0,865.0,196182.0
2015-05-18,17400.0,22024.0,6670.0,5284.0,11184.0,18144.0,492.0,1378.0,2203.0,3301.0,7142.0,9349.0,16491.0,792.0,20803.0,22144.0,34042.0,37719.0,1341.0,42329.0,7075.0,6896.0,7647.0,125.0,107600.0,6873.0,121095.0,86405.0,9710.0,5569.0,101631.0,5724.0,103805.0,1168.0,5365.0,109646.0,109811.0,216.0,128.0,292.0,685.0,107.0,2276.0,404.0,887.0,686.0,1380.0,964.0,1833.0,643.0,1440.0,2098.0,2396.0,3204.0,4618.0,5942.0,8573.0,13875.0,19297.0,119.0,15132.0,13890.0,10291.0,9888.0,96.0,10972.0,2000.0,290.0,7561.0,322.0,211.0,644.0,179.0,124.0,241.0,1746.0,4248.0,1422.0,933.0,42.0,80.0,0.0,0.0,1731.0,637.0,2801.0,506.0,12366.0,13092.0,26262.0,1909.0,36306.0,31515.0,10436.0,33587.0,69892.0,69743.0,69900.0,69900.0,73.0,183462.0,47.0,159.0,14.0,190.0,548.0,854.0,191336.0,4268.0,190300.0,1355.0,562.0,813.0,193226.0
2015-05-19,16769.0,21534.0,6462.0,5303.0,10712.0,17698.0,389.0,1091.0,2063.0,3253.0,6886.0,8590.0,15476.0,747.0,20578.0,21228.0,34966.0,38718.0,1502.0,43450.0,6042.0,6882.0,7628.0,118.0,108836.0,7142.0,123063.0,84999.0,10187.0,5892.0,100538.0,6617.0,102396.0,1215.0,5570.0,107927.0,107930.0,199.0,120.0,289.0,683.0,99.0,2293.0,405.0,877.0,645.0,1358.0,962.0,1690.0,585.0,1280.0,1672.0,2069.0,3026.0,3898.0,5296.0,7543.0,12293.0,18190.0,116.0,15090.0,14088.0,11184.0,10917.0,88.0,12185.0,2000.0,276.0,7599.0,312.0,205.0,624.0,167.0,108.0,270.0,1697.0,4256.0,1416.0,926.0,39.0,78.0,0.0,0.0,1587.0,622.0,2595.0,480.0,12102.0,12857.0,25280.0,1764.0,35681.0,29419.0,9800.0,31864.0,67545.0,67545.0,67698.0,67698.0,66.0,179736.0,46.0,156.0,13.0,177.0,528.0,834.0,187995.0,4267.0,187111.0,1377.0,559.0,784.0,190163.0
2015-05-20,16153.0,20384.0,5957.0,4828.0,9150.0,16061.0,369.0,910.0,1900.0,3135.0,6342.0,7666.0,14009.0,697.0,18771.0,20231.0,33718.0,37317.0,1661.0,42248.0,5164.0,6866.0,7611.0,114.0,109864.0,6694.0,123814.0,84999.0,10720.0,5942.0,101230.0,6136.0,103091.0,1229.0,5684.0,108683.0,108651.0,188.0,119.0,288.0,670.0,94.0,2302.0,409.0,864.0,628.0,1344.0,953.0,1638.0,579.0,1268.0,1662.0,2112.0,2508.0,3591.0,4982.0,7087.0,11490.0,17402.0,115.0,13587.0,12615.0,10232.0,10210.0,68.0,12373.0,2000.0,270.0,7642.0,299.0,198.0,620.0,161.0,120.0,306.0,1694.0,4290.0,1410.0,925.0,38.0,77.0,0.0,0.0,1789.0,666.0,2768.0,466.0,12013.0,12676.0,24686.0,1750.0,34492.0,26795.0,9088.0,29215.0,63707.0,63707.0,63855.0,63855.0,62.0,175544.0,46.0,154.0,13.0,170.0,520.0,822.0,183586.0,4268.0,182738.0,1352.0,580.0,764.0,185759.0
2015-05-21,16924.0,20272.0,5765.0,4660.0,8436.0,14857.0,371.0,824.0,1777.0,2990.0,5894.0,6916.0,12810.0,660.0,17120.0,18240.0,31942.0,35320.0,1822.0,40257.0,4643.0,6768.0,7580.0,114.0,111032.0,6311.0,124847.0,84999.0,10868.0,5844.0,101634.0,5885.0,103512.0,1194.0,5594.0,109086.0,109079.0,175.0,113.0,283.0,605.0,90.0,2337.0,397.0,853.0,596.0,1325.0,970.0,1629.0,588.0,1227.0,1640.0,2129.0,2330.0,3520.0,4869.0,6913.0,11275.0,16628.0,110.0,12355.0,11332.0,8850.0,8815.0,64.0,11178.0,2000.0,268.0,7690.0,287.0,193.0,668.0,196.0,121.0,305.0,1809.0,4315.0,1404.0,926.0,37.0,79.0,0.0,0.0,1632.0,622.0,2933.0,490.0,12348.0,12939.0,25134.0,1882.0,34844.0,25002.0,8683.0,27231.0,62076.0,62076.0,62215.0,62215.0,62.0,173369.0,46.0,150.0,13.0,163.0,506.0,812.0,181042.0,4262.0,180164.0,1324.0,570.0,752.0,182996.0
