, LIBBY DAM, KOOTENAI RIV AT LEONIA, NF FLATHEAD R NR COLUMBIA FALL, MF FLATHEAD NR WEST GLACIER, DAM AT HUNGRY HORSE, FLATHEAD R AT COLUMBIA FALLS, CLARK FORK AT DEER LODGE, CLARK FORK AT DRUMMOND, ROCK CREEK NR CLINTON, BLACKFOOT R NR BONNER, CLARK FORK AB MISSOULA, BITTERROOT R NR MISSOULA, CLARK FORK BELOW MISSOULA, ST. REGIS R. NR ST. REGIS, CLARK FORK AT ST REGIS    TB20, KERR DAM, NOXON RAPIDS DAM, CABINET GORGE DAM, PRIEST R NR PRIEST RIVER, ALBENI FALLS DAM, COEUR D'ALENE LAKE, SPOKANE RIV AT LONGLAKE, ST MARIES R NR SANTA, COLUMBIAR @INTERNATL BOUNDAR, KETTLE RIVER AT LAURIER, GRAND COULEE DAM, CHIEF JOSEPH DAM, OKANOGAN RIVER NEAR TONASKET, METHOW R NEAR PATEROS, WELLS DAM, LAKE CHELAN DAM, ROCKY REACH DAM, ENTIAT R NR ARDENVOIR, WENATCHEE R AT PESHASTIN  TB20, WANAPUM DAM, PRIEST RAPIDS DAM, KEECHELUS LAKE, KACHESS DAM NEAR EASTON, YAKIMA RIVER AT EASTON, CLE ELUM LAKE NEAR ROSLYN, YAKIMA RIVER AT CLE ELUM, TEANAWAY RIVER BLW FORKS, YAKIMA RIVER AT UMTANUM, BUMPING LK DM NR GOOSE PRAIRIE, NACHES RIVER NEAR CLIFFDEL, RIMROCK LAKE NEAR RIMROCK, NACHES RIVER NEAR NACHES, YAKIMA RIVER NEAR PARKER, YAKIMA RIVER AT KIONA, ISLAND PARK 1SWIS.PARKDM&RES, FALLS RIVER NR CHESTER, HENRYS FORK AT ST. ANTHONY, TETON RIVER NEAR ST. ANTHONY, HENRYS FORK NEAR REXBURG, SNKE R ON JACKSN LK AT DM TB20, SNAKE RIVER NR JACKSON, SNAKE RIVER NR ALPINE, PALISADES DAM, SNAKE RIVER NR HEISE, RIRIE DAM AND LAKE ON WILLOW C, SNAKE AB EAGLE ROCK NR ID FALL, SNAKE RIVER NR SHELLEY, SNAKE RIVER AT BLACKFOOT, SNAKE RIVER NEAR BLACKFOOT, PORTNEUF RIVER AT POCATELLO, AMERICAN FALLS RESERVOIR  TB12, SNAKE RIV AT MILNER, BRUNEAU RIVER NR HOT SPRINGS, SNAKE RIVER BELOW SWAN FALLS, BIG LOST R@HOW'L RNCH NR CHILL, BIG LOST R AT MACKAY, BIG WOOD RIVER AT HAILEY, MAGIC DAM OUTFLOW, LITL.WOODDM&RESNRCAREY, OWYHEE BELOW OWYHEE DAM, ANDERSON RANCH DAM, BOISE LUCKY PEAK DAM, BOISE RIVER AT GLENWOOD BRIDGE, BOISE RIVER NR PARMA, WARM SPRINGS DAM & RESERVOIR, AGENCY VLY DAM & BEULAH RSVR, BULLY CREEK DAM & RES     TB12, MALHEUR RIVER NR VALE, CASCADE DAM               TB12, DEADWOOD RESERVOIR NR LOWMAN, PAYETTE RIVER NEAR EMMETT, WEISER RIVER NR WEISER, SNAKE RIVER AT WEISER, BROWNLEE DAM, SALMON R AT WHITEBIRD, GRANDE RONDE RIVER AT TROY, SNAKE RIVER NR ANATONE, CLEARWATER R AT OROFINO, DWORSHAK DAM, CLEARWATER R AT SPALDING, LOWER GRANITE DAM, LITTLE GOOSE DAM, LOWER MONUMENTAL DAM, ICE HARBOR DAM, WALLA WALLA RIV NEAR TOUCHET, MCNARY DAM NEAR MCNARY, UMATILLA R NR GIBBON, UMATILLA R AT PENDLETON, MCKAY CR NR PILOTROCK, UMATILLA RIVER NEAR UMATILLA, NF JOHN DAY RIV AT MONUMENT, JOHN DAY RIVER AT SERVICE CK, JOHN DAY DAM, DESCHUTES R AT MOODY NR BIGGS, THE DALLES, KLICKITAT R NR PITT, HOOD R NR TUCKER BRIDGE   TB20, WHITE SALMON R NEAR UNDERWOOD, BONNEVILLE DAM
2008-10-20,4796.0,5324.0,815.0,640.0,1061.0,3640.0,281.0,677.0,264.0,611.0,1692.0,1079.0,2772.0,87.0,3513.0,4273.0,11526.0,12291.0,2092.0,14777.0,116.0,2854.0,73.0,68644.0,296.0,71970.0,71849.0,1107.0,401.0,70830.0,776.0,69573.0,92.0,868.0,65094.0,63065.0,118.0,91.0,289.0,261.0,629.0,37.0,1045.0,88.0,301.0,221.0,453.0,985.0,2328.0,401.0,445.0,1240.0,564.0,1305.0,515.0,1722.0,2112.0,3252.0,3727.0,30.0,2703.0,3167.0,2574.0,2932.0,121.0,5517.0,0.0,61.0,7962.0,86.0,86.0,171.0,51.0,36.0,281.0,226.0,74.0,226.0,857.0,36.0,66.0,31.0,115.0,330.0,58.0,1143.0,139.0,10232.0,11205.0,4504.0,732.0,14983.0,1818.0,1391.0,3391.0,18374.0,18374.0,18424.0,18424.0,56.0,72910.0,41.0,56.0,21.0,214.0,140.0,320.0,76059.0,5136.0,79768.0,699.0,383.0,587.0,81687.0
2008-10-21,5901.0,5377.0,1023.0,733.0,1091.0,3908.0,280.0,674.0,276.0,618.0,1719.0,1186.0,2906.0,89.0,3569.0,4526.0,11631.0,12390.0,2000.0,15216.0,324.0,2770.0,73.0,68694.0,302.0,71812.0,80000.0,1224.0,401.0,81447.0,764.0,83492.0,91.0,808.0,83818.0,83558.0,101.0,94.0,286.0,235.0,617.0,32.0,1039.0,72.0,295.0,201.0,410.0,1000.0,2353.0,405.0,500.0,1280.0,568.0,1357.0,499.0,1719.0,2075.0,3230.0,3553.0,30.0,2998.0,3356.0,2700.0,2922.0,144.0,5505.0,0.0,61.0,7948.0,85.0,85.0,170.0,66.0,36.0,279.0,235.0,74.0,232.0,868.0,36.0,68.0,32.0,110.0,331.0,58.0,1115.0,142.0,10246.0,11134.0,4540.0,725.0,14978.0,2067.0,1959.0,3600.0,18577.0,18577.0,18629.0,18629.0,61.0,93075.0,40.0,57.0,21.0,215.0,147.0,328.0,91697.0,5136.0,94067.0,699.0,379.0,585.0,93478.0
2008-10-22,6211.0,5374.0,976.0,800.0,1070.0,4046.0,278.0,671.0,256.0,606.0,1679.0,1149.0,2829.0,85.0,3666.0,4640.0,11715.0,12376.0,2000.0,14940.0,298.0,2759.0,63.0,68769.0,303.0,71914.0,78750.0,1241.0,402.0,80684.0,754.0,83141.0,90.0,767.0,84167.0,84227.0,89.0,65.0,285.0,218.0,603.0,31.0,1007.0,71.0,281.0,192.0,366.0,945.0,2330.0,404.0,500.0,1287.0,566.0,1392.0,468.0,1719.0,2051.0,3228.0,3364.0,30.0,2900.0,3248.0,2788.0,3057.0,145.0,5602.0,0.0,61.0,7977.0,84.0,84.0,169.0,60.0,36.0,277.0,226.0,72.0,233.0,873.0,36.0,66.0,32.0,104.0,314.0,58.0,1084.0,141.0,10130.0,11011.0,4554.0,718.0,14960.0,2173.0,2013.0,3791.0,18752.0,18752.0,18804.0,18804.0,54.0,105256.0,40.0,53.0,17.0,215.0,131.0,316.0,107551.0,5117.0,110758.0,685.0,373.0,583.0,111831.0
2008-10-23,6083.0,5364.0,934.0,772.0,1019.0,3990.0,277.0,669.0,249.0,594.0,1650.0,1052.0,2702.0,84.0,3583.0,4582.0,11756.0,12392.0,2000.0,14977.0,288.0,2765.0,61.0,68739.0,302.0,71911.0,75000.0,1250.0,402.0,76798.0,745.0,79161.0,89.0,745.0,80266.0,80410.0,90.0,64.0,284.0,207.0,594.0,31.0,990.0,72.0,275.0,195.0,355.0,911.0,2263.0,399.0,491.0,1275.0,563.0,1407.0,463.0,1710.0,2029.0,3184.0,3175.0,30.0,2736.0,3048.0,2597.0,3005.0,141.0,5647.0,0.0,61.0,7990.0,84.0,84.0,167.0,56.0,36.0,276.0,223.0,71.0,234.0,876.0,36.0,64.0,32.0,98.0,312.0,58.0,1068.0,139.0,10106.0,10958.0,4518.0,712.0,14897.0,2074.0,1747.0,3734.0,18630.0,18630.0,18683.0,18683.0,55.0,104099.0,40.0,56.0,20.0,214.0,124.0,304.0,107409.0,5107.0,110953.0,685.0,368.0,589.0,112788.0
2008-10-24,6238.0,5368.0,896.0,747.0,991.0,3952.0,276.0,666.0,242.0,584.0,1630.0,1008.0,2638.0,83.0,3458.0,4471.0,11641.0,12263.0,2000.0,14898.0,332.0,2772.0,60.0,68606.0,302.0,71808.0,70000.0,1264.0,401.0,72782.0,736.0,75988.0,88.0,731.0,77788.0,78043.0,85.0,61.0,282.0,195.0,584.0,31.0,975.0,68.0,268.0,191.0,345.0,904.0,2190.0,397.0,493.0,1270.0,561.0,1406.0,464.0,1691.0,2007.0,3152.0,2987.0,30.0,2601.0,2884.0,2408.0,2809.0,140.0,5487.0,0.0,61.0,7977.0,83.0,83.0,166.0,55.0,36.0,276.0,225.0,70.0,235.0,880.0,36.0,64.0,32.0,92.0,311.0,57.0,1054.0,139.0,10121.0,10964.0,4487.0,705.0,14804.0,1955.0,1557.0,3613.0,18417.0,18417.0,18470.0,18470.0,56.0,100757.0,40.0,56.0,20.0,214.0,122.0,296.0,103923.0,5093.0,107451.0,686.0,363.0,585.0,109332.0
2008-10-25,6121.0,5374.0,858.0,712.0,980.0,3900.0,275.0,664.0,235.0,580.0,1613.0,972.0,2585.0,83.0,3384.0,4390.0,11476.0,12103.0,2000.0,14816.0,412.0,2780.0,61.0,68426.0,304.0,71648.0,53750.0,1276.0,400.0,56099.0,729.0,59192.0,87.0,720.0,61613.0,62255.0,115.0,93.0,284.0,238.0,578.0,35.0,969.0,77.0,268.0,202.0,339.0,900.0,2137.0,396.0,504.0,1276.0,561.0,1412.0,457.0,1672.0,1982.0,3121.0,2799.0,30.0,2513.0,2774.0,2287.0,2644.0,143.0,5300.0,0.0,60.0,7963.0,83.0,83.0,165.0,59.0,36.0,276.0,227.0,69.0,236.0,884.0,36.0,61.0,32.0,87.0,312.0,57.0,1040.0,138.0,10115.0,10959.0,4469.0,699.0,14722.0,1871.0,1427.0,3517.0,18240.0,18240.0,18292.0,18292.0,55.0,93773.0,40.0,55.0,18.0,213.0,121.0,289.0,98516.0,5083.0,102331.0,692.0,359.0,580.0,104752.0
2008-10-26,6010.0,5391.0,834.0,678.0,979.0,3851.0,273.0,661.0,232.0,578.0,1604.0,947.0,2551.0,83.0,3324.0,4303.0,11316.0,11940.0,1850.0,14554.0,511.0,2790.0,62.0,68348.0,306.0,71543.0,55000.0,1271.0,399.0,55765.0,731.0,57101.0,87.0,711.0,57104.0,56995.0,117.0,131.0,285.0,366.0,571.0,32.0,960.0,70.0,261.0,194.0,333.0,912.0,2097.0,395.0,512.0,1283.0,560.0,1425.0,452.0,1658.0,1962.0,3088.0,2652.0,30.0,2425.0,2685.0,2215.0,2541.0,144.0,5170.0,0.0,60.0,7951.0,83.0,83.0,164.0,58.0,36.0,276.0,225.0,68.0,237.0,888.0,36.0,61.0,32.0,81.0,318.0,57.0,1027.0,137.0,10095.0,10935.0,4465.0,692.0,14652.0,1814.0,1358.0,3453.0,18105.0,18105.0,18158.0,18158.0,54.0,79947.0,40.0,54.0,18.0,211.0,121.0,289.0,84383.0,5077.0,88265.0,695.0,355.0,603.0,91003.0
2008-10-27,5815.0,5403.0,834.0,662.0,962.0,3821.0,272.0,659.0,232.0,576.0,1596.0,934.0,2530.0,82.0,3282.0,4228.0,11159.0,11747.0,1600.0,14050.0,573.0,2795.0,60.0,68235.0,303.0,71462.0,67500.0,1254.0,406.0,69417.0,733.0,71458.0,88.0,704.0,71264.0,70813.0,99.0,89.0,284.0,296.0,562.0,30.0,941.0,67.0,252.0,191.0,319.0,904.0,2062.0,395.0,502.0,1272.0,557.0,1426.0,452.0,1649.0,1947.0,3061.0,2625.0,30.0,2282.0,2529.0,2075.0,2438.0,138.0,5072.0,0.0,60.0,7966.0,83.0,83.0,163.0,53.0,36.0,276.0,225.0,67.0,238.0,891.0,36.0,60.0,32.0,75.0,313.0,57.0,1012.0,137.0,10075.0,10910.0,4465.0,686.0,14598.0,1774.0,1269.0,3410.0,18007.0,18007.0,18061.0,18061.0,56.0,81457.0,39.0,54.0,17.0,209.0,120.0,286.0,82805.0,5056.0,85878.0,686.0,351.0,589.0,87044.0
2008-10-28,5689.0,5402.0,895.0,669.0,941.0,3874.0,271.0,657.0,230.0,574.0,1588.0,928.0,2516.0,82.0,3256.0,4226.0,11023.0,11591.0,1600.0,13903.0,633.0,2802.0,60.0,68049.0,301.0,71291.0,60000.0,1246.0,413.0,61911.0,756.0,64442.0,110.0,717.0,65866.0,66153.0,94.0,76.0,282.0,305.0,553.0,30.0,926.0,67.0,247.0,191.0,310.0,894.0,2022.0,394.0,507.0,1270.0,556.0,1428.0,451.0,1639.0,1936.0,3042.0,2618.0,31.0,2317.0,2521.0,1990.0,2304.0,138.0,4938.0,0.0,60.0,7980.0,82.0,82.0,162.0,54.0,36.0,277.0,223.0,66.0,239.0,895.0,36.0,58.0,32.0,69.0,313.0,57.0,996.0,136.0,10062.0,10888.0,4447.0,680.0,14534.0,1728.0,1219.0,3367.0,17901.0,17901.0,17955.0,17955.0,56.0,90209.0,39.0,55.0,16.0,208.0,120.0,283.0,92959.0,5043.0,96069.0,683.0,347.0,574.0,97176.0
2008-10-29,6057.0,5406.0,870.0,663.0,930.0,3872.0,270.0,655.0,229.0,572.0,1581.0,925.0,2507.0,81.0,3240.0,4297.0,10884.0,11452.0,1600.0,13822.0,722.0,2810.0,61.0,67870.0,301.0,71115.0,60000.0,1245.0,443.0,61743.0,814.0,63961.0,120.0,902.0,64817.0,64807.0,93.0,74.0,281.0,276.0,546.0,31.0,919.0,71.0,248.0,196.0,306.0,896.0,1982.0,394.0,515.0,1273.0,556.0,1433.0,451.0,1629.0,1922.0,3023.0,2611.0,31.0,2386.0,2572.0,2041.0,2272.0,139.0,4852.0,0.0,60.0,7945.0,82.0,82.0,161.0,57.0,37.0,277.0,225.0,65.0,240.0,899.0,36.0,58.0,32.0,64.0,332.0,57.0,982.0,137.0,10073.0,10888.0,4435.0,674.0,14463.0,1688.0,1195.0,3323.0,17786.0,17786.0,17840.0,17840.0,60.0,85320.0,39.0,58.0,19.0,208.0,124.0,282.0,88785.0,5042.0,92286.0,686.0,344.0,566.0,94308.0
