, KOOTENAI - LIBBY DAM, KOOTENAI - AT LEONIA, NF FLATHEAD - NEAR COLUMBIA FALLS, MF FLATHEAD - NEAR WEST GLACIER, SF FLATHEAD - HUNGRY HORSE DAM, FLATHEAD - AT COLUMBIA FALLS, CLARK FORK - AT DEER LODGE, CLARK FORK - NR DRUMMOND, ROCK CREEK - NEAR CLINTON, BLACKFOOT - NEAR BONNER, CLARK FORK - ABOVE MISSOULA, BITTERROOT - NEAR MISSOULA, CLARK FORK - BELOW MISSOULA, ST. REGIS - NEAR ST. REGIS, CLARK FORK - AT ST REGIS, FLATHEAD - KERR DAM, CLARK FORK - NOXON RAPIDS DAM, CLARK FORK - CABINET GORGE DAM, PRIEST - NEAR PRIEST RIVER, PEND OREILLE - ALBENI FALLS DAM, COEUR D ALENE - COEUR D ALENE LAKE, SPOKANE - AT SPOKANE, SPOKANE - AT LONGLAKE, ST MARIES - NEAR SANTA, COLUMBIA - AT INTL BOUNDARY, KETTLE - AT LAURIER, COLUMBIA - GRAND COULEE DAM, COLUMBIA - CHIEF JOSEPH DAM, OKANOGAN - NEAR TONASKET, METHOW - NEAR PATEROS, COLUMBIA - WELLS DAM, CHELAN - LAKE CHELAN DAM, COLUMBIA - ROCKY REACH DAM, ENTIAT - NEAR ARDENVOIR, WENATCHEE - AT PESHASTIN, COLUMBIA - WANAPUM DAM, COLUMBIA - PRIEST RAPIDS DAM, YAKIMA - KEECHELUS LAKE, KACHESS - KACHESS DAM, YAKIMA - AT EASTON, CLE ELUM - CLE ELUM LAKE, TEANAWAY - BELOW FORKS, YAKIMA - AT UMTANUM, BUMPING - BUMPING LAKE DAM, NACHES - NEAR CLIFFDEL, TIETON - RIMROCK LAKE NEAR RIMROCK, NACHES - NEAR NACHES, YAKIMA - NEAR PARKER, YAKIMA - AT KIONA, HENRYS FORK - ISLAND PARK DAM, FALLS - NEAR CHESTER, HENRYS FORK - AT ST. ANTHONY, TETON - NEAR ST. ANTHONY, HENRYS FORK - AT REXBURG, SNAKE - JACKSON LAKE AT DAM, SNAKE - NEAR JACKSON, SNAKE - NEAR ALPINE, SF SNAKE - PALISADES DAM, SNAKE - NEAR HEISE, WILLOW CREEK - RIRIE DAM, SNAKE - AB EAGLE ROCK NR IDAHO FALLS, SNAKE - NEAR SHELLEY, SNAKE - AT BLACKFOOT, SNAKE - NEAR BLACKFOOT, PORTNEUF - AT POCATELLO, SNAKE - AMERICAN FALLS RESERVOIR, SNAKE - AT MILNER, BRUNEAU - NEAR HOT SPRINGS, SNAKE - BELOW SWAN FALLS, BIG LOST - AT HOWELL RANCH NEAR CHILLY, BIG LOST - MACKAY RESERVOIR NEAR MACKAY, BIG WOOD - AT HAILEY, BIG WOOD - MAGIC DAM, LITTLE WOOD - LITTLE WOOD DAM, OWYHEE - BELOW OWYHEE DAM, SF BOISE - ANDERSON RANCH DAM, BOISE - LUCKY PEAK DAM, BOISE - AT GLENWOOD BRIDGE, BOISE - NEAR PARMA, MALHEUR - WARM SPRINGS DAM, MALHEUR - AGENCY VALLEY DAM, BULLY CREEK - BULLY CREEK DAM, MALHEUR - NEAR VALE, NF PAYETTE - CASCADE DAM, DEADWOOD - NEAR LOWMAN, PAYETTE - NEAR EMMETT, WEISER - NEAR WEISER, SNAKE - AT WEISER, SNAKE - BROWNLEE DAM, SALMON - AT WHITEBIRD, GRANDE RONDE - TROY, SNAKE - NEAR ANATONE, CLEARWATER - AT OROFINO, NF CLEARWATER - DWORSHAK DAM, CLEARWATER - AT SPALDING, SNAKE - LOWER GRANITE DAM, SNAKE - LITTLE GOOSE DAM, SNAKE - LOWER MONUMENTAL DAM, SNAKE - ICE HARBOR DAM, WALLA WALLA - NEAR TOUCHET, COLUMBIA - MCNARY DAM, UMATILLA - NEAR GIBBON, UMATILLA - AT PENDLETON, MCKAY CREEK - NEAR PILOT ROCK, UMATILLA - NEAR UMATILLA, NF JOHN DAY - AT MONUMENT, JOHN DAY - AT SERVICE CK, COLUMBIA - JOHN DAY DAM, DESCHUTES - AT MOODY NR BIGGS, COLUMBIA - THE DALLES DAM, KLICKITAT - NEAR PITT, HOOD - NEAR TUCKER BRIDGE, WHITE SALMON - NEAR UNDERWOOD, COLUMBIA - BONNEVILLE DAM
2013-05-14, 60046, 41911, 23678, 26784, 28656, 50891, 159, 528, 2021, 8935, , 12230, , 2904, 31402, 55237, 62016, 68874, 6032, , 23707, 17556, 18401, 1062, 174869, 23876, 213996, 129998, 20440, 12508, 163412, 13148, 168661, , 15786, 185041, 185411, 1578, 1205, 2045, 4454, 1191, 7663, 1419, 4352, 2252, 6085, 12246, 10119, 894, 2152, , 2056, 2802, 7564, 7122, , 14655, 12634, 117, 6930, 5874, 2756, , 134, , 2400, 710, 5788, 1004, 155, 1316, 1002, 226, 624, , 5166, , 474, 22, , 0, 10, 3456, 1128, 4828, 1706, 13936, 15163, 60262, 10084, , 57876, 33126, 62622, 137169, 137169, 137510, 137510, 590, 341936, 376, 481, 64, 246, 3024, 3638, 351050, 6098, 350628, 3596, 1326, 1940, 354326
2013-05-15, 60174, 35720, 23757, 24663, 25886, 50308, 167, 514, 2018, 8587, , 12715, , 2648, 32676, 58067, 67010, 74405, 5913, , 23900, 17909, 18752, 991, 181164, 23649, 222348, 129998, 21063, 11658, 163518, 11808, 168416, , 13882, 182724, 182858, 1134, 1014, 1810, 3535, 961, 7065, 1182, 3951, 1932, 5685, 11282, 10826, 925, 2048, , 2043, 2997, 7288, 8219, , 15392, 13393, 113, 7476, 6272, 2926, , 132, , 2400, 721, 5744, 925, 105, 1236, 968, 199, 599, , 5107, , 503, 22, , 0, 14, 2952, 1018, 4565, 1588, 14082, 15564, 61084, 9682, , 58859, 28133, 66293, 147043, 147043, 147378, 147378, 569, 339144, 328, 501, 63, 271, 3006, 3871, 349026, 6016, 349678, 3315, 1070, 1972, 356533
2013-05-16, 53853, 31114, 19910, 21414, 20004, 45333, 161, 420, 1758, 7912, , 11847, , 2394, 31036, 54276, 69080, 76686, 5744, , 20986, 17916, 19078, 620, 185115, 21977, 226041, 129998, 20934, 10252, 162589, 8952, 167201, , 10840, 178578, 178758, 931, 836, 1610, 2958, 848, 6198, 970, 3460, 1653, 4888, 9203, 10899, 938, 2027, , 2036, 3145, 6780, 8911, , 15694, 14851, 108, 8742, 7420, 3672, , 122, , 2400, 712, 5807, 803, 32, 1149, 850, 182, 541, , 5033, , 464, 20, , 0, 17, 2668, 920, 3996, 1408, 13287, 15008, 54193, 8038, , 55929, 20070, 65750, 143624, 143624, 143952, 143952, 551, 340453, 270, 447, 64, 278, 2506, 3354, 351782, 5792, 352176, 2938, 880, 1795, 358444
2013-05-17, 45874, 32197, 16758, 18901, 17614, 41673, 163, 366, 1618, 7310, , 11183, , 2244, 28544, 48818, 68690, 76200, 5583, , 17661, 17008, 18023, 481, 186732, 20474, 225466, 133748, 19258, 9248, 163802, 7505, 167501, , 9258, 176388, 176332, 923, 782, 1573, 2841, 871, 5928, 882, 3361, 1650, 4856, 7930, 9652, 982, 2142, , 2102, 3168, 6521, 8988, , 15532, 16497, 107, 10340, 8999, 5068, , 121, , 2400, 700, 5880, 780, 39, 1204, 898, 182, 498, , 4987, , 529, 18, , 0, 18, 2672, 900, 3737, 1316, 12657, 14234, 45066, 7418, , 44358, 18459, 53471, 119985, 118399, 118719, 118719, 544, 318808, 228, 378, 64, 238, 2066, 2797, 333714, 5657, 334754, 2848, 812, 1701, 342210
2013-05-18, 42533, 35835, 15761, 17645, 17126, 40830, 220, 452, 1610, 6861, , 10942, , 2120, 27316, 46334, 68686, 76124, 5428, , 15854, 16605, 17854, 435, 187963, 20806, 226804, 143748, 17215, 8666, 171120, 6361, 174500, , 8290, 182028, 181776, 890, 724, 1556, 2622, 771, 5893, 814, 3222, 1551, 4804, 7591, 8081, 1053, 2536, , 2494, 3337, 6792, 9457, , 16047, 18440, 109, 12062, 10690, 6684, , 136, , 2400, 759, 5998, 775, 65, 1257, 976, 222, 526, , 4939, , 568, 17, , 0, 18, 2544, 886, 3846, 1222, 12669, 14045, 43079, 6958, , 39417, 17886, 45680, 107410, 106881, 107194, 107194, 535, 297210, 196, 328, 64, 184, 1785, 2446, 308100, 5582, 308810, 2774, 760, 1643, 315395
2013-05-19, 42616, 33572, 15446, 16869, 17786, 40774, 264, 732, 1608, 6744, , 10715, , 1961, 26564, 46105, 68779, 76162, 5285, , 14498, 15580, 16594, 410, 189929, 21411, 227930, 149998, 15993, 8169, 175778, 5176, 179586, , 7454, 186992, 186910, 773, 633, 1478, 2309, 604, 5722, 732, 2936, 1313, 4465, 7007, 7378, 1154, 2481, , 2421, 3863, 7125, 9686, , 15998, 19500, 95, 14103, 12706, 8551, , 143, , 2400, 790, 6138, 774, 92, 1206, 989, 190, 551, , 4858, , 562, 14, , 0, 19, 2195, 820, 3852, 1118, 12771, 14064, 42030, 6397, , 37248, 16838, 43660, 103716, 103716, 104022, 104022, 524, 298288, 172, 292, 64, 134, 1628, 2249, 306932, 5529, 307080, 2616, 688, 1552, 312038
2013-05-20, 42348, 29595, 14748, 15875, 16044, 39449, 206, 589, 1480, 6816, , 10106, , 1824, 25976, 45350, 68690, 75997, 5152, , 13232, 15264, 16447, 403, 191974, 20612, 229094, 155177, 15254, 7510, 178219, 4092, 180855, , 6622, 186682, 186522, 702, 564, 1414, 2044, 518, 5461, 663, 2713, 1212, 4125, 6093, 6841, 1088, 2166, , 2094, 3947, 6144, 9037, , 14687, 19100, 90, 15380, 14133, 10366, , 138, , 2400, 750, 6208, 734, 95, 1093, 850, 169, 450, , 4784, , 546, 14, , 0, 20, 2053, 753, 3530, 1013, 12577, 13896, 39890, 5905, , 34646, 15666, 41794, 99549, 99549, 99848, 99848, 518, 295444, 154, 268, 64, 96, 1534, 2122, 305234, 5487, 305620, 2404, 640, 1441, 310741
2013-05-21,41366.0,26720.0,13854.0,14772.0,14290.0,37468.0,200.0,464.0,1357.0,6546.0,7430.0,9410.0,14048.0,1690.0,24588.0,43348.0,68156.0,75346.0,5057.0,70886.0,12032.0,13918.0,15280.0,383.0,192988.0,19333.0,227919.0,182284.0,14404.0,6969.0,203037.0,3405.0,204172.0,1303.0,6203.0,206992.0,205877.0,668.0,519.0,1362.0,1967.0,512.0,5223.0,619.0,2671.0,1211.0,4154.0,5608.0,6212.0,1003.0,1982.0,2824.0,1952.0,3415.0,5106.0,8355.0,11598.0,13467.0,18164.0,85.0,14811.0,13741.0,10742.0,12008.0,118.0,13270.0,2400.0,713.0,6266.0,684.0,89.0,1031.0,761.0,160.0,304.0,1947.0,4750.0,1312.0,544.0,14.0,139.0,0.0,21.0,1754.0,677.0,3300.0,925.0,12262.0,13530.0,37526.0,5465.0,51078.0,32162.0,14518.0,40608.0,96035.0,96035.0,96328.0,96328.0,508.0,298145.0,140.0,250.0,64.0,59.0,1457.0,2017.0,304866.0,5449.0,304896.0,2267.0,621.0,1359.0,308880.0
2013-05-22,39889.0,26206.0,12943.0,14002.0,13270.0,35616.0,193.0,419.0,1267.0,6151.0,7995.0,8663.0,15072.0,1582.0,22898.0,40983.0,66822.0,73810.0,5017.0,73439.0,10945.0,12350.0,13594.0,370.0,192735.0,17905.0,224796.0,206533.0,13525.0,6635.0,226716.0,3323.0,228547.0,1629.0,6305.0,232254.0,231320.0,646.0,486.0,1331.0,1970.0,528.0,4986.0,588.0,2652.0,1204.0,4179.0,5304.0,5765.0,956.0,1934.0,2585.0,1861.0,2838.0,4754.0,8173.0,11502.0,13041.0,17248.0,81.0,13191.0,12164.0,9541.0,11985.0,98.0,13787.0,2400.0,680.0,6332.0,656.0,98.0,995.0,708.0,152.0,230.0,2198.0,4726.0,1309.0,511.0,8.0,137.0,0.0,19.0,1665.0,654.0,3146.0,842.0,11964.0,13205.0,34927.0,5126.0,48714.0,29209.0,13470.0,37653.0,90075.0,90075.0,90362.0,90362.0,499.0,317044.0,130.0,238.0,65.0,40.0,1398.0,1940.0,322133.0,5414.0,321803.0,2207.0,606.0,1320.0,324612.0
2013-05-23,39929.0,25880.0,12716.0,13906.0,13768.0,35090.0,188.0,397.0,1201.0,5775.0,8388.0,8250.0,16376.0,1506.0,21532.0,39516.0,65416.0,72193.0,5124.0,78246.0,10264.0,11600.0,12584.0,366.0,192046.0,17723.0,222859.0,209997.0,12790.0,6519.0,230355.0,3784.0,233788.0,1617.0,6528.0,240333.0,240299.0,623.0,454.0,1311.0,1915.0,477.0,4785.0,560.0,2609.0,1194.0,4133.0,4982.0,5484.0,939.0,2042.0,2658.0,1865.0,2494.0,5013.0,8456.0,12208.0,13416.0,16459.0,79.0,11755.0,10680.0,7912.0,10629.0,105.0,13084.0,2400.0,641.0,6388.0,640.0,114.0,985.0,702.0,147.0,197.0,2262.0,4704.0,1306.0,572.0,8.0,136.0,0.0,18.0,1720.0,662.0,3044.0,776.0,11810.0,12978.0,32900.0,5586.0,48329.0,27688.0,13071.0,35772.0,85938.0,85938.0,86219.0,86219.0,514.0,331181.0,125.0,236.0,67.0,35.0,1353.0,1885.0,338165.0,5376.0,338122.0,2152.0,577.0,1296.0,341395.0
