, KOOTENAI - LIBBY DAM, KOOTENAI - AT LEONIA, NF FLATHEAD - NEAR COLUMBIA FALLS, MF FLATHEAD - NEAR WEST GLACIER, SF FLATHEAD - HUNGRY HORSE DAM, FLATHEAD - AT COLUMBIA FALLS, CLARK FORK - AT DEER LODGE, CLARK FORK - NEAR DRUMMOND, ROCK CREEK - NEAR CLINTON, BLACKFOOT - NEAR BONNER, CLARK FORK - ABOVE MISSOULA, BITTERROOT - NEAR MISSOULA, CLARK FORK - BELOW MISSOULA, ST. REGIS - NEAR ST. REGIS, CLARK FORK - AT ST REGIS, FLATHEAD - KERR DAM, CLARK FORK - NOXON RAPIDS DAM, CLARK FORK - CABINET GORGE DAM, PRIEST - NEAR PRIEST RIVER, PEND OREILLE - ALBENI FALLS DAM, COEUR D ALENE - COEUR D'ALENE LAKE, SPOKANE - AT SPOKANE, SPOKANE - AT LONGLAKE, ST MARIES - NEAR SANTA, COLUMBIA - AT INTERNATIONAL BOUNDRY, KETTLE - AT LAURIER, COLUMBIA - GRAND COULEE DAM, COLUMBIA - CHIEF JOSEPH DAM, OKANOGAN - NEAR TONASKET, METHOW - NEAR PATEROS, COLUMBIA - WELLS DAM, CHELAN - LAKE CHELAN DAM, COLUMBIA - ROCKY REACH DAM, ENTIAT - NEAR ARDENVOIR, WENATCHEE - AT PESHASTIN, COLUMBIA - WANAPUM DAM, COLUMBIA - PRIEST RAPIDS DAM, YAKIMA - KEECHELUS DAM, KACHESS - KACHESS DAM NEAR EASTON, YAKIMA - AT EASTON, CLE ELUM - CLE ELUM LAKE, TEANAWAY - BELOW FORKS, YAKIMA - AT UMTANUM, BUMPING - BUMPING LAKE DAM NEAR GOOSE PRAIRIE, NACHES - NEAR CLIFFDEL, TIETON - RIMROCK DAM, NACHES - NEAR NACHES, YAKIMA - NEAR PARKER, YAKIMA - AT KIONA, HENRYS FORK - ISLAND PARK DAM, FALLS - NR CHESTER, HENRY'S FORK - AT ST. ANTHONY, TETON - NEAR ST. ANTHONY, HENRYS FORK - AT REXBURG, SNAKE - JACKSON LAKE AT DAM, SNAKE - NEAR JACKSON, SNAKE - NEAR ALPINE, SF SNAKE - PALISADES DAM, SNAKE - NEAR HEISE, WILLOW CREEK - RIRIE DAM, SNAKE - ABOVE EAGLE ROCK NEAR IDAHO FALLS, SNAKE - NEAR SHELLEY, SNAKE - AT BLACKFOOT, SNAKE - NEAR BLACKFOOT, PORTNEUF - AT POCATELLO, SNAKE - AMERICAN FALLS RESERVOIR, SNAKE - AT MILNER, BRUNEAU - NEAR HOT SPRINGS, SNAKE - BELOW SWAN FALLS, BIG LOST - AT HOWELL RANCH NEAR CHILLY, BIG LOST - AT MACKAY, BIG WOOD - AT HAILEY, BIG WOOD - MAGIC DAM, LITTLE WOOD - LITTLE WOOD DAM, OWYHEE - OWYHEE DAM, SF BOISE - ANDERSON RANCH DAM, BOISE - LUCKY PEAK DAM, BOISE - AT GLENWOOD BRIDGE, BOISE - NEAR PARMA, MALHEUR - WARM SPRINGS DAM, MALHEUR - AGENCY VALLEY DAM, BULLY CREEK - BULLY CR DAM, MALHEUR - NEAR VALE, NF PAYETTE - CASCADE DAM, DEADWOOD - DEADWOOD RESERVOIR, PAYETTE - NEAR EMMETT, WEISER - NR WEISER, SNAKE - AT WEISER, SNAKE - BROWNLEE DAM, SALMON - AT WHITEBIRD, GRANDE RONDE - AT TROY, SNAKE -  NEAR ANATONE, CLEARWATER - AT OROFINO, CLEARWATER - DWORSHAK DAM, CLEARWATER - AT SPALDING, SNAKE - LOWER GRANITE DAM, SNAKE - LITTLE GOOSE DAM, SNAKE - LOWER MONUMENTAL DAM, SNAKE - ICE HARBOR DAM, WALLA WALLA - NEAR TOUCHET, COLUMBIA - MCNARY DAM, UMATILLA - NEAR GIBBON, UMATILLA - AT PENDLETON, MCKAY CREEK - NEAR PILOTROCK, UMATILLA - NEAR UMATILLA, NF JOHN DAY - AT MONUMENT, JOHN DAY - AT SERVICE CK, COLUMBIA - JOHN DAY DAM, DESCHUTES - AT MOODY NR BIGGS, COLUMBIA - THE DALLES DAM, KLICKITAT - NEAR PITT, HOOD - AT TUCKER BRIDGE, WHITE SALMON - NEAR UNDERWOOD, COLUMBIA - BONNEVILLE DAM
2011-01-12,3305.0,4925.0,748.0,610.0,1095.0,6732.0,252.0,592.0,180.0,770.0,1625.0,712.0,2338.0,140.0,2870.0,11962.0,12945.0,14268.0,1210.0,16540.0,3262.0,5798.0,6880.0,142.0,136332.0,428.0,154820.0,129655.0,890.0,415.0,132348.0,572.0,135825.0,120.0,1130.0,137842.0,138172.0,212.0,178.0,400.0,385.0,110.0,1168.0,102.0,460.0,198.0,740.0,2160.0,2372.0,400.0,400.0,1160.0,370.0,1530.0,480.0,1180.0,1370.0,2235.0,1252.0,40.0,1962.0,1920.0,1602.0,1630.0,60.0,4272.0,4320.0,100.0,10638.0,90.0,160.0,100.0,40.0,60.0,478.0,300.0,565.0,680.0,1390.0,0.0,70.0,50.0,80.0,300.0,70.0,940.0,280.0,13088.0,14012.0,3340.0,1215.0,23948.0,2640.0,1762.0,8252.0,32200.0,32200.0,32472.0,32472.0,1575.0,162715.0,122.0,355.0,200.0,600.0,515.0,1362.0,165470.0,5628.0,166500.0,1162.0,1005.0,900.0,172168.0
2011-01-13,3290.0,4862.0,740.0,598.0,1072.0,7178.0,250.0,588.0,180.0,768.0,1605.0,708.0,2312.0,135.0,2850.0,9365.0,12512.0,13760.0,1265.0,14745.0,2595.0,3585.0,5155.0,145.0,93485.0,420.0,103260.0,125000.0,890.0,410.0,126315.0,722.0,128895.0,120.0,1105.0,130032.0,130085.0,362.0,268.0,510.0,352.0,175.0,1122.0,100.0,460.0,192.0,715.0,2092.0,2312.0,400.0,400.0,1138.0,370.0,1518.0,480.0,1172.0,1365.0,2225.0,1280.0,40.0,2052.0,1988.0,1588.0,1600.0,60.0,4245.0,4348.0,100.0,10582.0,90.0,160.0,100.0,40.0,60.0,470.0,300.0,532.0,680.0,1370.0,10.0,70.0,50.0,80.0,298.0,70.0,940.0,302.0,13182.0,14140.0,3315.0,1298.0,23998.0,2578.0,1852.0,8368.0,32368.0,32368.0,33182.0,33182.0,1812.0,170608.0,195.0,705.0,215.0,592.0,845.0,1358.0,178338.0,5832.0,181210.0,1248.0,1522.0,948.0,184598.0
2011-01-14,3275.0,4860.0,740.0,590.0,1050.0,7155.0,242.0,580.0,180.0,758.0,1588.0,700.0,2290.0,130.0,2820.0,9195.0,12145.0,13350.0,1292.0,17388.0,4562.0,4530.0,6630.0,680.0,93060.0,420.0,101968.0,123125.0,890.0,405.0,124775.0,675.0,127702.0,120.0,1085.0,129195.0,129292.0,632.0,642.0,820.0,682.0,760.0,1525.0,122.0,462.0,365.0,825.0,2228.0,2410.0,400.0,390.0,1118.0,370.0,1495.0,480.0,1170.0,1360.0,2215.0,1280.0,40.0,2055.0,2010.0,1645.0,1652.0,60.0,4248.0,4370.0,100.0,10692.0,90.0,160.0,100.0,40.0,60.0,595.0,300.0,498.0,680.0,1368.0,15.0,70.0,65.0,80.0,570.0,70.0,950.0,1135.0,13580.0,14330.0,3315.0,2415.0,25505.0,3610.0,4698.0,9932.0,35442.0,35442.0,39920.0,39920.0,3695.0,171945.0,468.0,2000.0,530.0,1530.0,3335.0,3238.0,178288.0,7180.0,182038.0,2690.0,3558.0,1598.0,186170.0
2011-01-15,3262.0,4928.0,740.0,580.0,1030.0,6568.0,240.0,572.0,180.0,750.0,1575.0,702.0,2272.0,192.0,2815.0,8720.0,12215.0,13430.0,1378.0,20760.0,8848.0,6618.0,10895.0,1138.0,95158.0,420.0,106700.0,108750.0,890.0,400.0,112165.0,705.0,116938.0,120.0,1125.0,120670.0,121375.0,610.0,660.0,755.0,750.0,745.0,2310.0,140.0,555.0,320.0,818.0,3238.0,2678.0,400.0,390.0,1118.0,370.0,1480.0,480.0,1160.0,1350.0,2205.0,1280.0,40.0,2035.0,1992.0,1648.0,1668.0,60.0,4285.0,4395.0,100.0,10725.0,90.0,158.0,100.0,40.0,60.0,1055.0,292.0,490.0,680.0,1370.0,28.0,70.0,90.0,80.0,460.0,70.0,958.0,1248.0,14465.0,15440.0,3355.0,2555.0,26370.0,5978.0,7772.0,13855.0,40225.0,40225.0,44452.0,44452.0,3850.0,176770.0,502.0,1872.0,612.0,2360.0,4242.0,5282.0,188442.0,7972.0,193015.0,2848.0,3715.0,1828.0,200715.0
2011-01-16,3250.0,5080.0,738.0,570.0,1012.0,5170.0,232.0,570.0,180.0,742.0,1558.0,720.0,2278.0,402.0,3038.0,7612.0,12402.0,13645.0,1422.0,19502.0,11942.0,7048.0,11308.0,1592.0,95170.0,410.0,107528.0,90000.0,880.0,398.0,91282.0,812.0,94195.0,120.0,1295.0,96828.0,97475.0,562.0,615.0,662.0,718.0,562.0,2250.0,155.0,700.0,292.0,958.0,3490.0,3350.0,400.0,395.0,1118.0,360.0,1480.0,480.0,1160.0,1348.0,2195.0,1280.0,40.0,2030.0,1980.0,1635.0,1652.0,60.0,4282.0,4400.0,95.0,10735.0,90.0,150.0,100.0,40.0,60.0,1265.0,290.0,490.0,680.0,1362.0,20.0,70.0,100.0,80.0,430.0,70.0,968.0,995.0,14355.0,15482.0,3395.0,2525.0,26085.0,7535.0,9860.0,16670.0,42755.0,42755.0,46745.0,46745.0,3768.0,164102.0,608.0,2080.0,600.0,2275.0,3722.0,4875.0,179290.0,7740.0,184538.0,2542.0,3218.0,1682.0,193960.0
2011-01-17,3238.0,5078.0,730.0,562.0,995.0,4532.0,230.0,560.0,180.0,738.0,1545.0,738.0,2280.0,315.0,3012.0,6502.0,12548.0,13805.0,1392.0,17282.0,11242.0,7605.0,11010.0,1155.0,93450.0,410.0,106098.0,105000.0,880.0,390.0,103442.0,708.0,102482.0,120.0,1262.0,100638.0,99872.0,640.0,660.0,685.0,740.0,578.0,2000.0,178.0,778.0,332.0,1068.0,3418.0,3892.0,400.0,390.0,1108.0,360.0,1478.0,480.0,1158.0,1340.0,2185.0,1280.0,40.0,2038.0,1980.0,1630.0,1648.0,60.0,4270.0,4400.0,90.0,10758.0,90.0,150.0,100.0,40.0,60.0,1492.0,290.0,502.0,680.0,1428.0,25.0,70.0,168.0,90.0,432.0,70.0,978.0,1702.0,14985.0,15875.0,3422.0,3138.0,26668.0,8278.0,8972.0,17352.0,44022.0,44022.0,47795.0,47795.0,4348.0,150968.0,748.0,2782.0,738.0,2848.0,4748.0,5192.0,163542.0,8032.0,168665.0,3182.0,3278.0,1718.0,176775.0
2011-01-18,3225.0,5032.0,730.0,560.0,978.0,4082.0,228.0,560.0,180.0,730.0,1535.0,732.0,2270.0,222.0,2902.0,5842.0,12412.0,13662.0,1350.0,16482.0,9628.0,8060.0,11438.0,855.0,91622.0,410.0,104412.0,130000.0,880.0,390.0,131268.0,688.0,132528.0,118.0,1335.0,132058.0,131185.0,795.0,832.0,838.0,1012.0,780.0,2295.0,238.0,1038.0,375.0,1412.0,3822.0,4070.0,400.0,390.0,1095.0,360.0,1465.0,480.0,1150.0,1340.0,2178.0,1402.0,40.0,2042.0,1982.0,1630.0,1650.0,60.0,4270.0,4400.0,90.0,10768.0,82.0,150.0,100.0,40.0,60.0,2370.0,290.0,520.0,680.0,1450.0,40.0,70.0,232.0,120.0,465.0,70.0,985.0,2242.0,16242.0,17265.0,3452.0,4040.0,28478.0,9098.0,8630.0,18422.0,46898.0,46898.0,51788.0,51788.0,5148.0,171755.0,900.0,3305.0,918.0,3845.0,6632.0,7925.0,181510.0,8392.0,185382.0,3758.0,3368.0,1845.0,191142.0
2011-01-19,3215.0,5028.0,730.0,550.0,962.0,3990.0,220.0,552.0,180.0,725.0,1525.0,725.0,2250.0,180.0,2838.0,5465.0,12295.0,13535.0,1302.0,15675.0,7385.0,8250.0,11445.0,560.0,90628.0,410.0,103318.0,130000.0,878.0,382.0,131260.0,722.0,133022.0,120.0,1418.0,134438.0,134435.0,725.0,752.0,750.0,925.0,612.0,2518.0,228.0,1020.0,382.0,1468.0,4470.0,4405.0,400.0,390.0,1085.0,360.0,1450.0,480.0,1150.0,1330.0,2170.0,1625.0,40.0,2212.0,2100.0,1668.0,1670.0,60.0,4275.0,4400.0,90.0,10768.0,80.0,150.0,100.0,40.0,60.0,2698.0,290.0,518.0,680.0,1440.0,40.0,70.0,225.0,250.0,382.0,70.0,1000.0,1675.0,16005.0,17410.0,3458.0,3295.0,27252.0,9495.0,7982.0,18118.0,45370.0,45370.0,48765.0,48765.0,4405.0,192790.0,720.0,2225.0,788.0,3302.0,5420.0,7270.0,208508.0,8082.0,212978.0,3380.0,2922.0,1700.0,220722.0
2011-01-20,3202.0,5008.0,730.0,538.0,945.0,3900.0,220.0,548.0,180.0,720.0,1512.0,718.0,2225.0,162.0,2790.0,5325.0,12215.0,13450.0,1255.0,15248.0,5790.0,8135.0,10718.0,432.0,89812.0,410.0,101712.0,130000.0,870.0,380.0,131260.0,742.0,133035.0,120.0,1350.0,134395.0,134398.0,725.0,720.0,790.0,1032.0,558.0,2380.0,320.0,1215.0,485.0,1730.0,4462.0,4915.0,400.0,390.0,1072.0,360.0,1435.0,480.0,1148.0,1330.0,2160.0,1890.0,40.0,2412.0,2310.0,1835.0,1820.0,60.0,4340.0,4400.0,90.0,10768.0,80.0,150.0,100.0,40.0,60.0,2238.0,290.0,510.0,680.0,1438.0,40.0,70.0,220.0,300.0,328.0,70.0,1010.0,2328.0,16482.0,17565.0,3448.0,3612.0,26692.0,8770.0,6518.0,16285.0,42978.0,42978.0,46530.0,46530.0,3990.0,190238.0,652.0,1992.0,755.0,2360.0,4280.0,5508.0,204185.0,7930.0,209050.0,4055.0,3018.0,1848.0,217602.0
2011-01-21,3188.0,4985.0,730.0,525.0,930.0,3845.0,220.0,540.0,180.0,712.0,1498.0,710.0,2210.0,150.0,2755.0,5215.0,11988.0,13208.0,1215.0,14922.0,4718.0,7548.0,9800.0,395.0,89312.0,400.0,100205.0,128125.0,870.0,380.0,129730.0,735.0,131880.0,112.0,1262.0,133558.0,133662.0,570.0,600.0,670.0,855.0,352.0,2265.0,285.0,1245.0,385.0,1788.0,4702.0,5085.0,400.0,390.0,1060.0,360.0,1420.0,480.0,1140.0,1320.0,2152.0,2210.0,40.0,2682.0,2560.0,2052.0,2030.0,60.0,4515.0,4400.0,90.0,10775.0,80.0,150.0,100.0,40.0,60.0,1772.0,290.0,510.0,668.0,1440.0,40.0,70.0,220.0,332.0,360.0,70.0,1015.0,2532.0,17240.0,18505.0,3448.0,4422.0,28790.0,7738.0,5198.0,14615.0,43405.0,43405.0,46458.0,46458.0,4485.0,190328.0,662.0,2220.0,825.0,2540.0,4930.0,5600.0,202930.0,8020.0,207645.0,3688.0,2905.0,1742.0,216510.0
