, KOOTENAI - LIBBY DAM, KOOTENAI - AT LEONIA, NF FLATHEAD - NEAR COLUMBIA FALLS, MF FLATHEAD - NEAR WEST GLACIER, SF FLATHEAD - HUNGRY HORSE DAM, FLATHEAD - AT COLUMBIA FALLS, CLARK FORK - AT DEER LODGE, CLARK FORK - NR DRUMMOND, ROCK CREEK - NEAR CLINTON, BLACKFOOT - NEAR BONNER, CLARK FORK - ABOVE MISSOULA, BITTERROOT - NEAR MISSOULA, CLARK FORK - BELOW MISSOULA, ST. REGIS - NEAR ST. REGIS, CLARK FORK - AT ST REGIS, FLATHEAD - KERR DAM, CLARK FORK - NOXON RAPIDS DAM, CLARK FORK - CABINET GORGE DAM, PRIEST - NEAR PRIEST RIVER, PEND OREILLE - ALBENI FALLS DAM, COEUR D ALENE - NEAR POTLATCH, SPOKANE - AT SPOKANE, SPOKANE - AT LONGLAKE, ST MARIES - NEAR SANTA, COLUMBIA - AT INTL BOUNDARY, KETTLE - AT LAURIER, COLUMBIA - GRAND COULEE DAM, COLUMBIA - CHIEF JOSEPH DAM, OKANOGAN - NEAR TONASKET, METHOW - NEAR PATEROS, COLUMBIA - WELLS DAM, CHELAN - LAKE CHELAN DAM, COLUMBIA - ROCKY REACH DAM, ENTIAT - NEAR ARDENVOIR, WENATCHEE - AT PESHASTIN, COLUMBIA - WANAPUM DAM, COLUMBIA - PRIEST RAPIDS DAM, YAKIMA - KEECHELUS LAKE, KACHESS - KACHESS DAM, YAKIMA - AT EASTON, CLE ELUM - CLE ELUM LAKE, TEANAWAY - BELOW FORKS, YAKIMA - AT UMTANUM, BUMPING - BUMPING LAKE DAM, NACHES - NEAR CLIFFDEL, TIETON - RIMROCK LAKE NEAR RIMROCK, NACHES - NEAR NACHES, YAKIMA - NEAR PARKER, YAKIMA - AT KIONA, HENRYS FORK - ISLAND PARK DAM, FALLS - NEAR CHESTER, HENRY'S FORK - AT ST. ANTHONY, TETON - NEAR ST. ANTHONY, HENRYS FORK - AT REXBURG, SNAKE - JACKSON LAKE AT DAM, SNAKE - NEAR JACKSON, SNAKE - NEAR ALPINE, SF SNAKE - PALISADES DAM, SNAKE - NEAR HEISE, WILLOW CREEK - RIRIE DAM, SNAKE - AB EAGLE ROCK NR IDAHO FALLS, SNAKE - NEAR SHELLEY, SNAKE - AT BLACKFOOT, SNAKE - NEAR BLACKFOOT, PORTNEUF - AT POCATELLO, SNAKE - AMERICAN FALLS RESERVOIR, SNAKE - AT MILNER, BRUNEAU - NEAR HOT SPRINGS, SNAKE - BELOW SWAN FALLS, BIG LOST - NEAR POTLATCH, BIG LOST - MACKAY RESERVOIR NEAR MACKAY, BIG WOOD - AT HAILEY, BIG WOOD - MAGIC DAM, LITTLE WOOD - LITTLE WOOD DAM, OWYHEE - BELOW OWYHEE DAM, SF BOISE - ANDERSON RANCH DAM, BOISE - LUCKY PEAK DAM, BOISE - AT GLENWOOD BRIDGE, BOISE - NEAR PARMA, MALHEUR - WARM SPRINGS DAM, MALHEUR - AGENCY VALLEY DAM, BULLY CREEK - BULLY CREEK DAM, MALHEUR - NEAR VALE, NF PAYETTE - CASCADE DAM, DEADWOOD - NEAR LOWMAN, PAYETTE - NEAR EMMETT, WEISER - NEAR WEISER, SNAKE - AT WEISER, SNAKE - BROWNLEE DAM, SALMON - AT WHITEBIRD, GRANDE RONDE - TROY, SNAKE - NEAR ANATONE, CLEARWATER - AT OROFINO, CLEARWATER - DWORSHAK DAM, CLEARWATER - AT SPALDING, SNAKE - LOWER GRANITE DAM, SNAKE - LITTLE GOOSE DAM, SNAKE - LOWER MONUMENTAL DAM, SNAKE - ICE HARBOR DAM, WALLA WALLA - NEAR TOUCHET, COLUMBIA - MCNARY DAM, UMATILLA - NEAR GIBBON, UMATILLA - AT PENDLETON, MCKAY CREEK - NEAR PILOT ROCK, UMATILLA - NEAR UMATILLA, NF JOHN DAY - AT MONUMENT, JOHN DAY - AT SERVICE CK, COLUMBIA - JOHN DAY DAM, DESCHUTES - AT MOODY NR BIGGS, COLUMBIA - THE DALLES DAM, KLICKITAT - NEAR PITT, HOOD - NEAR TUCKER BRIDGE, WHITE SALMON - NEAR UNDERWOOD, COLUMBIA - BONNEVILLE DAM
2011-02-01,3638.0,6260.0,1068.0,1145.0,2090.0,4365.0,230.0,668.0,210.0,782.0,1810.0,1202.0,2932.0,385.0,4000.0,7508.0,16185.0,17882.0,1222.0,18828.0,10162.0,14682.0,17738.0,525.0,83485.0,598.0,101648.0,130000.0,1010.0,663.0,132893.0,1147.0,135340.0,210.0,3140.0,141360.0,141487.0,398.0,348.0,495.0,920.0,652.0,2842.0,265.0,1330.0,600.0,2722.0,6195.0,7280.0,440.0,410.0,1230.0,377.0,1653.0,480.0,1387.0,1677.0,2630.0,2500.0,50.0,3380.0,3837.0,3513.0,3293.0,280.0,5027.0,4600.0,253.0,11793.0,80.0,150.0,160.0,150.0,40.0,870.0,410.0,670.0,287.0,960.0,343.0,120.0,0.0,520.0,198.0,80.0,1445.0,843.0,15800.0,18453.0,4590.0,3453.0,35733.0,6830.0,5740.0,18770.0,54503.0,54503.0,56153.0,56153.0,1365.0,206043.0,212.0,590.0,495.0,1645.0,2180.0,3438.0,209990.0,7922.0,214730.0,2300.0,1550.0,1428.0,221000.0
2011-02-02,3610.0,6098.0,1052.0,1110.0,2000.0,4370.0,230.0,648.0,210.0,765.0,1765.0,1155.0,2842.0,360.0,3820.0,7205.0,16392.0,18122.0,1185.0,19050.0,8302.0,12385.0,14855.0,490.0,81858.0,588.0,98302.0,130000.0,840.0,645.0,132832.0,1112.0,135465.0,200.0,2992.0,138512.0,138598.0,345.0,375.0,438.0,812.0,542.0,2455.0,240.0,1222.0,522.0,2500.0,5535.0,6788.0,440.0,410.0,1170.0,370.0,1592.0,480.0,1378.0,1665.0,2612.0,2500.0,50.0,3370.0,3825.0,3505.0,3292.0,278.0,5055.0,4600.0,248.0,12088.0,80.0,150.0,160.0,150.0,40.0,622.0,408.0,718.0,348.0,988.0,295.0,110.0,0.0,512.0,180.0,80.0,1405.0,765.0,15075.0,17465.0,4510.0,3320.0,35250.0,6298.0,5102.0,18095.0,53342.0,53342.0,54618.0,54618.0,1260.0,203755.0,175.0,525.0,440.0,1472.0,1885.0,3092.0,210348.0,7515.0,214348.0,2145.0,1410.0,1350.0,219455.0
2011-02-03,3590.0,5978.0,1038.0,1080.0,1922.0,4378.0,222.0,638.0,210.0,752.0,1730.0,1118.0,2775.0,345.0,3712.0,7110.0,16200.0,17912.0,1155.0,18765.0,7148.0,11075.0,13288.0,438.0,79600.0,578.0,94488.0,130000.0,778.0,622.0,132532.0,1110.0,135148.0,192.0,2865.0,138065.0,138085.0,318.0,355.0,415.0,752.0,478.0,2200.0,225.0,1125.0,460.0,2275.0,4972.0,6172.0,440.0,410.0,1152.0,370.0,1525.0,480.0,1370.0,1652.0,2590.0,2500.0,50.0,3300.0,3752.0,3462.0,3275.0,270.0,5092.0,4600.0,240.0,11965.0,80.0,150.0,160.0,142.0,45.0,498.0,400.0,770.0,418.0,1045.0,260.0,100.0,0.0,450.0,170.0,80.0,1365.0,708.0,15622.0,17630.0,4430.0,3208.0,34962.0,5805.0,4495.0,17498.0,52462.0,52462.0,53605.0,53605.0,1185.0,200070.0,150.0,480.0,395.0,1362.0,1650.0,2782.0,209685.0,7242.0,213462.0,2025.0,1295.0,1290.0,218378.0
2011-02-04,3565.0,5905.0,1025.0,1050.0,1850.0,4380.0,220.0,630.0,210.0,738.0,1702.0,1085.0,2720.0,330.0,3620.0,7035.0,16085.0,17790.0,1128.0,18542.0,6490.0,10008.0,12208.0,425.0,78692.0,568.0,92115.0,130000.0,755.0,600.0,132342.0,1118.0,134840.0,188.0,2760.0,137678.0,137698.0,295.0,318.0,402.0,670.0,435.0,2020.0,205.0,1040.0,415.0,2080.0,4532.0,5620.0,440.0,405.0,1135.0,370.0,1495.0,472.0,1360.0,1638.0,2570.0,2500.0,50.0,3245.0,3678.0,3382.0,3212.0,270.0,5095.0,4600.0,238.0,11955.0,80.0,150.0,160.0,140.0,50.0,485.0,398.0,828.0,490.0,1105.0,250.0,100.0,0.0,415.0,170.0,80.0,1325.0,668.0,15482.0,17482.0,4350.0,3110.0,35085.0,5468.0,4090.0,17120.0,52202.0,52202.0,53338.0,53338.0,1135.0,198222.0,135.0,448.0,358.0,1298.0,1502.0,2582.0,207652.0,7050.0,211225.0,1928.0,1210.0,1245.0,215928.0
2011-02-05,3540.0,5848.0,1012.0,1020.0,1782.0,4300.0,220.0,622.0,210.0,725.0,1680.0,1055.0,2670.0,318.0,3548.0,6935.0,16000.0,17700.0,1102.0,18368.0,6050.0,9285.0,11190.0,412.0,77512.0,560.0,90312.0,124095.0,738.0,585.0,127428.0,1132.0,130445.0,180.0,2662.0,134445.0,134790.0,290.0,295.0,400.0,615.0,408.0,1880.0,192.0,965.0,375.0,1910.0,4200.0,5185.0,440.0,400.0,1122.0,370.0,1475.0,470.0,1352.0,1625.0,2552.0,2500.0,50.0,3215.0,3635.0,3325.0,3165.0,270.0,5080.0,4600.0,230.0,11955.0,80.0,150.0,160.0,138.0,50.0,515.0,390.0,885.0,520.0,1155.0,240.0,100.0,0.0,395.0,170.0,80.0,1285.0,640.0,15402.0,17208.0,4275.0,3005.0,32145.0,5220.0,3805.0,16872.0,49020.0,49020.0,50128.0,50128.0,1095.0,195950.0,130.0,435.0,325.0,1255.0,1420.0,2468.0,205755.0,6925.0,209202.0,1840.0,1150.0,1205.0,213785.0
2011-02-06,3520.0,5740.0,1002.0,998.0,1715.0,4215.0,220.0,620.0,210.0,715.0,1660.0,1028.0,2625.0,308.0,3475.0,6788.0,15925.0,17625.0,1080.0,18215.0,5738.0,8955.0,10828.0,400.0,75015.0,552.0,87252.0,112550.0,730.0,565.0,114822.0,1145.0,117085.0,175.0,2568.0,120662.0,121098.0,280.0,272.0,398.0,555.0,375.0,1785.0,178.0,910.0,342.0,1770.0,3942.0,4860.0,440.0,400.0,1118.0,370.0,1455.0,470.0,1348.0,1612.0,2535.0,2500.0,50.0,3195.0,3600.0,3288.0,3135.0,270.0,5082.0,4600.0,222.0,11955.0,80.0,150.0,160.0,130.0,50.0,562.0,390.0,945.0,522.0,1160.0,242.0,105.0,0.0,445.0,162.0,80.0,1248.0,662.0,15392.0,17045.0,4210.0,2898.0,31870.0,5058.0,3592.0,16695.0,48565.0,48565.0,49645.0,49645.0,1070.0,185250.0,130.0,422.0,302.0,1228.0,1505.0,2528.0,196380.0,6905.0,200012.0,1760.0,1095.0,1165.0,205130.0
2011-02-07,3498.0,5642.0,990.0,972.0,1655.0,4140.0,220.0,620.0,210.0,702.0,1645.0,1000.0,2585.0,298.0,3410.0,6632.0,15860.0,17558.0,1060.0,18078.0,5500.0,8488.0,10430.0,388.0,74800.0,545.0,86215.0,110320.0,720.0,550.0,112408.0,1160.0,114438.0,170.0,2480.0,117198.0,117292.0,270.0,245.0,385.0,488.0,345.0,1678.0,168.0,850.0,320.0,1648.0,3725.0,4618.0,440.0,400.0,1110.0,360.0,1445.0,470.0,1340.0,1598.0,2515.0,2500.0,50.0,3180.0,3570.0,3258.0,3115.0,270.0,5102.0,4600.0,220.0,11958.0,80.0,150.0,150.0,130.0,50.0,632.0,380.0,1005.0,530.0,1155.0,272.0,120.0,0.0,762.0,160.0,80.0,1215.0,675.0,15515.0,17010.0,4145.0,2795.0,31692.0,5002.0,3425.0,16945.0,48638.0,48638.0,49682.0,49682.0,1048.0,174542.0,130.0,412.0,280.0,1200.0,1622.0,2710.0,184585.0,6978.0,187988.0,1685.0,1038.0,1138.0,192632.0
2011-02-08,3475.0,5560.0,978.0,950.0,1595.0,4145.0,220.0,620.0,210.0,692.0,1632.0,975.0,2552.0,290.0,3360.0,6510.0,15800.0,17500.0,1045.0,17952.0,5345.0,7955.0,9730.0,378.0,74335.0,540.0,84725.0,110000.0,720.0,535.0,111865.0,1175.0,113755.0,165.0,2390.0,116182.0,116195.0,260.0,225.0,378.0,435.0,322.0,1560.0,158.0,795.0,300.0,1528.0,3492.0,4425.0,432.0,400.0,1108.0,360.0,1435.0,470.0,1332.0,1588.0,2500.0,2500.0,50.0,3170.0,3548.0,3232.0,3102.0,270.0,5128.0,4600.0,210.0,11958.0,80.0,145.0,150.0,130.0,50.0,698.0,380.0,1065.0,530.0,1150.0,292.0,122.0,5.0,915.0,160.0,72.0,1185.0,635.0,15758.0,17130.0,4082.0,2695.0,31522.0,5000.0,3262.0,17625.0,49148.0,49148.0,50160.0,50160.0,1032.0,172300.0,122.0,405.0,248.0,1180.0,1650.0,2782.0,181690.0,7098.0,184835.0,1620.0,988.0,1110.0,188782.0
2011-02-09,3455.0,5495.0,968.0,930.0,1540.0,4162.0,220.0,610.0,210.0,682.0,1615.0,950.0,2515.0,280.0,3305.0,6452.0,15752.0,17448.0,1028.0,17848.0,5250.0,7842.0,9550.0,368.0,73860.0,530.0,84050.0,110000.0,720.0,522.0,111760.0,1192.0,113662.0,160.0,2310.0,115995.0,116002.0,242.0,208.0,375.0,408.0,310.0,1472.0,150.0,745.0,290.0,1435.0,3285.0,4242.0,430.0,400.0,1100.0,360.0,1425.0,470.0,1328.0,1575.0,2482.0,2500.0,50.0,3160.0,3525.0,3210.0,3095.0,270.0,5162.0,4600.0,210.0,11962.0,80.0,140.0,150.0,130.0,50.0,750.0,375.0,1125.0,530.0,1158.0,335.0,148.0,22.0,1075.0,160.0,70.0,1168.0,648.0,15918.0,17162.0,4028.0,2602.0,31352.0,4978.0,3128.0,17692.0,49045.0,49045.0,50032.0,50032.0,1022.0,171568.0,130.0,418.0,230.0,1188.0,1698.0,2840.0,180902.0,7192.0,183975.0,1560.0,955.0,1090.0,187725.0
2011-02-10,3435.0,5438.0,958.0,910.0,1488.0,4135.0,220.0,610.0,210.0,675.0,1598.0,928.0,2475.0,272.0,3250.0,6398.0,15700.0,17392.0,1015.0,17740.0,4998.0,7600.0,9308.0,358.0,73415.0,525.0,83342.0,110000.0,720.0,510.0,111655.0,1210.0,113570.0,155.0,2230.0,115822.0,115830.0,225.0,195.0,388.0,385.0,302.0,1460.0,150.0,738.0,298.0,1380.0,3172.0,4090.0,430.0,400.0,1100.0,360.0,1420.0,470.0,1320.0,1565.0,2465.0,2500.0,50.0,3150.0,3502.0,3190.0,3088.0,262.0,5195.0,4600.0,202.0,11965.0,80.0,140.0,150.0,130.0,50.0,820.0,370.0,1185.0,530.0,1160.0,368.0,160.0,38.0,1255.0,160.0,70.0,1152.0,692.0,16182.0,17388.0,3972.0,2515.0,31200.0,4918.0,2982.0,17662.0,48865.0,48865.0,49840.0,49840.0,1020.0,171042.0,130.0,440.0,230.0,1230.0,1700.0,2863.0,180470.0,7220.0,183438.0,1510.0,920.0,1073.0,187065.0
