, LIBBY DAM, KOOTENAI RIV AT LEONIA, NF FLATHEAD R NR COLUMBIA FALL, MF FLATHEAD NR WEST GLACIER, HUNGRY HORSE DAM, FLATHEAD R AT COLUMBIA FALLS, CLARK FORK AT DEER LODGE, CLARK FORK AT DRUMMOND, ROCK CREEK NR CLINTON, BLACKFOOT R NR BONNER, CLARK FORK AB MISSOULA, BITTERROOT R NR MISSOULA, CLARK FORK BELOW MISSOULA, ST. REGIS R. NR ST. REGIS, CLARK FORK AT ST REGIS, KERR DAM, NOXON RAPIDS DAM, CABINET GORGE DAM, PRIEST R NR PRIEST RIVER, ALBENI FALLS DAM, COEUR D'ALENE LAKE, SPOKANE RIV AT LONGLAKE, ST MARIES R NR SANTA, COLUMBIAR @INTERNATL BOUNDAR, KETTLE RIVER AT LAURIER, GRAND COULEE DAM, CHIEF JOSEPH DAM, OKANOGAN RIVER NR TONASKET, METHOW R NR PATEROS, WELLS DAM, LAKE CHELAN DAM, ROCKY REACH DAM, ENTIAT R NR ARDENVOIR, WENATCHEE R AT PESHASTIN, WANAPUM DAM, PRIEST RAPIDS DAM, KEECHELUS LAKE, KACHESS DAM, YAKIMA RIVER AT EASTON, CLE ELUM LAKE, YAKIMA RIVER AT CLE ELUM, TEANAWAY RIVER BLW FORKS, YAKIMA RIVER AT UMTANUM, BUMPING LAKE, NACHES RIVER NR CLIFFDEL, RIMROCK LAKE, NACHES RIVER NR NACHES, YAKIMA RIVER NR PARKER, YAKIMA RIVER AT KIONA, ISLAND PARK 1SWIS.PARKDM&RES, FALL RIVER NR CHESTER, HENRYS FORK AT ST. ANTHONY, TETON RIVER NEAR ST. ANTHONY, HENRYS FORK NEAR REXBURG, SNAKE R ON JACKSON LAKE AT DAM, SNAKE RIVER NR JACKSON, SNAKE RIVER NR ALPINE, PALISADES DAM, SNAKE RIVER NR HEISE, RIRIE DAM, SNAKE AB EAGLE ROCK NR ID FALL, SNAKE RIVER NR SHELLEY, SNAKE RIVER AT BLACKFOOT, SNAKE RIVER NEAR BLACKFOOT, PORTNEUF RIVER AT POCATELLO, AMERICAN FALLS RESERVOIR, SNAKE RIV AT MILNER, BRUNEAU RIVER NR HOT SPRINGS, SNAKE RIVER BELOW SWAN FALLS, BIG LOST R@HOW'L RNCH NR CHILL, BIG LOST R AT MACKAY, BIG WOOD RIVER AT HAILEY, MAGIC DM&RES-BIG WOOD RICHFLD, LITL.WOODDM&RESNRCAREY, OWYHEE BELOW OWYHEE DAM, BOISE RIVER AT GLENWOOD BRIDGE, BOISE RIVER NR PARMA, WARM SPRINGS RESERVOIR, AGENCY VLY DAM & BEULAH RSVR, BULLY CREEK DAM & RESERVOIR, MALHEUR RIVER NR VALE, CASCADE DAM, DEADWOOD DAM, PAYETTE RIVER NEAR EMMETT, WEISER RIVER NEAR WEISER, SNAKE RIVER AT WEISER, BROWNLEE DAM, SALMON R AT WHITEBIRD, GRANDE RONDE RIVER AT TROY, SNAKE RIVER NR ANATONE, CLEARWATER R AT OROFINO, DWORSHAK DAM, CLEARWATER R AT SPALDING, LOWER GRANITE DAM, LITTLE GOOSE DAM, LOWER MONUMENTAL DAM, ICE HARBOR DAM, WALLA WALLA RIV NR TOUCHET, MCNARY DAM, UMATILLA R NR GIBBON, UMATILLA R AT PENDLETON, MCKAY CR NR PILOTROCK, UMATILLA RIVER NEAR UMATILLA, NF JOHN DAY RIV AT MONUMENT, JOHN DAY RIVER AT SERVICE CK, JOHN DAY DAM, DESCHUTES R AT MOODY NR BIGGS, THE DALLES, KLICKITAT R NR PITT, HOOD R AT TUCKER BRIDGE, WHITE SALMON R NR UNDERWOOD, BONNEVILLE DAM
2003-06-30,24794.0,19924.0,4418.0,4334.0,4011.0,12900.0,210.0,384.0,620.0,1625.0,3035.0,3445.0,6600.0,213.0,8513.0,14010.0,23159.0,23915.0,1231.0,24859.0,1968.0,3284.0,110.0,115165.0,3343.0,120459.0,108865.0,2533.0,2200.0,111573.0,4149.0,108645.0,736.0,5066.0,117706.0,117183.0,177.0,165.0,252.0,1190.0,2926.0,59.0,3245.0,217.0,997.0,645.0,1413.0,648.0,1308.0,484.0,417.0,505.0,891.0,879.0,1609.0,5788.0,6489.0,8667.0,14562.0,20.0,9274.0,7466.0,4921.0,3568.0,20.0,5143.0,230.0,152.0,5323.0,520.0,521.0,941.0,288.0,130.0,155.0,1343.0,926.0,8.0,57.0,0.0,55.0,891.0,340.0,3210.0,408.0,9366.0,9476.0,13726.0,2044.0,27765.0,8889.0,4669.0,12959.0,40723.0,40723.0,40785.0,40785.0,53.0,166747.0,55.0,57.0,0.0,198.0,355.0,492.0,173479.0,4395.0,169074.0,1216.0,486.0,839.0,195722.0
2003-07-01,22739.0,19909.0,4256.0,4218.0,3613.0,12810.0,205.0,372.0,593.0,1518.0,2864.0,3221.0,6196.0,207.0,8136.0,14042.0,22482.0,23290.0,1163.0,25163.0,1869.0,3430.0,107.0,114489.0,3081.0,121462.0,103122.0,2453.0,2085.0,109804.0,3542.0,113254.0,602.0,4648.0,126586.0,126937.0,143.0,149.0,253.0,945.0,2948.0,56.0,3286.0,194.0,932.0,507.0,1339.0,734.0,1421.0,501.0,418.0,579.0,872.0,806.0,1481.0,6270.0,6871.0,8670.0,14576.0,19.0,9373.0,7740.0,5164.0,3812.0,19.0,5364.0,230.0,147.0,5340.0,503.0,505.0,856.0,280.0,125.0,151.0,1354.0,968.0,8.0,56.0,0.0,92.0,817.0,325.0,3211.0,390.0,9480.0,9576.0,13212.0,1976.0,26961.0,8500.0,4546.0,13236.0,40196.0,40196.0,40253.0,40253.0,52.0,169083.0,55.0,57.0,0.0,674.0,340.0,469.0,171727.0,4390.0,165058.0,1152.0,399.0,822.0,167294.0
2003-07-02,20342.0,19890.0,3836.0,3785.0,3306.0,13182.0,206.0,367.0,566.0,1436.0,2720.0,2988.0,5809.0,202.0,7652.0,13851.0,21680.0,22491.0,1097.0,24173.0,1784.0,3087.0,104.0,112925.0,2829.0,119431.0,100000.0,2390.0,1960.0,104472.0,3080.0,106835.0,513.0,4021.0,117110.0,117200.0,131.0,132.0,252.0,768.0,2956.0,53.0,3296.0,174.0,865.0,456.0,1289.0,702.0,1541.0,519.0,412.0,667.0,855.0,829.0,1373.0,6381.0,7192.0,8947.0,14510.0,19.0,9604.0,8044.0,5532.0,4179.0,21.0,5764.0,230.0,141.0,5376.0,452.0,454.0,793.0,239.0,120.0,146.0,1354.0,1013.0,8.0,54.0,0.0,116.0,756.0,310.0,3111.0,373.0,9712.0,9825.0,12713.0,1892.0,25614.0,7950.0,4143.0,12664.0,38279.0,38279.0,38331.0,38331.0,49.0,166669.0,54.0,56.0,0.0,810.0,325.0,445.0,172271.0,4385.0,166296.0,1111.0,385.0,800.0,169224.0
2003-07-03,18844.0,19804.0,3560.0,3391.0,3044.0,12704.0,196.0,354.0,542.0,1370.0,2602.0,2787.0,5480.0,198.0,7232.0,13954.0,20790.0,21606.0,1038.0,23135.0,1720.0,2967.0,101.0,110938.0,2592.0,117121.0,91406.0,2321.0,1857.0,97643.0,2805.0,102129.0,454.0,3419.0,113393.0,113859.0,122.0,123.0,251.0,668.0,2962.0,51.0,3281.0,163.0,810.0,432.0,1253.0,656.0,1579.0,520.0,390.0,690.0,841.0,850.0,1289.0,6172.0,7095.0,8890.0,14425.0,18.0,9554.0,8012.0,5563.0,4442.0,21.0,6134.0,230.0,136.0,5357.0,401.0,403.0,754.0,209.0,116.0,143.0,1353.0,1003.0,8.0,52.0,0.0,103.0,703.0,296.0,2977.0,358.0,9708.0,9875.0,12240.0,1811.0,24895.0,7237.0,3790.0,11231.0,36125.0,36125.0,36172.0,36172.0,44.0,159427.0,54.0,52.0,0.0,837.0,311.0,422.0,163987.0,4381.0,158112.0,1094.0,386.0,787.0,160829.0
2003-07-04,17648.0,18810.0,3396.0,3141.0,2808.0,12164.0,187.0,334.0,521.0,1310.0,2489.0,2600.0,5170.0,193.0,6879.0,13287.0,19997.0,20817.0,983.0,22185.0,1664.0,2911.0,99.0,109120.0,2370.0,114965.0,52188.0,2224.0,1771.0,57027.0,2623.0,61292.0,413.0,2983.0,73857.0,75466.0,115.0,117.0,251.0,622.0,2969.0,49.0,3277.0,155.0,765.0,425.0,1207.0,608.0,1561.0,520.0,374.0,693.0,832.0,869.0,1227.0,5893.0,6852.0,8632.0,14344.0,17.0,9550.0,8017.0,5522.0,4440.0,22.0,6248.0,230.0,132.0,5352.0,363.0,366.0,721.0,197.0,112.0,142.0,1353.0,1001.0,8.0,49.0,0.0,90.0,660.0,283.0,2849.0,344.0,9557.0,9756.0,11795.0,1738.0,24195.0,6582.0,3507.0,10500.0,34695.0,34695.0,34738.0,34738.0,37.0,142186.0,53.0,47.0,0.0,812.0,298.0,398.0,150775.0,4376.0,145914.0,1083.0,390.0,778.0,150088.0
2003-07-05,16618.0,17528.0,3259.0,2997.0,2600.0,11776.0,174.0,309.0,502.0,1255.0,2380.0,2423.0,4875.0,189.0,6546.0,12767.0,19244.0,20069.0,932.0,21291.0,1610.0,2860.0,96.0,106036.0,2188.0,112550.0,73750.0,2107.0,1696.0,77640.0,2487.0,79558.0,382.0,2725.0,85602.0,84737.0,108.0,117.0,251.0,647.0,2977.0,47.0,3267.0,147.0,728.0,429.0,1172.0,561.0,1527.0,516.0,349.0,665.0,826.0,852.0,1176.0,5639.0,6596.0,8343.0,14259.0,16.0,9448.0,7931.0,5471.0,4445.0,22.0,6273.0,230.0,127.0,5326.0,338.0,342.0,691.0,182.0,108.0,140.0,1353.0,992.0,8.0,45.0,0.0,74.0,622.0,270.0,2748.0,331.0,9378.0,9582.0,11379.0,1672.0,23423.0,6106.0,3274.0,9969.0,33392.0,33392.0,33429.0,33429.0,29.0,113385.0,53.0,42.0,0.0,780.0,285.0,377.0,118265.0,4371.0,113416.0,1091.0,397.0,772.0,117465.0
2003-07-06,15914.0,17459.0,3133.0,2882.0,2374.0,11448.0,160.0,282.0,485.0,1206.0,2275.0,2262.0,4598.0,184.0,6230.0,12318.0,18511.0,19340.0,886.0,20424.0,1558.0,2819.0,94.0,96710.0,2049.0,103401.0,85940.0,1988.0,1628.0,86776.0,2373.0,86411.0,357.0,2597.0,90866.0,90107.0,99.0,112.0,250.0,616.0,2983.0,44.0,3247.0,139.0,696.0,435.0,1142.0,502.0,1484.0,509.0,317.0,614.0,820.0,802.0,1131.0,5419.0,6348.0,8047.0,14173.0,15.0,9262.0,7753.0,5308.0,4371.0,22.0,6253.0,230.0,123.0,5291.0,320.0,324.0,663.0,167.0,104.0,130.0,1353.0,974.0,8.0,41.0,0.0,43.0,590.0,258.0,2649.0,319.0,9200.0,9404.0,10991.0,1612.0,22677.0,5719.0,3080.0,9708.0,32385.0,32385.0,32418.0,32418.0,22.0,122950.0,53.0,37.0,0.0,753.0,273.0,354.0,125660.0,4366.0,119890.0,1108.0,411.0,770.0,121384.0
2003-07-07,15278.0,17457.0,3024.0,2726.0,2168.0,11092.0,142.0,247.0,470.0,1161.0,2173.0,2109.0,4334.0,177.0,5928.0,11921.0,17805.0,18640.0,843.0,19585.0,1508.0,2775.0,92.0,103699.0,1921.0,105732.0,123830.0,1877.0,1561.0,126508.0,2270.0,127576.0,337.0,2517.0,131730.0,130417.0,93.0,110.0,250.0,592.0,2990.0,41.0,3242.0,133.0,670.0,436.0,1119.0,477.0,1438.0,494.0,277.0,539.0,815.0,728.0,1089.0,5238.0,6139.0,7782.0,14085.0,14.0,9003.0,7488.0,5026.0,4183.0,22.0,6119.0,230.0,120.0,5260.0,306.0,310.0,635.0,154.0,100.0,121.0,1352.0,954.0,8.0,37.0,0.0,36.0,561.0,246.0,2554.0,307.0,8996.0,9215.0,10630.0,1557.0,23715.0,5378.0,2917.0,12257.0,35972.0,35972.0,36000.0,36000.0,15.0,142621.0,52.0,33.0,0.0,729.0,261.0,337.0,139976.0,4362.0,133552.0,1123.0,412.0,776.0,133509.0
2003-07-08,14935.0,17461.0,2987.0,2589.0,2068.0,10821.0,129.0,216.0,457.0,1120.0,2076.0,1978.0,4096.0,171.0,5635.0,11609.0,17732.0,18577.0,804.0,19291.0,1475.0,2734.0,90.0,109334.0,1803.0,113607.0,117431.0,1766.0,1497.0,120835.0,2173.0,123537.0,318.0,2471.0,131181.0,131471.0,88.0,106.0,250.0,558.0,2997.0,39.0,3246.0,127.0,649.0,417.0,1101.0,476.0,1408.0,491.0,253.0,494.0,814.0,653.0,1055.0,5097.0,5970.0,7563.0,14002.0,14.0,8827.0,7296.0,4766.0,3934.0,23.0,5909.0,230.0,117.0,5258.0,294.0,298.0,609.0,148.0,97.0,117.0,1352.0,963.0,8.0,35.0,0.0,40.0,537.0,235.0,2473.0,298.0,8826.0,9056.0,10297.0,1508.0,24076.0,5074.0,2781.0,16084.0,40160.0,40160.0,40182.0,40182.0,12.0,175457.0,52.0,31.0,0.0,715.0,251.0,322.0,176236.0,4357.0,170340.0,1120.0,402.0,780.0,170590.0
2003-07-09,16019.0,17499.0,2851.0,2468.0,2092.0,10486.0,124.0,201.0,454.0,1094.0,2015.0,1896.0,3943.0,168.0,5381.0,11447.0,18281.0,19155.0,768.0,19827.0,1447.0,2720.0,90.0,109016.0,1697.0,113560.0,117873.0,1660.0,1437.0,121149.0,2081.0,123704.0,302.0,2427.0,130457.0,130480.0,84.0,105.0,251.0,532.0,3005.0,37.0,3256.0,124.0,631.0,403.0,1087.0,494.0,1402.0,498.0,233.0,467.0,819.0,640.0,1037.0,4992.0,5845.0,7393.0,13920.0,13.0,8722.0,7196.0,4640.0,3778.0,23.0,5751.0,230.0,114.0,5263.0,284.0,288.0,585.0,149.0,94.0,116.0,1352.0,973.0,8.0,32.0,0.0,34.0,516.0,225.0,2405.0,288.0,8716.0,8964.0,9998.0,1462.0,23492.0,4824.0,2694.0,18032.0,41524.0,41524.0,41542.0,41542.0,11.0,175327.0,52.0,28.0,0.0,702.0,240.0,308.0,178388.0,4352.0,173655.0,1107.0,398.0,779.0,176063.0
