, LIBBY DAM, KOOTENAI RIV AT LEONIA, NF FLATHEAD R NR COLUMBIA FALL, MF FLATHEAD NR WEST GLACIER, DAM AT HUNGRY HORSE, FLATHEAD R AT COLUMBIA FALLS, CLARK FORK AT DEER LODGE, CLARK FORK AT DRUMMOND, ROCK CREEK NR CLINTON, BLACKFOOT R NR BONNER, CLARK FORK AB MISSOULA, BITTERROOT R NR MISSOULA, CLARK FORK BELOW MISSOULA, ST. REGIS R. NR ST. REGIS, CLARK FORK AT ST REGIS    TB20, KERR DAM, NOXON RAPIDS DAM, CABINET GORGE DAM, PRIEST R NR PRIEST RIVER, ALBENI FALLS DAM, COEUR D'ALENE LAKE, SPOKANE RIV AT LONGLAKE, ST MARIES R NR SANTA, COLUMBIAR @INTERNATL BOUNDAR, KETTLE RIVER AT LAURIER, GRAND COULEE DAM, CHIEF JOSEPH DAM, OKANOGAN RIVER NEAR TONASKET, METHOW R NEAR PATEROS, WELLS DAM, LAKE CHELAN DAM, ROCKY REACH DAM, ENTIAT R NR ARDENVOIR, WENATCHEE R AT PESHASTIN  TB20, WANAPUM DAM, PRIEST RAPIDS DAM, KEECHELUS LAKE, KACHESS DAM NEAR EASTON, YAKIMA RIVER AT EASTON, CLE ELUM LAKE NEAR ROSLYN, YAKIMA RIVER AT CLE ELUM, TEANAWAY RIVER BLW FORKS, YAKIMA RIVER AT UMTANUM, BUMPING LK DM NR GOOSE PRAIRIE, NACHES RIVER NEAR CLIFFDEL, RIMROCK LAKE NEAR RIMROCK, NACHES RIVER NEAR NACHES, YAKIMA RIVER NEAR PARKER, YAKIMA RIVER AT KIONA, ISLAND PARK 1SWIS.PARKDM&RES, FALL RIVER NR CHESTER, HENRYS FORK AT ST. ANTHONY, TETON RIVER NEAR ST. ANTHONY, HENRYS FORK NEAR REXBURG, SNKE R ON JACKSN LK AT DM TB20, SNAKE RIVER NR JACKSON, SNAKE RIVER NR ALPINE, PALISADES DAM, SNAKE RIVER NR HEISE, RIRIE DAM AND LAKE ON WILLOW C, SNAKE AB EAGLE ROCK NR ID FALL, SNAKE RIVER NR SHELLEY, SNAKE RIVER AT BLACKFOOT, SNAKE RIVER NEAR BLACKFOOT, PORTNEUF RIVER AT POCATELLO, AMERICAN FALLS RESERVOIR  TB12, SNAKE RIV AT MILNER, BRUNEAU RIVER NR HOT SPRINGS, SNAKE RIVER BELOW SWAN FALLS, BIG LOST R@HOW'L RNCH NR CHILL, BIG LOST R AT MACKAY, BIG WOOD RIVER AT HAILEY, MAGIC DAM OUTFLOW, LITL.WOODDM&RESNRCAREY, OWYHEE BELOW OWYHEE DAM, ANDERSON RANCH DAM        TB12, BOISE LUCKY PEAK DAM, BOISE RIVER AT GLENWOOD BRIDGE, BOISE RIVER NR PARMA, WARM SPRINGS DAM & RESERVOIR, AGENCY VLY DAM & BEULAH RSVR, BULLY CREEK DAM & RES     TB12, MALHEUR RIVER NR VALE, CASCADE DAM               TB12, DEADWOOD RESERVOIR NR LOWMAN, PAYETTE RIVER NEAR EMMETT, WEISER RIVER NR WEISER, SNAKE RIVER AT WEISER, BROWNLEE DAM, SALMON R AT WHITEBIRD, GRANDE RONDE RIVER AT TROY, SNAKE RIVER NR ANATONE, CLEARWATER R AT OROFINO, DWORSHAK DAM, CLEARWATER R AT SPALDING, LOWER GRANITE DAM, LITTLE GOOSE DAM, LOWER MONUMENTAL DAM, ICE HARBOR DAM, WALLA WALLA RIV NEAR TOUCHET, MCNARY DAM NEAR MCNARY, UMATILLA R NR GIBBON, UMATILLA R AT PENDLETON, MCKAY CR NR PILOTROCK, UMATILLA RIVER NEAR UMATILLA, NF JOHN DAY RIV AT MONUMENT, JOHN DAY RIVER AT SERVICE CK, JOHN DAY DAM, DESCHUTES R AT MOODY NR BIGGS, THE DALLES, KLICKITAT R NR PITT, HOOD R AT TUCKER BRIDGE   TB20, WHITE SALMON R NEAR UNDERWOOD, BONNEVILLE DAM
2005-05-16,31571.0,10714.0,10825.0,9337.0,11138.0,26036.0,265.0,1526.0,1171.0,4053.0,6850.0,5155.0,12496.0,1354.0,16862.0,26943.0,39998.0,42616.0,2650.0,51355.0,9034.0,8835.0,465.0,128737.0,20449.0,155435.0,108403.0,6043.0,4675.0,115849.0,5622.0,115112.0,1132.0,6345.0,116589.0,116161.0,398.0,406.0,259.0,1606.0,775.0,472.0,1808.0,414.0,1310.0,846.0,1802.0,1484.0,2243.0,1070.0,1955.0,3227.0,1365.0,3198.0,4193.0,3348.0,5031.0,9657.0,6746.0,304.0,6017.0,5641.0,4136.0,3758.0,489.0,5664.0,230.0,1972.0,8810.0,1183.0,745.0,1426.0,1235.0,680.0,4979.0,3025.0,4625.0,822.0,1241.0,691.0,683.0,25.0,695.0,3954.0,928.0,4938.0,3588.0,19191.0,20188.0,27369.0,10499.0,60768.0,25065.0,16554.0,37113.0,90192.0,90192.0,90745.0,90745.0,969.0,214283.0,746.0,1390.0,742.0,286.0,9137.0,9137.0,236307.0,6440.0,228424.0,1450.0,758.0,1096.0,231374.0
2005-05-17,37488.0,12295.0,11317.0,9200.0,11294.0,27080.0,309.0,1830.0,1571.0,4255.0,7619.0,5769.0,13664.0,1506.0,17741.0,30225.0,40598.0,42821.0,2650.0,49675.0,10484.0,8662.0,435.0,134813.0,23372.0,166256.0,120000.0,6254.0,4479.0,131160.0,4890.0,134372.0,943.0,6114.0,140203.0,139934.0,307.0,310.0,250.0,1349.0,719.0,377.0,1646.0,388.0,1233.0,705.0,1645.0,1332.0,2264.0,1363.0,2978.0,4460.0,2096.0,3917.0,4725.0,3762.0,5617.0,11679.0,7232.0,639.0,7054.0,6582.0,4613.0,3802.0,509.0,5808.0,230.0,2396.0,10476.0,1375.0,877.0,1640.0,1867.0,657.0,5564.0,4872.0,4938.0,818.0,1192.0,751.0,715.0,27.0,703.0,3676.0,970.0,6638.0,5263.0,22386.0,24336.0,39021.0,12670.0,76655.0,29957.0,17128.0,41696.0,112241.0,112241.0,113032.0,113032.0,1204.0,234663.0,596.0,1734.0,482.0,1051.0,9008.0,12156.0,246033.0,6256.0,236853.0,1328.0,691.0,1055.0,237315.0
2005-05-18,35674.0,17668.0,9110.0,7978.0,10261.0,24089.0,305.0,1858.0,1481.0,4501.0,8142.0,6328.0,14532.0,1302.0,18565.0,29092.0,41488.0,43485.0,2650.0,49796.0,9721.0,8643.0,410.0,134411.0,22103.0,165793.0,120000.0,6449.0,3965.0,130779.0,4252.0,133817.0,772.0,5294.0,139288.0,139347.0,374.0,353.0,290.0,1401.0,744.0,332.0,1510.0,497.0,1226.0,732.0,1659.0,1021.0,2146.0,1085.0,2220.0,3648.0,1966.0,5029.0,4384.0,3932.0,6092.0,12795.0,6896.0,521.0,7553.0,7111.0,5247.0,4455.0,531.0,6159.0,230.0,2537.0,8561.0,948.0,613.0,1338.0,1561.0,531.0,5414.0,3479.0,4751.0,807.0,1006.0,516.0,520.0,25.0,609.0,2709.0,785.0,5941.0,4157.0,23618.0,27406.0,37899.0,11471.0,86117.0,28260.0,14984.0,41030.0,122666.0,122666.0,123323.0,123323.0,801.0,264189.0,422.0,1123.0,355.0,1152.0,6949.0,11068.0,281352.0,6182.0,272779.0,1284.0,854.0,1065.0,274295.0
2005-05-19,33487.0,20637.0,7554.0,6652.0,8987.0,20710.0,275.0,1761.0,1448.0,4372.0,7786.0,5745.0,13531.0,1262.0,18221.0,25284.0,41817.0,43892.0,2650.0,50581.0,8492.0,8676.0,401.0,133301.0,20612.0,162913.0,118750.0,6681.0,4070.0,129904.0,4330.0,133057.0,738.0,4770.0,138090.0,138158.0,363.0,366.0,299.0,1652.0,794.0,323.0,1508.0,475.0,1287.0,770.0,1986.0,1180.0,1997.0,928.0,1978.0,3038.0,1580.0,4536.0,3834.0,3820.0,5726.0,11562.0,6863.0,364.0,6988.0,6608.0,5036.0,4719.0,527.0,6533.0,230.0,2472.0,7803.0,616.0,404.0,1247.0,1237.0,535.0,4531.0,2586.0,4532.0,805.0,835.0,436.0,419.0,23.0,517.0,2280.0,743.0,4525.0,3105.0,20731.0,25222.0,31234.0,10772.0,78456.0,26154.0,14064.0,36442.0,112047.0,112047.0,113152.0,113152.0,646.0,259753.0,622.0,1304.0,438.0,673.0,5495.0,8691.0,278377.0,6062.0,270718.0,1407.0,957.0,1236.0,275020.0
2005-05-20,33221.0,21146.0,8479.0,6248.0,8924.0,18967.0,304.0,1952.0,1785.0,4151.0,7860.0,5981.0,13842.0,1435.0,17496.0,22819.0,40966.0,43174.0,2650.0,50329.0,9561.0,9136.0,394.0,135630.0,20098.0,164451.0,113750.0,7079.0,4449.0,125621.0,4101.0,128898.0,694.0,4600.0,134075.0,134266.0,295.0,293.0,273.0,1441.0,752.0,281.0,1473.0,420.0,1177.0,668.0,1823.0,1258.0,2099.0,1023.0,2567.0,3556.0,1716.0,3899.0,4444.0,3743.0,5525.0,10928.0,7188.0,282.0,6337.0,5853.0,4320.0,4200.0,547.0,6392.0,230.0,2432.0,7709.0,685.0,455.0,1446.0,1354.0,577.0,3984.0,2319.0,4397.0,807.0,939.0,544.0,485.0,22.0,559.0,2226.0,817.0,3929.0,2624.0,17453.0,20965.0,31152.0,11751.0,73313.0,28497.0,15198.0,37472.0,109563.0,109563.0,114862.0,114862.0,914.0,251986.0,803.0,2134.0,561.0,1025.0,5166.0,7257.0,267041.0,5953.0,259082.0,1364.0,782.0,1168.0,263113.0
2005-05-21,32790.0,25069.0,8772.0,6266.0,8884.0,18734.0,341.0,2034.0,1900.0,3974.0,8082.0,6711.0,14793.0,1376.0,18109.0,22003.0,39782.0,41834.0,2650.0,48546.0,10660.0,9309.0,367.0,136868.0,19784.0,166080.0,105000.0,7611.0,4251.0,118007.0,3758.0,122008.0,624.0,4303.0,127763.0,128168.0,251.0,236.0,257.0,1197.0,727.0,246.0,1372.0,383.0,1097.0,601.0,1660.0,968.0,2119.0,1020.0,2685.0,3838.0,1877.0,4246.0,4945.0,4095.0,5870.0,11475.0,7737.0,242.0,6967.0,6344.0,4300.0,3774.0,573.0,6027.0,230.0,2423.0,7546.0,763.0,513.0,1480.0,1418.0,548.0,3548.0,2227.0,4288.0,804.0,916.0,493.0,441.0,20.0,527.0,1952.0,804.0,4022.0,2320.0,16510.0,18910.0,34677.0,11654.0,73115.0,32321.0,15464.0,42184.0,115248.0,115248.0,120203.0,120203.0,838.0,254215.0,525.0,1716.0,370.0,1663.0,4834.0,6741.0,268487.0,5872.0,260130.0,1236.0,664.0,1053.0,263102.0
2005-05-22,32016.0,25706.0,7674.0,5894.0,8166.0,17431.0,320.0,1842.0,1604.0,3773.0,7579.0,6430.0,14009.0,1179.0,18289.0,21225.0,38887.0,40782.0,2650.0,46956.0,9944.0,8950.0,345.0,138670.0,19023.0,166781.0,98750.0,7634.0,3848.0,109108.0,3555.0,110784.0,581.0,3914.0,114328.0,114481.0,224.0,208.0,245.0,1088.0,712.0,222.0,1270.0,368.0,1023.0,546.0,1567.0,690.0,1904.0,908.0,2147.0,3347.0,1742.0,4521.0,4528.0,4467.0,6237.0,11862.0,8191.0,207.0,7758.0,7154.0,5010.0,4173.0,577.0,6165.0,230.0,2366.0,7410.0,672.0,458.0,1368.0,1253.0,511.0,3175.0,2093.0,4164.0,800.0,831.0,367.0,356.0,18.0,455.0,1606.0,748.0,3807.0,1922.0,15921.0,17896.0,32187.0,10377.0,69129.0,29064.0,14088.0,39610.0,108739.0,108739.0,111104.0,111104.0,614.0,240715.0,362.0,1127.0,288.0,1101.0,4252.0,6141.0,258617.0,5812.0,251001.0,1157.0,609.0,971.0,255406.0
2005-05-23,31165.0,29048.0,6987.0,5368.0,7616.0,16069.0,292.0,1673.0,1487.0,3525.0,6933.0,5818.0,12750.0,1057.0,16951.0,19489.0,37222.0,39041.0,2650.0,45289.0,8241.0,8812.0,331.0,134039.0,18213.0,162833.0,123750.0,7320.0,3663.0,134952.0,3580.0,136884.0,596.0,3727.0,138423.0,137494.0,211.0,210.0,234.0,1133.0,704.0,205.0,1206.0,366.0,976.0,524.0,1570.0,508.0,1631.0,860.0,1761.0,2862.0,1597.0,4071.0,4026.0,4414.0,6186.0,11507.0,8685.0,180.0,7851.0,7309.0,5447.0,4815.0,567.0,6821.0,230.0,2296.0,7273.0,664.0,458.0,1353.0,1168.0,503.0,2876.0,1987.0,4053.0,797.0,745.0,304.0,309.0,16.0,430.0,1416.0,745.0,3358.0,1594.0,14867.0,16651.0,28926.0,9136.0,61947.0,26312.0,12837.0,36546.0,98493.0,98493.0,99782.0,99782.0,484.0,229440.0,294.0,886.0,243.0,595.0,3731.0,5447.0,241221.0,5762.0,232985.0,1106.0,581.0,929.0,236117.0
2005-05-24,30888.0,30051.0,6845.0,5021.0,7395.0,15481.0,278.0,1594.0,1547.0,3254.0,6559.0,5742.0,12302.0,999.0,15790.0,18393.0,34246.0,35998.0,2650.0,42177.0,7248.0,8795.0,317.0,129171.0,17641.0,156817.0,120000.0,7066.0,3651.0,131287.0,3587.0,134289.0,612.0,3800.0,138473.0,138626.0,198.0,204.0,224.0,1146.0,700.0,190.0,1172.0,354.0,947.0,510.0,1604.0,474.0,1422.0,854.0,1700.0,2744.0,1597.0,3543.0,4039.0,4318.0,6069.0,11074.0,9200.0,161.0,7701.0,7131.0,5336.0,4965.0,554.0,7229.0,230.0,2251.0,7164.0,782.0,547.0,1399.0,1177.0,503.0,2622.0,1912.0,3954.0,793.0,704.0,269.0,282.0,13.0,413.0,1358.0,776.0,3115.0,1355.0,13922.0,15486.0,28082.0,8113.0,57753.0,24833.0,12055.0,34842.0,92594.0,92594.0,93588.0,93588.0,411.0,237501.0,260.0,757.0,217.0,361.0,3303.0,4828.0,249187.0,5715.0,240670.0,1064.0,553.0,905.0,242974.0
2005-05-25,30859.0,29912.0,6906.0,4844.0,7343.0,15287.0,270.0,1550.0,1640.0,3002.0,6323.0,5951.0,12274.0,1012.0,15398.0,18038.0,32425.0,34155.0,2650.0,40154.0,6947.0,8411.0,308.0,126409.0,17160.0,152829.0,120000.0,6921.0,3591.0,130893.0,3472.0,133717.0,593.0,3864.0,137618.0,137630.0,182.0,188.0,236.0,1082.0,707.0,177.0,1147.0,339.0,913.0,488.0,1593.0,435.0,1319.0,846.0,1647.0,2684.0,1624.0,3311.0,4131.0,4274.0,6069.0,11031.0,9680.0,147.0,7666.0,7024.0,5162.0,4819.0,544.0,7237.0,230.0,2229.0,7086.0,925.0,654.0,1430.0,1201.0,491.0,2401.0,1890.0,3868.0,789.0,696.0,249.0,266.0,12.0,396.0,1345.0,797.0,3098.0,1215.0,13395.0,14762.0,28675.0,7272.0,55762.0,25180.0,11822.0,34734.0,90496.0,90496.0,91400.0,91400.0,366.0,231804.0,239.0,670.0,202.0,232.0,2971.0,4342.0,243324.0,5670.0,235076.0,1029.0,528.0,884.0,238067.0
